Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Revision Date,Revision Reason,Comment,Project ID,Area of Change,Timeframe of Investment,(Legacy) Total Cost,(Legacy) Planned Completion Date,Updated Date,Updated Time,Baseline ID
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","05/29/2013","Replan - adding or modifying detail within the overall cost and schedule goals","DOT will be transitioning to a new CPIC tool starting in June for the ITDB updates and annual submission. We are submitting updates now to reflect formatting conversion required by the new CPIC tool. These corrections are cosmetic in nature and do not impact cost, schedule, funding or scope.","866,867,868,869,870,871,872,873,874,875,876,877,878","Projects, Activities, Metrics","2006-2035","","","05/31/2013","17:22:07","13677"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","07/18/2013","Replan - adding or modifying detail within the overall cost and schedule goals","Replan to existing activities within the project baseline.","7143,7145,7147,7149,7151,7153,7155,7157,7159,7161,7163,7165,7167","Projects, Activities","2006-2035","","","07/30/2013","14:00:04","13956"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","04/23/2010","Internal - Other","","","","","45.725","2015-09-30","04/30/2010","16:52:43","609"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","08/25/2010","Internal - Technological Change","This is the first time IRS is being rebaseline due to a tactical refresh.","","","","60.336","2019-09-30","08/30/2010","15:43:20","1050"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","09/08/2010","Correction","","","","","60.336","2019-09-30","09/17/2010","10:33:15","1379"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","09/08/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","This is the first time IRS is being rebaseline due to a tactical refresh.","","","","59.643","2019-09-30","09/17/2010","10:33:23","1380"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","10/26/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","This is the first time IRS is being rebaseline due to a tactical refresh.","","","","60.587","2019-09-30","10/27/2010","07:36:37","2096"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","01/28/2011","Rebaseline - other","1. Break out yearly milestones into quarterly milestones for FY11 and FY122. Made corrections from previous years.  Including current plan cost to reflect what the funds that was actually received during those years. ERDS Modernization for FY09 were carried over to FY10, and FY10 funds into FY11 funds.  It was spended already.3. Made also corrections to OCIMS.  New contract was going to be awarded on Sept 2010 but it will be awarded on January 2011 and carry over funds from FY10 to FY11 were already allocated to award new contract.4. Changed planned cost for SVTC to reflect what was actually funded for.5. Also made changes to typographical errors.","","","","66.201","2019-09-30","01/28/2011","12:59:11","2680"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","01/28/2011","Correction","1. Break out yearly milestones into quarterly milestones for FY11 and FY122. Made corrections from previous years.  Including current plan cost to reflect what the funds that was actually received during those years. ERDS Modernization for FY09 were carried over to FY10, and FY10 funds into FY11 funds.  It was spended already.3. Made also corrections to OCIMS.  New contract was going to be awarded on Sept 2010 but it will be awarded on January 2011 and carry over funds from FY10 to FY11 were already allocated to award new contract.4. Changed planned cost for SVTC to reflect what was actually funded for.5. Also made changes to typographical errors.","","","","60.296","2019-09-30","01/28/2011","13:22:48","2682"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","02/24/2011","Rebaseline - change in scope","","","","","60.296","2019-09-30","02/25/2011","13:34:51","3388"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","04/20/2011","Correction","Deactivating old Performance","","","","60.276","2019-09-30","04/25/2011","20:49:30","3979"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","06/29/2011","Correction","Correction rebaseline is to correct the ITDB data. The recent migration from ProSight to eCPIC created the need to synch up milestone names between systems due to character encoding issues.","","","","60.131","2019-09-30","06/29/2011","16:52:02","6184"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","06/29/2011","Correction","Correction rebaseline is to correct the ITDB data. The recent migration from ProSight to eCPIC created the need to synch up milestone names and Performance Indicators between systems due to character encoding issues.","","","","60.131","2019-09-30","06/30/2011","13:34:16","6196"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","09/28/2012","Replan - adding or modifying detail within the overall cost and schedule goals","Incorporate BY FY14 Information - Annual September Submission.","5951,5953,5955,5957,5959,5961,5963,5965,1041,1042,1043,1044","Projects, Activities, Metrics","2002-2019","","","09/28/2012","14:24:20","10847"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2390","Projects, Activities, Metrics","2010-2018","","","10/31/2011","15:44:12","7018"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2846,2368,2369,2370,2372,2373,2374,2375,2376,2377,2378,2379,2381,2383,2384,2389,2391","Projects, Activities","2010-2018","","","11/04/2011","15:27:05","7055"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2369,2370,2371,2375,2376,2377,2378,2380,2382,2385,2386,2387,2389,2390,2391","Projects, Activities","2010-2018","","","11/08/2011","17:33:15","7076"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2368,2372,2374,2375,2377,2378,2379,2380,2381,2385,2387,2388,2389,2390,2391,2846","Projects, Activities","2010-2018","","","11/30/2011","21:50:27","7173"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2368,2370,2373,2374,2376,2378,2379,2381,2383,2385,2387","Projects, Activities","2010-2018","","","12/20/2011","09:09:25","7206"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2368,2369,2371,2373,2378,2380,2383","Projects, Activities, Metrics","2010-2018","","","01/19/2012","16:58:55","7291"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/14/2012","Correction","Updated activity details for VAM Health Resource Center (HRC) Phase II, VAM Veteran Benefits Administration (VBA) Phase II, VRM Knowledge Management, VRM Service-Oriented Architecture (SOA).","2368,2369,2370,2373,2375,2377,2382,2384,2385,2386,2390,2391","Projects, Activities","2010-2018","","","02/28/2012","16:14:49","7606"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/13/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Updated project and activity details for Warrior Support Federal Case Management Tool (FCMT), WS FCMT IDES Phase I and IAM Authentication Services.","2368,2370,2372,2375,2377,2382,2386,2389,2846","Projects, Activities, Metrics","2010-2018","","","03/19/2012","11:42:59","7747"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","04/09/2012","Correction","Adding New Project Warrior Support Disability Benefits Questionnaires (DBQ). Updated Project Details for Warrior Support Federal Case Management Tool (FCMT) - Integrated Disability Evaluation System (IDES) Phase l. Updated activity details for Civilian Health and Medical Program of the Department of Veterans Affairs (CHAMPVA), E-Benefits Portal, Veteran Online Health Application (VOA), Warrior Support Federal Case Management Tool (FCMT).","3081,2368,2369,2370,2374,2375,2377,2380,2383,2385,2387,2389,2390,2846","Projects, Activities, Metrics","2010-2018","","","04/17/2012","14:54:32","8019"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","05/08/2012","Correction","Updated activity details for Auto-Enrollment and Stakeholder Enterprise Portal (SEP).","2379,2380,2383,2386,2391","Projects, Activities, Metrics","2010-2018","","","05/21/2012","17:09:03","8223"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","06/08/2012","Correction","Updated Activity Details for Auto-Enrollment.","2368,2370,2377,2379,2383","Projects, Activities, Metrics","2010-2018","","","06/21/2012","13:42:03","8459"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","11/13/2012","Correction","Updated Project and Activity Details for Customer Relationship Management (CRM)_Unified Desktop (UD), Customer Relationship Management (CRM)_Unified Desktop (UD)_Knowledge Management (KM),  E-Benefits Portal, Enterprise Veterans Self Service,  Veterans On Line Application (VONAPP) II, and VRM Knowledge Management.","2368,2370,2373,2374,2376,2383,2387,5727,5729,5733","Projects, Activities, Metrics","2010-2018","","","11/29/2012","15:56:44","11437"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","12/10/2012","Correction","Updated Project and Activity details forCustomer Relationship Management (CRM)_Unified Desktop (UD), E-Benefits Portal, Enterprise Veterans Self Service, Veterans On Line Application (VONAPP) II, VRM Knowledge Management, Warrior Support Disability Benefits Questionnaires (DBQ), Warrior Support Federal Case Management Tool (FCMT), and Warrior Support Federal Case Management Tool (FCMT) - Integrated Disability Evaluation System (IDES) Phase l.","2368,2370,2373,2377,2378,2379,2384,2389,2391,2846,3081,5727,5733","Projects, Activities","2010-2018","","","12/20/2012","17:00:59","11693"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","01/07/2013","Correction","Updated Activity details for IAM Access Services (AcS) Phase I.","2368,2370,2383,2385,2391,3081,5731","Projects, Activities, Metrics","2010-2018","","","01/18/2013","08:36:58","11933"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/04/2013","Correction","Updated Project and Activity details for IAM Access Services (AcS) Phase I, IAM Identity Services (IdS),  VADoD Identity Repository (VADIR), Veterans On Line , and Application (VONAPP) II.","2368,2370,2372,2375,2378,2380,2385,2846,5731,5733,5735","Projects, Activities, Metrics","2010-2018","","","02/15/2013","09:20:26","12183"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/25/2013","Correction","Updates were made to Stakeholder Enterprise Portal, VetSuccess Rehost, Veteran Financial Application (VFA), and IAM Authentication Services as a result of VA PMAS Dashboard delivered functionality to improve OMB 300B reporting that included data migration from old tool which resulted in PM adjustments, corrections and validation of project data.  IE - improved activity names, updates to reported actuals, or project progress.","2386,2385,2376","Projects, Activities","2010-2019","","","03/28/2013","14:53:19","12797"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/25/2013","Correction","Updates were made to Stakeholder Enterprise Portal, VetSuccess Rehost as a result of VA PMAS Dashboard delivered functionality to improve OMB 300B reporting that included data migration from old tool which resulted in PM adjustments, corrections and validation of project data.  IE - improved activity names, updates to reported actuals, or project progress.","2391","Projects","2010-2019","","","03/28/2013","14:53:20","12799"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/25/2013","Correction","Updated project Warrior Support Disability Benefits Questionnaire (DBQ) as a result of VA PMAS Dashboard delivered functionality to improve OMB 300B reporting that included data migration from old tool which resulted in PM adjustments, corrections and validation of project data.  IE - improved activity names, updates to reported actuals, or project progress.","3081","Projects, Activities","2010-2019","","","03/28/2013","14:53:20","12801"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/25/2013","Rebaseline - current baseline is no longer useful as a management tool","Updates were made to IAM Authorization and Customer Relationship Management/Unified Desktop to align total life-cycle costs for projects based on current scope","2374","Projects","2010-2019","","","03/28/2013","14:53:37","12803"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/25/2013","Rebaseline - current baseline is no longer useful as a management tool","Updates were made to IAM Authorization and Customer Relationship Management/Unified Desktop to align total life-cycle costs for projects based on current scope","2382","Projects","2010-2019","","","03/28/2013","14:53:37","12805"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/25/2013","Rebaseline - significant changes in funding level or availability of fund","Project Dual Eligible System Enhancements removed due to changes in funding profile for budget year FY14 received on February 8, 2013.","2381","Projects, Activities","2010-2019","","","03/28/2013","14:57:14","12847"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","04/26/2013","Correction","Updates were made to Warrior Support Federal Case Management Tool (FCMT) - Integrated Disability Evaluation System (IDES) Phase l Project as a result of VA PMAS Dashboard delivered functionality to improve OMB 300B reporting that included data migration from old tool which resulted in PM adjustments, corrections and validation of project data.  IE - improved activity names, updates to reported actuals, or project progress.","2846","Projects, Activities","2010-2019","","","04/28/2013","13:38:09","13117"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/08/2013","Correction","Updates were made to E-Benefits Portal, Enterprise Veterans Self Service, VRM Knowledge Management, Customer Relationship Management (CRM)/Unified Desktop (UD)/Knowledge Management (KM), Veteran Online Health Application (VOA), Veterans On Line Application (VONAPP) II, VetSuccess Rehost and Stakeholder Enterprise Portal (SEP) as a result of VA PMAS Dashboard delivered functionality that included data migration which resulted in PM adjustments, corrections and validation of project data.","2387","Projects, Activities","2010-2019","","","05/24/2013","10:46:27","13327"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/08/2013","Correction","Updates were made to E-Benefits Portal, Enterprise Veterans Self Service, VRM Knowledge Management, Customer Relationship Management (CRM)/Unified Desktop (UD)/Knowledge Management (KM), Veteran Online Health Application (VOA), Veterans On Line Application (VONAPP) II, VetSuccess Rehost and Stakeholder Enterprise Portal (SEP) as a result of VA PMAS Dashboard delivered functionality that included data migration which resulted in PM adjustments, corrections and validation of project data.","2368","Projects, Activities","2010-2019","","","05/24/2013","10:46:27","13329"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/08/2013","Correction","Updates were made to E-Benefits Portal, Enterprise Veterans Self Service, VRM Knowledge Management, Customer Relationship Management (CRM)/Unified Desktop (UD)/Knowledge Management (KM), Veteran Online Health Application (VOA), Veterans On Line Application (VONAPP) II, VetSuccess Rehost and Stakeholder Enterprise Portal (SEP) as a result of VA PMAS Dashboard delivered functionality that included data migration which resulted in PM adjustments, corrections and validation of project data.","2370","Projects, Activities","2010-2019","","","05/24/2013","10:46:27","13331"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/08/2013","Correction","Updates were made to E-Benefits Portal, Enterprise Veterans Self Service, VRM Knowledge Management, Customer Relationship Management (CRM)/Unified Desktop (UD)/Knowledge Management (KM), Veteran Online Health Application (VOA), Veterans On Line Application (VONAPP) II, VetSuccess Rehost and Stakeholder Enterprise Portal (SEP) as a result of VA PMAS Dashboard delivered functionality that included data migration which resulted in PM adjustments, corrections and validation of project data.","2373","Projects, Activities","2010-2019","","","05/24/2013","10:46:27","13333"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/08/2013","Correction","Updates were made to E-Benefits Portal, Enterprise Veterans Self Service, VRM Knowledge Management, Customer Relationship Management (CRM)/Unified Desktop (UD)/Knowledge Management (KM), Veteran Online Health Application (VOA), Veterans On Line Application (VONAPP) II, VetSuccess Rehost and Stakeholder Enterprise Portal (SEP) as a result of VA PMAS Dashboard delivered functionality that included data migration which resulted in PM adjustments, corrections and validation of project data.","2376","Projects, Activities","2010-2019","","","05/24/2013","10:46:28","13335"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/08/2013","Correction","Updates were made to E-Benefits Portal, Enterprise Veterans Self Service, VRM Knowledge Management, Customer Relationship Management (CRM)/Unified Desktop (UD)/Knowledge Management (KM), Veteran Online Health Application (VOA), Veterans On Line Application (VONAPP) II, VetSuccess Rehost and Stakeholder Enterprise Portal (SEP) as a result of VA PMAS Dashboard delivered functionality that included data migration which resulted in PM adjustments, corrections and validation of project data.","2391","Projects, Activities","2010-2019","","","05/24/2013","10:46:28","13337"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/08/2013","Correction","Updates were made to E-Benefits Portal, Enterprise Veterans Self Service, VRM Knowledge Management, Customer Relationship Management (CRM)/Unified Desktop (UD)/Knowledge Management (KM), Veteran Online Health Application (VOA), Veterans On Line Application (VONAPP) II, VetSuccess Rehost and Stakeholder Enterprise Portal (SEP) as a result of VA PMAS Dashboard delivered functionality that included data migration which resulted in PM adjustments, corrections and validation of project data.","5729","Projects, Activities","2010-2019","","","05/24/2013","10:46:28","13339"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/08/2013","Correction","Updates were made to E-Benefits Portal, Enterprise Veterans Self Service, VRM Knowledge Management, Customer Relationship Management (CRM)/Unified Desktop (UD)/Knowledge Management (KM), Veteran Online Health Application (VOA), Veterans On Line Application (VONAPP) II, VetSuccess Rehost and Stakeholder Enterprise Portal (SEP) as a result of VA PMAS Dashboard delivered functionality that included data migration which resulted in PM adjustments, corrections and validation of project data.","5733","Projects, Activities","2010-2019","","","05/24/2013","10:46:28","13341"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/08/2013","Correction","Updates were made to E-Benefits Portal, Enterprise Veterans Self Service, VRM Knowledge Management, Customer Relationship Management (CRM)/Unified Desktop (UD)/Knowledge Management (KM), Veteran Online Health Application (VOA), Veterans On Line Application (VONAPP) II, VetSuccess Rehost and Stakeholder Enterprise Portal (SEP) as a result of VA PMAS Dashboard delivered functionality that included data migration which resulted in PM adjustments, corrections and validation of project data.","","","2010-2019","","","05/24/2013","14:42:59","13379"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/08/2013","Correction","Updates were made to E-Benefits Portal, Enterprise Veterans Self Service, VRM Knowledge Management, Customer Relationship Management (CRM)/Unified Desktop (UD)/Knowledge Management (KM), Veteran Online Health Application (VOA), Veterans On Line Application (VONAPP) II, VetSuccess Rehost and Stakeholder Enterprise Portal (SEP) as a result of VA PMAS Dashboard delivered functionality that included data migration which resulted in PM adjustments, corrections and validation of project data.","","","2010-2019","","","05/24/2013","14:43:00","13381"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/08/2013","Correction","Updates were made to E-Benefits Portal, Enterprise Veterans Self Service, VRM Knowledge Management, Customer Relationship Management (CRM)/Unified Desktop (UD)/Knowledge Management (KM), Veteran Online Health Application (VOA), Veterans On Line Application (VONAPP) II, VetSuccess Rehost and Stakeholder Enterprise Portal (SEP) as a result of VA PMAS Dashboard delivered functionality that included data migration which resulted in PM adjustments, corrections and validation of project data.","","","2010-2019","","","05/24/2013","14:43:00","13383"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/08/2013","Correction","Updates were made to E-Benefits Portal, Enterprise Veterans Self Service, VRM Knowledge Management, Customer Relationship Management (CRM)/Unified Desktop (UD)/Knowledge Management (KM), Veteran Online Health Application (VOA), Veterans On Line Application (VONAPP) II, VetSuccess Rehost and Stakeholder Enterprise Portal (SEP) as a result of VA PMAS Dashboard delivered functionality that included data migration which resulted in PM adjustments, corrections and validation of project data.","","","2010-2019","","","05/24/2013","14:43:00","13385"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/08/2013","Correction","Updates were made to E-Benefits Portal, Enterprise Veterans Self Service, VRM Knowledge Management, Customer Relationship Management (CRM)/Unified Desktop (UD)/Knowledge Management (KM), Veteran Online Health Application (VOA), Veterans On Line Application (VONAPP) II, VetSuccess Rehost and Stakeholder Enterprise Portal (SEP) as a result of VA PMAS Dashboard delivered functionality that included data migration which resulted in PM adjustments, corrections and validation of project data.","","","2010-2019","","","05/24/2013","14:43:00","13387"
"029-888888105","7","029","Department of Veterans Affairs","InterAgency 21st Century-One Vet","02/08/2013","Correction","Updates were made to E-Benefits Portal, Enterprise Veterans Self Service, VRM Knowledge Management, Customer Relationship Management (CRM)/Unified Desktop (UD)/Knowledge Management (KM), Veteran Online Health Application (VOA), Veterans On Line Application (VONAPP) II, VetSuccess Rehost and Stakeholder Enterprise Portal (SEP) as a result of VA PMAS Dashboard delivered functionality that included data migration which resulted in PM adjustments, corrections and validation of project data.","","","2010-2019","","","05/24/2013","14:43:00","13389"
