Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment URL ID,Agency Investment URL ID,Valid Public URL,Investment URL,Investment URL Attribute A,Investment URL Attribute B,Investment URL Attribute C,Investment URL Attribute D,Investment URL Attribute E,Updated Date,Updated Time
"026-000001502","43","026","National Aeronautics and Space Administration","4083","65463","Yes","http://www.hec.nasa.gov/about/about.html","no","no","no","yes","yes","03/20/2013","16:10:08"
"026-000001502","43","026","National Aeronautics and Space Administration","4085","65462","Yes","http://www.hec.nasa.gov/user/systems.html","no","no","no","yes","yes","03/20/2013","16:10:08"
"026-000001502","43","026","National Aeronautics and Space Administration","4087","65460","Yes","http://www.nccs.nasa.gov/esgf.html","no","no","no","yes","no","03/20/2013","16:10:08"
"026-000001502","43","026","National Aeronautics and Space Administration","4089","65456","Yes","http://esgf.nccs.nasa.gov/esgf-web-fe/","no","no","no","yes","no","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4091","65458","Yes","http://portal.nccs.nasa.gov/","no","no","no","yes","no","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4093","65459","Yes","https://hec.reisys.com/hec/computing/index.do","no","no","no","yes","yes","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4095","65457","No","http://twitter.com/NASA_Supercomp","no","no","yes","no","no","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4097","65461","No","http://twitter.com/NASA_NCCS","no","no","yes","no","no","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4099","65467","Yes","http://www.hec.nasa.gov/request/request.html","no","no","no","yes","yes","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4101","65551","Yes","http://science.gsfc.nasa.gov/sed/index.cfmfuseAction=home.main&&navOrgCode=610.1&navTab=nav_about_us","no","no","no","yes","no","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4103","65552","Yes","http://science.gsfc.nasa.gov/sed/index.cfmfuseAction=home.main&&navOrgCode=611","no","no","no","yes","no","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4105","65555","Yes","http://science.gsfc.nasa.gov/sed/index.cfmfuseAction=home.main&&navOrgCode=613&navTab=nav_about_us","no","no","no","yes","no","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4107","65554","Yes","http://science.gsfc.nasa.gov/sed/index.cfmfuseAction=home.main&&navOrgCode=614&navTab=nav_about_us","no","no","no","yes","no","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4109","65549","Yes","http://science.gsfc.nasa.gov/sed/index.cfmfuseAction=home.main&&navOrgCode=663","no","no","no","yes","no","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4111","65556","Yes","http://science.gsfc.nasa.gov/sed/index.cfmfuseAction=home.main&&navOrgCode=667","no","no","no","yes","no","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4113","65550","Yes","http://science.gsfc.nasa.gov/sed/index.cfmfuseAction=home.main&&navOrgCode=673","no","no","no","yes","no","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4115","65547","Yes","http://science.gsfc.nasa.gov/sed/index.cfmfuseAction=home.main&&navOrgCode=674","no","no","no","yes","no","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4117","65548","Yes","http://science.gsfc.nasa.gov/sed/index.cfmfuseAction=home.main&&navOrgCode=691","no","no","no","yes","no","03/20/2013","16:10:09"
"026-000001502","43","026","National Aeronautics and Space Administration","4119","65553","Yes","http://science.gsfc.nasa.gov/sed/index.cfmfuseAction=home.main&&navOrgCode=698","no","no","no","yes","no","03/20/2013","16:10:09"
"026-000001124","45","026","National Aeronautics and Space Administration","1457","","No","","no","no","no","yes","no","09/14/2012","10:34:26"
"026-000001124","45","026","National Aeronautics and Space Administration","4077","65451","Yes","http://www.nas.nasa.gov/hecc/","no","no","no","yes","no","03/20/2013","15:45:55"
"429-000000010","89","429","Nuclear Regulatory Commission","4053","","Yes","http://www.nrc.gov/reading-rm/adams.html","yes","yes","no","no","no","10/02/2012","09:14:03"
"429-000002016","90","429","Nuclear Regulatory Commission","4051","","No","http://portal.nrc.gov/OCM/ocfo/TL/Pages/default.aspx","no","no","yes","yes","yes","10/02/2012","09:11:09"
"012-000003535","101","012","Department of Labor","941","","Yes","http://www.bls.gov/ppi/#data","yes","no","no","yes","no","09/13/2012","15:29:05"
"012-000003535","101","012","Department of Labor","943","","Yes","http://www.bls.gov/ppi/ppiover.htm","no","no","yes","yes","yes","09/13/2012","15:29:05"
"012-000003535","101","012","Department of Labor","945","","Yes","http://www.bls.gov/mxp/#data","yes","no","no","yes","no","09/13/2012","15:29:05"
"012-000003535","101","012","Department of Labor","947","","Yes","http://www.bls.gov/mxp/ippovrvw.htm","no","no","yes","yes","yes","09/13/2012","15:29:05"
"012-000003535","101","012","Department of Labor","949","","Yes","http://www.bls.gov/respondents/mxp/home.htm","no","no","yes","no","yes","09/13/2012","15:29:05"
"012-000003535","101","012","Department of Labor","951","","Yes","http://developer.dol.gov/BLS_Numbers-DATASET.htm","no","yes","no","no","no","09/13/2012","15:29:05"
"012-000003535","101","012","Department of Labor","953","","Yes","http://www.bls.gov/opub/hom/homch14.htm","no","no","yes","yes","yes","09/13/2012","15:29:05"
"012-000003535","101","012","Department of Labor","955","","Yes","http://www.bls.gov/opub/hom/homch15_a.htm","no","no","yes","yes","yes","09/13/2012","15:29:05"
"012-000003535","101","012","Department of Labor","957","","No","http://twitter.com/bls_gov","yes","no","yes","no","yes","09/13/2012","15:29:05"
"012-000001075","103","012","Department of Labor","987","","Yes","http://www.bls.gov/ncs/","yes","no","yes","yes","yes","09/13/2012","15:29:50"
"012-000001075","103","012","Department of Labor","989","","Yes","http://developer.dol.gov/BLS_Numbers-DATASET.htm","no","yes","no","no","no","09/13/2012","15:29:50"
"012-000001075","103","012","Department of Labor","991","","Yes","http://www.bls.gov/respondents/ncs/home.htm","no","no","yes","yes","yes","09/13/2012","15:29:50"
"012-000001075","103","012","Department of Labor","993","","Yes","http://www.bls.gov/opub/hom/homch8.htm","no","no","yes","yes","yes","09/13/2012","15:29:50"
"012-000001075","103","012","Department of Labor","995","","No","http://twitter.com/bls_gov","yes","no","yes","no","yes","09/13/2012","15:29:50"
"012-000001025","105","012","Department of Labor","929","","Yes","http://www.efast.dol.gov/welcome.html","yes","yes","no","yes","yes","09/13/2012","15:28:07"
"012-000001025","105","012","Department of Labor","931","","Yes","http://www.dol.gov/ebsa/welcome.html","yes","yes","no","yes","yes","09/13/2012","15:28:07"
"012-000002035","106","012","Department of Labor","1015","","Yes","http://www.ows.doleta.gov/unemploy/","yes","yes","no","yes","yes","09/13/2012","15:30:57"
"012-000001065","108","012","Department of Labor","1013","","No","www.peoplepower.dol.gov","no","no","no","yes","no","09/13/2012","15:30:34"
"012-000002055","109","012","Department of Labor","935","","Yes","https://efs.dol-esa.gov/efsui/","no","yes","no","yes","yes","09/13/2012","15:28:19"
"012-000002055","109","012","Department of Labor","937","","Yes","http://kcerds.dol-esa.gov/query/getOrgQry.do","yes","no","no","yes","yes","09/13/2012","15:28:19"
"012-000002575","115","012","Department of Labor","905","","No","https://debs.dol.gov","no","no","no","no","no","09/13/2012","15:27:45"
"012-000002575","115","012","Department of Labor","907","","No","https://debs.dol.gov/hhs","no","no","no","no","no","09/13/2012","15:27:45"
"012-000002575","115","012","Department of Labor","909","","No","https://debs.dol.gov/va","no","no","no","no","no","09/13/2012","15:27:45"
"012-000003585","117","012","Department of Labor","1025","","Yes","http://www.dol.gov/_sec/stratplan/StrategicPlan.pdf","no","no","no","no","yes","09/13/2012","15:47:19"
"012-000003585","117","012","Department of Labor","1027","","Yes","www.dol.gov/sol/media/brochure/sol.pdf","no","no","no","no","yes","09/13/2012","15:47:19"
"012-000002045","121","012","Department of Labor","939","","Yes","http://www.foreignlaborcert.doleta.gov/","yes","no","no","no","yes","09/13/2012","15:28:41"
"012-000002045","121","012","Department of Labor","4203","","Yes","http://icert.doleta.gov","yes","no","no","no","no","03/27/2013","15:57:23"
"012-000001010","122","012","Department of Labor","961","","Yes","http://www.jobcorps.gov","yes","no","no","no","yes","09/13/2012","15:29:28"
"012-000001010","122","012","Department of Labor","963","","No","http://www.facebook.com/doljobcorps","no","no","no","no","yes","09/13/2012","15:29:28"
"012-000001010","122","012","Department of Labor","965","","Yes","http://www.recruiting.jobcorps.gov","no","no","no","no","yes","09/13/2012","15:29:28"
"012-000001010","122","012","Department of Labor","967","","Yes","http://www.dol.gov/sol/privacy/dol-eta-8.htm","no","no","no","yes","no","09/13/2012","15:29:28"
"012-000002085","123","012","Department of Labor","969","","Yes","http://www.data.gov/list/agency/41/198","yes","yes","no","no","yes","09/13/2012","15:29:39"
"012-000002085","123","012","Department of Labor","971","","Yes","http://www.msha.gov/OpenGovernmentData/OGIMSHA.asp","yes","yes","no","no","yes","09/13/2012","15:29:39"
"012-000002085","123","012","Department of Labor","973","","Yes","http://www.msha.gov/forms/individualQualifications.asp","no","no","no","no","yes","09/13/2012","15:29:39"
"012-000002085","123","012","Department of Labor","975","","Yes","http://www.msha.gov/forms/elawsforms/5000-46.htm","no","no","no","no","yes","09/13/2012","15:29:39"
"012-000002085","123","012","Department of Labor","977","","Yes","http://www.msha.gov/forms/elawsforms/2000-7.htm","no","no","no","no","yes","09/13/2012","15:29:39"
"012-000002085","123","012","Department of Labor","979","","Yes","http://www.msha.gov/forms/elawsforms/MineIDRequest.htm","no","no","no","no","yes","09/13/2012","15:29:39"
"012-000002085","123","012","Department of Labor","981","","Yes","http://www.msha.gov/forms/elawsforms/7000-52.htm","no","no","no","no","yes","09/13/2012","15:29:39"
"012-000002085","123","012","Department of Labor","983","","Yes","http://www.msha.gov/forms/elawsforms/7000-1.htm","no","no","no","no","yes","09/13/2012","15:29:39"
"012-000002085","123","012","Department of Labor","985","","Yes","http://www.msha.gov/forms/elawsforms/7000-2.htm","no","no","no","no","yes","09/13/2012","15:29:39"
"012-000000001","126","012","Department of Labor","913","","Yes","https://www.disability.gov","yes","yes","yes","yes","yes","09/13/2012","15:27:55"
"012-000000001","126","012","Department of Labor","915","","Yes","https://www.disability.gov/rss/index","yes","no","yes","no","no","09/13/2012","15:27:55"
"012-000000001","126","012","Department of Labor","917","","Yes","https://www.disability.gov/widget/index","yes","yes","yes","no","no","09/13/2012","15:27:55"
"012-999990020","130","012","Department of Labor","883","","Yes","www.benefits.gov","yes","yes","yes","yes","yes","09/13/2012","15:26:59"
"012-999990020","130","012","Department of Labor","885","","Yes","www.disasterassistance.gov","yes","yes","yes","yes","yes","09/13/2012","15:26:59"
"012-999990020","130","012","Department of Labor","887","","Yes","www.govloans.gov","yes","yes","yes","yes","yes","09/13/2012","15:26:59"
"012-999990020","130","012","Department of Labor","889","","Yes","www.benefits.gov/ssa/","yes","yes","yes","yes","yes","09/13/2012","15:26:59"
"012-000002630","131","012","Department of Labor","999","","Yes","http://www.osha.gov/oshstats/","yes","no","no","no","no","09/13/2012","15:30:13"
"012-000002630","131","012","Department of Labor","1001","","Yes","http://enforcedata.dol.gov","yes","no","no","no","no","09/13/2012","15:30:13"
"012-000002015","132","012","Department of Labor","959","","Yes","http://www.dol.gov/owcp/dfec/","no","no","no","no","yes","09/13/2012","15:29:19"
"024-000009102","134","024","Department of Homeland Security","325","190868","No","hsin.dhs.gov","no","no","no","no","no","09/12/2012","13:53:09"
"024-000009102","134","024","Department of Homeland Security","327","190865","No","myhsin.dhs. gov","no","no","no","no","no","09/12/2012","13:53:09"
"024-000009102","134","024","Department of Homeland Security","329","190860","No","hsinarchive.dhs.gov","no","no","no","no","no","09/12/2012","13:53:09"
"024-000009102","134","024","Department of Homeland Security","331","190864","No","hsininfo.dhs.gov","no","no","no","yes","no","09/12/2012","13:53:09"
"024-000009102","134","024","Department of Homeland Security","333","190867","No","hsinsearch.dhs.gov","no","no","no","no","no","09/12/2012","13:53:09"
"024-000009102","134","024","Department of Homeland Security","335","190866","No","myhsinsearch.dhs.gov","no","no","no","no","yes","09/12/2012","13:53:09"
"024-000009102","134","024","Department of Homeland Security","337","190863","No","auth.dhs.gov","no","no","no","no","yes","09/12/2012","13:53:09"
"024-000009102","134","024","Department of Homeland Security","339","190861","No","hsinfederate.dhs.gov","no","no","no","no","yes","09/12/2012","13:53:09"
"024-000009102","134","024","Department of Homeland Security","341","190862","No","adfs.dhs.gov","no","no","no","no","no","09/12/2012","13:53:09"
"024-000005352","137","024","Department of Homeland Security","1619","190302","No","http://oraeabm.ice.dhs.gov/forms/eabm/","no","no","no","no","yes","09/14/2012","16:14:26"
"024-000005352","137","024","Department of Homeland Security","1621","190301","No","https://locator.ice.gov/odls/homepage.do","yes","no","no","yes","yes","09/14/2012","16:14:26"
"024-000009508","145","024","Department of Homeland Security","445","192226","Yes","https://portal.us-cert.gov/","no","no","no","no","no","09/12/2012","15:26:25"
"024-000009560","151","024","Department of Homeland Security","401","190263","Yes","http://www.dhs.gov/files/programs/usv.shtm","no","no","no","no","yes","09/12/2012","14:33:35"
"024-000009561","152","024","Department of Homeland Security","397","190265","Yes","http://www.dhs.gov/files/programs/usv.shtm","no","no","no","no","yes","09/12/2012","14:33:27"
"024-000007591","163","024","Department of Homeland Security","1459","193789","No","https://esw.fema.net/esw/md/cio/cio-ops/operations/servicedelivery/progmgmt/ifema/shared%20documents/forms/allitems.aspx","no","no","no","yes","yes","09/14/2012","10:45:16"
"024-999994100","166","024","Department of Homeland Security","393","190344","Yes","www.disasterassistance.gov","no","no","yes","yes","yes","09/12/2012","14:33:06"
"024-000007001","167","024","Department of Homeland Security","395","191691","Yes","http://www.fema.gov/integrated-public-alert-and-warning-system","yes","yes","yes","yes","yes","09/12/2012","14:33:21"
"024-000007333","168","024","Department of Homeland Security","697","187418","Yes","lscms.fema.gov","yes","no","no","no","yes","09/13/2012","11:27:38"
"024-000005628","170","024","Department of Homeland Security","567","187786","Yes","http://www.tsa.dhs.gov/what_we_do/layers/twic/index.shtm","yes","no","no","yes","yes","09/13/2012","07:20:44"
"024-000005605","172","024","Department of Homeland Security","565","187802","No","http://www.tsa.gov/what_we_do/layers/secureflight/","no","no","no","yes","no","09/13/2012","07:17:56"
"024-000005625","175","024","Department of Homeland Security","557","187438","Yes","https://hazprints.tsa.dhs.gov/public/splash.aspx","no","no","no","no","yes","09/13/2012","07:16:40"
"024-000005625","175","024","Department of Homeland Security","559","187439","No","http://www.tsa.gov/what_we_do/layers/hazmat/index.shtm","no","no","no","no","yes","09/13/2012","07:16:40"
"024-000005609","181","024","Department of Homeland Security","561","191822","No","http://tdwi.org/pages/best-practices-awards/tdwi-best-practice-awards-2010-winners/tdwi-best-practive-awards-2010-winner-summaries.aspx","yes","yes","no","yes","yes","09/13/2012","07:17:19"
"024-000005609","181","024","Department of Homeland Security","563","191821","Yes","http://mitiq.mit.edu/iqis/2010/addenda/5a-1%20-%20jimwatts-2up.pdf","yes","yes","no","yes","yes","09/13/2012","07:17:19"
"009-000001422","184","009","Department of Health and Human Services","505","319950","Yes","http://www.acf.hhs.gov/programs/css","no","no","yes","no","yes","03/25/2013","09:21:55"
"009-000001422","184","009","Department of Health and Human Services","4173","323790","Yes","http://www.acf.hhs.gov/programs/css/fpls","no","no","yes","yes","no","03/25/2013","09:21:55"
"009-000001462","186","009","Department of Health and Human Services","509","320382","Yes","https://home.grantsolutions.gov/home/","yes","no","no","yes","yes","09/12/2012","16:06:34"
"009-000001424","187","009","Department of Health and Human Services","471","318282","Yes","http://meps.ahrq.gov/mepsweb/","yes","no","no","yes","yes","09/12/2012","16:03:48"
"009-000001424","187","009","Department of Health and Human Services","473","318283","Yes","http://meps.ahrq.gov/mepsweb/data_stats/onsite_datacenter.jsp","yes","no","no","yes","no","09/12/2012","16:03:48"
"009-000001424","187","009","Department of Health and Human Services","475","318284","Yes","http://meps.ahrq.gov/mepsweb/data_stats/meps_query.jsp","yes","no","no","yes","no","09/12/2012","16:03:48"
"009-000001424","187","009","Department of Health and Human Services","477","318285","Yes","http://meps.ahrq.gov/mepsweb/data_stats/quick_tables.jsp","yes","no","no","yes","no","09/12/2012","16:03:48"
"009-000001424","187","009","Department of Health and Human Services","479","318286","Yes","http://meps.ahrq.gov/mepsweb/data_stats/download_data_files.jsp","yes","no","no","yes","no","09/12/2012","16:03:48"
"024-000009900","191","024","Department of Homeland Security","447","190186","No","https://nbis.dhs.gov","no","no","no","no","no","09/12/2012","15:29:26"
"024-000009900","191","024","Department of Homeland Security","449","190187","No","https://www.strabo.info/bconx","yes","no","no","no","no","09/12/2012","15:29:26"
"024-000009900","191","024","Department of Homeland Security","451","190188","No","https://data.strabo.info/bbx30","yes","no","no","no","no","09/12/2012","15:29:26"
"024-000009900","191","024","Department of Homeland Security","453","190235","Yes","http://www.itdashboard.gov/search-resultssearch+form=&searchquery=bcon&as_values_060=","no","yes","no","yes","yes","09/12/2012","15:29:26"
"024-000009900","191","024","Department of Homeland Security","455","190234","Yes","https://explore.data.gov/national-security-and-veterans-affairs/health-security-scoring-november-2010-gulf-of-mexi/9w7m-4ixk/about","yes","no","no","yes","no","09/12/2012","15:29:26"
