Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Unique Project ID,Project ID,Agency Project ID,Project Name,Objectives / Expected Outcomes,Start Date,Completion Date,Project Life Cycle Cost ($M),Schedule Variance (in days),Schedule Variance (%),Schedule Color,Cost Variance ($ M),Cost Variance (%),Cost Color,Updated Date,Updated Time
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1231-24-01","1094","","Direct Loan System (DLS)","The Direct Loan System (DLS) is the only portion of the CFLPIDS project that is currently in the Development, Enhancement, and Modernization (DME) phase of the project life cycle. The DLS project is intended to streamline and modernize current FLP inefficient, duplicative, and paper-based loan making and loan servicing processes and support both the USDA's Strategic Plan as well as the Agency's Strategic Plan by deploying solutions that are customer focused, collaborative and results oriented. As such, the primary mission of the DLS modernization effort is to deliver timely, effective programs and services to America's Farmers and Ranchers for ownership, operating, and emergency loans through a streamlined and modernized integration of IT platforms, processes, and data stores. Throughout the development of the CFLPIDS system, great care is taken in order to leverage existing technology, COTS packages, and new innovations in order to provide first-rate support to our customers through both in-office and mobile services. This system is a collaborative effort between Government and Contractor resources that is being developed using the Systems Development Life Cycle (SDLC) methodology and continually strives to leverage existing government technology, COTS functionality, as well as new technological developments to provide first-rate support to our End Users and customers. As functionality is migrated to the DLS system, outdated systems are being retired. The scope of this project has been well defined, however new developments will have a major impact on the existing project. The Commodity Credit Corporation (CCC) Farm Storage Facility Loan (FSFL) project resides on an outdated AS400 platform and was originally scheduled to be included in the MIDAS project. In FY 2012, due to delays in the MIDAS project, the decision was made to move the FSFL to the FLP IT platforms since they were similar loan programs.  This project will require significant modifications to the DLS system and require interfaces to the Farm Program (FP) back-End processes.","2002-10-01","2018-09-28","116.800000","0","0.00","Green","0.884000","3.87","Green","2013-08-20","17:08:50"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1231-25-01","1095","","Farm Loan Program Risk Assessment (FLPRA)","The FLPRA system pulls data from other FLP applications and generates various management reports used to identify high risk lending States. Once a service center is reviewed and scored, the data is entered at the State level and the system tracks the scores assigned to Service Centers. This system replaced the Legacy National Internal Review (NIR) system in February 2006 and is currently in Steady State.","2002-10-01","2018-09-28","23.360000","0","0.00","Green","0.008000","1.90","Green","2013-08-20","17:08:51"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1231-30-01","1096","","Farm Business Plan (FBP)","The FBP system is a Web based system that evaluates an individual Borrowers situation and identifies ways that the FLP can provide assistance. This system replaced functionality from the Legacy System 36 Management of Agriculrural Credit (MAC) system in May 2007 and is currently in Steady State.","2002-10-01","2018-09-28","23.360000","0","0.00","Green","-1.317000","-22.46","Yellow","2013-08-20","17:08:51"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","APLUS-001","1650","","APLUS Operations and Maintenance","Contractor and FTE maintenance and production support for the APLUS program.","2011-07-01","2014-09-30","1.670000","0","0.00","Green","-0.128000","-10.20","Yellow","2013-04-26","16:17:28"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","GSM-001","1651","","GSM Operations and Maintenance","Contract and FTE maintenance and production support for the current GSM PowerBuilder and web applications and the GSM datamart.","2004-10-01","2014-09-30","3.922000","0","0.00","Green","0.104000","2.87","Green","2013-04-26","16:17:28"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","GSM-002","1652","","GSM Migration","Migration of the GSM functionality on the PowerBuilder platform to a JAVA based web application using USDA and FSA architectural standards.","2011-07-01","2013-01-30","1.907000","0","0.00","Green","0.139000","7.29","Green","2013-03-25","10:03:04"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","APLUS-002","5575","","APLUS-Migration","Migration of the APLUS application on the mainframe platform to a JAVA based web application using USDA and FSA architectural standards.","2013-10-01","2014-09-30","2.592000","0","0.00","Green","0.000000","0.00","Green","2012-09-14","18:21:44"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","GSM-003","5577","","FMMI Interface","Allow integration with FMMI-Readiness applications.","2013-10-01","2014-09-30","0.602000","0","0.00","Green","0.000000","0.00","Green","2012-09-14","18:21:45"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","001","1676","","Initial Operating Capability (IOC) Release 1 Deployment D1.0","IOC Release 1 D1.0. Releases will follow SAP ASAP methodology (project prep, blueprint, realization, final prep and go live).","2011-07-01","2013-01-25","100.676191","-217","-37.80","Red","-3.119485","-3.10","Green","2012-11-30","11:15:23"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","002","5609","","Initial Operating Capability (IOC) Release 1 Deployment D1.1","IOC Release 1 D1.1. Releases will follow SAP ASAP methodology (project prep, blueprint, realization, final prep and go live).","2012-05-01","2013-07-01","42.927415","-91","-21.36","Yellow","0.000000","0.00","Green","2012-11-30","11:15:23"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","2317-06-01","3221","","FMMI Deployment 3 Wave 2","Testing, Deployment, and Stabilization of Forest Service (FS).","2012-06-01","2012-12-31","7.320000","0","0.00","Green","3.813000","52.10","Red","2013-04-26","16:17:37"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","2317-06-03","5783","","General Usability Enhancement Release 2","Improve overall usability of FMMI.","2013-10-01","2014-09-30","3.000000","0","0.00","Green","0.000000","0.00","Green","2013-04-26","16:17:37"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","2317-06-05","5785","","General Usability Enhancement Release 1","Improve overall usability of FMMI.","2013-01-01","2013-09-30","3.000000","0","0.00","Green","0.010000","0.33","Green","2013-08-20","18:45:14"
"005-000001496","229","005","Department of Agriculture","FPA-P2 - Fire Program Analysis System - Phase 2","1","1740","","FPA-P2 - Fire Program Analysis System - Phase 2","The purpose of the Fire Program Analysis system is to provide managers with acommon interagency process for strategic fire management planning and budgeting. It will beused to evaluate the effectiveness of alternative fire management strategies to support landmanagement goals and objectives.","2005-01-01","2016-10-01","39.180338","0","0.00","Green","0.061100","2.46","Green","2013-04-26","16:17:34"
"005-000000083","230","005","Department of Agriculture","Public Health Data Communications Infrastructure System (PHDCIS)","A_PHDCIS","5907","","Elimination of Cold Fusion Applications.","Elimination of Cold Fusion Applications.","2012-10-01","2013-09-30","0.500000","0","0.00","Green","0.000000","0.00","Green","2012-11-01","16:45:15"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","PHICP-PHIS","1746","","Public Health Information System.","Designed to integrate data from all agency systems and program areas for use as a tool in making the most informed decisions about inspection, sampling, policy and other food safety activities to protect public health.","2007-09-27","2018-12-30","141.478000","0","0.00","Green","0.051000","0.31","Green","2013-08-20","17:15:33"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","GESD14-010","5809","","Enterprise Reporting","To modernize reporting at NFC, moving from a collection of legacy reporting systems to a single corporate data warehouse and business intelligence toolset that will add value to the HRLob offering.","2012-04-01","2015-09-30","5.548069","0","0.00","Green","5.548069","100.00","Red","2013-03-25","09:01:44"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","GESD14-012","5811","","PPS Risk Mitigation","Conversion of the Payroll System Development environment from IDMS to DB2.","2012-04-01","2015-09-30","1.000000","-43","-21.83","Yellow","1.000000","100.00","Red","2013-03-25","09:01:44"
"005-000002328","235","005","Department of Agriculture","IBS - Incident Business System","1","1767","","Provision of O&M Services","Provides services required to meet objectives of investment.","2006-10-01","2013-09-30","2.845000","0","0.00","Green","0.141400","4.97","Green","2013-04-29","22:18:58"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","10","5863","","Oracle Discoverer","Oracle Discoverer will provide much needed reporting capabilities for IAS users to gain a full end to end view of the acquisition cycle.","2011-10-03","2012-03-30","0.350000","-52","-29.05","Yellow","0.000000","0.00","Green","2012-11-29","12:33:15"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","11","5865","","Risk Management Framework (C&amp;A Phase I)","The PSD Security Team will be completing the Assessment and Authorization (A&amp;A) of IAS in 2013 per the three year cycle requirement. The current Contractor will be responsible for completing Phase I.","2012-10-01","2013-03-29","0.100000","0","0.00","Green","0.000000","0.00","Green","2013-04-26","16:17:39"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","7","5867","","Risk Management Framework (C&amp;A Phase II)","The PSD Security Team will be completing the Assessment and Authorization (A&amp;A) of IAS in 2013 per the three year cycle requirement. The current Contractor will be responsible for completing Phase I. An independent contractor will be responsible for conducting Phase II.","2013-04-01","2013-09-30","0.150000","0","0.00","Green","0.000000","0.00","Green","2013-08-20","17:20:29"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","8","5869","","eAuthentication","This project will adopt and implement a Single Sign On (SSO) user access management using Oracle Enterprise Single Sign On Suite and PRISM SSO enhancement. This will provide users with a unified sign on and authentication across all IAS enterprise resources.","2011-02-14","2011-12-30","0.700000","-139","-75.96","Red","0.000000","0.00","Green","2012-09-19","09:28:48"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","9","5871","","FMMI Conversion","The FMMI Conversion project will transfer agencies currently interfacing to the old FFIS financial accounting system to the new enterprise-wide FMMI financial system.","2011-08-15","2011-12-30","0.150000","-326","-237.96","Red","0.000000","0.00","Green","2012-12-28","17:15:43"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010001","672","","FISMA Compliance FY12.","FISMA compliance.","2011-10-01","2012-09-30","0.030000","-517","-284.07","Red","0.000000","0.00","Green","2012-09-14","22:21:47"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010002","673","","FTE Support FY12.","FTE Support.","2011-10-01","2012-09-30","0.700000","-517","-124.88","Red","0.000000","0.00","Green","2012-09-14","20:35:58"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010003","674","","Acquisition Support FY12.","Acquisition Support FY12.","2011-10-01","2012-09-30","1.017000","-334","-91.51","Red","0.000000","0.00","Green","2012-09-14","22:21:47"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010004","5595","","FISMA Compliance FY13.","RMF.","2012-10-01","2013-09-30","0.120000","0","0.00","Green","0.000000","0.00","Green","2013-08-20","15:24:26"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010005","5597","","Acquisition Support FY13.","NITC Hosting and Contract Help Desk.","2012-10-01","2013-09-30","0.810000","0","0.00","Green","0.010000","1.23","Green","2013-08-20","15:24:26"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010006","5599","","FTE Support FY13.","FTE Support FY13.","2012-10-01","2013-09-30","0.180508","0","0.00","Green","0.000000","0.00","Green","2013-08-20","15:24:26"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010007","5601","","FISMA Compliance FY14.","FISMA Compliance.","2013-10-01","2014-09-30","0.012000","0","0.00","Green","0.000000","0.00","Green","2012-09-14","22:21:47"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010008","5603","","Acquisition Support FY14.","NITC Hosting and Help Desk.","2013-10-01","2014-09-30","0.548280","0","0.00","Green","0.000000","0.00","Green","2012-09-14","22:21:47"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010009","5605","","FTE Support FY14.","FTE Support FY14.","2013-10-01","2014-09-30","0.180508","0","0.00","Green","0.000000","0.00","Green","2012-09-14","20:35:58"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","2223-CRO","1106","","NRM Customer Relations Operations","This represents the Major Customer Relations Operations that the NRM Staff carry out on an annual basis in support of the NRM Vision and annual program of work including: Account Management, Change Management, Help Desk Operations, Communications, Training, and Leadership activities.","2011-10-01","2012-09-30","4.885000","0","0.00","Green","0.768000","15.72","Yellow","2013-03-25","15:01:32"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","2223-DCO","1107","","NRM Data Center Operations","This represents the major Data Center Operations that the NRM staff carry out on an annual basis in support of the NRM business applications and the NRM Steering Commitee approved annual program of work including: Architectural Direction; Data Center Operations (systems &amp; database); Security Operations; Program Management Support; and Leadership Activities.","2011-10-01","2012-09-30","7.020000","0","0.00","Green","0.700000","9.97","Green","2012-11-30","11:15:29"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","2223-R57","1108","","NRM Release 5.7 (February, 2012)","NRM Maintenace Release 5.7. Includes  Program of Work proposals identified as &quot;critical&quot; by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.","2011-10-01","2012-02-29","6.958000","0","0.00","Green","-0.315000","-4.53","Green","2012-11-30","11:15:29"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","2223-R58","1109","","NRM Release 5.8 (May, 2012)","NRM Maintenace Release 5.8. Includes  Program of Work proposals identified as &quot;critical&quot; by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.","2012-03-01","2012-05-31","4.175000","0","0.00","Green","-0.224000","-5.37","Green","2012-11-30","11:15:29"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","2223-R59","1110","","NRM Release 5.9 (August, 2012)","NRM Maintenace Release 5.9. Includes  Program of Work proposals identified as &quot;critical&quot; by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.","2012-06-01","2012-08-31","4.175000","0","0.00","Green","-0.224000","-5.37","Green","2012-11-30","11:15:29"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","2223-R60","1111","","NRM Release 6.0 (September 2012)","Minor NRM Release to address FY2012 Year End Reporting.","2012-09-01","2012-09-30","1.392000","0","0.00","Green","-0.076000","-5.46","Green","2012-11-30","11:15:29"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","2223-YE11","1112","","FY2011 Year End Reporting","Year end reporting includes rolling over performance reports to the year end section of the Corporate Data Warehouse; the creation of new annual performance reports; rolling over year end reports to the almanac; Feed this year's  performance measures to the USFS Performance Accountability System (PAS).  Initiate next year's Performance measures to PAS.","2011-10-01","2011-12-31","0.200000","-152","-167.03","Red","0.043755","21.88","Yellow","2013-03-25","15:01:32"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","2223-YE12","1113","","FY2012 Year End Reporting","Year end reporting includes rolling over performance reports to the year end section of the Corporate Data Warehouse; the creation of new annual performance reports; rolling over year end reports to the almanac; Feed this year's performance measures to the USFS Performance Accountability System (PAS). Initiate next year's Performance measures to PAS.","2012-08-01","2012-12-31","0.400000","-242","-159.21","Red","0.000000","0.00","Green","2013-03-25","15:01:32"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","2223-13-Q1","6179","","FY2013 NRM O&M 1st Quarter","NRM Maintenace Release 6.2 Includes changes to NRM for USDA FMMI production and FY2013 Program of Work proposals identified as critical by the NRM Extended Team and approved by the NRM Steering Commitee. POW proposals are documented and available for review at https://ems-team.usda.gov/sites/fs-nfs-nrm-nrms/SitePages/POW%20Welcome%20Page.aspx At the time of this submission the assignment of POW proposals to specific NRM Releases were still being finalized. NRM Maintenance proposals uder consideration include: NRM Operations & Maintenance Infrastructure (279); GI Outputs (33); Update special Uses Application (SUDS) to meet Law, Regulation and Policy (170, 168); Spatially enablilng SUDS Mapping (160); Shared Component Maintenance (51); ALP Land Status Record System Maintenance (125); Disconnected Editing Architecture; (281); Rangeland Inventory & Monitoring and the Inventory and Mapping (TEUI, Geology, Soils, PNV) applications Maintenance (56); Engineering: Facilities Maintenance & Bug Fixes, Quality Control, Deferded Maintenance, and Drinking Water Systems (254); Finish Revision to Trail Bridges & TRBR Maintenance (245); FSVeg Spatial Data Analyzer Maintenance and Support (71); FSVeg Spatial Migration (69); Full integration of Species List Management into Taxa (132); Fusion Middleware - WebMethods/SDE10 (247); Grants & Agreements (G&A) Maintenance (161); G&A System Generated Emails (162); G&A Federal Funding Accountability and Transparancy Act (FFATA) Reporting (165); G&A Interface with WorkPlan (163); G&A Accurate Reporting (164); Groundwater Dependent Ecosystems Protocols (66); Heritage GIS (74); Heritage Historic Status (102); Heritage Reporting & Bug Fixes (243); Heritage Wildland Fire Decision Support (267); Implement FMMI Interface Requirements (48); NRM Architecture (318, 320, 321); Mineral Materials Maintenance (180); Infrastructure Modernization (251); NRIS Legacy Data Migration (52); National Visitor Use Monitoring Maintenance (93); Recreation Sites Survey Mobile (58); Common Architecture (221); Federal Real Property Profile (FRPP) New Reporting Requirements (268); Enterprise Data Warehouse (EDW) Transition (249); Real Propery Maintenance Close and Prep for New 5-Year Cycle, and Job Corps Data Cleanup (265); FACTS Maintenance (252); Special Uses (SUDS) Fiancials (222); TIM Maintenance (34); Trails Updates and Enhancements (202); Trail Mobile Application eTRACS (246).","2012-10-01","2012-12-31","7.417000","-242","-265.93","Red","0.000000","0.00","Green","2012-11-30","11:15:29"
