Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Legislative Mandate Required,Legislative Mandate Description,Audit Finding Resolution Required,Audit Finding Resolution Description,Published Agency Strategic Performance Plan Required,Published Agency Strategic Performance Plan Description,Published Agency Strategic Performance Plan PRM Codes,Presidential Priority Required,Presidential Priority Description,Other Requirement Required,Other Requirement Description,Updated Date,Updated Time
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","no","","no","","no","","P40-005-070","no","","yes","FNCS IT Infrastructure investment provides the critical enabling support for all USDA FNS and CNPP programs, as well as administrative, management and financial management functions.","09/16/2011","15:00:47"
"005-000001496","229","005","Department of Agriculture","FPA-P2 - Fire Program Analysis System - Phase 2","no","","no","","no","","","no","","no","","09/16/2011","15:00:49"
"005-000000083","230","005","Department of Agriculture","Public Health Data Communications Infrastructure System (PHDCIS)","yes","Safe Port Act of 2006 Federal Meat Inspection Act Poultry Products Inspection Act Egg Products Inspection Act, and Humane Methods of Livestock Slaughter Act.","yes","OIG Audit Report Risk-Based Inspection February 5 2008.","yes","Goal 8: Based on the defined Agency business needs, develop, maintain, and use innovative methodologies, processes, and tools, including PHIS, to protect public health.","P43-005-070","no","","no","","09/14/2012","10:28:48"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","yes","Safe Port Act of 2006 Federal Meat Inspection Act Poultry Products Inspection Act Egg Products Inspection Act, and Humane Methods of Livestock Slaughter Act.","no","OIG Audit Report Risk-Based Inspection February 5 2008.","yes","Goal 1: Ensure that food safetyinspection aligns withexisting and emerging risksMeat and poultry inspection is targetedto existing and emerging risks Oversight of imported products is targeted at areas of greatest risk.  The Nation enjoys safer, more secure domestic and imported food products.  Effective response procedures for non-routine (emergency) incidents are in place. Goal 2: Risk-based measures strengthen regulatory verification and enforcement activities on behalf of the consumer.  Assessments are used to identify physical, chemical, biological, and radiological hazards for domestic and imported products.Goal 8:Based on the defined Agencybusiness needs, develop, maintain,and use innovative methodologies,processes, and tools, includingPHIS, to protect Public Health.","P43-005-070","no","N/A.","no","","09/19/2012","17:13:17"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","no","","no","","no","","","no","","yes","SecurityNational Institute of Standards and Technology (NIST) Special Publication 800-53;Federal Information Security Management Act (FISMA); OMB Circular A-130; Privacy Act, Government Information Security Reform Act. Meets Federal and Departmental security regulations, policies, standards, and guidelines and applicable laws.","09/16/2011","16:41:10"
"005-000002328","235","005","Department of Agriculture","IBS - Incident Business System","no","","no","","no","","","no","","no","","09/16/2011","15:01:06"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","yes","The Federal Acquisition Regulation (FAR) is a substantial and complex set of rules governing the federal government's purchasing process. When a government agency issues a contract or a proposal, it will specify a list of FAR provisions that apply to that contract, which may be numerous. FARA, the Federal Acquisition Regulations Automated software, is an automated procurement system that allows users to access the vast amount of text contained in the FAR, FAR Supplemental Regulations, and other Federal or local regulations. Information obtained in searches can be used to help assemble solicitations or contracts. The clauses and provisions selected for a particular procurement document can be saved to be reused later for assembly of a similar solicitation or contract. As the regulations and clauses stored in the FARA databases are changed, Compusearch obtains them and updates the databases. IAS business requirements support FAR-compliant acquisition and reporting.","yes","The organization implements a process for ensuring that plans of action and milestones (POA&Ms) for the security program and the associated organizational information systems are maintained.  It also documents the remedial information security actions to mitigate risk to organizational operations and assets, individuals, and other organizations.  The POA&Ms are an important aspect of the information security program and are subject to federal reporting requirements established by OMB. POA&M updates are based on the findings from security control assessments, security impact analyses, and continuous monitoring activities. OMB FISMA reporting guidance contains instructions regarding organizational plans of action and milestones. IAS has a system security team that works to ensure compliance with such legislation.","no","Currently, there is no Departmental Management (DM) Strategic Plan.  IAS does comply with some of the Management Initiatives detailed in the USDA Strategic Plan for FY2010   2015, as described in Section B, #1 of the Exhibit 300.","","yes","The Federal Government, with leadership from the Department of Agriculture (USDA), has made significant strides in implementing the BioPreferred program. It is one of the key elements in the President's efforts to promote sustainable acquisition throughout the Government under EO. 13514 of 5 Oct 09. The goal of this Pres Memo is to ensure that executive departments and agencies effectively execute Federal procurement requirements for biobased products, including those requirements identified in EO. 13514 and prescribed in the 2002 Farm Bill; as amended by the 2008 Farm Bill. It is further amended in the Pres. Memo. Driving Innovation and Creating Jobs in Rural America through Biobased and Sustainable Product Procurement, 2 Feb 12, that &quot;...to amend USDA's automated contract writing system, ...to serve as a model for biobased product procurement throughout the Federal Government by adding elements related to acquisition planning, evaluation factors for source selection...&quot;.","no","NA.","09/16/2011","15:01:11"
"005-000000047","237","005","Department of Agriculture","Integrated Program Accounting System (IPAS)","yes","IPAS is the financial management system used by FNS to control approximately $100 billion of program funds annually.  IPAS is compliant with all federal requirements including: the Federal Financial Management Improvement Act; Circular A-127; the Federal Information Security Management Act; the Chief Financial Officers Act; and the Federal Managers Financial Integrity Act.","no","","no","","P40-005-070","no","","no","","09/16/2011","15:01:15"
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","yes","Title 7 - AGRICULTURE Chapter 6 - Insecticides and Environmental Pesticide Control Sec. 136i-2. Collection of pesticide use information. Chapter 17 - Miscellaneous Matters Sec. 411b. Estimates of apple production. Chapter 19 - Cotton Statistics and Estimates Sec. 473. Persons required to furnish information; request; failure to furnish; false information Sec. 476. Cotton Acreage reports -- issued a report on or before the 12th. Chapter 32 - Peanut Statistics Sec. 951. Collection and publication; facts required; submission of report. Chapter 35A - Price Support of Agricultural Commodities Subchapter I - General Provisions Sec. 1421d. Commodity reports. Chapter 38 - Distribution and Marketing of Agricultural Products Sec. 1626. Definitions Subchapter III - Dairy Product Mandatory Reporting Sec. 1637b. Mandatory Reporting for Dairy Products.","no","","yes","Agency Goal 1: Enhance the Competiveness and Sustainability of Rural and Farm Economies. Objective 1.1: Provide Statistical Data to Promote Efficient Domestic Agricultural Production and Marketing Systems. Objective 1.2: Provide Statistical Data for Risk Management and Financial Tools to Farmers and Ranchers. Objective 1.3: Provide Statistical Data for Emerging Agricultural Markets Agency. Goal 2: Assist USDA in Protecting and Enhancing the Nation's Natural Resource Base and Environment. Objective 2.1: Provide Statistical Data to Support Management of Productive Working Cropland Agency. Goal 3: Support a safe U.S. Food Supply and Agricultural Production. Objective 3.1: Provide Chemical Usage Statistics to Enable Informed Decisions Using Sound Science in Risk Analysis Agency. Goal 4: Assist agricultural producers and rural communities in the development of renewable energy sources. Objective 4.1: Supply statistics for on-farm renewable energy program development and research.","","no","","no","","09/16/2011","15:01:22"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","yes","Animal Health Protection Act (7 U.S.C. 8301 et seq.).","no","","yes","Veterinary Services 2015 Project (2011).","P44-005-070","yes","Homeland Security Presidential Directive/ HSPD-9.","yes","Veterinary Services Information Technology Roadmap (2009).","09/16/2011","14:58:57"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","no","No technical solutions for the NRM investment are required by legislation at this time.","no","No technical solutions due to outstanding audit findings are required for the NRM investment at this time.","no","No technical solutions are required by the agency's published strategic plan for the NRM investment at this time.","","no","Not Applicable (N/A).","no","No technical solutions are required due to other requremets for the NRM investment at this time.","09/15/2012","00:02:12"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","no","","no","","no","","","no","","yes","The OCE Investment will provide the optimized infrastructure to the Service Center Agencies to support the delivery of the current and future Farm Programs and other customer agency programs.","09/16/2011","15:01:36"
"005-000000064","246","005","Department of Agriculture","RMA-01  Financial Management Systems (FMS)","yes","OMB Circular A-127 prescribes policies and standards for executive departments and agencies to follow when managing their financial management systems.  Revisions include incorporating new requirements for agencies to adopt standard financial business practices to use financial management shared service providers to implement and maintain their core financial system.This Circular is issued pursuant to the Chief Financial Officers Act (CFO Act) of 1990; the Federal Managers' Financial Integrity Act (FMFIA) of 1982; and the Federal Financial Management Improvement Act (FFMIA) of 1996.","no","Not Applicable (N/A).","yes","FMS is the financial system of record for the Agency and Corporation. FMS supports Goal 1 of RMA s Strategic Plan, which maps to Goal 1 of the USDA s Strategic Plan.","P45-005-067","no","","no","Not Applicable (N/A).","09/16/2011","15:01:39"
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","yes","OMB Circular A-127 prescribes policies and standards for executive departments and agencies to follow when managing their financial management systems.  Revisions include incorporating new requirements for agencies to adopt standard financial business practices to use financial management shared service providers to implement and maintain their core financial system.This Circular is issued pursuant to the Chief Financial Officers Act (CFO Act) of 1990; the Federal Managers' Financial Integrity Act (FMFIA) of 1982; and the Federal Financial Management Improvement Act (FFMIA) of 1996.","no","Not Applicable (N/A).","yes","The AFS (Actuarial Filing System) establishes the risk management products sold and serviced via industry partners.  The DAS (Data Acceptance System) acts as the interface between the Agency and its private industry partners transferring data, governs checks and balances between RMA and private technology systems to provide reasonable assurance of quality and reliability of data, acts as the entry point for all downstream investment/system processing for the Agency.  The investment also includes an MIS (management information system) that includes reporting tools and interfaces for use by the public, partners, interested parties (agricultural groups, agri-business, schools and universities, etc.) and RMA.","P43-005-067","no","","no","Not Applicable (N/A).","09/16/2011","15:01:41"
"005-000001430","248","005","Department of Agriculture","RMA-04  Infrastructure Modernization, Support and Training (IMST)","no","Not Applicable (N/A).","no","Not Applicable( N/A).","yes","IMST provides the infrastructure for all RMA investments. IMST supports Goal 1 of RMA s Strategic Plan, which maps to Goal 1 of the USDA s Strategic Plan.","P43-005-067","no","","no","Not Applicable (N/A).","09/18/2012","11:11:58"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","yes","OMB Circular A-127 prescribes policies and standards for executive departments and agencies to follow when managing their financial management systems.  Revisions include incorporating new requirements for agencies to adopt standard financial business practices to use financial management shared service providers to implement and maintain their core financial system.This Circular is issued pursuant to the Chief Financial Officers Act (CFO Act) of 1990; the Federal Managers' Financial Integrity Act (FMFIA) of 1982; and the Federal Financial Management Improvement Act (FFMIA) of 1996.","yes","An OIG audit identified the need for a single integrated reporting system to facilitate the reconciliation of producer crop year data reported to different USDA agencies as required by the Agricultural Risk Protection Act of 2000.  The audit findings stated that  Without significant changes in planning, executing, referring data discrepancies, and correcting information systems, the ability of either agency to enhance the existing data reconciliation process will be extremely limited.","yes","Legacy FMS is the financial system of record for the Agency and Corporation. FMS supports Goal 1 of RMA s Strategic Plan, which maps to Goal 1 of the USDA s Strategic Plan. EITA will replace this legacy system.","P43-005-067","no","","yes","Standard Reinsurance Agreement (SRA) is a cooperative financial instrument whereby the FCIC offers reinsurance to approved insurance providers. The qualifying standards at 7 CFR Part 400 Subpart L for an SRA authorizes Approved Insurance Providers (AIPs) to sell and service crop insurance policies on behalf of the FCIC. EITA applications comply with SRA authorization.","09/16/2011","15:01:46"
"005-000000028","250","005","Department of Agriculture","ROSS - Resource Ordering and Status System","no","Not Applicable (N/A).","no","Not Applicable (N/A).","no","Not Applicable (N/A).","","no","Not Applicable (N/A).","yes","ROSS is required by the 1995 Federal Wildland Fire Policy Memorandum signed by Secretary of Agriculture Dan Glickman and Secretary of Interior Bruce Babbitt, the Federal Wildland fire management agencies were directed as a matter of high priority to implement the principles, policies and recommendations of the Federal Wildland Fire Management Policy and Program Report. This memorandum directed the agencies to correct the deficiencies in the dispatch process. ROSS is a result of this action. In 2005, ROSS Phase 2 was charted. The ROSS Phase 2 charter focuses on additional requirements for the application that were identified by the ROSS change control process. The business needs for ROSS Phase 2 included improve system functionality, the ability to exchange data with external systems, and assure operational continuity.","09/19/2012","09:11:23"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","yes","Food and Nutrition Act of 2008 mandates that FNS manage retailer participation in SNAP.  FNS takes actions to authorize, reauthorize, monitor, investigate, and administratively sanction retailer. To meet these mandates efficiently and effectively, and with a high level of integrity, FNS relies on the Store Tracking and Redemption System, a national database and work management system, to securely maintain records of applications, authorizations, participation history, and sanctions against retailers; oversee EBT benefit issuance and redemptions systems; maintain and reconcile benefit redemption records.","yes","In response to GAO Audit GAO 07-53, which recommended more robust use of data on history of locations and persons, a risk profile was implemented in STARS for each applicant/authorized store/meal service, based on data in STARS.  The STARS risk profile for the store/meal service is used to flag high-risk applicants and firms due for reauthorization; these stores receive additional attention.  The automated application processing workflow also builds in sophisticated screening of the records in STARS for the location and the owner to identify specific follow-up actions needed in processing the application.  These screening and flagging measures help promote increased integrity and efficient use of resources, to target efforts to applicants/currently authorized locations most at risk of violating the program.","yes","The FNCS IT Strategic Plan for 2007-2011 complements the Agency Priority Plans for these years, by outlining specific technologic improvements planned, such as insuring adequate network capacity, ability to handle online applications from retailers, and ability to accommodate e-signatures.STARS development has supported and continues to support FNS Agency Priority Plans and associated Core Commitments Plans going back to at least FY 06 and continuing to the present.  STARS specifically supports those elements relating to improving SNAP [previously FSP] integrity and the re-engineering of retailer operations business processes for greater efficiency and best use of resources.","P40-005-070","no","","no","","09/16/2011","15:01:56"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","yes","OMB, HSPD-12, FICAM.","no","","yes","DM-4620, DR-3640.","P43-005-067","yes","HSPD-12.","no","","09/16/2011","15:02:00"
"005-000000018","253","005","Department of Agriculture","Web-Based Supply Chain Management (WBSCM)","no","N/A.","no","N/A.","no","N/A.","","no","","no","N/A.","09/16/2011","15:02:03"
"005-000001742","254","005","Department of Agriculture","FSA Architecture, SDLC and Common IT Solutions  #0109","yes","Office of Management and Budget Circular A-11  Preparation, Submission, and Execution of the Budget  (07/11/2010) documents specific roles and responsibilities of the Chief Architect in the Capital Planning and Investment Control process.   It also requires adequate investment in Enterprise Architecture and Planning. Office of Management and Budget Circular A-130, Transmittal Memorandum #4  Management of Federal Information Resources  (11/28/2000) further expands on the proactive role the Chief Enterprise Architect must play in planning processes.  It also clearly defines the mandatory scope and role of Enterprise Architecture.","no","","no","The goals and objectives of both the Enterprise Architecture Program and the Program Management Office directly support the FSA Office of the OCIO Technology Strategic Plan, FY2010- FY2013.","","no","","no","","09/16/2011","15:00:52"
"005-000000054","271","005","Department of Agriculture","Geographic Information System  (GIS) #84","no","","no","","no","","","yes","This investment supports the Federal Geospatial Platform and also supports Departmental efforts to streamline sharing and access to Geospatial Data.","no","","09/16/2011","15:01:03"
"005-000000073","393","005","Department of Agriculture","AgPRS - USDA Public Safety Land Mobile Radio System","no","N/A.","no","","yes","AgPRs provides essential and instantaneous communication. This communication supports field-oriented administrative, project, incident, safety, and emergency work. The challenge of the program is to provide reliable radio coverage over large land areas to support firefighting, law enforcement, and a range of natural resource work. In many locations, the FS radio system is the only means of communication, further increasing the criticality of this system.","","no","N/A.","no","","09/14/2012","10:26:13"
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","no","Not Applicable (N/A).","no","Not Applicable (N/A).","no","Not Applicable (N/A).","","no","Not Applicable (N/A).","no","","09/18/2012","10:41:53"
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","yes","The CLP investment supports the American Recovery and Reinvestment Act, Housing Guaranteed Annual Fee, and Farm Bill legislative mandates.","yes","Financial Statement Audit - 1) Accelerate the conversion of RUS Legacy into RULSS.","yes","The CLP investment is listed as a management initiative within the RD IT Strategic Plan.","P42-005-067","no","None.","no","None.","09/16/2011","14:59:52"
"005-000002340","841","005","Department of Agriculture","Enterprise Information Management (EIM) #119","yes","This investment will help the agency achieve the goals identified in the paperwork reduction act as well as the e-government act, by reducing the amount of time and manual effort needed to serve customers and respond to information requests.","no","Not Applicable.","no","This investment is consistent with the following goals as stated in the IT Strategic Plan: Efficient and effective customer service, Enterprise architecture that is integrated and adaptive, effective communication with stakeholders, including producers. PMR Code: P-4-2-005-068.","","no","Not Applicable.","no","Not Applicable.","09/16/2011","15:00:25"
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","yes","NRCS needs to implement digital/electronic signature technology in the Conservation Desktop, Client Gateway and Mobile Planning Tools for clients and NRCS staff to help comply with: Government Paperwork Elimination Act (GPEA, P.L. 105-277) and Food, Conservation, and Energy Act of 2008 (Farm Bill 2008).  In addition NRCS needs to implement an enterprise electronic document storage technology for the Conservation Desktop and Client Gateway to help comply with the Government Paperwork Elimination Act (GPEA, P.L. 105-277).","yes","Based on recent financial audit findings NRCS needs to standardize its financial assistance business processes. To help address these deficiencies, CDSI has implemented standardized roles and permissions within its current and future financial assistance contracting software systems. The Conservation Desktop technology will reinforce standardized financial assistance business processes to help improve financial accountability. The Conservation Desktop (when fully implemented) will also bring all of NRCS  contracting and agreements management into one contract management system.","yes","The 2011-2015 NRCS Strategic Plan sets the direction and priorities for NRCS in all activities in helping people help the land. This plan will be used to develop tactics to deliver on our core mission. This plan is focused on three (3) overarching priorities: 1. Get more Conservation on the Ground. 2. Increase organizational effectiveness and efficiency. 3. Create a climate where private lands conservation will thrive. The agency s success on meeting these priorities will be measured by specific outcomes within our core mission and supporting activities. In the USDA's Strategic goal for 2010-2015 Strategic Goal 2: Ensure Our National Forests and Private Working Lands Are Conserved, Restored, and Made More Resilient to Climate Change, While Enhancing Our Water Resource addresses the mission of NRCS, and the PRM codes align to this Strategic goal.","P43-005-068,P42-005-068,P41-005-068,P44-005-068","yes","In the 25 point implementation plan it points to shifting to a Cloud First policy and CDSI will be utilizing a cloud solution. In &quot;DIGITAL GOVERNMENT: BUILDING A 1ST CENTURY PLATFORM TO BETTER SERVE THE AMERICAN PEOPLE&quot; the particular sections that are applicable to CDSI are Part A. Information-Centric sections 1. Make Open Data, Content, and Web APIs the New Default and secton2. Make Existing High-Value Data and Content Available through Web APIs and Part C. Customer-Centric sections 6. Deliver Better Digital Services Using Modern Tools and Technologies; 7. Improve Priority Customer-Facing Services for Mobile Use; 8. Measure Performance and Customer Satisfaction to Improve Service Delivery.","yes","The USDA has made an enterprise-wide decision to migrate all of their financial data and transactions from the Foundation Financial Information System to a new financial management system through the Financial Management Modernization Initiative.  This will drive the need to develop a new financial service to integrate with the business applications developed through the CDSI effort.","09/16/2011","16:58:07"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","yes","FISMA.","no","","no","","","no","","no","","11/30/2012","12:06:20"
"006-000525200","629","006","Department of Commerce","BEA Estimation Information Technology System (BEA-EITS)","yes","As a federal statistical agency, protecting confidential statistical information is central to BEA s mission. Laws prohibit the sharing of confidential or pre-release statistical source data. BEA conducts ongoing surveys covering international trade in services and foreign direct investment and the operations of multinational companies. U.S. Code Title 13, Title V of the 2002 E-Government Act, Confidential Information Protection and Statistical Efficiency Act (CIPSEA), and U.S. Code Title 22 (containing the International Investment and Trade in Services Act) require statistical agencies to maintain the confidentiality of information collected for statistical purposes. These laws limit access to and use of statistical data collected. Statistical Policy Directive No. 3 prohibits the disclosure of pre-release data between statistical agencies without prior authorization from OMB.","no","","yes","BEA's strategic plan.","P42-006-081","no","","yes","Release Schedule approved by OMB and published in advance for each calendar year.","09/13/2012","16:50:03"
"006-000400100","648","006","Department of Commerce","Census - American Community Survey (ACS)","yes","Title 13 U.S. Code; P.L. 94-171.","no","","yes","Strategic Goal 2b: Benchmark measures to advance the science and information goal-Provide timely, relevant, accurate, and accessible benchmark measures of the U.S. population, economy, and governments to assess U.S. competitiveness, identify new business opportunities, and foster domestic job growth. Objective 2b.1: Collect, process, and release information from the 2010 Census and the American Community Survey to meet constitutional and legislative mandates; to provide the information that governmental units, entrepreneurs, and other organizations need to make informed decisions; and to provide the benchmark infrastructure for current surveys.","","no","","yes","U.S. Constitution; Article I; Section 2.","09/13/2012","16:09:51"
"006-000400900","678","006","Department of Commerce","Census - Geographic Support Systems (GSS)","yes","US Constitution, Article 1, Section 2.","yes","OIG-12-024-I: High-Quality Maps and Accurate Addresses Are Needed to Achieve Census 2020 Cost-Saving Goals.","yes","U.S. Department of Commerce Strategic Plan FY 2011 - 2016.","","yes","Executive Order 12906; Public Law 103-430; OMB Circular A-16 Revised; Place-Based Initiative.","yes","Spatial Data Steward Responsibilities: FGDC & Geospatial One-Stop (OMB Circular A-16 Revised).","09/13/2012","14:19:20"
"006-000401000","680","006","Department of Commerce","Census - Local Employment Dynamics IT Support (LED)","no","","no","","yes","Objective 14 of the Department of Commerce 2011-2016 Strategic Plan: Enable informed decision-making through an expanded understanding of the U.S. economy, society, and environment by providing timely, relevant, trusted, and accurate data, standards, and services.","","no","","no","","09/16/2011","12:47:51"
"006-000310100","701","006","Department of Commerce","NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS)","no","","no","","yes","It specifically supports NOAA's Weather Ready Nation long-term goal to: 1 - reduce loss of life, property, and disruption from high-impact events; 2 - improve transportation efficiency and safety; and 3 - contribute to a more productive and efficient economy through environmental information relevant to key sectors of the US economy.","P43-006-081","no","","no","","09/16/2011","13:33:02"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","yes","- 15 USC 313 Weather Service Organic Act: NWS with WCOSS support has primary responsibility among Federal agencies to provide meteorological reporting and forecasting in the United States. - 49 USC 44720: NWS with WCOSS support provides meteorological services necessary for safe and efficient movement of aircraft in air commerce. -High-Performance Computing Act of 1991 - Title I: WCOSS supports improving numerical prediction software; acceleration of high-performance computer system development; technical support and research and development of software and hardware needed to address fundamental problems in environmental science; providing weather information which supports educating undergraduate and graduate students studying environmental sciences; and weather information to DHS and DoD for security.","no","","yes","NOAA High Peformance Computing Strategy published October 16, 2008, Strategic Plan for FY2011-2015 -- see http://www.cio.noaa.gov/HPCC/pdfs/HPC_Strategic_Plan.pdf.","P43-006-081","no","","yes","WCOSS is essential to the U.S. Government per the guidelines in NATIONAL WEATHER SERVICE INSTRUCTION 10-2202, September 5, 2006, Operations and Services, Readiness 10-22, CONTINUITY OF OPERATIONS and includes Presidential Decision Directive (PDD)-67.","09/14/2012","12:44:14"
