Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Performance Metric ID,Agency Performance Metric ID,Metric Description,Unit of Measure,Performance Measurement Category Mapping,Target 2014,Target 2015,Measurement Condition,Reporting Frequency,PRM Code,Latest Performance Metric Actual Id,Latest Agency Performance Metric Actual Id,Latest Actual Result,Latest Actual Status,Latest Actual Result Comment,Latest Actual Result Date,Is Closed?,Metric Updated Date,Metric Updated Time
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1622","3","Total Direct Loan Delinquency Rates.","Percent","3 - Financial Performance","8.000000","8.000000","Under target","Quarterly","","118299","49570","5.500000","","This metric is below the FY 2015 goal of 8.5%.","2014-12-31","no","08/30/2015","21:17:59"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1623","4","Total Direct Loan Loss Rates.","Percent","1 - Customer Satisfaction (Results)","3.500000","0.000000","Under target","Quarterly","","98423","","0.800000","Met","This metric is below the FY 2014 Goal of 3.5%.","2014-06-30","yes","08/30/2015","21:17:59"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1624","5","Percent of time that system is available to internal users during normal business hours.","Percent","1 - Customer Satisfaction (Results)","95.000000","95.000000","Over target","Quarterly","","118297","49520","96.000000","","This metric exceeds the FY 2015 goal of 95%.","2014-12-31","no","08/30/2015","21:17:59"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1625","6","Number of separate systems to query to provide input data to annual audit process.","Number of Systems","1 - Customer Satisfaction (Results)","1.000000","0.000000","Under target","Quarterly","","98427","","1.000000","Met","This metric meets the FY 2014 Goal of 1 system.","2014-06-30","yes","08/30/2015","21:17:59"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1626","7","Maximum number of manual data entry and/or manual file transfer points among systems during a delinquent loan cycle.","Number","1 - Customer Satisfaction (Results)","2.000000","0.000000","Under target","Monthly","","103659","","1.000000","","This metric meets the FY 2014 Goal of under 2 Data Entry Points.","2014-07-31","yes","08/30/2015","21:17:59"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1627","8","First Year Delinquent Rates for New Loans","Delinquency Percentage","1 - Customer Satisfaction (Results)","10.000000","0.000000","Under target","Quarterly","","98431","","6.500000","Met","This metric is below the FY 2014 Goal of 10.0%.","2014-06-30","yes","08/30/2015","21:17:59"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1628","9","Average number of days from application receipt to disposition of Emergency Loans","Number of Days","1 - Customer Satisfaction (Results)","30.000000","0.000000","Under target","Quarterly","","98433","","28.000000","Met","This metric is below the FY 2014 Goal of 30 Days.","2014-06-30","yes","08/30/2015","21:17:59"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1629","10","Increase Lending Beginning Farmers and Ranchers","Percent","2 - Strategic and Business Results","42.000000","42.000000","Over target","Quarterly","","118293","49594","52.200000","","This metric exceeds the FY 2015 goal of 42.7%.","2014-12-31","no","08/30/2015","21:17:59"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","6379","11","Increase Lending to Minorities and Socially Disadvantaged Farmers and Ranchers","Percent","2 - Strategic and Business Results","18.100000","18.100000","Over target","Quarterly","","118287","49529","28.000000","","This metric exceeds the FY 2015 goal of 18.7%.","2014-12-31","no","08/30/2015","21:17:59"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","20487","1","Maximum allowance for unplanned downtime","Percentage","2 - Strategic and Business Results","0.500000","0.500000","Under target","Annual","404-139-221","136957","55649","98.020000","","FY Q1 2823 out of 2880 possible hours","2015-04-30","no","08/28/2015","22:18:17"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","20489","2","Ratio of County offices actively using MIDAS vs. offices with trained personnel","Percentage","2 - Strategic and Business Results","95.000000","95.000000","Over target","Annual","404-139-221","136959","55654","100.000000","","FY2015 Q1 - 100% trained","2015-04-30","no","08/28/2015","22:18:17"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","20491","3","Percentage of Severity 1 or Severity 2 defects resolved on a monthly basis.","Percentage","1 - Customer Satisfaction (Results)","95.000000","95.000000","Over target","Monthly","404-139-221","145037","63039","100.000000","","From 6/1/2015-6/30/2015. 2 New Severity 1 or Severity 2 incident were reported, 2 were resolved.","2015-06-30","no","08/28/2015","22:18:17"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","20493","4","Cumulative Annual Number of severity 1 and severity 2 defects discovered on a monthly basis. This number will be updated monthly through 12/31/2015","Number","1 - Customer Satisfaction (Results)","450.000000","175.000000","Under target","Monthly","404-139-221","145039","63043","2.000000","","2 new Severity 1 & 2 incidents were reported during June 2015. Through 6/30/2015 - 22 Incidents have been resolved out of 22 total reported Severity 1 and 2 incidents, since Business Partner Go Live 12/17/2014.","2015-06-30","no","08/28/2015","22:18:17"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","20495","5","Percentage of high vulnerabilities remediated within agency-specified timeframe","Percentage","2 - Strategic and Business Results","99.950000","99.950000","Over target","Monthly","404-139-221","145041","63040","100.000000","","June 2015 - 0 out of 0 high vulnerabilities remediated","2015-06-30","no","08/28/2015","22:18:17"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","20497","6","Percentage of MIDAS Help Desk trouble tickets that are closed each month, i.e. the number of help desk trouble tickets closed in a given month/over the number of help desk tickets opened.","Percentage","1 - Customer Satisfaction (Results)","70.000000","70.000000","Over target","Monthly","404-139-221","145043","63041","83.400000","","Monthly Metric: From 6/1/2015-6/30/2015. 902 Help Desk Incidents were submitted  with 1081 Incidents Resolved","2015-06-30","no","08/28/2015","22:18:17"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","20499","7","Cost Performance Indicator","Number","3 - Financial Performance","0.900000","0.900000","Over target","Monthly","404-139-221","145045","63038","1.084000","","CPI for May 2015","2015-06-30","no","08/28/2015","22:18:17"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3112","","Accounting: Maintain unqualified financial statement audit opinion","Percentage","2 - Strategic and Business Results","100.000000","100.000000","Over target","Annual","P41-006-084","118269","","100.000000","","FMMI received an unqualified audit opinion which met their annual goal. ","2015-01-06","no","08/28/2015","22:00:25"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3113","","Cycle Time: Number of days required to process year-end close of USDA books","Number","","47.000000","","Under target","Annual","P41-006-084","46793","","36.000000","","","2013-02-28","","08/28/2015","22:00:25"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3114","","CustomerSatisfaction: Overall FMMI Satisfaction","Number","","95.000000","","Over target","Semi-Annual","","14813","","56.000000","","","","","08/28/2015","22:00:25"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3115","","Alerts for System Anomalies for application and Supporting Systems server capacity, server performance, and storage capacity for defined thresholds.","Number","","1.000000","","Over target","Quarterly","P41-006-084","92343","","100.000000","Met","Quarterly Metrics 2nd: The results were received on April 24, 2014","2014-03-31","","08/28/2015","22:00:25"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3116","","Help Desk Avalability","Percentage","","99.500000","","Over target","Quarterly","","46797","","100.000000","","","2012-12-13","","08/28/2015","22:00:25"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6487","","Accounting: Maintain unqualified financial statement audit opinion","Unqualified Opinion","","100.000000","","Over target","Annual","P41-006-084","","","","","","","","08/28/2015","22:00:25"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6489","","Cycle Time: Number of days required to process year-end close of USDA books","Number","","47.000000","","Under target","Annual","P41-006-084","84081","","45.000000","Met","Due to the government shutdown, the processing time wa later than planned, but subtracting the days of the government shutdown allows us to claim 45 days, meeting the requirement.","2013-12-15","","08/28/2015","22:00:25"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6491","6491","Helpdesk availability to address user issues.  The ability for FMMI users to attain support from the helpdesk.","Percentage","4 - Innovation","95.000000","95.000000","Over target","Quarterly","P41-006-084","141797","62437","100.000000","","Quarterly Update for Help Desk Availability","2015-05-06","no","08/28/2015","22:00:25"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6493","","System Avalability","Percentage","","95.000000","","Over target","Quarterly","P41-006-084","92341","","99.600000","Met","Quarterly Metrics -2nd: The results were received on April 24, 2014.","2014-03-31","","08/28/2015","22:00:25"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6879","","Application availability:  Time to recover from problem during peak periods.  Resolution within 8 hours.","Hours","","8.000000","","Under target","Quarterly","P41-006-084","92337","","99.600000","Met","Quarterly Metric -2nd: The results were received on April 24, 2014. Severity 1 resolved in 4 hours, Severity 2 resolved in 8 hours. ","2014-03-31","","08/28/2015","22:00:25"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","7107","5339","Annual survey sent out to the FMMI user base to garner their opinions on the performance and usability of the system.  The target is 75% satisfaction.","Percentage","1 - Customer Satisfaction (Results)","75.000000","76.000000","Over target","Annual","I02-003-301","102737","49833","78.700000","","Annual Survey yield a 78.7% satisfaction with the login procedures","2014-08-13","no","08/28/2015","22:00:25"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","20387","3117","Measure system uptime availability.  Any outage windows are figured into this metric.  The target will be 95% uptime availability for our FMMI users.","Percentage","1 - Customer Satisfaction (Results)","95.000000","95.000000","Over target","Monthly","P41-006-084","144293","62915","100.000000","","July 2015 Update- Monthly","2015-07-07","no","08/28/2015","22:00:25"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","20389","3118","Security Vulnerability Scans are performed based upon USDA/NFC policy.","Percentage","1 - Customer Satisfaction (Results)","99.000000","99.000000","Over target","Quarterly","P41-006-084","141801","62438","100.000000","","Quarterly Update for Risk Assessment Vulnerabiltiy","2015-06-06","no","08/28/2015","22:00:25"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","20391","3119","Actual Costs will stay within 10% of Planned Costs.","Percentage","3 - Financial Performance","0.000000","10.000000","Over target","Quarterly","I02-003-301","141803","62436","3.000000","","Quarterly Update for FInancial Management","2015-05-06","no","08/28/2015","22:00:25"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1630","2","Help Desk Response","Hours of Response Time","1 - Customer Satisfaction (Results)","1.000000","1.000000","Under target","Quarterly","P40-005-070","137285","55703","1.000000","","","2015-04-01","no","08/28/2015","22:15:46"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1631","1","System Uptime","Percentage of System Uptime","1 - Customer Satisfaction (Results)","99.800000","99.900000","Over target","Monthly","P40-005-070","144683","62855","99.987000","","","2015-07-01","no","08/28/2015","22:15:46"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1632","","Deployment of new systems","Months for deployment of new systems","1 - Customer Satisfaction (Results)","1.400000","1.300000","Under target","Semi-Annual","P40-005-070","102333","","1.400000","","System Deployment Time maintained within range.","2014-09-09","yes","08/28/2015","22:15:46"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1633","4","Desktop Repairs","Hours of request processing time","1 - Customer Satisfaction (Results)","24.000000","23.000000","Under target","Semi-Annual","P40-005-070","137293","55706","23.000000","","","2015-04-01","no","08/28/2015","22:15:46"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1634","5","Unnecessary User Timeouts","Number of user timeouts","1 - Customer Satisfaction (Results)","0.000000","0.000000","Under target","Semi-Annual","P40-005-070","137295","55707","0.000000","","","2015-04-01","no","08/28/2015","22:15:46"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","20167","6","Operations and Maintenance Costs for the FNCS IT Infrastructure investment","Dollars in thousdands ($K)","3 - Financial Performance","18646.446000","19817.225000","Under target","Monthly","P40-005-070","144685","62856","1651.435000","","","2015-07-01","no","08/28/2015","22:15:46"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","20169","7","Provide critical enabling Infrastructure support for the FNS and CNPP programs.","Percentage","2 - Strategic and Business Results","100.000000","100.000000","Over target","Monthly","P40-005-070","144687","62854","100.000000","","","2015-07-01","no","08/28/2015","22:15:46"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3043","","Security Patches Applied to Servers.","percent","2 - Strategic and Business Results","99.000000","0.000000","Over target","Monthly","P43-005-070","102367","","100.000000","","","2014-07-31","yes","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3044","","Security Patches Applied to Desktops and Laptops","percent","2 - Strategic and Business Results","99.000000","0.000000","Over target","Monthly","p43-005-070","102369","","32.000000","","","2014-07-31","yes","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3045","","For each service request that requires shipment from the Depot as an element of resolution, that shipment occurs within 2 business days.","percent","1 - Customer Satisfaction (Results)","95.000000","0.000000","Over target","Monthly","P43-005-070","102371","","100.000000","","","2014-07-31","yes","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3046","","Tier 1 resolutions occur within 20 minutes.","percent","1 - Customer Satisfaction (Results)","90.000000","0.000000","Over target","Monthly","P43-005-070","102373","","100.000000","","","2014-07-31","yes","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3047","","Tier 2 resolutions occur within 1 business day.","percent","1 - Customer Satisfaction (Results)","90.000000","0.000000","Over target","Monthly","P43-005-070","102375","","98.000000","","","2014-07-31","yes","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3048","","Tier 3 resolutions occur within 5 business days, or in some cases within agreed upon timeframe.","percent","1 - Customer Satisfaction (Results)","85.000000","0.000000","Over target","Monthly","P43-005-070","102377","","100.000000","","","2014-07-31","yes","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3049","","All Service Desk assigned security POA&amp;Ms resolved within mutually agreed timeframe.","percent","1 - Customer Satisfaction (Results)","90.000000","0.000000","Over target","Monthly","P43-005-070","102379","","100.000000","","","2014-07-31","yes","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3050","","Customer Survey Satisfaction for Service Desk customer interfaces, score of 4 or better on a scale of 1-5.","percent","1 - Customer Satisfaction (Results)","85.000000","0.000000","Over target","Monthly","P43-005-070","102381","","93.000000","","","2014-07-31","yes","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3051","","System availability for mission critical servers","percent","1 - Customer Satisfaction (Results)","95.000000","0.000000","Over target","Monthly","P43-005-070","102385","","99.900000","","","2014-07-31","yes","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3052","","Number of systems or releases to be tested in PHDCIS formal test environment.","percent","1 - Customer Satisfaction (Results)","80.000000","0.000000","Over target","Quarterly","P43-005-070","102387","","80.000000","","","2014-07-31","yes","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3053","","Data Quality for Operational Systems.","percent","1 - Customer Satisfaction (Results)","99.000000","0.000000","Over target","Quarterly","P43-005-070","102389","","99.000000","","","2014-07-31","yes","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","20229","532","Third party assessment of customer satisfaction with Service Desk support","percent","1 - Customer Satisfaction (Results)","62.000000","65.000000","Over target","Quarterly","P43-005-070","144275","63208","82.000000","","","2015-06-30","no","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","20231","533","Request for Change (RFC) following established process","percent","1 - Customer Satisfaction (Results)","90.000000","90.000000","Over target","Quarterly","P43-005-070","144277","63207","90.000000","","","2015-06-30","no","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","20233","534","% of spending that utilizes shared strategic sourcing identified as being cost efficient in accordance with acquisition strategy","percent","3 - Financial Performance","65.000000","70.000000","Over target","Annual","P43-005-070","","","","","","","no","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","20235","535","Critical System Availability: PHDCIS","percent","1 - Customer Satisfaction (Results)","99.000000","99.000000","Over target","Monthly","P43-005-070","144279","63209","98.900000","","","2015-06-30","no","08/28/2015","22:10:33"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","20237","536","Number of ways to improve employees connectivity to ensure efficiency and effectiveness","Number","2 - Strategic and Business Results","3.000000","4.000000","Over target","Annual","P43-005-070","","","","","","","no","08/28/2015","22:10:33"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","2888","1","Tier 3 resolutions occur within 5 business days, or in some cases within DKW and FSIS agreed upon timeline.","percent","1 - Customer Satisfaction (Results)","85.000000","85.000000","Over target","Monthly","","103497","","100.000000","","","2014-07-31","yes","08/30/2015","17:26:53"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","2889","2","All Service Desk assigned security POA&M resolved within mutually agreed timeframe.","percent","1 - Customer Satisfaction (Results)","90.000000","90.000000","Over target","Monthly","","98323","","100.000000","Met","","2014-06-30","yes","08/30/2015","17:26:53"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","2890","3","Number of reader applications","number","2 - Strategic and Business Results","1.000000","1.000000","Over target","Monthly","","103503","","1.000000","","","2014-07-31","yes","08/30/2015","17:26:53"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","2891","4","Time to process transactional data into the data warehouse","Timeliness and Responsiveness","4 - Innovation","4.000000","0.000000","Over target","Monthly","","103505","","4.000000","","","2014-07-31","yes","08/30/2015","17:26:53"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","2895","5","Number of PHIS Releases to be tested in PHDCIS formal test environment","Percent","4 - Innovation","80.000000","0.000000","Over target","Quarterly","","103511","","100.000000","","","2014-07-31","yes","08/30/2015","17:26:53"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","2896","6","Data Quality for PHIS Operational System","percent","4 - Innovation","90.000000","0.000000","Over target","Quarterly","","103517","","90.000000","","","2014-07-31","yes","08/30/2015","17:26:53"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","21061","10","% PHIS Releases following   EPLC and SDLC","percent","1 - Customer Satisfaction (Results)","90.000000","90.000000","Over target","Quarterly","P43-005-070","144287","63136","100.000000","","","2015-06-30","no","08/30/2015","17:26:53"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","21063","7","Work with Program to identify additional areas for automation.","number","2 - Strategic and Business Results","1.000000","1.000000","Over target","Annual","P43-005-070","","","","","","","no","08/30/2015","17:26:53"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","21065","12","Project EVM CPI >&#61; .95","Number","3 - Financial Performance","0.950000","0.950000","Over target","Monthly","P43-005-070","148315","67697","1.000000","","","2015-07-31","no","08/30/2015","17:26:53"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","21067","9","Third party assessment of customer satisfaction with Service Desk support","Percent","1 - Customer Satisfaction (Results)","62.000000","62.000000","Over target","Quarterly","P43-005-070","144285","63135","82.000000","","","2015-06-30","no","08/30/2015","17:26:53"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","21069","11","Critical System Availability: PHIS.","percent","1 - Customer Satisfaction (Results)","99.000000","99.000000","Over target","Monthly","P43-005-070","148313","68568","97.920000","","","2015-07-31","no","08/30/2015","17:26:53"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","1635","1","Availability of the system to users during published operating hours.","Percentage","1 - Customer Satisfaction (Results)","99.500000","99.500000","Over target","Quarterly","","148317","62864","100.000000","","","2015-07-02","no","08/30/2015","19:18:13"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","1637","","Increased number of transactions processed by IAS.","number","","","","Under target","Quarterly","","4687","","105000.000000","","This performance metric is tracking under target due to lack of ARRA funds from previous year.","","","08/30/2015","19:18:13"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","1638","","Reduced number of password resets requested by customers.","number","","","","Over target","Semi-Annual","","4689","","1568.000000","","None.","","","08/30/2015","19:18:13"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","1639","","Reduced IAS software scan time.","hours","","","","Over target","Quarterly","","45179","","19.000000","","","2013-01-04","","08/30/2015","19:18:13"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","6869","","Number of minutes from request to delivery of an additional virtual PRISM server, additional AIX, memory, or an additional AIX processor.","hours","","","","Over target","Quarterly","","45177","","4.000000","","","2013-01-16","","08/30/2015","19:18:13"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","7834","","Percentage of patches installed within the time specified within the USDA Patch Management and System Updates Plan to ensure Compliance and reduce vulnerabilities.","Percentage","3 - Financial Performance","98.000000","98.000000","Over target","Quarterly","","61973","","100.000000","Met","","2014-10-06","no","08/30/2015","19:18:13"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","7835","7","Application availability: Time to recover from problem during peak periods.","Percentage","2 - Strategic and Business Results","90.000000","90.000000","Over target","Quarterly","","148319","62860","100.000000","","","2015-07-02","no","08/30/2015","19:18:13"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","7836","8","Percentage of IAS Help Desk Availability during published hours.","Percentage","2 - Strategic and Business Results","98.000000","98.000000","Over target","Monthly","","148323","65469","100.000000","","","2015-08-03","no","08/30/2015","19:18:13"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","7837","9","Regulation compliance and update into IAS as a percentage or new regulations or interface updates incorporated versus total mandated.","Percentage","2 - Strategic and Business Results","99.000000","99.000000","Over target","Quarterly","","148325","62863","100.000000","","","2015-07-02","no","08/30/2015","19:18:13"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","23071","10","Compares current IAS performance with a pre-established cost baseline, for expenses, income and prior year net positions.","Percentage","3 - Financial Performance","99.500000","99.500000","Over target","Quarterly","","148327","62862","88.990000","","","2015-07-01","no","08/30/2015","19:18:13"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","23413","4","Increased number of transactions processed by IAS.","Number","1 - Customer Satisfaction (Results)","1.000000","1.000000","Under target","Quarterly","","","","","","","","","08/30/2015","19:18:13"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","23415","3","Reduced IAS software scan time.","Hours","1 - Customer Satisfaction (Results)","40.000000","40.000000","Over target","Monthly","","","","","","","","","08/30/2015","19:18:13"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","1099","1","Maintain number of systems integrated into the Animal Disease Traceability System","Number","2 - Strategic and Business Results","8.000000","8.000000","Under target","Annual","P44-005-070","111025","49288","8.000000","","number of systems was maintained","2014-09-30","no","08/28/2015","21:52:52"
