Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Requirement Type,URL ID,Agency URL ID,URL,Valid Public URL,Updated Date,Updated Time
"007-000000178","15","007","Department of Defense","Defense Enterprise Accounting and Management System-Increment 1","Legislative Mandate","4863","1091","http://govinfo.library.unt.edu/npr/library/misc/s2170.html","Yes","02/03/2015","15:11:49"
"007-000000178","15","007","Department of Defense","Defense Enterprise Accounting and Management System-Increment 1","Published Agency Strategic Plan","4869","1089","http://www.defense.gov/pubs/pdfs/fy14-15_smp.pdf","No","02/03/2015","15:11:49"
"007-000000178","15","007","Department of Defense","Defense Enterprise Accounting and Management System-Increment 1","Published Agency Strategic Plan","4867","1090","https://cs3.eis.af.mil/sites/oo-fm-mj-59/af-fm-sii/af-fm-sh/oo-fm-mj-20/afkn_docs/forms/allitems.asp","No","02/03/2015","15:11:49"
"007-000000192","18","007","Department of Defense","Product Tailoring Warfighter Applications","Published Agency Strategic Plan","2455","511","https://cs4.eis.afmc.af.mil/sites/1645/jet/default.aspx","No","03/28/2013","10:37:06"
"007-000000192","18","007","Department of Defense","Product Tailoring Warfighter Applications","Other Requirement","2457","512","https://cs4.eis.afmc.af.mil/sites/1645/jet/default.aspx","No","03/28/2013","10:37:06"
"007-000000314","19","007","Department of Defense","General Fund Enterprise Business Systems","Legislative Mandate","3987","924","https://cfo.gov/wp-content/uploads/2012/09/cfo-act-of-1990.pdf","No","03/18/2014","10:55:00"
"007-000000510","25","007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT","Legislative Mandate","15","65","","No","09/11/2012","11:38:23"
"007-000000510","25","007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT","Published Agency Strategic Plan","17","66","http://comptroller.defense.gov/defbudget/fy2013/fy2013_budget_request_overview_book.pdf","No","09/11/2012","11:38:23"
"007-000000510","25","007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT","Published Agency Strategic Plan","4797","978","http://www.health.mil/military-health-topics/innovation","No","10/01/2014","10:59:56"
"007-000000510","25","007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT","Published Agency Strategic Plan","3731","622","http://www.defense.gov/qdr/","Yes","12/09/2013","12:02:19"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","Legislative Mandate","21","212","http://www.gpo.gov/fdsys/pkg/plaw-108publ458/html/plaw-108publ458.htm","No","09/11/2012","11:38:28"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","Legislative Mandate","23","419","","No","09/11/2012","11:38:28"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","Published Agency Strategic Plan","25","182","http://www.defense.gov/pubs/pdfs/fy14-15_smp.pdf","No","12/09/2013","12:20:05"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","Presidential Priority","2525","536","http://www.dhs.gov/homeland-security-presidential-directive-12","Yes","03/28/2013","13:51:15"
"007-000000595","27","007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK","Audit Finding Resolution","27","412","http://www.dodig.mil/audit/audit2/90-097.pdf","Yes","09/11/2012","11:38:32"
"007-000000595","27","007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK","Published Agency Strategic Plan","29","413","http://www.disa.mil/about/~/media/files/disa/about/strategic-plan.pdf","Yes","03/28/2013","15:24:51"
"007-000000613","28","007","Department of Defense","Defense Medical Logistics Standard Support","Published Agency Strategic Plan","3931","624","http://www.defense.gov/qdr/","Yes","12/09/2013","15:50:20"
"007-000000613","28","007","Department of Defense","Defense Medical Logistics Standard Support","Published Agency Strategic Plan","35","67","http://comptroller.defense.gov/defbudget/fy2013/fy2013_budget_request_overview_book.pdf","No","09/11/2012","11:56:52"
"007-000000613","28","007","Department of Defense","Defense Medical Logistics Standard Support","Published Agency Strategic Plan","4801","980","http://www.health.mil/military-health-topics/innovation","No","10/01/2014","11:13:02"
"007-000000613","28","007","Department of Defense","Defense Medical Logistics Standard Support","Other Requirement","37","72","http://www.healthfinder.gov/orgs/hr1458.htm","Yes","09/11/2012","11:56:52"
"007-000000880","30","007","Department of Defense","Global Broadcast Service","Other Requirement","4803","1024","","No","10/01/2014","11:13:52"
"007-000000881","31","007","Department of Defense","GLOBAL COMMAND AND CONTROL SYSTEM- JOINT","Published Agency Strategic Plan","3755","845","http://www.disa.mil/~/media/files/disa/about/strategic-plan.pdf","Yes","12/09/2013","13:01:45"
"007-000000884","33","007","Department of Defense","GLOBAL DECISION SUPPORT SYSTEM","Published Agency Strategic Plan","49","24","http://www.transcom.mil/index_textonly.cfm","No","09/11/2012","11:57:11"
"007-000000884","33","007","Department of Defense","GLOBAL DECISION SUPPORT SYSTEM","Other Requirement","3739","863","http://www.transcom.mil/index_textonly.cfm","No","12/09/2013","12:20:19"
"026-000001501","37","026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)","Legislative Mandate","2799","1","http://www.gpo.gov/fdsys/pkg/PLAW-111publ267/html/PLAW-111publ267.htm","Yes","09/10/2013","16:01:59"
"026-000001501","37","026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)","Legislative Mandate","1881","65813","http://www.gpo.gov/f...ubl267.htm","Yes","09/14/2012","10:30:02"
"026-000001501","37","026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)","Published Agency Strategic Plan","1883","65814","http://www.nasa.gov/...icPlan.pdf","No","09/14/2012","10:30:02"
"026-000001501","37","026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)","Published Agency Strategic Plan","2801","3","http://www.nasa.gov/news/budget/index.html#.UgFflXddB8H","Yes","09/10/2013","16:01:59"
"026-000005020","39","026","National Aeronautics and Space Administration","JSC DA Mission Control Center Systems (MCCS)","Legislative Mandate","2807","1","http://www.nasa.gov/pdf/516655main_PL_111-267.pdf","Yes","09/10/2013","16:21:53"
"026-000005020","39","026","National Aeronautics and Space Administration","JSC DA Mission Control Center Systems (MCCS)","Legislative Mandate","1687","65803","http://www.nasa.gov/...11-267.pdf","No","09/14/2012","09:49:17"
"026-000005020","39","026","National Aeronautics and Space Administration","JSC DA Mission Control Center Systems (MCCS)","Published Agency Strategic Plan","1689","65804","http://www.nasa.gov/...icPlan.pdf","No","09/14/2012","09:49:17"
"026-000005020","39","026","National Aeronautics and Space Administration","JSC DA Mission Control Center Systems (MCCS)","Published Agency Strategic Plan","2809","3","http://www.nasa.gov/pdf/516579main_NASA2011StrategicPlan.pdf","Yes","09/10/2013","16:21:53"
"026-000005030","40","026","National Aeronautics and Space Administration","JSC DA Space Station Training Facility (SSTF)","Legislative Mandate","3215","1","http://www.nasa.gov/...icPlan.pdf","No","09/11/2013","20:22:50"
"026-000005030","40","026","National Aeronautics and Space Administration","JSC DA Space Station Training Facility (SSTF)","Legislative Mandate","1691","65806","http://www.nasa.gov/...11-267.pdf","No","09/14/2012","09:50:54"
"026-000005030","40","026","National Aeronautics and Space Administration","JSC DA Space Station Training Facility (SSTF)","Published Agency Strategic Plan","1693","65807","http://www.nasa.gov/...icPlan.pdf","No","09/14/2012","09:50:54"
"026-000005030","40","026","National Aeronautics and Space Administration","JSC DA Space Station Training Facility (SSTF)","Published Agency Strategic Plan","3217","3","http://www.nasa.gov/pdf/516579main_NASA2011StrategicPlan.pdf","Yes","09/11/2013","20:22:50"
"026-000001502","43","026","National Aeronautics and Space Administration","NASA Center for Climate Simulation (NCCS)","Legislative Mandate","1779","65810","http://www.gpo.gov/fdsys/pkg/BILLS-111s3729enr/pdf/BILLS-111s3729enr.pdf","Yes","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","NASA Center for Climate Simulation (NCCS)","Legislative Mandate","2747","1","http://www.gpo.gov/fdsys/pkg/BILLS-111s3729enr/pdf/BILLS-111s3729enr.pdfhttp://www.aip.org/fyi/2011/138.html","No","09/10/2013","15:38:06"
"026-000001502","43","026","National Aeronautics and Space Administration","NASA Center for Climate Simulation (NCCS)","Legislative Mandate","1781","65809","http://www.aip.org/fyi/2011/138.html","Yes","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","NASA Center for Climate Simulation (NCCS)","Published Agency Strategic Plan","1783","65811","http://www.nasa.gov/...icPlan.pdf","No","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","NASA Center for Climate Simulation (NCCS)","Other Requirement","1785","65812","http://www.hec.nasa....ports.html","No","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","NASA Center for Climate Simulation (NCCS)","Other Requirement","2749","5","https://hec.reisys.com/hec/computing/index.do","Yes","09/10/2013","15:38:06"
"026-000001124","45","026","National Aeronautics and Space Administration","NASA High-End Computing Capability (HECC)","Legislative Mandate","2793","1","2010 NASA Authorization Act: http://www.nasa.gov/offices/olia/policydocs/index.html Decadal Survey &quot;Earth Science &amp; Applications from Space: National Imperatives for the Next Decade and Beyond&quot;: http://www.nap.edu/openbook.phprecord_id&#61;11820","No","09/09/2014","15:50:48"
"026-000001124","45","026","National Aeronautics and Space Administration","NASA High-End Computing Capability (HECC)","Legislative Mandate","1901","65817","http://commerce.sena...t_2010.pdf","No","09/14/2012","10:34:26"
"026-000001124","45","026","National Aeronautics and Space Administration","NASA High-End Computing Capability (HECC)","Published Agency Strategic Plan","1903","65818","http://www.nasa.gov/...20revA.pdf","No","09/14/2012","10:34:26"
"026-000001124","45","026","National Aeronautics and Space Administration","NASA High-End Computing Capability (HECC)","Published Agency Strategic Plan","2795","3","http://www.nasa.gov/sites/default/files/files/2014_NASA_Strategic_Plan.pdf","Yes","09/09/2014","15:50:48"
"007-000001826","49","007","Department of Defense","Integrated Strategic Planning and Analysis Network (ISPAN) Program","Published Agency Strategic Plan","2483","537","https://vela.stratcom.mil/sites/cio/pages/iesppamphlet.html","No","03/28/2013","13:11:02"
"007-000001911","50","007","Department of Defense","Theater Battle Management Core System","Published Agency Strategic Plan","2485","508","http://www.defense.gov/pubs/2014_quadrennial_defense_review.pdf","No","10/01/2014","11:48:10"
"007-000001911","50","007","Department of Defense","Theater Battle Management Core System","Other Requirement","4825","1034","http://fas.org/man/dod-101/usaf/docs/tbmcs/con-ops.html","No","10/01/2014","11:48:10"
"007-000001913","51","007","Department of Defense","Theater Medical Information Program-Joint Increment 2","Published Agency Strategic Plan","3795","629","http://www.defense.gov/qdr/","Yes","12/09/2013","13:27:12"
"007-000001913","51","007","Department of Defense","Theater Medical Information Program-Joint Increment 2","Published Agency Strategic Plan","153","59","http://comptroller.defense.gov/defbudget/fy2013/fy2013_budget_request_overview_book.pdf","No","09/11/2012","12:33:09"
"007-000001913","51","007","Department of Defense","Theater Medical Information Program-Joint Increment 2","Published Agency Strategic Plan","4827","981","http://www.health.mil/military-health-topics/innovation","No","10/01/2014","12:00:45"
"007-000001913","51","007","Department of Defense","Theater Medical Information Program-Joint Increment 2","Other Requirement","155","58","http://www.healthfinder.gov/orgs/hr1458.htm","Yes","09/11/2012","12:33:09"
"007-000002213","54","007","Department of Defense","Tactical Mission Command","Published Agency Strategic Plan","3799","731","http://usarmy.vo.llnwd.net/e2/c/downloads/243816.pdf","Yes","12/09/2013","13:27:28"
"007-000002166","55","007","Department of Defense","Advanced Field Artillery Tactical Data System","Published Agency Strategic Plan","157","461","http://usarmy.vo.llnwd.net/e2/c/downloads/243816.pdf","Yes","09/11/2012","12:33:14"
"007-000006046","60","007","Department of Defense","Global Command and Control System-Maritime Increment 2","Other Requirement","4001","951","","No","03/18/2014","11:38:37"
"007-000005069","62","007","Department of Defense","Global Combat Support System - Air Force","Audit Finding Resolution","2503","518","audit information- http://www.afaa.af.mil/","No","03/28/2013","13:12:33"
"007-000005069","62","007","Department of Defense","Global Combat Support System - Air Force","Audit Finding Resolution","2505","519","audit info - http://www.foia.af.mil/shared/media/document/afd-100528-087.pdf","No","03/28/2013","13:12:33"
"007-000005069","62","007","Department of Defense","Global Combat Support System - Air Force","Published Agency Strategic Plan","2507","520","https://www.my.af.mil/gcss-af/usaf/ep/contentview.docontentid=c6925ec193f260fb5e044080020e329a9&cha","Yes","03/18/2014","11:38:18"
"007-000005069","62","007","Department of Defense","Global Combat Support System - Air Force","Published Agency Strategic Plan","173","430","","No","09/11/2012","12:47:17"
"007-000006170","65","007","Department of Defense","Mission Planning Systems","Legislative Mandate","175","305","","No","09/11/2012","12:47:32"
"007-000006191","66","007","Department of Defense","AF NC3-MEECN Modernization","Legislative Mandate","2513","522","www.house.gov","Yes","03/28/2013","13:13:02"
"007-000006191","66","007","Department of Defense","AF NC3-MEECN Modernization","Legislative Mandate","2515","534","www.senate.gov","Yes","03/28/2013","13:13:02"
"007-000006191","66","007","Department of Defense","AF NC3-MEECN Modernization","Published Agency Strategic Plan","2517","540","www.stratcom.mil/mission","Yes","03/28/2013","13:13:02"
"007-000006191","66","007","Department of Defense","AF NC3-MEECN Modernization","Other Requirement","2521","542","www.dtic.mil/cjcs_directives/cdata/unlimit/5119_01.pdf","Yes","03/28/2013","13:13:02"
"007-000006191","66","007","Department of Defense","AF NC3-MEECN Modernization","Presidential Priority","2519","541","www.acq.osd.mil/ncbdp/nm/nm_book_5_11/docs/nmhb2011_chapter5_surety.pdf","Yes","03/28/2013","13:13:02"
"007-000006388","75","007","Department of Defense","Tactical Data Link System","Other Requirement","4829","1041","there are no associated urls for tactical data link systems","No","10/01/2014","12:51:02"
"007-000006524","77","007","Department of Defense","Airborne & Maritime/Fixed Station Joint Tactical Radio System","Legislative Mandate","3893","849","http://peoc3t.army.mil/tr/.","Yes","12/09/2013","14:24:04"
"007-000006524","77","007","Department of Defense","Airborne & Maritime/Fixed Station Joint Tactical Radio System","Published Agency Strategic Plan","3895","837","http://peoc3t.army.mil/tr/.","Yes","12/09/2013","14:24:04"
"007-000006963","79","007","Department of Defense","GuardNet XXI","Legislative Mandate","3899","816","http://thomas.loc.gov/cgi-bin/bdquery/zd100:h.j.res.395:","Yes","12/09/2013","14:24:24"
"007-000006963","79","007","Department of Defense","GuardNet XXI","Published Agency Strategic Plan","3901","818","see url in description... url field can not hold enough characters","No","12/09/2013","14:24:24"
"007-000006965","80","007","Department of Defense","NET-CENTRIC ENTERPRISE SERVICES","Legislative Mandate","171","375","http://www.disa.mil/about/our-campaign-plan","Yes","09/11/2012","12:43:24"
"007-000006965","80","007","Department of Defense","NET-CENTRIC ENTERPRISE SERVICES","Published Agency Strategic Plan","3903","819","http://www.disa.mil/~/media/files/disa/about/strategic-plan.pdf","Yes","12/09/2013","14:24:27"
"007-000006965","80","007","Department of Defense","NET-CENTRIC ENTERPRISE SERVICES","Published Agency Strategic Plan","4831","1050","http://www.defense.gov/pubs/pdfs/fy14-15_smp.pdf","No","10/01/2014","12:52:11"
"007-000001854","86","007","Department of Defense","Battle Control System-Fixed Increment 3","Published Agency Strategic Plan","3793","820","http://www.acc.af.mil/shared/media/document/afd-100915-011.pdf","Yes","12/09/2013","13:27:02"
"012-000001025","105","012","Department of Labor","EFAST2","Legislative Mandate","3227","1","http://www.dol.gov/compliance/laws/comp-erisa.htm","Yes","09/12/2013","09:22:04"
"012-000001025","105","012","Department of Labor","EFAST2","Published Agency Strategic Plan","3229","3","http://labornet.dol.gov/workplaceresources/policies/Strategic-Plan/","No","09/12/2013","09:22:04"
"012-000002575","115","012","Department of Labor","Departmental E-Business Suite (DEBS)","Legislative Mandate","1427","1","http://www.dol.gov/dol/budget/2013/PDF/CBJ-2013-V1-01.pdf","Yes","09/13/2012","15:27:45"
"012-000002575","115","012","Department of Labor","Departmental E-Business Suite (DEBS)","Other Requirement","1429","5","http://www.whitehouse.gov/omb/memoranda_2006 http://www.whitehouse.gov/omb/performance/gprm-act","Yes","09/11/2013","16:27:38"
"012-000001010","122","012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)","Legislative Mandate","1449","1","http://www.doleta.gov/wioa/pdf/WIOA-enrolled-bill.pdf","No","09/11/2014","12:14:30"
"012-000001010","122","012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)","Presidential Priority","1451","4","http://www.whitehouse.gov/the-press-office/2012/05/10/executive-order-identifying-and-reducing-regulatory-burdens","Yes","09/13/2012","15:29:28"
"012-000002085","123","012","Department of Labor","MSHA Standardized Information System (MSIS)","Legislative Mandate","4505","1","http://www.msha.gov/REGS/ACT/ACTTC.HTM","Yes","09/11/2014","17:47:38"
"012-000002085","123","012","Department of Labor","MSHA Standardized Information System (MSIS)","Audit Finding Resolution","1453","2","http://www.msha.gov/PerformanceCoal/UBBInternalReview/UBBInternalReview.asp","Yes","09/13/2012","15:29:39"
"012-000002085","123","012","Department of Labor","MSHA Standardized Information System (MSIS)","Published Agency Strategic Plan","4931","3","http://www.msha.gov/MSHAInfo/Straplan/straplan20112016.pdf","Yes","02/05/2015","17:28:51"
"012-000001015","125","012","Department of Labor","New Core Financial Management System (NCFMS)","Legislative Mandate","1455","1","http://frwebgate.access.gpo.gov/cgi-bin/getdoc.cgidbname&#61;104_cong_public_laws&amp;docid&#61;f:publ208.104.pdf","No","09/13/2012","15:30:01"
"012-000001015","125","012","Department of Labor","New Core Financial Management System (NCFMS)","Audit Finding Resolution","1457","2","Not applicable","No","09/13/2012","15:30:01"
"012-000001015","125","012","Department of Labor","New Core Financial Management System (NCFMS)","Published Agency Strategic Plan","1459","3","http://www.dol.gov/_sec/stratplan/StrategicPlan.pdf","Yes","09/13/2012","15:30:01"
"012-000001015","125","012","Department of Labor","New Core Financial Management System (NCFMS)","Presidential Priority","1461","4","http://www.whitehouse.gov/omb/circulars_a127","Yes","09/13/2012","15:30:01"
"012-000000001","126","012","Department of Labor","Disability.gov","Other Requirement","1435","5","http://www.cio.gov/documents/25-point-implementation-plan-to-reform-federal%20it.pdf","No","09/13/2012","15:27:55"
"012-000000001","126","012","Department of Labor","Disability.gov","Presidential Priority","1433","4","http://georgewbush-whitehouse.archives.gov/news/releases/2002/08/20020828.html","Yes","09/13/2012","15:27:55"
"012-999990020","130","012","Department of Labor","Benefits.gov","Legislative Mandate","1419","1","http://www.whitehouse.gov/omb/egov","Yes","09/13/2012","15:26:59"
"012-999990020","130","012","Department of Labor","Benefits.gov","Presidential Priority","1421","4","http://www.cio.gov/documents/25-Point-Implementation-Plan-to-Reform-FederalIT.pdf","Yes","09/13/2012","15:26:59"
"012-000002015","132","012","Department of Labor","Integrated Federal Employees' Compensation System (iFECS)","Legislative Mandate","3689","1","http://www.dol.gov/owcp/dfec/regs/statutes/feca.htm","Yes","09/25/2013","09:09:48"
"012-000002015","132","012","Department of Labor","Integrated Federal Employees' Compensation System (iFECS)","Audit Finding Resolution","3691","2","www.oig.dol.gov/public/reports/oa/2012/22-12-001-04-431.pdf","Yes","09/25/2013","09:09:49"
"012-000002015","132","012","Department of Labor","Integrated Federal Employees' Compensation System (iFECS)","Published Agency Strategic Plan","2449","3","http://www.dol.gov/owcp/OWCP-STRATPLAN-2012-2016.pdf","Yes","03/27/2013","15:57:57"
"012-000002015","132","012","Department of Labor","Integrated Federal Employees' Compensation System (iFECS)","Presidential Priority","3693","4","http://www.dol.gov/owcp/dfec/power/index.htm","Yes","09/25/2013","09:09:50"
"024-000009102","134","024","Department of Homeland Security","DHS - Homeland Security Information Network (HSIN)","Legislative Mandate","603","100","http://www.dhs.gov/x...05_enr.pdf;  http://www.gpo.gov/fdsys/pkg/PLAW-109publ295/pdf/PLAW-109publ295.pdf; http://www.gpo.gov/fdsys/pkg/PLAW-109publ295/pdf/PLAW-109publ295.pdf","No","09/12/2012","13:53:09"
"024-000009102","134","024","Department of Homeland Security","DHS - Homeland Security Information Network (HSIN)","Published Agency Strategic Plan","605","300","http://www.dhs.gov/xlibrary/assets/qhsr_report.pdf","Yes","09/12/2012","13:53:09"
"024-000009102","134","024","Department of Homeland Security","DHS - Homeland Security Information Network (HSIN)","Presidential Priority","607","400","http://www.fema.gov/presidential-policy-directive-8-national-preparedness","No","09/12/2012","13:53:09"
"024-000009104","135","024","Department of Homeland Security","DHS - Common Operational Picture (COP)","Legislative Mandate","601","100","http://thomas.loc.gov/cgi-bin/bdquery/zd109:S3721:","Yes","09/12/2012","13:53:01"
"024-000005439","138","024","Department of Homeland Security","ICE - IT Infrastructure","Legislative Mandate","595","100","http://www.ntia.doc.gov/report/2001/alternative-frequencies-use-public-safety-systems; http://www.cio.gov/pages.cfm/page/The-Federal-Data-Center-Consolidation-Initiative","Yes","09/12/2012","13:35:09"
"024-000005439","138","024","Department of Homeland Security","ICE - IT Infrastructure","Other Requirement","599","500","http://intelligence.senate.gov/laws/pl11053.pdf","No","09/12/2012","13:35:09"
"024-000005439","138","024","Department of Homeland Security","ICE - IT Infrastructure","Presidential Priority","597","400","http://www.dhs.gov/xabout/laws/gc_1217616624097.shtm","Yes","09/12/2012","13:35:09"
"024-000001080","139","024","Department of Homeland Security","ICE - Federal Financial Management System (FFMS)","Legislative Mandate","2553","100","www.whitehouse.gov/omb/financial_ffs_ffmia","Yes","09/10/2013","10:45:12"
"024-000005397","141","024","Department of Homeland Security","ICE - Electronic Health Record (EHR) System","Other Requirement","1247","500","http://www.oig.dhs.gov/assets/Mgmt/OIG_08-52_Jun08.pdf; http://www.gpo.gov/fdsys/pkg/CRPT-112srpt74/pdf/CRPT-112srpt74.pdf","No","09/13/2012","11:43:25"
"024-000005363","143","024","Department of Homeland Security","ICE - Student and Exchange Visitor Information System (SEVIS)","Legislative Mandate","1355","100","http://www.dhs.gov/xabout/laws/law_regulation_rule_0011.shtm","Yes","09/13/2012","14:49:58"
"024-000009538","144","024","Department of Homeland Security","NPPD - NS/EP PTS","Legislative Mandate","4121","100","http://legcounsel.house.gov/Comps/HSA02.PDF","Yes","09/09/2014","08:19:51"
"024-000009538","144","024","Department of Homeland Security","NPPD - NS/EP PTS","Published Agency Strategic Plan","2555","300","http://dhsconnect.dhs.gov/org/comp/plcy/spar/Documents/dhs-strategic-plan-fy-2012-2016.pdf","No","09/10/2013","10:45:38"
"024-000009538","144","024","Department of Homeland Security","NPPD - NS/EP PTS","Other Requirement","917","500","1) http://www.fas.org/irp/offdocs/nspd/nspd-51.htm","No","09/12/2012","15:29:04"
"024-000009538","144","024","Department of Homeland Security","NPPD - NS/EP PTS","Presidential Priority","915","400","1) https://www.federalregister.gov/articles/2012/07/11/2012-17022/assignment-of-national-security-and-emergency-preparedness-communications-functions","No","09/12/2012","15:29:04"
"024-000009508","145","024","Department of Homeland Security","NPPD - National Cybersecurity & Protection System (NCPS)","Presidential Priority","909","400","N/A","No","09/12/2012","15:26:25"
