Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Rated Date (Updated Date),Evaluation (by Agency CIO),Comments,Visible on IT Dashboard,CIO Rating ID,Investment Event ID,Updated Time
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","05/26/2011","4","The agency continues to improve its management of the investment though some improvements could be made.","Yes","6097","69890","14:13:23"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","10/31/2011","4","Increased attention is being given to strengthening this investment's business case documentation, quality assurance, and performance oversight.","Yes","7932","105959","09:00:09"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","11/30/2011","4","Extra emphasis in required on performance oversight to improve the investment's business case, and quality assurance.","Yes","8098","110564","08:09:56"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","12/28/2011","5","Extra emphasis in required on performance oversight to improve the investment's business case, and quality assurance.","Yes","8335","113166","11:29:18"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","01/30/2012","5","Extra emphasis is required on improving the investment's business case, and quality assurance.","Yes","8525","115654","13:12:08"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","02/28/2012","5","Extra emphasis is required on improving the investment's business case, and quality assurance oversight.","Yes","8854","124704","13:21:09"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","03/30/2012","5","Extra emphasis is required on improving the investment's business case, requirements management, and quality assurance oversight.","Yes","9445","135595","07:07:51"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","04/30/2012","5","The agency CIO is providing extra emphasis on  oversight to ensure management  of this investment continues to improve.","Yes","10001","141529","11:14:53"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","05/31/2012","5","The overall rating of this investment was downgraded due to outdated and missing artifacts.  The Department's Capital Planning Division will provide guidance to the agency to correct the issues.","Yes","10575","149783","14:20:11"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","06/30/2012","3","The overall rating of this investment was downgraded due to outdated and missing artifacts.  The Department's Capital Planning Division will provide guidance to the agency to correct the issues.","Yes","11067","157409","14:56:34"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","08/01/2012","3","The Department's Capital Planning Division is continuing to work with and provide guidance to the agency to correct issues with outdated and missing artifacts.","Yes","11675","164583","13:20:58"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","08/30/2012","3","The Department is working with the agency to improve oversight of this investment.  Agency heads, CIOs, PMs, and CPIC Administrators will be notified of the weakness in their investment management and oversight.","Yes","11917","169035","15:49:11"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","06/29/2009","3","","Yes","321","0","16:27:42"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","08/31/2009","3","","No","322","0","10:58:26"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","09/29/2009","3","","No","323","0","08:09:30"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","10/26/2009","3","","No","324","0","08:27:49"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","11/23/2009","3","","No","325","0","08:06:25"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","12/30/2009","3","","No","326","0","08:03:17"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","01/28/2010","3","","No","327","0","06:59:21"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","02/25/2010","3","","No","328","0","08:28:27"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","04/30/2010","4","","Yes","2767","8293","07:23:55"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","07/29/2010","4","This investment is well-managed.","Yes","3719","17325","16:56:59"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","01/28/2011","5","The agency is doing a good job in keeping the investment data updated.","Yes","5066","44411","14:24:10"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","03/30/2011","4","The agency is doing a good job in keeping the investment data updated.","Yes","5640","60931","14:32:37"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","05/26/2011","4","The investment is managed better and will continue to be reviewed to ensure improvement of programmatic data.","Yes","6098","69895","14:13:23"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","10/31/2011","4","Closer attention is being given to improving this investment's business case documentation, quality assurance, and performance oversight.","Yes","7933","105961","09:00:09"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","11/30/2011","4","The CIO will continue to pay close  attention to the investment's business case documentation, quality assurance, and performance oversight.","Yes","8099","110567","08:09:57"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","12/28/2011","4","Attention will be given to ensuring risks associated with the chosen acquisition approach are monitored and managed.","Yes","8336","113167","11:29:18"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","01/30/2012","5","Attention will be given to ensuring risks associated with the chosen acquisition approach are monitored and managed.","Yes","8526","115656","13:12:08"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","02/28/2012","5","Attention will be given to ensuring risks associated with the chosen acquisition approach are identified, monitored and managed.","Yes","8855","124714","13:21:12"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","04/30/2012","5","This investment continues to demonstrate improved operational performance measurements and management.","Yes","10003","141531","11:14:54"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","05/31/2012","5","The overall rating of this investment was downgraded due to outdated and missing artifacts.  The Department's Capital Planning Division will provide guidance to the agency to correct the issues.","Yes","10577","149789","14:20:11"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","06/30/2012","3","The overall rating of this investment was downgraded due to outdated and missing artifacts.  The Department's Capital Planning Division will provide guidance to the agency to correct the issues.","Yes","11111","157775","15:25:11"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","08/01/2012","3","The Department's Capital Planning Division is continuing to work with and provide guidance to the agency to correct issues with outdated and missing artifacts.","Yes","11677","164593","13:20:59"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","08/30/2012","3","The overal rating of this investment was downgraded due to outdated and missing artifacts.  The Department's Capital Planning Division will provide guidance to the agency to correct the issues.","Yes","11919","169037","15:49:11"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","06/29/2009","3","","Yes","365","0","16:38:26"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","08/31/2009","3","","No","366","0","11:47:02"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","09/29/2009","3","","No","367","0","09:44:52"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","10/27/2009","3","","No","368","0","11:59:34"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","11/23/2009","3","","No","369","0","10:23:09"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","12/30/2009","3","","No","370","0","09:28:38"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","01/28/2010","3","","No","371","0","08:29:33"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","01/28/2010","3","","No","372","0","08:39:45"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","02/25/2010","3","","No","373","0","09:12:33"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","06/28/2010","4","The risk management of the investment requires additional attention by the program. CIO has increased oversight of this investment.","Yes","3264","13606","13:49:36"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","06/28/2010","3","The risk management of the investment requires additional attention by the program. CIO has increased oversight of this investment.","Yes","3297","13816","15:26:11"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","07/29/2010","4","This investment is well-managed.","Yes","3720","17327","16:56:59"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","06/29/2011","5","This investment is well-managed.","Yes","6291","73398","09:59:35"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","03/30/2012","5","The CIO will continue to review and monitor this investment.","Yes","9447","135599","07:07:51"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","04/30/2012","5","The CIO will continue to review and monitor this investment closely.","Yes","10005","141535","11:14:54"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","05/31/2012","5","The overall rating of this investment was downgraded due to outdated and missing artifacts.  The Department's Capital Planning Division will provide guidance to the agency to correct the issues.","Yes","10579","149799","14:20:13"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","06/30/2012","3","The overall rating of this investment was downgraded due to outdated and missing artifacts.  The Department's Capital Planning Division will provide guidance to the agency to correct the issues.","Yes","11069","157417","14:56:34"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","08/01/2012","3","The Department's Capital Planning Division is continuing to work with and provide guidance to the agency to correct issues with outdated and missing artifacts.","Yes","11679","164613","13:21:08"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","08/30/2012","3","The Department is working with the agency to improve oversight of this investment.  Agency heads, CIOs, PMs, and CPIC Administrators will be notified of the weakness in their investment management and oversight.","Yes","11921","169039","15:49:11"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","06/29/2009","4","","Yes","491","0","16:32:21"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","08/31/2009","4","","No","492","0","11:03:04"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","09/29/2009","4","","No","493","0","08:09:59"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","10/26/2009","4","","No","494","0","08:50:24"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","11/23/2009","4","","No","495","0","08:16:16"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","12/30/2009","4","","No","496","0","08:04:42"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","01/28/2010","4","","No","497","0","07:00:26"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","02/25/2010","4","","No","498","0","08:29:34"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","04/30/2010","3","","Yes","2771","8317","07:53:37"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","06/28/2010","3","The business case and supporting documents require additional attention and updates. CIO has increased oversight of this investment.","Yes","3274","13671","15:21:03"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","07/29/2010","4","This investment is well-managed.","Yes","3721","17333","16:56:59"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","12/30/2010","3","This investment is well-managed.","Yes","4972","41995","16:08:23"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","01/28/2011","4","Management of this investment has greatly improved.","Yes","5067","44417","14:24:11"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","03/30/2011","5","Management of this investment has greatly improved.","Yes","5666","61297","21:31:03"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","11/30/2011","4","Management of this investment has improved.","Yes","8100","110570","08:09:58"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","12/28/2011","4","The agency has improved oversight but must ensure programmatic plans and data are consistent with the Exhibit 53 and Exhibit 300 information.","Yes","8337","113172","11:29:20"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","01/30/2012","3","The agency will increase oversight of this investment and ensure programmatic plans and data are consistent with the Exhibit 53 and Exhibit 300 information.","Yes","8527","115661","13:12:09"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","04/30/2012","3","The Department is working with the agency to enhance their oversight processes for managing their IT investments.","Yes","10007","141537","11:14:54"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","05/31/2012","3","The agency will increase oversight of this investment and ensure programmatic plans and data are consistent with the Exhibit 53 and Exhibit 300 information.","Yes","10581","149811","14:20:14"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","06/30/2012","3","The agency will continue to increase oversight of this investment and ensure programmatic plans and data are consistent with OMB reporting requirements.","Yes","11071","157433","14:56:39"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","08/30/2012","3","The Department is working with the agency to improve oversight of this investment.  Agency heads, CIOs, PMs, and CPIC Administrators will be notified of the weakness in their investment management and oversight.","Yes","11923","169041","15:49:12"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","06/29/2009","4","","Yes","568","0","16:30:19"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","08/31/2009","4","","No","569","0","11:11:14"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","09/29/2009","4","","No","570","0","08:11:03"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","10/26/2009","4","","No","571","0","09:47:03"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","11/23/2009","4","","No","572","0","08:20:57"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","12/30/2009","4","","No","573","0","08:17:49"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","01/28/2010","4","","No","574","0","07:36:15"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","02/25/2010","4","","No","575","0","08:33:17"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","04/30/2010","5","","Yes","2775","8338","08:04:36"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","06/28/2010","4","","Yes","3278","13689","15:21:06"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","07/29/2010","5","This investment is well-managed.","Yes","3725","17347","16:57:01"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","12/28/2011","5","This investment is well-managed and is improving operational performance measurement.","Yes","8341","113180","11:29:27"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","01/30/2012","4","This investment is well-managed and is improving operational performance measurement.","Yes","8531","115669","13:12:12"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","03/30/2012","4","This investment is improving operational performance measurement.","Yes","9449","135623","07:08:09"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","04/30/2012","4","This investment continues to demonstrate improved operational performance measurements and management.","Yes","10015","141555","11:14:58"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","05/31/2012","4","This investment is improving operational performance measurements and management.","Yes","10587","149843","14:20:35"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","06/30/2012","3","The department will provide and maintain greater oversight of the investment to improve the data quality.","Yes","11079","157497","14:57:07"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","08/30/2012","3","The department will continue to work with FSA to improve the data quality for this investment.  Agency heads, CIOs, PMs, and CPIC Administrators will be notified in writing each month of weakness in the management of their investments.","Yes","11929","169047","15:49:12"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","06/29/2009","4","","Yes","270","0","16:30:29"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","08/31/2009","4","","No","271","0","11:12:22"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","09/29/2009","4","","No","272","0","08:11:23"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","10/26/2009","4","","No","273","0","09:51:24"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","11/23/2009","4","","No","274","0","08:21:42"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","12/30/2009","4","","No","275","0","08:18:41"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","01/28/2010","4","","No","276","0","07:37:11"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","02/25/2010","4","","No","277","0","08:34:35"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","06/03/2010","3","","Yes","3171","12170","10:08:31"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","06/28/2010","4","The business case and supporting documents require additional attention and updates. CIO has increased oversight of this investment.","Yes","3279","13695","15:21:06"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","07/29/2010","4","This investment is well-managed.","Yes","3726","17351","16:57:01"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","10/28/2010","5","This investment is well-managed.","Yes","4336","32736","14:58:23"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","12/28/2011","5","This investment is well-managed and is improving operational performance measurement.","Yes","8342","113183","11:29:27"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","03/30/2012","5","This investment is improving operational performance measurement.","Yes","9451","135627","07:08:13"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","04/30/2012","5","This investment continues to demonstrate improved operational performance measurements and management.","Yes","10017","141563","11:14:59"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","05/31/2012","5","This investment is improving operational performance measurements and management.","Yes","10589","149847","14:20:40"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","06/30/2012","5","Agency is working on improvement to this investment. Increased Department level and agency level CIO oversight needed.","Yes","11081","157505","14:57:11"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","08/01/2012","4","Agency is working on improvements to this investment. Increased Department level and agency level CIO oversight is needed.","Yes","11681","164671","13:21:48"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","08/30/2012","4","Agency is managing this investment and keeping it on track.","Yes","11931","169049","15:49:12"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","06/29/2009","4","","Yes","278","0","16:30:37"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","08/31/2009","4","","No","279","0","11:14:59"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","09/29/2009","4","","No","280","0","08:11:43"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","09/29/2009","4","","No","281","0","08:12:05"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","10/01/2009","4","","No","282","0","11:43:37"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","10/26/2009","4","","No","283","0","10:03:55"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","11/23/2009","4","","No","446","0","08:22:25"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","12/30/2009","4","","No","447","0","08:19:36"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","01/28/2010","4","","No","448","0","07:39:34"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","02/25/2010","4","","No","449","0","08:35:59"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","06/03/2010","3","","Yes","3172","12172","10:09:36"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","06/28/2010","4","","Yes","3280","13699","15:21:07"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","07/29/2010","4","This investment is well-managed.","Yes","3727","17355","16:57:01"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","10/28/2010","5","This investment is well-managed.","Yes","4337","32738","14:58:23"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","02/28/2012","4","This investment is well-managed.","Yes","8856","124806","13:23:32"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","03/30/2012","4","The Agency is closely monitoring this investment and keeping the documentation up-to-date.","Yes","9453","135633","07:08:16"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","04/30/2012","4","This investment continues to demonstrate improved operational performance measurements and management.","Yes","10019","141569","11:14:59"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","05/31/2012","4","The Agency is closely monitoring this investment and keeping the documentation up-to-date.","Yes","10591","149853","14:20:42"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","08/01/2012","4","The Agency is closely monitoring this investment.","Yes","11683","164683","13:21:51"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","06/29/2009","4","","Yes","253","0","16:34:38"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","08/31/2009","4","","No","254","0","11:15:53"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","09/29/2009","4","","No","255","0","08:12:30"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","10/26/2009","4","","No","256","0","12:16:22"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","11/23/2009","4","","No","257","0","08:23:11"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","12/30/2009","4","","No","258","0","08:20:36"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","01/28/2010","4","","No","259","0","07:40:31"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","02/25/2010","4","","No","260","0","08:37:14"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","07/29/2010","4","This investment is well-managed.","Yes","3728","17358","16:57:01"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","12/30/2010","3","This investment is well-managed.","Yes","4977","42045","16:08:27"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","03/30/2011","4","This investment is well-managed.","Yes","5644","60997","14:47:17"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","05/26/2011","4","Management of this investment has improved.","Yes","6101","69946","14:13:30"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","10/31/2011","4","This investment is scheduled for completion in FY2013.  Currently, it is well-managed and is on budget and schedule.","Yes","7935","105965","09:00:09"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","11/30/2011","4","This investment is scheduled for completion in FY2013.  The Activity Table and Risk Table will need to be updated to reflect BY2013 spending.","Yes","8105","110596","08:10:20"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","12/28/2011","3","This investment is scheduled for completion in FY2013.  Supporting artifacts are still needed for closeout, review and lessons learned purposes.","Yes","8343","113187","11:29:27"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","01/30/2012","3","This investment is scheduled for completion in FY2013. Supporting artifacts are still needed for closeout, review and lessons learned purposes. Agency oversight is needed to address the outstanding issues with this investment.","Yes","8532","115670","13:12:13"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","02/28/2012","3","The department will continue to work with the agency to continue documenting and reflecting the health of this investment.","Yes","8857","124818","13:23:35"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","03/30/2012","3","The department will continue to work with the agency to  document and accurately reflect the health of this investment.","Yes","9455","135639","07:08:19"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","04/30/2012","3","The Department s Capital Planning Division is working closely with the agency s CPIC administrator and investment program management team to strengthen their investment management capabilities.","Yes","10021","141577","11:14:59"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","05/31/2012","3","The Department is working with the agency to enhance their oversight processes for managing their IT investments.","Yes","10593","149859","14:20:45"
