Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Rebaseline Date,Rebaseline Option,Comment,Project ID,Area of Change,Total Planned Cost of all Activities,Lifecycle Costs (SoF),Timeframe of Investment,(Legacy) Total Cost,(Legacy) Planned Completion Date,Updated Date,Updated Time,Baseline ID
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","10/24/2011","Correction","Crrection applied.","","SoF","","","2011-2016","","","08/01/2012","16:23:27","8889"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","03/09/2010","External - Direct Mandate","Budget changes.","","","","","","32.929000","2015-09-30","04/30/2010","08:24:51","576"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","10/27/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Changes with little effect on the baseline.","","","","","","385.636000","2015-09-30","10/29/2010","13:36:29","2185"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","11/18/2010","Rebaseline - other","Minor change.","","","","","","1051.556000","2015-09-30","11/30/2010","15:51:34","2413"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","02/08/2011","Rebaseline - other","Performance Goals were changed.","","","","","","1051.556000","2015-09-30","02/16/2011","22:22:59","2848"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","02/25/2011","Rebaseline - other","Performance Metrics table corrections.","","","","","","1051.556000","2015-09-30","02/26/2011","10:00:53","3494"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","02/25/2011","Rebaseline - other","Performance metrics corrected.","","","","","","1051.556000","2015-09-30","02/26/2011","13:59:01","3516"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","02/25/2011","Correction","Completed milestone corrected.","","","","","","1050.806000","2015-09-30","02/26/2011","14:20:37","3522"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","10/24/2011","Correction","Corrections were made to cost documentation.","1769,1770","Projects, Activities","1087.629000","","2007-2015","","","10/28/2011","10:07:51","6895"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","04/29/2010","Internal - Other","Not a real rebaselining.  Several steady state tasks added for out years.  This investment was originally part of the USDA infrastructure business and this is the first year of reporting this investment on its own.","","","","","","49.136181","2011-09-30","04/29/2010","14:15:54","552"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","04/29/2010","Internal - Other","Not a real rebaselining.  Several steady state tasks added for out years.  This investment was originally part of the USDA infrastructure business and this is the first year of reporting this investment on its own.","","","","","","206.592376","2011-09-30","06/01/2010","11:40:34","678"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","04/29/2010","Internal - Other","Not a real rebaselining.  Several steady state tasks added for out years.  This investment was originally part of the USDA infrastructure business and this is the first year of reporting this investment on its own.","","","","","","230.844776","2012-09-30","08/30/2010","15:39:05","1045"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","04/29/2010","Rebaseline - other","Not a real rebaselining.  Several steady state tasks added for out years.  This investment was originally part of the USDA infrastructure business and this is the first year of reporting this investment on its own.","","","","","","229.688736","2012-09-30","09/17/2010","14:35:39","1513"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","01/07/2011","Correction","Errors corrected.","","","","","","193.398960","2012-09-30","01/07/2011","10:41:30","2615"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","01/12/2011","Rebaseline - other","Minor corrections were needed","","","","","","176.062960","2012-09-30","02/16/2011","21:58:58","2843"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","02/23/2011","Rebaseline - other","Added Planned Start and end dates. AGS","","","","","","210.878960","2014-09-30","02/23/2011","15:56:08","3117"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","02/24/2011","Rebaseline - other","Required to reconcile dashboard with eCPIC.","","","","","","210.878960","2014-09-30","02/24/2011","13:26:41","3204"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","02/24/2011","Rebaseline - other","RBL correction was made to submit 300 to OMB.Additional rebaseline was completed to allow submission to OMB.","","","","","","210.878960","2014-09-30","02/24/2011","16:26:11","3282"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","10/24/2011","Correction","Data was updated to reflect the correct format. AGS","1684","Projects, Activities","","","2007-2019","","","10/28/2011","09:57:39","6889"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","10/24/2011","Correction","Data was updated to reflect the correct format. AGS","1684,1685","Projects, Activities","","","2007-2019","","","12/28/2011","11:29:28","7244"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","09/17/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Minor changes required.","","","","","","735.341200","2017-09-29","09/17/2010","14:37:15","1515"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","10/28/2010","Rebaseline - other","Errors corrected.","","","","","","737.684200","2017-09-29","10/28/2010","08:08:28","2105"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","11/30/2010","Rebaseline - other","Errors corrected.","","","","","","737.684200","2017-09-29","02/24/2011","11:07:44","3160"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","02/25/2011","Rebaseline - other","Rebaselined to address ITDB validation report errors","","","","","","737.684200","2017-09-29","02/25/2011","15:44:46","3421"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","02/26/2011","Correction","Minor corrections to address ITDB submission issues.","","","","","","739.684200","2017-09-29","02/26/2011","11:13:10","3504"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","04/20/2011","Rebaseline - other","Rebaseline to effect changes in, and additions to, performance metrics.","","","","","","739.684200","2017-09-29","04/29/2011","08:45:44","3999"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","04/29/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Correcting performance metrics","","","","","","735.831200","2017-09-29","05/26/2011","14:13:24","6083"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","05/26/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Replan to correct ITDB performance metric validation errors","","","","","","735.831200","2017-09-29","05/26/2011","14:56:18","6090"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","05/26/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Replan to correct performance metric ITDB validation errors","","","","","","735.831200","2017-09-29","05/26/2011","15:49:42","6094"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","05/26/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Replan to correct performance metric ITDB validation errors","","","","","","735.831200","2017-09-29","05/26/2011","15:57:01","6098"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","05/27/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Replan to correct performance metric ITDB validation errors","","","","","","735.831200","2017-09-29","05/27/2011","09:01:08","6103"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","05/27/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Replan to correct performance metric ITDB validation errors","","","","","","735.831200","2017-09-29","05/27/2011","09:30:18","6111"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","07/19/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Corrections to bring proposed costs in line with funding","","","","","","716.687200","2017-09-29","07/28/2011","14:07:47","6734"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","10/28/2011","Correction","Correction to previously submitted total actual cost.","666,667,668,669,670","Projects, Activities","","","2002-2018","","","10/28/2011","09:14:01","6879"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","10/28/2011","Correction","Correction to previously submitted total actual cost.","666,667,668,669,670,671","Projects, Activities","","","2002-2018","","","05/31/2012","17:20:13","8359"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","05/31/2012","Rebaseline - contract related","Removed Contract from table of contracts.  AGS","","SoF","","","2002-2018","","","06/30/2012","17:56:34","8607"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","07/30/2012","Rebaseline - contract related","The AEI rebaseline is an increase to planned spending for an enterprise licensing contract that is due for renewal in FY2013. The correction to the base line is reflected in the BY 2013 Exhibit 300 summary of funding.","","SoF","","","2002-2018","","","08/01/2012","16:21:08","8867"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","07/30/2012","Rebaseline - contract related","The AEI rebaseline is an increase to planned spending for an enterprise licensing contract that is due for renewal in FY2013. The correction to the base line is reflected in the BY 2013 Exhibit 300 summary of funding.","","","","","2002-2018","","","08/01/2012","16:34:02","8897"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","08/31/2010","External - Direct Mandate","Other - Required for ITDB submission.","","","","","","68.399000","2012-09-30","08/31/2010","13:58:26","1087"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","10/27/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Other - Required for ITDB submission.","","","","","","182.500000","2018-09-30","02/24/2011","11:07:55","3177"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","02/25/2011","Rebaseline - other","performance table updated.","","","","","","182.500000","2018-09-30","02/25/2011","13:02:47","3381"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","02/25/2011","Rebaseline - other","Performance Metrics table corrections.","","","","","","182.500000","2018-09-30","02/26/2011","10:00:53","3497"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","02/25/2011","Rebaseline - other","Performance metrics corrected.","","","","","","182.500000","2018-09-30","02/26/2011","13:59:01","3519"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","03/21/2011","Rebaseline - other","Minor changes.","","","","","","182.467000","2018-09-30","03/30/2011","21:35:34","3845"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","10/24/2011","Correction","Corrections were applied to the Project and Activities tables.","1747,1748,1758,1759,1760,1761","Projects, Activities, Metrics","","","2003-2019","","","10/28/2011","10:44:38","6911"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","10/24/2011","Correction","Corrections were applied to the Project and Activities tables.","1747,1749,1757,1758","Projects, Activities","","","2003-2019","","","11/30/2011","08:10:32","7136"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","02/29/2012","Correction","Corrections were applied to the Project and Activities tables. AGS","2961,1747,1748,1749,1750,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761","Projects, Activities, Metrics","","","2003-2019","","","02/29/2012","12:04:16","7662"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","02/29/2012","Correction","Corrections were applied to the Project and Activities tables. AGS","1747,1751","Projects, Activities","","","2003-2019","","","03/30/2012","10:09:51","7897"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","02/29/2012","Correction","Corrections were applied to the Project and Activities tables. AGS","1747,1748,1749,1750,1752","Projects, Activities","","","2003-2019","","","07/02/2012","09:27:17","8671"
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","04/25/2011","Rebaseline - other","Minor changes.","","","","","","37.358000","2013-09-30","04/29/2011","08:52:38","4003"
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","10/24/2011","Correction","Correction was applied.","1105","Projects, Activities","","","1995-2014","","","10/28/2011","10:17:32","6899"
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","10/24/2011","Correction","Correction was applied.","1105","Projects, Activities","","","1995-2013","","","08/01/2012","16:23:05","8887"
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","10/24/2011","Correction","Correction was applied.","","","","","1995-2013","","","08/01/2012","16:35:25","8913"
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","10/24/2011","Rebaseline - other"," Technical Rebaseline  - a rebaseline to meet ITDB validation process requirements.","1089,1090,1091","Projects, Activities","","","2010-2019","","","10/28/2011","09:44:55","6885"
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","10/24/2011","Rebaseline - other"," Technical Rebaseline  - a rebaseline to meet ITDB validation process requirements.","1090,1091,1089","Projects, Activities","","","2010-2019","","","11/30/2011","08:10:17","7133"
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","05/31/2012","Rebaseline - other"," Removed 2 Operational Risks from the risks table.  AGS","","SoF","","","2011-2019","","","06/30/2012","17:57:03","8615"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","04/29/2010","Internal - Other","Not a real rebaseline.  Several steady state tasks added for out years.","","","","","","481.033220","2017-09-30","04/29/2010","14:15:57","553"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","04/29/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Not a real rebaseline.  Several steady state tasks added for out years.","","","","","","408.796820","2015-09-30","09/17/2010","14:46:13","1523"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","11/30/2010","Rebaseline - other","Errors corrected.","","","","","","412.949820","2015-09-30","11/30/2010","14:41:22","2402"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","12/24/2010","Rebaseline - other","Technical clean up in order to be able to submit to the ITDB without validation errors. Not an official Department approved rebaseline.","","","","","","420.000820","2015-09-30","02/24/2011","11:07:49","3172"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","02/26/2011","Correction","Minor corrections to address ITDB submission issues.","","","","","","421.909000","2015-09-30","02/26/2011","16:49:06","3531"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","02/27/2011","Correction","Minor corrections to address ITDB submission errors.","","","","","","421.909000","2015-09-30","02/27/2011","13:41:19","3544"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","03/30/2011","Correction","Correcting errors to address ITDB submission issues.","","","","","","423.319000","2015-09-30","03/30/2011","21:31:20","3842"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","03/30/2011","Correction","Correcting errors to address ITDB submission issues.","","","","","","423.319000","2015-09-30","03/30/2011","21:42:12","3850"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","03/30/2011","Correction","Correcting errors to address ITDB submission issues.","","","","","","423.319000","2015-09-30","03/30/2011","22:45:38","3855"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","04/30/2012","Rebaseline - other","Technical rebaseline - Specifically to be able to successfully submit to the Federal IT Dashboard.","1108,1109","Projects, Activities","","","1998-2017","","","04/30/2012","14:15:04","8131"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Internal - Other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","50.361070","2010-09-30","04/29/2010","14:15:59","555"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Internal - Other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","50.461070","2010-09-30","04/30/2010","07:39:10","570"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Internal - Other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","99.121063","2017-09-30","06/01/2010","11:40:57","681"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Internal - Other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","99.221063","2017-09-30","06/01/2010","13:33:37","683"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Internal - Other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","99.810166","2017-09-30","06/02/2010","14:58:11","714"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Internal - Other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","99.910166","2017-09-30","06/28/2010","15:21:15","741"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Internal - Other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","99.994166","2017-09-30","07/28/2010","16:28:41","790"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Internal - Other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","102.041806","2017-09-30","07/29/2010","16:57:08","802"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Internal - Other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","101.167889","2017-09-30","08/30/2010","15:39:07","1047"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Internal - Other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","101.267889","2017-09-30","08/30/2010","15:42:25","1049"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Internal - Other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","101.367889","2017-09-30","08/30/2010","16:00:44","1055"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Internal - Other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","101.467889","2017-09-30","08/30/2010","16:38:15","1058"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Internal - Other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","101.567889","2017-09-30","08/31/2010","13:58:25","1086"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Internal - Other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","101.667889","2017-09-30","08/31/2010","14:10:36","1090"
