"Unique Investment Identifier","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","PIID/Ref PIID","Planned Acquisitions","Updated Date","Updated Time"
005-000000018,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","AMS-Web-Based Supply Chain Management (WBSCM)",GSQ0016AJ0002,NO,09/21/2018,17:53:31
005-000000156,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-USDA Meat & Poultry Hotline (Hotline)",AG3A94D170052|AG3A94D140214,NO,09/21/2018,13:05:25
005-000000160,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","APHIS-Emergency Management Response Services 2.0 (EMRS-2)",AG32KWD150126|AG32KWD150126-0001,NO,09/21/2018,13:21:21
005-000000167,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Human Resource GSS (HR GSS)",AG3A94D140214|AG3A94D170052|AG3A94D170137|AG3A94C160010|AG3A94D160182|AG3A94D140214|AG3A94D140231,NO,09/21/2018,13:03:58
005-000000168,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Financial Management General Support System (FM GSS)",AG-3A94-D-17-052|AG-3151-C-14-0024|AG-3151-C14-0024|AG3A94D140214|AG3A94D150031,NO,09/21/2018,13:03:58
005-000000185,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","APHIS-Certification, Accreditation, Registration, Permitting, and Other Licensing (CARPOL)",AG-6395-B-14-0087,NO,02/28/2019,15:49:59
005-000000235,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-NFC-Payroll Services",12724518P0007|AG-7245-C-15-0004|GS35F045yM|NNG15SC65B|GS25F0265X|AG-3142-B-15-0001|GS35F0256K|AG-7245-C-16-0011|NNG15SD00B|12314418P0027|AG-7245-D-16-0093|AG-7245-D-16-0101|AG-7245-P-15-0006|12314418F0152|12314418F0181|12314418F0316|12314418F0343|AG-7245-C-15-0004|12724518F0003|12314418F0395|AG-7245-D-16-0058|AG-7245-D-17-0038|AG-7245-D-17-0032|12314418F0297|12314418F0189|12314418F0179|12314418F0158|AG-3144-B-17-0006|AG-7245-C-16-0011|AG-7245-D-15-0070|AG-7245-D-17-0031|AG-7245-K-16-0029|AG-7245,NO,09/21/2018,14:01:26
005-000000236,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Laboratory General Support System  (Lab GSS)",GS-07F-5446R|AG3A94D140214|AG-3A94-D-15-0074|AG-3A94-P-15-0067|AG-3A94-C-15-0013|AG-3A94-C-15-0011|AG-3A94-C-16-0002|AG-3A94-P-16-0039|AG-3A94-P-16-0039|AG-3A94-D-16-0073|AG-3A94-D-16-0080|AG-3A94-C-16-0001|AG3A94D170052|AG-3A94-C-16-0002,NO,03/15/2019,12:40:11
005-000000238,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FS-Air Transportation",AG-3144-D-16-0151|AG-024B-S-15-0032|AG-024B-D-14-0048|AG-024B-S-14-0001,YES,09/21/2018,17:19:42
005-000000252,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FS-Emergency Response",AG-84JC-C-14-0001|AG-84N8-C-10-0013|AG-7604-C-12-0022|AG-024B-K-16-006|D16PA00003|AG-84JC-C-12-001,NO,09/21/2018,17:45:30
005-000000276,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","ARS-Application Standard Investment",1232SB18F0077|AG-32SB-D-17-0309|AG-32SB-D-17-0271|AG-32SB-D-16-0057|AG-32SB-D-17-0302|AG-32SB-D-17-0151|AG_32SB-D-17-0031|AG-32SB-P-17-0040|AG32SBC150020|AG32SBD150356,YES,09/21/2018,16:57:42
005-000000279,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","NASS-Data and Applications",AG-32SB-D-16-0033|AG-32SB-D-16-0266|AG-32SB-K-16-0043|BPA|GSA,,09/21/2018,13:56:54
005-000001425,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",AG3144B170029|AG3144B170007|AG3144B170008|AG3144B170009|AG3144B170010|AG3144B170028|AG3144B170011|AG3144B170012|AG3144B170006|AG3144D170052|AG3144C160004|AG3144K150060|AG3144K150040|AG3144K150041,YES,09/21/2018,20:10:59
005-000001427,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FAS-Food Aid Information System (FAIS)",AG3151C160036,NO,09/21/2018,17:04:57
005-000001508,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FNS-Electronic Benefit Transfer (EBT) -- Account Management Agent (AMA)",,NO,09/21/2018,17:08:02
005-000001605,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","AMS-Conformance Management",AG-32KW-S-17-0074|GIPSA-FGIS-31AK|AG-32KW-C-17-0026,YES,02/28/2019,14:59:27
005-000001628,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FAS-Information and Knowledge Infrastructure (IKI)",AG3151D160166,NO,09/21/2018,17:04:58
005-000001646,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FAS-Market Intelligence - Global Commodity Analysis (MIGCA)",AG3151D130069|AG3151D160166,NO,09/21/2018,17:04:58
005-000001659,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","APHIS-Animal Disease Traceability Information System (ADTIS)",AG-32KW-D-16-0291,NO,09/21/2018,13:20:00
005-000001696,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","DA-OCIO-Executive IT Management Staff Costs"," AG-3144-D-17-0330|AG-3142-D-14-0225|AG-3144-C-15-0019|12314418F0101|AG-3144-D-16-0209|AG-3144-D-17-0057|AG-3144-D-17-0262|12-3144-18-F-0359",YES,02/27/2019,21:10:16
005-000001739,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FAS-Administrative Decision Support Systems (ADSS)",AG3151D130069|AG3151C160036,NO,09/21/2018,17:04:58
005-000001822,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","APHIS-Electronic Permits System (ePermits)",AG-6395-B-16-0072|AG-6395-K-15-0127,NO,09/21/2018,13:21:21
005-000001838,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","RD-Enterprise Content Management (ECM)",AG-31ME-C-14-0010|GS-35F-0167M,NO,09/21/2018,13:06:35
005-000001861,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","APHIS-Agricultural Quarantine Activity System (AQAS)",GS06F1238Z,NO,09/21/2018,13:20:00
005-000001870,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",GSQ0017AJ0030|AG3144K170282|AG3144D170318|AG3151D130042|AG3151D140119|12315118F0058,YES,02/28/2019,20:06:09
005-000002144,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FAS-Market Access, Development, and Assistance (MADA)",AG3151C160036,NO,09/21/2018,17:04:58
005-000002148,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",AG-3A94-B-15-0007|AG3A94D170052|AG-3A94-K-17-0013|AG-3A94-K-17-0029|AG-3A94-K-17-0011|123A9418F0103|123A9418F0003|123A9418F0005,NO,02/28/2019,20:13:49
005-000002188,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","APHIS-Commodity Treatment Information System (CTIS)",17-8100-1128-CA,NO,09/21/2018,13:20:00
005-000002196,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","APHIS-Cost Management System (ACMS)",AG32KWD120356,NO,09/21/2018,13:21:21
005-000002197,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","APHIS-Animal Care Information System",AG-32KW-P-14-0109,NO,09/21/2018,13:20:00
005-000002223,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FS-Natural Resource Manager (NRM)","16-IA- 111132429-219|AG7604C160017|AG-7604-C-13-0002|AG7604C150004|AG7604C150004|GS35F230CA|AG7604C160009|12318718F0254",YES,02/28/2019,20:26:10
005-000002317,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","RD-Comprehensive Loan Program",AG-31ME-D-16-0009/0039|AG-31ME-C-14-0010|AG-31ME-K-17-0030|AG-31ME-C-16-0010|123ME-18-D-0003|AG-31ME-D-16-0009-0021|12-31-ME-18-F-0093,NO,02/28/2019,20:45:12
005-000002353,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","APHIS-Agricultural Risk Management System (ARM)",AG-6395-B-17-0047,NO,09/21/2018,13:20:00
005-000002375,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","NRCS-Accountability Information Management System (AIMS)",12314418F0166|12314418F0184,YES,09/21/2018,12:52:22
005-000002376,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","NRCS-Conservation Delivery Streamline Initiative (CDSI)","GS-06F-0629Z|AG-3144-C-16-0024|AG-3144-D-16-0516|AG-3144-B-15-0012|OCIO-18-0173|GS-00-Q-17-GWD-2268|AG-3144-D-16-0100|AG-3144-C-17-0014|OCIO-19-0028|OCIO-19-0027|OCIO-19-0024|GS-35F-0371N|12314418C0019 FE",YES,02/28/2019,20:10:11
005-000002377,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","NRCS-Customer Service Toolkits (CST)",12314418F0166|AG-3142-B-14-0023|AG3144-D-12-0121,YES,09/21/2018,12:52:22
005-000002381,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","NRCS-Management Applications (MGT)",67-3A75-17-241|AG-3142-C-14-0008|12314418F0166|AG-3144-P-17-0104,YES,09/21/2018,12:54:13
005-000002382,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","NRCS-Natural Resources Data Collection and Development (DCD)",12314418F0166|AG-3144-D-17-0378|AG-3144-D-12-0121,NO,09/21/2018,12:54:13
005-000002383,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","NRCS-Natural Resources Information and Delivery (NRID)",12314418F0166|AG-3144-D-17-0431a|AG3144-D-12-0121,YES,09/21/2018,12:54:14
005-000002388,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","NRCS-Program Contracts, Easements and Grants (CEG)",12314418F0166|12314418F0184|AG3144-D-12-0121|AG3144-C-12-0005,YES,09/21/2018,12:54:14
005-000002389,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","NRCS-Smartech Management Programs (SMP)",OCIO-17-0091-FTC-USE-01|12314418F0166,YES,09/21/2018,12:54:14
005-000002390,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","APHIS-Comprehensive and Integrated Animal Health Surveillance Services",AG32KWP150047,NO,09/21/2018,13:20:00
005-000002391,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FNS-Food Programs Reporting",AG3198K170009|AG3198K160070|AG3198K150034,NO,09/21/2018,17:13:59
005-000002392,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FNS-Nutrition Information Web Tools",AG3198D150086|AG3198K140038|AG3198K150081|AG3198D160083|AG3198D170105,NO,09/21/2018,20:22:54
005-000002850,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FAS-Global Crop Production Intelligence System (GCPIS)",AG3151C170018|AG3151D160044|AG3151D150134,NO,09/21/2018,17:04:58
005-000003010,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture",OCFO-FSSP-Pegasys,GS-35F-0387U|AG-3144-D-15-0169,YES,02/28/2019,20:43:01
005-000003025,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","NRCS-Enterprise Data Management (EDM)",AG-3144-D-17-0314|AG-3144-K-17-0166|AG-3144-D-15-0096|AG-3144-D-17-0316|GS-06F-0539Z|GS-06F-1018Z|AG-3144-D-17-0368|AG-3144-C-14-0014|AG-3144-D-17-0315b|AG-3144-C-0007,NO,09/21/2018,12:52:22
005-000003135,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-A123 Compliance Reporting Tool",,YES,09/21/2018,20:10:59
005-000003190,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-NFC-Human Capital Management Services",AG-7245-B-17-0004|AG-7245-B-17-0005|AG-7245-B-13-0020|AG-7245-D-17-0031|AG-7245-D-16-0037|AG-7245-D-16-0059|AG-7245-D-16-0083|AG-7245-C-17-0005|AG-7245-P-16-0046|AG-7245-D-16-0093|AG-7245-D-17-0018|AG-7245-K-17-0014|AG-7245-K-17-0011|AG-7245-B-15-0004|AG-7245-K-17-0009|AG-7245-K-16-0029|AG-3144-B-17-0009|AG-7245-B-17-0004|AG-3144-C-15-0030|AG-7245-P-17-0028|AG-3144-D-17-0207|AG-3142-C-14-008|12724518P003|12314418F0047|AG-7245-D-17-0032|AG-7245-P-17-005|AG-3144-D-16-0258|12314418F0098|12724518F00,YES,09/21/2018,14:01:27
005-000003195,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-NFC-Employee Services",AG-7245-B-15-0004|12314418F0135|12724518F0021|AG-7245-B-15-0004,YES,09/21/2018,14:01:27
005-000003220,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture",FAS-IMART,AG-3151-C-16-0037,NO,09/21/2018,17:04:58
005-000003240,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","DA-OES-Correspondence Management System (CMS)",AG-3114-D-17-0410,YES,09/21/2018,15:14:14
005-000003245,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FS-Interagency Resource Ordering Capability (IROC)",AG-024B-D-17-0085,NO,09/21/2018,21:16:57
005-000003250,"04 - Funding Transfer","01 - Not Applicable","	005","Department of Agriculture","DM-OCIO -EGOV-FOIA Portal",,NO,09/21/2018,15:26:13
005-000003255,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","DM-OO-Emergency Response",12314218F0320,YES,02/28/2019,16:29:07
005-000003272,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-125 Farm Programs",,YES,09/21/2018,12:57:15
005-000003273,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-126 Farm Loan Programs",,YES,09/21/2018,12:57:15
005-000003275,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-128 Enterprise Mission Delivery Services",,YES,09/21/2018,12:58:07
005-000003276,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-129 Program Financial Services",,YES,09/21/2018,12:58:07
005-000003277,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-130 FSA Administrative Services",,YES,09/21/2018,12:58:07
005-000003278,"02 - Non-major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-131 IT Enterprise Services",,YES,09/21/2018,12:58:07
005-000003297,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FS-Open Forest (FS Enterprise ePermit)","17IA11132420270 - 0002|16-IA- 111132429-219",NO,09/21/2018,21:45:23
005-000003311,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FBC-1001 Customer Engagement and Management Services",,NO,02/25/2019,17:48:43
005-000003321,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","DA-OCIO-Emerging Technology",,NO,02/25/2019,18:02:54
005-000003325,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-127 Geospatial Services",,YES,02/25/2019,17:47:10
005-999990010,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture",FS-Recreation.gov,12760418F0108,NO,09/21/2018,21:15:01
005-999990020,"04 - Funding Transfer","01 - Not Applicable","	005","Department of Agriculture",DM-OCIO-EGOV-Benefits.gov,,NO,09/21/2018,12:27:05
005-999990060,"04 - Funding Transfer","01 - Not Applicable","	005","Department of Agriculture",DM-OCIO-EGOV-E-Rulemaking,,NO,09/21/2018,12:31:53
005-999990160,"04 - Funding Transfer","01 - Not Applicable","	005","Department of Agriculture",DM-OCIO-EGOV-Grants.gov,,NO,09/21/2018,12:40:07
005-999990230,"04 - Funding Transfer","01 - Not Applicable","	005","Department of Agriculture","DM-OCIO-EGOV-Integrated Award Environment",,NO,09/21/2018,12:40:07
005-999990900,"04 - Funding Transfer","01 - Not Applicable","	005","Department of Agriculture","DM-OCIO-EGOV-Performance Management LoB",,NO,09/21/2018,12:40:08
005-999991100,"04 - Funding Transfer","01 - Not Applicable","	005","Department of Agriculture","DM-OCIO-EGOV-Financial Management LoB",,NO,09/21/2018,12:40:07
005-999991200,"04 - Funding Transfer","01 - Not Applicable","	005","Department of Agriculture","DM-OCIO-EGOV-Human Resources LoB",,NO,09/21/2018,12:40:07
005-999991218,"04 - Funding Transfer","01 - Not Applicable","	005","Department of Agriculture",DM-OCIO-EGOV-USAJOBS,,NO,09/21/2018,12:40:08
005-999991219,"04 - Funding Transfer","01 - Not Applicable","	005","Department of Agriculture","DM-OCIO-EGOV-Enterprise HR Integration",,NO,09/21/2018,12:30:56
005-999991220,"04 - Funding Transfer","01 - Not Applicable","	005","Department of Agriculture",DM-OCIO-EGOV-E-Training,,NO,09/21/2018,12:33:09
005-999993100,"04 - Funding Transfer","01 - Not Applicable","	005","Department of Agriculture","DM-OCIO-EGOV-Geospatial LoB",,NO,09/21/2018,12:40:07
005-999993200,"04 - Funding Transfer","01 - Not Applicable","	005","Department of Agriculture","DM-OCIO-EGOV-Budget Formulation and Execution LoB",,NO,09/21/2018,12:29:31
005-999994100,"04 - Funding Transfer","01 - Not Applicable","	005","Department of Agriculture","DM-OCIO-EGOV-Disaster Assistance",,NO,09/21/2018,12:30:07
006-000000121,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent Trial and Appeal Board End to End 2 (PTAB-E2E 2)",,YES,11/28/2018,16:05:11
006-000000129,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","BEA Estimation Information Technology System (BEA-EITS) for Measuring the Changing US Economy.",DOCYA132115NC0252|IND16PD00856|IND16PC00243|IND17PC00422|INI140D0418C0004|DOCYA132118NC0046|DOCYA132116NC0341|inD17PD01036,YES,02/21/2019,16:07:07
006-000040200,"02 - Non-major IT","01 - Not Applicable","	006","Department of Commerce","OS OSY Systems","DOCSE130115NC0077|DOCSA130114CN0009|SE130115NC0068|130114SA00197; Mod 1",,09/20/2018,18:33:40
006-000040311,"02 - Non-major IT","01 - Not Applicable","	006","Department of Commerce","OS OFM Commerce DATA Act",GS-02F-0170N,,09/20/2018,18:45:25
006-000051000,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","OS OFM Commerce Business Systems (CBS)","DOCSB134114CN0010|DOCDG133W10CQ0050T0032|GS-02F-0170N|1301-15-SA00184-1|1301-16-SA00135|YA1323-15-BU0042/0004|SS130117CT0068|1301-16-SA00235-D|SS1301-18-NC0004|YA1323-15-BU-0042 WO0004|YA1323-15-BU-0036 WO0001|YA1323-15-BU-0042 WO0005",YES,11/27/2018,18:45:52
006-000312900,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/NWS/ Dissemination","DG133W12CQ0008|DG133W10CQ0049|DG133W10CQ0028|GS-35F-0283J|GS35F0590W|GS35F03265|G535F131CA|DG133W13NC1383|EA133W15NC1142|DG133W-12-CQ-0010 T-0009|DG133W-12-CQ-0010 T-0012|DG133W-12-CQ-0008 T-0008|DG133W-12-CQ-0008 T-0025|DG133W-10-CQ-0026 T-0029|DG133W-10-CQ-0026 T-0032|DG133W12CN0056|EA133W15CQ0016 EA133W15CQ0017 EA133W15CQ0018",YES,11/29/2018,18:54:13
006-000313000,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/NWS/ NWS Central Processing","DG133W10CQ0042 TO077|EA133W17CQ0082|DG133W-10-CQ-0028|DOCDG133012CQ0004|DOCDG133W10CQ0049T0028|NA16NWS4620043|DOCEG133W17NC0160",YES,11/29/2018,18:54:54
006-000320500,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS)",SP133E17CN0106|EA133E08CQ0020|DOCSS130118BU0005|NNG15SC80B|DOCYA132316BU0005|GS35F0537U|NNG15SC92B|NNG15SD06B|NNG15SD00B|NNG15SD74B|NNG15SD81B|DOCST133018BU0002,YES,11/29/2018,18:53:11
006-000380200,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Commerce Grants On-Line","SG-1330-15-NC-0698|DG133W10CQ0042 T-0069|ST-1330-14-BU-0002 T-0010|ST-1330-16-NC-0307",YES,02/22/2019,19:19:17
006-000380400,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",DG133010CQ0014|NOAAOCIOCLIMATE2016|ST133018CQ0073,NO,11/29/2018,18:55:50
006-000400100,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - American Community Survey (ACS)",YA1323-14-NC-0090|YA1323-15-BU-0035-WorkOrder-0001|YA1323-15-BU-0037,NO,11/27/2018,21:38:50
006-000400300,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Data Access and Dissemination System (DADS)",DOCYA132307CN0040,NO,11/27/2018,21:43:31
006-000400700,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Economic Census and Surveys",DOCYA132314CN0034|DOCYA132315BU0037/DOC001|DOCYA132315BU0015/DOC001|DOCYA132315BU0033/DOC001|DOCYA132315BU0033/DOC002|DOCYA132315NC0174|DOCYA132314NC0177,YES,02/28/2019,21:38:39
006-000400800,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Field Support Systems",DOCYA132314NC0112|DOCYA132313NCO216|DOCYA132315NC0126|DOCYA132314NC0196|DOCYA132314NC0205|YA1323-17-NC-0106|YA1323-15-NC-0180|YA1323-15-BU-0042/0004|YA1323-15-BU-0036/WO001|YA1323-15-BU-0042/0005|YA1323-14-NC-0214,NO,11/27/2018,21:45:30
006-000400900,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",DOCYA132313CN0017|DOCYA132313NC0088|DOCYA132311CN0034|DOCYA132313NC0085|DOCYA132312NC0394,NO,11/27/2018,21:46:27
006-000402100,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Census Enterprise Data Collection and Processing (CEDCAP)",YA1323-13-BU-0006/0001|YA1323-14-NC-0205|YA-1323-14-BU-0036/CO-0004|YA1323-15-BU-0013/001|YA1323-15-BU-0014/003|YA1323-14-NC-0038|YA1323-12-NC-0414|GS-35F-022BA/YA1323-15-BU-0033/001|YA1323-17-NC-0131|YA1323-17-NC-0063|YA1323-15-BU-0027/0003,NO,11/27/2018,21:41:46
006-000402400,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - 2020 Decennial Census, FY 2019 - FY 2023",YA1323-16-BU-0033/WO003|YA1323-16-CN-0334|YA1323-17-NC-0063|YA1323-17-NC-0139,NO,11/27/2018,21:36:42
006-000403700,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Schedule A Human Resources Recruiting, Payroll System (C-SHARPS)",YA1323-15-BU-0044/0001|SA1301-17-BU-0002,NO,11/27/2018,21:47:54
006-000403900,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Center for Enterprise Dissemination Services and Consumer Information (CEDSCI).",YA1323-15-BU-0041/WO-001|YA1323-14-BU-0036/CO-0008|YA1323-14-NC-0201,YES,11/27/2018,21:42:42
006-000552000,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","BIS Commerce USXPORTS Exporter Support System (CUESS)",SB1351-16-NC-01671,NO,11/27/2018,18:25:17
006-000804300,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Trademark Next Generation 2 (TMNG-2).",DOC56PAPT1750007|DOC45PAPT1700274|DOC50PAPT1400004|1333BJ18F00285002|DOC56PAPT1750045|DOC56PAPT1600354|DOC56PAPT1600352|DOC56PAPT1600536|DOC56PAPT1600413|DOC45PAPT1600097|DOC43PAPT1409037|DOC45PAPT1600095|DOC56PAPT1750087|1333BJ18F00284016|1333BJ18F00284059|DOC56PAPT1700349|DOC56PAPT1500348|DOC56PAPT1700318|DOC45PAPT1550004|DOC56PAPT1600455|DOC44PAPT1611153|1333BJ18F00280001|1333BJ18F00280013|1333BJ18F00280008|DOC50PAPT1600034|DOC56PAPT1750025|DOC44PAPT1009008|DOC44PAPT1000008|DOC44PAPT1000012|D,YES,11/28/2018,16:06:02
006-000804500,"02 - Non-major IT","01 - Not Applicable","	006","Department of Commerce","USPTO Patent Trial and Appeal Board End to End (PTAB-E2E)",,,11/27/2018,20:05:45
