"Performance Gov ID","Agency Code","Agency Name",Description,"ASO / APG"
"	0","	005","Department of Agriculture","Not Applicable",
012APG18089,"	012","Department of Labor","Job Creation: Apprenticeship Expansion",APG
012SO18062,"	012","Department of Labor","Create customer-focused workforce solutions for American workers.",ASO
012SO18063,"	012","Department of Labor","Provide veterans, service members, and their spouses with resources and tools to gain and maintain employment.",ASO
012SO18064,"	012","Department of Labor","Develop evidence-based policies, practices, and tools to foster a more inclusive workforce to increase quality employment opportunities for individuals with disabilities.",ASO
012SO18065,"	012","Department of Labor","Provide timely, accurate, and relevant information on labor market activity, working conditions, and price changes in the economy.",ASO
012SO18066,"	012","Department of Labor","Formulate policies and initiatives to promote the interests of working women",ASO
012SO18067,"	012","Department of Labor","Secure safe and healthful working conditions for America's workers.",ASO
012SO18068,"	012","Department of Labor","<div>Prevent fatalities, disease, and injury from mining and secure safe and healthful working conditions for America's miners.</div>",ASO
012SO18069,"	012","Department of Labor","Improve the security of retirement, health, and other workplace-related benefits for America's workers and their families.",ASO
012SO18070,"	012","Department of Labor","Promote fair and diverse workplaces for America's federal contractor employees.",ASO
012SO18071,"	012","Department of Labor","Promote a fair global playing field for American workers and businesses.",ASO
012SO18072,"	012","Department of Labor","Promote union financial integrity, transparency, and democracy.",ASO
012SO18073,"	012","Department of Labor","Provide workers' compensation benefits for workers who are injured or become ill on the job.",ASO
012SO18074,"	012","Department of Labor","Support states' timely and accurate benefit payments for unemployed workers.",ASO
012SO18075,"	012","Department of Labor","Improve human resources efficiency, effectiveness, and accountability.",ASO
012SO18076,"	012","Department of Labor","Provide modern technology solutions that empower the DOL mission and serve the American public through collaboration and innovation.",ASO
012SO18077,"	012","Department of Labor","Maximize DOL's federal buying power through effective procurement management.",ASO
012SO18078,"	012","Department of Labor","Safeguard fiscal integrity, and promote the effective and efficient use of resources.",ASO
012SO18223,"	012","Department of Labor","Secure lawful wages and working conditions for America's workers.",ASO
"	0","	014","Department of State","Not Applicable",
014APG18030,"	014","Department of State","IT Modernization",APG
014APG18031,"	014","Department of State","Visa Security",APG
014APG18064,"	014","Department of State","Food Security and Resilience",APG
014APG18065,"	014","Department of State","Maternal and Child Health",APG
014APG18066,"	014","Department of State","Procurement Reform",APG
014APG18067,"	014","Department of State","Category Management",APG
014APG18068,"	014","Department of State",HIV/AIDS,APG
014SO18079,"	014","Department of State","Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems",ASO
014SO18081,"	014","Department of State","Counter instability, transnational crime, and violence that threaten U.S. interests by strengthening citizen-responsive governance, security, democracy, human rights, and rule of law",ASO
014SO18082,"	014","Department of State","Increase capacity and strengthen resilience of our partners and allies to deter aggression, coercion, and malign influence by state and non-state actors",ASO
014SO18083,"	014","Department of State","Strengthen U.S. border security and protect U.S. citizens abroad",ASO
014SO18084,"	014","Department of State","Promote American prosperity by advancing bilateral relationships and leveraging international institutions and agreements to open markets, secure commercial opportunities, and foster investment and innovation to contribute to U.S. job creation",ASO
014SO18085,"	014","Department of State","Promote healthy, educated and productive populations in partner countries to drive inclusive and sustainable development, open new markets and support U.S. prosperity and security objectives",ASO
014SO18086,"	014","Department of State","Advance U.S. economic security by ensuring energy security, combating corruption, and promoting market-oriented economic and governance reforms",ASO
014SO18087,"	014","Department of State","Transition nations from assistance recipients to enduring diplomatic, economic, and security partners",ASO
014SO18088,"	014","Department of State","Engage international fora to further American values and foreign policy goals while seeking more equitable burden sharing",ASO
014SO18089,"	014","Department of State","Increase partnerships with the private sector and civil society organizations to mobilize support and resources and shape foreign public opinion",ASO
014SO18090,"	014","Department of State","Project American values and leadership by preventing the spread of disease and providing humanitarian relief.",ASO
014SO18091,"	014","Department of State","Strengthen the effectiveness and sustainability of our diplomacy and development investments",ASO
014SO18092,"	014","Department of State","Provide modern and secure infrastructure and operational capabilities to support effective diplomacy and development",ASO
014SO18093,"	014","Department of State","Enhance workforce performance, leadership, engagement, and accountability to execute our mission efficiently and effectively",ASO
014SO18094,"	014","Department of State","Strengthen security and safety of workforce and physical assets",ASO
014SO18254,"	014","Department of State","Defeat ISIS, al Qa'ida and other Transnational terrorist organizations, and counter state sponsored, regional, and local terrorist groups that threaten U.S. national security interests",ASO
"	0","	015","Department of the Treasury","Not Applicable",
015APG18036,"	015","Department of the Treasury","Fraud Prevention",APG
015APG18037,"	015","Department of the Treasury","U.S.-Mexico Strategic Dialogue on Illicit Finance (SDIF)",APG
015APG18086,"	015","Department of the Treasury","Improved Business Qualification/Permitting Process (TTB)",APG
015SO18104,"	015","Department of the Treasury","Tax Law Implementation: Administer tax law to better enable all taxpayers to meet their obligations, while protecting the integrity of the tax system.",ASO
015SO18105,"	015","Department of the Treasury","Strong Economic Fundamentals: Spur faster economic growth by right-sizing Treasury and other regulations and advancing domestic economic policies that boost investment, employment, and innovation.",ASO
015SO18106,"	015","Department of the Treasury","Trusted Currency and Services: Deliver trusted currency and services that enable citizens and businesses to participate in the economy",ASO
015SO18107,"	015","Department of the Treasury","Free and Fair Trade: Advance a free and fair trade environment for U.S. businesses through successful negotiation of trade agreements and investment policies.",ASO
015SO18109,"	015","Department of the Treasury","Foreign Exchange Practices: Achieve fair foreign exchange practices through multilateral engagement with international partners.",ASO
015SO18110,"	015","Department of the Treasury","Foreign Technical Assistance: Provide technical assistance to enable foreign partner countries to better raise and manage financial resources and protect their financial sectors.",ASO
015SO18111,"	015","Department of the Treasury","Financial Sector Critical Infrastructure and Cybersecurity: Enhance security, improve resiliency, and reduce the risk of significant cybersecurity and other incidents to the financial sector's critical infrastructure, domestically and internationally",ASO
015SO18112,"	015","Department of the Treasury","Strategic Threat Disruption: Identify, disrupt, and dismantle priority threats to the U.S. and international financial systems.",ASO
015SO18113,"	015","Department of the Treasury","Anti-Money Laundering and Combating Financing of Terrorism Framework: Identify and reduce vulnerabilities in the U.S. and international financial system to prevent abuse by illicit actors.",ASO
015SO18114,"	015","Department of the Treasury","Economic Strength and National Security: Advance American prosperity and security through growth, investment, trade, and expanding the American industrial base while protecting national security",ASO
015SO18115,"	015","Department of the Treasury","Financial Data Access and Use: Increase the access and use of federal financial data to strengthen government-wide decision-making, transparency, and accountability.",ASO
015SO18116,"	015","Department of the Treasury","Debt Management: Fund the federal government at the least cost over time.",ASO
015SO18117,"	015","Department of the Treasury","Federal Financial Performance: Improve federal financial management performance using innovative practices to support effective government.",ASO
015SO18118,"	015","Department of the Treasury","Workforce Management: Foster a culture of innovation to hire, engage, develop, and optimize a diverse workforce with the competencies necessary to accomplish our mission",ASO
015SO18119,"	015","Department of the Treasury","Treasury Infrastructure: Better enable mission delivery by improving the reliability, security, and resiliency of Treasury's infrastructure.",ASO
015SO18120,"	015","Department of the Treasury","Customer Value: Improve customer value by increasing the quality and lowering the cost of Treasury's products and services.",ASO
015SO18258,"	015","Department of the Treasury","Housing Finance Reform: Support housing finance reform to resolve Government Sponsored Enterprise (GSE) conservatorships and prevent taxpayer bailouts of public and private mortgage finance entities, while promoting consumer choice within the mortgage market.",ASO
"	0","	016","Social Security Administration","Not Applicable",
016APG18062,"	016","Social Security Administration","Improve Hearings Pending",APG
016APG18063,"	016","Social Security Administration","Improve Supplemental Security Income Payment Accuracy",APG
016SO18196,"	016","Social Security Administration","Improve Service Delivery",ASO
016SO18197,"	016","Social Security Administration","Expand Service Delivery Options",ASO
016SO18198,"	016","Social Security Administration","Streamline Policies and Processes",ASO
016SO18199,"	016","Social Security Administration","Accelerate Information Technology Modernization",ASO
016SO18200,"	016","Social Security Administration","Improve Program Integrity",ASO
016SO18201,"	016","Social Security Administration","Enhance Fraud Prevention and Detection Activities",ASO
016SO18202,"	016","Social Security Administration","Improve Workforce Performance and Increase Accountability",ASO
016SO18203,"	016","Social Security Administration","Improve Organizational Effectiveness and Reduce Costs",ASO
"	0","	018","Department of Education","Not Applicable",
018APG18010,"	018","Department of Education","Improve the Access to and the Quality and Transparency of 
 
 School Choice Options for K-12 Students",APG
018APG18012,"	018","Department of Education","Improve Student Privacy and Data Security at Institutions of Higher Education (IHEs) Through Outreach and Compliance Efforts",APG
018APG18013,"	018","Department of Education","Provide Regulatory Relief to Education Stakeholders",APG
018APG18094,"	018","Department of Education","Improve Borrowers' Access to Quality Customer Service",APG
018SO18038,"	018","Department of Education","Increase high-quality educational options and empower students and parents to choose an education that meets their needs.",ASO
018SO18039,"	018","Department of Education","Provide all P-12 students with equal access to high-quality educational opportunities.",ASO
018SO18040,"	018","Department of Education","Prepare all students for successful transitions to college and careers by supporting access to dual enrollment, job skills development and high-quality science, technology, engineering and mathematics (STEM).",ASO
018SO18041,"	018","Department of Education","Support agencies and institutions in the implementation of evidence-based strategies and practices that build the capacity of school staff and families to support students' academic performance.",ASO
018SO18042,"	018","Department of Education","Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",ASO
018SO18043,"	018","Department of Education","Support agencies and educational institutions in identifying and using evidence-based strategies or other promising practices to improve educational opportunities and successfully prepare individuals to compete in the global economy.",ASO
018SO18044,"	018","Department of Education","Support agencies and educational institutions as they create or expand innovative and affordable paths to relevant careers by providing postsecondary credentials or job-ready skills.",ASO
018SO18045,"	018","Department of Education","Improve quality of service for customers across the entire student aid life cycle.",ASO
018SO18046,"	018","Department of Education","Enhance students' and parents' ability to repay their federal student loans by providing accurate and timely information, relevant tools and manageable repayment options.",ASO
018SO18047,"	018","Department of Education","Improve the Department's data governance, data life cycle management and the capacity to support education data.",ASO
018SO18048,"	018","Department of Education","Improve privacy protections for, and transparency of, education data both at the Department and in the education community.",ASO
018SO18049,"	018","Department of Education","Increase access to, and use of, education data to make informed decisions both at the Department and in the education community.",ASO
018SO18051,"	018","Department of Education","Identify, assess, monitor and manage enterprise risks.",ASO
018SO18052,"	018","Department of Education","Strengthen the Department's cybersecurity by enhancing protections for its information technology infrastructure, systems and data.",ASO
018SO18053,"	018","Department of Education","Improve the engagement and preparation of the Department's workforce using professional development and accountability measures.",ASO
018SO18251,"	018","Department of Education","Provide regulatory relief to educational institutions and reduce burden by identifying time-consuming regulations, processes and policies and working to improve or eliminate them, while continuing to protect taxpayers from waste and abuse.",ASO
"	0","	019","Department of Energy","Not Applicable",
019APG18073,"	019","Department of Energy","Not Available",APG
019SO18226,"	019","Department of Energy","Not Available",ASO
"	0","	020","Environmental Protection Agency","Not Applicable",
020APG18042,"	020","Environmental Protection Agency","Accelerate Permitting-Related Decisions",APG
020APG18043,"	020","Environmental Protection Agency","Accelerate the Pace of Cleanups and Return Sites to Beneficial Use",APG
020APG18045,"	020","Environmental Protection Agency","Improve Air Quality by Implementing Pollution Control Measures to Reduce the Number of Nonattainment Areas",APG
020APG18046,"	020","Environmental Protection Agency","Increase Environmental Law Compliance Rate",APG
020APG18047,"	020","Environmental Protection Agency","Meet New Statutory Requirements to Improve the Safety of Chemicals in Commerce",APG
020APG18093,"	020","Environmental Protection Agency","Empower Communities to Leverage EPA Water Infrastructure Investments",APG
020SO18131,"	020","Environmental Protection Agency","Improve Air Quality: Work with states and tribes to accurately measure air quality and ensure that more Americans are living and working in areas that meet high air quality standards.",ASO
020SO18133,"	020","Environmental Protection Agency","Revitalize Land and Prevent Contamination: Provide better leadership and management to properly clean up contaminated sites to revitalize and return the land back to communities.",ASO
020SO18134,"	020","Environmental Protection Agency","Ensure Safety of Chemicals in the Marketplace: Effectively implement the Toxic Substances Control Act, and the Federal Insecticide, Fungicide, and Rodenticide Act, to ensure new and existing chemicals and pesticides are reviewed",ASO
020SO18135,"	020","Environmental Protection Agency","Enhance Shared Accountability: Improve environmental protection through shared governance and enhanced collaboration with state, tribal, local, and federal partners using the full range of compliance assurance tools.",ASO
020SO18136,"	020","Environmental Protection Agency","Increase Transparency and Public Participation: Listen to and collaborate with impacted stakeholders and provide effective platforms for public participation and meaningful engagement.",ASO
020SO18137,"	020","Environmental Protection Agency","Compliance with the Law: Timely enforce environmental laws to increase compliance rates and promote cleanup of contaminated sites through the use of all of EPA's compliance assurance tools, especially enforcement actions to address environmental violations.",ASO
020SO18138,"	020","Environmental Protection Agency","Create Consistency and Certainty: Outline exactly what is expected of the regulated community to ensure good stewardship and positive environmental outcomes.",ASO
020SO18139,"	020","Environmental Protection Agency","Prioritize Robust Science: Refocus the EPA's robust research and scientific analysis to inform policy making.",ASO
020SO18140,"	020","Environmental Protection Agency","Streamline and Modernize: Issue permits more quickly and modernize our permitting and reporting systems.",ASO
020SO18141,"	020","Environmental Protection Agency","Improve Efficiency and Effectiveness: Provide proper leadership and internal operations management to ensure that the Agency is fulfilling its mission.",ASO
020SO18259,"	020","Environmental Protection Agency","Provide for Clean and Safe Water: Ensure waters are clean through improved water infrastructure and, in partnership with states and tribes, sustainably manage programs to support drinking water, aquatic ecosystems, recreational, economic, and subsistence activities.",ASO
"	0","	021","Department of Transportation","Not Applicable",
021APG18034,"	021","Department of Transportation","Reduce Surface Transportation-Related Fatalities",APG
021APG18035,"	021","Department of Transportation","Simplify and Enhance Environmental Review Process for Major Transportation Projects",APG
021APG18087,"	021","Department of Transportation","Controlling Regulatory Burden",APG
021APG18090,"	021","Department of Transportation","Reduce Aviation-Related Fatalities",APG
021APG18095,"	021","Department of Transportation","Improve Conditions of America's Transportation Related Infrastructure",APG
021SO18095,"	021","Department of Transportation","Systemic Safety Approach",ASO
021SO18096,"	021","Department of Transportation","Project Delivery, Planning, Environment, Funding and Finance",ASO
021SO18097,"	021","Department of Transportation","Life Cycle and Preventive Maintenance",ASO
021SO18098,"	021","Department of Transportation","System Operations and Performance",ASO
021SO18099,"	021","Department of Transportation","Economic Competitiveness and Workforce",ASO
021SO18100,"	021","Department of Transportation","Development of Innovation",ASO
021SO18101,"	021","Department of Transportation","Deployment of Innovation",ASO
021SO18102,"	021","Department of Transportation","Regulatory Reform",ASO
021SO18103,"	021","Department of Transportation","Mission Efficiency and Support",ASO
"	0","	023","General Services Administration","Not Applicable",
023APG18048,"	023","General Services Administration","Expansion of Centralized Services",APG
023APG18049,"	023","General Services Administration","Leased Building Operations",APG
023SO18142,"	023","General Services Administration","Reduce the cost of Federal inventory",ASO
023SO18143,"	023","General Services Administration","Establish GSA as a more effective provider of real estate services for all agencies.",ASO
023SO18144,"	023","General Services Administration","Design and deliver GSA products and services that yield measurable savings while aligning with customer mission objectives and changing market demand.",ASO
023SO18145,"	023","General Services Administration","Make it easier to do business with the Government by simplifying processes and streamlining access for our customers and suppliers.",ASO
023SO18146,"	023","General Services Administration","Enhance customer agency access to qualified socio-economic entities.",ASO
023SO18147,"	023","General Services Administration","Lead Governmentwide technology modernization initiatives.",ASO
023SO18148,"	023","General Services Administration","Drive more efficient and innovative Government procurement of technology services.",ASO
023SO18149,"	023","General Services Administration","Lead implementation of technical standards, policies, and strategies.",ASO
023SO18150,"	023","General Services Administration","Develop new organizational capabilities to understand customer demand and deliver integrated offerings to support common business processes Governmentwide.",ASO
023SO18151,"	023","General Services Administration","Promote adoption of shared services by agencies through policy, guidance, and benchmarking",ASO
023SO18152,"	023","General Services Administration","Support the overall mission of GSA by investing in our employees and modeling how we deliver internal support services, while providing policy guidance across Government.",ASO
"	0","	024","Department of Homeland Security","Not Applicable",
024APG18014,"	024","Department of Homeland Security","Enhance Southern Border Security",APG
024APG18015,"	024","Department of Homeland Security","Strengthen Federal Cybersecurity",APG
024SO18227,"	024","Department of Homeland Security","Not Available",ASO
"	0","	025","Department of Housing and Urban Development","Not Applicable",
025APG18016,"	025","Department of Housing and Urban Development","Protect Families From Lead-Based Paint and Other Health Hazards",APG
025APG18017,"	025","Department of Housing and Urban Development","Reduce the Average Length of Homelessness",APG
025APG18075,"	025","Department of Housing and Urban Development","Promote Economic Opportunity for HUD-Assisted Residents",APG
025APG18082,"	025","Department of Housing and Urban Development","Enhance Rental Assistance",APG
025SO18054,"	025","Department of Housing and Urban Development","Promote economic opportunity",ASO
025SO18055,"	025","Department of Housing and Urban Development","Enhance rental Assistance",ASO
025SO18056,"	025","Department of Housing and Urban Development","Reduce the average length of homelessness",ASO
025SO18057,"	025","Department of Housing and Urban Development","Support sustainable homeownership and financial viability",ASO
025SO18058,"	025","Department of Housing and Urban Development","Remove lead-based paint hazards and other health risks from homes",ASO
025SO18059,"	025","Department of Housing and Urban Development","Organize and deliver services more effectively",ASO
025SO18060,"	025","Department of Housing and Urban Development","Improve the way we work",ASO
