"Agency Code (Investment)","Agency Name (Investment)","Bureau Code (Investment)","Parent UII","Parent Investment Title","Funding Source UII","Line Item Descriptor","Budget Account Code","Budget Account Name","Agency Code (from Budget Account)","Bureau Code (from Budget Account)","Alternative Bureau Code","Total IT Spending FY2018 (PY) ($ M)","Total IT Spending FY2019 (CY) ($ M)","Total IT Spending FY2020 (BY) ($ M)","DME PY Agency Funding ($ M)","DME PY Contributions ($ M)","DME CY Agency Funding ($ M)","DME CY Contributions ($ M)","DME BY Agency Funding ($ M)","DME BY Contributions ($ M)","DME BY BudgetAuthority ($ M)","O&M PY Agency Funding ($ M)","O&M PY Contributions ($ M)","O&M CY Agency Funding ($ M)","O&M CY Contributions ($ M)","O&M BY Agency Funding ($ M)","O&M BY Contributions ($ M)","O&M BY BudgetAuthority ($ M)","IT Portfolio Funding Sources ID","IT Portfolio ID","Updated Date","Updated Time"
"	005","Department of Agriculture","	03",005-000000187,"DA-OHRM-OneUSDA Human Resources Enterprise Solution Project",005-000000187,"	04",005-68-4143,"Debt Reduction Financing Account","	005","	68",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828761,607933,2019-04-05,12:49:40
"	005","Department of Agriculture","	03",005-000000187,"DA-OHRM-OneUSDA Human Resources Enterprise Solution Project",005-000000187,"	04",005-68-2278,"Food for Peace Title II Grants","	005","	68",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828762,607933,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-03-9913,"Office of the Secretary","	005","	03",,0.004,0.076,0.076,0.001,0,0.018,0,0.018,0,0,0.003,0,0.058,0,0.058,0,0,828843,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-45-2500,"Marketing Services","	005","	45",,0.189,0.17,0.173,0.044,0,0.04,0,0.041,0,0,0.145,0,0.13,0,0.132,0,0.132,828844,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-18-1400,"Salaries and Expenses","	005","	18",,0.465,0.42,0.425,0.108,0,0.099,0,0.1,0,0,0.357,0,0.321,0,0.325,0,0.325,828845,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-55-0403,"Salaries and Expenses","	005","	55",,0,0.282,0.286,0,0,0.066,0,0.067,0,0,0,0,0.216,0,0.219,0,0.219,828846,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-47-2707,"RMA Salaries and Expenses","	005","	47",,0.031,0.029,0.029,0.007,0,0.007,0,0.007,0,0,0.024,0,0.022,0,0.022,0,0.022,828847,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-68-2900,"Salaries and Expenses","	005","	68",,0.059,0.054,0.054,0.014,0,0.013,0,0.013,0,0,0.045,0,0.041,0,0.041,0,0.041,828848,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-96-4605,"Working Capital Fund","	005","	96",,0,2.34,2.371,0,0,0.551,0,0.558,0,0,0,0,1.789,0,1.813,0,1.813,828849,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-10-2300,"Office of the General Counsel","	005","	10",,0.018,0.017,0.017,0.004,0,0.004,0,0.004,0,0,0.014,0,0.013,0,0.013,0,0.013,828850,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-53-1010,"Resource Conservation and Development","	005","	53",,0.647,0.583,0.591,0.15,0,0.137,0,0.139,0,0,0.497,0,0.446,0,0.452,0,0.452,828851,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-13-1701,"Economic Research Service","	005","	13",,0.023,0.021,0.021,0.005,0,0.005,0,0.005,0,0,0.018,0,0.016,0,0.016,0,0.016,828852,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-15-1801,"National Agricultural Statistics Service","	005","	15",,0.067,0.06,0.061,0.016,0,0.014,0,0.014,0,0,0.051,0,0.046,0,0.047,0,0.047,828853,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-20-1500,"Research and Education Activities","	005","	20",,0.022,0.021,0.021,0.005,0,0.005,0,0.005,0,0,0.017,0,0.016,0,0.016,0,0.016,828854,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-08-0900,"Office of Inspector General","	005","	08",,0.033,0.03,0.03,0.008,0,0.007,0,0.007,0,0,0.025,0,0.023,0,0.023,0,0.023,828855,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-84-3505,"Supplemental Nutrition Assistance Program","	005","	84",,0.104,0.094,0.095,0.024,0,0.022,0,0.022,0,0,0.08,0,0.072,0,0.073,0,0.073,828856,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-32-1600,"Salaries and Expenses","	005","	32",,0.53,0.477,0.484,0.123,0,0.112,0,0.114,0,0,0.407,0,0.365,0,0.37,0,0.37,828857,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-35-3700,"Salaries and Expenses","	005","	35",,0.05,0.046,0.046,0.012,0,0.011,0,0.011,0,0,0.038,0,0.035,0,0.035,0,0.035,828858,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-35-3700,"Salaries and Expenses","	005","	35",,0.658,0.592,0.6,0.153,0,0.139,0,0.141,0,0,0.505,0,0.453,0,0.459,0,0.459,828859,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-14-0014,"Office of the Chief Financial Officer","	005","	14",,0.189,0.171,0.174,0.044,0,0.04,0,0.041,0,0,0.145,0,0.131,0,0.133,0,0.133,828860,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-07-3800,"Office of Civil Rights","	005","	07",,0.009,0.009,0.009,0.002,0,0.002,0,0.002,0,0,0.007,0,0.007,0,0.007,0,0.007,828861,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-49-4213,"Agricultural Credit Insurance Fund Guaranteed Loan Financing Account","	005","	49",,2.596,0.859,0.871,0.603,0,0.202,0,0.205,0,0,1.993,0,0.657,0,0.666,0,0.666,828862,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-12-0013,"Office of the Chief Information Officer","	005","	12",,0,0,0,0,0.015,0,0.014,0,0.014,0,0,0.05,0,0.045,0,0.046,0.046,828863,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000000235,"OCFO-NFC-Payroll Services",005-000000235,"	04",005-04-4609,"Working Capital Fund","	005","	04",,0,0,0,0,8.546,0,8.024,0,8.165,0,0,27.474,0,26.114,0,26.801,0,828864,607937,2019-04-05,12:49:40
"	005","Department of Agriculture","	35",005-000000236,"FSIS-Laboratory General Support System  (Lab GSS)",005-000000236,"	04",005-35-3700,"Salaries and Expenses","	005","	35",,4.691,5.993,3.728,1.5,0,3.428,0,1.5,0,0,3.191,0,2.565,0,2.228,0,0,828865,607938,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000238,"FS-Air Transportation",005-000000238,"	04",005-96-1106,"National Forest System","	005","	96",,0.127,0.858,0.858,0,0,0,0,0,0,0,0.127,0,0.858,0,0.858,0,0.858,828866,607939,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000240,"FS-Water Resource Management",005-000000240,"	04",005-96-1106,"National Forest System","	005","	96",,0.903,1.003,1.003,0.603,0,0,0,0,0,0,0.3,0,1.003,0,1.003,0,1.003,828867,607940,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000241,"FS-Conservation, Marine and Land Management",005-000000241,"	04",005-96-1107,"Presidential Wildland Fire Contingency Reserve","	005","	96",,6.451,5.715,5.715,0.295,0,0.869,0,0.869,0,0.869,6.156,0,4.846,0,4.846,0,4.846,828868,607941,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000242,"FS-Conservation, Marine and Land Management National Forest Systems",005-000000242,"	04",005-96-1106,"National Forest System","	005","	96",,2.891,6.137,6.137,1.181,0,4.505,0,4.505,0,4.505,1.71,0,1.632,0,1.632,0,1.632,828869,607942,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000243,"FS-Staffing and Recruiting - NFC Support",005-000000243,"	04",005-96-1106,"National Forest System","	005","	96",,4.304,4.304,4.304,0,0,0,0,0,0,0,4.304,0,4.304,0,4.304,0,4.304,828870,607943,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000244,"FS-Employee Benefits, Compensation and Worker Safety",005-000000244,"	04",005-96-1106,"National Forest System","	005","	96",,1.84,1.84,1.84,0.2,0,0.2,0,0.2,0,0.2,1.64,0,1.64,0,1.64,0,1.64,828871,607944,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000247,"FS-Environmental Remediation",005-000000247,"	04",005-96-1106,"National Forest System","	005","	96",,1.97,0.447,0.447,0.307,0,0.151,0,0.151,0,0.151,1.663,0,0.296,0,0.296,0,0.296,828872,607945,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000248,"FS-Disaster Preparedness and Planning",005-000000248,"	04",005-96-1106,"National Forest System","	005","	96",,5.742,6.72,6.72,0.878,0,1.999,0,1.999,0,1.999,4.864,0,4.721,0,4.721,0,4.721,828873,607946,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000249,"FS-Crime Prevention",005-000000249,"	04",005-96-1106,"National Forest System","	005","	96",,1.483,1.538,1.538,0,0,0,0,0,0,0,1.483,0,1.538,0,1.538,0,1.538,828874,607947,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000252,"FS-Emergency Response",005-000000252,"	04",005-96-1106,"National Forest System","	005","	96",,2.964,2.104,2.104,0.823,0,0.29,0,0.29,0,0.29,2.141,0,1.814,0,1.814,0,1.814,828875,607948,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000253,"FS-Budget and Performance Integration, Formulation and Execution",005-000000253,"	04",005-96-1106,"National Forest System","	005","	96",,1.323,1.879,1.879,0.074,0,0.06,0,0.06,0,0.06,1.249,0,1.819,0,1.819,0,1.819,828876,607949,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000256,"FS-Goods, Service Acquisition and Inventory Control",005-000000256,"	04",005-96-1106,"National Forest System","	005","	96",,5.387,5.082,5.082,1.972,0,1.933,0,1.933,0,1.933,3.415,0,3.149,0,3.149,0,3.149,828877,607950,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000257,"FS-Management of Government Records",005-000000257,"	04",005-96-1106,"National Forest System","	005","	96",,1.885,1.915,1.915,1.755,0,1.755,0,1.755,0,1.755,0.13,0,0.16,0,0.16,0,0.16,828878,607951,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000258,"FS-Knowledge Distribution and Delivery",005-000000258,"	04",005-96-1106,"National Forest System","	005","	96",,0.546,0.546,0.546,0,0,0,0,0,0,0,0.546,0,0.546,0,0.546,0,0.546,828879,607952,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000259,"FS-Staffing and Recruiting",005-000000259,"	04",005-96-1106,"National Forest System","	005","	96",,5.984,5.984,5.984,0,0,0,0,0,0,0,5.984,0,5.984,0,5.984,0,5.984,828880,607953,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000260,"FS-Data Warehouse",005-000000260,"	04",005-96-1106,"National Forest System","	005","	96",,6.049,7.675,7.675,2.774,0,3.867,0,3.867,0,3.867,3.275,0,3.808,0,3.808,0,3.808,828881,607954,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000263,"FS-IT System Development and Integration Support (Infrastructure)",005-000000263,"	04",005-96-1106,"National Forest System","	005","	96",,0.285,0.285,0.285,0.285,0,0.106,0,0.106,0,0.106,0,0,0.179,0,0.179,0,0.179,828884,607957,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000264,"FS-IT System Development and Integration Support (Finance)",005-000000264,"	04",005-96-1106,"National Forest System","	005","	96",,5.173,3.844,3.844,1.077,0,0.773,0,0.773,0,0.773,4.096,0,3.071,0,3.071,0,3.071,828885,607958,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000265,FS-Mapping/Geospatial,005-000000265,"	04",005-96-1106,"National Forest System","	005","	96",,7.268,10.327,10.327,2.063,0,0.425,0,0.425,0,0.425,5.205,0,9.902,0,9.902,0,9.902,828886,607959,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000266,"FS-Data Management National Forest Systems",005-000000266,"	04",005-96-1107,"Presidential Wildland Fire Contingency Reserve","	005","	96",,0.775,1.063,1.063,0.182,0,0.607,0,0.607,0,0.607,0.593,0,0.456,0,0.456,0,0.456,828887,607960,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000267,"FS-IT System Development and Integration - OCFO FMMI Support Agency Specific",005-000000267,"	04",005-96-1106,"National Forest System","	005","	96",,2.694,3.528,3.528,0,0,0.528,0,0.528,0,0.528,2.694,0,3,0,3,0,3,828888,607961,2019-04-05,12:49:40
"	005","Department of Agriculture","	84",005-000000272,"FNS-IPAS FMMI Support",005-000000272,"	04",005-84-3505,"Supplemental Nutrition Assistance Program","	005","	84",,2.545,2.621,2.671,0,0,0,0,0,0,0,2.545,0,2.621,0,2.671,0,2.671,828890,607963,2019-04-05,12:49:40
"	005","Department of Agriculture","	84",005-000000272,"FNS-IPAS FMMI Support",005-000000272,"	04",005-84-3507,"Commodity Assistance Program","	005","	84",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828891,607963,2019-04-05,12:49:40
"	005","Department of Agriculture","	84",005-000000272,"FNS-IPAS FMMI Support",005-000000272,"	04",005-84-3510,"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","	005","	84",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828892,607963,2019-04-05,12:49:40
"	005","Department of Agriculture","	84",005-000000272,"FNS-IPAS FMMI Support",005-000000272,"	04",005-84-3539,"Child Nutrition Programs","	005","	84",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828893,607963,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000273,"FS-USDA WCF FS IT System Development / Integration Support (OCFO Core FMMI Support-WCF Assessment)",005-000000273,"	04",005-96-1106,"National Forest System","	005","	96",,37.413,37.413,37.413,0,0,0,0,0,0,0,37.413,0,37.413,0,37.413,0,0,828894,607964,2019-04-05,12:49:40
"	005","Department of Agriculture","	96",005-000000274,"FS-USDA WCF FS IT System Development / Integration Support (Core NFC)",005-000000274,"	04",005-96-1106,"National Forest System","	005","	96",,8.537,65.242,65.242,0,0,0,0,0,0,0,8.537,0,65.242,0,65.242,0,0,828895,607965,2019-04-05,12:49:40
"	005","Department of Agriculture","	18",005-000000276,"ARS-Application Standard Investment",005-000000276,"	04",005-18-1400,"Salaries and Expenses","	005","	18",,18.597,16.328,14.172,6,0,4.319,0,0.479,0,0,12.597,0,12.009,0,13.693,0,0,828896,607966,2019-04-05,12:49:40
"	005","Department of Agriculture","	18",005-000000276,"ARS-Application Standard Investment",005-000000276,"	04",005-04-4609,"Working Capital Fund","	005","	04",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828897,607966,2019-04-05,12:49:40
"	005","Department of Agriculture","	15",005-000000279,"NASS-Data and Applications",005-000000279,"	04",005-15-1801,"National Agricultural Statistics Service","	005","	15",,14.035,10.831,11.048,2.3,0,3.33,0,3.397,0,3.397,11.735,0,7.501,0,7.651,0,7.651,828899,607968,2019-04-05,12:49:40
"	005","Department of Agriculture","	32",005-000001405,"APHIS-Phytosanitary Certificate Issuance and Tracking System (PCIT)",005-000001405,"	04",005-32-1600,"Salaries and Expenses","	005","	32",,3.5,3.85,3.85,1.35,0,1.467,0,1.467,0,1.467,2.15,0,2.383,0,2.383,0,2.383,828900,607969,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000001425,"OCFO-Financial Management Modernization Initiative (FMMI)",005-000001425,"	04",005-03-9913,"Office of the Secretary","	005","	03",,0.064,0.057,0.057,0,0,0,0,0,0,0,0.064,0,0.057,0,0.057,0,0.057,828901,607970,2019-04-05,12:49:40
"	005","Department of Agriculture","	14",005-000001425,"OCFO-Financial Management Modernization Initiative (FMMI)",005-000001425,"	04",005-45-2500,"Marketing Services","	005","	45",,2.732,4.452,4,0,0,0,0,0,0,0,2.732,0,4.452,0,4,0,4,828902,607970,2019-04-05,12:49:40
