"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Unique Project ID","Project ID","Agency Project ID","Project Name","Objectives / Expected Outcomes","Start Date","Completion Date","Project Life Cycle Cost","SDLC Methodology","Release Every Six Mo","Release Every Six Mo Comment","Production Deployment Date","Funded by TMF or IT WCF Funding?","Commercial Solution(s) Adoption","Commercial Solution(s) Reasoning","Commercial Solution(s) Costs","Schedule Variance (in days)","Schedule Variance (%)","Schedule Color","Cost Variance ($ M)","Cost Variance (%)","Cost Color","Project Status","Updated Date","Updated Time"
184-000000005,12,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Billing and Accounting","	11",13032,,"Phoenix 7.2.1","Upgrade the core Momentum software from version 7.0.2  to version 7.2.1, in order to be compliant with new federal requirements, make improvements to hardware, operating system and databases, bring USAID onto a supported software version, and improve usefulness and efficiency for end users.",2015-02-01,2016-07-18,3.7,"3 - Not Primarily a Software Development Project",no,"Followed its own release schedule",2016-06-03,,,,,-2,-0.41,Green,-0.010889,-0.36,Green,Completed,01/27/2017,18:05:34
184-000000005,12,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Billing and Accounting","	12",15933,,"DATA Act","Perform the work outlined in the DATA Act Implementation Plan, e.g. design and implementation of new business processes and new reports, and to support the OIGs audit of USAIDs DATA Act compliance and to produce the associated documentation.",2016-03-01,2017-09-30,0.45,"3 - Not Primarily a Software Development Project",no,"Followed its own release schedule",,N/A,N/A,N/A,N/A,0,0,Green,0.0356,7.91,Green,Completed,09/20/2018,14:14:02
007-000000155,14,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-MARINE CORPS/LOGISTICS CHAIN MANAGEMENT",P0155-103,16305,P0155-103,"Global Combat Support System - Marine Corps (GCSS-MC) Increment 1",Other.,2003-10-01,2015-03-31,1594.5,"3 - Not Primarily a Software Development Project",no,...,2003-10-01,N/A,N/A,N/A,N/A,-182,-4.53,Green,-6.52,-285.96,Red,Completed,01/10/2019,20:25:08
007-000000178,15,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Enterprise Accounting and Management System",P0178-124,15865,P0178-124,"Technology Demonstration",Other.,2004-01-01,2012-04-27,258.6,"2 - Iterative: Incremental, Spiral, Agile",no,...,2004-01-01,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,Completed,01/10/2019,20:25:08
007-000000178,15,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Enterprise Accounting and Management System",P0178-122,15866,P0178-122,"CONTINUOUS CAPABILITY DEVELOPMENT",Other.,2019-04-01,2025-02-01,315.335,"2 - Iterative: Incremental, Spiral, Agile",yes,,2019-04-01,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,10/30/2018,18:32:32
007-000000178,15,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Enterprise Accounting and Management System",P0178-123,15867,P0178-123,"DEAMS OPERATIONS AND SUSTAINMENT",Other.,2015-05-31,2035-02-01,1987.67,"3 - Not Primarily a Software Development Project",no,...,2015-05-31,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,11/09/2018,14:53:05
007-000000178,15,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Enterprise Accounting and Management System",P0178-125,15868,P0178-125,"DEAMS INCREMENT 1",Other.,2011-08-01,2020-08-30,838.477,"1 - Waterfall",yes,,2011-08-01,N/A,N/A,N/A,N/A,0,0,Green,17.703,3.12,Green,In-progress,01/10/2019,20:25:08
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",P0186-101,2578,P0186-101,"Navy ERP Implementation/Deployment","This project includes all of the remaining Navy ERP Deployments:
Naval Supply Systems Command (NAVSUP) (Phase II - Fleet Logistics Centers and Partner Sites) 
Strategic Systems Program (SSP)
Office of Naval Research (ONR)
Naval Sea Systems (NAVSEA) Command Navy Working Capital Fund (NWCF).",2010-10-01,2013-03-31,74.641,,,,,N/A,N/A,N/A,N/A,0,0,Green,9.761,13.08,Yellow,Completed,03/19/2019,17:42:23
007-000000314,19,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","General Fund Enterprise Business System",P0314-110,16122,P0314-110,"GFEBS Sustainment",Other.,2017-10-01,2019-09-30,105.856,"3 - Not Primarily a Software Development Project",no,"GFEBS is in sustainment and does not have an active acquisition strategy. ",2017-10-01,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,01/10/2019,20:25:09
007-000000314,19,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","General Fund Enterprise Business System",P0314-111,16123,P0314-111,"GFEBS System Enhancements",Other.,2018-10-01,2019-09-30,10.71,"3 - Not Primarily a Software Development Project",no,"GFEBS is in sustainment; the release schedule for additional functionality is determined by funding levels and specific enhancement type. ",2018-10-01,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,01/10/2019,20:25:09
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",P0613-106,13425,P0613-106,DMLSW16R,Other.,2016-04-01,2019-01-30,4.33,"3 - Not Primarily a Software Development Project",n/a,"Delivers production releases in accordance with the approved acquisition strategy.",2016-04-01,N/A,N/A,N/A,N/A,-449,-77.68,Red,-0.352,-8.13,Green,Completed,02/19/2019,15:23:10
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",P0613-203,16173,P0613-203,"DMLSW18R A DMLSS MMQC/Track and Trace and Medical Vendor Routine Updates",Other.,2017-12-13,2018-12-12,2.904,"2 - Iterative: Incremental, Spiral, Agile",no,...,2017-04-01,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,Completed,02/19/2019,15:23:10
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",P0613-204,16306,P0613-204,"DMLSF17R. MMQC/Track and Trace ",Other.,2016-10-01,2018-09-29,5.122,"3 - Not Primarily a Software Development Project",n/a,"Delivers production releases in accordance with the approved acquisition strategy.",2016-10-01,N/A,N/A,N/A,N/A,0,0,Green,0.001,0.02,Green,Completed,02/19/2019,15:23:10
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",P0613-205,16934,P0613-205,"DMLSW19R A Medical Vendor Routine Updates Phase IV A
",Other.,2019-02-01,2019-08-01,1.985,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-12-12,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,02/19/2019,15:23:10
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",P0613-207,17054,P0613-207,"DMLSW18R B MMQC/Track and Trace (Phase II b)

",Other.,2019-01-01,2019-03-31,0.507,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-12-31,N/A,N/A,N/A,N/A,-9,-10.11,Yellow,0.507,100,Red,In-progress,02/19/2019,15:23:10
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",P0613-208,17055,P0613-208,"DMLSW18R C MMQC/Track and Trace (Phase II c)

",Other.,2019-04-01,2019-09-30,1.013,"2 - Iterative: Incremental, Spiral, Agile",yes,,2019-03-31,N/A,N/A,N/A,N/A,0,0,Green,1.013,100,Red,In-progress,02/19/2019,15:23:10
026-000001501,37,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)","	60828",790,"	60828","FY11 Continuing Science Operations","Science Operations reported on the IT Dashboard. Included to allow closeout of FY11 per OMB guidance.",2010-10-01,2011-09-30,116.733,,,,,,,,,0,0,Green,-0.972,-0.85,Green,Completed,10/27/2011,14:08:31
009-000409885,1879,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Encounter Data System Program","	413189",16278,"	413189","Encounter Data Processing System Next Generation - Transition","Infrastructure transition.",2017-09-22,2018-06-11,8.9,"3 - Not Primarily a Software Development Project",yes,,2018-06-11,N/A,N/A,N/A,N/A,-1,-0.38,Green,0.47,8.36,Green,Completed,02/28/2019,19:30:41
009-000409885,1879,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Encounter Data System Program","	420629",16384,"	420629","EDPS Next Generation A","Encounter Data collection to support Medicare.",2018-06-12,2018-12-11,1.824,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-09-28,N/A,N/A,N/A,N/A,0,0,Green,0.027,1.48,Green,Completed,02/28/2019,19:30:41
009-000409885,1879,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Encounter Data System Program","	428600",17122,"	428600","EDPS NextGen 2018 Q4","Quarterly Release.",2018-10-01,2018-12-31,1.824,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-12-21,N/A,N/A,N/A,N/A,-10,-12.35,Yellow,-0.109,-5.98,Green,Completed,02/28/2019,19:30:41
009-000409885,1879,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Encounter Data System Program","	430686",17188,"	430686","EDPS NextGen 2019 Q1","Quarterly release.",2019-01-01,2019-03-29,1.824,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-12-21,N/A,N/A,N/A,N/A,-11,-12.64,Yellow,-0.01,-0.55,Green,In-progress,03/28/2019,20:02:07
026-000005020,39,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","JSC CA Mission Control Center Systems (MCCS)",COMPASS,16327,,"Core Operations, Mission Planning, and Analysis Spacecraft Simulation (COMPASS) Project","The primary objective of this task is to provide process management and verification support to the FOD Core Operations, Mission Planning, and Analysis Spacecraft Simulation (COMPASS) project.  This project defines and implements simulation architecture to provide trajectory analysis, mission planning, and operations in support of current and future FOD activities.",2011-01-01,2022-01-01,23.2,"1 - Waterfall",yes,,2018-07-09,N/A,N/A,N/A,N/A,-288,-800,Red,0.002,100,Red,In-progress,09/20/2018,15:40:34
026-000005020,39,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","JSC CA Mission Control Center Systems (MCCS)",FreeFlyer,16328,,"Free Flyer","The FreeFlyer Project software suite provides capabilities that support flight dynamics analysis, planning, and operations, for all phases of flight including ascent, orbit, Beyond Low Earth Orbit, and entry. The tool suite was deployed for its first operational use on the EFT-1 mission in 2014, and was certified for ISS operations in November, 2015; it will be extended for use on Exploration and Commercial Crew missions in the near future.  
The FreeFlyer software system objectives/Outcomes:
   *Reduce the time required to train and certify flight dynamics personnel, by providing commonality between the software used to support multiple Programs (ISS, Orion, SLS, Commercial Crew) and disciplines (TOPO, FDO, VVO, Pointing, etc.).
   *Reduce the cost required for maintenance and sustaining of the software, through a significant reduction in lines of code (FDS/FreeFlyer ~1500 KSLOC, Heritage Shuttle/ISS tools SLOC ~2600 KSLOC).
   *Increases usability and flexibility over heritage tools by allowing analysts and flight controllers to quickly perform analysis tasks without making modifications to the software code base.
   *Leverages the Commercial Off The Shelf (COTS) product from a.i. solutions called FreeFlyer as the core astrodynamics engine. Code base changes in the FreeFlyer core are shared not only with JSC but also with other customers such as the Flight Dynamics Facility at GSFC and the Air Force GPS Control Center, meaning all users benefit from upgrades no matter who initiates them. 
   *Is developed as a Class C safety-critical software project to meet the stringent NASA requirements for human spaceflight operations support. 
   *Implements a flexible architecture that allows easy expansion to support upgrades and incorporate new capabilities as new missions or objectives arise.",2014-01-01,2019-01-01,14.4,"1 - Waterfall",yes,,2018-06-20,N/A,N/A,N/A,N/A,-242,-77.32,Red,0.073,39.89,Red,In-progress,09/20/2018,15:40:34
026-000005030,40,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","JSC CA Training Systems","	61500",786,"	61500","FY11 O&M Activities","FY11 contractor maintenance, operations, sustaining, and modification engineering.",2010-10-01,2011-09-30,30.6,,,,,,,,,0,0,Green,5.1,16.67,Yellow,Completed,03/29/2012,08:51:03
026-000005030,40,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","JSC CA Training Systems",TS-ISS/TS,14324,,ISS/TS,"Develop, maintain, and operate ISS training systems.",2015-10-01,2016-09-30,24.306887,"2 - Iterative: Incremental, Spiral, Agile",no,N/A,2016-10-03,,,,,-921,-506.04,Red,0,0,Green,In-progress,09/01/2018,00:03:29
026-000005030,40,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","JSC CA Training Systems",TS-CST100,14325,,CST100-CCtCAP/TS,"Integrate Boeing CST-100 training capabilities and interface with ISS simulation.",2015-10-01,2016-09-30,0.208019,"2 - Iterative: Incremental, Spiral, Agile",no,N/A,2016-04-15,,,,,-921,-506.04,Red,0,0,Green,In-progress,09/01/2018,00:03:29
026-000001001,42,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","MSFC - HP - Payload Operations and Integration Center (POIC)","EHS 30-0",16723,,"Enhanced HOSC System 30.0","Automate configuration data distribution, provide telemetry processing for CRS-2 Orbital and CST-100 vehicles.",2018-08-01,2019-04-01,0.751,"1 - Waterfall",yes,,2018-08-10,N/A,N/A,N/A,N/A,-8,-3.29,Green,0,0,Green,In-progress,03/07/2019,16:45:15
026-000001001,42,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","MSFC - HP - Payload Operations and Integration Center (POIC)","EHS 31-0",16724,,"Enhanced HOSC System 31.0","Provide telemetry processing for CRS-2 Sierra Nevada and CRS2-SpaceX vehicles.",2019-02-01,2019-10-01,0.765,"1 - Waterfall",yes,,2018-08-10,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,03/07/2019,16:45:15
026-000001001,42,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","MSFC - HP - Payload Operations and Integration Center (POIC)","EPC 24-0",16725,,"EHS Client 24.0","Windows 10 upgrade.",2019-02-01,2019-10-01,0.384,"1 - Waterfall",yes,,2018-08-10,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,03/07/2019,16:45:15
026-000001001,42,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","MSFC - HP - Payload Operations and Integration Center (POIC)","AEON 14-0",16726,,"Advanced Engineering and Operations Network 14.0","Automate configuration data distribution, provide capability for ISS customers to test dump data rates, Infrastructure upgrades for Sharepoint 2016, SQL Server 2017, Apache, Windows Server 2016).",2018-08-01,2019-04-30,1.1,"1 - Waterfall",yes,,2018-08-10,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,03/07/2019,16:45:14
026-000001001,42,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","MSFC - HP - Payload Operations and Integration Center (POIC)","AEON 15-0",16727,,"Advanced Engineering and Operations Network 15.0","Realtime Payload Ops Smart Search, Windows 10 upgrades.",2019-02-01,2019-10-01,0.773,"1 - Waterfall",yes,,2018-08-10,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,03/07/2019,16:45:15
