"Agency Code","Agency Name","Previous UII","Unique Investment Identifier","Shared Services Category","Shared Services Identifier","LOB Title","Mission Support Investment Category","Bureau Code","Bureau Name","Part Of IT Portfolio","Mission Delivery and Management Support Area","Type of Investment","National Security Systems Identifier","IT Infrastructure and Management Type","Line Item Descriptor","Investment Title","Investment Description","FEA BRM Services - Primary service area","Total IT Spending FY2018 (PY) ($ M)","Total IT Spending FY2019 (CY) ($ M)","Total IT Spending FY2020 (BY) ($ M)","DME PY Agency Funding ($ M)","DME PY Contributions ($ M)","DME CY Agency Funding ($ M)","DME CY Contributions ($ M)","DME BY Agency Funding ($ M)","DME BY Contributions ($ M)","DME BY Budget Authority Agency Funding ($ M)","O&M PY Agency Funding ($ M)","O&M PY Contributions ($ M)","O&M CY Agency Funding ($ M)","O&M CY Contributions ($ M)","O&M BY Agency Funding ($ M)","O&M BY Contributions ($ M)","O&M BY Budget Authority Agency Funding ($ M)","Cloud Computing Alternatives Evaluation","Total Cloud PaaS/IaaS Cost CY","Total Cloud SaaS Cost CY","Total Other Managed Services Cost CY","Budget Year","Derived Status","Updated Date","Updated Time"
"	005","Department of Agriculture",005-999993100,005-999993100,"24 - E-Gov & LoB initiatives","3100 - Geospatial LoB","Geospatial LoB","07 - Other","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DM-OCIO-EGOV-Geospatial LoB","Provides Federal and state agencies with single point of access to map-related data enabling the sharing of existing data.  Investment represents USDA's participation in this Presidential initiative.","011 - Business and Industry Development",0.225,0.225,0.225,0,0,0,0,0,0,0,0.225,0,0.225,0,0.225,0,0,"	5",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",005-999993200,005-999993200,"24 - E-Gov & LoB initiatives","3200 - Budget Formulation and Execution LoB","Budget Formulation and Execution LoB","06 - Grants Management","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DM-OCIO-EGOV-Budget Formulation and Execution LoB","Solution supporting all phases of the formulation and execution of the Federal Budget and linking budget formulation, execution, planning, performance, and financial information.  Investment represents USDA's participation in this Presidential initiative.","101 - Budget Formulation",0.11,0.11,0.11,0,0,0,0,0,0,0,0.11,0,0.11,0,0.11,0,0,"	5",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",005-999994100,005-999994100,"24 - E-Gov & LoB initiatives","4100 - Disaster Assistance Improvement Plan","Disaster Assistance","07 - Other","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DM-OCIO-EGOV-Disaster Assistance","The initiative will be a portal or solution that will allow citizen access to disaster assistance programs.  Investment represents USDA's participation in this Presidential Initiative.","008 - Disaster Preparedness and Planning",0.106,0.106,0.106,0,0,0,0,0,0,0,0.106,0,0.106,0,0.106,0,0,"	5",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",005-000003020,005-000003020,"00 - Agency Investments",,N/A,"01 - Not Applicable","	03","Office of the Secretary","01 - Mission Delivery","	03","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OSEC-NAD Tracking","This is a web-based electronic case tracking system for processing appeals to support NAD’s statutory obligations to provide timely hearings and issue timely appeals and review determinations to USDA participants.","324 - Adjudicate Non-Judicial Requests",0.698,0.498,0.498,0.2,0,0,0,0,0,0,0.498,0,0.498,0,0.498,0,0,"	1",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",005-999991218,005-999991218,"24 - E-Gov & LoB initiatives","1218 - USAJOBS",USAJOBS,"03 - Human Resources","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line",DM-OCIO-EGOV-USAJOBS,"USDA E-Gov contributions to USAJOBS.","251 - Staffing and Recruiting",0.625,0.647,0.647,0,0,0,0,0,0,0,0.625,0,0.647,0,0.647,0,0,"	4",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",005-999990900,005-999990900,"24 - E-Gov & LoB initiatives","0900 - Performance Management LoB","Performance Management LoB","07 - Other","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DM-OCIO-EGOV-Performance Management LoB","USDA E-Gov contributions to PMLoB.","011 - Business and Industry Development",0.08,0.08,0.08,0,0,0,0,0,0,0,0.08,0,0.08,0,0.08,0,0,"	5",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",005-000003050,005-000003050,"00 - Agency Investments",,N/A,"01 - Not Applicable","	03","Office of the Secretary","01 - Mission Delivery","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DM-OO-Customer Service","This investment is to allow headquarters employees to schedule conference room and obtain parking permit through this new system.","058 - Recreational Resource Management and Tourism",2.231,0.105,0.094,2.123,0,0.016,0,0,0,0,0.108,0,0.089,0,0.094,0,0.094,"	3",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",,005-000003255,"00 - Agency Investments",,N/A,"07 - Other","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","01 - Major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DM-OO-Emergency Response","Coming soon.","010 - Emergency Response",0.614,0.632,0.651,0,0,0,0,0,0,0,0.614,0,0.632,0,0.651,0,0,"	1",0,0,0,2020,New,2019-04-05,12:49:41
"	005","Department of Agriculture",005-000003250,005-000003250,"24 - E-Gov & LoB initiatives","0099 - E-Gov- LOB-Freedom of Information Act investment",N/A,"06 - Grants Management","	03","Office of the Secretary","02 - Administrative Services and Support Systems","	00","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DM-OCIO -EGOV-FOIA Portal","This is a new E-GOV shared services directed by OMB for the BY19 IT Passback submission. This initiative is hosted by the DOJ.","129 - Reporting and Information",0.042,0.042,0.042,0,0,0,0,0,0,0,0.042,0,0.042,0,0.042,0,0.042,"	5",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",005-000003240,005-000003240,"00 - Agency Investments",,N/A,"07 - Other","	04","Executive Operations","02 - Administrative Services and Support Systems","	00","01 - Major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DA-OES-Correspondence Management System (CMS)","The purpose of this investment is to set up a new correspondence system that will provide the tools for USDA agencies and staff offices to achieve a goal of responding to all official Secretarial Correspondence within 30 days from receipt.","533 - Correspondence Management",2.269,0.5,0.49,2.131,0,0.33,0,0,0,0,0.138,0,0.17,0,0.49,0,0.49,"	1",0,0,0,2020,"No change in status",2019-04-05,12:49:41
"	005","Department of Agriculture",005-000000097,005-000000097,"00 - Agency Investments",,N/A,"01 - Not Applicable","	07","Office of Civil Rights","01 - Mission Delivery","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DM-OCR-Civil Rights Enterprise System","The Web-based enterprise-wide suite of applications supports USDA and all Departmental agencies by tracking, processing, and managing employment, and program complaints, as well as meeting regulatory reporting requirements.","256 - Employee Relations",0.29,0.223,0.235,0.08,0,0.066,0,0.07,0,0,0.21,0,0.157,0,0.165,0,0,"	3",0,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000000279,005-000000279,"00 - Agency Investments",,N/A,"01 - Not Applicable","	15","National Agricultural Statistics Service","01 - Mission Delivery","	04","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","NASS-Data and Applications","NASS Data and Applications investment supporting survey and census statistical programs.","318 - Business Analytics",14.035,10.831,11.048,2.3,0,3.33,0,3.397,0,3.397,11.735,0,7.501,0,7.651,0,7.651,"	1",0,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000000276,005-000000276,"00 - Agency Investments",,N/A,"01 - Not Applicable","	18","Agricultural Research Service","01 - Mission Delivery","	04","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","ARS-Application Standard Investment","Formerly: ARS-Research and Mission Support IT Systems and Services

IT systems and services which support the research and mission activities of ARS.","139 - Provide and Maintain IT Infrastructure",18.597,16.328,14.172,6,0,4.319,0,0.479,0,0,12.597,0,12.009,0,13.693,0,0,"	4",0,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000000045,005-000000045,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-MIS 2000","MIS 2000 records efforts to resolve wildlife threats and damage to agricultural products and livestock, private and industrial property, human health and safety, threatened and endangered species, natural resources, and infrastructure.","313 - Population Health Management",1.085,5.083,1.52,0,0,4,0,0.507,0,0.507,1.085,0,1.083,0,1.013,0,1.013,"	1",3,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000000074,005-000000074,"48 - Multi-agency collaboration","0074 - Multi-agency collaboration",N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-VS Laboratory and Regulatory Applications (VSLRA)","AIMS replaced Mission Critical Legacy Systems. The Investment includes: NVSL LIMS, PPQ LIMS, CVB LSRTIS, WIMPS, CVB Pharmacovigilance, Quality Management (Master Control), NCAH Portal, USDA RAMS and FOSS (Facility Operation Support Services).","313 - Population Health Management",3.067,2.345,2.2,1.187,0,1.124,0,0.74,0,0.74,1.88,0,1.221,0,1.46,0,1.46,"	1",0.013,0.177,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000000160,005-000000160,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-Emergency Management Response Services 2.0 (EMRS-2)","Provides electronic records collection and organization for APHIS's responses to animal disease outbreaks and documents foreign animal disease information and emerging animal diseases in the United States.","313 - Population Health Management",3.961,3.75,4.46,0.63,0,0.431,0,1.141,0,0.431,3.331,0,3.319,0,3.319,0,3.319,"	2",0,0,0.3,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000000185,005-000000185,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	03","01 - Major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-Certification, Accreditation, Registration, Permitting, and Other Licensing (CARPOL)","To ensure that the certification, accreditation, registration, permitting, and other licensing strategies and operations of APHIS to make the best use of existing and emerging technologies, technology support,and end-user education.","079 - Permits and Licensing",13.821,11.809,11.809,10.259,0,7.971,0,7.971,0,7.971,3.562,0,3.838,0,3.838,0,3.838,"	1",0,1.636,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000001405,005-000001405,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	03","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-Phytosanitary Certificate Issuance and Tracking System (PCIT)","PCIT is an electronic system for the on-line application and issuance of phytosanitary certificates. It provides the capability for applicants to pay for their certificates on-line through an interface to Treasury s Pay.Gov, using credit cards and checks.","043 - Global Trade",3.5,3.85,3.85,1.35,0,1.467,0,1.467,0,1.467,2.15,0,2.383,0,2.383,0,2.383,"	1",0.4,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000001659,005-000001659,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	02","01 - Major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-Animal Disease Traceability Information System (ADTIS)","Investment provides animal tracking for the purpose of protecting animal health.","313 - Population Health Management",1.65,3.66,4.19,0.2,0,2.22,0,2.75,0,0.475,1.45,0,1.44,0,1.44,0,1.5,"	1",0,0,0.663,2020,Upgrade,2019-04-05,12:49:40
"	005","Department of Agriculture",005-000001786,005-000001786,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-Veterinary Services Process Streamlining (VSPS)","VSPS creates an electronic means of capturing, maintaining and analyzing information associated with the APHIS-VS regulatory activities for animal import/export/interstate monitoring and the Veterinary Accreditation Program.","313 - Population Health Management",2.906,1,1.34,1.684,0,0,0,0.34,0,0.34,1.222,0,1,0,1,0,1,"	1",0,0,0.663,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000001822,005-000001822,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	03","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-Electronic Permits System (ePermits)","A comprehensive automated permit system encompassing APHIS regulatory import permit processes (includes PPQ, VS, and BRS).","079 - Permits and Licensing",2.117,2.35,2.35,0,0,0,0,0,0,0,2.117,0,2.35,0,2.35,0,0,"	1",0.333,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000001861,005-000001861,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-Agricultural Quarantine Activity System (AQAS)","The AQAS is a consolidated investment of the WADS, PPQ280, AQIM, Pest ID and EAN investments.  The system manages information about agricultural inspections, activities, detailed sampling, pest interceptions, and cargo EANs.","043 - Global Trade",1.154,1.12,1.12,0,0,0,0,0,0,0,1.154,0,1.12,0,1.12,0,1.12,"	1",0,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000002188,005-000002188,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-Commodity Treatment Information System (CTIS)","CTIS provides a distributed web-based system for storage, tracking, and reporting of data collected from quarantine treatments and related conveyances, and regulatory information targeted to particular quarantine treatment or treatment types.","310 - Food and Drug Quality and Safety",0.475,0.47,0.454,0,0,0,0,0,0,0,0.475,0,0.47,0,0.454,0,0.454,"	1",0,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000002193,005-000002193,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	03","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-Offshore Pest Information Program (OPIP)","PestLens is a Web-based information-sharing tool that allows users to communicate in an organized manner about offshore plant health events and issues. This program is risk-focused and designed to collect, synthesize, and utilize relevant information.","310 - Food and Drug Quality and Safety",0.532,0.523,0.523,0,0,0,0,0,0,0,0.532,0,0.523,0,0.523,0,0.523,"	3",0,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000002196,005-000002196,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-Cost Management System (ACMS)","ACMS is the agency's consolidated application used for status of funds tracking.  ACMS provides real-time access to estimated and committed expenses as this data is reconciled to matching obligations in the core Financial system.","129 - Reporting and Information",0.65,0.65,0.65,0,0,0,0,0,0,0,0.65,0,0.65,0,0.65,0,0,"	3",0,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000002197,005-000002197,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-Animal Care Information System","Animal Care (AC) Information System consists of licensing and registration, and horse protection sub-systems.","079 - Permits and Licensing",0.677,0.61,0.61,0,0,0,0,0,0,0,0.677,0,0.61,0,0.61,0,0.65,"	1",0,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000002206,005-000002206,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	03","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-Exotic Pest Information and Prediction Systems (EPIPS)","EPIPS is composed of the  Global Pest and Disease Database, the Data Archival and Reporting Tool and the New Pest Advisory Group (NPAG) Database.  These are web-enabled databases storing information on plant pests not native to the US.","310 - Food and Drug Quality and Safety",1.275,0.609,0.609,0.545,0,0.36,0,0.36,0,0.545,0.73,0,0.249,0,0.249,0,0.249,"	3",0,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000002241,005-000002241,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-Integrated Plant Health Information System (IPHIS)","The Integrated Plant Heath Information System (IPHIS) provides Web-based access to critical data during plant health emergencies for data capture, information analysis, and record keeping.","010 - Emergency Response",2.249,3.3,3.3,0.8,0,0.8,0,0.8,0,0,1.449,0,2.5,0,2.5,0,0,"	1",0,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000002312,005-000002312,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS Cloud Software","Formerly: APHIS Cloud Services

A readily available skill bank of personnel with emergency qualifications  and supports the categorization of personnel into APHIS emergency response positions.","577 - Knowledge Distribution and Delivery",1.593,2.614,2.614,0.419,0,0.244,0,0.244,0,0.244,1.174,0,2.37,0,2.37,0,2.37,"	1",0,2.584,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000002318,005-000002318,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-National Select Agent Registry","The NSAR is a Joint APHIS/CDC extranet, database & APHIS workflow management tool. APHIS is contributing funds to use CDC's database. CDC's UPI is 009-20-01-03-0547-00. CDC is responsible for reporting the investment to OMB.","310 - Food and Drug Quality and Safety",2.35,1.5,1.5,2.35,0,1.5,0,1.5,0,1.5,0,0,0,0,0,0,0,"	3",0,0,0,2020,"No change in status",2019-04-05,12:49:40
"	005","Department of Agriculture",005-000002336,005-000002336,"00 - Agency Investments",,N/A,"01 - Not Applicable","	32","Animal and Plant Health Inspection Service","01 - Mission Delivery","	03","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","APHIS-Investigation Tracking Enforcement Management System (ITEMS)","ITEMS replaced the IES Tracking System and provide linkages needed to integrate data from multiple violation and investigation tracking systems.","321 - Regulatory Enforcement  ",0.559,0.633,0.633,0,0,0,0,0,0,0,0.559,0,0.633,0,0.633,0,0.633,"	1",0,0,0,2020,"No change in status",2019-04-05,12:49:40
