"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Revision Date","Revision Reason",Comment,"Project ID","Area of Change","Timeframe of Investment","(Legacy) Total Cost","(Legacy) Planned Completion Date","Updated Date","Updated Time","Baseline ID"
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2012-09-18,Correction,"Correction to meet ITDB validation process requirements in order to comply with new OMB rules.",,,2007-2020,,,2012-09-18,15:56:15,10675
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2012-09-18,"Rebaseline - other reason consistent with agency policy and M-10-27","Corrections to structure ID.  AM",,,2007-2020,,,2012-09-19,10:20:49,10707
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2012-09-19,Correction,"Project and Project Activity Tables have been updated.",,,2007-2020,,,2012-09-19,17:04:31,10741
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2012-09-19,Correction,"Projects are  updated, added, and/or modified for this investment.  AGS. 
",,,2007-2020,,,2012-09-19,17:34:53,10755
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2012-11-01,Correction,"Corrections were made within the investment s Exhibit 300B for the October monthly submission.",,,2007-2020,,,2012-11-30,11:15:23,11497
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2014-10-16,"Rebaseline - current baseline is no longer useful as a management tool","FSA added projects, activities, risks, and performance metrics for BY2016 submission. Assigned projects to project risks and added activities and projects that are on the ITDB but not in the Projects and Activities tables back into the tables.",,,2007-2021,,,2014-10-30,14:47:13,20705
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2014-10-30,Correction,"The MIDAS program's rebaseline was approved by the Depatrment's E-Board.",,,2007-2021,,,2014-10-31,08:56:54,20733
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2014-11-21,Correction,"Added new project ""Major O&M Activities"" and associated activities. Deleted 2 completed Initital Operating Capability projects and associated activities.
Changed project start date.

Corrected actual start date for Mock Cutovers to rehearse release 4.7 activity with OMB ID 80125.",,,2007-2021,,,2014-11-26,07:33:12,21037
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2015-01-13,Correction,"Updated risks",,,2007-2021,,,2015-01-14,07:54:26,21525
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2015-02-25,Correction,"Slight changes to projects",,,2007-2021,,,2015-02-26,16:27:51,22145
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2015-03-16,"Rebaseline - current baseline is no longer useful as a management tool","Updated with most recent governance decisions.",,,2007-2021,,,2015-03-27,09:49:49,22383
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2015-05-27,"Replan - adding or modifying detail within the overall cost and schedule goals","Modified project and activity dates.",,,2007-2021,,,2015-05-29,08:23:37,22825
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2015-06-29,Correction,"Modified project and activity dates.
updated the Metric Actual IDs",,,2007-2021,,,2015-06-30,16:20:37,23163
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2015-07-27,Correction,"Modified project and activity dates. Added new projects and related activities.
updated the Metric Actual IDs.",,,2007-2021,,,2015-07-29,15:48:23,23291
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2015-07-27,Correction,"Modified project and activity dates. Added new projects and related activities.
updated the Metric Actual IDs.",,,2007-2021,,,2015-08-28,22:18:17,23455
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2015-07-27,Correction,"Modified project and activity dates. Added new projects and related activities.
updated the Metric Actual IDs.",10921,"Projects, Activities",2007-2022,,,2015-09-18,01:26:24,23819
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2015-07-27,Correction,"Modified project and activity dates. Added new projects and related activities.
updated the Metric Actual IDs.",12725,"Projects, Activities",2007-2022,,,2015-10-30,16:26:09,24205
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2015-11-24,"Rebaseline - other reason consistent with agency policy and M-10-27",rebaseline.,10921,"Projects, Activities, Metrics",2007-2022,,,2015-11-24,18:49:05,24337
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2015-12-16,Correction,"Corrected selected Project completion dates",13589,"Projects, Activities",2007-2022,,,2015-12-18,15:17:59,24408
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2015-12-16,Correction,"Corrected selected Project completion dates",13608,"Projects, Activities, Metrics",2007-2022,,,2016-01-27,20:11:21,24541
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2015-12-16,Correction,"Corrected selected Project completion dates",12725,Projects,2007-2022,,,2016-02-02,21:26:17,24630
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2016-03-31,"Rebaseline - other reason consistent with agency policy and M-10-27","closed risks.",13739,"Projects, Activities",2007-2022,,,2016-03-31,18:34:11,25129
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2016-04-28,Correction,"closed metric ID 69016.",13765,"Projects, Activities",2007-2022,,,2016-04-29,14:47:05,25233
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2016-06-23,"Replan - adding or modifying detail within the overall cost and schedule goals","Added project and associated activity and risks as well as metric actuals",13808,"Projects, Activities",2007-2022,,,2016-06-28,19:04:22,25421
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2016-06-23,"Replan - adding or modifying detail within the overall cost and schedule goals","Added project and associated activity and risks as well as metric actuals",13840,"Projects, Activities",2007-2022,,,2016-07-28,11:37:03,25528
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2016-08-25,Correction,"Changed actual start date of Active Activity 92054",13883,"Projects, Activities",2007-2022,,,2016-08-25,20:29:40,25649
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2016-11-21,Correction,"Corrected actual cost of Activity ID 89469",14561,"Projects, Activities",2007-2022,,,2016-11-23,19:00:03,26159
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2016-12-20,Correction,"Cost of project activity ID 94685 increased slightly.",13778,"Projects, Activities",2007-2022,,,2016-12-22,17:30:51,26322
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2017-01-27,"Rebaseline - other reason consistent with agency policy and M-10-27","Changed project and activity data",14670,"Projects, Activities",2007-2022,,,2017-01-30,15:37:12,26450
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2017-02-24,Correction,"Changed project and activity data. Agency also corrected actual completion date of activity.",14689,"Projects, Activities",2007-2022,,,2017-02-24,17:30:20,26563
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2017-03-07,"Replan - adding or modifying detail within the overall cost and schedule goals","Deactivating obsolete projects (2013 completion date) from the IT DB.",1676,"Projects, Activities",2007-2022,,,2017-03-08,13:30:39,26637
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2017-03-07,"Replan - adding or modifying detail within the overall cost and schedule goals","Deactivating obsolete projects (2013 completion date) from the IT DB.",13765,"Projects, Activities",2007-2022,,,2017-03-08,19:17:16,26641
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2017-04-28,"Rebaseline - other reason consistent with agency policy and M-10-27","Decreased project 88239 cost from 0.366 to 0.318. Changed numerous activity actual costs and dates.",14754,"Projects, Activities",2007-2022,,,2017-04-28,11:47:45,26808
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2017-04-28,Correction,"Changed numerous activity actual costs and dates.",13884,"Projects, Activities",2007-2022,,,2017-04-28,12:02:00,26814
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2017-08-30,"Rebaseline - current baseline is no longer useful as a management tool","Updates for Project activity total cost from what was previously submitted.",15208,"Projects, Activities",2007-2023,,,2017-09-15,12:43:48,27287
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2018-03-27,Correction,"down revising costs for activity with ID 128370.",15682,"Projects, Activities",2007-2023,,,2018-03-27,16:07:11,28081
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2018-08-27,"Replan - adding or modifying detail within the overall cost and schedule goals","Rel. 2.25 - 2.28 – over budget/on schedule (AgMax). will be brought back to CCB to address change in scope and cost",16608,"Projects, Activities",2007-2023,,,2018-09-19,18:20:05,28600
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2018-08-27,"Replan - adding or modifying detail within the overall cost and schedule goals","Rel. 2.25 - 2.28 – over budget/on schedule (AgMax). will be brought back to CCB to address change in scope and cost",16999,"Projects, Activities",2007-2023,,,2018-11-30,20:23:43,29092
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",2018-08-27,"Replan - adding or modifying detail within the overall cost and schedule goals","Updated the Completion Date of Project ID 153,953 (Rel. 2.31 O&M) and 154,954 (Rel. 2.31 DME) to April 1, 2019.
 The reason for the rebaseline is due to the delay in Shared Service testing due to lack of resources (contract protest) and government shutdown.",17081,"Projects, Activities",2007-2023,,,2019-02-25,21:19:13,29334
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2010-04-23,"External - Phase Gate",,,,,140.607,2012-03-31,2010-08-31,16:06:51,1092
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2010-10-27,"Rebaseline - other","Minor changes.",,,,682.747,2021-09-30,2010-10-27,15:42:52,2101
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2011-01-11,"Rebaseline - other","Milestones added.",,,,685.224,2021-09-30,2011-01-11,12:50:03,2618
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2011-01-11,Correction,,,,,650.268,2021-09-30,2011-01-11,13:23:51,2619
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2011-01-12,"Replan - planned change with minimal change in overall scope, cost or schedule objectives","Minor changes to the contract and Cost and Schedule tables.",,,,649.3,2021-09-30,2011-02-24,11:07:48,3169
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2011-02-25,"Rebaseline - other","Performance updated.",,,,649.3,2021-09-30,2011-02-25,13:02:46,3380
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2011-02-25,"Rebaseline - other","Performance Metrics table corrections.",,,,649.3,2021-09-30,2011-02-26,14:20:37,3521
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2011-02-26,Correction,"Minor corrections to address ITDB submission issues.",,,,649.343,2021-09-30,2011-02-26,16:19:09,3530
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2011-03-21,Correction,"Crrections required for completed milestones.",,,,649.399,2021-09-30,2011-03-30,15:19:42,3834
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2011-03-21,Correction,"Crrections required for completed milestones.",,,,649.407,2021-09-30,2011-04-29,09:06:15,4006
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2011-05-17,Correction,"Changes were done to completed milestones - update to pre-plan information was required.",,,,645.249,2021-09-30,2011-05-26,14:56:20,6093
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2011-05-27,"Replan - planned change with minimal change in overall scope, cost or schedule objectives","Replan to correct Cost/Schedule ITDB validation error",,,,650.449,2021-09-30,2011-05-27,09:01:18,6109
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2011-10-24,"Rebaseline - other","Rebaseline to resolve ITDB transaction type processing issues.",,,2006-2021,,,2011-10-28,12:28:37,6929
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2011-10-28,"Rebaseline - other","Rebaseline to resolve ITDB transaction type processing issues.",,,2006-2021,,,2011-10-28,12:37:33,6930
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2011-10-28,"Rebaseline - other","Rebaseline to resolve ITDB transaction type processing issues.",,,2006-2021,,,2011-12-28,11:29:30,7246
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2012-06-29,Correction,"Rebaseline to resolve ITDB transaction type processing issues. AGS",,,2006-2021,,,2012-06-30,17:57:46,8629
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2012-06-29,Correction,"Rebaseline to resolve ITDB transaction type processing issues. AGS",,,2006-2021,,,2012-06-30,18:26:20,8649
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2012-06-29,Correction,"Rebaseline to resolve ITDB transaction type processing issues. AGS",,,2006-2021,,,2012-06-30,18:32:36,8663
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2012-06-29,Correction,"Rebaseline to resolve ITDB transaction type processing issues. AGS",,,2006-2021,,,2012-08-01,16:22:28,8881
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2012-09-14,Correction,"Rebaseline add, correct, and or update projects in the B1 Table.  AGS",,,2006-2021,,,2012-09-17,18:59:32,10551
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2012-11-29,"Rebaseline - other reason consistent with agency policy and M-10-27","Corrections were made within the Performance Measurements.  AGS",,,2006-2021,,,2012-11-29,17:49:53,11461
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2013-03-19,"Correction - Metrics Only","Updates to the Performance metrics to meet submission requirements",,,2006-2021,,,2013-03-25,12:59:28,12529
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2013-09-11,"Rebaseline - other reason consistent with agency policy and M-10-27","Annual Submission",,,2006-2021,,,2013-09-11,16:41:11,14581
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2013-09-11,"Rebaseline - other reason consistent with agency policy and M-10-27","Annual Submission",,Metrics,2006-2021,,,2013-09-11,16:41:17,14583
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2013-09-11,"Rebaseline - other reason consistent with agency policy and M-10-27","Annual Submission.",,,2006-2021,,,2013-09-11,16:57:43,14593
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2014-01-28,"Rebaseline - other reason consistent with agency policy and M-10-27","Updates made within the Exhibit 300B for the January 2014 monthly submission.",,,2006-2021,,,2014-01-28,16:58:08,16463
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2014-04-29,"Correction - Metrics Only","update to performance metrics.",,Metrics,2006-2021,,,2014-04-29,14:10:49,17515
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2014-05-27,"Correction - Metrics Only","performance metrics update.",,,2006-2021,,,2014-05-29,10:36:04,17735
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2014-05-29,Correction,"Agency correction only.",,,2006-2021,,,2014-06-26,09:26:13,17931
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2014-07-15,"Correction - Metrics Only","Providing Performance Measure Actuals.",,,2006-2021,,,2014-07-25,14:41:27,18191
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2014-09-10,"Rebaseline - current baseline is no longer useful as a management tool","BY2016 OMB Submission.",,Metrics,2006-2021,,,2014-09-10,13:49:18,18631
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2014-09-10,"Rebaseline - current baseline is no longer useful as a management tool","BY2016 OMB Submission.",,,2006-2021,,,2014-09-11,14:43:01,18907
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2015-06-29,"Correction - Metrics Only","updated the Metric Actual IDs",,,2006-2021,,,2015-06-29,16:20:24,23087
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2016-06-28,"Rebaseline - other reason consistent with agency policy and M-10-27","removal of retired metrics from dashboard.",,Metrics,2006-2022,,,2016-06-28,19:22:16,25425
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2016-06-28,"Rebaseline - other reason consistent with agency policy and M-10-27","removal of retired metrics from dashboard.",,,2006-2022,,,2016-07-28,11:47:56,25531
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2016-06-28,"Rebaseline - other reason consistent with agency policy and M-10-27","removal of retired metrics from dashboard.",,,2006-2022,,,2016-08-25,18:54:33,25646
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",2017-03-07,"Replan - adding or modifying detail within the overall cost and schedule goals","March '17: As part of the ongoing CPITGD project data cleanup effort, added a previously closed project to the project table to facilitate removal from the IT Dashboard.",5783,"Projects, Activities",2006-2022,,,2017-03-08,11:20:25,26635
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2010-10-28,"Rebaseline - other","Errors corrected.",,,,184.544952,2018-09-30,2010-10-28,13:06:27,2121
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2010-10-28,"Rebaseline - other","Errors corrected.",,,,244.091672,2018-09-30,2011-02-24,11:07:47,3168
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2011-02-25,"Rebaseline - other","Rebaselined to address ITDB validation report errors",,,,244.091672,2018-09-30,2011-02-25,15:44:47,3426
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2011-02-27,"Rebaseline - other","Rebaselined to address ITDB submission errors.",,,,244.091672,2018-09-30,2011-02-27,13:41:18,3540
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2011-02-27,Correction,"Minor corrections to address ITDB submission issues.",,,,247.547672,2018-09-30,2011-02-27,21:54:33,3561
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2011-02-27,"Rebaseline - other","Rebaselined to address ITDB submission issues.",,,,247.547672,2018-09-30,2011-02-27,22:39:14,3565
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2011-02-28,"Rebaseline - other","Rebaselined to address ITDB submission issues.",,,,247.547672,2018-09-30,2011-02-28,11:16:14,3621
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2011-03-14,"Rebaseline - other","Rebaseline to correct minor performance metric changes",,,,249.353242,2018-09-30,2011-03-30,15:13:17,3833
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2011-03-14,"Rebaseline - other","Rebaseline to correct minor performance metric changes",,,,249.353242,2018-09-30,2011-03-30,15:36:34,3836
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2011-04-18,"Replan - planned change with minimal change in overall scope, cost or schedule objectives","Replan to correct and add performance metrics.",,,,249.353242,2018-09-30,2011-04-29,09:06:14,4005
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2011-05-16,"Replan - planned change with minimal change in overall scope, cost or schedule objectives","Addition of performance metrics for future years and updates to FY10 actual performance results.",,,,249.353242,2018-09-30,2011-05-26,14:13:42,6087
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2011-05-26,"Rebaseline - other","Add and make corrections to performance metrics",,,,249.353242,2018-09-30,2011-05-26,15:49:45,6097
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2011-05-26,"Rebaseline - other","Add and make corrections to performance metrics",,,,249.353242,2018-09-30,2011-05-26,15:57:03,6101
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2011-05-27,"Replan - planned change with minimal change in overall scope, cost or schedule objectives","Replan to correct performance metric ITDB validation errors",,,,249.353242,2018-09-30,2011-05-27,09:01:18,6108
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2011-05-27,"Replan - planned change with minimal change in overall scope, cost or schedule objectives","Replan to correct performance metric ITDB validation errors",,,,249.353242,2018-09-30,2011-05-31,07:54:06,6118
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",2011-10-20,"Rebaseline - other","Rebaseline to meet requirements of BY2013 Validation Errors",,,2007-2018,,,2011-10-28,10:07:50,6894
