Agency Code,Agency Name,Mega 53 Agency Name,Agency Abbreviation,CGAC Agency Code,Mega 53 Sort Order,IT Dashboard,CFO Act,CIO Council,First Active BY,Last Active BY
"429","Nuclear Regulatory Commission","Nuclear Regulatory Commission","NRC","031","260","1","1","1","","2016"
"431","Nuclear Waste Technical Review Board","Nuclear Waste Technical Review Board","NWTRB","431","0","","","","","2016"
"432","Occupational Safety and Health Review Commission","","","432","0","","","","","2016"
"434","Office of Government Ethics","Office of Government Ethics","OGE","434","0","","","","","2016"
"435","Office of Navajo and Hopi Indian Relocation","","","435","0","","","","","2016"
"436","Office of Special Counsel","","","062","0","","","","","2016"
"438","Panama Canal Commission","","","","0","","","","","2013"
"440","Postal Service","Postal Service","Postal","018","0","","","","","2016"
"446","Railroad Retirement Board","Railroad Retirement Board","RRB","060","0","","","","","2016"
"448","Resolution Trust Corporation","","","","0","","","","","2013"
"449","Securities and Exchange Commission","Securities and Exchange Commission","SEC","050","0","","","","","2016"
"452","Smithsonian Institution","Smithsonian Institution","Smithsonian","033","300","","","","","2016"
"453","State Justice Institute","","","453","0","","","","","2016"
"455","Tennessee Valley Authority","Tennessee Valley Authority","TVA","455","0","","","","","2016"
"456","United States Holocaust Memorial Museum","U.S. Holocaust Memorial Museum","USHMM","456","0","","","","","2016"
"458","United States Institute of Peace","","","458","0","","","","","2016"
"464","Institute of Museum and Library Services","","IMLS","","0","","","","","2013"
"465","Christopher Columbus Fellowship Foundation","","","465","0","","","","","2016"
"467","Office of the Director of National Intelligence","Office of the Director of National Intelligence","ODNI","467","320","","","","","2016"
"474","Institute of Museum and Library Services","Institute of Museum and Library Services","IMLS","n/a","0","","","","","2016"
"476","United Mine Workers of America Benefit Funds","","","n/a","0","","","","","2016"
"479","Military Compensation and Retirement Modernization Commission","","","479","0","","","","2016","2016"
"485","Corporation for National and Community Service","Corporation for National and Community Service","CNCS","485","0","","","","","2016"
"486","United States Enrichment Corporation Fund","","","486","0","","","","","2016"
"487","Morris K. Udall and Stewart L. Udall Foundation","","","487","0","","","","","2016"
"492","National Education Goals Panel","","","","0","","","","","2013"
"505","Other Commissions and Boards","Other Commissions and Boards","Other","n/a","0","","","","","2016"
"507","Community Empowerment Board","","","","0","","","","","2013"
"510","Chemical Safety and Hazard Investigation Board","","","510","0","","","","","2016"
"511","Court Services and Offender Supervision Agency for the District of Columbia","Court Services and Offender Supervision Agency for the District of Columbia","CSOSA","n/a","0","","","","","2016"
"512","Presidio Trust","","","512","0","","","","","2016"
"513","Denali Commission","Denali Commission","Denali","513","0","","","","","2016"
"514","Broadcasting Board of Governors","Broadcasting Board of Governors","BBG","514","0","","","","","2016"
"515","Commission on Ocean Policy","","","","0","","","","","2014"
"516","Oklahoma City National Memorial Trust","","","","0","","","","","2013"
"517","Delta Regional Authority","","","517","0","","","","","2016"
"518","National Veterans Business Development Corporation","","","","0","","","","","2013"
"519","Vietnam Education Foundation","","","519","0","","","","","2016"
"520","White House Commission on the National Moment of Remembrance","","","","0","","","","","2013"
"521","U.S. Canada Alaska Rail Commission","","","","0","","","","","2013"
"522","Pacific Chapter Commission","","","","0","","","","","2013"
"525","Election Assistance Commission","","","525","0","","","","","2016"
"526","Public Company Accounting Oversight Board","","","n/a","","","","","","2016"
"527","Standard Setting Body","","","n/a","","","","","","2016"
"528","Telecommunications Development Fund","","","n/a","0","","","","","2015"
"530","Affordable Housing Program","","","n/a","","","","","","2016"
"531","Electric Reliability Organization","","","n/a","","","","","","2016"
"532","Federal Housing Enterprise Regulator","","","","","","","","","2014"
"534","Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects","","","534","","","","","","2016"
"535","Privacy and Civil Liberties Oversight Board","","","535","","","","","","2016"
"537","Federal Housing Finance Agency","","","537","","","","","","2016"
"538","National Infrastructure Bank","","","","","","","","2015","2016"
"539","Recovery Act Accountability and Transparency Board","","","539","","","","","","2016"
"542","Council of the Inspectors General on Integrity and Efficiency","","","542","","","","","","2016"
"573","Northern Border Regional Commission","","","573","","","","","","2016"
"575","National Railroad Passenger Corporation Office of Inspector General","","","575","","","","","","2016"
"576","Securities Investor Protection Corporation","","","n/a","","","","","","2016"
"578","Independent Payment Advisory Board","","","n/a","","","","","2014","2016"
"579","Patient-Centered Outcomes Research Trust Fund","","","579","","","","","","2016"
"580","Corporation for Travel Promotion","","","580","","","","","","2016"
"581","Bureau of Consumer Financial Protection","","","581","","","","","","2016"
"582","Civilian Property Realignment Board","","","n/a","","","","","","2016"
"584","Indian Law and Order Commission","","","n/a","","","","","2014","2016"
"585","Public Safety Broadband Corporation","","","n/a","","","","","2014","2014"
"586","Gulf Coast Ecosystem Restoration Council","","","471","0","","","","2016","2016"
"587","Public Defender Service for the District of Columbia","","","511","0","","","","2016","2016"
"801","Affordable Housing and Bank Enterprise","","","","154","","","","","2013"
"803","Federal Law Enforcement Training Center","","","","366","","","","","2013"
"804","JFK Assassination Records Review Board","","","","385","","","","","2013"
"912","Farm Credit System","","","n/a","0","","","","","2016"
"913","Federal Home Loan Bank System","","","n/a","0","","","","","2016"
"914","Federal Home Loan Mortgage Corporation","","","n/a","0","","","","","2016"
"915","Federal National Mortgage Association","","","n/a","0","","","","","2016"
"918","Student Loan Marketing Assocation","","","","0","","","","","2013"
"920","Financing Vehicles and the Board of Governors of the Federal Reserve","","","n/a","0","","","","","2016"
"991","Selective Service System","Selective Service System","SSS","","0","","","","","2013"
"992","Arlington National Cemetery","Arlington National Cemetery","ANC","","0","","","","","2013"
"993","Millennium Challenge Corporation","","","","0","","","","","2013"
"994","Inter-American Foundation","Inter-American Foundation","IAF","","0","","","","","2013"
"995","Peace Corps","Peace Corps","Peace","","0","","","","","2013"
"996","U.S. Trade and Development Agency","","USTDA","","0","","","","","2013"
"997","Overseas Private Investment Corporation","Overseas Private Investment Corporation","OPIC","","0","","","","","2013"
"998","National Gallery of Art","National Gallery of Art","NGA","","0","","","","","2013"
