Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Unique Project ID,Project ID,Agency Project ID,Project Name,Objectives / Expected Outcomes,Start Date,Completion Date,Project Life Cycle Cost,SDLC Methodology,Other SDLC,Release Every Six Mo,Release Every Six Mo Comment,PM Experience Level,Schedule Variance (in days),Schedule Variance (%),Schedule Color,Cost Variance ($ M),Cost Variance (%),Cost Color,Project Status,Updated Date,Updated Time
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1338004","5879","","Hardware Maintenance-1","Maintain Enterprise hardware service support and operational integrity.","2013-02-04","2013-06-28","0.311000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2014-03-18","11:34:15"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1438000","5881","","Enterprise Management-2","Management of APHIS Enterprise IT systems.","2013-01-01","2014-09-30","30.975000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-335","-61.24","Red","0.000000","0.00","Green","In-progress","2014-04-29","14:22:42"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1438001","5883","","Enterprise Security-2","Maintain Enterprise Level Security.","2013-01-01","2014-09-30","0.033000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-335","-52.59","Red","0.000000","0.00","Green","In-progress","2014-09-12","10:59:57"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1438002","5885","","Enterprise Software license optimization-1","Maintain and update all Enterprise software licenses.","2013-11-04","2014-08-08","12.959000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2014-09-12","10:59:57"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI1438003","5887","136","Hardware Maintenance-2","Maintain Enterprise hardware service, support, and integrity.","2013-12-16","2014-07-18","4.696000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2015-05-28","19:30:06"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI153801","11329","","Enterprise Infrastructure Management","Manage and maintain the availability and integrity of the Enterprise Infrastructure.","2014-10-01","2015-09-30","19.200000","7-Not Primarily a Software Development Project","","n/a","This is one of the projects for management of the APHIS GSS&gt;","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","In-progress","2014-11-26","07:01:04"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI153802","11331","","Enterprise Infrastructure Security","Monitoring and protecting the Enterprise Infrastructure from security concerns and incidents.","2014-10-01","2015-09-30","0.024000","7-Not Primarily a Software Development Project","","n/a","Securing and ensuring optimal security for the APHIS GSS.","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","In-progress","2015-01-13","16:19:01"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI153803","11333","","Enterpise Software Licensing","Maintain the software licensing for all Enterprise Components.","2015-01-01","2015-07-31","2.901000","7-Not Primarily a Software Development Project","","n/a","Ensuring the Enterprise Software components all have current license requirements for the APHIS GSS.","4-Other certification with 4 or more years PM experience (within the last five years)","-31","-14.69","Yellow","0.000000","0.00","Green","In-progress","2015-01-13","16:19:01"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","AEI153804","11335","","Enterprise Hardware Maintenance","Maintain all Hardware maintenance agreements for the Enterprise Infrastructure.","2015-01-01","2015-05-31","0.075000","7-Not Primarily a Software Development Project","","n/a","Maintaining Hardware maintenance agreements for all hardware componenets included in the APHIS GSS.","4-Other certification with 4 or more years PM experience (within the last five years)","-92","-61.33","Red","0.000000","0.00","Green","In-progress","2015-01-13","16:19:01"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1231-11-01","1092","212","Program Loan Accounting System (PLAS)","PLAS is a legacy mainframe system of record for the Farm Loan Programs designed in the late 1970s. This system is quickly reaching the end of its useful life. The Direct Loan System (DLS) is the new project that is being designed to replace PLAS functionality by streamlining and modernizing the direct loan process. During the development of DLS, PLAS is in a Steady State maintenance only mode unless large unexpected modifications such as Stimulus or disaster relief require quick solutions.","2002-10-01","2018-09-28","46.720000","1-Waterfall","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","1.133500","21.54","Yellow","In-progress","2015-08-30","21:18:00"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1231-19-01","1093","213","Electronic Debt and Loan Restructure System (eDALR$)","eDALR$ is an Intranet web-based program developed to assist authorized agency officials in determining and evaluating the effect of primary loan servicing. The eDALR$ system completes calculations based on information regarding the borrower's cash flow and loan status. This information is used to restructure the borrower's debt and maximize their repayment ability, while minimizing loss to the Government. This system replaced the Legacy DALR$ system in Feb 2008 and is currently in Steady State.","2002-10-01","2018-09-28","23.360000","1-Waterfall","","yes","","7-No certification, but with 4 or more years PM experience (within the last five years)","0","0.00","Green","1.000600","55.34","Red","In-progress","2015-07-29","14:05:04"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1231-24-01","1094","214","Direct Loan System (DLS)","The Direct Loan System (DLS) is the only portion of the CFLPIDS project that is currently in the Development, Enhancement, and Modernization (DME) phase of the project life cycle.","2002-10-01","2018-09-28","116.800000","1-Waterfall","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","2.808000","12.31","Yellow","In-progress","2015-08-30","21:18:00"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1231-25-01","1095","215","Farm Loan Program Risk Assessment (FLPRA)","The FLPRA system pulls data from other FLP applications and generates various management reports used to identify high risk lending States. Once a service center is reviewed and scored, the data is entered at the State level and the system tracks the scores assigned to Service Centers. This system replaced the Legacy National Internal Review (NIR) system in February 2006 and is currently in Steady State.","2002-10-01","2018-09-28","23.360000","1-Waterfall","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.187700","34.89","Red","In-progress","2015-08-30","21:18:00"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","1231-30-01","1096","216","Farm Business Plan (FBP)","The FBP system is a Web based system that evaluates an individual Borrowers situation and identifies ways that the FLP can provide assistance. This system replaced functionality from the Legacy System 36 Management of Agriculrural Credit (MAC) system in May 2007 and is currently in Steady State.","2002-10-01","2018-09-28","23.360000","1-Waterfall","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","3.020000","35.69","Red","In-progress","2015-08-30","21:18:00"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","001","1676","","Initial Operating Capability (IOC) Release 1 Deployment D1.0","IOC Release 1 D1.0. Releases will follow SAP ASAP methodology (project prep, blueprint, realization, final prep and go live).","2011-07-01","2013-01-25","100.676191","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-948","-165.16","Red","-3.119485","-3.10","Green","In-progress","2012-11-30","11:15:23"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","002","5609","","Initial Operating Capability (IOC) Release 1 Deployment D1.1","IOC Release 1 D1.1. Releases will follow SAP ASAP methodology (project prep, blueprint, realization, final prep and go live).","2012-05-01","2013-07-01","42.927415","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-791","-185.68","Red","0.000000","0.00","Green","In-progress","2012-11-30","11:15:23"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","1","10919","","Planning","Award of SI BPA and delivery of detail project plan..","2006-10-01","2010-12-31","35.248879","6-Other","USDA SAP Roadmap","no","Project complete.  No additional work planned.","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2014-10-31","08:56:54"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","2","10921","286","Common Blueprint","User requirements,transformation of business processes to address key program delivery challenges and improve business performance, and delivery of standard SAP functionality.","2011-01-01","2011-11-30","48.362000","6-Other","USDA SAP Roadmap","no","Project complete.  No additional work planned.","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","-0.000049","0.00","Green","Completed","2015-07-29","15:48:23"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","3","10923","287","Farm Records","Establish foundation for next generation of Farm Program delivery.  Provide Business Partner, Farm Records with GIS integration and Product Master functionality to nationwide FSA employees.","2011-12-01","2013-10-31","209.985000","6-Other","USDA SAP Roadmap","no","Project complete.  No additional work planned.","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","35.359911","16.84","Yellow","Completed","2015-07-29","15:48:23"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","4","10925","288","Business Partner","Provides producers flexibility to have business partner information updated at any County Office. Automates manual processes, such as notification to multi-county offices of changes to customer records. Improves accuracy of customer records and reduces improper payments through automated validation of address and tax information. Provides program eligibility information through a single consolidated view, eliminating the need to toggle between multiple systems.","2013-08-01","2015-01-31","66.102000","6-Other","USDA SAP Roadmap","no","MIDAS prepared a rebaseline migrating to iterative releases of functionality during implementation of the Business Partner release. Business Partner was the final release using a Waterfall approach.","4-Other certification with 4 or more years PM experience (within the last five years)","2","0.36","Green","51.679886","78.18","Red","Completed","2015-07-29","15:48:23"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","5","10927","","Acreage Reporting/Inventory Reporting","Build Acreage Reporting with GIS integration and Inventory Reporting leveraging ACRIS standards. (The project was halted per agency directions in July-2014).","2013-08-01","2014-07-11","13.629633","6-Other","USDA SAP Roadmap","no","Project halted.  No additional work planned.","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2014-10-31","08:56:54"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","6","10929","","Customer Self Service","User requirements and proof of concept for Customer Self Service portal. (The project was halted per agency directions in June-2014).","2013-12-01","2014-06-30","1.356762","6-Other","USDA SAP Roadmap","no","Project halted.  No additional work planned.","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2014-10-31","08:56:54"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","7","12141","291","Major O&M Activities","Minor enhancements to Farm Records and Business Partner functionality to ensure continued alignment with business needs.","2014-08-25","2015-04-22","0.808000","6-Other","USDA SAP Roadmap","no","Minor enhancements project","4-Other certification with 4 or more years PM experience (within the last five years)","-129","-107.50","Red","-0.440756","-54.55","Red","Completed","2015-06-30","16:20:40"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","55560","12725","55560","Release 2.3 activities","17 Work orders for  Farm Records and Business  Partner functionality.","2015-04-08","2015-06-21","0.546161","6-Other","USDA SAP Roadmap","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","-4","-6.15","Green","0.094117","21.95","Yellow","Completed","2015-08-28","22:18:17"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","55561","12727","55561","Release 2.4 activities","14 Work orders for  Farm Records and Business  Partner functionality. Work orders to address production defects (O&M).","2015-05-06","2015-06-24","0.612877","6-Other","USDA SAP Roadmap","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","-2","-4.26","Green","0.360978","76.38","Red","Completed","2015-07-29","15:48:23"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","55562","12729","55562","Release 2.1.1 activities","Emergency Release of existing development MIDASOM-9149 Employee/Producer relationship creation and SSN Family update.","2015-04-08","2015-05-29","0.046085","6-Other","USDA SAP Roadmap","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","-0.010522","-22.83","Yellow","Completed","2015-07-29","15:48:23"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","55559","12731","55559","Release 2.1.2  activities","Emergency release of outstanding DME work. MIDASOM-9290, HIP percentage to be populated for 2015 farm records in MIDAS and replicate to FRS.","2015-05-13","2015-06-01","0.018444","6-Other","USDA SAP Roadmap","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2015-07-29","15:48:23"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","55563","12733","55563","Priority Project 87","MIDASOM-8879 -- Farm Programs Business Process Improvement.","2015-05-14","2015-07-27","0.170469","6-Other","USDA SAP Roadmap","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","-35","-47.30","Red","0.000000","0.00","Green","In-progress","2015-07-29","15:48:23"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","62922","12735","62922","Release 2.5","Release 2.5 contains work orders to address the Annual Roll Over Requirements.","2015-06-17","2015-09-28","0.259967","6-Other","USDA SAP Roadmap","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","-14","-22.95","Yellow","0.000000","0.00","Green","In-progress","2015-07-29","15:48:23"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","2317-06-01","3221","","FMMI Deployment 3 Wave 2","Testing, Deployment, and Stabilization of Forest Service (FS).","2012-06-01","2012-12-31","7.320000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","3.813000","52.10","Red","Completed","2013-04-26","16:17:37"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","2317-06-03","5783","","General Usability Enhancement Release 2","Improve overall usability of FMMI.","2013-10-01","2014-09-30","3.000000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-335","-92.03","Red","0.000000","0.00","Green","In-progress","2013-04-26","16:17:37"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","2317-06-05","5785","","General Usability Enhancement Release 1","Improve overall usability of FMMI.","2013-01-01","2013-09-30","3.000000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","3","1.10","Green","0.180000","6.00","Green","Completed","2014-03-14","15:39:56"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","PHICP-PHIS","1746","279","Public Health Information System.","Designed to integrate data from all agency systems and program areas for use as a tool in making the most informed decisions about inspection, sampling, policy and other food safety activities to protect public health.","2007-09-27","2018-12-30","141.478000","6-Other","Iterative Waterfall","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.399974","2.04","Green","In-progress","2015-07-28","14:54:02"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","10","5863","","Oracle Discoverer","Oracle Discoverer will provide much needed reporting capabilities for IAS users to gain a full end to end view of the acquisition cycle.","2011-10-03","2012-03-30","0.350000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-52","-29.05","Yellow","0.000000","0.00","Green","Completed","2012-11-29","12:33:15"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","11","5865","","Risk Management Framework (C&amp;A Phase I)","The PSD Security Team will be completing the Assessment and Authorization (A&amp;A) of IAS in 2013 per the three year cycle requirement. The current Contractor will be responsible for completing Phase I.","2012-10-01","2013-03-29","0.100000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2013-04-26","16:17:39"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","7","5867","","Risk Management Framework (C&amp;A Phase II)","The PSD Security Team will be completing the Assessment and Authorization (A&amp;A) of IAS in 2013 per the three year cycle requirement. The current Contractor will be responsible for completing Phase I. An independent contractor will be responsible for conducting Phase II.","2013-04-01","2013-09-30","0.150000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","11","6.04","Green","0.126004","84.00","Red","Completed","2013-11-25","17:26:41"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","8","5869","","eAuthentication","This project will adopt and implement a Single Sign On (SSO) user access management using Oracle Enterprise Single Sign On Suite and PRISM SSO enhancement. This will provide users with a unified sign on and authentication across all IAS enterprise resources.","2011-02-14","2011-12-30","0.700000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-139","-75.96","Red","0.000000","0.00","Green","Completed","2012-09-19","09:28:48"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","9","5871","","FMMI Conversion","The FMMI Conversion project will transfer agencies currently interfacing to the old FFIS financial accounting system to the new enterprise-wide FMMI financial system.","2011-08-15","2011-12-30","0.150000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-326","-237.96","Red","0.000000","0.00","Green","Completed","2012-12-28","17:15:43"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","13","7865","","IAS Future State","Perform Analysis of the IAS Future State. The future state analysis will look at different alternatives and a decision will based on the alternatives whether to move IAS to one COTS or stay within the current the environment. The new solution will contribute to cost savings, improved usability and robust system management.","2013-11-15","2014-05-09","0.125000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-479","-273.71","Red","0.000000","0.00","Green","In-progress","2014-03-18","14:01:12"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010001","672","","FISMA Compliance FY12.","FISMA compliance.","2011-10-01","2012-09-30","0.030000","","","","","2-FAC-P/PM(DAWIA-2)- Mid-Level","-1248","-685.71","Red","0.000000","0.00","Green","In-progress","2012-09-14","22:21:47"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010002","673","","FTE Support FY12.","FTE Support.","2011-10-01","2012-09-30","0.700000","","","","","2-FAC-P/PM(DAWIA-2)- Mid-Level","-1248","-301.45","Red","0.000000","0.00","Green","In-progress","2012-09-14","20:35:58"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010003","674","","Acquisition Support FY12.","Acquisition Support FY12.","2011-10-01","2012-09-30","1.017000","","","","","2-FAC-P/PM(DAWIA-2)- Mid-Level","-1065","-291.78","Red","0.000000","0.00","Green","In-progress","2012-09-14","22:21:47"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010004","5595","","FISMA Compliance FY13.","RMF.","2012-10-01","2013-09-30","0.120000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-700","-192.31","Red","0.000000","0.00","Green","In-progress","2013-08-20","15:24:26"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010005","5597","","Acquisition Support FY13.","NITC Hosting and Contract Help Desk.","2012-10-01","2013-09-30","0.810000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-700","-192.31","Red","0.010000","1.23","Green","In-progress","2013-08-20","15:24:26"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010006","5599","","FTE Support FY13.","FTE Support FY13.","2012-10-01","2013-09-30","0.180508","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-700","-192.31","Red","0.000000","0.00","Green","In-progress","2013-08-20","15:24:26"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010007","5601","","FISMA Compliance FY14.","FISMA Compliance.","2013-10-01","2014-09-30","0.031250","","","","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.000000","0.00","Green","Completed","2014-10-30","14:27:17"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010008","5603","","Acquisition Support FY14.","Contracts and licenses.","2013-10-01","2014-09-30","0.548280","","","","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.000000","0.00","Green","Completed","2014-10-30","14:27:17"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010009","5605","","FTE Support FY14.","FTE Support FY14.","2013-10-01","2014-09-30","0.180508","","","","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.000000","0.00","Green","Completed","2014-10-30","14:27:17"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-EU-05","1696","","End User Devices - Enterprise User Mobility","Mobility support to include wireless and mobility endpoint (Windows mobile, Blackberry, etc.).","2012-02-15","2012-08-31","0.500000","7-Not Primarily a Software Development Project","","n/a","","4-Other certification with 4 or more years PM experience (within the last five years)","-14","-7.07","Green","-0.250000","-50.00","Red","Completed","2014-09-10","16:57:51"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-01","1698","365","Office Environment - HeadEnd WAN Optimization","This project will deploy network acceleration devices in the HeadEnd Data Centers in order to address the escalating need for additional network bandwidth.","2012-02-15","2012-08-31","1.052360","7-Not Primarily a Software Development Project","","n/a","","4-Other certification with 4 or more years PM experience (within the last five years)","-20","-10.10","Yellow","-0.070838","-6.73","Green","Completed","2015-05-29","15:20:42"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-02","1699","366","Office Environment - Field Service Center WAN Optimization","This project will deploy network acceleration devices in the Field Service Centers in order to address the escalating need for additional network bandwidth.","2012-02-15","2012-08-31","4.997000","7-Not Primarily a Software Development Project","","n/a","","4-Other certification with 4 or more years PM experience (within the last five years)","-35","-17.68","Yellow","0.050157","1.00","Green","Completed","2015-05-29","15:20:43"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-04","1700","368","Office Environment - Modernization of Service Center Network Hardware","This project captures the cost of upgrading or replacing all switches and routers in the ITS network that will become unsupported in the next 1-2 years.","2012-02-15","2012-08-31","21.729000","7-Not Primarily a Software Development Project","","n/a","","4-Other certification with 4 or more years PM experience (within the last five years)","-35","-17.68","Yellow","0.566571","2.61","Green","Completed","2015-05-29","15:20:44"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-05","1701","369","Office Environment - VoIP Eastern Gateway and Call Center upgrade and expansion","Modernizing the VoIP Eastern Gateway and porcessing center will provide higher availability and a faster response time for the expansion of SCA VoIP systems.","2013-01-01","2013-04-01","0.555000","7-Not Primarily a Software Development Project","","n/a","","4-Other certification with 4 or more years PM experience (within the last five years)","-361","-401.11","Red","0.105000","18.92","Yellow","Completed","2015-05-29","15:20:45"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-08","1702","372","Office Environment - Head End Core Component","Modernizing the VoIP Eastern Gateway and porcessing center will provide higher availability and a faster response time for the expansion of SCA VoIP systems.","2013-04-01","2014-08-15","5.600000","7-Not Primarily a Software Development Project","","n/a","","4-Other certification with 4 or more years PM experience (within the last five years)","-381","-76.05","Red","0.435675","7.78","Green","In-progress","2015-05-29","15:20:46"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-15","1707","","Office Environment - Alternative Network Connectivity","This project will examine the feasibility of using alternative to traditional Frame-Relay lease lines.","2012-02-15","2012-08-31","0.250000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-1095","-553.03","Red","0.000000","0.00","Green","In-progress","2013-03-29","17:18:29"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-18","1710","374","Office Environment - Network Head End Upgrade","This project captures the cost of upgrading or replacing all switches and routers in the ITS network that will become unsupported in the next 1-2 years.","2012-02-15","2012-08-31","1.198251","7-Not Primarily a Software Development Project","","n/a","","4-Other certification with 4 or more years PM experience (within the last five years)","-20","-10.10","Yellow","0.022739","1.90","Green","Completed","2015-05-29","15:20:47"
