Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Contract ID,Agency Contract ID,Contract Status,Contracting Agency ID,Contract Number (PIID),IDV PIID,IDV Agency ID,Match found in USAspending,Vendor Name (USAspending),Solicitation ID (USAspending),Action Obligation Amount (In $ million) (USAspending),Type of Contract (USAspending),Performance Based Contract (USAspending),Contract Start Date (USAspending),Contract End Date (USAspending),Contract Compete (USAspending),Contract Description (USAspending),Base Contract ID (USAspending),Identifying Agency ID (USAspending),Transaction Number (USAspending),Timestamp (Contract),Timestamp (Base Contract)
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","23973","","Awarded","","AG32KWD120044","NNG07DA12B","4730","Yes","INTERNATIONAL BUSINESS MACHINES CORPORATION","","0.151631","Firm Fixed Price","","02/07/2012","12/31/2012","U","IBM SOFTWARE SALES - LOTUS SAMETIME USER LICENSE + SUBSCRIPTION.  POP 01/01/2012 - 12/31/2012.  CONTRACT #NNG07DA12B. QUOTE# PCS APHIS ST 20091221. MOD #3 TO PO# AG-32KW-D-10-0058.  RHIANA SHUMATE IS COTR. REV#1 TO CORRECT AMT PER CONTRACT.","46373","12K3","","2012-08-01 16:21:08","2012-08-01 16:21:08"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","23975","","Awarded","","AG6395D120214","GS35F4708G","4730","Yes","METASTORM GOVERNMENT SOLUTIONS, LLC","","0.049319","Firm Fixed Price","","02/03/2012","03/31/2013","U","OPENTEXT Q#3402000009 - METASTORM MAINTENANCE CONTRACT - RENEWAL.  LAST PO #AG-32KW-D-11-0100.  POP 04/01/2012 - 03/31/2013.  ATTENTION:  NATE JOHNSON.  RHIANA SHUMATE IS COTR.","46385","12K3","","2012-08-01 16:21:08","2012-08-01 16:21:08"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","24551","","Awarded","","AG32KWD120096","AG32KWC100006","4730","Yes","CSBS BUSINESS SERVICES, LLC","","0.381700","Firm Fixed Price","","03/13/2012","03/31/2013","U","OPERATOR SERVICES INCREMENTAL FUNDING FORAPRIL 1 - MARCH 31, 2013","46379","12K3","","2012-08-01 16:21:08","2012-08-01 16:21:08"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","24553","","Awarded","","AG32KWD120150","GS35F0170K","4730","Yes","EXECUTIVE INFORMATION SYSTEMS,","","0.096152","Firm Fixed Price","","04/19/2012","03/14/2013","U","SAS SOFTWARE","46381","12K3","","2012-08-01 16:21:08","2012-08-01 16:21:08"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","24555","","Awarded","","AG32KWD120123","GS35F0153M","4730","Yes","MYTHICS, INC","","0.330861","Firm Fixed Price","","05/17/2012","03/31/2013","U","MYTHICS - ESTIMATE #1518049-JM-SR FOR ORACLE LICENSES, UPDATES AND TECHNICAL.  POP 04/01/2012 - 03/31/2013.  RHIANA SHUMATE IS COTR.","46377","12K3","","2012-08-01 16:21:08","2012-08-01 16:21:08"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","25245","","Awarded","","AG32KWD120195","GS35F0577V","4730","Yes","TRUETANDEM, LLC","","0.245669","Firm Fixed Price","","06/06/2012","05/31/2013","U","ITD PURCHASE TRUE TANDEM RFQ #679371 DATED MAY 31, 2012.  MICROSOFT SERVICES PREMIER SUPPORT.   POP 06/01/2012 - 05/31/2013.   RHIANA SHUMATE IS COTR AND PLEASE SEND HER THE INVOICE.","46389","12K3","","2012-08-01 16:21:08","2012-08-01 16:21:08"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","25247","","Awarded","","AG32KWD120190","GS35F0153M","4730","Yes","MYTHICS, INC","","0.036986","Firm Fixed Price","","05/24/2012","05/29/2013","U","ITD PURCHASE MYTHICS QUOTE #3667242-JM-SR ORACLE SOA AND WEBLOGIC RENEWAL.  POP 05/30/2012-05/31/2013. PREVIOUS PO #AG-32KW-D-11-0181.  RHIANA SHUMATE IS COTR AND PLEASE SEND HER THE INVOICE.","46391","12K3","","2012-08-01 16:21:08","2012-08-01 16:21:08"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","25249","","Awarded","","AG32KWD120224","GS35F4027D","4730","Yes","DELL MARKETING L.P.","","1.346378","Firm Fixed Price","","06/26/2012","06/30/2013","U","ITD PURCHASE  DELL ASAP SOFTWARE RENEWAL FOR YR 4.  BPA #AG-3142-B-09-0010.  POP 07/01/2012 - 06/30/2013.  RHIANA SHUMATE IS COTR.  PLEASE SEND HER THE INVOICE.  REV #1 TO ATTACH SPREADSHEET PER CO'S REQUEST.","46393","12K3","","2012-08-01 16:21:08","2012-08-01 16:21:08"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","25251","","Awarded","","AG32KWD12150","GS35F0170K","4730","No","","","","","","","","","","","","","2012-08-01 16:21:08",""
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","21659","","Awarded","1205","AG3142D100462","GS02F0048M","4730","Yes","REED ELSEVIER INCORPORATED","AG-3142-S-10-0115","0.007068","Firm Fixed Price","","09/15/2010","07/31/2012","Y","Turnkey Enterprise-level Online Identity Proofing Service","42216","1205","0","2012-02-29 12:04:16","2012-02-29 12:04:16"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","21660","","Awarded","1205","AG3142D110124","GS06F0661Z","4730","Yes","ALLIANT ALLIANCE, LLC","","3.083300","Labor Hours","","07/14/2011","07/31/2016","Y","CO - MTAYLOR, COR - CCOFFMAN, TBD  NEW","42217","1205","0","2012-02-29 12:04:16","2012-02-29 12:04:16"
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","21629","","Awarded","","AG3K06D120029","GS35F0069V","4730","Yes","WESTAT, INC.","","0.127067","Firm Fixed Price","","12/15/2011","09/30/2012","U","FY12 BLAISE SOFTWARE 10/1/11 TO 9/30/12, LAST YRS INVOICE IS ATTACHED AND AWARD INFORMATION IS ATTACHED FOR DETAILS CONTACT ASA MANNING 720-9485 OR LEE BOWLING 720-0308","46465","12H2","","2012-08-01 16:23:05","2012-08-01 16:23:05"
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","21630","","Awarded","","AG3K06D120039","GS35F0529V","4730","Yes","FEITH SYSTEMS AND SOFTWARE, INC.","","0.052695","Firm Fixed Price","","12/15/2011","09/30/2012","U","FY12 FEITH MAINT&SUPPORT, UNDER THE CR 13.39% WILL BE PAID OUT OF $52,696=$7055.99 NEW QUOTE ADDED  10/1/11-9/30/12 FOR MORE DETAILS CONTACT BRIAN LOUNSBURY 720-3649-","46473","12H2","","2012-08-01 16:23:05","2012-08-01 16:23:05"
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","21631","","Awarded","","AG3K06D120025","","","Yes","IMMIXTECHNOLOGY, INC.","","0.095289","Firm Fixed Price","","12/15/2011","09/30/2012","U","FY12 HYPERION, BRIO, DESIGNER&EXPLORER, UNDER CR 13.39% WILL BE PAID OUT OF $95,288.52 =$12,759.13 FOR DETAILS CONTACT BRIAN LOUNSBURY 720-3649, NEW QUOTE ATTACHED (OUT YR MAINT HYPERION INTERACTIVE REPORTING)","46471","12H2","","2012-08-01 16:23:05","2012-08-01 16:23:05"
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","21632","","Awarded","","AG3K06P120030","","","Yes","PHOENIX SOFTWARE INTERNATIONAL, INC.","","0.022770","Firm Fixed Price","","12/15/2011","09/30/2012","U","FY12 VIKING VDE SOFTWARE MAINT/CUST# 4325/10/1/11-9/30/12 UNDER CR 13.39% WILL BE PAID OUT OF $22,770 =$3048.90 FOR DETAILS CONTACT LEE BOWLING 720-0308","46467","12H2","","2012-08-01 16:23:05","2012-08-01 16:23:05"
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","21633","","Awarded","","AG3K06K110038","AG3142B090010","1205","Yes","DELL MARKETING L.P.","","0.351422","Firm Fixed Price","","08/11/2011","06/30/2013","U","FY11 MICROSOFT ENTERPRISE AGREEMENT-DESKTOP PRO/W ENTERPRISE/LISTED LANGUAGES, OPT YR 3-7/1/11-7/31/12. CONTACT VERA GLEATON 690-2352. AG-3K06-D-08-0076.","46469","12H2","","2012-08-01 16:23:05","2012-08-01 16:23:05"
"005-000002376","1099","005","Department of Agriculture","Conservation Delivery Streamline Initiative (CDSI)","21946","","Awarded","1205","AG3144D110127","GS06F0651Z","4730","Yes","PHACIL, INC.","AG-3144-S-11-0003","14.161018","Firm Fixed Price","","08/31/2011","08/31/2013","Y","SOFTWARE ANALYSIS AND DEVELOPMENT (NRCS CDSI PROJECT)","41301","1205","0","2012-02-28 13:22:45","2012-02-28 13:22:45"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","21634","","Awarded","","AG7604D080135","GS35F0461N","4730","Yes","SERENA SOFTWARE INC","","1.438000","Labor Hours","","04/16/2012","04/14/2013","U","MODIFICATION IS TO ADD ADDITIONAL FUNDING FOR OPTION PERIOD 3 IN THE AMOUNT OF $200,000.00.","46477","12C2","","2012-08-01 16:23:08","2012-08-01 16:23:08"
"005-000002223","242","005","Department of Agriculture","NRM - Natural Resource Manager","21635","","Awarded","","AG3187K100003","AG3187B100003","12C2","Yes","ALSEA GEOSPATIAL INCORPORATED","","3.698062","Labor Hours","","07/02/2012","12/31/2014","U","DEVELOPMENT AND SUPPORT TO THE NATURAL RESOURCE MANAGER DEVELOPMENT TEAM","46475","12C2","","2012-08-01 16:23:08","2012-08-01 16:23:08"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","23576","","Awarded","12F2","AG3198K110066","AG3198B110019","12F2","Yes","VENTERA CORP.","","2.677159","Firm Fixed Price","","09/15/2011","09/26/2021","Y","IT 11 189 STARS CONTRACT CLIN 001 O&M OFFSITE","43473","12F2","0","2012-03-30 10:09:48","2012-03-30 10:44:30"
"005-000000028","250","005","Department of Agriculture","ROSS - Resource Ordering and Status System","21652","","Awarded","12C2","AG82X9C055069","GS35F4863G","4730","Yes","LOCKHEED MARTIN SERVICES INC","","40.435916","Labor Hours","","04/22/2005","12/31/2012","N","Software development for ROSS","41354","12C2","0","2012-02-28 13:27:52","2012-02-28 13:27:52"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","21516","","Awarded","1205","AG3142D070747","GS35F0330J","4730","Yes","IMMIXTECHNOLOGY INC","","2.568055","Firm Fixed Price","","09/26/2007","09/26/2010","N","Time and Attendance System Licenses and Maintenance","41314","1205","0","2011-09-16 15:00:20","2012-02-28 13:24:19"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","21517","","Awarded","1205","AG3142D070729","NNG07DA08B","8000","Yes","FULCRUM IT SERVICES COMPANY","","0.151849","Firm Fixed Price","","09/25/2007","09/25/2009","N","Enterprise Survey Design Application (Survey Tool). Licenses & Maintenance.","41315","1205","0","2012-02-28 13:24:19","2012-02-28 13:24:19"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","21518","","Awarded","1205","AG3142D070044","GS22F8084H","4730","Yes","GENE ROULEAU & ASSOCIATES, INC","","0.109314","Firm Fixed Price","","11/02/2006","04/10/2009","N","Labor and Employee Relations and Equal Employment Opprtunity","41316","1205","0","2012-02-28 13:24:19","2012-02-28 13:24:19"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","21519","","Awarded","12D2","AG3151D070055","GS35F4543G","4730","Yes","DLT SOLUTIONS INCORPORATED","","1.441820","Firm Fixed Price","","05/30/2007","09/30/2007","N","Oracle EmpowHR Software,Licenses and Maint. Fees","41317","12D2","0","2011-09-16 15:00:20","2012-02-28 13:24:19"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","21520","","Awarded","1205","AG3142D070427","NAS502143","8000","Yes","DLT SOLUTIONS INCORPORATED","","0.324590","Firm Fixed Price","","05/30/2007","05/29/2008","Y","Software License renewal","41318","1205","0","2012-02-28 13:24:19","2012-02-28 13:24:19"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","23569","","Awarded","","AG7604C100006","","","Yes","ANADARKO INDUSTRIES, L.L.C.","","0.782640","Firm Fixed Price","","12/30/2009","","N","ATSA Systems Requirements.","41286","12C2","","2012-02-28 13:22:16","2012-02-28 13:22:16"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","23977","","Awarded","","12IA11132862016","","","No","","","","","","","","","","","","","2012-03-30 10:07:51",""
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","24549","","Awarded","","AG-6395-C-12-0038","AG-6395-D-12-0163","12K3","Yes","QINETIQ NORTH AMERICA, INC.","","","Order Dependent (IDV only)","","12/23/2011","01/01/1970","U","IT SERVICES","46363","12K3","","2012-08-01 16:20:59","2012-08-01 16:20:59"
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21450","","Awarded","","AG31MEC080019","","","Yes","ROSE INTERNATIONAL INC","","2.561266","Firm Fixed Price","","08/18/2011","01/01/1970","U","FUNDS TO MAINTAIN THE AMAS SYSTEM AT CURRENT LEVEL OF SERVICES FROM 9/1/2008 TO 8/31/2009 (BASE YEAR) -- FUNDING CODE DT -- ACCT # 81M7100DT -- BOC # 2500 -- POC G. BOECKMANN -- COMMIT","46401","12E3","","2012-08-01 16:21:20","2012-08-01 16:21:20"
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21451","","Awarded","","AG31MEC110003","","","Yes","UNISYS CORPORATION","","2.482589","Firm Fixed Price","","08/09/2011","01/01/1970","U","CPL AND MIGRATION TASKS","46399","12E3","","2012-08-01 16:21:20","2012-08-01 16:21:20"
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21458","","Awarded","1200","AG31MEC110045","AG31MEC090021","1200","No","","","","","","","","","","","","","2011-09-16 14:59:51",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21459","","Awarded","1200","AG31MED091029","AG31MEC090021","1200","No","","","","","","","","","","","","","2011-09-16 14:59:51",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21460","","Awarded","1200","AG31MED091030","AG31MEC090021","1200","No","","","","","","","","","","","","","2011-09-16 14:59:51",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21462","","Awarded","1200","AG31MED100037","AG31MED090026","1200","No","","","","","","","","","","","","","2011-09-16 14:59:52",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21463","","Awarded","1200","AG31MED100057","AG31MEC100013","1200","No","","","","","","","","","","","","","2012-02-29 13:06:57",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21464","","Awarded","1200","AG31MED100059","AG31MEC100013","1200","No","","","","","","","","","","","","","2011-09-16 14:59:52",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21466","","Awarded","1200","AG31MED100085","AG31MEC090021","1200","No","","","","","","","","","","","","","2011-09-16 14:59:52",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21467","","Awarded","1200","AG31MED100098","AG31MEC100013","1200","No","","","","","","","","","","","","","2011-09-16 14:59:52",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21472","","Awarded","1200","AG31MEK100135","AG314B090033","1200","No","","","","","","","","","","","","","2011-09-16 14:59:52",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21476","","Awarded","1200","AG31MED100038","AG31MEC090021","1200","No","","","","","","","","","","","","","2011-10-31 12:04:10",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21477","","Awarded","1200","AG31MED100057","AG31MEC100013","1200","No","","","","","","","","","","","","","2011-11-30 08:10:11",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21485","","Awarded","1200","TBD","AG31MEC100016","1200","No","","","","","","","","","","","","","2011-09-16 14:59:52",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21486","","Awarded","1200","TBD","AG31MEC090027","1200","No","","","","","","","","","","","","","2011-09-16 14:59:52",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21487","","Awarded","1200","TBD1","AG31MED090026","1200","No","","","","","","","","","","","","","2011-10-31 12:04:10",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21491","","Awarded","1200","TBD","AG31MEC090029","1200","No","","","","","","","","","","","","","2011-09-16 14:59:52",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21494","","Awarded","1200","AG31MEC110008","AG31MEC100013","1200","No","","","","","","","","","","","","","2011-09-16 14:59:52",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","21498","","Awarded","1200","AG31MED100099","AG31MEC100018","1200","No","","","","","","","","","","","","","2011-09-16 14:59:52",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","23005","","Awarded","1200","AG31MED100058","AG31MEC100013","1200","No","","","","","","","","","","","","","2011-10-31 12:04:10",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","23006","","Awarded","1200","AG31MED100059","AG31MEC100013","1200","No","","","","","","","","","","","","","2011-11-30 08:10:11",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","23007","","Awarded","1200","AG31MED100098","AG31MEC100013","1200","No","","","","","","","","","","","","","2011-10-31 12:04:10",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","23008","","Awarded","1200","TBD2","AG31MED090026","1200","No","","","","","","","","","","","","","2011-10-31 12:04:10",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","23009","","Awarded","1200","TBD2","AG31MEC090021","1200","No","","","","","","","","","","","","","2011-10-31 12:04:10",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","23010","","Awarded","1200","TBD5","AG31MEC100013","1200","No","","","","","","","","","","","","","2011-10-31 12:04:10",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","23011","","Awarded","1200","TBD3","AG31MED090026","1200","No","","","","","","","","","","","","","2011-10-31 12:04:10",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","23012","","Awarded","1200","TBD6","AG31MEC100013","1200","No","","","","","","","","","","","","","2011-10-31 12:04:10",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","23013","","Awarded","1200","TBD8","AG31MEC100013","1200","No","","","","","","","","","","","","","2011-10-31 12:04:11",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","23014","","Awarded","1200","TBD7","AG31MEC100013","1200","No","","","","","","","","","","","","","2012-02-29 13:06:57",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","23097","","Awarded","1200","AG31MEC110046","AG31MEC100013","1200","No","","","","","","","","","","","","","2011-11-30 08:10:11",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","24111","","Awarded","1200","AG31MED110038","AG31MEC090029","1200","No","","","","","","","","","","","","","2012-04-30 14:14:58",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","24113","","Awarded","1200","AG31MED110005","AG31MED090026","1200","No","","","","","","","","","","","","","2012-04-30 14:14:58",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","24115","","Awarded","1200","AG31MED110039","AG31MEC090029","1200","No","","","","","","","","","","","","","2012-04-30 14:14:58",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","24117","","Awarded","1200","AG31MED110040","AG31MEC090029","1200","No","","","","","","","","","","","","","2012-04-30 14:14:58",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","24119","","Awarded","1200","AG31MED110047","AG31MEC090021","1200","No","","","","","","","","","","","","","2012-04-30 14:14:58",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","24121","","Awarded","1200","AG31MED120004","AG31MEC10-0013","1200","No","","","","","","","","","","","","","2012-04-30 14:14:58",""
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","24123","","Awarded","1200","AG31MED120005","AG31MEC100013","1200","No","","","","","","","","","","","","","2012-04-30 14:14:58",""
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","21512","","Awarded","","AG6455C080013","","","No","","","","","","","","","","","","","2011-09-16 15:00:11",""
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","21513","","Awarded","","GS35F0323J","","","No","","","","","","","","","","","","","2011-09-16 15:00:11",""
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","21954","","Awarded","","GS35F4984H","AG7604B080006","12C2","No","","","","","","","","","","","","","2012-08-01 16:22:38",""
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","21955","","Awarded","1406","IND11PA40010","GS35F4984H","1406","No","","","","","","","","","","","","","2011-09-16 17:10:07",""
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","21956","","Awarded","1406","IND11PC40028","","","Yes","SNAP, INC.","D10PS40031","","Labor Hours","","06/08/2011","","Y","US FOREST SERVICES COMPUTING INFRASTRUCTURE SUPPORT","42238","1406","","2012-02-29 13:07:26","2012-02-29 13:07:26"
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","21957","","Awarded","","AG7604C100001","GS35F0133L","4730","Yes","GLACIER TECHNOLOGIES, LLC","","","Firm Fixed Price","","04/04/2012","01/01/1970","U","SERVER REQIREMENTS CONTRACT.","46431","12C2","","2012-08-01 16:22:38","2012-08-01 16:22:38"
