Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Performance Metric ID,Agency Performance Metric ID,Metric Description,Unit of Measure,FEA Performance Measurement Category Mapping,Baseline,Target for PY,Actual for PY,Target for CY,Measurement Condition,Reporting Frequency,Most Recent Actual Results,Actuals have Met/Not Met Target,Comment,Updated Date,Updated Time
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1088","","Integrate the permiting activity of multile independent permit programs","Number","101-Mission and Business Results - Services for Citizens","1.000000","3.000000","3.000000","3.000000","Over target","Semi-Annual","3.000000","Met","3 independent programs currently utilize ePermits to process all permitting activity.","08/01/2012","18:32:25"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1089","","Precentage of  applications submitted using ePermits","Precentage","202-Process and Activities - Productivity","25.000000","50.000000","56.000000","60.000000","Over target","Quarterly","60.000000","Met","As of 9/06/11 56% of VS, BRS and PPQ applications were submitted electronically by applicants (17148 out of 30885)","08/01/2012","18:32:25"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1090","","Number of Repeat Customers using system","Percent","216-Technology - Effectiveness","1000.000000","2000.000000","2091.000000","2500.000000","Over target","Semi-Annual","1664.000000","Not Met","2191","08/01/2012","18:32:25"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1091","","Number of additional forms automated via ePermits","Number","215-Technology - Reliability and Availability","10.000000","25.000000","25.000000","6.000000","Over target","Quarterly","1.000000","Not Met","6","08/01/2012","18:32:25"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1092","","Number of security test and recovery exercises.","Number","215-Technology - Reliability and Availability","2.000000","2.000000","3.000000","3.000000","Over target","Semi-Annual","3.000000","Met","2 Disater Recovery Exercises in FY 2011","08/01/2012","18:32:25"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1093","","System Outages Downtime","Percent","215-Technology - Reliability and Availability","5.000000","0.000000","0.000000","0.000000","Over target","Monthly","0.000000","Met","System up and running 98% of the time.","08/01/2012","18:32:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","1094","","Network and server uptime","Up time","115-Customer Results - Service Accessibility","99.970000","99.970000","99.970000","99.970000","Over target","Quarterly","99.970000","Met","Met planned target for measure. Results successful.","08/01/2012","18:32:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","1095","","ATAC average response time","Time","103-Mission and Business Results - Management of Government Resources","22.500000","22.500000","22.300000","21.700000","Under target","Monthly","21.700000","Met","Response time for helpdesk calls measured in minutes. February: Met target.","08/01/2012","18:32:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","1096","","Application of patches on all systems","Number","205-Process and Activities - Security and Privacy","98.000000","95.000000","95.000000","98.000000","Over target","Monthly","98.000000","Met","Percentage measurment of systems in AEI that have received updated patching. February: AEI patching meets target goals.","08/01/2012","18:32:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","1097","","Reduction in number of field office data storage devices","Number","214-Technology - Information and Data","60.000000","65.000000","65.000000","60.000000","Under target","Quarterly","60.000000","Met","AEI centralizing servers as part of consolidation project.","08/01/2012","18:32:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","1098","","FDCC Compliance","percentage compliant","213-Technology - Efficiency","95.000000","95.000000","95.000000","95.000000","Over target","Quarterly","95.000000","Met","Measurement of compliance for Summary FDCC requirements for all APHIS computers.","08/01/2012","18:32:25"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","2945","","% of system users who complete security awareness and role based access training.","Percent","205-Process and Activities - Security and Privacy","100.000000","100.000000","100.000000","100.000000","Over target","Monthly","100.000000","Met","","08/01/2012","18:32:25"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","2946","","% of reports available to customers on the reports website as scheduled.","Percent","111-Customer Results - Customer Benefit","100.000000","100.000000","100.000000","100.000000","Over target","Monthly","100.000000","Met","","08/01/2012","18:32:25"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","2947","","Certification of user access to the system is conducted quarterly.","Percent","205-Process and Activities - Security and Privacy","100.000000","100.000000","100.000000","100.000000","Over target","Monthly","100.000000","Met","","08/01/2012","18:32:25"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","2948","","Contribute to agency maintaining an unqualified audit opinion by ensuring no material deficiencies are identified in the ATSA system during the audit.","Audit report","114-Customer Results - Service Quality","0.000000","0.000000","0.000000","0.000000","Over target","Monthly","0.000000","Met","","08/01/2012","18:32:25"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","2949","","% of scheduled production cycles completed without issues.","Percent","203-Process and Activities - Cycle Time and Timeliness","92.000000","91.000000","92.000000","91.000000","Over target","Monthly","90.000000","Not Met","","08/01/2012","18:32:25"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","2950","","% of scheduled time that application is operational.","Percent","215-Technology - Reliability and Availability","97.000000","96.000000","96.000000","97.000000","Over target","Monthly","95.000000","Not Met","","08/01/2012","18:32:25"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","2951","","% of customer issues that are addressed and fully resolved within 24-hours.","percent","203-Process and Activities - Cycle Time and Timeliness","92.000000","90.000000","90.000000","92.000000","Over target","Monthly","93.000000","Met","","08/01/2012","18:32:25"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1620","","Average number of days required to complete Direct Loan processing (from application completed to final disposition)","Number of Days","113-Customer Results - Timeliness and Responsiveness","35.000000","33.000000","30.800000","32.500000","Under target","Quarterly","19.500000","Met","","08/01/2012","18:32:25"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1621","","Number of States with average Direct Loan processing time greater than 35 days","Number of States","113-Customer Results - Timeliness and Responsiveness","10.000000","12.000000","12.000000","12.000000","Under target","Quarterly","11.000000","Met","","08/01/2012","18:32:25"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1622","","Total Direct Loan Delinquency Rates","Percent","102-Mission and Business Results - Support Delivery of Services","9.500000","8.500000","6.300000","8.500000","Under target","Quarterly","5.700000","Met","","08/01/2012","18:32:25"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1623","","Total Direct Loan Loss Rates","Percent","102-Mission and Business Results - Support Delivery of Services","5.200000","3.500000","0.800000","3.500000","Under target","Quarterly","0.800000","Met","","08/01/2012","18:32:25"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1624","","Percent of time that system is available to internal users during normal business hours","Percent","202-Process and Activities - Productivity","80.000000","95.000000","96.500000","95.000000","Over target","Quarterly","96.500000","Met","","08/01/2012","18:32:25"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1625","","Number of separate systems to query to provide input data to annual audit process","Number of Systems","213-Technology - Efficiency","1.000000","1.000000","1.000000","1.000000","Under target","Quarterly","1.000000","Met","","08/01/2012","18:32:25"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1626","","Maximum number of manual data entry and/or manual file transfer points among systems during a delinquent loan cycle","Number","213-Technology - Efficiency","5.000000","2.000000","2.000000","2.000000","Under target","Monthly","2.000000","Met","","08/01/2012","18:32:25"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1627","","First Year Delinquent Rates for New Loans","Delinquency Percentage","102-Mission and Business Results - Support Delivery of Services","13.400000","10.000000","9.200000","10.000000","Under target","Quarterly","3.700000","Met","","08/01/2012","18:32:25"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1628","","Average number of days from application receipt to disposition of Emergency Loans","Number of Days","102-Mission and Business Results - Support Delivery of Services","37.000000","33.000000","28.500000","32.500000","Under target","Quarterly","29.000000","Met","","08/01/2012","18:32:25"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1629","","Increase Lending to Minorities, Women, and Beginning Farmers and Ranchers","Percent","102-Mission and Business Results - Support Delivery of Services","36.700000","35.000000","37.600000","38.700000","Over target","Quarterly","46.400000","Met","","08/01/2012","18:32:25"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","2803","","Accounting: Maintain unqualified financial statement audit opinion for FSA and CCC","Audit issues","103-Mission and Business Results - Management of Government Resources","0.000000","0.000000","0.000000","0.000000","Under target","Semi-Annual","","","Goal metrics will be measured in October 2012.","08/01/2012","18:32:26"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","2804","","Cycle Time: Number of days required to process year-end close of FSA and CCC books before submitting to OCFO","Days","113-Customer Results - Timeliness and Responsiveness","5.000000","5.000000","5.000000","5.000000","Under target","Semi-Annual","","","Goal metric will be measured in October 2012.","08/01/2012","18:32:26"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","2805","","Percentage of payments sent to Treasury directly out of NPS.","% of payments sent to Treasury directly from NPS","216-Technology - Effectiveness","0.000000","0.000000","","5.000000","Over target","Semi-Annual","","","Project was placed on hold by FSA Upper Management in October, 2012.","08/01/2012","18:32:26"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","2806","","Number of legacy payment systems sending payment through NPS for disbursement","Legacy disbursement systems paying thru NPS","216-Technology - Effectiveness","0.000000","0.000000","","2.000000","Over target","Semi-Annual","3.000000","Met","COPS was recently converted to disburse payments through NPS.   Additional disbursement systems will be migrated in April 2012.","08/01/2012","18:32:26"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","2807","","Number of CFMIS financial applications migrated off of obsolete hardware/software","# of financial systems migrated to web or COTS","216-Technology - Effectiveness","0.000000","0.000000","","4.000000","Over target","Semi-Annual","2.000000","Not Met","PCS and ACAS have both been migrated to the web.    Additional applications will follow prior to fiscal year end.","08/01/2012","18:32:26"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","2808","","Percentage of payment requests delayed by more than three business days due to technical issues with CFMIS financial software.","Pecrentage of Delayed Payment Requests","215-Technology - Reliability and Availability","1.000000","1.000000","","1.000000","Under target","Monthly","0.003900","Met","","08/01/2012","18:32:26"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","2809","","System Reponse time","seconds","113-Customer Results - Timeliness and Responsiveness","3.000000","3.000000","3.000000","3.000000","Under target","Semi-Annual","","","","08/01/2012","18:32:26"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","2810","","Accounting: Maintain unqualified financial statement audit opinion for FSA, FAS, and CCC.","pass/fail","201-Process and Activities - Financial","0.000000","0.000000","0.000000","0.000000","Over target","Monthly","","","","08/01/2012","18:32:26"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","2811","","Percentage of time the system is available to users during normal business hours","hours","215-Technology - Reliability and Availability","80.000000","99.000000","99.000000","99.000000","Under target","Semi-Annual","99.000000","Met","","08/01/2012","18:32:26"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","2812","","Application is certified and accredited.","pass/fail","205-Process and Activities - Security and Privacy","0.000000","0.000000","0.000000","0.000000","Over target","Semi-Annual","0.000000","Met","","08/01/2012","18:32:26"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","2813","","Expand use of the E-gov system 35% of the transactions submitted online for NOA","Percentage","101-Mission and Business Results - Services for Citizens","35.000000","35.000000","50.000000","35.000000","Over target","Semi-Annual","50.000000","Met","","08/01/2012","18:32:26"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","2940","","System Availability","Percentage","215-Technology - Reliability and Availability","98.000000","98.000000","98.000000","98.000000","Over target","Monthly","99.000000","Met","","08/01/2012","18:32:26"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","2941","","Customer Satisfaction","Percentage","111-Customer Results - Customer Benefit","95.000000","95.000000","86.000000","95.000000","Over target","Semi-Annual","86.000000","Not Met","","08/01/2012","18:32:26"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","2942","","Clean Audit Opinion (Unqualified Audit Opinion)","Percentage","102-Mission and Business Results - Support Delivery of Services","100.000000","100.000000","100.000000","100.000000","Over target","Semi-Annual","100.000000","Met","","08/01/2012","18:32:26"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","2943","","System software and hardware availability","Percentage","215-Technology - Reliability and Availability","98.000000","98.000000","98.000000","98.000000","Over target","Quarterly","98.000000","Met","","08/01/2012","18:32:26"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","2944","","Telecom Response performance","Percentage","213-Technology - Efficiency","99.500000","99.500000","99.500000","99.500000","Over target","Quarterly","99.500000","Met","Total number of responses within the stated timeframe divided by the total number of responses.","08/01/2012","18:32:26"
"005-000000065","224","005","Department of Agriculture","Enterprise Shared Services","3054","","Increase adoption of Site Studio","Sites","213-Technology - Efficiency","0.000000","1.000000","0.000000","2.000000","Over target","Monthly","","","","08/01/2012","19:42:40"
"005-000000065","224","005","Department of Agriculture","Enterprise Shared Services","3055","","Increase adoption of JBoss","Sites","213-Technology - Efficiency","0.000000","0.000000","0.000000","5.000000","Over target","Monthly","","","","08/01/2012","19:42:40"
"005-000000065","224","005","Department of Agriculture","Enterprise Shared Services","3056","","Increase adoption of Drupal","Sites","213-Technology - Efficiency","0.000000","0.000000","0.000000","5.000000","Over target","Monthly","","","","08/01/2012","19:42:40"
"005-000000065","224","005","Department of Agriculture","Enterprise Shared Services","3057","","Increase adoption of WordPress","Sites","213-Technology - Efficiency","0.000000","0.000000","0.000000","5.000000","Over target","Monthly","","","","08/01/2012","19:42:40"
"005-000000065","224","005","Department of Agriculture","Enterprise Shared Services","3058","","Return of Investment","percentage","102-Mission and Business Results - Support Delivery of Services","90.000000","95.000000","95.000000","98.000000","Over target","Monthly","","","","08/01/2012","19:42:40"
"005-000000065","224","005","Department of Agriculture","Enterprise Shared Services","3059","","Provide ESS Infrastructure services to customers in accordance with USDAs eGovernment vision of making services electronically available, any place, any time.","availability","203-Process and Activities - Cycle Time and Timeliness","95.000000","95.000000","95.000000","98.000000","Over target","Monthly","","","","08/01/2012","19:42:40"
"005-000000065","224","005","Department of Agriculture","Enterprise Shared Services","3060","","Improve ESS Change Management Process as percentage","percentage","203-Process and Activities - Cycle Time and Timeliness","25.000000","25.000000","25.000000","50.000000","Over target","Monthly","","","","08/01/2012","19:42:40"
"005-000000065","224","005","Department of Agriculture","Enterprise Shared Services","3061","","Improve ESS Incident Management Process as percentage","percentage","203-Process and Activities - Cycle Time and Timeliness","25.000000","25.000000","25.000000","50.000000","Over target","Monthly","","","","08/01/2012","19:42:40"
"005-000000065","224","005","Department of Agriculture","Enterprise Shared Services","3062","","Reduce Core %  of ESS","percentage","102-Mission and Business Results - Support Delivery of Services","100.000000","50.000000","50.000000","25.000000","Over target","Monthly","","","","08/01/2012","19:42:40"
"005-000000065","224","005","Department of Agriculture","Enterprise Shared Services","3063","","Increase total number of ES customers","Number of customers","111-Customer Results - Customer Benefit","130.000000","140.000000","160.000000","180.000000","Over target","Monthly","","","","08/01/2012","19:42:40"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","2848","","Percent of Production, Supply and Distribution (PSD) reports released on the date and time specified.","Percent Complete","113-Customer Results - Timeliness and Responsiveness","100.000000","100.000000","100.000000","100.000000","Over target","Monthly","100.000000","Met","","08/01/2012","18:32:26"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","2849","","Load balancing, server capacity and utilization maximized","Percent Complete","201-Process and Activities - Financial","0.000000","70.000000","70.000000","90.000000","Under target","Monthly","80.000000","Met","","08/01/2012","18:32:26"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","2850","","Number of Servers moved to the Enterprise Data Center","Percent complete","211-Technology - Technology Costs","0.000000","0.000000","0.000000","80.000000","Over target","Quarterly","80.000000","Met","","08/01/2012","18:32:26"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","2851","","Number of PSD reports released late due to network availability problems.","Number of Reports","101-Mission and Business Results - Services for Citizens","0.000000","0.000000","0.000000","0.000000","Over target","Monthly","0.000000","Met","","08/01/2012","18:32:26"
"005-000001729","226","005","Department of Agriculture","FAS Infrastructure, Office Automation, and Telecommunications (IOAT)","2852","","Number of Posts migrated to Department of State OpenNet","Percent complete","215-Technology - Reliability and Availability","0.000000","0.000000","30.000000","100.000000","Over target","Monthly","100.000000","Met","","08/01/2012","18:32:26"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3112","","Accounting: Maintain unqualified financial statement audit opinion","Unqualified Opinion","102-Mission and Business Results - Support Delivery of Services","100.000000","100.000000","100.000000","100.000000","Over target","Semi-Annual","100.000000","Met","","08/01/2012","16:22:28"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3113","","Cycle Time: Number of days required to process year-end close of USDA books","Number","201-Process and Activities - Financial","47.000000","40.000000","60.000000","47.000000","Under target","Semi-Annual","36.000000","Met","","08/01/2012","16:22:28"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3114","","Customer Satisfaction: Overall FMMI Satisfaction","Percentage","111-Customer Results - Customer Benefit","95.000000","90.000000","47.000000","95.000000","Over target","Semi-Annual","56.000000","Not Met","","08/01/2012","16:22:28"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3115","","Alerts for System Anomalies for application and Supporting Systems server capacity, server performance, and storage capacity for defined thresholds.","Number","214-Technology - Information and Data","1.000000","1.000000","1.000000","1.000000","Over target","Quarterly","1.000000","Met","","08/01/2012","16:22:28"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3116","","Help Desk Availiability","Percentage","212-Technology - Quality Assurance","99.500000","99.500000","99.500000","99.500000","Over target","Quarterly","99.500000","Met","","08/01/2012","16:22:28"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3117","","System Availability","Percentage","215-Technology - Reliability and Availability","90.000000","95.000000","99.000000","95.000000","Over target","Monthly","99.900000","Met","","08/01/2012","16:22:28"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1630","","Help Desk Response","Hours of Response Time","103-Mission and Business Results - Management of Government Resources","1.000000","1.000000","","1.000000","Under target","Quarterly","1.000000","Met","1 hour response time maintained.","08/01/2012","18:32:26"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1631","","System Uptime","Percentage of System Uptime","202-Process and Activities - Productivity","99.500000","99.000000","","99.000000","Over target","Monthly","99.900000","Met","Maintain 99% or better.","08/01/2012","18:32:26"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1632","","Deployment of new systems","Months for deployment of new systems","213-Technology - Efficiency","2.000000","2.000000","","2.000000","Under target","Semi-Annual","2.000000","Met","New systems deployed in 2 months.","08/01/2012","18:32:26"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1633","","Desktop Repairs","Hours of request processing time","111-Customer Results - Customer Benefit","24.000000","24.000000","","24.000000","Under target","Semi-Annual","24.000000","Met","Maintain 1 day standard or better.","08/01/2012","18:32:26"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1634","","User Timeouts","Number of user timeouts","215-Technology - Reliability and Availability","0.000000","0.000000","","0.000000","Under target","Semi-Annual","0.000000","Met","Maintain zero average timeouts.","08/01/2012","18:32:26"
"005-000001496","229","005","Department of Agriculture","FPA-P2 - Fire Program Analysis System - Phase 2","2876","","Continued use of FPA application in extent to which agencies use similar models, assumptions, and software to analyze fire program budget requests","number","102-Mission and Business Results - Support Delivery of Services","0.000000","5.000000","5.000000","5.000000","Over target","Quarterly","5.000000","Met","Qualitative measure of number of agencies using FPA for budget formulation","08/01/2012","18:32:26"
"005-000001496","229","005","Department of Agriculture","FPA-P2 - Fire Program Analysis System - Phase 2","2877","","% of unscheduled/ unplanned system down time of FPA infrastructure","percent","115-Customer Results - Service Accessibility","20.000000","10.000000","7.000000","5.000000","Over target","Quarterly","7.000000","Met","System downtime due to hardware / software failures","08/01/2012","18:32:26"
"005-000001496","229","005","Department of Agriculture","FPA-P2 - Fire Program Analysis System - Phase 2","2878","","Fully functioning application supports FPU- and national-level fire planning activities.","percent","102-Mission and Business Results - Support Delivery of Services","0.000000","50.000000","50.000000","100.000000","Over target","Quarterly","50.000000","Not Met","National level achieved in 2011/12 and targeted FPU level to be acheived in 2013","08/01/2012","18:32:26"
"005-000001496","229","005","Department of Agriculture","FPA-P2 - Fire Program Analysis System - Phase 2","2879","","Extent to which all FPUs were analyzed using the FPA application","percent","102-Mission and Business Results - Support Delivery of Services","75.000000","95.000000","98.000000","100.000000","Over target","Quarterly","98.000000","Not Met","Total of 136 Fire Planning Units (FPU) within the US","08/01/2012","18:32:26"
"005-000001496","229","005","Department of Agriculture","FPA-P2 - Fire Program Analysis System - Phase 2","2880","","Creation and maintenance of system enviornments to support business and technical needs","number","212-Technology - Quality Assurance","2.000000","3.000000","3.000000","4.000000","Over target","Quarterly","3.000000","Not Met","Environments: Staging; Production; pre- Production; Development","08/01/2012","18:32:26"
"005-000001496","229","005","Department of Agriculture","FPA-P2 - Fire Program Analysis System - Phase 2","2881","","Alignment with National Widlland Fire Enterprise Architecture and modernization blueprint","percent","214-Technology - Information and Data","0.000000","40.000000","50.000000","75.000000","Over target","Semi-Annual","50.000000","Not Met","Solution architecture, enterprise architecture and blueprint documentation (with records of decision)","08/01/2012","18:32:26"
"005-000001496","229","005","Department of Agriculture","FPA-P2 - Fire Program Analysis System - Phase 2","2882","","Automate back end data loading and process queing to permit government staff to manage routine server processes.","percent","213-Technology - Efficiency","20.000000","25.000000","30.000000","35.000000","Over target","Monthly","32.000000","Not Met","","08/01/2012","18:32:26"
"005-000000083","230","005","Department of Agriculture","Public Health Data Communications Infrastructure System (PHDCIS)","3043","","Security Patches Applied to Servers.","percent","103-Mission and Business Results - Management of Government Resources","98.500000","99.000000","100.000000","99.000000","Over target","Monthly","100.000000","Met","","08/01/2012","18:32:27"
"005-000000083","230","005","Department of Agriculture","Public Health Data Communications Infrastructure System (PHDCIS)","3044","","Security Patches Applied to Desktops and Laptops","percent","103-Mission and Business Results - Management of Government Resources","98.500000","99.000000","100.000000","99.000000","Over target","Monthly","100.000000","Met","","08/01/2012","18:32:27"
"005-000000083","230","005","Department of Agriculture","Public Health Data Communications Infrastructure System (PHDCIS)","3045","","For each service request that requires shipment from the Depot as an element of resolution, that shipment occurs within 2 business days.","percent","113-Customer Results - Timeliness and Responsiveness","95.000000","0.000000","0.000000","95.000000","Over target","Monthly","100.000000","Met","","08/01/2012","18:32:27"
"005-000000083","230","005","Department of Agriculture","Public Health Data Communications Infrastructure System (PHDCIS)","3046","","Tier 1 resolutions occur within 20 minutes.","percent","112-Customer Results - Service Coverage","90.000000","0.000000","0.000000","90.000000","Over target","Monthly","94.000000","Met","","08/01/2012","18:32:27"
"005-000000083","230","005","Department of Agriculture","Public Health Data Communications Infrastructure System (PHDCIS)","3047","","Tier 2 resolutions occur within 1 business day.","percent","112-Customer Results - Service Coverage","90.000000","0.000000","0.000000","90.000000","Over target","Monthly","92.000000","Met","","08/01/2012","18:32:27"
