"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Target 2015","Agency Baseline Capability","Target 2016","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Status","Latest Actual Result Met/Not Met (derived)","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",10453,"	081214120853","Percentage of electronic claims (526EZ)  submitted monthly via SEP only vs. total electronic & paper",Percentage,"2 - Strategic and Business Results",0,,0.022,"Over target",Monthly,"62291 - Improve Veterans Experience with VA",168606,"	1607137942",0.039,,Met,"End of June 2016 actuals",2016-07-12,n,2016-07-20,16:28:25
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",10455,"	081214130805","Number of claims completed monthly using SEP",Integer,"2 - Strategic and Business Results",2405,,2405,"Over target",Monthly,"62291 - Improve Veterans Experience with VA",168607,"	1607137932",3448,,Met,"End Of June 2016 actuals",2016-07-12,n,2016-07-20,16:28:25
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",10457,"	081214130835","Number of accredited Veteran advocates  on Stakeholder Enterprise Portal (SEP)",Integer,"1 - Customer Satisfaction (Results)",3500,,3500,"Over target",Monthly,"62291 - Improve Veterans Experience with VA",168608,"	1607137950",4015,,Met,"End of June 2016 actuals",2016-07-12,n,2016-07-20,16:28:25
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",10459,"	081214130840","ACSI score for SEP",Integer,"1 - Customer Satisfaction (Results)",61,,61,"Over target",Monthly,"1013 - Increase Customer Satisfaction through Improvements in Benefits and Services Delivery Policies, Procedures, and Interfaces",168609,"	1607137938",54,,"Not Met","End of June 2016 actuals",2016-07-12,n,2016-07-20,16:28:25
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",10461,"	081214130854","Number of VDC Dependency add/modify transactions (monthly)",Integer,"2 - Strategic and Business Results",6840,,13000,"Over target",Monthly,"62291 - Improve Veterans Experience with VA",168610,"	1607137940",14045,,Met,"End of June 2016 actuals",2016-07-12,n,2016-07-20,16:28:25
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",10463,"	081214140805","Number of eBenefits registered Users (total)",Integer,"1 - Customer Satisfaction (Results)",5000000,,5000000,"Over target",Monthly,"62291 - Improve Veterans Experience with VA",168611,"	1607137952",5814753,,Met,"End of June 2016",2016-07-12,n,2016-07-20,16:28:25
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",10465,"	081214140818","Availability of IAM Access Services supporting internal VA customers",Percentage,"1 - Customer Satisfaction (Results)",0.999,,0.999,"Over target",Monthly,"62291 - Improve Veterans Experience with VA",160098,"	1603075472",0.9526,,"Not Met","End of February 2016 actuals",2016-02-29,n,2016-07-20,16:28:25
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",10467,"	081214140824","Availability of eBenefits application to customers",Percentage,"1 - Customer Satisfaction (Results)",0.995,,0.995,"Over target",Monthly,"62291 - Improve Veterans Experience with VA",118963,"	1501122700",0.9875,,"Not Met","End of December 2014 actuals",2014-12-31,n,2016-07-20,16:28:25
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",10469,"	081214140825","ACSI score for eBenefits",Integer,"1 - Customer Satisfaction (Results)",63,,63,"Over target",Monthly,"1013 - Increase Customer Satisfaction through Improvements in Benefits and Services Delivery Policies, Procedures, and Interfaces",168612,"	1607137934",50,,"Not Met","End of June 2016 actuals",2016-07-12,n,2016-07-20,16:28:25
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",10471,"	081214140834","VAAFI availability to support external VA customers",Percentage,"1 - Customer Satisfaction (Results)",1,,1,"Over target",Monthly,"62291 - Improve Veterans Experience with VA",160100,"	1603075475",1,,Met,"End of February 2016 actauls",2016-02-29,n,2016-07-20,16:28:25
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",10473,"	081214140855","Percentage of electronic claims (526EZ)  submitted monthly via D2D only vs. total electronic & paper",Percentage,"2 - Strategic and Business Results",0.085,,0.085,"Over target",Monthly,"62291 - Improve Veterans Experience with VA",168613,"	1607137944",0.029,,"Not Met","End of June 2016 actuals",2016-07-12,n,2016-07-20,16:28:25
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",22273,"	090814150923","Actual increment costs do not exceed planned increment costs by more than 10%.",Percentage,"3 - Financial Performance",1.1,,1.1,"Under target",Quarterly,,123063,"	1501223152",0.9,,Met,"End of 1st Quarter FY15 actuals",2014-12-31,n,2016-07-20,16:28:25
029-555555110,8,"	029","Department of Veterans Affairs","Medical 21st Century TeleHealth",3617,"	11090908991","Total monthly census number of Veterans receiving Home Telehealth care per year.","Number of Home Telehealth patients","1 - Customer Satisfaction (Results)",96000,,96000,"Over target",Monthly,"1012 - Improve Veteran Wellness and Economic Security",171133,"	1608098269",85199,,"Not Met",N/A,2016-08-09,n,2016-08-18,16:16:11
029-555555110,8,"	029","Department of Veterans Affairs","Medical 21st Century TeleHealth",3618,"	11090908992","Total monthly census number of Veterans living in rural areas receiving Home Telehealth care per year.","Census number of rural Veterans","2 - Strategic and Business Results",37000,,37000,"Over target",Monthly,"1012 - Improve Veteran Wellness and Economic Security",171134,"	1608098271",29760,,"Not Met",N/A,2016-08-09,n,2016-08-18,16:16:11
029-555555110,8,"	029","Department of Veterans Affairs","Medical 21st Century TeleHealth",3619,"	11090908993","Total monthly number of Home Telehealth patient surveys received per year.","Number of surveys","2 - Strategic and Business Results",892887,,1400000,"Over target",Monthly,"1012 - Improve Veteran Wellness and Economic Security",171135,"	1608098274",1965162,,Met,N/A,2016-08-09,n,2016-08-18,16:16:11
029-555555110,8,"	029","Department of Veterans Affairs","Medical 21st Century TeleHealth",3620,"	11090908994","Percentage of Home Telehealth patients each month whose data is linked to VA systems per year.","Number of patients utilizing Telehealth systems","2 - Strategic and Business Results",92,,99.1,"Over target",Monthly,"1012 - Improve Veteran Wellness and Economic Security",171136,"	1608098276",99.8,,Met,N/A,2016-08-09,n,2016-08-18,16:16:11
029-555555110,8,"	029","Department of Veterans Affairs","Medical 21st Century TeleHealth",4437,"	11090908996","Number of Telereader studies read each month towards an annual target of 180,000.","Number of Telereader studies read","1 - Customer Satisfaction (Results)",251195,,251195,"Over target",Monthly,"1012 - Improve Veteran Wellness and Economic Security",171137,"	1608098278",27267,,"Not Met",N/A,2016-08-09,n,2016-08-18,16:16:11
029-555555110,8,"	029","Department of Veterans Affairs","Medical 21st Century TeleHealth",22227,"	090814140926","The metric measures the financial performance of the investment by awarding acquisitions within the original planned cost estimates as stated in the Budget Operating Plan for the investment. The metric will be measured by planned budget for the investment at the start of the fiscal year vs the end of fiscal year budget. ",Percentage,"3 - Financial Performance",0.01,,0.01,"Under target",Annual,,,,,,,,,n,2016-08-18,16:16:11
184-000000008,10,"	184","U.S. Agency for International Development","Procurement - Core",2653,SS-001,"System availability as actual uptime versus planned uptime over a full 24x7 schedule.  Excludes planned downtime for maintenance and upgrades.",Percentage,"1 - Customer Satisfaction (Results)",99,,99,"Over target",Monthly,"2286 - Enable diplomats and development professionals to influence and operate more efficiently, effectively, and collaboratively",171236,,99.59,,Met,,2016-07-31,n,2016-08-19,15:20:32
184-000000008,10,"	184","U.S. Agency for International Development","Procurement - Core",2654,SS-002,"Cost savings based on percentage of Agency Acquisition and Assistance transactions processed through GLAAS (as opposed to paper-based or other manual processes).  Excludes split-funded and other transaction types out of scope for GLAAS processing.",Percentage,"3 - Financial Performance",100,,100,"Over target",Semi-Annual,"2286 - Enable diplomats and development professionals to influence and operate more efficiently, effectively, and collaboratively",168772,,100,,Met,,2016-03-15,n,2016-08-19,15:20:32
184-000000008,10,"	184","U.S. Agency for International Development","Procurement - Core",2655,SS-003,"Responsive and consistent helpdesk service.",Number,"1 - Customer Satisfaction (Results)",4,,4,"Over target",Monthly,"428 - USAID Procurement Reform",13351,,100,,Met,,,y,2016-08-19,15:20:32
184-000000008,10,"	184","U.S. Agency for International Development","Procurement - Core",2656,SS-004,"Percentage of required regulatory updates received, tested, updated, and deployed in the system within required timeframes.",Percentage,"2 - Strategic and Business Results",100,,100,"Over target",Semi-Annual,"2286 - Enable diplomats and development professionals to influence and operate more efficiently, effectively, and collaboratively",168776,,100,,Met,,2016-03-15,n,2016-08-19,15:20:32
184-000000008,10,"	184","U.S. Agency for International Development","Procurement - Core",2657,SS-005,"Manual processing error potential based on a percentage of transactions external to GLAAS in manual processes versus total A&amp;A transactions.",Percentage,"2 - Strategic and Business Results",1,,1,"Under target",Semi-Annual,"2286 - Enable diplomats and development professionals to influence and operate more efficiently, effectively, and collaboratively",168739,,0,,Met,,2016-03-15,n,2016-08-19,15:20:32
184-000000008,10,"	184","U.S. Agency for International Development","Procurement - Core",22049,SS-006,"User satisfaction survey results for the GLAAS system",Number,"1 - Customer Satisfaction (Results)",4,,4,"Over target",Semi-Annual,"428 - USAID Procurement Reform",,,,,,,,y,2016-08-19,15:20:32
184-000000008,10,"	184","U.S. Agency for International Development","Procurement - Core",23741,SS-007,"Procurement Action Lead Time (PALT) Metric as the number of days for procurement actions to be processed from pre-PALT to Award.",Number,"2 - Strategic and Business Results",308,,308,"Under target",Monthly,"428 - USAID Procurement Reform",171233,,265,,Met,,2016-08-02,n,2016-08-19,15:20:32
184-000000008,10,"	184","U.S. Agency for International Development","Procurement - Core",23742,SS-008,"GLAAS Solution Center Customer Service Satisfaction as measured by a numerical score of 1-5.",Number,"1 - Customer Satisfaction (Results)",4,,4,"Over target",Monthly,"2286 - Enable diplomats and development professionals to influence and operate more efficiently, effectively, and collaboratively",171230,,4.427,,Met,,2016-07-31,n,2016-08-19,15:20:32
184-000000005,12,"	184","U.S. Agency for International Development","Billing and Accounting - Core",2843,USAT,"Average user satisfaction, as reported on anonymous surveys, on a scale of 1 to 5.","Number (1-5)","1 - Customer Satisfaction (Results)",3.9,,3.9,"Over target",Semi-Annual,,145021,,3.94,,Met,,2015-04-30,n,2016-08-18,18:36:24
184-000000005,12,"	184","U.S. Agency for International Development","Billing and Accounting - Core",2844,HD,"Percentage of help desk tickets resolved within 24 working hours. (Measured during standard USG working hours, not including tickets waiting on customer response or external third party.)",%,"2 - Strategic and Business Results",90,,90,"Over target",Monthly,,171179,,90.35,,Met,,2016-07-31,n,2016-08-18,18:36:24
184-000000005,12,"	184","U.S. Agency for International Development","Billing and Accounting - Core",2845,UPTIME,"Percentage of planned uptime during which Phoenix is available to users (data reflects cumulative performance for prior 12 months)",%,"2 - Strategic and Business Results",99,,99,"Over target",Monthly,"2286 - Enable diplomats and development professionals to influence and operate more efficiently, effectively, and collaboratively",171182,,98,,"Not Met",,2016-07-31,n,2016-08-18,18:36:24
184-000000005,12,"	184","U.S. Agency for International Development","Billing and Accounting - Core",2846,RPTS,"Percentage of days on which current financial reporting data is available, reflecting transactions through the prior day, or more recent. (data reflects cumulative performance for prior 12 months)",%,"2 - Strategic and Business Results",98,,98,"Over target",Monthly,"2286 - Enable diplomats and development professionals to influence and operate more efficiently, effectively, and collaboratively",171185,,98.13,,Met,,2016-07-31,n,2016-08-18,18:36:24
184-000000005,12,"	184","U.S. Agency for International Development","Billing and Accounting - Core",2847,INCRSP,"Percentage of critical incidents that are responded to within three hours.  (No critical incidents during the measurement period is assessed as 100%)",%,"3 - Financial Performance",100,,100,"Over target",Quarterly,,171188,,100,,Met,,2016-07-31,n,2016-08-18,18:36:24
007-000000049,13,"	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",4893,OP0049-4101,"Healthcare Effectiveness Data and Information Set (HEDIS)  Health Quality Index - Preventive Services. Measured by Index Points. Version 2 (Breast Cancer Screening, Cervical Cancer Screening, Well Child Visits).","Number - Index points","2 - Strategic and Business Results",12,,0,"Over target",Annual,,115003,OP0049-4101-104,12,,Met,,2014-09-30,y,2016-07-07,14:41:31
007-000000049,13,"	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",4899,OP0049-4104,"AHLTA end user Operational Availability (Ao) = Total Potential Up Time - Total Down Time. Measured by Service.",Percentage,"2 - Strategic and Business Results",98.8,,98.8,"Over target",Monthly,"72581 - Foster and encourage workforce initiatives that ensure employees are trained, engaged, and benefitting from a quality work life",168228,OP0049-4104-145,97.27,,"Not Met","Not met due to scheduled downtime at Incirlik to update Host Based Security System as well as unscheduled downtime due to DISA exceeding their MHS Infrastructure Configuration Coordination Board window.",2016-05-31,n,2016-07-07,14:41:31
007-000000049,13,"	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",4901,OP0049-4105,"Tier I primary errors seen by users of the AHLTA application measured in number of errors per encounter measured at sites with AHLTA 3.3 SP1.",Ratio,"1 - Customer Satisfaction (Results)",0,,0,"Under target",Quarterly,,114997,OP0049-4105-110,0.162,,Met,,2014-09-30,y,2016-07-07,14:41:31
007-000000049,13,"	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",6957,OP0049-411,"Actual Transactions for 25 Second Operational Requirements Document (ORD) criteria 90% of the time, using the measurement methodology in place for the MHS Strategic Plan Measures. (New measure as of November 2012).",Seconds,"2 - Strategic and Business Results",17,,16,"Under target",Monthly,"72581 - Foster and encourage workforce initiatives that ensure employees are trained, engaged, and benefitting from a quality work life",168230,OP0049-411-143,11.72,,Met,,2016-05-31,n,2016-07-07,14:41:31
007-000000049,13,"	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",7081,OP0049-412,"FY 13 new measurement: Actual Transactions for 2-6 Second Operational Requirements Document (ORD) criteria 90% of the time, using the measurement methodology in place for the MHS Strategic Plan Measures.",Time,"2 - Strategic and Business Results",0,,,"Under target",Monthly,,114999,OP0049-412-123,4.5,,"Not Met","Target Not Met. This change is not perceived by the end user.",2014-09-30,y,2016-07-07,14:41:31
007-000000049,13,"	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",9523,OP0049-5001,"Percentage of favorable ratings received in the Virtual Classroom Training survey for AHLTA for the ""Overall Class Rating .",Percentage,"1 - Customer Satisfaction (Results)",80,,80,"Over target",Annual,"72581 - Foster and encourage workforce initiatives that ensure employees are trained, engaged, and benefitting from a quality work life",153189,OP0049-5001-102,83.1,,Met,,2015-09-30,n,2016-07-07,14:41:31
007-000000049,13,"	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",22281,OP0049-5002,"Cost per new signed patient encounter.",Dollar,"3 - Financial Performance",3,,3,"Under target",Annual,"72581 - Foster and encourage workforce initiatives that ensure employees are trained, engaged, and benefitting from a quality work life",153194,OP0049-5002-101,2.3,,Met,,2015-09-30,n,2016-07-07,14:41:31
007-000000049,13,"	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",24544,OP0049-5003,"Healthcare Effectiveness Data and Information Set (HEDIS) Health Quality Index - Preventive Services. Measured by percentile associated with  Index Points. Version 3 (Breast Cancer Screening, Cervical Cancer Screening, Colorectal Cancer Screening).",Percentile,"2 - Strategic and Business Results",0,,86,"Over target",Annual,"72581 - Foster and encourage workforce initiatives that ensure employees are trained, engaged, and benefitting from a quality work life",,,,,,,,n,2016-07-07,14:41:31
007-000000186,16,"	007","Department of Defense","Navy Enterprise Resource Planning",4989,OP0186-4101,"Availability (Ao).",Percentage,"2 - Strategic and Business Results",99.5,,99.5,"Over target",Monthly,"72761 - Expand core capabilities in support of military interest",168253,OP0186-4101-137,99.82,,Met,,2016-07-06,n,2016-07-07,14:41:32
007-000000186,16,"	007","Department of Defense","Navy Enterprise Resource Planning",4991,OP0186-4102,"Mean Time Between Mission Critical Failure (MTBMCF).","Time:  Hours","2 - Strategic and Business Results",660,,660,"Over target",Quarterly,"72761 - Expand core capabilities in support of military interest",168258,OP0186-4102-138,1495.97,,Met,,2016-07-06,n,2016-07-07,14:41:32
007-000000186,16,"	007","Department of Defense","Navy Enterprise Resource Planning",4993,OP0186-4103,"Mean Time To Recover (MTTR).","Time: Hours","2 - Strategic and Business Results",8,,8,"Under target",Quarterly,"72761 - Expand core capabilities in support of military interest",168245,OP0186-4103-138,0.32,,Met,,2016-07-06,n,2016-07-07,14:41:32
007-000000186,16,"	007","Department of Defense","Navy Enterprise Resource Planning",4995,OP0186-4104,"Operation Failure Detection Rate (OFDR).",Percentage,"2 - Strategic and Business Results",85,,85,"Over target",Quarterly,"72761 - Expand core capabilities in support of military interest",168241,OP0186-4104-137,88.7,,Met,,2016-07-06,n,2016-07-07,14:41:32
007-000000186,16,"	007","Department of Defense","Navy Enterprise Resource Planning",4997,OP0186-4105,"Mean Data Assurance (MDA).",Percentage,"2 - Strategic and Business Results",99.98,,99.98,"Over target",Quarterly,"72761 - Expand core capabilities in support of military interest",168259,OP0186-4105-137,100,,Met,,2016-07-06,n,2016-07-07,14:41:32
007-000000186,16,"	007","Department of Defense","Navy Enterprise Resource Planning",4999,OP0186-4106,"Percent of Help Desk Service Level Targets (SLT) met.",Percentage,"1 - Customer Satisfaction (Results)",90,,90,"Over target",Quarterly,"72761 - Expand core capabilities in support of military interest",168248,OP0186-4106-139,98.05,,Met,,2016-07-06,n,2016-07-07,14:41:32
007-000000186,16,"	007","Department of Defense","Navy Enterprise Resource Planning",5001,OP0186-4107,"Help Desk Survey Results.","Points achieved (out of 5 possible)","1 - Customer Satisfaction (Results)",3,,3,"Over target",Semi-Annual,"72761 - Expand core capabilities in support of military interest",168251,OP0186-4107-139,4.46,,Met,,2016-07-06,n,2016-07-07,14:41:32
007-000000186,16,"	007","Department of Defense","Navy Enterprise Resource Planning",5003,OP0186-4108,"Overall Key User Transaction Response Time.","Time: Seconds","2 - Strategic and Business Results",10,,10,"Under target",Quarterly,"72761 - Expand core capabilities in support of military interest",168239,OP0186-4108-142,0.767,,Met,,2016-07-06,n,2016-07-07,14:41:32
007-000000186,16,"	007","Department of Defense","Navy Enterprise Resource Planning",22321,OP0186-4109,"TIER 1 CUSTOMER WAIT TIME.","Time: seconds","1 - Customer Satisfaction (Results)",90,,90,"Under target",Monthly,"72761 - Expand core capabilities in support of military interest",168236,OP0186-4109-120,6.2,,Met,,2016-07-06,n,2016-07-07,14:41:32
007-000000186,16,"	007","Department of Defense","Navy Enterprise Resource Planning",22323,OP0186-4110,"Meet OSD Obligation Annual Benchmarks (OMN).",Percentage,"3 - Financial Performance",100,,100,"Over target",Annual,"72761 - Expand core capabilities in support of military interest",,,,,,,,n,2016-07-07,14:41:32
007-000000510,25,"	007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT",5089,OP0510-4103,"Percentage of time data types processed on time.",Percentage,"2 - Strategic and Business Results",87,,87,"Over target",Quarterly,"72581 - Foster and encourage workforce initiatives that ensure employees are trained, engaged, and benefitting from a quality work life",164103,OP0510-4103-116,100,,Met,,2016-03-31,n,2016-07-07,14:41:34
007-000000510,25,"	007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT",5091,OP0510-4104,"M2 System Availability.",Percentage,"2 - Strategic and Business Results",98.5,,98.5,"Over target",Monthly,"72581 - Foster and encourage workforce initiatives that ensure employees are trained, engaged, and benefitting from a quality work life",168233,OP0510-4104-143,97.43,,"Not Met","Not Met - network issues, i.e., drops in connection attempts and system timeouts; intermittent login issues leading to internal server errors; and other network issues",2016-05-31,n,2016-07-07,14:41:34
007-000000510,25,"	007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT",5093,OP0510-4105,"Percentage decrease of costs per terabytes of data stored.","Dollar per terabytes of data stored","3 - Financial Performance",5743,,0,"Under target",Annual,,115089,OP0510-4105-104,5078,,Met,"Actual value better than target.",2014-09-30,y,2016-07-07,14:41:34
007-000000510,25,"	007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT",9531,OP0510-4106,"Total cost per user. Projects include MDR, M2, TED, and PEPR. Limit yearly increase to less than 50% of inflation rate per year.","Dollar per user","3 - Financial Performance",5342,,5395,"Under target",Annual,"72581 - Foster and encourage workforce initiatives that ensure employees are trained, engaged, and benefitting from a quality work life",153235,OP0510-4106-102,5414,,"Not Met","Increase in FY15 O&M (MDR & TED) costs by $766k or 0.02%",2015-09-30,n,2016-07-07,14:41:34
007-000000510,25,"	007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT",9533,OP0510-4107,"Average score of user satisfaction with new user M2 Wisdom training based on 3 training usefulness questions with a score range of 1-5, with 5 the best.

Replaces OP0510-4102.",Number,"1 - Customer Satisfaction (Results)",4,,4,"Over target",Quarterly,"72581 - Foster and encourage workforce initiatives that ensure employees are trained, engaged, and benefitting from a quality work life",164102,OP0510-4107-110,4.82,,Met,,2016-03-31,n,2016-07-07,14:41:34
007-000000510,25,"	007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT",24556,OP0510-4108,"Timeliness of TED transmission files that are received prior to daily cutoff time - initiate production processing prior to the next business day, when required financial files have been received, and other dependencies resolved.",Percentage,"2 - Strategic and Business Results",0,,95,"Over target",Quarterly,"72581 - Foster and encourage workforce initiatives that ensure employees are trained, engaged, and benefitting from a quality work life",164107,OP0510-4108-102,100,,Met,,2016-03-31,n,2016-07-07,14:41:34
007-000000594,26,"	007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY",22453,OP0594-6000,"Not Applicable 1.",none,"1 - Customer Satisfaction (Results)",0,,0,"Over target",Monthly,"72591 - Ensure that we maintain a highly-skilled military and civilian workforce shaped for today's and tomorrow's needs.",,,,,,,,n,2016-07-07,14:41:36
007-000000594,26,"	007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY",22455,OP0594-6001,"Not Applicable 2.",none,"1 - Customer Satisfaction (Results)",0,,0,"Over target",Annual,"72591 - Ensure that we maintain a highly-skilled military and civilian workforce shaped for today's and tomorrow's needs.",,,,,,,,n,2016-07-07,14:41:36
007-000000594,26,"	007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY",22457,OP0594-6002,"Not Applicable 3.",none,"1 - Customer Satisfaction (Results)",0,,0,"Over target",Annual,"72591 - Ensure that we maintain a highly-skilled military and civilian workforce shaped for today's and tomorrow's needs.",,,,,,,,n,2016-07-07,14:41:36
007-000000594,26,"	007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY",22459,OP0594-6003,"Not Applicable 4.",none,"3 - Financial Performance",0,,0,"Over target",Annual,"72591 - Ensure that we maintain a highly-skilled military and civilian workforce shaped for today's and tomorrow's needs.",,,,,,,,n,2016-07-07,14:41:36
007-000000594,26,"	007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY",22461,OP0594-6004,"Not Applicable 5.",none,"2 - Strategic and Business Results",0,,0,"Over target",Annual,"72591 - Ensure that we maintain a highly-skilled military and civilian workforce shaped for today's and tomorrow's needs.",,,,,,,,n,2016-07-07,14:41:36
007-000000594,26,"	007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY",24561,OP0594-6005,"Not Applicable 6.",None,"2 - Strategic and Business Results",0,,0,"Over target",Annual,"72591 - Ensure that we maintain a highly-skilled military and civilian workforce shaped for today's and tomorrow's needs.",,,,,,,,n,2016-07-07,14:41:36
