"Performance Gov ID","Agency Code","Agency Name",Description,"ASO / APG"
1099,"	006","Department of Commerce","Increase the capacity of U.S. regional economies to accelerate the production of value-added goods and services by providing services to and investments in businesses and communities. (NIST, EDA, MBDA, PTO)",ASO
1100,"	006","Department of Commerce","Strengthen the Nation's digital economy by championing policies that will maximize the potential of the Internet, expanding broadband capacity, and enhancing cybersecurity to provide a robust environment for innovation. (NIST, NTIA, USPTO)",ASO
1101,"	006","Department of Commerce","Increase opportunities for U.S. companies by opening markets globally (ITA, USPTO, NTIA, NOAA)",ASO
1102,"	006","Department of Commerce","Increase U.S. exports by broadening and deepening the U.S. exporter base (ITA, BIS, ESA, MBDA, EDA)",ASO
1103,"	006","Department of Commerce","Increase high-impact inward foreign direct investment in the United States (ITA, ESA, EDA)",ASO
1428,"	006","Department of Commerce","Companies assisted by Global Markets that achieve export objectives",APG
1842,"	006","Department of Commerce","Strengthen fair competition in international trade for U.S. firms and workers by addressing and resolving foreign unfair trade practices and enforcing international trade agreements (ITA)",ASO
1843,"	006","Department of Commerce","Accelerate the development of industry-led skills strategies that result in a productive workforce for employers and high-quality jobs for workers. (NIST, EDA, ESA, Census)",ASO
1844,"	006","Department of Commerce","Accelerate growth of innovation-intensive economic sectors by building public and private capacity to invent, improve, and commercialize new products and services. (NIST, USPTO, EDA)",ASO
1846,"	006","Department of Commerce"," Strengthen organizational capabilities to drive customer-focused, outcomes-driven mission performance. (OS, All Bureaus)",ASO
35862,"	006","Department of Commerce","Companies assisted by Global Markets that achieve export objectives",APG
40362,"	006","Department of Commerce","Improve Patent Processing Time and Quality",APG
45412,"	006","Department of Commerce","Improve Forecasting Accuracy and Lead Times for High-Impact and Extreme Weather",APG
47911,"	006","Department of Commerce","Advance technologies put into practice",APG
440,"	007","Department of Defense","Improve energy performance.",APG
444,"	007","Department of Defense","DoD Financial Statement Audit Readiness",APG
480,"	007","Department of Defense","Reform the DoD acquisition process",APG
767,"	007","Department of Defense","Service members separating from Active Duty are prepared for the transition to civilian life.",ASO
1793,"	007","Department of Defense","Transition to Veterans",APG
72171,"	007","Department of Defense","Transition to Veterans",APG
72221,"	007","Department of Defense","Reform the Acquisition Process",APG
72241,"	007","Department of Defense","Financial Statement Audit Readiness",APG
72281,"	007","Department of Defense","Improve Energy Performance",APG
72301,"	007","Department of Defense","DOD Institutional Reform",APG
72311,"	007","Department of Defense","Refocus counterterrorism efforts towards building partnership capacity while retaining robust capabilities for direct action.",ASO
72321,"	007","Department of Defense"," Maintain a sufficient missile defense capability to protect the U.S. and establish partnerships with our friends and allies to support their efforts to provide defense from missile attacks.",ASO
72421,"	007","Department of Defense"," Enhance the effectiveness of the Department's support to civil authorities.",ASO
72511,"	007","Department of Defense","Rebalance the Joint Force for a broad spectrum of conflict.",ASO
72541,"	007","Department of Defense","Deliver, position, and sustain forces from any point of origin to any point of employment.",ASO
72551,"	007","Department of Defense","Remain vigilant regarding national vulnerabilities to known and emergent military threats posed by internal and external agents",ASO
72581,"	007","Department of Defense","Foster and encourage workforce initiatives that ensure employees are trained, engaged, and benefitting from a quality work life",ASO
72591,"	007","Department of Defense","Ensure that we maintain a highly-skilled military and civilian workforce shaped for today's and tomorrow's needs.",ASO
72601,"	007","Department of Defense","Preserve investments to maintain our decisive technological superiority.",ASO
72611,"	007","Department of Defense"," Seek innovative approaches to improve cyber capability against growing threats.",ASO
72751,"	007","Department of Defense","Improve acquisition processes from requirements definition to execution phase and through lifecycle enhancements, to acquire and sustain military-unique and commercial items.",ASO
72761,"	007","Department of Defense","Expand core capabilities in support of military interest",ASO
72871,"	007","Department of Defense","Achieve efficiencies and effectiveness to redirect resources to direct support of combat, combat support, and combat service support elements of the DoD.",ASO
72881,"	007","Department of Defense","Improve financial processes, controls, and information via audit readiness.",ASO
72891,"	007","Department of Defense","Establish an enterprise framework for valuation and accountability of results, outcomes, cost, and risk",ASO
368,"	009","Department of Health and Human Services","Reduce foodborne illness in the population.",APG
372,"	009","Department of Health and Human Services","Reduce combustible tobacco use",APG
374,"	009","Department of Health and Human Services","Improve patient safety.",APG
432,"	009","Department of Health and Human Services","Improve the quality of early childhood education.",APG
472,"	009","Department of Health and Human Services","Improve health care through meaningful use of health information technology.",APG
669,"	009","Department of Health and Human Services","Make coverage more secure for those who have insurance, and extend affordable coverage to the uninsured",ASO
670,"	009","Department of Health and Human Services","Improve healthcare quality and patient safety",ASO
671,"	009","Department of Health and Human Services","Emphasize primary and preventive care linked with community prevention services",ASO
673,"	009","Department of Health and Human Services","Reduce the growth of healthcare costs while promoting high-value, effective care",ASO
674,"	009","Department of Health and Human Services","Ensure access to quality, culturally competent care, including long-term services and supports, for vulnerable populations",ASO
675,"	009","Department of Health and Human Services","Improve health care and population health through meaningful use of health information technology",ASO
677,"	009","Department of Health and Human Services","Accelerate the process of scientific discovery to improve health",ASO
678,"	009","Department of Health and Human Services","Foster and apply innovative solutions to health, public health, and human services challenges",ASO
679,"	009","Department of Health and Human Services","Advance the regulatory sciences to enhance food safety, improve medical product development, and support tobacco regulation",ASO
680,"	009","Department of Health and Human Services","Increase our understanding of what works in public health and human service practice",ASO
681,"	009","Department of Health and Human Services","Promote the safety, well-being, resilience and healthy development of children and youth",ASO
682,"	009","Department of Health and Human Services","Promote economic and social well-being for individuals, families and communities",ASO
683,"	009","Department of Health and Human Services","Improve the accessibility and quality of supportive services for people with disabilities and older adults",ASO
684,"	009","Department of Health and Human Services","Promote prevention and wellness across the lifespan",ASO
685,"	009","Department of Health and Human Services","Reduce the occurrence of infectious diseases",ASO
686,"	009","Department of Health and Human Services","Protect Americans' health and safety during emergencies, and foster resilience to withstand and respond to emergencies",ASO
687,"	009","Department of Health and Human Services","Strengthen program integrity and responsible stewardship by reducing improper payments, fighting fraud, and integrating financial, performance, and risk management",ASO
689,"	009","Department of Health and Human Services","Enhance access to and use of data to improve HHS programs and support improvements in the health and well-being of the American people",ASO
690,"	009","Department of Health and Human Services","Improve HHS environmental, energy, and economic performance to promote sustainability",ASO
691,"	009","Department of Health and Human Services","Invest in the HHS workforce to help meet America's health and human service needs",ASO
695,"	009","Department of Health and Human Services","Improve laboratory, surveillance, and epidemiology capacity",ASO
47131,"	009","Department of Health and Human Services","Improve the quality of early childhood programs for low-income children",APG
47171,"	009","Department of Health and Human Services","Shift Medicare health care payments from volume to value",APG
47191,"	009","Department of Health and Human Services","Improve the timeliness of initiation into treatment for individuals with serious mental illness.",APG
47211,"	009","Department of Health and Human Services","Combating Antibiotic-Resistant Bacteria (CARB)",APG
47231,"	009","Department of Health and Human Services","Reduce opioid-related morbidity and mortality",APG
63371,"	009","Department of Health and Human Services","Reduce the annual adult combustible tobacco consumption in the United States.",APG
66781,"	009","Department of Health and Human Services","Reduce Foodborne Illness",APG
382,"	010","Department of the Interior","Renewable Energy Resource Development",APG
386,"	010","Department of the Interior","Safer and More Resilient Communities in Indian Country",APG
388,"	010","Department of the Interior","Water conservation",APG
390,"	010","Department of the Interior","Engaging the Next Generation",APG
474,"	010","Department of the Interior","Oil and gas resource management",APG
1251,"	010","Department of the Interior","Improve land and water health by managing wetlands, uplands, and riparian areas",ASO
1252,"	010","Department of the Interior","Protect cultural and historical assets and related resources",ASO
1255,"	010","Department of the Interior","Sustain fish, wildlife, and plant species",ASO
1258,"	010","Department of the Interior","Ensure Environmental Compliance and Safety of Energy Development Activities",ASO
1259,"	010","Department of the Interior","Develop Renewable Energy Potential",ASO
1260,"	010","Department of the Interior","Manage Conventional Energy Development",ASO
1261,"	010","Department of the Interior","Account for Energy Revenue",ASO
1264,"	010","Department of the Interior","Improve Reliability of Water Delivery",ASO
1267,"	010","Department of the Interior","Manage Timber and Forest Product Resources",ASO
1268,"	010","Department of the Interior","Provide for Sustainable Forage and Grazing",ASO
1269,"	010","Department of the Interior","Manage Non-Energy Mineral Development",ASO
1272,"	010","Department of the Interior","Fulfill Fiduciary Trust",ASO
1275,"	010","Department of the Interior","Create Economic Opportunity (Tribal Nations)",ASO
1276,"	010","Department of the Interior","Strengthen Indian Education",ASO
1277,"	010","Department of the Interior","Make Communities Safer",ASO
1281,"	010","Department of the Interior","Improve Quality of Life",ASO
1282,"	010","Department of the Interior","Create Economic Opportunity (Insular Areas)",ASO
1283,"	010","Department of the Interior","Promote Efficient and Effective Governance",ASO
1291,"	010","Department of the Interior","Monitor and Assess Water Availability and Quality",ASO
1292,"	010","Department of the Interior","Assess National and International Energy and Mineral Resources",ASO
1294,"	010","Department of the Interior","Monitor and Assess Natural Hazards Risk and Resilience",ASO
1298,"	010","Department of the Interior","Generate Geologic Maps",ASO
1340,"	010","Department of the Interior","Provide environmental health science to guide decision making",ASO
1341,"	010","Department of the Interior","Identify and predict ecosystem and land use change",ASO
1342,"	010","Department of the Interior","Assess and forecast climate change and its effects.",ASO
1343,"	010","Department of the Interior","Manage wildland fire for landscape resiliency, strengthen the ability of communities to protect against fire, and provide for public and firefighter safety in wildfire response",ASO
1804,"	010","Department of the Interior","Support self-governance and self-determination",ASO
1808,"	010","Department of the Interior","Better ensure the future of watersheds against the impact of climate change",ASO
1810,"	010","Department of the Interior","Expand Water Conservation Capabilities",ASO
1812,"	010","Department of the Interior","Protect Tribal Water Rights",ASO
1813,"	010","Department of the Interior","Improve Infrastructure and Operational Efficiency of Tribal Water Facilities",ASO
1815,"	010","Department of the Interior","Ensure the use of landscape-level capabilities and mitigation actions",ASO
1828,"	010","Department of the Interior","Enhance the enjoyment and appreciation of our natural and cultural heritage",ASO
1848,"	010","Department of the Interior","Climate Change Adaptation",APG
2979,"	010","Department of the Interior","Provide conservation work and training opportunities for young people",ASO
44542,"	010","Department of the Interior","Climate Change Adaptation",APG
44642,"	010","Department of the Interior","Renewable Energy Resource Development",APG
44822,"	010","Department of the Interior","Water Conservation and Supply Enhancement",APG
44862,"	010","Department of the Interior","Safer and More Resilient Communities in Indian Country",APG
44902,"	010","Department of the Interior","Engaging the Next Generation",APG
45262,"	010","Department of the Interior","Oil and gas resource management",APG
45372,"	010","Department of the Interior","Monarch Butterfly and Other Pollinators Conservation",APG
45392,"	010","Department of the Interior","Enhancing Indian Education",APG
462,"	011","Department of Justice","National Security",APG
464,"	011","Department of Justice","Violent Crime",APG
466,"	011","Department of Justice","Vulnerable People",APG
478,"	011","Department of Justice","Financial and Healthcare Fraud",APG
1320,"	011","Department of Justice","Prevent, disrupt, and defeat terrorist operations before they occur",ASO
1321,"	011","Department of Justice","Prosecute those involved in terrorist acts",ASO
1322,"	011","Department of Justice","Investigate and prosecute espionage activity against the United States",ASO
1323,"	011","Department of Justice","Combat cyber-based threats and attacks",ASO
1325,"	011","Department of Justice","Combat the threat, incidence, and prevalence of violent crime",ASO
1326,"	011","Department of Justice","Prevent and intervene in crimes against vulnerable populations",ASO
1327,"	011","Department of Justice","Combat the threat, trafficking, and use of illegal drugs and the diversion of licit drugs",ASO
1328,"	011","Department of Justice","Investigate and prosecute corruption, economic crimes, and transnational organized crime",ASO
1329,"	011","Department of Justice","Promote and protect American civil rights",ASO
1330,"	011","Department of Justice","Protect the federal fisc and defend the interests of the United States",ASO
1331,"	011","Department of Justice","Promote and strengthen relationships and strategies for the administration of justice",ASO
1332,"	011","Department of Justice","Protect judges, witnesses, and other participants in federal proceedings",ASO
1333,"	011","Department of Justice","Provide safe, secure, humane, and cost effective confinement and transportation of federal detainees and inmates",ASO
1334,"	011","Department of Justice","Apprehend fugitives to ensure their appearance for federal judicial proceedings or confinement",ASO
1335,"	011","Department of Justice","Reform and strengthen America's criminal justice system",ASO
1336,"	011","Department of Justice","Adjudicate all immigration cases",ASO
1390,"	011","Department of Justice","Prevent and respond to genocide and mass atrocities",ASO
1391,"	011","Department of Justice","Strengthen the government-to-government relationship between tribes and the United States",ASO
71251,"	011","Department of Justice","Fraud and Public Corruption",APG
71501,"	011","Department of Justice","National Security",APG
71561,"	011","Department of Justice","Enhancing Public Safety",APG
71711,"	011","Department of Justice","Combating Cyber Threats",APG
72571,"	011","Department of Justice","Vulnerable People",APG
314,"	012","Department of Labor","Secure safe and healthy workplaces, particularly in high-risk industries.",APG
318,"	012","Department of Labor","Increase the percent of participants who receive intensive services provided by Disabled Veterans Outreach Program specialists, with a focus on improving employment outcomes for veterans.",APG
897,"	012","Department of Labor","Secure wages and overtime",ASO
898,"	012","Department of Labor","Advance employment opportunities for U.S. workers in 21st century demand sectors and occupations using proven training models and through increased employer engagement and partnerships.",ASO
900,"	012","Department of Labor","Break down barriers to fair and diverse workplaces and narrow wage and income inequality",ASO
903,"	012","Department of Labor","Provide marketable skills and knowledge to increase workers' incomes and help them overcome barriers to the middle class through partnerships among business, education, labor, community organizations, and the workforce system",ASO
904,"	012","Department of Labor","Protect workers' rights",ASO
906,"	012","Department of Labor","Provide income support when work is impossible or unavailable and facilitate return to work.",ASO
907,"	012","Department of Labor","Improve health benefits and retirement security for all workers",ASO
909,"	012","Department of Labor","Provide sound and impartial information on labor market activity, working conditions, and price changes in the economy for decision making, including support for the formulation of economic and social policy affecting virtually all Americans",ASO
1319,"	012","Department of Labor","Advance workers' rights, acceptable work conditions, and livelihoods, particularly for the world's vulnerable populations",ASO
2116,"	012","Department of Labor","Secure safe and healthy workplaces, particularly in high-risk industries",ASO
3352,"	012","Department of Labor","Improve opportunities for America's workers through attainment of industry-recognized credentials that employers demand by 10 percent.",APG
36812,"	012","Department of Labor","Secure safe and healthy workplaces, particularly in high-risk industries.",APG
37072,"	012","Department of Labor","Improve employment outcomes for veterans",APG
37272,"	012","Department of Labor","Expand Registered Apprenticeships",APG
420,"	014","Department of State","Climate Change",APG
424,"	014","Department of State","Excellence in Consular Service Delivery",APG
428,"	014","Department of State","USAID Procurement Reform",APG
434,"	014","Department of State","Food Security",APG
436,"	014","Department of State","Global Health",APG
1841,"	014","Department of State","Expand access to future markets, investment, and trade",ASO
2109,"	014","Department of State","Building on strong domestic action, lead international actions to combat climate change",ASO
2110,"	014","Department of State","Promote Energy Security, Access to Clean Energy, and the Transition to a Cleaner Global Economy",ASO
2112,"	014","Department of State","Encourage democratic governance as a force for stability, peace, and prosperity",ASO
2113,"	014","Department of State","Promote and protect human rights through constructive bilateral and multilateral engagement and targeted assistance",ASO
2114,"	014","Department of State","Strengthen and protect civil society, recognizing the essential role of local capacity in advancing democratic governance and human rights",ASO
2117,"	014","Department of State","Promote Inclusive Economic Growth, Reduce Extreme Poverty, and Improve Food Security",ASO
2279,"	014","Department of State","Build a New Stability in the Middle East and North Africa",ASO
2282,"	014","Department of State","Rebalance to the Asia-Pacific through Enhanced Diplomacy, Security Cooperation and Development",ASO
2283,"	014","Department of State","Prevent and respond to crises and conflict, tackle sources of fragility, and provide humanitarian assistance to those in need",ASO
2284,"	014","Department of State","Overcome Global Security Challenges through Diplomatic Engagement and Development Cooperation",ASO
2285,"	014","Department of State","Strengthen America's Efforts to Combat Global Health Challenges",ASO
2286,"	014","Department of State","Enable diplomats and development professionals to influence and operate more efficiently, effectively, and collaboratively",ASO
35702,"	014","Department of State","Food Security",APG
42492,"	014","Department of State","Excellence in Consular Service Delivery",APG
45432,"	014","Department of State","Outreach to U.S. Business",APG
50681,"	014","Department of State","Global Health",APG
51941,"	014","Department of State","Climate Change",APG
290,"	015","Department of the Treasury","Increasing Self-service Options for the Taxpayers",APG
929,"	015","Department of the Treasury","Complete implementation of financial regulatory reform initiatives, continue monitoring capital markets, and address threats to stability",ASO
930,"	015","Department of the Treasury","Wind down emergency financial crisis response programs",ASO
1109,"	015","Department of the Treasury","Promote savings and increased access to credit and affordable housing options",ASO
1110,"	015","Department of the Treasury","Facilitate commerce by providing trusted and secure U.S. currency, products, and services for use by the public",ASO
1114,"	015","Department of the Treasury","Protect global economic and financial stability and press for market-determined exchange rates",ASO
1116,"	015","Department of the Treasury","Provide technical assistance to developing countries working to improve public financial management and strengthen their financial systems",ASO
1117,"	015","Department of the Treasury","Promote free trade, open markets, and foreign investment opportunities",ASO
1120,"	015","Department of the Treasury","Advance U.S. economic, financial, and national security goals by leveraging multilateral mechanisms",ASO
1126,"	015","Department of the Treasury","Improve the disbursement and collection of federal funds and reduce improper payments made by the U.S. government",ASO
1130,"	015","Department of the Treasury","Pursue tax reform, implement the Patient Protection and Affordable Care Act and Foreign Account Tax Compliance Act, and improve the execution of the tax code",ASO
1131,"	015","Department of the Treasury","Improve the efficiency and transparency of federal financial management and government-wide accounting",ASO
1133,"	015","Department of the Treasury","Identify priority threats to the financial system using intelligence analysis and outreach to the financial sector",ASO
1134,"	015","Department of the Treasury","Protect the integrity of the financial system by implementing, promoting, and enforcing anti-money laundering and counterterrorism financing standards",ASO
1136,"	015","Department of the Treasury","Develop, implement, and enforce sanctions and other targeted financial measures",ASO
1138,"	015","Department of the Treasury","Improve the cybersecurity of our nation's financial sector",ASO
1142,"	015","Department of the Treasury","Increase workforce engagement, performance, and diversity by instilling excellence, innovation, and inclusion in Treasury's organizational culture and business practices",ASO
1143,"	015","Department of the Treasury","Support effective, data-driven decision-making and encourage transparency through intelligent gathering, analysis, sharing, use, and dissemination of information",ASO
1144,"	015","Department of the Treasury","Promote efficient use of resources through shared services, strategic sourcing, streamlined business processes, and accountability",ASO
1145,"	015","Department of the Treasury","Create a culture of service through relentless pursuit of customer value",ASO
1176,"	015","Department of the Treasury","Focus Enforcement on High-Priority Threats using Pro-Yes Analysis",APG
41742,"	015","Department of the Treasury","Financial Transparency",APG
41762,"	015","Department of the Treasury","Increase Secure Self-Service Options for Taxpayers",APG
1037,"	016","Social Security Administration","Maintain System Performance and the Continuity of IT Services",ASO
1038,"	016","Social Security Administration","Enhance and Execute Plans to Modernize Our System",ASO
1039,"	016","Social Security Administration","Incorporate Innovative Advances in Service Delivery",ASO
1040,"	016","Social Security Administration","Continuously Strengthen Our Cybersecurity Program",ASO
1041,"	016","Social Security Administration","Attract and Acquire a Talented and Diverse Workforce that Reflects the Public We Serve",ASO
1042,"	016","Social Security Administration","Strengthen the Competency, Agility, and Performance of Our Workforce to Align with the Needs of the Public",ASO
1043,"	016","Social Security Administration","Foster an Inclusive Culture that Promotes Employee Well-Being, Innovation, and Engagement",ASO
1044,"	016","Social Security Administration","Enhance Planning and Alignment of Human Resources to Address Current and Future Public Service Needs",ASO
1045,"	016","Social Security Administration","Improve the Quality, Consistency, and Timeliness of Our Disability Decisions",ASO
1046,"	016","Social Security Administration","Maximize Efficiencies Throughout the Disability Program",ASO
1047,"	016","Social Security Administration","Enhance Employment Support Programs and Create New Opportunities for Returning Beneficiaries to Work",ASO
1049,"	016","Social Security Administration","Transform the Way We Record Earnings to Enhance Data Accuracy",ASO
1050,"	016","Social Security Administration","Protect the Public's Data and Provide Secure Online Services",ASO
1051,"	016","Social Security Administration","Increase Payment Accuracy",ASO
1053,"	016","Social Security Administration","Develop and Increase the Use of Self-Service Options",ASO
1056,"	016","Social Security Administration","Partner with Other Agencies and Organizations to Improve Customers' Experience and Align with the Administration's One-Government Approach",ASO
1057,"	016","Social Security Administration","Enhance the Customer Experience by Completing Customers' Business at the First Point of Contact",ASO
1084,"	016","Social Security Administration","Improve access to our services by increasing the number of customers who complete their business with us online.",APG
1086,"	016","Social Security Administration","Reduce the improper payment rate made under the Supplemental Security Income (SSI) program.",APG
1088,"	016","Social Security Administration","Expand the use of video hearings.  We will deliver a world-class customer experience by expanding the use of video technology to hold hearings.",APG
1368,"	016","Social Security Administration","Provide the public with access to personalized information by increasing the number of established my Social Security accounts.",APG
3128,"	016","Social Security Administration","Evaluate Our Physical Footprint to Incorporate Improved Service Options",ASO
37302,"	016","Social Security Administration","Improve customer service and convenience by increasing online transactions",APG
37322,"	016","Social Security Administration","Improve Supplemental Security Income payment accuracy",APG
37342,"	016","Social Security Administration","Reduce the disability hearings backlog",APG
37362,"	016","Social Security Administration","Increase customer satisfaction with our services",APG
620,"	018","Department of Education","Access and Affordability",ASO
621,"	018","Department of Education",Quality,ASO
622,"	018","Department of Education",Completion,ASO
623,"	018","Department of Education","Standards and Assessments",ASO
624,"	018","Department of Education","Effective Teachers and Strong Leaders",ASO
625,"	018","Department of Education","School Climate and Community",ASO
626,"	018","Department of Education","Turnaround Schools and Close Achievement Gaps",ASO
627,"	018","Department of Education","STEM Teaching and Learning",ASO
628,"	018","Department of Education","Access to High-Quality Programs and Services",ASO
629,"	018","Department of Education","Effective Workforce",ASO
630,"	018","Department of Education","Measuring Progress, Outcomes, and Readiness",ASO
631,"	018","Department of Education","Equitable Educational Opportunities",ASO
632,"	018","Department of Education","Civil Rights Compliance",ASO
633,"	018","Department of Education","Data Systems and Transparency",ASO
634,"	018","Department of Education","Research, Evaluation, and Use of Evidence",ASO
636,"	018","Department of Education","Technology and Innovation",ASO
637,"	018","Department of Education","Effective Workforce",ASO
638,"	018","Department of Education","Risk Management",ASO
639,"	018","Department of Education","Implementation and Support",ASO
640,"	018","Department of Education","Productivity and Performance Management",ASO
1154,"	018","Department of Education","Science, Technology, Engineering, and Mathematics Pathways",ASO
1383,"	018","Department of Education",Privacy,ASO
4231,"	018","Department of Education","Support implementation of college- and career-ready standards and assessments",APG
4281,"	018","Department of Education","Improve learning by ensuring that more students have effective teachers and leaders",APG
4311,"	018","Department of Education","Support comprehensive early learning assessment systems",APG
5542,"	018","Department of Education","Increase College Degree Attainment in America",APG
5562,"	018","Department of Education","Ensure equitable educational opportunities",APG
5582,"	018","Department of Education","Enable evidence-based decision making",APG
40202,"	018","Department of Education","Support implementation of college- and career-ready standards and assessments",APG
40212,"	018","Department of Education","Increase College Degree Attainment in America",APG
40272,"	018","Department of Education","Improve learning by ensuring that more students have effective teachers and leaders",APG
40282,"	018","Department of Education","Ensure equitable educational opportunities",APG
40292,"	018","Department of Education","Enable evidence-based decision making",APG
40322,"	018","Department of Education","Increase enrollment in high-quality state preschool programs",APG
71231,"	018","Department of Education","Federal Student Aid Transparency",APG
3461,"	019","Department of Energy","Restructure the relationship and interactions between the Department and the national laboratories and sites",APG
3511,"	019","Department of Energy","Increase the focus on efficient and effective management across the DOE enterprise and improve performance in the areas of environmental cleanup, construction project management, and cybersecurity.",APG
3722,"	019","Department of Energy","Continue to make progress toward securing the most vulnerable nuclear materials worldwide.",APG
3901,"	019","Department of Energy","Maintain and modernize the U.S. nuclear weapons stockpile and dismantle excess nuclear weapons to meet the national security requirements, as assigned by the President, through the Nuclear Posture Review.",APG
5022,"	019","Department of Energy","Support and conduct basic research to deliver scientific breakthroughs and extend our knowledge of the natural world by capitalizing on the capabilities available at the national laboratories, and through partnerships with universities and industry.",APG
5041,"	019","Department of Energy","Enhance desirable characteristics and diminish vulnerabilities of the U.S. energy infrastructure to meet goals of economic competitiveness, national security, and environmental responsibility",APG
5102,"	019","Department of Energy","Implement elements of the Climate Action Plan",APG
5192,"	019","Department of Energy","Climate Action Plan",ASO
5202,"	019","Department of Energy","Energy Infrastructure",ASO
5222,"	019","Department of Energy","Scientific Discoveries",ASO
5242,"	019","Department of Energy","Nuclear Deterrent",ASO
5262,"	019","Department of Energy","Strengthen Key Science, Technology, and Engineering Capabilities and Modernize the National Security Infrastructure",ASO
5272,"	019","Department of Energy","Reduce Global Nuclear Security Threats",ASO
5282,"	019","Department of Energy","Provide Safe and Effective Integrated Nuclear Propulsion Systems for the U.S. Navy",ASO
5342,"	019","Department of Energy","Continue Cleanup of Radioactive and Chemical Waste",ASO
5352,"	019","Department of Energy","Manage assets in a Sustainable Manner that Supports the DOE Mission",ASO
5362,"	019","Department of Energy","Effectively Manage Projects, Financial Assistance Agreements, Contracts, and Contractor Performance",ASO
5372,"	019","Department of Energy","Operate the DOE Enterprise Safely, Securely, and Efficiently",ASO
