"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Unique Project ID","Project ID","Agency Project ID","Project Name","Objectives / Expected Outcomes","Start Date","Completion Date","Project Life Cycle Cost","SDLC Methodology","Other SDLC","Release Every Six Mo","Release Every Six Mo Comment","PM Experience Level","Schedule Variance (in days)","Schedule Variance (%)","Schedule Color","Cost Variance ($ M)","Cost Variance (%)","Cost Color","Project Status","Updated Date","Updated Time"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1003180603",2368,"	1003180603","Veterans On Line Application (VONAPP) II","Veterans On Line Application (VONAPP) II is a new Web service that will reside on the eBenefits portal as a portlet. Veterans will launch the portlet to submit electronic claims for Veterans Benefits Administration (VBA) benefits. VONAPP II funding will cover DME and sustainment of the new portlet and sustainment of VONAPP Legacy until it can be retired.",2011-02-18,2013-01-31,6.679,,,,,"4 - Other certification with 4 or more years PM experience (within the last five years)",-48,-11.88,Yellow,-0.475421,-13.2,Yellow,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1006040604",2369,"	1006040604","VAM Health Resource Center (HRC) Phase II","Voice Access Modernization (VAM) will expand and enhance the features of the newly deployed architecture located at the Health Resource Center (HRC). This project will incorporate system components required to produce desired objectives in a manner that requires minimal maintenance while remaining flexible enough to accommodate frequent changes in routing, delivery, integration, and service expansion.",2011-04-28,2014-09-30,47.256105,,,,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,-2.496082,-1402.42,Red,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1007290604",2370,"	1007290604","E-Benefits Portal","The E-Benefits Portal project for Veterans Relationship Management (VRM) is a joint effort by the Department of Defense (DoD) and Department of Veterans Affairs (VA) to provide Veterans, service members, and their dependents and caregivers with a single Web-based touch point between VA and DoD, providing information about benefits using self-service transactional and interactive capabilities.",2010-04-05,2013-02-28,18.201,"4 - Agile",,yes,,"4 - Other certification with 4 or more years PM experience (within the last five years)",11,1.76,Green,1.236137,10.65,Yellow,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1009300603",2371,"	1009300603","VAM Health Resource Center (HRC) Phase I","To expand/enhance features of the current telephony architecture located at the Health Resource Center, utilizing the existing Public Branch Exchange (PBX) telephony switch, and incorporate system components required to produce desired objectives in a manner that accommodates minimal maintenance and human effort while remaining flexible enough to accommodate frequent change in routing, delivery, integration, and service expansion/extension related to management of inbound voice and data contact.",2010-06-01,2011-12-30,3.582984,,,,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,1.646277,96.68,Red,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1010180603",2372,"	1010180603","IAM Identity Services (IdS)","Provides enterprise level identity management services allowing us to uniquely identify individuals across Department of Veterans Affairs (VA) and determine in which VA systems the individual is known and their associated identifier in those systems.",2009-07-15,2017-09-30,114.572699,"3 - Iterative (Prototyping/Incremental)",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,5.302366,5.92,Green,In-progress,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1011010607",2373,"	1011010607","VRM Knowledge Management","The Veterans Relationship Management (VRM) Knowledge Management (KM) Project will provide an improvement to several distinct and redundant Department of Veterans Affairs (VA) benefit information identification, collection, and maintenance processes. The goal is to create an enterprise KM solution to disseminate benefit information to Veterans, their beneficiaries, and the public in an intuitive and efficient manner.",2010-08-09,2014-03-02,9.849,"4 - Agile",,yes,,"2 - FAC-P/PM(DAWIA-2)- Mid-Level",-32,-3.61,Green,-1.173847,-18.89,Yellow,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1011010608",2374,"	1011010608","Customer Relationship Management (CRM)_Unified Desktop (UD)","Customer Relationship Management (CRM)/Unified Desktop (UD) strategies provide an integrated solution to collect and preserve the context of interactions and provide employees with a tool that displays data from multiple applications. The Customer Relationship Management/Knowledge Management system will improve customer service by the Patient Aligned Care Team, by providing a variety of integrated access channels to information and services.",2010-07-01,2015-09-30,49.933,,,,,"4 - Other certification with 4 or more years PM experience (within the last five years)",-94,-13.09,Yellow,7.65728,21.86,Yellow,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1011020603",2375,"	1011020603","VRM Service-Oriented Architecture (SOA)","Veterans Relationship Management (VRM) Service-Oriented Architecture (SOA) will provide a unified enterprise platform to host and publish services developed within the VRM workstreams for consumption by applications within the VRM space and applications within the Enterprise.",2010-11-01,2015-09-30,11.356,"4 - Agile",,yes,,"4 - Other certification with 4 or more years PM experience (within the last five years)",-33,-7.25,Green,0,0,Green,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1011020604",2376,"	1011020604","VetSuccess Rehost","The VetSuccess Rehost website includes comprehensive employment resources for all Veterans, not just those with service-related disabilities. The site is a virtual employment resource center for Veterans who seek employment and employers who want to hire them.",2010-12-13,2014-12-17,24.634,"4 - Agile",,yes,,"7 - No certification, but with 4 or more years PM experience (within the last five years)",0,0,Green,-0.839703,-19.38,Yellow,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1011020605",2377,"	1011020605","Member Support Services","The Member Support Services project (MSS) is an integral part of the Enrollment System Redesign (ESR) effort. Updates to ESR are released on a quarterly basis in an effort to enhance and modernize the ESR application to todays technological standards. MSS encompasses the effort to upgrade both the software and hardware of the ESR application.",2010-10-01,2015-09-30,6.65958,,,,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,-1.072909,-71.1,Red,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1011020606",2378,"	1011020606","VADoD Identity Repository (VADIR)","The Veteran Affairs (VA)/Department of Defense (DoD)Information Repository (VADIR) is intended to support a veteran focused service delivery environment that will enhance and improve benefit eligibility determination, administration and delivery across VA. Essential to enabling improvements in these benefit delivery areas is the need to improve data sharing between VA and other interested and authorized entities such as DoD. VADIR is the mechanism established to meet this need.",2010-01-04,2015-09-30,28.349266,,,,,"2 - FAC-P/PM(DAWIA-2)- Mid-Level",0,0,Green,-1.033,-9.69,Green,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1011020607",2379,"	1011020607",Auto-Enrollment,"The Auto-Enrollment initiative will define and implement a business process that enables VA to determine enrollment status for separating service members. This business process will feature a notification from Department of Defense (DoD) of impending separation date for service member. This notification will trigger VA enrollment determination.",2012-03-01,2013-09-30,11.996822,,,,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,-6.63672,-295.32,Red,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1011020608",2380,"	1011020608","Civilian Health and Medical Program of the Department of Veterans Affairs (CHAMPVA)","The Health Administration Center (HAC) would like to provide eligible dependents and beneficiaries of a Veteran with an online option to enter and submit applications for health care benefits to the Civilian Health and Medical Program of the Department of Veterans Affairs (CHAMPVA).",2010-06-15,2013-07-01,39.876,,,,,"1 - FAC-P/PM(DAWIA-3)- Senior",-30,-3.58,Green,-0.1177,-2.35,Green,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1011020610",2382,"	1011020610","                  IAM Authorization Services","Identity and Access Management (IAM) Authorization (AuthR) Services provides various enterprise level authorization services to streamline granting and removing electronic permissions to the Department of Veterans Affairs (VA) data, services, technology systems and resources.",2010-09-01,2013-08-15,32.793,,,,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,-8.422377,-81.74,Red,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1011020612",2383,"	1011020612","Military Service Data Sharing (MSDS)","The purpose of Military Service Data Sharing (MSDS) is to develop an enterprise capability to satisfy Department of Veterans Affairs (VA) business processes and applications that require an authoritative source of Department of Defense (DoD) and VA Military History information to determine Veteran and dependent eligibility for VA benefits. This will allow for a push of military service data to provide auto-enrollment and service history data.",2010-06-01,2013-01-02,14.268218,"4 - Agile",,yes,,"4 - Other certification with 4 or more years PM experience (within the last five years)",-2,-0.44,Green,-0.708668,-26.53,Yellow,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1011020613",2384,"	1011020613","Veteran Identity Eligibility Reporting System (VIERS)","Veterans Relationship Management (VRM)Veteran Identity/Eligibility Reporting System (VIERS) will provide consuming business applications with access to a standard, enterprise view of person demographic, contact, military service and other benefits information.",2011-02-28,2015-06-28,20.68,,,,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,0,0,Green,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1011020614",2385,"	1011020614","Veteran Financial Application (VFA)","The Veteran Financial Application (VFA) will leverage the Income Verification Program by reducing the need for Veterans to provide updated financial information to VA annually to re-establish their eligibility for VA health care benefits.",2008-07-01,2015-09-30,9.778918,,,,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,0.985334,22.62,Yellow,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1011040603",2386,"	1011040603","                  IAM Authentication Services","Identity Access Management (IAM) Authentication (AuthN) Services provides various enterprise level authentication services to simplify accessing VA technology systems, resources and data as well as digital signature capabilities.",2010-09-01,2016-09-30,56.631558,,,,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,-13.684465,-119.24,Red,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1012030604",2387,"	1012030604","Veteran Online Health Application (VOA)","The Veteran Online Health Application (VOA) will enable Veterans to submit, save, and edit information associated with their Veterans Health Administration (VHA) application for health benefits online. This will replace the current 10-10EZ online application and enable online submission of the 10-10ESR in the future.",2011-02-01,2013-09-30,20.726,,,,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,-9.364,-231.55,Red,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1101220604",2388,"	1101220604","Warrior Support Information Sharing Initiative (ISI)","The requirements for the Federal Recovery Coordination Program (FRCP) Data Management System (DMS) directly support the strategic vision of VA through the implementation of an integrated enterprise solution. It also provides an opportunity to incorporate additional information from DoD and other VA organizations to support the care coordination efforts of FRCP.",2010-10-01,2014-09-30,8.431318,"4 - Agile",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",2,0.36,Green,-3.719239,-58.11,Red,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1105020605",2389,"	1105020605","Warrior Support Federal Case Management Tool (FCMT)","From the beginning, it was clear that the information technology (IT) solutions for the Federal Recovery Coordinator Program (FRCP) data management would require ongoing development as the program and its processes matured. In order to accommodate the immediate IT needs of the FRCP, the existing Veteran Tracking Application (VTA) was utilized. The FRCP data management portion of VTA has been revised iteratively since it was originally deployed early in 2008. Over the last year, the FRCP has reorganized, developed a business plan with strategic goals and initiated development of a robust program evaluation process. The FRCP Data Management System (DMS)requires significant additional functionality in order to support these efforts. The requirements for the FRCP DMS directly support the strategic vision of VA through the implementation of an integrated enterprise solution. It also provides an opportunity to incorporate additional information from DoD and other VA organizations to support the care coordination efforts of FRCP.",2009-10-01,2014-09-30,17.213,"4 - Agile",,yes,,"2 - FAC-P/PM(DAWIA-2)- Mid-Level",0,0,Green,-5.267764,-45.57,Red,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1107010603",2390,"	1107010603","VAM Veteran Benefits Administration (VBA) Phase II","The VAM program shall enhance/redesign the Verizon Cloud hosted solution for the Interactive Voice Response (IVR) application that will include directed dialogue and/or natural speech recognition as well as Virtual Hold and Scheduled Call Back. Customer Relationship Management and Work Force Management being introduction to VBA.",2011-04-28,2014-03-31,43.717105,,,,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,40.590293,93.95,Red,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1109020709",2391,"	1109020709","Stakeholder Enterprise Portal (SEP)","The Stakeholder Enterprise Portal (SEP) project for Veterans Relationship Management (VRM) will provide a secure, consistent and seamless entry point to VA web-based systems and self service functions for the VA's stakeholders and business partners providing services on behalf of Veterans or to the VA.",2011-08-01,2012-12-31,60.51,,,,,"2 - FAC-P/PM(DAWIA-2)- Mid-Level",-48,-9.27,Green,-0.372566,-6.59,Green,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1110180547",2846,"	1110180547","Warrior Support Federal Case Management Tool (FCMT) - Integrated Disability Evaluation System (IDES) Phase l","The highest priority and most urgent immediate business need is to enhance the current Integrated Disability Evaluation System (IDES) case/claims tracking process to adhere to the approved Proof Of Concept (POC)IDES Remodel Project. Mid and long term needs include expanding the Remodeled Project to additional sites and automating functionality for the electronic exchange of information between VA & DoD used within the IDES process.",2011-10-03,2013-09-30,3.825,"4 - Agile",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",22,4.54,Green,-0.18755,-4.9,Green,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1202240791",3081,"	1202240791","Warrior Support Disability Benefits Questionnaires (DBQ)","Disability Benefits Questionnaires (DBQs) are streamlined medical examination forms designed to capture essential medical information for purposes of evaluating VA disability compensation and/or pension claims from Veterans or Service Members and are a key component of the process by which a thorough review of each Service Member's case is undertaken to determine the level of disability and entitlement for disability retirement.",2012-03-12,2013-09-26,11.5,"4 - Agile",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,0.409585,7.35,Green,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1206110629",5725,"	1206110629","Voice Access Modernization (VAM) Infrastructure","Voice Access Modernization (VAM) Infrastructure is a consolidation of Health Resource center (HRC) Phase II and Veterans Benefit Administration (VBA) Phase II merged into VAM. Currently the VAM Interactive Voice Response (IVR) is the National Automated Response System (NARS) platform, which was designed and implemented 10 years ago and had no modifications since. Surveys of users have identified frustration with the compatibility with the complexity of the system and the inability to receive live assistance at any point while using the system. The project seeks to provide immediate live assistance at any point with in the platform, as well as to simplify the usage of the system, by updating the IVR menus and options along with completing the deliverables from VBA Phase II & HRC Phase II.",2012-04-05,2016-08-31,43.828,"1 - Waterfall",,yes,,"2 - FAC-P/PM(DAWIA-2)- Mid-Level",1,0.06,Green,-1.729,-9.48,Green,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1208070563",5727,"	1208070563","VLER Benefits Phase I","VLER Benefits provides Veterans and Servicemembers with a wide range of capabilities, to include those severely wounded, ill, and injured. Case management tracking tools, streamlined benefits questionnaires, and case review efforts form the foundational elements of VLER Benefits.",2012-11-01,2014-04-30,22.53,,,,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,2.364,91.63,Red,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1208081195",5729,"	1208081195","Enterprise Veterans Self Service","The Enterprise Veterans Self Service (EVSS) project for Veterans Relationship Management (VRM) will provide secure, consistent, and seamless entry points to VA Web-based systems for Veterans (Members) and for stakeholders providing services on behalf of the Veteran (Providers). It will also provide a portlet within theEVSS portal that will allowEVSS users to submit Veterans Benefits Administration (VBA) claims electronically.",2012-10-18,2015-10-22,83.967,"4 - Agile",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,-9.303048,-12.56,Yellow,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1208090276",5731,"	1208090276","IAM Access Services (AcS)","Access Services (AcS) provides enterprise level services that automate the granting and removing of electronic permissions to VA systems and resources.",2013-01-18,2015-11-12,36.323,"5 - Mixed",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,6.647756,20.54,Yellow,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1208151111",5733,"	1208151111","Customer Relationship Management (CRM)_Unified Desktop (UD)_Knowledge Management (KM)","CRM_UD_KM Project creates the enterprise customer relationship management infrastructure foundation for VA customer call center operations, with an initial implementation of a customized  commercial off the shelf (COTS) product (Microsoft Dynamics) for a customer relationship management (CRM) and knowledge management (KM) solution at Veterans Benefit Administration's (VBA) National Call Centers (NCCs). Subsequent CRM increments will implement solutions for select Veterans Health Administration (VHA) call centers and Fiduciary Benefits Services. Once completed, this infrastructure will be scalable and customizable to facilitate the on demand expansion of this foundation to other VA customer call center operations, and will look to incorporate the capabilities of other VA operations requiring call center and workflow capabilities in the future.",2012-10-01,2015-10-30,49.93,"4 - Agile",,yes,,"2 - FAC-P/PM(DAWIA-2)- Mid-Level",6,0.55,Green,-8.536265,-20.71,Yellow,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1208290661",5735,"	1208290661","Military Service Data Sharing (MSDS) Phase II","The Military Service Data Sharing (MSDS) provides centralized enterprise capabilities to enhance and improve Veteran focused services delivery, such as VA benefit outreach, early notification, paperless submission of claims, determination of eligibility and entitlement to VA benefits and healthcare. MSDS therefore represents the authoritative set of views for all Department of Defense (DoD) and VA Military History information.",2012-12-01,2015-10-29,21.237,"5 - Mixed",,yes,,"4 - Other certification with 4 or more years PM experience (within the last five years)",0,0,Green,0.111678,0.59,Green,Completed,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1308216363",9691,"	1308216363","Digits-to-Digits (D2D)","Digits-to-Digits (D2D) is focused on providing the ability for Veteran Service Organizations (VSOs), County Veteran Service Organizations (CVSOs), and State Departments of Veterans Affairs (SDVAs) to submit electronic claims directly to the VA. The goal of D2D is to eliminate claims manual/paper process and reduce the claim processing time for Veterans benefits determination. This will help Veterans get the benefits they deserve and contribute to reducing the claims backlog.

.",2013-09-26,2017-01-29,6.872,"5 - Mixed",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,0.44968,7.3,Green,In-progress,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1409108400",12187,"	1409108400","Customer Relationship Management Enterprise (CRMe)","The development of enterprise level software components and code patterns for reuse in VA CRM implementations.  CRMe reduces the amount of functionality that must be developed independently in each Customer Relationship Management (CRM) instance.  CRMe will also provide a User Accessible Tenant capable of identifying the client, providing client data, and storing and sharing Person History information captured from CRM instances and third party applications.  The VA has multiple non clinical case management needs and contact centers that share business requirements and service various lines of business (LOBs).  CRMe eliminates redundant effort and additional costs associated with developing shared functionality using the multiple instance model.  Additionally, it will provide a standard integration approach and reduce development time frames.",2015-05-29,2017-10-30,8.24,"4 - Agile",,yes,,"2 - FAC-P/PM(DAWIA-2)- Mid-Level",0,0,Green,0.073803,2.56,Green,In-progress,08/18/2016,16:16:49
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet","	1406245933",12191,"	1406245933","Fix the Phones (FtP)","The development of an agent-based application using Microsoft Dynamics CRM aimed at improving the Veteran patient's customer service experience by reducing dropped calls, long wait times, and offering a direct path to contact an employee capable of resolving the inquiry.  FtP will provide call center agents with a single desktop view they can use to view and record relevant information and resolve Veteran calls.  It will be used by the Patient Aligned Care Team (PACT) Call Center.",2014-08-26,2017-02-19,9.548,"5 - Mixed",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,0.912889,10.7,Yellow,In-progress,08/18/2016,16:16:49
