"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Legislative Mandate Required","Legislative Mandate Description","Audit Finding Resolution Required","Audit Finding Resolution Description","Published Agency Strategic Performance Plan Required","Published Agency Strategic Performance Plan Description","Presidential Priority Required","Presidential Priority Description","Other Requirement Required","Other Requirement Description","Updated Date","Updated Time"
007-000000613,28,"	007","Department of Defense","Defense Medical Logistics Standard Support",no,.,no,.,yes,"Strategic goal: To preserve, enhance, sustain and strengthen the health of the All-Volunteer Force, and total workforce.
This initiative promotes the strategic goal through the collection of health data that will be used for items such as medical logistics, and other day-to-day operational healthcare decision-making and management.",no,.,yes,"Enables compliance with DoD, federal regulations and Food and Drug Administration (FDA) and Joint Commission on the Accreditation of Healthcare Organizations (JCAHO) standards.",2016-02-04,19:03:48
007-000000881,31,"	007","Department of Defense","GLOBAL COMMAND AND CONTROL SYSTEM- JOINT",no,.,no,.,yes,"This investment is aligned with the DoDs IRM Strategic Plan and DISA Strategic Plan.  All of DISA''s activities support information resource management. Therefore, DISA''s Strategic Plan also serves as the Agency''s IRM Strategic Plan.  
The GCCS-J mission falls under Strategic Goal#2: Provide Joint Command and Control (JC2) and Leadership Support. Engineer, provide, and enhance command and control (C2) and mission partner information sharing capabilities to enable decision makers with the ability to exercise authority and direction over assigned and attached forces and resources while rapidly and effectively sharing information across the strategic, operational, and tactical spectrum of operations. DISA will lead the development and evolution of JC2 capabilities used to plan and execute the full range of joint, interagency, and multinational military operations.",no,.,no,.,2014-10-01,11:19:42
026-000002411,32,"	026","National Aeronautics and Space Administration","Integrated Collaborative Environment",yes,"The National Aeronautics and Space Administration Authorization Act of 2015, requires that the Administrator reaffirms that the goal of the NASA human spaceflight program is for a human mission to Mars, and requires NASA to develop a roadmap to achieve that goal and to provide biennial updates on their progress.",no,,no,,no,,no,,2015-09-15,15:22:07
007-000000884,33,"	007","Department of Defense","GLOBAL DECISION SUPPORT SYSTEM",no,.,no,.,yes,"The US Transportation Command 2013-2017 Strategic Plan IT Management Excellence Major Objective directs to ""Develop and sustain an information environment that ensures secure, effective knowledge sharing, enhances decision making and drives unity of effort.""  GDSS and it''s subset of application projects provides a MAC I Command and Control enterprise services environment; mission planning and execution capabilities; and supports over 19,300 DOD users world wide.",no,.,yes,"Air Mobility Master Plan, Command and Control (C2) Integrated Roadmap directs capability to develop courses of action, improve resource allocation, coordinate/synchronize operations, processes & supporting disciplines; address capabilities-based planning process via: MAF C2 functional area analysis; MAF C2 functional needs analysis; & MAF C2 functional solutions analysis; effective delivery of mobility capabilities; efficiency without degrading effectiveness; improved course of action development/resource allocation; operate in a multi-agency global environment with reachback capability; ability to organize processes, procedures.  http://www.transcom.mil/index_textonly.cfm

P 4 4 007 029
P 4 7 007 058
Provide more effective and efficient logistical support to forces abroad.",2014-10-01,11:20:05
007-000001046,34,"	007","Department of Defense","Air and Space Operations Center - Weapon System",no,.,no,.,no,.,no,.,yes,"The 22 Air and Space Operations Centers (AOCs) with various missions (training, support, and operations) were developed independently to satisfy needs of the specific commander. The Chief of Staff Air Force recognized the need for standardization and declared the AOC a Weapon System (WS) in Sep 00; in accordance with the Aug 01 and Oct 03 AOC WS Operational Requirements Documents (ORD), the AF was to standardize the applications, training, tools, and processes. Other ORD requirements: Decrease the footprint by increasing the number/scope of machine-to-machine (M2M) interfaces. The strategy consisted of 2 major blocks: Legacy Block (Increments 10.0 & 10.1) to standardize equipment, training & processes; and, Integration Block (Increment 10.2) to decrease the footprint required to operate & increase M2M interfaces.",2016-02-04,19:29:07
026-000001501,37,"	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",yes,"The National Aeronautics and Space Administration Authorization Act of 2015, under subtitle E--Earth Science, requires that the Administrator shall continue to carry out a balanced Earth science program that includes Earth science research, Earth systematic missions, competitive Venture class missions, other missions and data analysis, mission operations, technology development, and applied sciences, consistent with the recommendations and priorities established in the National Academies  Earth Science Decadal Survey.",no,,yes,"EOSDIS satisfies Strategic Goal 2: Advance understanding of Earth and develop technologies to improve the quality of life on our home planet. Objective 2.2 Advance knowledge of the Earth as a system to meet the challenges of environmental change, and to improve life on our planet. From the 2014 NASA Strategic Plan.",no,,yes,"The EARTH SYSTEMATIC MISSIONS PROGRAM PLAN, 420-01-01, Revision B (March 29, 2010) Section 2.1.1 Program Requirements includes sub-section 2.1.1.5 EOSDIS which states  The ESM Program shall operate and maintain the following approved science data system for acquisition, processing, archive, and distribution of mission science data; EOSDIS.  Furthermore Section 3.11.2 and Appendix G Baseline (Level 1) Requirements both state  The ESDIS Project will develop, implement, and operate a data and information system for NASA s Earth Science Division to support multidisciplinary research in global change and public data access. This system, called the Earth Observing System Data and Information System (EOSDIS), is NASA s major core component of the U.S. and international system of systems to acquire, archive, manage, and distribute Earth observation data to a broad user community. .",2015-09-15,11:35:15
026-000005020,39,"	026","National Aeronautics and Space Administration","JSC CA Mission Control Center Systems (MCCS)",yes,"Requirements for this investment can be found in the NASA Authorization Act of 2010, S.3729-2, Title V, Section  503a:  ensure safe and effective operation, maintenance, and maximum utilization of the US segment of the ISS through at least Sept. 30, 2020.  The MCCS meets this requirement by providing operations support to the US on-orbit segment (USOS) and managing activities across the station in cooperation with its International Partners.  In addition, the MCCS participates in integrated simulations with the Space Station Training Facility (SSTF) which provides station specific training to ground controllers and flight crews.  This training contributes to the safe and effective operation of the USOS.",no,N/A.,yes,"Requirements for this investment can be found in the 2011 NASA Strategic Plan, Strategic Goal 1, Outcome  1.1:  Sustain the operation and full use of the ISS and expand efforts to utilize the ISS as a National Laboratory for scientific, technological, diplomatic, and educational purposes and for supporting future objectives in human space exploration.  The MCCS meets this requirement by providing operations support to the US on-orbit segment (USOS) and managing activities across the station in cooperation with its International Partners.",no,N/A.,no,N/A.,2013-09-10,16:21:53
026-000005030,40,"	026","National Aeronautics and Space Administration","JSC CA Training Systems (TS)",yes,"Specific requirements for this investment can be found in the NASA Authorization Act of 2010, S.3729-2, Title V, Section 503a:    ensure safe and effective operation, maintenance, and maximum utilization of the US segment of the ISS through at least Sept. 30, 2020.   The SSTF meets this requirement by training ground controllers and flight crew in the proper operation of the ISS.  The training includes procedures for handling emergency situations that could arise during a real mission.   Flight-specific training is also provided so that each mission provides maximum utilization of the station.",no,N/A.,yes,"Specific requirements for this investment can be found in the 2011 NASA Strategic Plan, Strategic Goal 1, Outcome 1.1:  Sustain the operation and full use of the ISS and expand efforts to utilize the ISS as a National Laboratory for scientific, technological, diplomatic, and educational purposes and for supporting future objectives in human space exploration.  The SSTF meets this requirement by providing cost effective training to ISS flight controllers and crew.",no,N/A.,no,N/A.,2013-09-11,20:22:50
026-000001408,41,"	026","National Aeronautics and Space Administration","JSC OA ISS Software Development/Integration Laboratory (SDIL)",yes,"Specific requirements for this investment can be found in the NASA Authorization Act of 2014, H.R. 4412 extending the ISS to at least 2024. Bill passed House on Jun 09, 2014.",no,,yes,"Specific requirements for this investment can be found in the 2014 NASA Strategic Plan, Strategic Goal 1, Objective 1.2: Conduct research on the International Space Station (ISS) to enable future space exploration, facilitate a commercial space economy, and advance the fundamental biological and physical sciences for the benefit of humanity. Objective 1.3: Facilitate and utilize U.S. commercial capabilities to deliver cargo and crew to space.",no,,no,,2014-09-10,13:05:45
026-000001001,42,"	026","National Aeronautics and Space Administration","MSFC - Payload Operations and Integration Center (POIC)",yes,"Specific requirements for this investment can be found in the NASA Authorization Act of 2010, S.3729-2, Title V, Section 503a  ensure safe and effective operation, maintenance, and maximum utilization of the US segment of the ISS through at least Sept. 30, 2020 .",no,,yes,"Specific requirements for this investment can be found in the 2014 NASA Strategic Plan, Strategic Goal 1, Objective 1.2:  Conduct research on the International Space Station(ISS) to enable future space exploration, facilitate a commercial spaceeconomy, and advance the fundamental biological and physicalsciences for the benefit of humanity.",no,,no,,2014-09-09,15:12:42
026-000001502,43,"	026","National Aeronautics and Space Administration","NASA Center for Climate Simulation (NCCS)",yes,"NASA Authorization Act of 2010, Titles VII Earth Science &amp; VIII Space Science decadal studies are specifically addressed, as well as an expansion of Earth science applications &amp; suborbital research activities, both of which are highly dependent upon the critical supercomputing resources [NCCS]. Additionally, within Title VII Earth Science (Section 701), Congress specifically mentions climate science environmental understanding, mitigation of destructive environmental impacts, &amp; contributing to the general national welfare. All of which require computational &amp; data intensive modeling applications &amp; continued science research efforts. FY2012 NASA Appropriations Bill (H.R. 2112) in its accompanying Joint Explanatory Statement, states NASA should propose a funding portfolio critical mission-enabling activities (research &amp; data analysis, data application, etc.) that support &amp; enhance the value of those projects. The NCCS is a critical mission-enabling activity.",no,,yes,"NCCS is funded from within the NASA Science Mission Directorate Earth Science Division. The NCCS is a Basic and Applied Research funded investment for this on-going operational capability/activity. Funding for high performance compute (HPC) capabilities, mass storage systems, and high-end networking solutions provided by NCCS implicitly addresses NASA's 2014 Strategic Goal 2 Advance understanding of Earth and develop technologies to improve the quality of life on our home planet, Obj 2.2 Advance knowledge of Earth as a system to meet the challenges of environmental change, and to improve life on our planet, Obj 2.3 Optimize Agency technology investments; and Goal 1 Expand the frontiers of knowledge, capability, and opportunity in space, Obj 1.4 Understand the Sun and its interactions with Earth and the solar system, Obj 1.5 Ascertain the content, origin, and evolution of the solar system and Obj 1.6 Discover how the universe works, explore how it began and evolved, and ... .",no,,yes,"The NASA Science Mission Directorate issues a call semi-annually for scientists to request NCCS resources. Principal Investigators provide their requirements (compute, storage, network) and are then allocated appropriate resources on NCCS systems. During fiscal year 2013 the NASA High End Computing program collected resource requirements from the user community that will be used to guide the NCCS.",2016-02-03,19:23:19
026-000001124,45,"	026","National Aeronautics and Space Administration","NASA High-End Computing Capability (HECC)",yes,"The 2010 NASA Authorization Act calls for NASA to pursue activities in Earth &amp; space science, space exploration vehicle development, and aeronautics research, which rely critically upon HECC supercomputing resources. Title III (sect. 302, 303) calls for development of a Space Launch System and Multi-Purpose Crew Vehicle, which require significant aerodynamic/aerothermal simulations on HECC systems. Title VII (sect. 701, 704, 705) and Title VIII (sect. 805) call for investments in Earth &amp; space sciences, implementation of Earth-observing missions pursuant to recommendations of decadal surveys (Earth Science &amp; Applications from Space: National Imperatives for the Next Decade &amp; Beyond), and advancement of Earth science and climate modeling applications, which rely on HECC supercomputers, data analysis, and visualization. Title IX (sect. 901, 902) calls for continuation of fundamental aeronautics research, requiring extensive aerodynamic simulations on HECC supercomputers.",no,,yes,"HECC supports science and engineering projects that are key to all Strategic Goals and most Objectives in the NASA's 2014-2016 Strategic Plans. HECC specifically addresses Strategic Goal 3.3 to provide secure, effective, affordable IT services that enable NASA Missions. HECC also enables analyses and simulations required to: expand human presence and exploration into the solar system and to the surface of Mars (Objective 1.1); increase our understanding of the sun, solar system, and universe (Objectives 1.4-1.6); advance the Nation's innovative space technologies (Objective 1.7); and advance understanding of Earth and develop technologies to improve quality of life on our planet (Goal 2), including environmental change, and aeronautics research for sustainable aviation (Objectives 2.1-2.2). HECC also participates in outreach and education efforts, such as conferences, internships, and web media, to engage students, teachers, and faculty in NASA's missions (Objective 2.4).",yes,"The Executive Order (EO) dated 2015-07-29, Creating an National Strategic Computing Initiative, sets as policy that &quot;the United States Government must create a coordinated Federal strategy in High Performance Computing (HPC) research, development, and deployment.&quot; The EO has a relatively minor role for NASA as a Deployment Agency, but HECC contributes to the EO's strategic objectives.",no,,2016-02-03,19:09:10
007-000001826,49,"	007","Department of Defense","Integrated Strategic Planning and Analysis Network (ISPAN) Program",no,.,no,.,yes,"United States Strategic Command Information Enterprise Strategic Plan
Goal 1 - Accelerate the migration to a net-centric information environment
Goal 2 - Optimize Information Technology (IT) investments; ensure capabilities are selected, resourced, and acquired to deliver affordable and timely support (With the upgrades provided by Increment 4 modernization the system will support this goal)
Goal 3 - Protect and defend global information and information resources
Goal 4 - Shape a community environment that creates and shares timely, trusted information for effective decision making - The program goal is to evolve ISPAN into the nation''s only strategic planning and analysis capability that will provide responsive integrated options to meet national security objectives with the full spectrum of forces and capabilities.  Through semi annual software maintenance deliveries the ISPAN application tools are continually updated.

Goal 5 - Develop and maintain an effective IT workforce.",no,.,no,.,2015-10-13,17:16:17
007-000001911,50,"	007","Department of Defense","Theater Battle Management Core System",no,.,no,.,yes,"TBMCS is part of the strategic plan e.g. 2014 Quadrennial Defense Review (QDR)as part of the Air Force''s command and control infrastructure and providing command and control capabilities.  This investment supports all three pillars of the 2014 QDR to: protect the homeland, build security globally, and project power and win decisively.",no,.,yes,"The requirement is driven by warfighter need to support a full range of functions including: development of the JFACC Course of
Action (COA) for approval by the JFC, Joint Air and Space Operations Plan (JASOP), Air Tasking Order (ATO), Airspace Control
Order (ACO), production and replanning, threat assessment, target selection, mission execution, battle damage assessment, resource
management, time critical target identification and prosecution, theater critical asset prioritization and developing the area air defense
plan. Critical warfighting capabilities are highly dependent upon TBMCS mission support. Requirements are driven by the need for
combat capabilities to include bomber and fighter aircraft, surface-to-air missile weapons systems, air and ground based sensors,
surface-to-surface missiles, special operations forces, or information operations and next generation weapon systems (e.g., Joint
Air-to-Surface Standoff Missile (JASSM) and Joint Direct Attack Munition (JDAM)).",2015-10-13,17:21:15
007-000001794,52,"	007","Department of Defense","STANDARD PROCUREMENT SYSTEM",yes,"SPS supports the purpose and intent of the Paperwork Reduction Act, Tittle 44 USC, 3501.",no,.,yes,"SPS supports the DCMO Strategic Management Plan''s business priority #2: Support Contingency Business Operations.",no,.,yes,"SPS Operational Requirements Document (ORD) dated 22 November 1995; Mission Needs Statement dated 3 April 1995; Under Secretary of Defense, Management Reform Memo #2 - Moving to Paper-Free Contracting Process by January 1, 2000.",2013-03-28,13:10:57
007-000002180,53,"	007","Department of Defense","INSTALLATION INFORMATION INFRASTRUCTURE MODERNIZATION PROGRAM",no,.,no,.,yes,"The Army Network Campaign Plan supports the Army''s Strategic Plan by providing the vision and direction that set conditions for and lay a path to the network of 2020 and beyond. It is the overarching plan unifying our efforts to provide a modern network designed to meet the Army''s warfighting and business needs, today and tomorrow.",no,.,no,.,2016-02-05,12:28:32
007-000002166,55,"	007","Department of Defense","Advanced Field Artillery Tactical Data System",no,.,no,.,yes,"AFATDS provides the automated Command & Control (C2) system for the Fires Warfighting Function. In doing so, it aligns with the 2012 Army Strategic Planning Guidance and meets Army imperatives through modernizing the current fielded capability to a software-only-based product. This allows the Army to take advantage of AFATDS capabilities in a more efficient (common hardware platforms) and effective (reduced mission thread timelines) manner.
This migration of the AFATDS capability not only aligns with Army strategic plans, but incorporates Joint Service fire control future requirements. The investment will meet this strategic requirement by working with the user (DoD agencies and Joint/Coalition forces) to continuously identify new and improved capabilities for current and future development.",no,.,yes,"Continued AFATDS software development is being accomplished in response to the requirements specified in the 1994 AFATDS Operational Requirements
Document (ORD), updated in 2004, the 2007 Current Force Capability Gap Analysis VI, prepared by the Army Capabilities Integration Center, 25 June 2007, and the Capability Development Document (CDD) for AFATDS Increment 2 (approved by HQDA, 15 June 2011). AFATDS will continue as the automated command and control system for the Fires Warfighting Function and will provide management and targetability of the collective and coordinated target acquisition data, effective selection of munitions-target pairing from indirect fire weapons (land and sea based), as well as fixed and rotary wing aircraft against targets located throughout an area of operations.",2014-03-18,11:37:00
