"Unique Investment Identifier","Business Case Id","Agency Code","Agency Name","Investment Title","Planning Budgetary Resources PY1 and Prior","Planning Budgetary Resources PY","Planning Budgetary Resources CY","Planning Budgetary Resources BY","DME Budgetary Resources PY1 and Prior","DME Budgetary Resources PY","DME Budgetary Resources CY","DME Budgetary Resources BY","DME Government FTE Costs PY1 and Prior","DME Government FTE Costs PY","DME Government FTE Costs CY","DME Government FTE Costs BY","Omd Budgetary Resources PY1 and Prior","Omd Budgetary Resources PY","Omd Budgetary Resources CY","Omd Budgetary Resources BY","Omd Government FTE Costs PY1 and Prior","Omd Government FTE Costs PY","Omd Government FTE Costs CY","Omd Government FTE Costs BY","Government FTE Number PY1 and Prior","Government FTE Number PY","Government FTE Number CY","Government FTE Number BY","Prior Year Cost Change PY","Prior Year Cost Change CY","Prior Year Cost Percentage Change PY","Prior Year Cost Percentage Change CY"
026-000001408,41,"	026","National Aeronautics and Space Administration","JSC OA ISS Software Development/Integration Laboratory (SDIL)",0,0,0,0,0,0,0,0,0,0,0,0,0,14.616,13.762,14.243,0,0.679,0.706,0.725,0,4,4,4,15.295,14.468,0,0
026-000001001,42,"	026","National Aeronautics and Space Administration","MSFC - Payload Operations and Integration Center (POIC)",0,0,0,0,0.623,0,0,0,0,0,0,0,150.85,18.781,27.725,27.34,16.461,1.928,2.529,2.653,124,12,15,15,0,30.254,0,0
026-000001502,43,"	026","National Aeronautics and Space Administration","NASA Center for Climate Simulation (NCCS)",0,0,0,0,19.679,0,0,0,0,0,0,0,245.833,18.067,18.522,17.935,25.232,2.3,2.293,2.34,164,12,12,12,0,0,0,0
026-000001124,45,"	026","National Aeronautics and Space Administration","NASA High-End Computing Capability (HECC)",0,0,0,0,194.222,14.736,15.129,15.495,21.978,0,0,0,193.672,25.782,26.472,27.106,24.249,4.137,4.245,4.355,236,21,21,21,0.233,0,0.5,0
007-000001826,49,"	007","Department of Defense","Integrated Strategic Planning and Analysis Network (ISPAN) Program",0,0,0,0,0,0,0,0,0,0,0,0,200.569,48.198,56.171,54.96,2.336,0.243,0.249,0.258,19,2,2,2,-0.3,-5.74,-1,-9
007-000001911,50,"	007","Department of Defense","Theater Battle Management Core System",0,0,0,0,23.406,5.9,4.635,6.605,29.493,2.661,2.751,2.753,55.737,10.202,21.041,17.761,0,0,0,0,208,26,26,26,-22.35,-15.376,-54,-35
007-000001794,52,"	007","Department of Defense","STANDARD PROCUREMENT SYSTEM",0,0,0,0,0,0,0,0,0,0,0,0,77.38,33.606,30.979,31.635,12.895,2.983,3.162,3.226,230,28,29,28,-1.192,-1.969,-3,-5
007-000002180,53,"	007","Department of Defense","INSTALLATION INFORMATION INFRASTRUCTURE MODERNIZATION PROGRAM",0,0,0,0,2260.611,81.81,54.087,113.074,24.742,15.3,15.136,14.616,6.124,0,0,0,6.35,0,0,0,10212,90,88,84,25.781,0,36,0
007-000002166,55,"	007","Department of Defense","Advanced Field Artillery Tactical Data System",355.849,18.272,19.223,26.104,852.046,11.884,3.989,8.594,18.53,0,0,1.069,63.472,5.683,5.648,5.707,2.961,0.598,1.342,0,175,9,9,3,-3.703,-2.047,-9,-6
007-000004035,58,"	007","Department of Defense","DEFENSE ENROLLMENT ELIGIBILITY REPORTING SYSTEM",1.126,0.349,0.358,0,7.07,3.731,1.109,4.993,0,0,0,0,112.21,65.748,63.152,58.445,17.956,9.451,9.144,11.3,80,80,80,81,-85.181,-80.896,-52,-52
007-000006046,60,"	007","Department of Defense","Global Command and Control System-Maritime Increment 2",0,0,0,0,11.773,3.522,2.835,3.285,0,0,0,0,220.771,38.587,37.689,30.985,7.232,1.234,1.26,1.009,42,7,7,6,-0.88,0.744,-2,2
007-000005069,62,"	007","Department of Defense","Global Combat Support System - Air Force",0,0,0,0,0,0,0,0,0,0,0,0,642.926,67.545,59.519,64.156,11.646,4.077,4.167,4.275,112,40,40,40,5.725,-0.655,9,-1
007-000006170,65,"	007","Department of Defense","Mission Planning Systems",0,0,0,0,0,0,0,0,0,0,0,0,18.057,14.119,10.973,9.794,5.413,3.232,1.044,0.718,46,25,9,6,2.493,-2.398,17,-17
007-000006191,66,"	007","Department of Defense","AF NC3-MEECN Modernization",0.873,16.401,19.005,40.116,114.787,98.115,75.029,220.36,0,0,0,0,0,9.65,10.44,9.8,0,5.313,4.679,8.507,0,30,30,33,7.858,-75.082,6,-41
007-000006312,69,"	007","Department of Defense","DEFENSE TRAVEL SYSTEM",1.216,0,0.207,0.243,0,0,0,0,0,0,0,0,150.066,32.985,35.541,35.889,5.195,2.177,2.198,2.259,30,14,15,14,-1.225,-0.474,-3,-1
007-000006388,75,"	007","Department of Defense","Tactical Data Link System",0,0,0,0,231.981,30.282,60.258,84.222,0,0,0,0,52.914,58.01,44.729,48.098,0,1.311,1.59,1.638,0,27,28,28,4.498,-25.989,5,-20
007-000006963,79,"	007","Department of Defense","GuardNet XXI",0,0,0,0,0,0,0,0,0,0,0,0,1218.455,66.883,73.334,78.624,33.156,19.48,19.833,19.768,340,170,170,170,7.458,3.849,9,4
007-000006965,80,"	007","Department of Defense","NET-CENTRIC ENTERPRISE SERVICES",235.541,3.774,0.444,0,80.067,1.921,0.919,1.634,0,0,0,0,648.898,63.31,69.107,21.704,132.119,12.649,12.083,5.535,936,99,99,44,-21.036,1.638,-20,2
007-000006320,84,"	007","Department of Defense","CHEYENNE MOUNTAIN COMPLEX/TACTICAL WARNING - ATTACK ASSESSMENT",0,0,0,0,1.991,0.901,0.877,0.815,0,0,0,0,652.509,105.151,125.916,120.608,71.739,14.242,13.569,13.406,688,183,170,163,4.841,23.806,4,20
012-000003535,101,"	012","Department of Labor","Industrial Prices Systems (IPS)",0,0,0,0,5.771,1.989,2.361,2.084,12.571,2.865,3.395,2.75,32.801,3.153,1.438,1.451,98.371,5.563,5.033,6.137,1047,75,63,63,0.075,-1.716,0.6,-12.3
012-000001025,105,"	012","Department of Labor",EFAST2,9.438789,0,0,0,21.382362,0,0,0,4.936918,0,0,0,70.180211,12.085197,12.508511,12.208459,8.838903,1.361539,1.361539,1.361539,88,9,9,9,-0.130857,-0.101748,-1,-0.7
012-000002575,115,"	012","Department of Labor","Departmental E-Business Suite (DEBS)",2.612,0,0,0,12.152,0.25,0.2,0.5,0.338,0,0,0.1,3.946,0.76,0.95,0.6,3.62,0.59,0.45,0.4,34,6,6,6,0,-0.399,0,-20
012-000001010,122,"	012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)",3.354,0,0,0,0,0,0,0,0,0,0,0,133.296,12.846,19.194,20.32,1.904,0.151,0.153,0.155,14,1,1,1,0,6.175,0,46.9
012-000002085,123,"	012","Department of Labor","MSHA Standardized Information System (MSIS)",2.285,0.054,0.103,0.169,47.782,3.852,5.024,5.471,12.645,0.672,0.816,0.898,11.876,1.78638,1.159,1.159,8.192,2.027,1.162,1.162,254,21,20,21,-0.26462,0.682,-3.1,9
012-000001015,125,"	012","Department of Labor","New Core Financial Management System (NCFMS)",4.661,0,0,0,79.818,0,1.403,0,5.304,0,0,0,111.215,21.135,28.052,28.052,5.563,0.793,0.619,0.628,65,5,5,5,-23.048,-25.602,-51.2,-46
012-000000001,126,"	012","Department of Labor",Disability.gov,1.215,0,0,0,2.37,0,0,0,0,0,0,0,18.455,1.8,1.8,1.8,0.51156,0.05027,0.05178,0.05333,3,1,1,1,0,0,0,0
012-999990020,130,"	012","Department of Labor",Benefits.gov,1.309,0,0,0,2.734,0.532,0.62,0.709,0,0,0,0,62.631,3.595,3.689,3.681,2.553,0.1,0.102,0.104,2,1,1,1,-0.055,0.103,-1.3,2.4
012-000002630,131,"	012","Department of Labor","OSHA - Information System (OIS)",5.725,0,0,0,66.402121,4.172868,4.412691,4.36856,3.322388,0,0,0,38.01638,9.351244,5.762952,6.0511,3.019495,0.94648,0.864293,0.872936,61,8,8,8,0,-0.110574,0,-1
012-000002015,132,"	012","Department of Labor","Integrated Federal Employees' Compensation System (iFECS)",9.3,0,0,0,29.169,0,0,0,0.54,0,0,0,192.368,16.535,16.906,16.906,28.087,2.33,2.33,2.33,244,22,22,22,0,0.536,0,2.9
024-000009102,134,"	024","Department of Homeland Security","DHS - Homeland Security Information Network (HSIN)",0.7,2.5,0,1,3.424,0,0,0,1.953,0,0,0,16.213,21.541,24.98,24.861,1.953,3.76,3.76,3.76,21,21,21,21,0.726,0.878,3,3
024-000009104,135,"	024","Department of Homeland Security","DHS - Common Operational Picture (COP)",1.35,0.176,0.15,0.15,40.251,1.482,2.019,1.026,23.112,0,0,0,23.753,2.973,2.462,3.001,0.386,0.19,0.19,0.19,2,2,2,2,-0.004,-0.007,0,0
024-000005352,137,"	024","Department of Homeland Security","ICE - Detention and Removal Operations Modernization",3.111,0,0,0,104.003,0,0,0,4.837,0,0,0,67.183,4.705,2.57,2.203,3.565,0.538,0.543,0.548,40,3,3,3,-4.502,-6.791,-46,-69
024-000005439,138,"	024","Department of Homeland Security","ICE - IT Infrastructure",0,0,0,0,0,0,0,0,0,0,0,0,1462.156,181.294,152.657,168.157,194.145,28.981,26.643,26.643,1409,203,173,173,2.602,-28.698,1,-14
024-000001080,139,"	024","Department of Homeland Security","ICE - Federal Financial Management System (FFMS)",0,0,0,0,0,0,0,0,0,0,0,0,276.766,44.469,48.632,44.522,4.088,0.387,0.489,0.499,21,2,3,3,15.03,12.863,50,35
024-000005397,141,"	024","Department of Homeland Security","ICE - Electronic Health Record (EHR) System",3.9,0,0,0,18.954,0,0,0,2.238,0,0,0,1.075,4.16,3.936,4.007,0,0.538,0.543,0.548,9,3,3,3,0,0,0,0
024-000005363,143,"	024","Department of Homeland Security","ICE - Student and Exchange Visitor Information System (SEVIS)",7.701,0,0,0,69.42,0,0,0,17.937,0,0,0,169.091,13.472,15.105,15.552,17.284,2.638,3.045,3.076,104,14,16,16,2.108,3.803,15,27
024-000009538,144,"	024","Department of Homeland Security","NPPD - NS/EP PTS",10.014,0,0,0,402.296,0,0,0,0,0,0,0,2073.304,42.225,52.225,51.607,31.154,2.48,2.479,2.51,244,16,15,18,0,-0.005,0,0
024-000009508,145,"	024","Department of Homeland Security","NPPD - National Cybersecurity and Protection System (NCPS)",271.917,5.508,33.467,39.726,1091.591,92.297,58.271,42.045,13.498,6.472,5.708,5.322,1423.008,241.866,347.548,364.686,74.329,12.857,15.52,19.3,660,99,110,160,-16.691,-3.342,-4,-1
024-000009520,146,"	024","Department of Homeland Security","NPPD - ISCP (Infrastructure Security Compliance) - CSAT",0.66,0,0,0,93.432,0,0,0,2.693,0,0,0.854,142.9,13.087,13.3,14.929,9.34,1.563,1.69,0.858,88,10,12,12,-0.08,0,-1,0
024-000009560,151,"	024","Department of Homeland Security","CBP - Automated Biometric Identification System (IDENT)",0,0,5.319,5.707,0,0,58.814,52.8,0,0,0,0,536.749,166.606,143.043,172.448,29.361,10.641,10.908,7.382,189,55,54,54,-0.677,68.806,0,46
024-000009561,152,"	024","Department of Homeland Security","CBP - Arrival and Departure Information System (ADIS)",0,0,0,0,0,0,0,0,0,0,0,0,84.463,23.677,25.577,25.577,7.08,3.379,3.418,3.465,48,14,17,18,-1.91,-0.01,-7,0
024-000000591,154,"	024","Department of Homeland Security","DHS - OneNet",37.72,0,0,0,344.279,0,0,0,0,0,0,0,528.726,55.404,54.075,71.536,0,0,0,0,0,0,0,0,-39.437,-31.091,-42,-37
024-000001226,155,"	024","Department of Homeland Security","DHS - HR-IT",0,0,0,0.879,2.087,2.391,2.279,3.2,0,0,0,0,59.921,18.27,18.775,17.995,4.423,1.825,3.618,3.734,24,20,22,22,12.608,15.094,128,158
024-000001110,157,"	024","Department of Homeland Security","DHS - Homeland Secure Data Network (HSDN)",0,0,0,0,68.3,0,0,0,0,0,0,0,399.427,68.156,54.932,54.932,0,0,0,0,0,0,0,0,-0.338,0.3,0,1
024-000007127,161,"	024","Department of Homeland Security","FEMA - NFIP Information Technology Systems & Services",0,0,0,0,3.546,0,0,0,0,0,0,0,213.154,67.425,47.055,45.635,1.75,0.663,0.645,0.657,3,3,3,3,0,0,0,0
024-000007101,162,"	024","Department of Homeland Security","FEMA - Web Integrated Financial Management Information System (WebIFMIS)",0,0,0,0,0,0,0,0,0,0,0,0,72.113,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0.75,0.75,43,43
024-000007591,163,"	024","Department of Homeland Security","FEMA - Infrastructure",0,0,0,0,0,0,0,0,0,0,0,0,165.929,103.897,113.393,113.444,0.44,0,0,0,4,0,0,0,-59.629,-46.528,-36,-29
024-999990130,165,"	024","Department of Homeland Security","FEMA - Disaster Management (e-Gov)",0.49,0,0,0,0.98,0,0,0,0,0,0,0,60.392,10.908,10.846,9.025,0,0,0,0,0,0,0,0,-0.996,-1.112,-8,-9
024-999994100,166,"	024","Department of Homeland Security","FEMA - Disaster Assistance Improvement Plan (DAIP)",25.418,0,0,0,51.422,6.384,5.582,5.586,2.04,0,0,0,60.248,7.309,8.081,8.077,0,0,0,0,15,0,0,0,0,0,0,0
024-000007001,167,"	024","Department of Homeland Security","FEMA - Integrated Public Alert & Warning System (IPAWS)",35.969,0,0,0,148.583,0,0,2.8,0,0,0,0,24.062,10.852,12.149,13.998,12.263,0,0,0,94,17,14,10,0,-3.021,0,-20
024-000007333,168,"	024","Department of Homeland Security","FEMA - Logistics Systems (LSCMS)",16.634,0,0,0,62.136,0,0,0,0,0,0,0,186.411,42.875,21.27,23.169,3.736,0.125,0.13,0.131,34,1,1,1,21,-0.6,95,-3
024-000005628,170,"	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)",65.637,0,0,0,32.915,0,0,0,0,0,0,0,210.181,91.502,67.057,82.124,22.307,2.815,5.93,5.696,162,43,42,45,65.689,-2.389,229,-3
024-000005624,171,"	024","Department of Homeland Security","TSA - Security Technology Integrated Program (STIP)",6.765,0.786,0.785,0.801,60.875,8.882,8.94,8.365,1.622,0.377,0.539,0.556,67.641,3.832,3.775,4.334,1.622,0.377,0.538,0.556,24,5,7,7,0,0,0,0
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",96.768,0,0,0,150.866,0,0,0,0,0,0,0,384.279,66.548,73.529,67.648,187.077,32.481,31.582,29.997,1388,281,281,262,-12.974,0.014,-12,0
024-000005664,173,"	024","Department of Homeland Security","TSA - Technology Infrastructure Modernization (TIM) Program",85.455,0,0,0,106.22,4.1,4.1,6.3,26.2,0,0,0,8.371,32.117,31.543,29.056,6.464,6.496,6.295,6.358,230,40,40,40,0,0.445,0,1
024-000005666,174,"	024","Department of Homeland Security","TSA - Information Technology Infrastructure Program (ITIP)",350,0,0,0,735.269,0,0,0,0,0,0,0,1694.335,339.646,322.581,334.27,220.579,45.488,42.858,43.706,1265,281,271,272,13.063,-3.225,4,-1
024-000005625,175,"	024","Department of Homeland Security","TSA - HAZMAT Threat Assessment Program (HAZMAT)",0,0,0,0,37.372,0,0,0,0,0,0,0,84.499,31.076,10.65,10.65,21.248,2.225,4.381,4.147,182,34,34,37,26.084,-1.057,361,-7
024-000005632,178,"	024","Department of Homeland Security","TSA - FAMS Mission Scheduling and Notification System (MSNS)",1.194,0,0,0,37.785,0,0,0,0,0,0,0,121.459,11.673,11.673,11.673,10.69,1.924,1.924,1.949,36,9,9,9,0.019,0,0,0
024-000005633,179,"	024","Department of Homeland Security","TSA - Transportation Vetting System",1,0,0,0,3.5,0,0,0,1.236,0,0,0,96.402,14.807,18.594,19.453,33.971,0.808,0.823,0.823,253,5,5,5,5.657,8.992,57,86
024-000005609,181,"	024","Department of Homeland Security","TSA - Performance Management Information System (PMIS)",15.2,0,0,0,4.5,0,0,0,0,0,0,0,52.494,7.1,7.5,9.425,6.1,0.802,0.975,0.985,37,6,7,7,0,0,0,0
009-000001422,184,"	009","Department of Health and Human Services","ACF Expanded Federal Parent Locator Service (OCSE)",0.981,0,0,0,10.91,0.259,0.891,0.908,0,0,0.164,0.171,182.18,19.729,20.691,22.664,35.941,2.17,2.258,2.521,66,14,16,16,-2.519,-2.366,-10.208,-8.972
009-000001462,186,"	009","Department of Health and Human Services","ACF GrantSolutions.gov / Grants Administration Tracking Evaluation System (GATES) - Grants Center of Excellence",0,0,0,0,11.113,16.341,1.364,1.388,0,0,0,0,45.598,6.051,6.507,6.627,2.585,0.397,0.404,0.408,15,3,3,3,15,0,192.579,0
009-000001424,187,"	009","Department of Health and Human Services","AHRQ Medical Expenditures Panel Survey (MEPS)",0,0,0,0,0.3,0,0,0,0,0,0,0,158.523,23.76,23.96,23.96,1.44,0.24,0.24,0.24,15,3,3,3,0,0,0,0
024-000006079,193,"	024","Department of Homeland Security","USCG - Rescue 21",754.317,0,0,0,65,0,0,0,0,0,0,0,432.32,75.204,75.204,90.981,0,0,0,0,0,0,0,0,0,0,0,0
024-000006074,194,"	024","Department of Homeland Security","USCG - Ports and Waterways Safety System (PAWSS)",0,0,0,0,0,0,0,0,0,0,0,0,17.949,17.949,17.949,17.949,0,0,0,0,0,0,0,0,0,0,0,0
024-000006005,195,"	024","Department of Homeland Security","USCG - Nationwide Automatic Identification System (NAIS)",96.011,0,0,0,23.508,0,0,0,0,0,0,0,150.382,25.485,25.485,25.485,0,0,0,0,0,0,0,0,-1,-1,-4,-4
024-000006064,196,"	024","Department of Homeland Security","USCG - Marine Information for Safety and Law Enforcement (MISLE)",0,0,0,0,0,0,0,0,0,0,0,0,95.33,9.655,9.655,9.655,0,0,0,0,0,0,0,0,0,0,0,0
024-000006117,197,"	024","Department of Homeland Security","USCG - Interagency Operations Centers (IOC)",71,0,0,0,3,0,0,0,0,0,0,0,7.164,7.164,7.164,7.164,0,0,0,0,0,0,0,0,0,0,0,0
024-000006111,198,"	024","Department of Homeland Security","USCG - Vessel Logistics System (VLS)",0,0,0,0,0,0,0,0,0,0,0,0,4.807,4.807,5.207,5.207,0.4,0.4,0,0,0,0,0,0,0,0,0,0
024-000006376,199,"	024","Department of Homeland Security","USCG - Infrastructure CGOne",0,0,0,0,0,0,0,0,0,0,0,0,24.191,24.191,24.191,24.191,0,0,0,0,0,0,0,0,0,0,0,0
024-000006010,200,"	024","Department of Homeland Security","USCG - Direct Access",0,0,0,0,31.929,0,0,0,0,0,0,0,110.693,11.833,12.016,12.117,0.672,0.355,0.366,0.377,63,7,2,2,-1.713,-0.924,-12,-7
024-000006104,201,"	024","Department of Homeland Security","USCG - Core Accounting System (CAS)",0,0,0,0,58.12,0,0,0,0,0,0,0,371.18,31.659,29.847,34.23,2.078,0.244,0,0,15,2,0,0,-7.003,-6.952,-18,-19
024-000006077,202,"	024","Department of Homeland Security","USCG - Coast Guard Business Intelligence (CGBI)",0,0,0,0,0,0,0,0,0,0,0,0,48.671,4.99,4.99,4.99,1.093,1.106,1.126,1.138,7,7,7,7,0,0,0,0
024-000006115,203,"	024","Department of Homeland Security","USCG - CG Logistics Information Management System (CG-LIMS)",14.388,0,0,0,10.378,7.8,8.5,7,0,0,0,0,1.468,3.066,3.884,3.884,0,0,0,0,0,0,0,0,4.8,0,79,0
024-000006343,204,"	024","Department of Homeland Security","USCG - C4ISR",643.371,0,0,0,117.249,36.3,36.6,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024-000006006,205,"	024","Department of Homeland Security","USCG - Asset Logistics Management Information System (ALMIS)",0,0,0,0,12.1,0,0,0,0,0,0,0,90.03,8.23,8.23,8.23,1.445,1.445,1.445,1.445,0,0,14,14,0,0,0,0
024-000006375,206,"	024","Department of Homeland Security","USCG - Infrastructure SWIRS",0,0,0,0,0,0,0,0,0,0,0,0,56.615,56.615,56.615,56.615,0,0,0,0,0,0,0,0,0,0,0,0
024-000004053,208,"	024","Department of Homeland Security","USSS - Infrastructure (Infra)",0,0,0,0,0,0,0,0,0,0,0,0,264.452,23.987,23.987,23.996,65.048,7.636,7.756,8.318,421,60,60,60,-0.081,0,0,0
024-000004010,209,"	024","Department of Homeland Security","USSS - Enterprise Financial Management System (TOPS)",0.33,0,0,0,9.4,0,0,0,0,0,0,0,48.521,3.649,4.102,4.249,0,0,0,0,0,0,0,0,0,0.356,0,10
005-000000038,214,"	005","Department of Agriculture","APHIS-Enterprise Infrastructure (AEI)",2.9,0,0,0,30.38,0,0,0,4.69,0,0,0,300.393,27.215,27.193,27.203,176.765,13.605,13.43,13.36,306,144,144,159,0,0,0,0
005-000001231,219,"	005","Department of Agriculture","FSA-103 Consolidated Farm Loan Program Information & Delivery Systems",0,0,0,0,38.766,0,5.892,2.008,25.042,1.506,1.267,1.407,54.428,15.668,4.302,5.302,28.148,3.637,2.788,2.314,82,41,32,29.75,5.384,-0.089,34.9,-0.621
005-000001870,225,"	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",32.781,0,0,0,332.378,0,4.852,0,14.981,0,0,0,38.157,56.552,43.175,47.628,0,5.556,1.711,1.001,75,44.28,13.5,8,-2.892,-0.67,-4.449,-1.329
005-000001425,227,"	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",0,0,0,0,130.268,0,9.65,9.65,17.281,0,0,0,153.313,40.714,40.406,35.529,43.621,15.411,16.501,18.817,240,138,138,138,0.174,7.444,0.311,12.593
005-000001718,228,"	005","Department of Agriculture","FNS-FNCS IT Infrastructure",0,0,0,0,0,0,0,0,0,0,0,0,55.781,19.839,20.433,21.046,17.376,5.44,5.603,5.771,96,44,44,44,5.462,5.792,27.562,28.611
005-000000083,230,"	005","Department of Agriculture","FSIS-Public Health Data Communications Infrastructure System (PHDCIS)",0.45,0,0,0,5,0.723,4.295,1.595,0,0.155,0.155,0.16,301.638,32.607,47.884,39.282,42.953,5.273,6.746,7.028,102.75,35,44.5,45,-16.784,0.047,-30.219,0.08
005-000002148,231,"	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",0,0,0,0,52.164,5.594,6.71,6.541,1.21,0.233,0.31,0.559,54.163,1.95,2.04,2.434,17.41,1.551,2.016,2.076,30,11.5,15,16.5,1.355,2.864,16.995,34.876
