"Agency Code (Investment)","Agency Name (Investment)","Bureau Code (Investment)","Parent UII","Parent Investment Title","Funding Source UII","Investment Category","Line Item Descriptor","Budget Account Code","Budget Account Name","Agency Code (from Budget Account)","Bureau Code (from Budget Account)","Alternative Bureau Code","Total IT Spending FY2015 (PY) ($ M)","Total IT Spending FY2016 (CY) ($ M)","Total IT Spending FY2017 (BY) ($ M)","DME PY Agency Funding ($ M)","DME PY Contributions ($ M)","DME CY Agency Funding ($ M)","DME CY Contributions ($ M)","DME BY Agency Funding ($ M)","DME BY Contributions ($ M)","O&M PY Agency Funding ($ M)","O&M PY Contributions ($ M)","O&M CY Agency Funding ($ M)","O&M CY Contributions ($ M)","O&M BY Agency Funding ($ M)","O&M BY Contributions ($ M)","IT Portfolio Funding Sources ID","IT Portfolio ID","Updated Date","Updated Time"
"	422","National Science Foundation","	00",422-000001361,Research.gov,422-000001361,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",2.418,2.758,1.683,0.713,0,1.341,0,0.792,0,1.705,0,1.417,0,0.891,0,553898,407376,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000001361,Research.gov,422-000001361,"	00","	04",422-00-0106,"Education and Human Resources","	422","	00","	00",1.706,1.338,1.384,0.78,0,0.536,0,0.582,0,0.926,0,0.802,0,0.802,0,553899,407376,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000001361,Research.gov,422-000001361,"	00","	04",422-00-0100,"Research and Related Activities","	422","	00","	00",11.419,8.957,9.261,5.22,0,3.589,0,3.893,0,6.199,0,5.368,0,5.368,0,553900,407376,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000001328,"Legacy Mission Applications",422-000001328,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",3.849,3.152,3.465,0,0,0,0,0.792,0,3.849,0,3.152,0,2.673,0,553901,407377,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000001328,"Legacy Mission Applications",422-000001328,"	00","	04",422-00-0106,"Education and Human Resources","	422","	00","	00",3.667,3.698,4.173,0.679,0,0.926,0,1.037,0,2.988,0,2.772,0,3.136,0,553902,407377,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000001328,"Legacy Mission Applications",422-000001328,"	00","	04",422-00-0100,"Research and Related Activities","	422","	00","	00",24.541,24.751,27.926,4.542,0,6.199,0,6.938,0,19.999,0,18.552,0,20.988,0,553903,407377,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000003,"Administrative Applications",422-000000003,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",1.2,2.05,3.05,0,0,0.85,0,0,0,1.2,0,1.2,0,3.05,0,553904,407378,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000003,"Administrative Applications",422-000000003,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",0.19,0.394,0.396,0,0,0,0,0,0,0.19,0,0.394,0,0.396,0,553905,407378,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000016,"IT Security and Privacy Initiatives",422-000000016,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",2.79,3.033,3.033,0.45,0,0.693,0,0,0,2.34,0,2.34,0,3.033,0,553906,407379,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000016,"IT Security and Privacy Initiatives",422-000000016,"	00","	04",422-00-0100,"Research and Related Activities","	422","	00","	00",2.557,2.591,3.461,0.016,0,0.016,0,0.87,0,2.541,0,2.575,0,2.591,0,553907,407379,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000016,"IT Security and Privacy Initiatives",422-000000016,"	00","	04",422-00-0106,"Education and Human Resources","	422","	00","	00",0.382,0.387,0.517,0.002,0,0.002,0,0.13,0,0.38,0,0.385,0,0.387,0,553908,407379,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000016,"IT Security and Privacy Initiatives",422-000000016,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",0.798,0.788,0.792,0.065,0,0.093,0,0,0,0.733,0,0.695,0,0.792,0,553909,407379,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-999990160,Grants.gov,422-999990160,"	24","	04",422-00-0100,"Research and Related Activities","	422","	00","	00",0.45,0.436,0.263,0.45,0,0.436,0,0.263,0,0,0,0,0,0,0,553910,407380,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-999990160,Grants.gov,422-999990160,"	24","	04",422-00-0106,"Education and Human Resources","	422","	00","	00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553911,407380,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-999991200,"LOB: Human Resource Management",422-999991200,"	24","	04",422-00-0100,"Research and Related Activities","	422","	00","	00",0.065,0.065,0.065,0.065,0,0.065,0,0.065,0,0,0,0,0,0,0,553912,407381,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-999991200,"LOB: Human Resource Management",422-999991200,"	24","	04",422-00-0106,"Education and Human Resources","	422","	00","	00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553913,407381,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-999993200,"LOB: Budget Formulation",422-999993200,"	24","	04",422-00-0100,"Research and Related Activities","	422","	00","	00",0.105,0.105,0.11,0.105,0,0.105,0,0.11,0,0,0,0,0,0,0,553914,407382,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-999993200,"LOB: Budget Formulation",422-999993200,"	24","	04",422-00-0106,"Education and Human Resources","	422","	00","	00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553915,407382,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-999993100,"LOB: Geospatial",422-999993100,"	24","	04",422-00-0100,"Research and Related Activities","	422","	00","	00",0.025,0.025,0.025,0.025,0,0.025,0,0.025,0,0,0,0,0,0,0,553916,407383,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-999993100,"LOB: Geospatial",422-999993100,"	24","	04",422-00-0106,"Education and Human Resources","	422","	00","	00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553917,407383,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-999991100,"LOB: Financial Management",422-999991100,"	24","	04",422-00-0100,"Research and Related Activities","	422","	00","	00",0.132,0.139,0.139,0.132,0,0.139,0,0.139,0,0,0,0,0,0,0,553918,407384,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-999991100,"LOB: Financial Management",422-999991100,"	24","	04",422-00-0106,"Education and Human Resources","	422","	00","	00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553919,407384,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000026,"Human Resources Support System",422-000000026,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",1.35,1.35,1.35,0,0,0,0,0,0,1.35,0,1.35,0,1.35,0,553920,407385,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000026,"Human Resources Support System",422-000000026,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",0.38,0.394,0.396,0,0,0,0,0,0,0.38,0,0.394,0,0.396,0,553921,407385,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-999990230,"Integrated Award Environment",422-999990230,"	24","	04",422-00-0100,"Research and Related Activities","	422","	00","	00",0.235,0.235,0.836,0,0,0,0,0,0,0.235,0,0.235,0,0.836,0,553922,407386,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-999990230,"Integrated Award Environment",422-999990230,"	24","	04",422-00-0106,"Education and Human Resources","	422","	00","	00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553923,407386,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000033,"Enterprise Architecture",422-000000033,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553924,407387,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000033,"Enterprise Architecture",422-000000033,"	00","	04",422-00-0100,"Research and Related Activities","	422","	00","	00",0.656,0.656,0.656,0,0,0,0,0,0,0.656,0,0.656,0,0.656,0,553925,407387,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000033,"Enterprise Architecture",422-000000033,"	00","	04",422-00-0106,"Education and Human Resources","	422","	00","	00",0.098,0.098,0.098,0,0,0,0,0,0,0.098,0,0.098,0,0.098,0,553926,407387,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000033,"Enterprise Architecture",422-000000033,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",0.19,0.197,0.198,0,0,0,0,0,0,0.19,0,0.197,0,0.198,0,553927,407387,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000004,"Enterprise Data Warehouse",422-000000004,"	00","	04",422-00-0100,"Research and Related Activities","	422","	00","	00",2.175,2.175,7.014,0.435,0,0.435,0,4.839,0,1.74,0,1.74,0,2.175,0,553928,407388,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000004,"Enterprise Data Warehouse",422-000000004,"	00","	04",422-00-0106,"Education and Human Resources","	422","	00","	00",0.325,0.325,1.048,0.065,0,0.065,0,0.723,0,0.26,0,0.26,0,0.325,0,553929,407388,2016-01-05,17:38:59
"	422","National Science Foundation","	00",422-000000004,"Enterprise Data Warehouse",422-000000004,"	00","	04",422-00-0180,"Agency Operations and Award Management","	422","	00","	00",0.57,0.591,0.594,0.114,0,0.118,0,0.037,0,0.456,0,0.473,0,0.557,0,553930,407388,2016-01-05,17:38:59
"	393","National Archives and Records Administration","	00",393-000000190,"Regulatory Systems",393-000000190,"	00","	04",393-00-0300,"Operating Expenses","	393","	00","	00",0.649,0.762,0.759,0.195,0,0.051,0,0.051,0,0.454,0,0.711,0,0.708,0,556794,409800,2016-01-06,19:25:16
"	393","National Archives and Records Administration","	00",393-000000150,"Non-Electronic Records Systems",393-000000150,"	00","	04",393-00-0300,"Operating Expenses","	393","	00","	00",5.158,5.068,4.816,3.121,0,2.123,0,1.848,0,2.037,0,2.945,0,2.968,0,556795,409801,2016-01-06,19:25:16
"	393","National Archives and Records Administration","	00",393-000000150,"Non-Electronic Records Systems",393-000000150,"	00","	04",393-00-4578,"Records Center Revolving Fund","	393","	00","	00",7.775,7.69,7.063,3.954,0,4.067,0,3.423,0,3.821,0,3.623,0,3.64,0,556796,409801,2016-01-06,19:25:16
"	393","National Archives and Records Administration","	00",393-000000300,"IT Organizational Functions",393-000000300,"	00","	04",393-00-0300,"Operating Expenses","	393","	00","	00",10.988,12.5295,13.256,10.844,0,12.3695,0,13.094,0,0.144,0,0.16,0,0.162,0,556797,409802,2016-01-06,19:25:16
"	393","National Archives and Records Administration","	00",393-000000300,"IT Organizational Functions",393-000000300,"	00","	04",393-00-4578,"Records Center Revolving Fund","	393","	00","	00",4.208,4.272,4.637,4.127,0,4.182,0,4.549,0,0.081,0,0.09,0,0.088,0,556798,409802,2016-01-06,19:25:16
"	393","National Archives and Records Administration","	00",393-000000100,"Electronic Records Systems",393-000000100,"	00","	04",393-00-0300,"Operating Expenses","	393","	00","	00",33.636,33.333,38.408,18.523,0,18.45,0,23.65,0,15.113,0,14.883,0,14.758,0,556799,409803,2016-01-06,19:25:16
"	393","National Archives and Records Administration","	00",393-000000100,"Electronic Records Systems",393-000000100,"	00","	04",393-00-4578,"Records Center Revolving Fund","	393","	00","	00",0.338,0.364,0.36,0.301,0,0.288,0,0.283,0,0.037,0,0.076,0,0.077,0,556800,409803,2016-01-06,19:25:16
"	393","National Archives and Records Administration","	00",393-000000200,"IT Infrastructure",393-000000200,"	00","	04",393-00-0300,"Operating Expenses","	393","	00","	00",22.824,22.6075,22.93,0,0,0,0,0,0,22.824,0,22.6075,0,22.93,0,556801,409804,2016-01-06,19:25:16
"	393","National Archives and Records Administration","	00",393-000000200,"IT Infrastructure",393-000000200,"	00","	04",393-00-4578,"Records Center Revolving Fund","	393","	00","	00",9.768,7.8195,8.456,0,0,0,0,0,0,9.768,0,7.8195,0,8.456,0,556802,409804,2016-01-06,19:25:16
"	393","National Archives and Records Administration","	00",393-000000175,"Business Support Systems",393-000000175,"	00","	04",393-00-0300,"Operating Expenses","	393","	00","	00",11.552,9.458,10.576,4.286,0,1.811,0,2.161,0,7.266,0,7.647,0,8.415,0,556803,409805,2016-01-06,19:25:16
"	393","National Archives and Records Administration","	00",393-000000175,"Business Support Systems",393-000000175,"	00","	04",393-00-4578,"Records Center Revolving Fund","	393","	00","	00",3.164,3.408,3.618,0.212,0,0.306,0,0.483,0,2.952,0,3.102,0,3.135,0,556804,409805,2016-01-06,19:25:16
"	393","National Archives and Records Administration","	00",393-000000175,"Business Support Systems",393-000000175,"	00","	04",393-00-8436,"National Archives Trust Fund","	393","	00","	00",0.3,0.307,0.308,0,0,0,0,0,0,0.3,0,0.307,0,0.308,0,556805,409805,2016-01-06,19:25:16
"	393","National Archives and Records Administration","	00",393-999990160,"Grants Management",393-999990160,"	24","	04",393-00-0300,"Operating Expenses","	393","	00","	00",0.036,0.039,0.037,0,0,0,0,0,0,0.036,0,0.039,0,0.037,0,556806,409806,2016-01-06,19:25:16
"	202","U.S. Army Corps of Engineers","	00",202-000004014,"HQ and Small Offices Regional IT",202-000004014,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",6.624,6.038,8,0,0,0,0,0,0,6.624,0,6.038,0,8,0,557720,410366,2016-01-06,19:57:15
"	202","U.S. Army Corps of Engineers","	00",202-000004007,"South Pacific Division (SPD) Regional IT",202-000004007,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",7.806,6.596,7,0,0,0,0,0,0,7.806,0,6.596,0,7,0,557721,410367,2016-01-06,19:57:15
"	202","U.S. Army Corps of Engineers","	00",202-000001033,"Program and Project Management System (PROMIS Phase 2) (P2)",202-000001033,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",9.1,11.1,13.25,0.6,0,2.1,0,4.25,0,8.5,0,9,0,9,0,557722,410368,2016-01-06,19:57:15
"	202","U.S. Army Corps of Engineers","	00",202-000001060,"Real Estate Management Information System (REMIS)",202-000001060,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",8.833,7.38,10.88,2.103,0,0,0,3.5,0,6.73,0,7.38,0,7.38,0,557723,410369,2016-01-06,19:57:15
"	202","U.S. Army Corps of Engineers","	00",202-000001060,"Real Estate Management Information System (REMIS)",202-000001060,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",2.9,3,3,0,0,0,0,0,0,2.9,0,3,0,3,0,557724,410369,2016-01-06,19:57:15
"	202","U.S. Army Corps of Engineers","	00",202-000000066,"IT Infrastructure (II)",202-000000066,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",205.345,193.856,215,0,0,0,0,0,0,205.345,0,193.856,0,215,0,557725,410370,2016-01-06,19:57:15
"	202","U.S. Army Corps of Engineers","	00",202-000004006,"North Western Division (NWD) Regional IT",202-000004006,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",17.742,18.011,18.1,0,0,0,0,0,0,17.742,0,18.011,0,18.1,0,557726,410371,2016-01-06,19:57:15
"	202","U.S. Army Corps of Engineers","	00",202-000001040,"Corps of Engineers Automated Legal System (CEALS)",202-000001040,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",2.379,2.239,2.23,0,0,0,0,0,0,2.379,0,2.239,0,2.23,0,557727,410372,2016-01-06,19:57:15
"	202","U.S. Army Corps of Engineers","	00",202-000004011,"Transatlantic Division (TAD)  Regional IT",202-000004011,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",12.489,13.388,4.2,0,0,0,0,0,0,12.489,0,13.388,0,4.2,0,557728,410373,2016-01-06,19:57:15
"	202","U.S. Army Corps of Engineers","	00",202-000000038,"South Atlantic Division (SAD) Regional IT",202-000000038,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",10.45,10.3,11.4,0,0,0,0,0,0,10.45,0,10.3,0,11.4,0,557729,410374,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001104,"Regional Business Center (RBC)",202-000001104,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",0,0,0.422,0,0,0,0,0,0,0,0,0,0,0.422,0,557730,410375,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001056,"Computer Aided Structural Engineering (CASE)",202-000001056,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",0.87,0.8,0.844,0,0,0,0,0,0,0.87,0,0.8,0,0.844,0,557731,410376,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000000125,"Formerly Used Defense Management Information System (FUDSMIS)",202-000000125,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",1.049,1.1,1.1,0,0,0,0,0,0,1.049,0,1.1,0,1.1,0,557732,410377,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001010,"Corps of Engineers Financial Management System (CEFMS)",202-000001010,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",10.818,10.899,13.231,0,0,0,0,0,0,10.818,0,10.899,0,13.231,0,557733,410378,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001010,"Corps of Engineers Financial Management System (CEFMS)",202-000001010,"	00","	04",202-00-3123,"Operation and Maintenance","	202","	00","	00",0,0,1.2,0,0,0,0,1.2,0,0,0,0,0,0,0,557734,410378,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001011,"Automated Personal Property Management Systems (APPMS)",202-000001011,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",0.957,1.105,0.505,0.5,0,0.6,0,0,0,0.457,0,0.505,0,0.505,0,557735,410379,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-999993200,"Budget Formulation",202-999993200,"	24","	04",202-00-3124,Expenses,"	202","	00","	00",0.105,0.08,0.11,0,0,0,0,0,0,0.105,0,0.08,0,0.11,0,557736,410380,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000004001,"Electronic Document and Records Management System (EDRMS)",202-000004001,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",2.335,2.66,2.88,0,0,0,0,0,0,2.335,0,2.66,0,2.88,0,557737,410381,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001032,"Resident Management System (RMS)",202-000001032,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",2.7,2.7,3.224,0,0,0,0,0,0,2.7,0,2.7,0,3.224,0,557738,410382,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001018,"Electronic Capital Planning and Investment Control (eCPIC)",202-000001018,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",0.25,0.25,0.25,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,557739,410383,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000000058,"Fish Tracking",202-000000058,"	00","	04",202-00-3123,"Operation and Maintenance","	202","	00","	00",10,10,10,0,0,0,0,0,0,10,0,10,0,10,0,557740,410384,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000004004,"North Atlantic Division (NAD) Regional IT",202-000004004,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",17.436,17.434,13.4,0,0,0,0,0,0,17.436,0,17.434,0,13.4,0,557741,410385,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001162,"Rental Facilities Management Information System (RFMIS)",202-000001162,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",12.013,14,8.7,0,0,0,0,0,0,12.013,0,14,0,8.7,0,557742,410386,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001162,"Rental Facilities Management Information System (RFMIS)",202-000001162,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",0,0,5.3,0,0,0,0,5.3,0,0,0,0,0,0,0,557743,410386,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001020,"Emergency Response Program (ENGLink)",202-000001020,"	00","	04",202-00-3125,"Flood Control and Coastal Emergencies","	202","	00","	00",0.894,1.03,1.299,0,0,0,0,0,0,0.894,0,1.03,0,1.299,0,557744,410387,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001020,"Emergency Response Program (ENGLink)",202-000001020,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",0.05,0.05,0.05,0,0,0,0,0,0,0.05,0,0.05,0,0.05,0,557745,410387,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000004016,"Army Geospatial Center (AGC) Regional IT",202-000004016,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",1.699,2.54,2.54,0,0,0,0,0,0,1.699,0,2.54,0,2.54,0,557746,410388,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000004008,"South Western Division (SWD) Regional IT",202-000004008,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",9.76,9.927,10.5,0,0,0,0,0,0,9.76,0,9.927,0,10.5,0,557747,410389,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001160,"Real Estate Corporate Information System (RECIS)",202-000001160,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",0.344,0.344,0.4,0,0,0,0,0,0,0.344,0,0.344,0,0.4,0,557748,410390,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000000035,"American Forces Public Information Management System (AFPIMS)",202-000000035,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",0.356,0.356,1.2,0,0,0,0,0,0,0.356,0,0.356,0,1.2,0,557749,410391,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000004013,"Engineer Research and Development Center (ERD) Regional IT",202-000004013,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",5.9,5.9,8.2,0,0,0,0,0,0,5.9,0,5.9,0,8.2,0,557750,410392,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001031,"Civil Works Business Intelligence (CWBI)",202-000001031,"	00","	04",202-00-3123,"Operation and Maintenance","	202","	00","	00",5.569,5.659,6.8,0.106,0,0.025,0,0.99,0,5.463,0,5.634,0,5.81,0,557751,410393,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001031,"Civil Works Business Intelligence (CWBI)",202-000001031,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557752,410393,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001031,"Civil Works Business Intelligence (CWBI)",202-000001031,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557753,410393,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001102,"Corps of Engineers Enterprise Management Information System (CEEMIS)",202-000001102,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",0.5803,0,0,0,0,0,0,0,0,0.5803,0,0,0,0,0,557754,410394,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001012,"Facilities and Equipment Maintenance (FEM) System",202-000001012,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",1.992,2.337,2.817,0,0,0,0,0,0,1.992,0,2.337,0,2.817,0,557755,410395,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-999990010,"Recreation.Gov and Recreation One Stop Web Page Support",202-999990010,"	24","	04",202-00-3123,"Operation and Maintenance","	202","	00","	00",0.065,0.065,0.05,0,0,0,0,0,0,0.065,0,0.065,0,0.05,0,557756,410396,2016-01-06,19:57:16
"	202","U.S. Army Corps of Engineers","	00",202-000001055,"CACES (Computer Aided Cost Engineering System)",202-000001055,"	00","	04",202-00-4902,"Revolving Fund","	202","	00","	00",1.135,1.135,1.5,0,0,0,0,0,0,1.135,0,1.135,0,1.5,0,557757,410397,2016-01-06,19:57:16
