"BRM Code","BRM Name"
"	322","Public Communications Infrastructure"
"	323","Intelligence, Surveillance, and Reconnaissance"
"	324","Adjudicate Non-Judicial Requests"
"	325","Information Discovery"
"	326","IT System Development / Integration Support"
"	327","Enterprise Licenses and Software"
"	328","Collect Revenues and User Fees"
"	329","Continuity of Operations"
"	330","Legislative Relations"
"	331","International Security Assistance"
"	332","Hospital and medical care for veterans"
"	333","Veteran Benefits and Services"
"	334","Emergency Energy Preparedness"
"	336","Seized Asset Management"
"	337","Credential Issuance and Management"
"	338","Enterprise Search"
"	339","Information Mapping / Taxonomy / Categorization"
"	340","Collaboration Tools"
"	341","Web Infrastructure"
"	342","Energy Transportation and Transmission"
"	343","Audio / Video Conferencing"
"	344","Content Management"
"	345","Management of Government Records"
"	346","Criminal and Terrorist Threat Mitigation"
"	347","Criminal Management"
"	348","Execute Court Orders"
"	349","Nonproliferation and Threat Reduction"
"	350","Nuclear Emergency Management and Response"
"	351","Defense Nuclear Security "
"	352","Witness Protection"
"	353","Information Exchange and Transformation"
"	354","IT Strategy and Innovation"
"	355",Medicare
"	356",Medicaid
"	358","Healthcare and Regulatory Science Research"
"	359","CHIP (Children's Health Insurance Program)"
"	360","Hospital and medical care for American Indians, Alaska Natives"
"	361","American Indian and Alaskan Native Relations"
"	362","Federal Financial Assistance"
"	363","Federal Funds to States and Local Governments"
"	364","Counter-Proliferation and Counter-Terrorism "
"	365","Nuclear Propulsion "
"	366","Biomedical Research"
"	367","International Development"
"	368","Humanitarian Aid"
"	369","Beneficiary & Earnings Records"
"	370","Intelligence Strategy and Policy Integration"
"	371","Intelligence Lifecycle Planning"
"	372","Intelligence Collection Tasking"
"	373","Intelligence Target Collection"
"	374","Intelligence Holdings Processing"
"	375","Intelligence Holdings Ingest and Storage"
"	376","Intelligence Holdings Analysis"
"	377","Intelligence Product Production"
"	378","Intelligence Data Access and Delivery"
"	379","Special Intelligence Activities"
"	380","Community Functional Management"
"	381","Community Deployed Resources"
"	382","Compliance and Enforcement of Government Health Regulations"
"	383","Healthcare Needs of Special Populations"
"	384","Preparation against threats of Bioterrorism, Pandemic and Emerging Infectious Diseases"
"	385","Access to Safe and Efficacious medical products "
"	386","Global Supply Chain Safety - Foods and Regulated Products"
"	517","External Partner Relationship Management "
"	518","Customer Feedback"
"	530","Process Tracking"
"	531","Case Management"
"	533","Correspondence Management"
"	538","Program / Project Management"
"	546","Portfolio Management"
"	547","Performance Management"
"	576","Knowledge Capture"
"	577","Knowledge Distribution and Delivery"
"	579","Record Linking / Association"
"	590","Mapping / Geospatial"
"	592","Data Mining"
"	601","Data Exchange"
"	603","Data Warehouse"
"	604","Meta Data Management"
"	605","Data Cleansing"
"	608","Data Recovery"
"	613","Time Reporting"
"	618","Employee Development and Training"
"	624",Payroll
"	644","Workforce Directory / Locator"
"	648","Identification and Authentication"
"	649","Access Control"
"	650",Cryptography
"	651","Digital Signature Management"
"	654","Incident Response"
"	655","Audit Trail Capture and Analysis"
"	656","Certification and Accreditation"
"	659",Email
"	661","Document Management and workflow"
"	666",Classification
"	673","Community Management"
"	674","Computer/ Network Integration"
"	675","Voice Communications"
"	678","System Resource Usage"
"	680","Issue Tracking"
"	681","Forms Management"
