Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Legislative Mandate Required,Legislative Mandate Description,Audit Finding Resolution Required,Audit Finding Resolution Description,Published Agency Strategic Performance Plan Required,Published Agency Strategic Performance Plan Description,Published Agency Strategic Performance Plan PRM Codes,Presidential Priority Required,Presidential Priority Description,Other Requirement Required,Other Requirement Description,Updated Date,Updated Time
"006-000525200","629","006","Department of Commerce","BEA Estimation Information Technology System (BEA-EITS)","yes","As a federal statistical agency, protecting confidential statistical information is central to BEA s mission. Laws prohibit the sharing of confidential or pre-release statistical source data. BEA conducts ongoing surveys covering international trade in services and foreign direct investment and the operations of multinational companies. U.S. Code Title 13, Title V of the 2002 E-Government Act, Confidential Information Protection and Statistical Efficiency Act (CIPSEA), and U.S. Code Title 22 (containing the International Investment and Trade in Services Act) require statistical agencies to maintain the confidentiality of information collected for statistical purposes. These laws limit access to and use of statistical data collected. Statistical Policy Directive No. 3 prohibits the disclosure of pre-release data between statistical agencies without prior authorization from OMB.","no","","yes","BEA's strategic plan.","P42-006-081","no","","yes","Release Schedule approved by OMB and published in advance for each calendar year.","09/13/2012","16:50:03"
"006-000400100","648","006","Department of Commerce","Census - American Community Survey (ACS)","yes","Title 13 U.S. Code; P.L. 94-171.","no","","yes","ACS supports the DOC strategic goal of providing timely, relevant, accurate, and accessible benchmark measures of the U.S. population, economy, and governments to leverage U.S. competitiveness, identify new business opportunities, and foster domestic job growth.","","no","","yes","U.S. Constitution; Article I; Section 2.","09/13/2012","16:09:51"
"006-000400900","678","006","Department of Commerce","Census - Geographic Support Systems (GSS)","yes","US Constitution, Article 1, Section 2.","yes","OIG-12-024-I: High-Quality Maps and Accurate Addresses Are Needed to Achieve Census 2020 Cost-Saving Goals.","yes","U.S. Department of Commerce Strategic Plan FY 2011 - 2016.","","yes","Executive Order 12906; Public Law 103-430; OMB Circular A-16 Revised; Place-Based Initiative.","yes","Spatial Data Steward Responsibilities: FGDC &amp; Geospatial One-Stop (OMB Circular A-16 Revised).","09/13/2012","14:19:20"
"006-000310100","701","006","Department of Commerce","NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS)","no","","no","","yes","It specifically supports NOAA's Weather Ready Nation long-term goal to: 1 - reduce loss of life, property, and disruption from high-impact events; 2 - improve transportation efficiency and safety; and 3 - contribute to a more productive and efficient economy through environmental information relevant to key sectors of the US economy.","P43-006-081","no","","no","","09/16/2011","13:33:02"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","yes","- 15 USC 313 Weather Service Organic Act: NWS with WCOSS support has primary responsibility among Federal agencies to provide meteorological reporting and forecasting in the United States. - 49 USC 44720: NWS with WCOSS support provides meteorological services necessary for safe and efficient movement of aircraft in air commerce. -High-Performance Computing Act of 1991 - Title I: WCOSS supports improving numerical prediction software; acceleration of high-performance computer system development; technical support and research and development of software and hardware needed to address fundamental problems in environmental science; providing weather information which supports educating undergraduate and graduate students studying environmental sciences; and weather information to DHS and DoD for security.","no","","yes","NOAA High Peformance Computing Strategy published October 16, 2008, Strategic Plan for FY2011-2015 -- see http://www.cio.noaa.gov/HPCC/pdfs/HPC_Strategic_Plan.pdf.","P43-006-081","no","","yes","WCOSS is essential to the U.S. Government per the guidelines in NATIONAL WEATHER SERVICE INSTRUCTION 10-2202, September 5, 2006, Operations and Services, Readiness 10-22, CONTINUITY OF OPERATIONS and includes Presidential Decision Directive (PDD)-67.","09/14/2012","12:44:14"
"006-000380400","711","006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System","yes","High-Performance Computing Act of 1991 - Title I: High-Performance Computing and the National Research and Education NetworkRequires the National Oceanic and Atmospheric Administration (NOAA) to conduct basic and applied research in weather prediction and ocean sciences.","no","","yes","NOAA IT Strategic Plan High Performance Computing (HPC) provides much of the underlying infrastructure used for climate computing and storm modeling. HPC will support critical performance capabilities that include: on-time delivery of forecast model products, hosting a diverse set of environmental models, transfer of new and enhanced science from research systems into operations, driving continuous improvements to operational forecast model products.","P41-006-082","no","","no","","09/13/2013","15:58:47"
"006-000400700","715","006","Department of Commerce","Census - Economic Census and Surveys","yes","1)Title 13 of the United States Code provides for the confidentiality of responses to various surveys and censuses. 2)Title 15 of the Code of Federal Regulations contains regulations pertaining to: foreign trade statistics, the official Census Bureau seal, the training of foreign countries in census procedures and general statistics, and cutoff dates for recognition of boundary changes for the decennial census and for furnishing personal data from the census of population and income estimates. 3)Foreign Relations Authorization Act, Public Law 107-228. This rule was published in the Federal Register on June 2, 2008, amending Title 15, Code of Federal Regulations, Part 30, Foreign Trade Regulations in its entirety. Effective July 2, 2008, the Census Bureau is requiring mandatory filing of export information through the Automated Export System for all shipments where a Shipper s Export Declaration is required.","no","","yes","Objective 14- Enable informed decision-making through an expanded understanding of the U.S. economy, society, and environment by providing timely, relevant, trusted, and accurate data, standards, and services.","","yes","Section 401 of Executive Order 12656 directs the Secretary of Commerce to provide for the collection and reporting of census information on human and economic resources and to maintain a capability to conduct emergency surveys to provide information on the status of these resources as required for national security.","no","","09/13/2012","14:17:35"
"006-000400800","716","006","Department of Commerce","Census - Field Support Systems","no","","no","","yes","FSS supports DOC Objective 14: Improve understanding of the US economy, society and environment by providing timely, relevant, trusted and accurate data, standards and services enabling entities to make informed decisions.","","no","","yes","White House Circular: Coordination of Geographic Information and Related Spatial Data Activities White House Memorandum: Developing Effective Place-Based Policies for the FY 2011 Budget.","09/14/2011","14:47:21"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","yes","Under the Federal Financial Management Improvement Act (FFMIA) of 1996, the DOC is required to have financial management systems that comply with federal financial management system requirements, federal accounting standards, and the U.S. Government Standard General Ledger at the transaction level.","yes","CBS has enabled the Department to achieve a clean audit opinion for the past 13 years.","no","","","no","","no","","09/14/2011","14:54:18"
"006-000400300","724","006","Department of Commerce","Census - Data Access and Dissemination System (DADS)","no","","no","","yes","DADS supports  objective 14 - Enable informed decision-making through an expanded understanding of the U.S. economy, society, and environment by providing timely, relevant, trusted, and accurate data, standards, and services; and objective 20 - Promote information access and transparency through the use of technology, fuller understanding of customer requirements, and new data products and services.  DADS is composed of the internal and external American FactFinder (AFF) systems , and the Data Product Production (DPP) systems. DADS has created, produced, and disseminated Census 2010 and other Census Bureau data and products continuously since its inception in 1997. Currently, AFF is the Census Bureau s primary disseminator  of predefined and customized tables for Census 2010 data, the American Community Survey and various Economic Censuses and Surveys. The DPP system tabulates data from Census 2000 and creates products such as the Public Law 94-171 Redistricting Files.","","no","","no","","09/16/2011","12:45:55"
"006-000051100","725","006","Department of Commerce","Consolidated HCHB IT Infrastructure (CHII)","yes","IPv6 (M-05-22) - The network infrastructure will be running dual stack in preparation for the OMB mandate to have all public facing applications supporting IPv6 in September 2012. TIC (M-08-05) - Migrate from existing Internet circuits to TIC mandated service provider (MTIPS). Federal data center consolidation - Migrate servers from existing server rooms (14 server rooms scattered throughout the building) to one common data center, the CSR.  The CSR will provide better energy efficiency and helps meet the Federal Data Center Consolidation Initiatives.","no","IG 2009 Security Audit:Improve system patching procedures to ensure all products are patched and current with vendor released levels FY 2011 Financial Audit :IG Report addresses the needs to improve the skills and certification levels of staff with IT security roles.","no","EDA FY 2011-2016 IT Strategic Plan, published June 2011:Establishes the strategic direction for EDA IT.","P43-006-083","yes","Mandated reporting requirement for FISMA, specifically for automated data feeds Developing Vulnerability management processes and procedures using Tenable (SCAP) compliant vulnerability scanner.  This tool is currently being used to provide automated data feeds for CVE, CPE, and CCE data sets for OITS managed assets.","no","IPV6, HSPD12. OMB IT Management Reform, CITR006.","09/13/2013","14:25:43"
"006-000320500","770","006","Department of Commerce","NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS)","no","","no","","yes","Within NOAA's NEXT-GENERATION STRATEGIC PLAN, CLASS supports several strategic goals and objectives. The first strategic goal the CLASS supports is NOAA s Mission of Science, Service, and Stewardship. CLASS is encompassed within the mission element of To share that knowledge and information with other and to further provide the continuous delivery of a range of Earth observations and scientific data sets for use by public, private, and academic sectors . Under NOAA s Climate Mission, CLASS is encompassed within NOAA s Long-term Goals of Climate Adaptation and Mitigation to provide An informed society anticipating and responding to climate and its impacts . Further, Class is supporting the specific Objective of Improved scientific understanding of the changing climate system and its impacts - CLASS also supports NOAA s Enterprise-wide Capabilities Objective to provide accurate and reliable data from sustained and integrated Earth observing systems.","P41-006-082","no","","no","","09/16/2011","13:33:00"
"006-000310600","776","006","Department of Commerce","NOAA/NWS/ National Weather Service Telecommunication Gateway (NWSTG) System (Legacy, Replacement, and Critical Infrastructure Protection)","no","","no","","yes","This investment is in direct support of NOAA's Next Generation Strategic Plan.  It specifically supports NOAA's Weather Ready Nation long-term goal to: 1 - reduce loss of life, property, and disruption from high-impact events; 2 - improve transportation efficiency and safety; and 3 - contribute to a more productive and efficient economy through environmental information relevant to key sectors of the US economy.","P43-006-081","no","","no","","09/16/2011","13:33:20"
"006-000731200","782","006","Department of Commerce","NTIA - Radio Spectrum Management - Federal Spectrum Management System (FSMS)","no","","no","","yes","In support of NTIA goals for economic growth, science and information, and organizational excellence, systems achieved through the FSMS investment are critical to IT strategic goal #4 - Enhanced Mission Efficiency and EffectivenessThrough Business Process and Application Technology.","P43-006-084,P42-006-084,P41-006-081","no","Presidential Memorandum -- Expanding America's Leadership in Wireless Innovation.","yes","Spectrum Management Initiative, Report 2, Recommendation 7: - President's Spectrum Policy Initiative; - Modernize Spectrum Management Systems; - Collaborate with FCC and IRAC Agencies; - Achieve Target Architecture; - Implement New Data Dictionary; - Meet Paperless Spectrum Management Initiative Recommendations;- and, Institutionalize Dependable and Repeatable Software Development Processes.","09/16/2011","13:59:06"
"006-000351100","925","006","Department of Commerce","NOAA/NOAA/ IT Infrastructure","yes","The Federal Information Security Management Act of 2002 (&quot;FISMA&quot;, 44 U.S.C. 3541, et seq.). NOAA activities related to this legislation include a cyber security monitoring center and other tools for intrusion detection and prevention, continuous monitoring of all IT security systems, a secure and reliable form of identification, e.g. HSPD-12, and trusted internet connections.","no","","yes","NOAA Strategic It Plan, June 2011: http://www.cio.noaa.gov/Policy_Programs/NOAA_SITP_2012-2016v3_FINAL_6.6.11.pdf. NOAA IT Infrastructure activities included in this plan: Unified Messaging System, NOAALink, NOAAnet and IT security activities described in relation to FISMA, above.NOAA Strategic Information Resource Management plan in final draft as of July 30, 2013, with goals for improving information services and making them more efficient, enhancing IT security and improving workforce management.","P43-006-084","yes","Executive Of the President, Office of Science and Technology Policy: Increasing Access to the Results of Federally Funded Scientific Research - NOAA's plan in response, focusing on both data and information sharing, to be final in August, 2013 - comment period closed July 19,2013.","no","","09/13/2013","15:37:57"
"006-999994060","926","006","Department of Commerce","OS OHRM Human Resource Management System (HRMS)","yes","This investment coincides with the of the Office of Personnel Management (OPM) HR Line of Business (HR LOB) eGov initiative to provide an Agency-wide, modern, cost-effective, standardized and interoperable HR solution that   Delivers common, core functionality to support the strategic management of human capital and  Addresses the manual and inefficient processing of HR transactions across the Agency. Additionally, there are a number of HR related mandates with which DOC has difficulty complying given the lack of HR automation. For example, DOCs ability to comply with and report progress toward the objectives of the President's Hiring Reform Initiative is challenged by the lack of HR process automation and data visibility. This investment is critical to support re-engineering of key business processes in accordance with the President s Federal Government-wide Hiring Reform Initiative to increase efficiencies and strengthen effectiveness.","yes","The investment provides direct remediation for deficiencies identified in the GAO's report, GAO-10-874, to the Department of Commerce, Increases in Commercial Service Workforce Should Be Better Planned, dated August 31, 2010. In the report the GAO reviewed (1) how well Commercial Services (CS) within the International Trade Association (ITA) managed its resources from 2004 to 2009, and (2) the completeness of CS s workforce plans and the quality of its fiscal year 2011 budget request. The GAO recommended that CS (1) strengthen management controls, (2) improve workforce planning, and (3) improve cost estimating related to CS s budget estimate.Migration of the Agency offices/bureaus to the HR LOB SSC solution funded by this investment will be phased. ITA CS is scheduled to migrate in FY2012. Automation of the ITA CS HR processes is critical to addressing the recommendations in the GAO audit report.","yes","This investment is referenced in the Agency's FY2011-16 strategic plan and directly supports the following management objectives: Promote information access and transparency through the use of technology, fuller understanding of customer requirements, and new data products and services that add value for customers. Provide a high level of customer service to our internal and external customers through effective and efficient functions implemented by empowered employee. Re-engineer key business processes to increase efficiencies, manage risk, and strengthen effectiveness Recruit, grow, develop, and retain a high-performing, diverse workforce with the critical skills necessary for mission success, including the next generation of scientists and engineers. Create an optimally-led Department by focusing on leadership development, accountability, and succession planning Provide an environment that empowers employees and creates a productive and safe workplace.","P41-006-083","no","","yes","The HR LOB governance structure establishes the oversight and development of the common solution(s) for the transformation of the Federal Government from a duplicative, dispersed HR IT environment to a standardized solution or set of solutions characterized by interoperability, efficiency, and service excellence. Agencies have the option to choose from a public or private shared service center for their human resources functions (core and noncore) and to facilitate a seamless integration of HR solutions. Agencies are precluded from investing in HR automation that does not use the technology solution an HR LOB shared service center.","09/13/2013","16:00:24"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","yes","The Federal Managers Financial Integrity Act (FMFIA) of 1982 requires internal controls and general conformance of financial systems with government-wide requirements.","yes","Internal Control Deficiencies have been formally documented in the refunds area of the current system.  The corrective action plan states that FPNG will standardize the refund process, interface the refund workflow and approvals with the refund transaction, link the refund transaction to its supporting documentation, and track refund request status.  The technical solution involves a COTS document management tool, a COTS workflow tool, and the ability to attach documents to financial transactions in the COTS revenue subsidiary ledger.","yes","The FPNG investment is the USPTO 2010   2015 Strategic Plan initiative to  develop and implement the next generation fee processing system (FPNG),  which supports the USPTO Management Goal:  Achieve Organizational Excellence objective to  Improve IT infrastructure and tools .   The technical solution is a service-oriented architecture, an enterprise service bus, and a rules engine.","P41-006-072,P42-006-072","no","","yes","Treasury requires agencies to move to its Over the Counter Channel Application (OTCnet) application for paper check conversion.  FPNG will encompass this transition with an integration to OTCnet.","09/16/2011","14:19:34"
