Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Contract ID,Agency Contract ID,Contract Status,Contracting Agency ID,Contract Number (PIID),IDV PIID,IDV Agency ID,Solicitation ID (Agency),Modular Approaches / Contracting,EVM Required,Match found in USAspending,Vendor Name (USAspending),Solicitation ID (USAspending),Action Obligation Amount (In $ million) (USAspending),Type of Contract (USAspending),Performance Based Contract (USAspending),Contract Start Date (USAspending),Contract End Date (USAspending),Contract Compete (USAspending),Contract Description (USAspending),Base Contract ID (USAspending),Identifying Agency ID (USAspending),Transaction Number (USAspending),Timestamp (Contract),Timestamp (Base Contract)
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","41079","","Awarded","1205","AG-3142-D-14-0111","","","AG-3142-S-14-0011","no","no","Yes","IMPRES TECHNOLOGY SOLUTIONS, INC.","","0.032884","Firm Fixed Price","","06/11/2014","09/30/2016","U","IGF::CL::IGFCISCO SMARTNET MAINTENANCE MAINTENANCE FOR 1 YEAR. REFERENCE SOLICITATIION AG-3142-S-14-0011 (REF. REQ. 681678)","130519","1205","0","2014-07-25 16:06:18","2014-07-25 16:06:18"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","41081","","Awarded","1205","AG-3142-D-14-0105","","","","no","no","Yes","GOVERNMENT ACQUISITIONS, INC.","","0.078818","Firm Fixed Price","","06/04/2014","07/03/2014","U","TIVOLI ENDPOINT MANAGER SERVERS IN ACCORDANCE WITH ATTACHED QUOTE QUT 5143554  (SEE PARTS LIST FOR DETAILS)","130521","1205","0","2014-07-25 16:06:18","2014-07-25 16:06:18"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","41083","","Awarded","1205","AG-3144-D-14-0122","","","AG-3142-D-14-0122","no","no","Yes","HARRIS IT SERVICES CORPORATION","","0.424893","Labor Hours","","06/30/2014","08/31/2014","U","IGF::OT::IGFBRIDGE CONTRACT TO PROVIDE SECURITY ENGINEERING SERVICES FROM 7/1/2014 - 8/31/2014","130523","1205","0","2014-07-25 16:06:18","2014-07-25 16:06:18"
"005-000002335","1263","005","Department of Agriculture","USDA Security Operations Center (SOC)","41085","","Awarded","1205","AG-3142-D-14-0113","","","AG-3142-S-14-0011","no","no","Yes","IMMIXTECHNOLOGY, INC.","","0.657933","Firm Fixed Price","","06/11/2014","09/30/2016","U","IGF::CL::IGFFIDELIS LICENSE AND MAINTENANCE RENEWAL; NETWITNESS HARDWARE AND SOFTWARE MAINTENANCE, POP: 6/11/2014-9/30/2016 QUOTE NUMBER:  QUO-478234-S7K6X1 AND QUO-478240-T6L8Q6","130525","1205","0","2014-07-25 16:06:18","2014-07-25 16:06:18"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","35811","","Awarded","12K3","AG32KWD110369","GS06F0530Z","4730","","yes","no","Yes","VETERAN ENGINEERING AND TECHNOLOGY, LLC","","0.776730","Firm Fixed Price","","11/04/2013","09/30/2014","U","ADTS HELP DESK","99843","12K3","0","2014-03-18 16:20:38","2014-03-18 16:20:37"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","35373","","Awarded","12G2","AG3A94D090194","GS35F4357D","4730","AG3A94S130093","","no","Yes","GENERAL DYNAMICS INFORMATION TECHNOLOGY INCORPORATED","AG-3A94-S-09-0026","21.105468","Firm Fixed Price","","07/22/2013","08/04/2014","U","ENTERPRISE OPERATIONS AND MAINTENANCE (O&M) FY09-13","99845","12G2","0","2014-03-18 16:24:38","2014-03-18 16:24:38"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","37931","","Awarded","12G2","AG3A94C120016","GS06F1169Z","4730","","","no","Yes","TISTA SCIENCE AND TECHNOLOGY CORPORATION","","2.987490","Firm Fixed Price","","07/23/2013","01/01/1970","U","IASS (C&A)","99849","12G2","","2014-03-18 16:24:38","2014-03-18 16:24:38"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","37933","","Awarded","12G2","AG3A94D131508","GS06F1169Z","4730","AG3A94S130035","","no","No","","","","","","","","","","","","","2014-03-18 09:55:42",""
"005-000000073","393","005","Department of Agriculture","AgPRS - USDA Public Safety Land Mobile Radio System","35361","","Awarded","12C2","AG7604C110050","AG7604C110050","12C2","AG7604S110131","","no","Yes","DANIELS ELECTRONICS LTD","","0.203932","Firm Fixed Price","","09/26/2013","01/01/1970","U","DANIELS ELECTRONICS EQUIPMENT REPAIR CONTRACT","99921","12C2","","2014-03-13 11:45:28","2014-03-18 16:34:30"
"005-000000073","393","005","Department of Agriculture","AgPRS - USDA Public Safety Land Mobile Radio System","35363","","Awarded","12C2","AG7604C130006","AG7604C130006","12C2","AG7604S120020","","no","Yes","M3 SERVICES, INC.","","","Firm Fixed Price","","07/29/2013","01/01/1970","U","IGF::OT::IGFNATIONAL TOWER IDIQ - MULTIPLE AWARD","99925","12C2","","2014-03-13 11:45:28","2014-03-18 16:34:30"
"005-000000073","393","005","Department of Agriculture","AgPRS - USDA Public Safety Land Mobile Radio System","35365","","Awarded","12C2","AG7604D100203","GS35F0133L","12C2","AG7604D100203","","no","Yes","RELM COMMUNICATIONS INC","","2.150000","Firm Fixed Price","","02/27/2014","04/15/2014","U","PKG2009_RRP_0024, AAP RP3, HORRELL ENTERPRISE - REPAIR RELM PORTABLE AND MOBILE RADIOS, PER ATTACHED STATEMENT OF WORK","99929","12C2","0","2014-03-13 11:45:28","2014-03-18 16:34:30"
"005-000000073","393","005","Department of Agriculture","AgPRS - USDA Public Safety Land Mobile Radio System","37837","","Awarded","12C2","AG7604C130005","AG7604C130005","12C2","AG7604S120020","","no","Yes","MCADE LLC","","","Firm Fixed Price","","07/29/2013","01/01/1970","U","IGF::OT::IGFNATIONAL TOWER IDIQ - MULTIPLE AWARD.","99923","12C2","","2014-03-13 11:45:28","2014-03-18 16:34:30"
"005-000000073","393","005","Department of Agriculture","AgPRS - USDA Public Safety Land Mobile Radio System","37839","","Awarded","12C2","AG7604C130007","AG7604C130007","12C2","AG7604S120020","","no","Yes","SUH\'DUTSING TELECOM, LLC","","","Firm Fixed Price","","07/29/2013","01/01/1970","U","IGF::OT::IGFNATIONAL TOWER IDIQ - MULTIPLE AWARD","99927","12C2","","2014-03-13 11:45:28","2014-03-18 16:34:30"
"005-000000235","1297","005","Department of Agriculture","NFC Shared Services- IT Systems","34417","","Awarded","1205","AG3142D110128","AG3142D110128","1205","","yes","yes","Yes","LOCKHEED MARTIN SERVICES, INC.","","3.456412","Time and Materials","","02/21/2014","08/21/2016","U","IFG::CL,CT::IFG","99975","1205","0","2014-03-18 16:49:00","2014-03-18 16:49:00"
"005-000000235","1297","005","Department of Agriculture","NFC Shared Services- IT Systems","34419","","Awarded","1205","AG3142D120085","AG3142D120085","1205","","yes","yes","Yes","GOVERNMENT ACQUISITIONS, INC.","AG3142S120040","1.913656","Firm Fixed Price","","03/14/2014","05/31/2017","U","IGF::CT::IGF","99977","1205","0","2014-03-18 16:49:00","2014-03-18 16:49:00"
"005-000000229","1291","005","Department of Agriculture","USDA Enterprise Data Center & Hosting Shared Services","34389","","Awarded","3142","AG-3142-C-11-0001","AG-3142-C-11-0001","3142","AG-3142-S-10-0135","no","no","Yes","GTSI CORP.","","1.236146","Firm Fixed Price","","12/13/2013","01/01/1970","U","FOR S FORTUNE, GTSI, COR: B SMITH","99997","1205","","2014-03-18 16:49:51","2014-03-18 16:49:51"
"005-000000229","1291","005","Department of Agriculture","USDA Enterprise Data Center & Hosting Shared Services","34391","","Awarded","3142","AG-3142-C-13-0001","AG-3142-C-13-0001","3142","AG-3142-S-12-0046","no","no","Yes","GTSI CORP.","","0.926135","Firm Fixed Price","","09/29/2013","09/30/2017","U","CO-SFORTUNE, COR-BSMITH, RENEWAL, GTSI, RECOMPETE","99999","1205","0","2014-03-18 16:49:51","2014-03-18 16:49:51"
"005-000000229","1291","005","Department of Agriculture","USDA Enterprise Data Center & Hosting Shared Services","34397","","Awarded","3142","AG-3142-D-12-0086","","","AG-3142-S-12-0009","no","no","Yes","CLIENT/SERVER SOFTWARE SOLUTIONS, INC.","","3.575725","Labor Hours","","03/17/2014","05/31/2018","U","NITC COMPUTER OPERATIONS SUPPORT SERVICES","100005","1205","0","2014-03-18 16:49:51","2014-03-18 16:49:51"
"005-000000229","1291","005","Department of Agriculture","USDA Enterprise Data Center & Hosting Shared Services","37913","","Awarded","3142","AG-3142-D-14-0024","","","","no","no","Yes","DLT SOLUTIONS INCORPORATED","","3.196472","Firm Fixed Price","","01/17/2014","09/30/2014","U","IT SW","100007","1205","0","2014-03-18 16:49:51","2014-03-18 16:49:51"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","21502","","Awarded","12D2","AG3151C110019","","","AG3151S110019","no","no","Yes","BLUEMONT TECHNOLOGY & RESEARCH, INC.","","2.084715","Firm Fixed Price","","10/25/2013","10/01/2014","U","PROGRAM LOAN ACCOUNTING SYSTEM (PLAS) SUPPORT SERVICES. OPTION PERIOD 2 -- 10/01/12 - 09/30/13.","100313","12D2","0","2014-03-18 17:02:30","2014-03-18 17:02:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","21504","","Awarded","12D2","AG3151C110029","","","AG3151S110029","no","no","Yes","WEBEQUITY SOLUTIONS, LLC","","2.817050","Firm Fixed Price","","10/24/2013","09/29/2016","U","FARM BUSINESS PLAN COTS PACKAGE QUALITY ASSURANCE","100315","12D2","0","2013-09-13 13:58:49","2014-03-18 17:02:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","21506","","Awarded","12D2","AG3151C100009","","","AG3151S100009","no","no","Yes","AGWARE, INC","","0.475860","Firm Fixed Price","","12/26/2013","01/01/1970","U","TO PURCHASE NEW APPRAISAL STUDIO SOFTWARE, MAINTENANCE AND TECHNICAL SUPPORT AND TRAINING.","100311","12D2","","2013-09-13 13:58:49","2014-03-18 17:02:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","35367","","Awarded","12D2","AG3151C120031","","","AG3151S120031","no","no","Yes","MARSHALL & SWIFT/BOECKH, LLC","","0.236160","Firm Fixed Price","","12/27/2013","09/27/2014","U","SOFTWARE FOR COMMERCIAL AND AGRICULTURAL ESTIMATOR","100317","12D2","0","2014-03-18 15:35:25","2014-03-18 17:02:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","39909","","Awarded","12D2","AG3151C120032","","","AG3151S120032","yes","yes","Yes","22ND CENTURY TECHNOLOGIES INC.","","10.886087","Firm Fixed Price","","02/18/2014","09/27/2014","U","IGF::CL,CT::IGF SOFTWARE SUPPORT SERVICES FLPIDS FY 2013","117825","12D2","0","2014-05-29 10:32:00","2014-05-29 10:32:00"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","22330","","Awarded","4732","GST0011AJ0019","GS00Q09BGD0048","4735","GSCQFOB1032284","","yes","Yes","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","","66.833109","Cost Plus Award Fee","","09/27/2013","01/30/2014","U","DECREASE/INCREASE FUNDING","100165","4732","0","2014-03-18 16:58:14","2014-03-18 16:58:14"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","35351","","Awarded","12K3","AG32KWD130105","AG32KWC120024","4730","","no","no","Yes","MICROTECHNOLOGIES LLC","","0.047524","Firm Fixed Price","","05/02/2013","09/30/2017","U","IGF::CT::IGF","99799","12K3","0","2014-03-18 16:20:25","2014-03-18 16:20:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","36243","","Awarded","12K3","AG32KWD130256","GS06F0981Z","4730","","no","no","Yes","MANAGED BUSINESS SOLUTIONS, LLC","AG-32KW-S-13-0222","0.223400","Firm Fixed Price","","09/27/2013","09/28/2017","U","PORTAL DEVELOPMENT SUPPORT SERVICESIGF::CL,CT::IGF","99821","12K3","0","2013-11-25 09:49:46","2014-03-18 16:20:26"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","36261","","Awarded","12K3","AG32KWD130213","AG32KWC130007","4730","","no","no","Yes","RTL NETWORKS, INC.","","0.330336","Firm Fixed Price","","12/12/2013","09/02/2014","U","HELP DESK II INCREMENTAL FUNDING FOR JULY 1 - JUNE 30, 2014","99819","12K3","0","2013-11-25 09:49:47","2014-03-18 16:20:26"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","36263","","Awarded","12K3","AG32KWK130048","AG3142B130001","4730","","no","no","Yes","EXECUTIVE INFORMATION SYSTEMS,","","","Firm Fixed Price","","06/06/2013","09/30/2017","U","ITD PURCHASE  EXECUTIVE INFO. SYSTEMS Q#1-7XXJT IS A RENEWAL FOR SAS USDA PACKAGE FOR THREE (3) SITES.  POP 03/15/2013 - 03/14/2014.  RHIANA SHUMATE IS COTR.  PLEASE SEND HER THE INVOICE.","99833","12K3","0","2013-11-25 09:49:47","2014-03-18 16:20:26"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","37199","","Awarded","12K3","AG32KWD140010","NNG07DA22B","4730","","no","no","Yes","BLUE TECH INCORPORATED","","0.030651","Firm Fixed Price","","11/26/2013","10/12/2014","U","IGF::OT::IGF","99823","12K3","0","2014-03-18 16:20:26","2014-03-18 16:20:26"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","37203","","Awarded","12K3","AG32KWD140013","GS35F0563U","4730","","no","no","Yes","WESTCON GROUP NORTH AMERICA, INC.","","0.016319","Firm Fixed Price","","11/15/2013","10/08/2014","U","RADWARE SOFTWARE","99825","12K3","0","2014-03-18 16:20:26","2014-03-18 16:20:26"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","37297","","Awarded","12K3","AG32KWD140021","GS35F0265X","4730","","no","no","Yes","IMMIXTECHNOLOGY, INC.","","0.021047","Firm Fixed Price","","12/10/2013","09/30/2014","U","ENCASE FORENSIC AND EDISCOVERYIGF::CL,CT::IGF","99829","12K3","0","2014-03-18 16:20:26","2014-03-18 16:20:26"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","37299","","Awarded","12K3","AG32KWD140015","GS35F0779J","4730","","no","no","Yes","GOVERNMENT ACQUISITIONS INC","","0.056332","Firm Fixed Price","","12/11/2013","12/23/2015","U","'ITD PURCHASE  GOVERNMENT ACQUISITIONS Q#2051583.2 FOR RED HAT.  POP 12/24/2013 - 12/23/2014.  RHIANA SHUMATE IS COTR AND DONNA-MASGAY IS POC.","99827","12K3","0","2014-01-27 15:41:56","2014-03-18 16:20:26"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","37301","","Awarded","12K3","AG32KWD140026","NNG07DA12B","4730","","no","no","Yes","INTERNATIONAL BUSINESS MACHINES CORPORATION","AG-32KW-S-14-0018","0.244899","Firm Fixed Price","","01/07/2014","12/31/2014","U","RENEWAL FOR WEBSHPERE, CLEARCASE, LINUX, WEB CONTENT AND LOTUS.IGF::CL::IGF","99831","12K3","0","2014-03-18 16:20:26","2014-03-18 16:20:26"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","37303","","Awarded","12K3","AG32KWP140007","AG32KWP140007","4730","","no","no","Yes","FEDERAL DEFENSE SOLUTIONS, INC.","","0.011784","Firm Fixed Price","","12/12/2013","12/11/2014","U","ITD PURCHASE  FEDERAL DENENSE SOLTUIONS (FDS) - CENTRIFY QUOTE # CFY062613APHIS-RS. POP 10/01/2013 - 12/31/2013.  RHIANA SHUMATE IS COTR.","99839","12K3","0","2014-03-18 16:20:26","2014-03-18 16:20:26"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","39995","","Awarded","12K3","AG32KWD140089","GST35F0511","4730","","no","no","Yes","EC AMERICA, INC.","","0.025356","Firm Fixed Price","","04/17/2014","04/24/2015","U","IGF::OT::IGF","123411","12K3","0","2014-06-26 09:03:09","2014-06-26 09:03:09"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","41043","","Awarded","12K3","AG32KWD140104","GS35F0153M","4730","","no","no","Yes","MYTHICS, INC","AG-32KW-S-14-0064","0.224568","Firm Fixed Price","","05/08/2014","12/31/2014","U","ORACLE MAINTENANCEIGF::CL,CT::IGF","130465","12K3","0","2014-07-25 10:17:28","2014-07-25 10:17:28"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","41045","","Awarded","12K3","AG32KWD140131","GS35F0372N","4730","","no","no","Yes","EN POINTE GOV INC","","0.317147","Firm Fixed Price","","06/02/2014","05/31/2015","U","IGF::CL::IGF","130467","12K3","0","2014-07-25 10:17:28","2014-07-25 10:17:28"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","41047","","Awarded","12K3","AG32KDK140023","AG3142B130001","4730","","no","no","No","","","","","","","","","","","","","2014-07-25 10:17:28",""
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","41049","","Awarded","12K3","AG32KWD140071","GS35F0312U","4730","","no","no","Yes","FOUR","AG-32KW-S-14-0044","0.379590","Firm Fixed Price","","03/25/2014","03/31/2015","U","ITD PURCHASE  IBM WEBSPHERE AND WEB CONTENT PORTAL LICENSES FOR OA PAGES.  IGF::CL,CT::IGF","130469","12K3","0","2014-07-25 10:17:28","2014-07-25 10:17:28"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","41051","","Awarded","12K3","AG32KWK140052","AG3142B130014","4730","","no","no","Yes","DELL MARKETING L.P.","","1.454036","Firm Fixed Price","","06/26/2014","06/30/2015","U","ITD PURCHASE DELL MARKETING LP Q# KKPEXCL14040703 FOR MICROSOFT EA ANNUAL PAYMENT YEAR 2. SECTION 1 AND 2. THIS INCLUDES ARS AND VS AMOUNTS ALSO.  POP 07/01/2014-06/30/2015.  RHIANA SHUMATE IS COTR AND CHRISTINE MCCOY IS THE TPC.","130471","12K3","0","2014-07-25 10:17:28","2014-07-25 10:17:28"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","41053","","Awarded","12K3","AG32KWD0062","GS35F0511T","4730","","no","no","No","","","","","","","","","","","","","2014-07-25 10:17:28",""
