Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Performance Metric ID,Agency Performance Metric ID,Metric Description,Unit of Measure,FEA Performance Measurement Category Mapping,Target 2013,Target 2014,Measurement Condition,Reporting Frequency,PRM Code,Latest Performance Metric Actual Id,Latest Agency Performance Metric Actual Id,Latest Actual Result,Latest Actual Status,Latest Actual Result Comment,Latest Actual Result Date,Metric Updated Date,Metric Updated Time
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","7109","","Monthly Vulnerablity Scans performeed","Percentage","205-Process and Activities - Security and Privacy","99.000000","99.000000","Over target","Monthly","P41-006-084","98497","","100.000000","Met","June Estimated Results received 7/7/2014","2014-07-07","07/25/2014","14:41:27"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1630","","Help Desk Response","Hours of Response Time","103-Mission and Business Results - Management of Government Resources","1.000000","1.000000","Under target","Quarterly","P40-005-070","98299","","1.000000","Met","Helpdesk response maintained within range.","2014-07-02","08/01/2014","12:39:55"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1631","","System Uptime","Percentage of System Uptime","202-Process and Activities - Productivity","99.700000","99.800000","Over target","Monthly","P40-005-070","98297","","99.890000","Met","System uptime maintained within range.","2014-07-02","08/01/2014","12:39:55"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1632","","Deployment of new systems","Months for deployment of new systems","213-Technology - Efficiency","1.500000","1.400000","Under target","Semi-Annual","P40-005-070","69845","","1.450000","Met","System Deployment time maintained within range.","2013-10-01","08/01/2014","12:39:55"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1633","","Desktop Repairs","Hours of request processing time","111-Customer Results - Customer Benefit","24.000000","24.000000","Under target","Semi-Annual","P40-005-070","69843","","24.000000","Met","Desktop Repairs processing time maintained within range.","2013-10-01","08/01/2014","12:39:55"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1634","","Unnecessary User Timeouts","Number of user timeouts","215-Technology - Reliability and Availability","0.000000","0.000000","Under target","Semi-Annual","P40-005-070","69849","","0.000000","Met","There were zero user timeouts within the reporting period.","2013-10-01","08/01/2014","12:39:55"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3043","","Security Patches Applied to Servers.","percent","103-Mission and Business Results - Management of Government Resources","99.000000","99.000000","Over target","Monthly","P43-005-070","98303","","100.000000","Met","","2014-06-30","08/01/2014","12:32:05"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3044","","Security Patches Applied to Desktops and Laptops","percent","103-Mission and Business Results - Management of Government Resources","99.000000","99.000000","Over target","Monthly","p43-005-070","98305","","32.000000","Not Met","","2014-06-30","08/01/2014","12:32:05"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3045","","For each service request that requires shipment from the Depot as an element of resolution, that shipment occurs within 2 business days.","percent","113-Customer Results - Timeliness and Responsiveness","95.000000","95.000000","Over target","Monthly","P43-005-070","98307","","100.000000","Met","","2014-06-30","08/01/2014","12:32:05"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3046","","Tier 1 resolutions occur within 20 minutes.","percent","112-Customer Results - Service Coverage","90.000000","90.000000","Over target","Monthly","P43-005-070","98309","","100.000000","Met","","2014-06-30","08/01/2014","12:32:05"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3047","","Tier 2 resolutions occur within 1 business day.","percent","112-Customer Results - Service Coverage","90.000000","90.000000","Over target","Monthly","P43-005-070","98311","","97.000000","Met","","2014-06-30","08/01/2014","12:32:05"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3048","","Tier 3 resolutions occur within 5 business days, or in some cases within agreed upon timeframe.","percent","112-Customer Results - Service Coverage","85.000000","85.000000","Over target","Monthly","P43-005-070","98301","","99.000000","Met","","2014-06-30","08/01/2014","12:32:05"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3049","","All Service Desk assigned security POA&amp;Ms resolved within mutually agreed timeframe.","percent","112-Customer Results - Service Coverage","90.000000","90.000000","Over target","Monthly","P43-005-070","98315","","100.000000","Met","","2014-06-30","08/01/2014","12:32:05"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3050","","Customer Survey Satisfaction for Service Desk customer interfaces, score of 4 or better on a scale of 1-5.","percent","114-Customer Results - Service Quality","85.000000","85.000000","Over target","Monthly","P43-005-070","95069","","93.000000","Met","","2014-05-30","08/01/2014","12:32:05"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3051","","System availability for mission critical servers","percent","215-Technology - Reliability and Availability","95.000000","95.000000","Over target","Monthly","P43-005-070","98313","","99.900000","Met","","2014-06-30","08/01/2014","12:32:05"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3052","","Number of systems or releases to be tested in PHDCIS formal test environment.","percent","213-Technology - Efficiency","80.000000","80.000000","Over target","Quarterly","P43-005-070","98317","","80.000000","Met","","2014-06-30","08/01/2014","12:32:05"
"005-000000083","230","005","Department of Agriculture","FSIS Public Health Data Communications Infrastructure System (PHDCIS)","3053","","Data Quality for Operational Systems.","percent","214-Technology - Information and Data","99.000000","99.000000","Over target","Quarterly","P43-005-070","98319","","99.000000","Met","","2014-06-30","08/01/2014","12:32:05"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","2888","","Tier 3 resolutions occur within 5 business days, or in some cases within DKW and FSIS agreed upon timeline.","percent","112-Customer Results - Service Coverage","85.000000","85.000000","Over target","Monthly","","95079","","99.000000","Met","","2014-05-30","08/01/2014","12:32:06"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","2889","","All Service Desk assigned security POA&amp;amp;M resolved within mutually agreed timeframe.","percent","112-Customer Results - Service Coverage","90.000000","90.000000","Over target","Monthly","","98323","","100.000000","Met","","2014-06-30","08/01/2014","12:32:06"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","2890","","Number of reader applications","number","213-Technology - Efficiency","1.000000","1.000000","Over target","Monthly","","98321","","1.000000","Met","","2014-06-30","08/01/2014","12:32:06"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","2891","","Time to process transactional data into the data warehouse","Timeliness and Responsiveness","213-Technology - Efficiency","4.000000","4.000000","Over target","Monthly","","95087","","4.000000","Met","","2014-05-30","08/01/2014","12:32:06"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","2895","","Number of PHIS Releases to be tested in PHDCIS formal test environment","Percent","213-Technology - Efficiency","80.000000","80.000000","Over target","Quarterly","","95089","","100.000000","Met","","2014-05-30","08/01/2014","12:32:06"
"005-000002148","231","005","Department of Agriculture","FSIS Public Health Information System (PHIS)","2896","","Data Quality for PHIS Operational System","percent","213-Technology - Efficiency","90.000000","90.000000","Over target","Quarterly","","95085","","90.000000","Met","","2014-05-30","08/01/2014","12:32:06"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","1635","","Availability of the system to users during published operating hours.","percentage","115-Customer Results - Service Accessibility","99.500000","100.000000","Over target","Quarterly","","61971","","100.000000","Met","IAS System was available to all users 100% during published operating hours.","2014-07-08","08/01/2014","14:46:10"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","1637","","Increased number of transactions processed by IAS.","number","102-Mission and Business Results - Support Delivery of Services","","","Under target","Quarterly","","4687","","105000.000000","","This performance metric is tracking under target due to lack of ARRA funds from previous year.","","08/01/2014","14:46:10"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","1638","","Reduced number of password resets requested by customers.","number","115-Customer Results - Service Accessibility","1350.000000","","Over target","Semi-Annual","","4689","","1568.000000","","None.","","08/01/2014","14:46:10"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","1639","","Reduced IAS software scan time.","hours","213-Technology - Efficiency","40.000000","","Over target","Quarterly","","45179","","19.000000","","","2013-01-04","08/01/2014","14:46:10"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","6869","","Number of minutes from request to delivery of an additional virtual PRISM server, additional AIX, memory, or an additional AIX processor.","hours","215-Technology - Reliability and Availability","4.000000","","Over target","Quarterly","","45177","","4.000000","","","2013-01-16","08/01/2014","14:46:10"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","7834","","Percentage of patches installed within the time specified within the USDA Patch Management and System Updates Plan to ensure Compliance and reduce vulnerabilities.","percentage","205-Process and Activities - Security and Privacy","98.000000","98.000000","Over target","Quarterly","","61973","","100.000000","Met","100% patches were installed within the time specified in USDA Patch management and system updates plan.","2014-07-14","08/01/2014","14:46:10"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","7835","","Application availability: Time to recover from problem during peak periods.","percentage","213-Technology - Efficiency","90.000000","90.000000","Over target","Quarterly","","61975","","100.000000","Met","100% of problems recovered during for peak hours.","2014-07-08","08/01/2014","14:46:10"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","7836","","Percentage of IAS Help Desk Availability during published hours.","percentage","215-Technology - Reliability and Availability","98.000000","98.000000","Over target","Monthly","","61977","","100.000000","Met","IAS was available to users during all published hours of operation.","2014-07-01","08/01/2014","14:46:10"
"005-000000039","236","005","Department of Agriculture","Integrated Acquisition System (IAS) (OPPM)","7837","","Regulation compliance and update into IAS as a percentage or new regulations or interface updates incorporated versus total mandated.","percentage","102-Mission and Business Results - Support Delivery of Services","99.000000","99.000000","Over target","Quarterly","","61979","","100.000000","Met","100% compliant.","2014-07-07","08/01/2014","14:46:10"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","1099","","Maintain number of systems integrated into the Animal Disease Traceability System","Number","103-Mission and Business Results - Management of Government Resources","8.000000","8.000000","Under target","Annual","P44-005-070","4389","","8.000000","","","","08/01/2014","12:29:23"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","1100","","Maintain percentage of States premises registered","Percentage","103-Mission and Business Results - Management of Government Resources","98.000000","98.000000","Over target","Annual","P44-005-070","4391","","98.000000","","targets and baselines in percent","","08/01/2014","12:29:23"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","1101","","Percentage of Server Availability for use","Percentage","215-Technology - Reliability and Availability","99.900000","99.900000","Over target","Annual","P44-005-070","14805","","99.900000","","baseline and targets in percent","","08/01/2014","12:29:23"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","1102","","Average minutes to transition to next customer support tier.","Number","111-Customer Results - Customer Benefit","10.000000","10.000000","Under target","Annual","P44-005-070","14807","","8.000000","","Metric was first introduced in FY2012","","08/01/2014","12:29:23"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","1103","","Percentage of application availability for use by the customer.","Percentage","215-Technology - Reliability and Availability","99.900000","99.900000","Over target","Annual","P44-005-070","4397","","99.900000","","","","08/01/2014","12:29:23"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","1104","","Number of compliants received on the application functionality.","Number","216-Technology - Effectiveness","5.000000","5.000000","Under target","Monthly","P44-005-070","98241","","0.000000","Met","No complaints about functionality received this month","2014-07-01","08/01/2014","12:29:23"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","2853","","Increase Percentage of Field Offices with WAN Acceleration to 45%","Percentage","213-Technology - Efficiency","45.000000","45.000000","Over target","Monthly","I02-003-301","77185","","55.000000","Met","","2014-01-10","07/25/2014","17:18:16"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","2854","","Percentage of Field Office with centralized file services to 20%","Percentage","205-Process and Activities - Security and Privacy","20.000000","20.000000","Over target","Annual","I02-003-301","6073","","","","Funding for the OCE Investment was eliminated in FY2011.  As a result, no activity occured.  In FY2012, the final funding levels are being determined.  Once the funding is finalized, this performance element will be updated.","","07/25/2014","17:18:16"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","2855","","Percentage of Field Office on centralized backup to 20%","Percentage","205-Process and Activities - Security and Privacy","20.000000","20.000000","Over target","Annual","I02-003-301","6075","","","","Funding for the OCE Investment was eliminated in FY2011.  As a result, no activity occured.  In FY2012, the final funding levels are being determined.  Once the funding is finalized, this performance element will be updated.","","07/25/2014","17:18:16"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","2856","","Reduce percentage of infrastructure components out of life cycle to 83%","Percentage","214-Technology - Information and Data","75.000000","","Under target","Quarterly","I02-003-301","","","","","Additional input from the agency is necessary","","07/25/2014","17:18:16"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","2858","","Increase Percentage of Field Offices with Telephone systems upgraded to VoIP to 10%","Percentage","115-Customer Results - Service Accessibility","10.000000","10.000000","Over target","Annual","I02-003-301","22477","","","","Funding for the OCE Investment was eliminated in FY2011.  As a result, no activity occured.  In FY2012, the final funding levels are being determined.  Once the funding is finalized, this performance element will be updated.","","07/25/2014","17:18:16"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","7111","","Percentage of Field Offices with Virtual Server deployed to 5%","Percentage","115-Customer Results - Service Accessibility","5.000000","5.000000","Over target","Annual","I02-003-301","","","","","","","07/25/2014","17:18:16"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","7559","","Reduce percentage of total data  across circuits to Field Offices through WAN Optimization.","Percentage","213-Technology - Efficiency","45.000000","45.000000","Over target","Annual","I02-003-301","77187","","52.000000","Met","","2014-01-10","07/25/2014","17:18:16"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","2859","","Assure project health thru EVM Reporting - SPI","Number","103-Mission and Business Results - Management of Government Resources","1.000000","0.900000","Over target","Monthly","","98523","","1.000000","Met","Updated with June actual results through June 27th.","2014-06-27","08/01/2014","14:41:19"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","2860","","Assure project health thru EVM Reporting - CPI","Number","103-Mission and Business Results - Management of Government Resources","1.000000","0.900000","Over target","Monthly","","98525","","0.980000","Met","Updated with June actual results through June 27th.","2014-06-27","08/01/2014","14:41:19"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","2861","","Adherence to business cycle due dates.","Percentage","203-Process and Activities - Cycle Time and Timeliness","100.000000","99.000000","Over target","Monthly","","98527","","100.000000","Met","Updated with June actual results.","2014-06-30","08/01/2014","14:41:19"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","2862","","Customer assurance of accuracy of ITM software.  Survey users in 4 business system areas (Actuarial, PASS, Reporting, Financial) to determine the accuracy of software deliverables as they are initially migrated to production.","Percentage","114-Customer Results - Service Quality","75.000000","74.000000","Over target","Quarterly","","95113","","75.000000","Met","Updated with May actual results.","2014-05-31","08/01/2014","14:41:19"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","2863","","Assure compliance to standards &amp; best practices in delivering SDLC artifacts.","Percentage","212-Technology - Quality Assurance","85.000000","84.000000","Over target","Monthly","","98529","","85.000000","Met","Updated with June actual results.","2014-06-30","08/01/2014","14:41:19"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","6461","","Acceptance rate of premium data submitted by Approved Insurance Providers (AIPs).","Percentage","215-Technology - Reliability and Availability","99.000000","99.000000","Over target","Monthly","","98531","","99.800000","Met","Updated with June actual results for Reinsurance Year (RY)13.","2014-06-30","08/01/2014","14:41:19"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","6463","","Acceptance rate of indemnity data submitted by Approved Insurance Providers (AIPs).","Percentage","215-Technology - Reliability and Availability","99.000000","99.000000","Over target","Monthly","","98533","","99.600000","Met","Updated with June actual results for Reinsurance Year (RY) 13.","2014-06-30","08/01/2014","14:41:19"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","6465","","Results of IT Service Desk customer satisfaction surveys for system performance.","Number","111-Customer Results - Customer Benefit","3.500000","3.750000","Over target","Semi-Annual","","95101","","3.500000","Met","Updated with May actual results.","2014-05-31","08/01/2014","14:41:19"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","6467","","Results of IT Service Desk customer satisfaction surveys for system availability.","Number","115-Customer Results - Service Accessibility","3.500000","3.750000","Over target","Semi-Annual","","95115","","3.700000","Met","Updated with May actual results.","2014-05-31","08/01/2014","14:41:19"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","6469","","Results of network and application server monitoring.","Percentage","115-Customer Results - Service Accessibility","98.000000","98.000000","Over target","Monthly","","98535","","99.800000","Met","Updated with June actual results.","2014-06-30","08/01/2014","14:41:19"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","6471","","Percentage of total defects found in testing vs. production.","Percentage","204-Process and Activities - Quality","75.000000","75.000000","Over target","Monthly","","70093","","33.300000","Not Met","Updated with October actual results.","2013-10-31","08/01/2014","14:41:19"
