Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Unique Project ID,Project ID,Agency Project ID,Project Name,Objectives / Expected Outcomes,Start Date,Completion Date,Project Life Cycle Cost ($M),Schedule Variance (in days),Schedule Variance (%),Schedule Color,Cost Variance ($ M),Cost Variance (%),Cost Color,Updated Date,Updated Time
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010003","674","","Acquisition Support FY12.","Acquisition Support FY12.","2011-10-01","2012-09-30","1.017000","-700","-191.78","Red","0.000000","0.00","Green","2012-09-14","22:21:47"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010004","5595","","FISMA Compliance FY13.","RMF.","2012-10-01","2013-09-30","0.120000","-335","-92.03","Red","0.000000","0.00","Green","2013-08-20","15:24:26"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010005","5597","","Acquisition Support FY13.","NITC Hosting and Contract Help Desk.","2012-10-01","2013-09-30","0.810000","-335","-92.03","Red","0.010000","1.23","Green","2013-08-20","15:24:26"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010006","5599","","FTE Support FY13.","FTE Support FY13.","2012-10-01","2013-09-30","0.180508","-335","-92.03","Red","0.000000","0.00","Green","2013-08-20","15:24:26"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010007","5601","","FISMA Compliance FY14.","FISMA Compliance.","2013-10-01","2014-09-30","0.031250","0","0.00","Green","0.000000","0.00","Green","2014-06-26","14:16:47"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010008","5603","","Acquisition Support FY14.","Contracts and licenses.","2013-10-01","2014-09-30","0.548280","0","0.00","Green","0.000000","0.00","Green","2014-07-25","10:17:28"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","ADT9010009","5605","","FTE Support FY14.","FTE Support FY14.","2013-10-01","2014-09-30","0.180508","0","0.00","Green","0.000000","0.00","Green","2014-07-25","10:17:28"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-EU-05","1696","","End User Devices - Enterprise User Mobility","Mobility support to include wireless and mobility endpoint (Windows mobile, Blackberry, etc.).","2012-02-15","2012-08-31","0.500000","-14","-7.07","Green","-0.250000","-50.00","Red","2014-06-26","09:57:31"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-01","1698","","Office Environment - HeadEnd WAN Optimization","This project will deploy network acceleration devices in the HeadEnd Data Centers in order to address the escalating need for additional network bandwidth.","2012-02-15","2012-08-31","1.052360","-20","-10.10","Yellow","-0.070838","-6.73","Green","2014-06-26","09:57:31"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-02","1699","","Office Environment - Field Service Center WAN Optimization","This project will deploy network acceleration devices in the Field Service Centers in order to address the escalating need for additional network bandwidth.","2012-02-15","2012-08-31","4.997000","-35","-17.68","Yellow","0.050157","1.00","Green","2014-06-26","09:57:31"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-04","1700","","Office Environment - Modernization of Service Center Network Hardware","This project captures the cost of upgrading or replacing all switches and routers in the ITS network that will become unsupported in the next 1-2 years.","2012-02-15","2012-08-31","21.729000","-35","-17.68","Yellow","0.566570","2.61","Green","2014-06-26","09:57:31"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-05","1701","","Office Environment - VoIP Eastern Gateway and Call Center upgrade and expansion","Modernizing the VoIP Eastern Gateway and porcessing center will provide higher availability and a faster response time for the expansion of SCA VoIP systems.","2013-01-01","2013-04-01","0.555000","-361","-401.11","Red","0.105000","18.92","Yellow","2014-06-26","09:57:31"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-08","1702","","Office Environment - Head End Core Component","Modernizing the VoIP Eastern Gateway and porcessing center will provide higher availability and a faster response time for the expansion of SCA VoIP systems.","2013-04-01","2014-08-15","5.600000","-16","-3.19","Green","0.435675","7.78","Green","2014-06-26","09:57:31"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-15","1707","","Office Environment - Alternative Network Connectivity","This project will examine the feasibility of using alternative to traditional Frame-Relay lease lines.","2012-02-15","2012-08-31","0.250000","-730","-368.69","Red","0.000000","0.00","Green","2013-03-29","17:18:29"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-18","1710","","Office Environment - Network Head End Upgrade","This project captures the cost of upgrading or replacing all switches and routers in the ITS network that will become unsupported in the next 1-2 years.","2012-02-15","2012-08-31","1.198251","-20","-10.10","Yellow","0.022739","1.90","Green","2014-06-26","09:57:32"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-23","1712","","Office Environment - VoIP Site Installations","Installation of VoIP systems in the SCA service centers.","2013-04-01","2013-08-06","10.000000","-55","-43.31","Red","3.702354","61.71","Red","2014-06-26","09:57:32"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-EU-06","6635","","End User Devices - FSC Server Replacement","This project replaces FSC Server hardware for end of life servers.","2013-10-03","2014-09-30","0.450000","0","0.00","Green","0.000000","0.00","Green","2014-06-26","09:57:31"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-03","6637","","Office Environment - Expansion of  FSC WAN Optimization","Deploy WAN optimizion hardware and moble client software to computers at select sites that do not have the appliance installed.","2013-02-01","2013-04-01","11.200000","3","5.08","Green","0.093719","0.84","Green","2014-06-26","09:57:31"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-06","6639","","Office Environment - Server Virtualization Storage Backup","This activity includes the setup and configuration of the virtual servers in select locations.  Also includes the centralized backend infrastructure, licenseing and configuration of backup capabilities to the data center.","2013-04-01","2013-09-30","1.200000","-335","-184.07","Red","0.000000","0.00","Green","2013-03-29","17:18:29"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-07","6641","","Office Environment - Call Center Infrastructure Replacement","Modernizing the VoIP Eastern Gateway and porcessing center will provide higher availability and a faster response time for the expansion of SCA VoIP systems.","2012-12-03","2013-04-01","1.445000","-361","-303.36","Red","0.195000","13.49","Yellow","2014-06-26","09:57:31"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-24","6643","","Office Environment - Continued VoIP Phone System Installations","Installation of VoIP phone systems in the SCA service centers.","2014-04-01","2014-09-30","6.000000","-390","-307.09","Red","0.000000","0.00","Green","2014-04-29","14:10:59"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-29","6645","","Office Environment - Continued Exansion of FSC WAN Optimization","This project will deploy network acceleration devices in the Field Service Centers in order to address the escalating need for additional network bandwidth.","2013-10-01","2014-09-30","5.300000","0","0.00","Green","0.000000","0.00","Green","2014-06-26","09:57:32"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-EU-08","10553","","End User Devices - Field Virtualization Monitoring","Install vCenter Operations Manager to monitor virtual servers for continued operations and provide information for troubleshooting and system optimization.","2014-04-01","2014-09-30","1.300000","0","0.00","Green","0.000000","0.00","Green","2014-06-26","09:57:31"
"005-000002321","243","005","Department of Agriculture","Optimized Computing Environment (OCE)","OCE-OF-31","10555","","Office Environment -Enterprise Proxy Solution","Install and configure a new proxy system to protect the system from web vulnerabilities and resource-intensive unauthorized use.","2014-04-01","2014-09-30","1.700000","0","0.00","Green","0.000000","0.00","Green","2014-06-26","09:57:31"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY12-1047","9933","","RO Exceptions","RO Exceptions provides for automation of manual underwriting not covered by standard policies.  Integrates the data produced by the ROE project into ARM and downstream applications.","2012-01-31","2013-07-01","3.504310","0","0.00","Green","-0.166610","-10.24","Yellow","2014-03-18","13:53:24"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY12-1054","9935","","RMA Information Reporting System (RIRS)","The purpose of the RMA Information Reporting System project is to provide a series of canned reports which will be used to view preliminary, draft and released data by internal RMA users and released data by the general public.  Corporate Reporting - RIRS - High Priority Reports; now known as RIRS (RMA Information Reporting Service).","2012-01-31","2013-09-20","0.290740","-8","-5.71","Green","-0.000040","-0.01","Green","2014-03-18","13:53:24"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY12-1061A","9937","","Corporate Reporting & Business Intelligence (CRBI)","Convert the policy history databases  into one standardized database (the Corporate Reporting Business Intelligence database).","2012-02-06","2013-12-24","1.326400","0","0.00","Green","0.081866","24.77","Yellow","2014-04-29","14:31:58"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY12-1065","9939","","Auto CLUs to Actuarial Maps Cross-Reference","Improve efficiency by providing the ability to initiate the process via the Actuarial Mpas Support website.","2012-04-17","2013-05-23","0.155570","-22","-95.65","Red","0.018926","43.49","Red","2014-01-29","09:30:12"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY12-1069","9941","","Price Discovery Overhaul","The purpose of the Price Discovery application is to communicate market price information to public and internal users.Price Discovery consists of three sections: user interface, database functions, and administration for RMA.   Additionally, it is a public-facing application.","2012-05-21","2013-12-05","0.964000","-55","-17.08","Yellow","-0.102413","-20.68","Yellow","2014-03-18","13:53:24"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY12-1071A","9943","","Escrow","Facilitate the rapid payment of claims to producers through the Approved Insurance Providers (AIPs). Escrow must also generate the accounting entries required by FFIS.","2012-05-21","2013-12-09","0.952850","0","0.00","Green","0.064101","21.87","Yellow","2014-01-29","09:30:13"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY12-1087","9945","","Accounting AIP Setup","The AIP Setup is a collection of Approved Insurance Provider (AIP) reinsurance year plan of operations data that supports all of Risk Management Agency Program Business Systems.","2012-09-24","2013-11-06","0.191650","0","0.00","Green","-0.117475","-62.71","Red","2014-01-29","09:30:14"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY12-1088","9947","","Accounting Ineligible Tracking System","The Ineligible Tracking System is a program integrity system utilized by RMA and Approved Insurance Providers (AIP) that works to limit fraud, waste and abuse of crop insurance.","2012-10-08","2015-05-19","4.486250","0","0.00","Green","-0.262927","-6.89","Green","2014-07-25","16:48:23"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY13-1105","9949","","Summary of Business (SOB) 2.0","Management information Application to provide data related to Summary of Business.","2013-12-02","2014-05-16","0.482860","15","9.09","Green","0.023667","5.25","Green","2014-06-26","09:26:20"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY14-2000","9951","","Accounting Settlement Reports","ITM Phase 3 Potential Development for Accounting Settlement Reports.","2014-04-01","2014-09-30","0.500000","0","0.00","Green","0.000000","0.00","Green","2014-07-25","16:48:23"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY14-2001","9953","","Regional Office Applications","ITM Phase 3 Potential Development for Regional Office Applications.","2014-04-01","2014-09-30","0.500000","0","0.00","Green","0.000000","0.00","Green","2014-07-25","16:48:23"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY14-2002","9955","","Management Information Applications","ITM Phase 3 Potential Development for Management Information Applications.","2014-07-31","2015-01-30","0.100000","0","0.00","Green","0.000000","0.00","Green","2014-07-25","16:48:23"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY14-2003","9957","","Settlement Applications 2014","ITM Phase 3 Potential Development for Settlement Applications 2014.","2014-07-31","2015-01-30","0.200000","0","0.00","Green","0.000000","0.00","Green","2014-07-25","16:48:23"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY14-2004","9959","","Actuarial Applications 2014","ITM Phase 3 Potential Development for Actuarial Applications 2014.","2014-07-31","2015-01-30","0.600000","0","0.00","Green","0.000000","0.00","Green","2014-07-25","16:48:23"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY14-2006","9961","","Policy Applications 2014","ITM Phase 3 Potential Development for Policy Applications 2014.","2014-07-31","2015-01-30","1.300000","0","0.00","Green","0.000000","0.00","Green","2014-07-25","16:48:23"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY15-2007","9963","","Actuarial Applications 2015","ITM Phase 3 Potential Development for Actuarial Applications 2015.","2015-02-02","2016-01-29","2.500000","0","0.00","Green","0.000000","0.00","Green","2014-07-25","16:48:23"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY15-2008","9965","","Management Information Applications 2015","ITM Phase 3 Potential Development for Management Information Applications 2015.","2015-02-02","2016-01-29","1.737736","0","0.00","Green","0.000000","0.00","Green","2014-07-25","16:48:23"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY15-2009","9967","","Policy Applications 2015","ITM Phase 3 Potential Development for Policy Applications 2015.","2015-02-02","2016-01-29","3.000000","0","0.00","Green","0.000000","0.00","Green","2014-07-25","16:48:23"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY13-1103","10185","","Web Based Interactive Learning Tool (WILT)","Expanding the capabilities of an existing interactive web application and multi-platform native mobile application.","2014-02-05","2014-04-29","0.162264","0","0.00","Green","0.013105","8.08","Green","2014-05-29","10:45:36"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY14-1106","10187","","CARS 2.0","This is a redesign of the CARS application based on new technical approach.","2014-01-30","2014-08-12","0.843450","-19","-9.79","Green","0.058190","6.90","Green","2014-07-25","16:48:23"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY14-1126","10649","","Web Based Interactive Learning Tool (WILT) 3.0","Enhancements to the capabilities of an existing interactive wed application and related multi-platform native mobile application.","2014-06-23","2014-08-25","0.117900","-6","-9.52","Green","0.000000","0.00","Green","2014-07-25","16:48:22"
"005-000000063","249","005","Department of Agriculture","RMA-13  Emerging Information Technology Architecture (EITA)","FY14-2005","10651","","Management Information Applications 2014","ITM Phase 3 Potential Development for Management Information Applications 2014.","2014-07-31","2015-01-30","0.619840","0","0.00","Green","0.000000","0.00","Green","2014-07-25","16:48:22"
"005-000002224","252","005","Department of Agriculture","USDA Identity & Access Management","EP-001","1749","","ePACS: PIV-A","Implementation of solution that meets USDA requirements for short-term employees to have physical and logical access.","2011-09-30","2012-07-31","0.900000","0","0.00","Green","0.000000","0.00","Green","2012-09-17","12:16:53"
