Unique Investment Identifier,Business Case Id,Performance Metric Id,Agency Performance Metric Id,Performance Metric Actual Id,Agency Performance Metric Actual Id,Actual Result,Actual Result Met/Not Met,Actual Result Comment,Actual Result Date,Updated Date,Updated Time
"021-142305975","3","7755","4633","60749","20616","0.999000","Met","","2012-12-31","07/30/2013","14:00:03"
"021-142305975","3","7755","4633","60750","20617","0.999000","Met","","2012-11-30","07/30/2013","14:00:03"
"021-142305975","3","7755","4633","60751","20618","0.999000","Met","","2012-10-31","07/30/2013","14:00:03"
"021-142305975","3","7755","4633","60752","20619","0.999000","Met","","2012-09-30","07/30/2013","14:00:03"
"021-142305975","3","7755","4633","60753","20620","0.999000","Met","","2012-08-31","07/30/2013","14:00:03"
"021-142305975","3","7757","4634","60754","16167","0.999000","Met","","2013-05-01","07/30/2013","14:00:03"
"429-000002005","4","7195","","47677","","1.000000","Met","","2013-02-28","03/26/2013","14:24:31"
"429-000002005","4","7195","","49903","","1.000000","Met","","2013-04-01","04/23/2013","08:03:45"
"429-000002005","4","7195","","54549","","1.000000","Met","","2013-05-01","05/22/2013","14:10:50"
"429-000002005","4","7195","","58411","","0.500000","Met","","2013-06-01","06/27/2013","16:11:58"
"429-000002005","4","7195","","59989","","1.000000","Met","","2013-07-01","07/29/2013","15:08:44"
"429-000002005","4","7195","","61698","","0.250000","Met","","2013-08-01","08/02/2013","13:13:35"
"429-000002005","4","7197","","47679","","0.500000","Met","Contractor responded to Operations Center","2013-02-28","03/26/2013","14:24:31"
"429-000002005","4","7197","","49905","","0.500000","Met","","2013-04-01","04/23/2013","08:03:45"
"429-000002005","4","7197","","54543","","0.500000","Met","","2013-05-01","05/22/2013","14:10:50"
"429-000002005","4","7197","","58408","","0.500000","Met","","2013-06-01","06/27/2013","16:11:58"
"429-000002005","4","7197","","59990","","0.500000","Met","","2013-07-01","07/29/2013","15:08:44"
"429-000002005","4","7197","","61695","","0.500000","Met","","2013-08-01","08/02/2013","13:13:35"
"429-000002005","4","7199","","47681","","100.000000","Met","No failures during the month","2013-02-28","03/26/2013","14:24:31"
"429-000002005","4","7199","","49909","","100.000000","Met","","2013-04-01","04/23/2013","08:03:45"
"429-000002005","4","7199","","54547","","100.000000","Met","","2013-05-01","05/22/2013","14:10:50"
"429-000002005","4","7199","","58410","","100.000000","Met","","2013-06-01","06/27/2013","16:11:58"
"429-000002005","4","7199","","59992","","100.000000","Met","","2013-07-01","07/29/2013","15:08:44"
"429-000002005","4","7199","","61696","","100.000000","Met","","2013-08-01","08/02/2013","13:13:35"
"429-000002005","4","7201","","49913","","100.000000","Met","","2013-04-01","04/23/2013","08:03:45"
"429-000002005","4","7203","","49907","","97.900000","Met","","2013-04-01","04/23/2013","08:03:45"
"429-000002005","4","7205","","47683","","99.990000","Met","","2013-02-28","03/26/2013","14:24:31"
"429-000002005","4","7205","","49911","","99.990000","Met","","2013-04-01","04/23/2013","08:03:45"
"429-000002005","4","7205","","54545","","100.000000","Met","","2013-05-01","05/22/2013","14:10:50"
"429-000002005","4","7205","","58409","","100.000000","Met","","2013-06-01","06/27/2013","16:11:58"
"429-000002005","4","7205","","59991","","100.000000","Met","","2013-07-01","07/29/2013","15:08:44"
"429-000002005","4","7205","","61697","","100.000000","Met","","2013-08-01","08/02/2013","13:13:35"
"429-000002005","4","7207","","49915","","100.000000","Met","","2013-04-01","04/23/2013","08:03:45"
"029-888888105","7","3725","11090908731","329","","87.000000","Met","March 2012 measure input.","","04/17/2012","14:54:32"
"029-888888105","7","3725","11090908731","11921","","93.000000","Met","April 2012 measure input.","","05/21/2012","17:09:03"
"029-888888105","7","3725","11090908731","15717","","90.000000","Met","May 2012 measure input.","","06/21/2012","13:42:04"
"029-888888105","7","3725","11090908731","18811","","90.000000","Met","May 2012 measure input.","","07/17/2012","11:13:25"
"029-888888105","7","3725","11090908731","34029","110909087311211","89.000000","Met","August 2012 measure input.","2012-08-31","11/29/2012","15:56:44"
"029-888888105","7","3725","11090908731","36063","110909087311212","89.000000","Met","August 2012 measure input.","2012-08-31","12/20/2012","17:01:00"
"029-888888105","7","3725","11090908731","38711","110909087311301","89.000000","Met","August 2012 measure input.","2012-08-31","01/18/2013","08:36:58"
"029-888888105","7","3726","11090908732","331","","0.000000","Met","New Metric - Baseline to be set with 2012 Actuals","","10/31/2011","15:44:12"
"029-888888105","7","3726","11090908732","18813","","0.000000","Met","New Metric - Baseline to be set with 2012 Actuals","","07/17/2012","11:13:25"
"029-888888105","7","3727","11090908733","333","","0.000000","Met","New Metric - Baseline and CY Target to be set with 2012 Actuals for Q1 and Q2","","10/31/2011","15:44:12"
"029-888888105","7","3727","11090908733","18815","","0.000000","Met","New Metric - Baseline and CY Target to be set with 2012 Actuals for Q1 and Q2","","07/17/2012","11:13:25"
"029-888888105","7","3728","11090908736","335","","1400080.000000","Met","March 2012 measure input","","04/17/2012","14:54:32"
"029-888888105","7","3728","11090908736","11923","","1466231.000000","Met","April 2012 measure input","","05/21/2012","17:09:03"
"029-888888105","7","3728","11090908736","15719","","1542716.000000","Met","May 2012 measure input","","06/21/2012","13:42:04"
"029-888888105","7","3728","11090908736","18817","","1542716.000000","Met","May 2012 measure input","","07/17/2012","11:13:25"
"029-888888105","7","3728","11090908736","34031","110909087361211","1846216.000000","Met","August 2012 measure input","2012-08-31","11/29/2012","15:56:44"
"029-888888105","7","3728","11090908736","36065","110909087361212","1846216.000000","Met","August 2012 measure input","2012-08-31","12/20/2012","17:01:00"
"029-888888105","7","3728","11090908736","38713","110909087361301","1846216.000000","Met","August 2012 measure input","2012-08-31","01/18/2013","08:36:58"
"029-888888105","7","3729","11090908737","337","","807905.000000","Met","Second Quarter 2012 measure","","04/17/2012","14:54:32"
"029-888888105","7","3729","11090908737","11925","","792184.000000","Met","April 2012 measure","","05/21/2012","17:09:03"
"029-888888105","7","3729","11090908737","15721","","709423.000000","Met","May 2012 measure","","06/21/2012","13:42:04"
"029-888888105","7","3729","11090908737","18819","","709423.000000","Met","May 2012 measure","","07/17/2012","11:13:25"
"029-888888105","7","3729","11090908737","38715","110909087371301","860010.000000","Met","August 2012 measure","2012-08-31","01/18/2013","08:36:58"
"029-888888105","7","3730","11090908738","339","","90785.000000","Met","Second Quarter 2012 totals","","04/17/2012","14:54:32"
"029-888888105","7","3730","11090908738","15723","","119906.000000","Met","May 2012 totals","","06/21/2012","13:42:04"
"029-888888105","7","3730","11090908738","18821","","119906.000000","Met","May 2012 totals","","07/17/2012","11:13:25"
"029-888888105","7","6995","110909087310","42871","1109090873101302","2215150.000000","Met","January 2013 end of month results","2013-01-31","02/15/2013","09:20:26"
"029-888888105","7","6997","110909087311","42873","1109090873111302","2.000000","Met","January 2013 end of month results","2013-01-31","02/15/2013","09:20:26"
"029-888888105","7","7003","110909087314","42875","1109090873141302","1.000000","Met","January 2013 end of month results","2013-01-31","02/15/2013","09:20:26"
"029-888888105","7","7005","110909087315","42877","1109090873151302","85.000000","Met","January 2013 end of month results","2013-01-31","02/15/2013","09:20:26"
"029-888888105","7","7007","110909087316","42879","1109090873161302","15.000000","Met","January 2013 end of month results","2013-01-31","02/15/2013","09:20:26"
"029-888888105","7","7009","110909087317","42881","1109090873171302","15.000000","Met","January 2013 end of month results","2013-01-31","02/15/2013","09:20:26"
"029-888888105","7","7011","110909087318","42883","1109090873181302","145881.000000","Met","January 2013 end of month results","2013-01-31","02/15/2013","09:20:26"
"029-888888105","7","7013","110909087319","42885","1109090873191302","1084433.000000","Met","January 2013 end of month results","2013-01-31","02/15/2013","09:20:26"
"029-888888105","7","7015","11090908739","42887","110909087391302","1.000000","Not Met","January 31 end of month data","2013-01-31","02/15/2013","09:20:26"
"029-888888105","7","7251","031313120302","48665","1303137322","0.966000","Met","Initial measurement for performance metric","2013-02-01","03/28/2013","14:52:27"
"029-888888105","7","7251","031313120302","52235","1304129894","0.968000","Met","March 2013 actuals","2013-03-31","04/29/2013","11:16:27"
"029-888888105","7","7251","031313120302","56015","1305131145","0.961000","Met","End of April 2013 results.","2013-04-30","05/24/2013","14:38:18"
"029-888888105","7","7251","031313120302","59113","1306042483","0.961000","Met","End of May 2013 actuals","2013-05-31","06/28/2013","16:13:14"
"029-888888105","7","7251","031313120302","59801","1307093877","0.961000","Met","End of June 2013 Actuals","2013-06-30","07/24/2013","15:14:09"
"029-888888105","7","7253","031313120317","48667","1303137314","0.859000","Not Met","Initial measurement of performance metric","2013-02-01","03/28/2013","14:52:27"
"029-888888105","7","7253","031313120317","52237","1304129895","0.871000","Not Met","March 2013 actuals","2013-03-31","04/29/2013","11:16:27"
"029-888888105","7","7253","031313120317","56017","1305131146","0.849000","Not Met","End of April 2013 results","2013-04-30","05/24/2013","14:38:18"
"029-888888105","7","7253","031313120317","59114","1306042486","0.842000","Not Met","End of May 2013 actuals","2013-05-31","06/28/2013","16:13:14"
"029-888888105","7","7253","031313120317","59802","1307093880","0.814000","Not Met","End of June 2013 actuals","2013-06-30","07/24/2013","15:14:09"
"029-888888105","7","7255","031313120320","48669","1303137309","0.896000","Not Met","Initial measurement for performance metric","2013-02-01","03/28/2013","14:52:27"
"029-888888105","7","7255","031313120320","52239","1304129896","0.892000","Not Met","March 2013 actuals","2013-03-31","04/29/2013","11:16:27"
"029-888888105","7","7255","031313120320","56019","1305131147","0.878000","Not Met","End of April 2013 results","2013-04-30","05/24/2013","14:38:18"
"029-888888105","7","7255","031313120320","59115","1306042488","0.882000","Not Met","End of May 2013 actuals","2013-05-31","06/28/2013","16:13:14"
"029-888888105","7","7257","031313120337","48671","1303137318","0.945000","Not Met","Initial measurement for performance metric","2013-02-01","03/28/2013","14:52:27"
"029-888888105","7","7257","031313120337","52241","1304129897","0.943000","Not Met","March 2013 actuals","2013-03-31","04/29/2013","11:16:27"
"029-888888105","7","7257","031313120337","56021","1305131148","0.939000","Not Met","End of April 2013 results","2013-04-30","05/24/2013","14:38:18"
"029-888888105","7","7257","031313120337","59116","1306042490","0.939000","Not Met","End of May 2013 actuals","2013-05-31","06/28/2013","16:13:14"
"029-888888105","7","7257","031313120337","59803","1307093882","0.940000","Not Met","End of June 2013 actuals","2013-06-30","07/24/2013","15:14:09"
"029-888888105","7","7259","031313120346","48673","1303137327","0.934000","Not Met","Initial measurement for performance metric","2013-02-01","03/28/2013","14:52:27"
"029-888888105","7","7259","031313120346","52243","1304129898","0.935000","Not Met","March 2013 actuals","2013-03-31","04/29/2013","11:16:27"
"029-888888105","7","7259","031313120346","56023","1305131149","0.936000","Not Met","End of April 2013 results","2013-04-30","05/24/2013","14:38:18"
"029-888888105","7","7259","031313120346","59117","1306042492","0.937000","Not Met","End of May 2013 actuals","2013-05-31","06/28/2013","16:13:14"
"029-888888105","7","7259","031313120346","59804","1307093884","0.943000","Not Met","End of June 2013 actuals","2013-06-30","07/24/2013","15:14:09"
"029-888888105","7","7261","031313130303","48675","1303137329","0.806000","Not Met","Initial measurement for performance metric","2013-02-01","03/28/2013","14:52:27"
"029-888888105","7","7261","031313130303","52245","1304129899","0.807000","Not Met","March 2013 actuals","2013-03-31","04/29/2013","11:16:27"
"029-888888105","7","7261","031313130303","56025","1305131150","0.807000","Not Met","End of April 2013 results","2013-04-30","05/24/2013","14:38:18"
"029-888888105","7","7261","031313130303","59118","1306042494","0.808000","Not Met","End of May 2013 actuals","2013-05-31","06/28/2013","16:13:14"
"029-888888105","7","7261","031313130303","59805","1307093886","0.858000","Not Met","End of June2013 actuals","2013-06-30","07/24/2013","15:14:09"
"029-888888105","7","7263","031313130346","48677","1303137332","752.000000","Met","Initial measurement for performance metric","2013-02-01","03/28/2013","14:52:27"
"029-888888105","7","7263","031313130346","56027","1305131143","774.000000","Met","End of March 2013 results. J.D. Powers results lag by one month.","2013-03-31","05/24/2013","14:38:18"
"029-888888105","7","7263","031313130346","59119","1306042496","770.000000","Met","End of April 2013 results. J.D. Powers results lag by one month.","2013-05-31","06/28/2013","16:13:14"
"029-555555110","8","3617","11090908991","113","","67233.000000","Not Met","","","04/17/2012","14:53:18"
"029-555555110","8","3617","11090908991","11805","","69545.000000","Not Met","","","05/21/2012","17:08:42"
"029-555555110","8","3617","11090908991","15583","","71830.000000","Not Met","","","06/21/2012","13:40:10"
"029-555555110","8","3617","11090908991","30679","11090908991","76268.000000","Met","","2012-10-18","10/31/2012","20:50:54"
"029-555555110","8","3617","11090908991","33947","110909089911211","78387.000000","Met","","2012-10-31","11/29/2012","15:56:39"
"029-555555110","8","3617","11090908991","38633","110909089911301","78387.000000","Met","","2012-10-31","01/18/2013","08:36:52"
"029-555555110","8","3618","11090908992","115","","26712.000000","Not Met","","","04/17/2012","14:53:18"
"029-555555110","8","3618","11090908992","11807","","26748.000000","Not Met","","","05/21/2012","17:08:42"
"029-555555110","8","3618","11090908992","15585","","29615.000000","Met","","","06/21/2012","13:40:10"
"029-555555110","8","3618","11090908992","30681","11090908992","31937.000000","Met","","2012-10-18","10/31/2012","20:50:54"
"029-555555110","8","3618","11090908992","33949","110909089921211","33022.000000","Met","","2012-10-31","11/29/2012","15:56:39"
"029-555555110","8","3618","11090908992","38635","110909089921301","33022.000000","Met","","2012-10-31","01/18/2013","08:36:52"
"029-555555110","8","3619","11090908993","117","","811539.000000","Met","","","04/17/2012","14:53:18"
"029-555555110","8","3619","11090908993","11809","","826974.000000","Met","","","05/21/2012","17:08:42"
"029-555555110","8","3619","11090908993","15587","","851404.000000","Met","","","06/21/2012","13:40:10"
"029-555555110","8","3619","11090908993","30683","11090908993","897463.000000","Met","","2012-10-18","10/31/2012","20:50:54"
"029-555555110","8","3619","11090908993","33951","110909089931211","955112.000000","Met","","2012-10-31","11/29/2012","15:56:39"
"029-555555110","8","3619","11090908993","38637","110909089931301","955112.000000","Met","","2012-10-31","01/18/2013","08:36:52"
"029-555555110","8","3620","11090908994","119","","99.510000","Met","","","04/17/2012","14:53:18"
"029-555555110","8","3620","11090908994","11811","","87.790000","Not Met","","","05/21/2012","17:08:42"
"029-555555110","8","3620","11090908994","15589","","84.400000","Not Met","","","06/21/2012","13:40:10"
"029-555555110","8","3620","11090908994","30685","11090908994","99.200000","Met","","2012-10-18","10/31/2012","20:50:54"
"029-555555110","8","3620","11090908994","33953","110909089941211","97.000000","Not Met","","2012-10-31","11/29/2012","15:56:39"
"029-555555110","8","3620","11090908994","38639","110909089941301","97.000000","Not Met","","2012-10-31","01/18/2013","08:36:52"
"029-555555110","8","4437","11090908996","123","","21392.000000","Not Met","","","04/17/2012","14:53:18"
"029-555555110","8","4437","11090908996","11815","","22529.000000","Not Met","","","05/21/2012","17:08:42"
"029-555555110","8","4437","11090908996","15593","","21461.000000","Not Met","","","06/21/2012","13:40:10"
"029-555555110","8","4437","11090908996","30687","11090908996","297491.000000","Met","","2012-10-18","10/31/2012","20:50:54"
"029-555555110","8","4437","11090908996","33955","110909089961211","25021.000000","Not Met","","2012-10-31","11/29/2012","15:56:39"
"429-000001020","9","1291","","687","","95.000000","Met","System downtime occurs only during Microsoft 'Patch Tuesday' every month after hours","","09/22/2011","15:46:42"
"429-000001020","9","1291","","12379","","96.000000","Met","System downtime occurs only during Microsoft 'Patch Tuesday' every month after hours","","05/23/2012","14:26:57"
"429-000001020","9","1291","","16047","","98.000000","Met","System downtime occurs only during Microsoft 'Patch Tuesday' every month after hours","","06/25/2012","10:34:38"
"429-000001020","9","1291","","31971","","96.000000","Met","BFS experienced minimal system down-time during off-peak hours","2012-10-31","11/21/2012","10:36:54"
"429-000001020","9","1291","","36083","","97.000000","Met","BFS experienced minimal system down-time during off-peak hours","2012-11-30","12/21/2012","07:48:07"
"429-000001020","9","1291","","41593","","98.000000","Met","BFS experienced minimal system down-time during off-peak hours","2012-12-31","01/31/2013","08:49:35"
"429-000001020","9","1291","","41595","","97.000000","Met","BFS experienced minimal system down-time during off-peak hours","2012-11-30","01/31/2013","08:49:35"
"429-000001020","9","1291","","43371","","99.000000","Met","BFS experienced zero down-time in the month of January ","2013-01-31","02/26/2013","08:16:34"
"429-000001020","9","1291","","47715","","99.000000","Met","BFS experienced near zero system down-time during off-peak hours","2013-02-28","03/26/2013","14:26:17"
"429-000001020","9","1291","","49945","","99.000000","Met","BFS experienced near zero system down-time for both on/off peak hours","2013-03-29","04/23/2013","08:06:27"
"429-000001020","9","1291","","54507","","99.000000","Met","BFS experienced near zero system down-time for both on/off peak hours","2013-04-30","05/22/2013","14:10:47"
"429-000001020","9","1291","","58419","","99.000000","Met","BFS experienced near zero system down-time for both on/off peak hours","2013-05-31","06/27/2013","16:15:08"
"429-000001020","9","1291","","60004","","99.000000","Met","BFS experienced near zero system down-time for both on/off peak hours","2013-06-28","07/29/2013","15:11:37"
"429-000001020","9","1291","","61703","","99.000000","Met","BFS experienced near zero system down-time for both onoff peak hours","2013-07-31","08/02/2013","13:16:34"
"429-000001020","9","1292","","4425","","22.000000","Not Met","Some offices are willing to consolidate while others hold to the agency longtime decentralized formulation culture","","09/22/2011","15:46:42"
"429-000001020","9","1292","","49941","","7.000000","Met","NRC indirect/smaller offices have eliminated their supplemental subsystems to perform budget formulation.  The major program offices will phase out their subsystems with the introduction of funds utilization plan application in FY14 and budget app job code enhancement project.","2013-03-29","04/23/2013","08:06:27"
"429-000001020","9","1293","","4427","","1005.000000","Not Met","Automated rollovers of versions decreases the amount of OT work required by Analysts","","01/27/2012","15:39:57"
"429-000001020","9","1293","","16049","","985.000000","Not Met","Automated rollovers of versions decreases the amount of OT work required by Analysts","","06/25/2012","10:34:38"
"429-000001020","9","1293","","49947","","121.000000","Not Met","Establishment of a new web form to capture baseline activity has dramatically cut the previously necessary overtime hours in establishing formulation year budget.","2013-03-29","04/23/2013","08:06:27"
"429-000001020","9","1296","","4433","","80.000000","Met","Users have embraced BFS for budget formulation and have contacted OCFO with ideas for future processes/integration","","01/27/2012","15:39:57"
"429-000001020","9","1296","","18917","","80.000000","Met","Users have embraced BFS for budget formulation and have contacted OCFO with ideas for future processes/integration","","07/20/2012","10:23:08"
"429-000001020","9","1296","","22145","","80.000000","Met","Users have embraced BFS for budget formulation and have contacted OCFO with ideas for future processes/integration","","08/01/2012","10:03:23"
"429-000001020","9","6663","","31973","","2.000000","Not Met","All critical/high issues for BFS were resolved within 2 business days","2012-10-31","11/21/2012","10:36:54"
"429-000001020","9","6663","","36085","","2.000000","Not Met","All critical/high issues for BFS were resolved within 2 business days","2012-11-30","12/21/2012","07:48:07"
"429-000001020","9","6663","","41597","","2.000000","Not Met","All critical/high issues for BFS were resolved within 2 business days","2012-12-31","01/31/2013","08:49:35"
"429-000001020","9","6663","","41599","","2.000000","Not Met","All critical/high issues for BFS were resolved within 2 business days","2012-11-30","01/31/2013","08:49:35"
"429-000001020","9","6663","","43369","","1.000000","Not Met","Al critical/high issues for BFS were resolved within 2 business days","2013-01-31","02/26/2013","08:16:34"
"429-000001020","9","6663","","47713","","2.000000","Not Met","All critical/high issues for BFS were resolved within 2 business days","2013-02-28","03/26/2013","14:26:17"
"429-000001020","9","6663","","49943","","5.000000","Met","All critical/high issues for BFS were resolved within 2 business days.  Higher volume of calls due to new formulation year budget cycle plus sequestration adjustments to FY13","2013-03-29","04/23/2013","08:06:27"
"429-000001020","9","6663","","54505","","1.000000","Not Met","All critical/high issues for BFS were resolved within 1 business day.","2013-04-30","05/22/2013","14:10:47"
"429-000001020","9","6663","","58418","","1.000000","Not Met","All critical/high issues for BFS were resolved within 1 business day","2013-05-31","06/27/2013","16:15:08"
"429-000001020","9","6663","","60003","","2.000000","Not Met","All critical/high issues for BFS were resolved within 2 business days","2013-06-28","07/29/2013","15:11:37"
"429-000001020","9","6663","","61702","","2.000000","Not Met","All critical/high issues for BFS were resolved within 2 business days","2013-07-31","08/02/2013","13:16:34"
"184-000000008","10","2653","SS-001","2897","","","","Availability as a percentage of total planned availability. Does not include planned maintenance times.","","09/23/2011","15:00:29"
"184-000000008","10","2653","SS-001","13347","","","","Availability as a percentage of total planned availability. Does not include planned maintenance times.","","09/23/2011","15:00:29"
"184-000000008","10","2653","SS-001","16831","","","","Availability as a percentage of total planned availability. Does not include planned maintenance times.","","06/27/2012","15:29:35"
"184-000000008","10","2653","SS-001","19649","","","","Availability as a percentage of total planned availability. Does not include planned maintenance times.","","07/25/2012","15:50:14"
"184-000000008","10","2653","SS-001","23477","","98.130000","Met","Availability as a percentage of total planned availability. Does not include planned maintenance times.","","08/22/2012","17:18:24"
"184-000000008","10","2653","SS-001","28037","","98.130000","Met","Availability as a percentage of total planned availability. Does not include planned maintenance times.","2012-08-31","09/14/2012","11:26:03"
"184-000000008","10","2654","SS-002","2899","","","","A&A transactions only.","","09/23/2011","15:00:29"
"184-000000008","10","2654","SS-002","13349","","","","A&A transactions only.","","09/23/2011","15:00:29"
"184-000000008","10","2654","SS-002","16833","","","","A&A transactions only.","","06/27/2012","15:29:35"
"184-000000008","10","2654","SS-002","19651","","","","A&A transactions only.","","07/25/2012","15:50:14"
"184-000000008","10","2654","SS-002","23479","","100.000000","Met","A&A transactions only.","","08/22/2012","17:18:24"
"184-000000008","10","2654","SS-002","28039","","100.000000","Met","A&A transactions only.","2013-03-31","04/29/2013","12:23:20"
"184-000000008","10","2655","SS-003","2901","","100.000000","Met","","","09/23/2011","15:00:29"
"184-000000008","10","2655","SS-003","13351","","100.000000","Met","","","09/23/2011","15:00:29"
"184-000000008","10","2655","SS-003","16835","","100.000000","Met","","","06/27/2012","15:29:35"
"184-000000008","10","2655","SS-003","19653","","100.000000","Met","","","07/25/2012","15:50:14"
"184-000000008","10","2655","SS-003","23473","","100.000000","Met","","","08/22/2012","17:18:24"
"184-000000008","10","2655","SS-003","28041","","100.000000","Met","","2012-08-31","09/14/2012","11:26:03"
"184-000000008","10","2656","SS-004","2903","","100.000000","Met","","","09/23/2011","15:00:29"
"184-000000008","10","2656","SS-004","13353","","100.000000","Met","","","09/23/2011","15:00:29"
"184-000000008","10","2656","SS-004","16837","","100.000000","Met","","","06/27/2012","15:29:35"
"184-000000008","10","2656","SS-004","19655","","100.000000","Met","","","07/25/2012","15:50:14"
"184-000000008","10","2656","SS-004","23475","","100.000000","Met","","","08/22/2012","17:18:24"
"184-000000008","10","2656","SS-004","28043","","100.000000","Met","","2013-03-31","04/29/2013","12:23:20"
"184-000000008","10","2657","SS-005","2905","","","","A&A transactions external to GLAAS typically occur due to a lack of user training or urgent requirement during a high-processing time / performance slowdown.  Manual processing is susceptible to error and manual validation with other systems.","","09/23/2011","15:00:29"
"184-000000008","10","2657","SS-005","13355","","","","A&A transactions external to GLAAS typically occur due to a lack of user training or urgent requirement during a high-processing time / performance slowdown.  Manual processing is susceptible to error and manual validation with other systems.","","09/23/2011","15:00:29"
"184-000000008","10","2657","SS-005","16839","","","","A&A transactions external to GLAAS typically occur due to a lack of user training or urgent requirement during a high-processing time / performance slowdown.  Manual processing is susceptible to error and manual validation with other systems.","","06/27/2012","15:29:35"
"184-000000008","10","2657","SS-005","19657","","","","A&A transactions external to GLAAS typically occur due to a lack of user training or urgent requirement during a high-processing time / performance slowdown.  Manual processing is susceptible to error and manual validation with other systems.","","07/25/2012","15:50:14"
"184-000000008","10","2657","SS-005","23481","","0.000000","Met","A&A transactions external to GLAAS typically occur due to a lack of user training or urgent requirement during a high-processing time / performance slowdown. Manual processing is susceptible to error and manual validation with other systems.","","08/22/2012","17:18:24"
"184-000000008","10","2657","SS-005","28045","","0.000000","Met","A&A transactions external to GLAAS typically occur due to a lack of user training or urgent requirement during a high-processing time / performance slowdown. Manual processing is susceptible to error and manual validation with other systems.","2013-03-31","04/29/2013","12:23:20"
"184-000000005","12","2843","USAT","2887","","3.930000","Met","","","10/24/2011","17:29:50"
"184-000000005","12","2843","USAT","16841","","3.930000","Met","","","06/27/2012","15:29:36"
"184-000000005","12","2843","USAT","20169","","3.930000","Met","","","07/27/2012","11:35:03"
"184-000000005","12","2843","USAT","23483","","3.930000","Met","","","08/22/2012","17:18:24"
"184-000000005","12","2843","USAT","27923","","3.930000","Met","","2011-04-30","09/14/2012","09:53:32"
"184-000000005","12","2844","HD","2889","","92.377000","Met","New metric for FY 2012.","","04/30/2012","12:49:58"
"184-000000005","12","2844","HD","16843","","89.080000","Met","New metric for FY 2012.","","06/27/2012","15:29:36"
"184-000000005","12","2844","HD","20171","","89.080000","Met","New metric for FY 2012.","","07/27/2012","11:35:03"
"184-000000005","12","2844","HD","23485","","89.080000","Met","New metric for FY 2012.","","08/22/2012","17:18:24"
"184-000000005","12","2844","HD","30611","","93.800000","Met","","2012-09-30","10/31/2012","18:09:58"
"184-000000005","12","2844","HD","32803","","95.670000","Met","","2012-10-31","11/28/2012","15:55:35"
"184-000000005","12","2844","HD","41387","","93.740000","Met","","2012-11-30","01/30/2013","17:57:43"
"184-000000005","12","2844","HD","41389","","91.490000","Met","","2012-12-31","01/30/2013","17:57:43"
"184-000000005","12","2844","HD","49369","","92.540000","Met","","2013-01-31","03/29/2013","15:17:25"
"184-000000005","12","2844","HD","56677","","93.770000","Met","","2013-03-31","05/29/2013","16:41:51"
"184-000000005","12","2844","HD","56679","","95.100000","Met","","2013-04-30","05/29/2013","16:41:51"
"184-000000005","12","2845","UPTIME","2891","","100.000000","Met","","","04/30/2012","12:49:58"
"184-000000005","12","2845","UPTIME","16845","","100.000000","Met","","","06/27/2012","15:29:36"
"184-000000005","12","2845","UPTIME","20173","","100.000000","Met","","","07/27/2012","11:35:03"
"184-000000005","12","2845","UPTIME","23487","","100.000000","Met","","","08/22/2012","17:18:24"
