Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Requirement Type,URL ID,Agency URL ID,URL,Valid Public URL,Updated Date,Updated Time
"026-000005020","39","026","National Aeronautics and Space Administration","JSC DA Mission Control Center Systems (MCCS)","Published Agency Strategic Plan","1689","65804","http://www.nasa.gov/...icPlan.pdf","No","09/14/2012","09:49:17"
"026-000005030","40","026","National Aeronautics and Space Administration","JSC DA Space Station Training Facility (SSTF)","Legislative Mandate","1691","65806","http://www.nasa.gov/...11-267.pdf","No","09/14/2012","09:50:54"
"026-000005030","40","026","National Aeronautics and Space Administration","JSC DA Space Station Training Facility (SSTF)","Published Agency Strategic Plan","1693","65807","http://www.nasa.gov/...icPlan.pdf","No","09/14/2012","09:50:54"
"026-000001502","43","026","National Aeronautics and Space Administration","NASA Center for Climate Simulation (NCCS)","Legislative Mandate","1781","65809","http://www.aip.org/fyi/2011/138.html","Yes","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","NASA Center for Climate Simulation (NCCS)","Legislative Mandate","1779","65810","http://www.gpo.gov/fdsys/pkg/BILLS-111s3729enr/pdf/BILLS-111s3729enr.pdf","Yes","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","NASA Center for Climate Simulation (NCCS)","Published Agency Strategic Plan","1783","65811","http://www.nasa.gov/...icPlan.pdf","No","09/14/2012","10:26:30"
"026-000001502","43","026","National Aeronautics and Space Administration","NASA Center for Climate Simulation (NCCS)","Other Requirement","1785","65812","http://www.hec.nasa....ports.html","No","09/14/2012","10:26:30"
"026-000001124","45","026","National Aeronautics and Space Administration","NASA High-End Computing Capability (HECC)","Legislative Mandate","1901","65817","http://commerce.sena...t_2010.pdf","No","09/14/2012","10:34:26"
"026-000001124","45","026","National Aeronautics and Space Administration","NASA High-End Computing Capability (HECC)","Published Agency Strategic Plan","1903","65818","http://www.nasa.gov/...20revA.pdf","No","09/14/2012","10:34:26"
"007-000000882","48","007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-JOINT","Legislative Mandate","43","407","","No","09/11/2012","11:57:07"
"007-000000882","48","007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-JOINT","Published Agency Strategic Plan","2461","549","http://www.disa.mil/about/our-campaign-plan","Yes","03/28/2013","12:35:21"
"007-000000882","48","007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-JOINT","Published Agency Strategic Plan","45","405","http://www.disa.mil/about/our-campaign-plan/lines-of-operation/command-and-control","No","09/11/2012","11:57:07"
"007-000000882","48","007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-JOINT","Presidential Priority","47","406","","No","09/11/2012","11:57:07"
"007-000001826","49","007","Department of Defense","Integrated Strategic Planning and Analysis Network (ISPAN) Program","Published Agency Strategic Plan","2483","537","https://vela.stratcom.mil/sites/cio/pages/iesppamphlet.html","No","03/28/2013","13:11:02"
"007-000001911","50","007","Department of Defense","Theater Battle Management Core System","Published Agency Strategic Plan","2485","508","http://www.defense.gov/qdr/","Yes","03/28/2013","13:11:13"
"007-000001913","51","007","Department of Defense","THEATER MEDICAL INFORMATION PROGRAM-Joint","Published Agency Strategic Plan","153","59","http://comptroller.defense.gov/defbudget/fy2013/fy2013_budget_request_overview_book.pdf","Yes","09/11/2012","12:33:09"
"007-000001913","51","007","Department of Defense","THEATER MEDICAL INFORMATION PROGRAM-Joint","Other Requirement","155","58","http://www.healthfinder.gov/orgs/hr1458.htm","Yes","09/11/2012","12:33:09"
"007-000002166","55","007","Department of Defense","Advanced Field Artillery Tactical Data System","Published Agency Strategic Plan","157","461","http://usarmy.vo.llnwd.net/e2/c/downloads/243816.pdf","Yes","09/11/2012","12:33:14"
"007-000003538","57","007","Department of Defense","Next Generation Enterprise Network","Legislative Mandate","2527","506","https://www.peoeis.portal.navy.mil/","No","03/28/2013","15:26:57"
"007-000003538","57","007","Department of Defense","Next Generation Enterprise Network","Legislative Mandate","2529","507","https://homeport/","No","03/28/2013","15:26:57"
"007-000005069","62","007","Department of Defense","Global Combat Support System - Air Force","Audit Finding Resolution","2505","519","audit info - http://www.foia.af.mil/shared/media/document/afd-100528-087.pdf","No","03/28/2013","13:12:33"
"007-000005069","62","007","Department of Defense","Global Combat Support System - Air Force","Audit Finding Resolution","2503","518","audit information- http://www.afaa.af.mil/","No","03/28/2013","13:12:33"
"007-000005069","62","007","Department of Defense","Global Combat Support System - Air Force","Published Agency Strategic Plan","173","430","","No","09/11/2012","12:47:17"
"007-000005069","62","007","Department of Defense","Global Combat Support System - Air Force","Published Agency Strategic Plan","2507","520","","No","03/28/2013","13:12:33"
"007-000006170","65","007","Department of Defense","Mission Planning Systems (MPS) Increment III","Legislative Mandate","175","305","","No","09/11/2012","12:47:32"
"007-000006191","66","007","Department of Defense","AF NC3-MEECN Modernization","Legislative Mandate","2513","522","www.house.gov","Yes","03/28/2013","13:13:02"
"007-000006191","66","007","Department of Defense","AF NC3-MEECN Modernization","Legislative Mandate","2515","534","www.senate.gov","Yes","03/28/2013","13:13:02"
"007-000006191","66","007","Department of Defense","AF NC3-MEECN Modernization","Published Agency Strategic Plan","2517","540","www.stratcom.mil/mission","Yes","03/28/2013","13:13:02"
"007-000006191","66","007","Department of Defense","AF NC3-MEECN Modernization","Other Requirement","2521","542","www.dtic.mil/cjcs_directives/cdata/unlimit/5119_01.pdf","Yes","03/28/2013","13:13:02"
"007-000006191","66","007","Department of Defense","AF NC3-MEECN Modernization","Presidential Priority","2519","541","www.acq.osd.mil/ncbdp/nm/nm_book_5_11/docs/nmhb2011_chapter5_surety.pdf","Yes","03/28/2013","13:13:02"
"007-000006965","80","007","Department of Defense","NET-CENTRIC ENTERPRISE SERVICES","Legislative Mandate","171","375","http://www.disa.mil/about/our-campaign-plan","Yes","09/11/2012","12:43:24"
"012-000003470","88","012","Department of Labor","Federal Contractor Compliance System (FCCS)","Presidential Priority","1445","4","http://www.whitehouse.gov/sites/default/files/omb/assets/memoranda_2010/m10-19.pdf","Yes","09/13/2012","15:28:27"
"429-000000010","89","429","Nuclear Regulatory Commission","Agencywide Documents Access and Management System (ADAMS)","Legislative Mandate","2339","1","http://www.archives.gov/federal-register/laws/paperwork-reduction/http://www.archives.gov/about/regulations/subchapter/b.htmlhttp://www.archives.gov/about/laws/fed-agencies.html","No","11/21/2012","10:31:37"
"429-000000010","89","429","Nuclear Regulatory Commission","Agencywide Documents Access and Management System (ADAMS)","Published Agency Strategic Plan","2341","3","http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr1614/v5/sr1614v5.pdf","Yes","11/21/2012","10:31:38"
"429-000000010","89","429","Nuclear Regulatory Commission","Agencywide Documents Access and Management System (ADAMS)","Other Requirement","2343","5","http://ecfr.gpoaccess.gov/cgi/t/text/text-idxc&#61;ecfr&amp;sid&#61;7ce0ac15a5704bd440a757bcabc3081d&amp;rgn&#61;div5&amp;view&#61;text&amp;node&#61;5:3.0.2.3.9&amp;idno&#61;5","Yes","11/21/2012","10:31:38"
"429-000002016","90","429","Nuclear Regulatory Commission","Time and Labor Modernization (TLM)","Legislative Mandate","2333","1","http://www.whitehouse.gov/omb/financial_fmfia1982/","Yes","11/20/2012","15:45:58"
"429-000002016","90","429","Nuclear Regulatory Commission","Time and Labor Modernization (TLM)","Published Agency Strategic Plan","2335","3","http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr1614/v5/sr1614v5.pdf","Yes","11/20/2012","15:45:58"
"429-000002016","90","429","Nuclear Regulatory Commission","Time and Labor Modernization (TLM)","Other Requirement","2337","5","http://www.ssa.gov/OP_Home/comp2/F101-508.htmlhttp://epw.senate.gov/nwpa82.pdf","No","11/20/2012","15:45:58"
"012-000002035","106","012","Department of Labor","Unemployment Insurance Database Management System","Legislative Mandate","1473","1","http://www.ows.doleta.gov/unemploy/jobcreact.asp","Yes","09/13/2012","15:30:57"
"012-000002035","106","012","Department of Labor","Unemployment Insurance Database Management System","Audit Finding Resolution","1475","2","NA","No","09/13/2012","15:30:57"
"012-000002055","109","012","Department of Labor","Electronic Labor Organization Reporting System (e.LORS)","Legislative Mandate","1443","1","http://thomas.loc.gov/cgi-bin/query/Fc105:1:./temp/~c105xVx85J:e17654:, http://www.gpo.gov/fdsys/pkg/FR-2003-10-09/pdf/03-25487.pdf","Yes","09/13/2012","15:28:19"
"429-000001100","112","429","Nuclear Regulatory Commission","Core Financial System - Replacement (CFS)","Legislative Mandate","2315","1","http://www.cfoc.gov/index.cfmfunction&#61;doc_cfo_act1990ahttp://www.whitehouse.gov/sites/default/files/omb/assets/omb/circulars/a136/a136_revised_2012.pdfhttp://www.fasab.gov/pdffiles/sffas-4.pdf","No","11/21/2012","10:35:55"
"429-000001100","112","429","Nuclear Regulatory Commission","Core Financial System - Replacement (CFS)","Audit Finding Resolution","2317","2","ADAMS document ML101590358https://adamsxt.nrc.gov/WorkplaceXT/IBMgetContentvsId&#61;{B7CC03F9-A741-4648-A5DD-D5699928E34B}&amp;objectStoreName&#61;Main.__.Library&amp;objectType&#61;document&amp;id&#61;{400B9843-F270-4333-9623-65F6E83AA152}","No","11/21/2012","10:35:55"
"429-000001100","112","429","Nuclear Regulatory Commission","Core Financial System - Replacement (CFS)","Published Agency Strategic Plan","2319","3","http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr1614/v5/sr1614v5.pdf","Yes","11/21/2012","10:35:55"
"012-000002495","114","012","Department of Labor","DOL eGrants","Legislative Mandate","1425","1","http://www.gpo.gov/fdsys/pkg/PLAW-106publ107/pdf/PLAW-106publ107.pdf","Yes","09/13/2012","15:27:36"
"012-000002575","115","012","Department of Labor","Departmental E-Business Suite (DEBS)","Legislative Mandate","1427","1","http://www.dol.gov/dol/budget/2013/PDF/CBJ-2013-V1-01.pdf","Yes","09/13/2012","15:27:45"
"012-000002575","115","012","Department of Labor","Departmental E-Business Suite (DEBS)","Other Requirement","1429","5","http://www.whitehouse.gov/omb/memoranda_2006 http://www.whitehouse.gov/omb/performance/gprm-act","No","09/13/2012","15:27:45"
"012-000003225","116","012","Department of Labor","HSPD-12","Legislative Mandate","2453","1","http://www.whitehouse.gov/sites/default/files/omb/memoranda/2011/m11-11.pdf","Yes","03/27/2013","16:14:20"
"012-000003225","116","012","Department of Labor","HSPD-12","Presidential Priority","1447","4","http://www.dhs.gov/homeland-security-presidential-directive-12","Yes","09/13/2012","15:28:52"
"012-000003585","117","012","Department of Labor","SOL IT Modernization","Other Requirement","1483","5","www.cio.gov/documents/25-point-implementation-plan-to-reform-federal%20it.pdf","No","09/13/2012","15:47:19"
"012-000001010","122","012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)","Legislative Mandate","1449","1","http://www.gpo.gov/fdsys/pkg/PLAW-105publ220/content-detail.html","Yes","09/13/2012","15:29:28"
"012-000001010","122","012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)","Presidential Priority","1451","4","http://www.whitehouse.gov/the-press-office/2012/05/10/executive-order-identifying-and-reducing-regulatory-burdens","Yes","09/13/2012","15:29:28"
"012-000002085","123","012","Department of Labor","MSHA Standardized Information System (MSIS)","Audit Finding Resolution","1453","2","http://www.msha.gov/PerformanceCoal/UBBInternalReview/UBBInternalReview.asp","Yes","09/13/2012","15:29:39"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","Legislative Mandate","1455","1","http://frwebgate.access.gpo.gov/cgi-bin/getdoc.cgidbname&#61;104_cong_public_laws&amp;docid&#61;f:publ208.104.pdf","No","09/13/2012","15:30:01"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","Audit Finding Resolution","1457","2","Not applicable","No","09/13/2012","15:30:01"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","Published Agency Strategic Plan","1459","3","http://www.dol.gov/_sec/stratplan/StrategicPlan.pdf","Yes","09/13/2012","15:30:01"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","Presidential Priority","1461","4","http://www.whitehouse.gov/omb/circulars_a127","Yes","09/13/2012","15:30:01"
"012-000000001","126","012","Department of Labor","Disability.gov","Other Requirement","1435","5","http://www.cio.gov/documents/25-point-implementation-plan-to-reform-federal%20it.pdf","No","09/13/2012","15:27:55"
"012-000000001","126","012","Department of Labor","Disability.gov","Presidential Priority","1433","4","http://georgewbush-whitehouse.archives.gov/news/releases/2002/08/20020828.html","Yes","09/13/2012","15:27:55"
"429-000002080","128","429","Nuclear Regulatory Commission","Enterprise Project Management (EPM)","Published Agency Strategic Plan","2313","3","http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr1614/v5/sr1614v5.pdf","Yes","11/27/2012","10:23:49"
"429-000001012","129","429","Nuclear Regulatory Commission","Infrastructure Services and Support (ISS)","Published Agency Strategic Plan","2437","3","http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr1614/v5/sr1614v5.pdf","Yes","03/26/2013","11:09:35"
"012-999990020","130","012","Department of Labor","Benefits.gov","Legislative Mandate","1419","1","http://www.whitehouse.gov/omb/egov","Yes","09/13/2012","15:26:59"
"012-999990020","130","012","Department of Labor","Benefits.gov","Presidential Priority","1421","4","http://www.cio.gov/documents/25-Point-Implementation-Plan-to-Reform-FederalIT.pdf","No","09/13/2012","15:26:59"
"012-000002015","132","012","Department of Labor","Integrated Federal Employees' Compensation System (iFECS)","Published Agency Strategic Plan","2449","3","http://www.dol.gov/owcp/OWCP-STRATPLAN-2012-2016.pdf","Yes","03/27/2013","15:57:57"
"024-000009102","134","024","Department of Homeland Security","A&O - Homeland Security Information Network (HSIN)","Legislative Mandate","603","100","http://www.dhs.gov/x...05_enr.pdf;  http://www.gpo.gov/fdsys/pkg/PLAW-109publ295/pdf/PLAW-109publ295.pdf; http://www.gpo.gov/fdsys/pkg/PLAW-109publ295/pdf/PLAW-109publ295.pdf","No","09/12/2012","13:53:09"
"024-000009102","134","024","Department of Homeland Security","A&O - Homeland Security Information Network (HSIN)","Published Agency Strategic Plan","605","300","http://www.dhs.gov/xlibrary/assets/qhsr_report.pdf","Yes","09/12/2012","13:53:09"
"024-000009102","134","024","Department of Homeland Security","A&O - Homeland Security Information Network (HSIN)","Presidential Priority","607","400","http://www.fema.gov/presidential-policy-directive-8-national-preparedness","No","09/12/2012","13:53:09"
"024-000009104","135","024","Department of Homeland Security","A&O - Common Operational Picture (COP)","Legislative Mandate","601","100","http://thomas.loc.gov/cgi-bin/bdquery/zd109:S3721:","Yes","09/12/2012","13:53:01"
"024-000005439","138","024","Department of Homeland Security","ICE - IT Infrastructure (Atlas)","Legislative Mandate","595","100","http://www.ntia.doc.gov/report/2001/alternative-frequencies-use-public-safety-systems; http://www.cio.gov/pages.cfm/page/The-Federal-Data-Center-Consolidation-Initiative","Yes","09/12/2012","13:35:09"
"024-000005439","138","024","Department of Homeland Security","ICE - IT Infrastructure (Atlas)","Other Requirement","599","500","http://intelligence.senate.gov/laws/pl11053.pdf","Yes","09/12/2012","13:35:09"
"024-000005439","138","024","Department of Homeland Security","ICE - IT Infrastructure (Atlas)","Presidential Priority","597","400","http://www.dhs.gov/xabout/laws/gc_1217616624097.shtm","Yes","09/12/2012","13:35:09"
"024-000005536","140","024","Department of Homeland Security","ICE - Enforcement Information Sharing (EIS)","Legislative Mandate","887","100","http://www.nctc.gov/docs/pl108_458.pdf","Yes","09/12/2012","15:15:32"
"024-000005397","141","024","Department of Homeland Security","ICE - Electronic Health Record (EHR) System","Other Requirement","1247","500","http://www.oig.dhs.gov/assets/Mgmt/OIG_08-52_Jun08.pdf; http://www.gpo.gov/fdsys/pkg/CRPT-112srpt74/pdf/CRPT-112srpt74.pdf","No","09/13/2012","11:43:25"
"024-000005363","143","024","Department of Homeland Security","ICE - Student and Exchange Visitor Information System (SEVIS)","Legislative Mandate","1355","100","http://www.dhs.gov/xabout/laws/law_regulation_rule_0011.shtm","Yes","09/13/2012","14:49:58"
"024-000009538","144","024","Department of Homeland Security","NPPD - NS/EP PTS","Other Requirement","917","500","1) http://www.fas.org/irp/offdocs/nspd/nspd-51.htm","No","09/12/2012","15:29:04"
"024-000009538","144","024","Department of Homeland Security","NPPD - NS/EP PTS","Presidential Priority","915","400","1) https://www.federalregister.gov/articles/2012/07/11/2012-17022/assignment-of-national-security-and-emergency-preparedness-communications-functions","No","09/12/2012","15:29:04"
"024-000009508","145","024","Department of Homeland Security","NPPD - National Cybersecurity & Protection System (NCPS)","Presidential Priority","909","400","N/A","No","09/12/2012","15:26:25"
"024-000009520","146","024","Department of Homeland Security","NPPD - ISCP (Infrastructure Security Compliance) - CSAT","Legislative Mandate","1497","100","http://www.uscis.gov/ilink/docView/6CFR/HTML/6CFR/0-0-0-1/0-0-0-3875.html","Yes","09/13/2012","16:00:40"
"024-000009520","146","024","Department of Homeland Security","NPPD - ISCP (Infrastructure Security Compliance) - CSAT","Published Agency Strategic Plan","1499","300","http://www.uscis.gov/ilink/docView/6CFR/HTML/6CFR/0-0-0-1/0-0-0-3875.html","Yes","09/13/2012","16:00:40"
"024-000009560","151","024","Department of Homeland Security","CBP - US-VISIT - Automated Biometric Identification System (IDENT)","Legislative Mandate","785","100","http://www.gpo.gov/fdsys/pkg/PLAW-106publ215/pdf/PLAW-106publ215.pdf http://www.gpo.gov/fdsys/pkg/PLAW-107publ56/pdf/PLAW-107publ56.pdf http://www.gpo.gov/fdsys/pkg/PLAW-107publ173/pdf/PLAW-107publ173.pdf http://www.gpo.gov/fdsys/pkg/STATUTE-118/pdf/STATUTE-118-Pg3638.pdf http://www.gpo.gov/fdsys/pkg/PLAW-110publ53/pdf/PLAW-110publ53.pdf","Yes","09/12/2012","14:33:35"
"024-000009560","151","024","Department of Homeland Security","CBP - US-VISIT - Automated Biometric Identification System (IDENT)","Presidential Priority","787","400","https://www.hsdl.org/view&did=441949 https://www.hsdl.org/view&did=449327 https://www.hsdl.org/view&did=449575 https://www.hsdl.org/view&did=486560","Yes","09/12/2012","14:33:35"
"024-000009561","152","024","Department of Homeland Security","CBP - US-VISIT - Arrival and Departure Information System (ADIS)","Legislative Mandate","775","100","http://www.gpo.gov/fdsys/pkg/PLAW-106publ215/pdf/PLAW-106publ215.pdf","Yes","09/12/2012","14:33:27"
"024-000009561","152","024","Department of Homeland Security","CBP - US-VISIT - Arrival and Departure Information System (ADIS)","Presidential Priority","777","400","https://www.hsdl.org/view&did=441949","Yes","09/12/2012","14:33:27"
"024-000001110","157","024","Department of Homeland Security","DHS - Homeland Secure Data Network (HSDN)","Legislative Mandate","1293","100","http://www.gpo.gov/fdsys/pkg/CRPT-108hrpt796/pdf/CRPT-108hrpt796.pdf","Yes","09/13/2012","13:14:19"
"024-000001110","157","024","Department of Homeland Security","DHS - Homeland Secure Data Network (HSDN)","Presidential Priority","1295","400","http://www.gpo.gov/fdsys/pkg/DCPD-201100732/pdf/DCPD-201100732.pdf","Yes","09/13/2012","13:14:19"
"024-000007127","161","024","Department of Homeland Security","FEMA - NFIP Information Technology Systems & Services","Legislative Mandate","2159","100","none","No","09/14/2012","16:59:45"
"024-000007101","162","024","Department of Homeland Security","FEMA - Integrated Financial Management Information System (IFMIS)","Legislative Mandate","763","100","http://www.govtrack.us/congress/bills/109/s3721","Yes","09/12/2012","14:32:45"
"024-000007101","162","024","Department of Homeland Security","FEMA - Integrated Financial Management Information System (IFMIS)","Presidential Priority","765","400","http://finance.performance.gov/initiative/increase-reliability/home","Yes","09/12/2012","14:32:45"
"024-000007591","163","024","Department of Homeland Security","FEMA - Infrastructure","Presidential Priority","1907","400","http://www.dhs.gov/homeland-security-presidential-directive-12","Yes","09/14/2012","10:45:16"
"024-999990130","165","024","Department of Homeland Security","FEMA - Disaster Management E-Government Initiative","Published Agency Strategic Plan","2155","300","www.fema.gov, www.dhs.gov","No","09/14/2012","16:52:35"
"024-999994100","166","024","Department of Homeland Security","FEMA - Disaster Assistance Improvement Plan (DAIP)","Legislative Mandate","767","100","http://www.gpo.gov/fdsys/pkg/PLAW-109publ295/pdf/PLAW-109publ295.pdf","Yes","09/12/2012","14:33:06"
