Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Contract ID,Agency Contract ID,Contract Status,Contracting Agency ID,Contract Number (PIID),IDV PIID,IDV Agency ID,Solicitation ID (Agency),Modular Approaches / Contracting,EVM Required,Match found in USAspending,Vendor Name (USAspending),Solicitation ID (USAspending),Action Obligation Amount (In $ million) (USAspending),Type of Contract (USAspending),Performance Based Contract (USAspending),Contract Start Date (USAspending),Contract End Date (USAspending),Contract Compete (USAspending),Contract Description (USAspending),Base Contract ID (USAspending),Identifying Agency ID (USAspending),Transaction Number (USAspending),Timestamp (Contract),Timestamp (Base Contract)
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","21957","","Awarded","","AG7604C100001","GS35F0133L","4730","AG7604S080004","","no","Yes","GLACIER TECHNOLOGIES, LLC","","0.000000","Firm Fixed Price","","06/28/2012","01/01/1970","U","SERVER REQIREMENTS CONTRACT.","33469","12C2","","2012-08-01 16:22:38","2013-03-24 19:07:33"
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","21961","","Awarded","","GS00T07NSD0008","AG3142D100465","3142","","","no","Yes","MCI COMMUNICATIONS SERVICES INCORPORATED","","","Firm Fixed Price","","08/07/2009","01/01/1970","U","GSA NETWORX TELECOMMUNICATIONS ACQUISITION","33471","4735","","2013-03-19 16:24:37","2013-03-24 19:07:33"
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","21962","","Awarded","","GS00T07NSD0007","AG3142D100036","3142","","","no","Yes","A T AND T CORPORATION (4710)","","","Firm Fixed Price","","09/30/2009","01/01/1970","U","GSA NETWORX TELECOMMUNICATIONS ACQUISITION","33473","4735","","2013-03-19 16:24:37","2013-03-24 19:07:33"
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","21963","","Awarded","","GS00T07NSD0039","AG3142D100039","3142","","","no","Yes","SPRINT SOLUTIONS INCORPORATED","","","Firm Fixed Price","","09/08/2009","01/01/1970","U","GSA NETWORX TELECOMMUNICATIONS ACQUISITION","33475","4735","","2013-03-19 16:24:37","2013-03-24 19:07:33"
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","21964","","Awarded","1406","IND11PA40011","GS35F4702G","1406","N10PS40117","","no","Yes","EER SYSTEMS, INC","","0.000000","Order Dependent (IDV only)","","05/31/2012","01/01/1970","U","FS - NETWORK&RADIO INFRA.","33477","1406","","2011-09-16 17:10:07","2013-03-24 19:07:33"
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","33083","","Awarded","","AG7604D120252","GS06F0988Z","4732","AG7604S120012","","no","Yes","FLATIRONS TWO INC.","","5.004699","Firm Fixed Price","","07/18/2013","09/27/2013","U","IGF::OT::IGF  AAP#: NP5NP5, CONTRACT#: TBD, REPLACES AG-7604-P-11-0039 AND AG-7604-D-11-0057, VENDOR: TBD, SCOPE: SPECIFIED NETWORK DEVICES MAINTENANCE AND SUPPORT SERVICES, POP: 5/1/12-4/30/13 + 4 OPTIONS, CO: BRENDELL GALLEGOS, COR: ROD C FLORENCE","59735","12C2","0","2013-08-20 18:51:47","2013-08-20 18:51:48"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","33087","","Awarded","","AG32KWD120149","NNG07DA39B","8000","","","no","Yes","IRON BOW TECHNOLOGIES, LLC","","0.247195","Firm Fixed Price","","03/21/2013","04/30/2017","U","AMSTHQI4834-2:  CISCO SUPPORT + SEWP FEE CLIN:SEWPZ","59889","12K3","0","2013-08-21 10:27:24","2013-08-21 10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","33089","","Awarded","","AG32KWP130081","AG3142B090025","1205","","","no","Yes","RIGHTSTAR, INC.","","0.018261","Firm Fixed Price","","06/14/2013","09/30/2013","U","BMC LICENSE RENEWALIGF::OT::IGF","59891","12K3","0","2013-08-21 10:27:24","2013-08-21 10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","33091","","Awarded","","AG32KWK130071","AC3142B130014","4730","","","no","Yes","DELL MARKETING L.P.","","0.314740","Firm Fixed Price","","07/03/2013","06/30/2018","U","USDA AMS MICROSOFT ENTERPRISE AGREEMENT RENEWAL","59893","12K3","0","2013-08-21 10:27:24","2013-08-21 10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","33093","","Awarded","","AG32KWD130055","NNG07DA32B","8000","","","no","Yes","GOVCONNECTION INCORPORATED","","0.039764","Firm Fixed Price","","01/28/2013","10/31/2013","U","EVA 4400 DENVER AND DC ANNUAL MAINTENANCE - SEWP FEE CLIN: SEWPZIGF::OT::IGF","59895","12K3","0","2013-08-21 10:27:24","2013-08-21 10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","33095","","Awarded","","AG32KWD120228","GS35F0389V","8000","","","no","Yes","VARIQ CORPORATION","","0.144639","Firm Fixed Price","","07/10/2013","08/31/2016","U","AMSTHQIT4911-2 MICROSOFT PREMIER SUPPORT RENEWAL","59897","12K3","0","2013-08-21 10:27:24","2013-08-21 10:27:24"
"005-000001723","212","005","Department of Agriculture","AMS Infrastructure WAN and DMZ (AMSWAN)","33097","","Awarded","","AG32KWD13065","NNG07DA32B","8000","","","no","No","","","","","","","","","","","","","2013-08-21 10:27:24",""
"005-000000064","246","005","Department of Agriculture","RMA-01  Financial Management Systems (FMS)","22328","","Awarded","4732","GST0011AJ0019","GS00Q09BGD0048","4735","GSCQFOB1032284","","yes","Yes","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","","63.080878","Cost Plus Award Fee","","01/30/2013","01/30/2016","U","124085","33539","4732","0","2013-03-24 19:09:26","2013-03-24 19:09:26"
"005-000001742","254","005","Department of Agriculture","FSA Architecture, SDLC and Common IT Solutions  #0109","21593","","Awarded","4735","GS05T10BMC0013","","","5TS12100255","","yes","Yes","GLOBAL SUPPORT SERVICES, LLC","5TS12100255","3.212200","Labor Hours","","12/04/2012","09/23/2013","U","COMMON SOLUTIONS","33439","4735","0","2013-03-24 19:06:53","2013-03-24 19:06:53"
"005-000001742","254","005","Department of Agriculture","FSA Architecture, SDLC and Common IT Solutions  #0109","21594","","Awarded","4735","GST0510BM0139","GS00Q09BGD0048","4735","5TS12100253","","yes","Yes","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","5TS12100253","8.759115","Time and Materials","","03/07/2013","09/23/2013","U","ENTERPRISE ARCHITECTURE","33441","4735","0","2013-03-24 19:06:53","2013-03-24 19:06:53"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","21502","","Awarded","","AG3151C110019","","","AG3151S110019","no","no","Yes","BLUEMONT TECHNOLOGY & RESEARCH, INC.","","2.104008","Firm Fixed Price","","11/15/2012","09/30/2013","U","PROGRAM LOAN ACCOUNTING SYSTEM (PLAS) SUPPORT SERVICES. 3-MONTH BASE PERIOD 07/01/11 - 09/30/11.","33411","12D2","0","2013-03-24 19:05:30","2013-03-24 19:05:30"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","21504","","Awarded","","AG3151C110029","","","AG3151S110029","no","no","Yes","WEBEQUITY SOLUTIONS, LLC","","2.817050","Firm Fixed Price","","11/08/2012","09/29/2016","U","FARM BUSINESS PLAN COTS PACKAGE QUALITY ASSURANCE","59689","12D2","0","2013-08-20 17:08:49","2013-08-20 17:08:49"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","21506","","Awarded","","AG3151C100009","","","AG3151S100009","no","no","Yes","AGWARE, INC","","0.475860","Firm Fixed Price","","03/08/2013","01/01/1970","U","TO PURCHASE NEW APPRAISAL STUDIO SOFTWARE, MAINTENANCE AND TECHNICAL SUPPORT AND TRAINING.","59687","12D2","","2013-08-20 17:08:49","2013-08-20 17:08:49"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information & Delivery Systems #103","33049","","Awarded","","AG3151C120031","","","AG3151S120031","no","no","Yes","MARSHALL & SWIFT/BOECKH, LLC","","0.118080","Firm Fixed Price","","09/28/2012","09/27/2013","U","SOFTWARE FOR COMMERCIAL AND AGRICULTURAL ESTIMATOR","59691","12D2","0","2013-08-20 17:08:49","2013-08-20 17:08:49"
"005-000000047","237","005","Department of Agriculture","Integrated Program Accounting System (IPAS)","21626","","Awarded","","AG3198K120001","AG3198B090011","12F2","","no","no","Yes","DELOITTE CONSULTING L.L.P.","","2.761000","Fixed Price Level of Effort","","11/28/2012","04/30/2014","U","INCREMENTAL IPAS FUNDING - FISCAL YEAR 2012 APPLICABLE TO IT 12 002 IPAS OPERATIONAL SUPPORT - FY 2012","33493","12F2","0","2012-09-14 10:28:24","2013-03-24 19:08:15"
"005-000000047","237","005","Department of Agriculture","Integrated Program Accounting System (IPAS)","21628","","Awarded","","AG3198K100010","AG3198B090011","12F2","","no","no","Yes","DELOITTE CONSULTING L.L.P.","","2.746924","Firm Fixed Price","","09/22/2011","04/30/2014","U","ADD'L FUNDING&POP EXTENSION DELOITTE CONSULTING LLP - IPAS TASK 9 FNS FMMI IMPLEMENTATION SUPPORT PERIOD OF PERFORMANCE THROUGH 15 MARCH 2011","33495","12F2","0","2013-03-20 10:35:15","2013-03-24 19:08:15"
"005-000000018","253","005","Department of Agriculture","Web-Based Supply Chain Management (WBSCM)","23101","","Awarded","4732","GSTFMGBPA100001CO05","GSTFMGBPA100001","4735","","","no","No","","","","","","","","","","","","","2012-09-16 18:18:53",""
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","21629","","Awarded","","AG3K06D120029","GS35F0069V","4730","","","no","Yes","WESTAT, INC.","","0.127067","Firm Fixed Price","","12/15/2011","09/30/2012","U","FY12 BLAISE SOFTWARE 10/1/11 TO 9/30/12, LAST YRS INVOICE IS ATTACHED AND AWARD INFORMATION IS ATTACHED FOR DETAILS CONTACT ASA MANNING 720-9485 OR LEE BOWLING 720-0308","33649","12H2","0","2012-11-27 17:45:44","2013-03-24 21:40:17"
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","21630","","Awarded","","AG3K06D120039","GS35F0529V","4730","","","no","Yes","FEITH SYSTEMS AND SOFTWARE, INC.","","0.052695","Firm Fixed Price","","12/15/2011","09/30/2012","U","FY12 FEITH MAINT&SUPPORT, UNDER THE CR 13.39% WILL BE PAID OUT OF $52,696=$7055.99 NEW QUOTE ADDED  10/1/11-9/30/12 FOR MORE DETAILS CONTACT BRIAN LOUNSBURY 720-3649-","33651","12H2","0","2012-11-27 17:45:44","2013-03-24 21:40:17"
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","21631","","Awarded","","AG3K06D120025","","","","","no","Yes","IMMIXTECHNOLOGY, INC.","","0.095289","Firm Fixed Price","","12/15/2011","09/30/2012","U","FY12 HYPERION, BRIO, DESIGNER&EXPLORER, UNDER CR 13.39% WILL BE PAID OUT OF $95,288.52 =$12,759.13 FOR DETAILS CONTACT BRIAN LOUNSBURY 720-3649, NEW QUOTE ATTACHED (OUT YR MAINT HYPERION INTERACTIVE REPORTING)","33653","12H2","0","2013-03-24 21:40:17","2013-03-24 21:40:17"
"005-000002152","238","005","Department of Agriculture","NASS Survey Processing System","21632","","Awarded","","AG3K06P120030","","","","","no","Yes","PHOENIX SOFTWARE INTERNATIONAL, INC.","","0.022770","Firm Fixed Price","","12/15/2011","09/30/2012","U","FY12 VIKING VDE SOFTWARE MAINT/CUST# 4325/10/1/11-9/30/12 UNDER CR 13.39% WILL BE PAID OUT OF $22,770 =$3048.90 FOR DETAILS CONTACT LEE BOWLING 720-0308","33655","12H2","0","2012-11-27 17:45:44","2013-03-24 21:40:17"
"005-000001659","239","005","Department of Agriculture","Animal Disease Traceability Information System (ADTIS)","32676","","Awarded","","AG32KWD110369","GS06F0530Z","4730","","yes","no","Yes","VETERAN ENGINEERING AND TECHNOLOGY, LLC","","0.572791","Firm Fixed Price","","09/13/2012","09/30/2013","U","ADTS HELP DESK","55416","12K3","0","2013-06-25 16:58:45","2013-06-25 16:58:45"
"005-999991841","234","005","Department of Agriculture","Human Resources Line of Business:  Service Center","27457","","Awarded","1205","AG3142K120105","AG3142B090002","1205","","","yes","Yes","INTERNATIONAL BUSINESS MACHINE","","4.209700","Firm Fixed Price","","12/20/2012","09/30/2013","U","IT SUPPORT SERVICES.","33481","1205","0","2013-03-19 16:24:53","2013-03-24 19:07:50"
"005-000000067","247","005","Department of Agriculture","RMA-02  Corporate Insurance Information Systems (CIIS)","22329","","Awarded","4732","GST0011AJ0019","GS00Q09BGD0048","4735","GSCQFOB1032284","","yes","Yes","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","","63.080878","Cost Plus Award Fee","","01/30/2013","01/30/2016","U","124085","33541","4732","0","2013-03-24 19:09:34","2013-03-24 19:09:34"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","24549","","Awarded","","AG-6395-C-12-0038","AG-6395-D-12-0163","12K3","N/A","no","yes","Yes","QINETIQ NORTH AMERICA, INC.","","","Order Dependent (IDV only)","","07/24/2013","01/01/1970","U","EAPPS IT SUPPORT","59701","12K3","","2013-08-20 18:36:26","2013-08-20 18:36:26"
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","28529","","Awarded","1200","AG-31ME-C-12-0018","AG-31ME-C-12-0018","1200","","yes","yes","Yes","ROSE INTERNATIONAL, INC.","","1.587026","Firm Fixed Price","","09/28/2012","01/01/1970","U","SOLICITATION AG-31ME-S-12-0017 (ESDDD-12-024) - HYPERION/OBIEE REPORTING AND MAP REPORTS -  PROJECTS A&B&C - RD CONTRACTOR RPT MAINT AND UPDATES","59711","12E3","","2013-08-20 18:36:40","2013-08-20 18:36:40"
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","28537","","Awarded","1200","AG-31ME-D-12-0034","AG-31ME-D-12-0034","1200","","yes","yes","Yes","QFLOW SYSTEMS LLC","","0.615472","Firm Fixed Price","","09/24/2012","09/27/2013","U","AG-31ME-D-09-0026 (ESDDD-12-042) TO #31 -- PROJECT AGUARANTEED LOSS WORKFLOW ENHANCEMENT (RH), PROJECT B-ECM MFH VOUCHER TRACKING MODULE (PF),&PROJECT C-WORKFLOW ENGINE (RH) POP 09/38/2012 - 09/27/2013","59713","12E3","0","2013-08-20 18:36:40","2013-08-20 18:36:40"
"005-000002317","832","005","Department of Agriculture","Comprehensive Loan Program","28541","","Awarded","1200","AG-31ME-D-12-0036","AG-31ME-D-12-0036","1200","","yes","yes","Yes","UNISYS CORPORATION","","0.291843","Firm Fixed Price","","08/13/2013","09/27/2013","U","AG-31ME-C-10-0013 (ESDDD-12-045) -- DCFO - TDW DATA LOAD POP 9/28/12 - 9/27/13 --(DCIO SWEEP), ACCT #21L561000 BOC # 2500, POC K ANDERSON -- COMMIT","59709","12E3","0","2013-08-20 18:36:40","2013-08-20 18:36:40"
