Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Performance Metric ID,Agency Performance Metric ID,Metric Description,Unit of Measure,FEA Performance Measurement Category Mapping,Target 2012,Target 2013,Measurement Condition,Reporting Frequency,PRM Code,Latest Performance Metric Actual Id,Latest Agency Performance Metric Actual Id,Latest Actual Result,Latest Actual Result Met/Not Met,Latest Actual Result Comment,Latest Actual Result Date,Metric Updated Date,Metric Updated Time
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1084","","Number of applicants registered to use ePermits","Percent","112-Customer Results - Service Coverage","60.000000","65.000000","Under target","Monthly","P44-005-070","61991","","71.000000","Not Met","Incresed by 5%","2013-08-08","08/20/2013","18:36:26"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1085","","Add external groups to the ePermits System.","Number","112-Customer Results - Service Coverage","2.000000","2.000000","Under target","Semi-Annual","P44-005-070","4363","","0.000000","Met","0 external groups added the system is being evaluated for a new system platform.","","08/20/2013","18:36:26"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1086","","Precentage of Permit application processed within 75 days.","Percent","113-Customer Results - Timeliness and Responsiveness","25.000000","30.000000","Over target","Quarterly","P44-005-070","14793","","10.000000","Not Met","20% overall reduction in turn-around time for implemented permit programs","","08/20/2013","18:36:26"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1087","","Collect and Process User Fees electronically via Pay.gov.","Number","103-Mission and Business Results - Management of Government Resources","13000.000000","15000.000000","Over target","Quarterly","P44-005-070","14797","","9108.000000","Not Met","Payment was collected from 13399 applications.","","08/20/2013","18:36:26"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1088","","Integrate the permiting activity of multile independent permit programs","Number","101-Mission and Business Results - Services for Citizens","3.000000","3.000000","Over target","Semi-Annual","P44-005-070","14799","","3.000000","Met","3 independent programs currently utilize ePermits to process all permitting activity.","","08/20/2013","18:36:26"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1089","","Precentage of  applications submitted using ePermits","Precentage","202-Process and Activities - Productivity","60.000000","62.000000","Over target","Quarterly","P44-005-070","4371","","60.000000","Met","As of 9/06/11 56% of VS, BRS and PPQ applications were submitted electronically by applicants (17148 out of 30885)","","08/20/2013","18:36:26"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1090","","Number of Repeat Customers using system","Percent","216-Technology - Effectiveness","2500.000000","2700.000000","Over target","Semi-Annual","P44-005-070","14801","","1664.000000","Not Met","2191","","08/20/2013","18:36:26"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1091","","Number of additional forms automated via ePermits","Number","215-Technology - Reliability and Availability","6.000000","5.000000","Over target","Quarterly","P44-004-070","14803","","1.000000","Not Met","6","","08/20/2013","18:36:26"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1092","","Number of security test and recovery exercises.","Number","215-Technology - Reliability and Availability","3.000000","4.000000","Over target","Semi-Annual","P44-005-070","4377","","3.000000","Met","2 Disater Recovery Exercises in FY 2011","","08/20/2013","18:36:26"
"005-000001822","213","005","Department of Agriculture","APHIS Electronic Permits System (ePermits)","1093","","System Outages Downtime","Percent","215-Technology - Reliability and Availability","0.000000","0.000000","Over target","Monthly","P44-005-070","61989","","2.000000","Met","Shared Service center expirenced an outage","2013-08-08","08/20/2013","18:36:26"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1094","","Maintain network and server availability for use.","Percentage","115-Customer Results - Service Accessibility","99.970000","99.700000","Over target","Quarterly","","59456","","99.980000","Met","over target","2013-07-01","08/20/2013","15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1095","","ATAC average response time to resolve customer issues.","Time","103-Mission and Business Results - Management of Government Resources","21.700000","21.700000","Under target","Monthly","","61957","","21.700000","Met","met target","2013-08-02","08/20/2013","15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1096","","Application of patches on all systems.","Percentage","205-Process and Activities - Security and Privacy","98.000000","98.000000","Over target","Monthly","","61959","","98.000000","Met","target met","2013-07-31","08/20/2013","15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1097","","Reduction in number of field office data storage devices.","Number","214-Technology - Information and Data","60.000000","50.000000","Under target","Quarterly","","59457","","50.000000","Met","met target","2013-06-28","08/20/2013","15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","1098","","Percentage of systems compliant with FDCC requirements.","Percentage","213-Technology - Efficiency","95.000000","95.000000","Over target","Quarterly","","59461","","95.000000","Met","met target","2013-07-01","08/20/2013","15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure (AEI)","6949","","Percentage of laptops applied with MEE encryption","percentage","214-Technology - Information and Data","95.000000","95.000000","Over target","Quarterly","P44-005-070","59460","","95.000000","Met","met target","2013-07-01","08/20/2013","15:24:25"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","2945","","% of system users who complete security awareness and role based access training.","Percent","205-Process and Activities - Security and Privacy","100.000000","100.000000","Over target","Annual","404-127-000","59739","","100.000000","Met","","2013-07-08","08/20/2013","18:36:33"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","2946","","% of reports available to customers on the reports website as scheduled.","Percent","111-Customer Results - Customer Benefit","100.000000","100.000000","Over target","Monthly","","61997","","100.000000","Met","","2013-08-07","08/20/2013","18:36:33"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","2947","","Certification of user access to the system is conducted quarterly.","Percent","205-Process and Activities - Security and Privacy","100.000000","100.000000","Over target","Quarterly","","46927","","100.000000","Met","","2013-12-31","08/20/2013","18:36:33"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","2948","","Contribute to agency maintaining an unqualified audit opinion by ensuring no material deficiencies are identified in the ATSA system during the audit.","Audit report","114-Customer Results - Service Quality","1.000000","1.000000","Under target","Annual","404-127-000","6233","","0.000000","Met","","","08/20/2013","18:36:33"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","2949","","% of scheduled production cycles completed without issues.","Percent","203-Process and Activities - Cycle Time and Timeliness","91.000000","91.000000","Over target","Monthly","","61993","","100.000000","Met","","2013-08-07","08/20/2013","18:36:33"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","2950","","% of scheduled time that application is operational.","Percent","215-Technology - Reliability and Availability","97.000000","97.000000","Over target","Monthly","","61999","","100.000000","Met","","2013-08-07","08/20/2013","18:36:33"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","2951","","% of customer issues that are addressed and fully resolved within 24-hours.","percent","203-Process and Activities - Cycle Time and Timeliness","92.000000","92.000000","Over target","Monthly","","61995","","100.000000","Met","","2013-08-07","08/20/2013","18:36:33"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1620","","Average number of days required to complete Direct Loan processing (from application completed to final disposition)","Number of Days","113-Customer Results - Timeliness and Responsiveness","31.000000","31.000000","Under target","Quarterly","","59515","","24.100000","Met","This metric is below the FY 2013 Goal of 31 days.","2013-06-28","08/20/2013","17:08:49"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1621","","Number of States with average Direct Loan processing time greater than 35 days","Number of States","113-Customer Results - Timeliness and Responsiveness","12.000000","12.000000","Under target","Quarterly","","51811","","11.000000","Met","This metric is below the FY 2013 Goal of 12 States.","2013-03-29","08/20/2013","17:08:49"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1622","","Total Direct Loan Delinquency Rates","Percent","102-Mission and Business Results - Support Delivery of Services","8.500000","8.500000","Under target","Quarterly","","61967","","5.700000","Met","This metric is below the FY 2013 Goal of 8.5%","2013-06-28","08/20/2013","17:08:49"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1623","","Total Direct Loan Loss Rates","Percent","102-Mission and Business Results - Support Delivery of Services","3.500000","3.500000","Under target","Quarterly","","61965","","0.800000","Met","This metric is below the FY 2013 Goal of 3.5%.","2013-06-28","08/20/2013","17:08:49"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1624","","Percent of time that system is available to internal users during normal business hours","Percent","202-Process and Activities - Productivity","95.000000","95.000000","Over target","Quarterly","","59516","","97.000000","Met","This metric exceeds the FY 2013 Goal of 95%.","2013-06-28","08/20/2013","17:08:49"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1625","","Number of separate systems to query to provide input data to annual audit process","Number of Systems","213-Technology - Efficiency","1.000000","1.000000","Under target","Quarterly","","59517","","1.000000","Met","This metric meets the FY 2013 Goal of 1 system.","2013-06-28","08/20/2013","17:08:49"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1626","","Maximum number of manual data entry and/or manual file transfer points among systems during a delinquent loan cycle","Number","213-Technology - Efficiency","2.000000","2.000000","Under target","Monthly","","61969","","2.000000","Met","This metric meets the 2013 Goal of 2 Data Entry Points.","2013-07-31","08/20/2013","17:08:49"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1627","","First Year Delinquent Rates for New Loans","Delinquency Percentage","102-Mission and Business Results - Support Delivery of Services","10.000000","10.000000","Under target","Quarterly","","59521","","5.200000","Met","This metric is below the FY 2013 Goal of 10.0%","2013-06-28","08/20/2013","17:08:49"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1628","","Average number of days from application receipt to disposition of Emergency Loans","Number of Days","102-Mission and Business Results - Support Delivery of Services","32.500000","32.500000","Under target","Quarterly","","61963","","28.000000","Met","This metric is below the FY 2013 metric of 32.5 days.","2013-06-28","08/20/2013","17:08:49"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","1629","","Increase Lending Beginning Farmers and Ranchers","Percent","102-Mission and Business Results - Support Delivery of Services","41.700000","41.500000","Over target","Quarterly","","59520","","49.900000","Met","This metric exceeds the FY 2013 Goal of 42%.","2013-06-28","08/20/2013","17:08:49"
"005-000001231","219","005","Department of Agriculture","Consolidated Farm Loan Program Information &amp; Delivery Systems #103","6379","","Increase Lending to Minorities and Socially Disadvantaged Farmers and Ranchers","Percent","102-Mission and Business Results - Support Delivery of Services","17.800000","17.500000","Over target","Quarterly","","59519","","23.800000","Met","This metric exceeds the FY 2013 Goal of 18.1%.","2013-06-28","08/20/2013","17:08:49"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","2803","","Accounting: Maintain unqualified financial statement audit opinion for FSA and CCC","Number of audit issues","103-Mission and Business Results - Management of Government Resources","0.000000","0.000000","Under target","Annual","P42-005-069","2979","","","","Goal metrics will be measured in October 2012.","","08/20/2013","18:45:04"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","2804","","Cycle Time: Number of days required to process year-end close of FSA and CCC books before submitting to OCFO","Number of days","113-Customer Results - Timeliness and Responsiveness","0.000000","5.000000","Under target","Annual","P42-005-069","2973","","","","Goal metric will be measured in October 2012.","","08/20/2013","18:45:04"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","2808","","Percentage of payment requests delayed by more than three business days due to technical issues with CFMIS financial software.","Pecrentage of Delayed Payment Requests","215-Technology - Reliability and Availability","0.000000","1.000000","Under target","Monthly","","62001","","0.023800","Met","Only 15 out of 62895 payments were delayed by more than 3 days.","2013-08-01","08/20/2013","18:45:04"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","6381","","Complete at least 90% of approved change requests within agreed upon timeframes.","Percentage of change requests completed timely","202-Process and Activities - Productivity","0.000000","90.000000","Over target","Semi-Annual","","51825","","92.000000","Met","Completed 55 of 60 approved change requests within the agreed upon timeframes.","2013-04-09","08/20/2013","18:45:04"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","6383","","Number of legacy financial systems successfully modified to accomodate new bankruptcy business rules","Number of financial systems successfully updated","216-Technology - Effectiveness","0.000000","3.000000","Over target","Annual","P42-005-069","","","","","","","08/20/2013","18:45:04"
"005-000001232","220","005","Department of Agriculture","Consolidated Financial Management Information Systems (CFMIS) #106","6385","","Number of legacy financial systems retired after conversion to OTC.net.","Number of legacy financial applications retired","216-Technology - Effectiveness","0.000000","2.000000","Over target","Semi-Annual","","51827","","3.000000","Met","CBS, CBS-IVR, & PCC-OTC were retired once the OTCnet interface process was put in place. ","2012-10-22","08/20/2013","18:45:04"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","2809","","System Reponse time","seconds","113-Customer Results - Timeliness and Responsiveness","3.000000","3.000000","Under target","Semi-Annual","","62003","","3.000000","Met","Responses generally well under 3 seconds. Only the reports were well above the target, but still under a minute.","2013-08-09","08/20/2013","18:45:07"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","2810","","Accounting: Number of unqualified financial statement audit opinions for FSA, FAS, and CCC.","Number","201-Process and Activities - Financial","1.000000","1.000000","Over target","Annual","P41-005-069","46563","","1.000000","Met","Financial Statement Audit","2012-10-31","08/20/2013","18:45:07"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","2811","","Percentage of time the system is available to users during normal business hours","hours","215-Technology - Reliability and Availability","99.000000","99.000000","Under target","Semi-Annual","","6011","","99.000000","Met","","","08/20/2013","18:45:07"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","2812","","Number of successful A-123 internal control test conducted.","Number","102-Mission and Business Results - Support Delivery of Services","1.000000","1.000000","Over target","Annual","P41-005-069","58030","","1.000000","Met","","2013-05-31","08/20/2013","18:45:07"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","2813","","Expand use of the E-gov system 35% of the transactions submitted online for NOA","Percentage","101-Mission and Business Results - Services for Citizens","35.000000","35.000000","Over target","Semi-Annual","","46567","","72.000000","Met","","2012-09-28","08/20/2013","18:45:07"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","6929","","Number of successful Certification and Accreditation testing sessions completed for FISMA compliance.","Number","205-Process and Activities - Security and Privacy","1.000000","1.000000","Over target","Annual","P41-005-069","46569","","1.000000","Met","FISMA Certification","2012-07-31","08/20/2013","18:45:07"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","7087","","Number of successful Contingency Planning/Disaster Recovery exercises conducted.","Number","101-Mission and Business Results - Services for Citizens","1.000000","1.000000","Over target","Annual","P41-005-069","58033","","1.000000","Met","","2013-03-31","08/20/2013","18:45:07"
"005-000001234","221","005","Department of Agriculture","Consolidated General Sales Manager (CGSM) #107","7089","","Percentage of times that automated test line coverage reaches a goal of 70%.","Percentage","212-Technology - Quality Assurance","90.000000","90.000000","Over target","Monthly","","62005","","100.000000","Met","","2013-07-31","08/20/2013","18:45:07"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","2940","","System Availability and Uptime","Percentage","215-Technology - Reliability and Availability","98.000000","98.000000","Over target","Quarterly","","28701","","98.000000","Met","","2012-09-04","08/20/2013","18:45:11"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","2941","","Customer Satisfaction","Percentage","111-Customer Results - Customer Benefit","95.000000","95.000000","Over target","Semi-Annual","","6219","","86.000000","Not Met","","","08/20/2013","18:45:11"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","2942","","Clean Audit Opinion (Unqualified Audit Opinion)","Percentage","102-Mission and Business Results - Support Delivery of Services","100.000000","100.000000","Over target","Annual","P41-006-084","46783","","100.000000","Met","","2012-10-26","08/20/2013","18:45:11"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","2943","","Number of system alerts","Number","215-Technology - Reliability and Availability","10.000000","10.000000","Over target","Monthly","","46785","","1.000000","Not Met","","2012-10-16","08/20/2013","18:45:11"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","2944","","Availability to end users","Percentage","111-Customer Results - Customer Benefit","99.500000","99.500000","Over target","Monthly","","46787","","99.500000","Met","","2012-10-16","08/20/2013","18:45:11"
"005-000000062","222","005","Department of Agriculture","Corporate Financial Management Systems (CFMS)","7105","","Application availability:  Time to recover from problem during peak periods.  Resolution within 8 hours.","Hours","216-Technology - Effectiveness","8.000000","8.000000","Under target","Monthly","P41-006-084","","","","","","","08/20/2013","18:45:11"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3112","","Accounting: Maintain unqualified financial statement audit opinion","Unqualified Opinion","102-Mission and Business Results - Support Delivery of Services","100.000000","100.000000","Over target","Annual","P41-006-084","46791","","100.000000","Met","","2013-02-28","08/20/2013","18:45:13"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3113","","Cycle Time: Number of days required to process year-end close of USDA books","Number","201-Process and Activities - Financial","47.000000","47.000000","Under target","Annual","P41-006-084","46793","","36.000000","Met","","2013-02-28","08/20/2013","18:45:13"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3114","","CustomerSatisfaction: Overall FMMI Satisfaction","Number","111-Customer Results - Customer Benefit","95.000000","95.000000","Over target","Semi-Annual","","14813","","56.000000","Not Met","","","08/20/2013","18:45:13"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3115","","Alerts for System Anomalies for application and Supporting Systems server capacity, server performance, and storage capacity for defined thresholds.","Number","214-Technology - Information and Data","1.000000","1.000000","Over target","Quarterly","","22213","","1.000000","Met","","","08/20/2013","18:45:13"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3116","","Help Desk Avalability","Percentage","212-Technology - Quality Assurance","99.500000","99.500000","Over target","Quarterly","","46797","","100.000000","Met","","2012-12-13","08/20/2013","18:45:13"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","3117","","Measure system uptime availability.  Any outage windows are figured into this metric.  We are shooting for a 95% uptime availability for our FMMI users.","Percentage","215-Technology - Reliability and Availability","95.000000","95.000000","Over target","Quarterly","P41-006-084","62011","","98.300000","Met","","2013-06-28","08/20/2013","18:45:13"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6487","","Accounting: Maintain unqualified financial statement audit opinion","Unqualified Opinion","102-Mission and Business Results - Support Delivery of Services","100.000000","100.000000","Over target","Annual","P41-006-084","","","","","","","08/20/2013","18:45:13"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6489","","Cycle Time: Number of days required to process year-end close of USDA books","Number","201-Process and Activities - Financial","47.000000","47.000000","Under target","Annual","P41-006-084","","","","","","","08/20/2013","18:45:13"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6491","","Helpdesk availability to address user issues.  The ability for FMMI users to attain support from the helpdesk.","Percentage","111-Customer Results - Customer Benefit","95.000000","95.000000","Over target","Monthly","P41-006-084","59546","","100.000000","Met","Jun Results","2013-07-11","08/20/2013","18:45:13"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6493","","System Avalability","Percentage","215-Technology - Reliability and Availability","95.000000","95.000000","Over target","Quarterly","P41-006-084","","","","","","","08/20/2013","18:45:13"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","6879","","Application availability:  Time to recover from problem during peak periods.  Resolution within 8 hours.","Hours","216-Technology - Effectiveness","8.000000","8.000000","Under target","Monthly","P41-006-084","59537","","100.000000","Not Met","Jun Results","2013-07-11","08/20/2013","18:45:13"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","7107","","Annual survey sent out to the FMMI user base to garner their opinions on the performance and usability of the system.  The target is 75% satisfaction.","Percentage","111-Customer Results - Customer Benefit","75.000000","75.000000","Over target","Annual","P41-006-084","46789","","64.000000","Not Met","","2012-05-24","08/20/2013","18:45:13"
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","7109","","Monthly Vulnerablity Scans performeed","Percentage","205-Process and Activities - Security and Privacy","99.000000","99.000000","Over target","Monthly","","62007","","100.000000","Met","","2013-06-20","08/20/2013","18:45:13"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1630","","Help Desk Response","Hours of Response Time","103-Mission and Business Results - Management of Government Resources","1.000000","1.000000","Under target","Quarterly","P40-005-070","56689","","1.000000","Met","Help desk response time maintained within the range.","2013-05-02","08/20/2013","17:09:15"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1631","","System Uptime","Percentage of System Uptime","202-Process and Activities - Productivity","99.600000","99.700000","Over target","Monthly","P40-005-070","59524","","99.876000","Met","System uptime maintained within the range.","2013-07-02","08/20/2013","17:09:15"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1632","","Deployment of new systems","Months for deployment of new systems","213-Technology - Efficiency","1.500000","1.500000","Under target","Semi-Annual","P40-005-070","22305","","2.000000","Not Met","New systems deployed in 2 months.","","08/20/2013","17:09:15"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1633","","Desktop Repairs","Hours of request processing time","111-Customer Results - Customer Benefit","24.000000","24.000000","Under target","Semi-Annual","P40-005-070","22303","","24.000000","Met","Maintain 1 day standard or better.","","08/20/2013","17:09:15"
"005-000001718","228","005","Department of Agriculture","FNCS IT Infrastructure","1634","","Unnecessary User Timeouts","Number of user timeouts","215-Technology - Reliability and Availability","0.000000","0.000000","Under target","Semi-Annual","P40-005-070","22427","","0.000000","Met","Maintain zero average timeouts.","","08/20/2013","17:09:15"
"005-000001496","229","005","Department of Agriculture","FPA-P2 - Fire Program Analysis System - Phase 2","2876","","Continued use of FPA application in extent to which agencies use similar models, assumptions, and software to analyze fire program budget requests","number","102-Mission and Business Results - Support Delivery of Services","5.000000","5.000000","Over target","Quarterly","","59755","","5.000000","Met","On target","2013-06-30","08/20/2013","17:09:18"
"005-000001496","229","005","Department of Agriculture","FPA-P2 - Fire Program Analysis System - Phase 2","2877","","% of unscheduled/ unplanned system down time of FPA infrastructure","percent","115-Customer Results - Service Accessibility","5.000000","5.000000","Over target","Quarterly","","59753","","8.000000","Met","on target","2013-06-30","08/20/2013","17:09:18"
"005-000001496","229","005","Department of Agriculture","FPA-P2 - Fire Program Analysis System - Phase 2","2878","","Fully functioning application supports FPU- and national-level fire planning activities.","percent","102-Mission and Business Results - Support Delivery of Services","100.000000","100.000000","Over target","Quarterly","","59752","","62.000000","Not Met","Over target","2013-06-30","08/20/2013","17:09:18"
