Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
009-000000863,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,600,0.0
009-000000921,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,0,0.2
009-000000928,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,519-Surveys,701-Customer Relationship Management,7-Service Types and Components,0,0.0
009-000000934,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,619-Health and Safety,752-Human Resources,7-Service Types and Components,0,0.4
009-000000935,Non Major,144-Inventory Control,405-Supply Chain Management,4-Management of Government Resources,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,0,0.0
009-000000936,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,649-Access Control,761-Security Management,7-Service Types and Components,0,0.0
009-000000940,Non Major,127-Collections and Receivables,402-Financial Management,4-Management of Government Resources,626-Debt Collection,753-Financial Management,7-Service Types and Components,0,0.0
009-000000943,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,552-Ordering / Purchasing,724-Supply Chain Management,7-Service Types and Components,0,0.0
009-000000945,Non Major,144-Inventory Control,405-Supply Chain Management,4-Management of Government Resources,555-Warehouse Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
009-000000948,Non Major,055-Resolution Facilitation,116-Litigation and Judicial Activities,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.2
009-000000950,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000000961,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000000963,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,541-Business Rule Management,721-Management of Process,7-Service Types and Components,0,0.074
009-000000967,Non Major,055-Resolution Facilitation,116-Litigation and Judicial Activities,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.0
009-000000968,Non Major,112-Policy and Guidance Development,306-Regulatory Development,3-Support Delivery of Services to Citizens,664-Query,763-Search,7-Service Types and Components,0,0.0
009-000000974,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,533-Inbound Correspondence Management,712-Routing and Scheduling,7-Service Types and Components,0,0.085
009-000000975,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,664-Query,763-Search,7-Service Types and Components,600,0.25
009-000000976,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,614-Awards Management,752-Human Resources,7-Service Types and Components,0,0.0
009-000001002,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,404,0.0
009-000001018,Non Major,108-Customer Services,305-Public Affairs,3-Support Delivery of Services to Citizens,575-Knowledge Engineering,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000001022,Non Major,137-Lifecycle/Change Management,404-Information and Technology Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,0,0.0
009-000001024,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,592-Data Mining,743-Knowledge Discovery,7-Service Types and Components,200,0.0
009-000001028,Non Major,146-Services Acquisition,405-Supply Chain Management,4-Management of Government Resources,557-Logistics and Transportation,724-Supply Chain Management,7-Service Types and Components,0,0.0
009-000001039,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,649-Access Control,761-Security Management,7-Service Types and Components,0,0.0
009-000001050,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.66
009-000001054,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,600,0.08
009-000001055,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,100,0.285
009-000001059,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000001060,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000001061,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,545-Strategic Planning and Management,723-Investment Management,7-Service Types and Components,0,0.0
009-000001062,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000001064,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.217
009-000001067,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.435
009-000001071,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,600,0.101
009-000001073,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,408,0.0
009-000001074,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.309
009-000001075,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000001082,Non Major,125-Funds Control,402-Financial Management,4-Management of Government Resources,548-Procurement,724-Supply Chain Management,7-Service Types and Components,500,0.0
009-000001095,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.038
009-000001096,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.035
009-000001097,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.205
009-000001098,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,220,0.0
009-000001101,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.025
009-000001103,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,574-Categorization,733-Knowledge Management,7-Service Types and Components,408,0.075
009-000001104,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001108,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000001111,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,561-Content Publishing and Delivery,731-Content Management,7-Service Types and Components,408,0.15
009-000001112,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.1
009-000001113,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,600,0.1
009-000001212,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.109
009-000001213,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.081
009-000001244,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.134
009-000001251,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000001257,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,574-Categorization,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000001265,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,408,0.001
009-000001266,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,220,0.0
009-000001268,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000001269,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.4
009-000001270,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000001272,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000001274,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001276,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.3
009-000001281,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,600,0.245
009-000001283,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.26
009-000001288,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,628-Internal Controls,753-Financial Management,7-Service Types and Components,100,0.0
009-000001289,Non Major,104-Strategic Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,0,0.0
009-000001290,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000001291,Non Major,104-Strategic Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001293,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.09
009-000001296,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.066
009-000001306,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,410,0.0
009-000001359,Major,247-Health Care Administration,110-Health,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,220,0.0
009-000001360,Non Major,217-Access to Care,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000001361,Major,247-Health Care Administration,110-Health,1-Services for Citizens,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,0,5.598
009-000001362,Major,248-Health Care Delivery Services,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,406,5.877
009-000001364,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,410,0.475
009-000001367,Non Major,125-Funds Control,402-Financial Management,4-Management of Government Resources,548-Procurement,724-Supply Chain Management,7-Service Types and Components,500,0.267
009-000001368,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000001369,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000001370,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,2.233
009-000001371,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,1.341
009-000001372,Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,638-Enterprise Application Integration,755-Development and Integration,7-Service Types and Components,0,4.993
009-000001375,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,410,3.24
009-000001378,Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,638-Enterprise Application Integration,755-Development and Integration,7-Service Types and Components,410,5.349
009-000001379,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,642-Resource Planning and Allocation,756-Human Capital / Workforce Management,7-Service Types and Components,0,10.45
009-000001380,Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,410,4.383
009-000001384,Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,1.507
009-000001385,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,0.591
009-000001386,Major,144-Inventory Control,405-Supply Chain Management,4-Management of Government Resources,550-Inventory Management,724-Supply Chain Management,7-Service Types and Components,0,9.102
009-000001387,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,567-Document Review and Approval,732-Document Management,7-Service Types and Components,0,0.997
009-000001388,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,598-Ad Hoc,745-Reporting,7-Service Types and Components,410,0.0
009-999991400,Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,200,3.522
009-000001397,Major,124-Accounting,402-Financial Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,6.002
009-000001402,Non Major,091-Corrective Action,301-Controls and Oversight,3-Support Delivery of Services to Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,220,0.0
009-000001405,Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.0
009-000001406,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,0,0.0
009-000001407,Non Major,125-Funds Control,402-Financial Management,4-Management of Government Resources,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,500,0.0
009-000001408,Major,107-Management Improvement,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,0,6.128
009-000001410,Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,600,4.206
009-000001411,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,580-Document Classification,734-Records Management,7-Service Types and Components,0,0.0
009-000001412,Non Major,253-Compensation Management,403-Human Resource Management,4-Management of Government Resources,613-Time Reporting,752-Human Resources,7-Service Types and Components,550,0.0
009-000001413,Major,125-Funds Control,402-Financial Management,4-Management of Government Resources,553-Invoice / Requisition Tracking and Approval,724-Supply Chain Management,7-Service Types and Components,500,0.0
009-000001415,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000001416,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,406,0.0
009-000001417,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000001418,Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,598-Ad Hoc,745-Reporting,7-Service Types and Components,408,0.0
009-999990160,Major,248-Health Care Delivery Services,110-Health,1-Services for Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,600,0.0
009-000001422,Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.927
009-000001424,Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000001462,Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,600,1.002
009-000001463,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,672-Event / News Management,764-Communication,7-Service Types and Components,410,0.395
009-000001465,Major,247-Health Care Administration,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,220,0.0
