Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
005-000002317,Major,002-Community and Regional Development,101-Community and Social Services,1-Services for Citizens,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,500,30.493918
005-000000147,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,600-OLAP,745-Reporting,7-Service Types and Components,410,0.0
005-000001573,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,310,0.0
005-000002197,Non Major,091-Corrective Action,301-Controls and Oversight,3-Support Delivery of Services to Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.275
005-000001721,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,100,1.697
005-000001234,Major,124-Accounting,402-Financial Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,0.0
005-000000141,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,600-OLAP,745-Reporting,7-Service Types and Components,410,0.0
005-000002188,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,600-OLAP,745-Reporting,7-Service Types and Components,410,0.0
005-000002329,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,3.5655
005-000001557,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.194
005-000001593,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.0
005-999990230,Funding Contribution,146-Services Acquisition,405-Supply Chain Management,4-Management of Government Resources,548-Procurement,724-Supply Chain Management,7-Service Types and Components,600,0.0
005-000001775,Non Major,039-Food and Nutrition Assistance,112-Income Security,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,81.40214399999999
005-999991200,Funding Contribution,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,550,0.0
005-000002233,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
005-000000098,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,100,0.0
005-000002348,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,310,0.0
005-000002375,Non Major,261-Cost Accounting / Performance Measurement,402-Financial Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,150,1.748603
005-000001635,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,0.594845
005-000002349,Non Major,123-Workplace Policy Development and Management,401-Administrative Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,550,0.325
005-000002164,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.0
005-000001523,Non Major,010-Emergency Response,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.0
005-000001536,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,648-Identification and Authentication,761-Security Management,7-Service Types and Components,170,0.0
005-000001845,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,661-Document Library,762-Collaboration,7-Service Types and Components,100,0.0
005-000001784,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,200,0.0
005-000000032,Major,002-Community and Regional Development,101-Community and Social Services,1-Services for Citizens,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,500,0.0
005-000001416,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,410,0.0
005-000001753,Non Major,059-Agricultural Innovation and Services,117-Natural Resources,1-Services for Citizens,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
005-000002176,Non Major,023-Environmental Monitoring and Forecasting,108-Environmental Management,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,0,0.0
005-000001771,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,546-Portfolio Management,723-Investment Management,7-Service Types and Components,220,0.0
005-000001751,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,100,0.0
005-000000064,Major,124-Accounting,402-Financial Management,4-Management of Government Resources,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,500,0.0
005-000002337,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
005-000002389,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,150,1.78003
005-000002221,Non Major,146-Services Acquisition,405-Supply Chain Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,600,1.398
005-000001712,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,678-System Resource Monitoring,765-Systems Management,7-Service Types and Components,150,0.0
005-000002270,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,410,0.0
005-000000120,Non Major,059-Agricultural Innovation and Services,117-Natural Resources,1-Services for Citizens,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,310,0.0
005-000001731,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,648-Identification and Authentication,761-Security Management,7-Service Types and Components,170,0.0
005-000002326,Non Major,007-Disaster Monitoring and Prediction,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,100,0.0
005-000001616,Non Major,059-Agricultural Innovation and Services,117-Natural Resources,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,150,0.0
005-000002703,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,100,0.4347
005-000001634,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,0.0
005-000002383,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,150,2.75907
005-000001699,Non Major,144-Inventory Control,405-Supply Chain Management,4-Management of Government Resources,632-Property / Asset Management,754-Asset / Materials Management,7-Service Types and Components,500,0.0
005-000000050,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,150,0.969716
005-000002292,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.17
005-000002306,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,603-Data Warehouse,751-Data Management,7-Service Types and Components,170,0.0
005-000001413,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,601-Data Exchange,751-Data Management,7-Service Types and Components,220,0.0
005-000001507,Non Major,105-Budget Execution,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,510,0.0
005-000002150,Non Major,137-Lifecycle/Change Management,404-Information and Technology Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,2.387938
005-000002701,Non Major,102-Capital Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.725
005-000000047,Major,125-Funds Control,402-Financial Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,0.0
005-000000074,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,100,2.238
005-000002394,Non Major,091-Corrective Action,301-Controls and Oversight,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,0.0
005-000001630,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,100,0.059484
005-000001522,Non Major,010-Emergency Response,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.0
005-000001680,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,220,0.0
005-000001425,Major,124-Accounting,402-Financial Management,4-Management of Government Resources,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,500,23.761
005-000002154,Non Major,014-Industry Sector Income Stabilization,105-Economic Development,1-Services for Citizens,583-Mathematical,741-Analysis and Statistics,7-Service Types and Components,0,0.0
005-000001505,Non Major,124-Accounting,402-Financial Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,500,0.0
005-000001718,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,"634-Asset Transfer, Allocation, and Maintenance",754-Asset / Materials Management,7-Service Types and Components,100,0.0
005-999991100,Funding Contribution,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,598-Ad Hoc,745-Reporting,7-Service Types and Components,500,0.0
005-000001002,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,0.0
005-000000148,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,600-OLAP,745-Reporting,7-Service Types and Components,410,0.289
005-000002339,Non Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,525-Self-Service,703-Customer Initiated Assistance,7-Service Types and Components,0,0.16
005-000000133,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,600-OLAP,745-Reporting,7-Service Types and Components,410,0.0
005-000001632,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,1.401258
005-000002316,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,150,0.0
005-000001583,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,633-Asset Cataloging / Identification,754-Asset / Materials Management,7-Service Types and Components,310,4.1995830000000005
