Unique_Investment_Identifier,Agency Code,Investment Title,Performance_Metric_ID,Metric_Description,Unit_of_Measure,Measurement_category,Baseline,Target for CY,Metric_results
009-000001424,9,AHRQ Medical Expenditures Panel Survey (MEPS),3203,1.3.49 The average number of field staff hours required to collect data per respondent household for MEPS.,Hours,202-Process and Activities - Productivity,12.8,11.7,
009-000001386,9,CDC OID NCIRD Vaccine Tracking System (VTrckS),3182,Percent of time the system is available for vaccine ordering,Percentage,215-Technology - Reliability and Availability,99.8,99.8,Met
009-000001386,9,CDC OID NCIRD Vaccine Tracking System (VTrckS),3183,Percent of providers placing vaccine orders directly or thru an ExIS into VTrckS,Percentage,103-Mission and Business Results - Management of Government Resources,1.0,10.0,Not Met
009-000001386,9,CDC OID NCIRD Vaccine Tracking System (VTrckS),3184,Percent of VFC/Section 317 grantees using VTrckS for Spend Plan,Percentage,111-Customer Results - Customer Benefit,6.0,100.0,Not Met
009-000001386,9,CDC OID NCIRD Vaccine Tracking System (VTrckS),3185,Percent of VFC/Section 317 grantees using VTrckS for vaccine orders,Percentage,112-Customer Results - Service Coverage,6.0,30.0,Not Met
009-000001386,9,CDC OID NCIRD Vaccine Tracking System (VTrckS),3186,Percent of distributor and manufacturer business transactions processed electronically,Percentage,202-Process and Activities - Productivity,90.0,92.0,Met
009-000001386,9,CDC OID NCIRD Vaccine Tracking System (VTrckS),3187,Percent of BDOCS successfully transacted within the SAP solution,Percentage,214-Technology - Information and Data,99.9,99.9,Met
009-000006260,9,CDC Information Technology Infrastructure,3303,Number of new or expanded service offerings,count,111-Customer Results - Customer Benefit,2.0,3.0,Not Met
009-000006260,9,CDC Information Technology Infrastructure,3304,Cost per Domestic Customers supported,dollar,201-Process and Activities - Financial,8495.0,6500.0,Met
009-000006260,9,CDC Information Technology Infrastructure,3305,Number of customers supported per ITSO staff (FTEs),count,213-Technology - Efficiency,78.0,78.0,Met
009-000006260,9,CDC Information Technology Infrastructure,3306,Percent of services that achieve SLA timeliness goals,percentage,113-Customer Results - Timeliness and Responsiveness,95.0,95.0,Met
009-000006260,9,CDC Information Technology Infrastructure,3307,Percent of time is available in accordance with SLA,percentage,215-Technology - Reliability and Availability,99.8,99.8,Met
009-000001384,9,CDC National Select Agent Registry (NSAR),3177,100% of CDC registered entities' amendments received and approved within X time.,Days,111-Customer Results - Customer Benefit,50.0,45.0,Met
009-000001384,9,CDC National Select Agent Registry (NSAR),3178,100% of CDC security mandates implemented within X time.,Days,203-Process and Activities - Cycle Time and Timeliness,45.0,45.0,Met
009-000001384,9,CDC National Select Agent Registry (NSAR),3179,"Total system up-time (excluding planned maintenance) as total hours where system or key system components are available to users, as percentage of hours in the reporting period.",Percentage,215-Technology - Reliability and Availability,90.0,90.0,Met
009-000001384,9,CDC National Select Agent Registry (NSAR),3180,Total system up-time during business hours (6am - 6pm weekdays),Percentage,215-Technology - Reliability and Availability,95.0,95.0,Met
009-000001384,9,CDC National Select Agent Registry (NSAR),3181,"Percentage of total transactions entered into eNSAR requiring revision, correction or amendment after submission during reporting period",Percentage,114-Customer Results - Service Quality,4.0,4.0,Met
009-000001372,9,CDC PHIN: BioSense,3164,Number of Distinct Users,Number,103-Mission and Business Results - Management of Government Resources,209.0,209.0,
009-000001372,9,CDC PHIN: BioSense,3165,Number of Application Logins,Number,103-Mission and Business Results - Management of Government Resources,3812.0,3812.0,
009-000001372,9,CDC PHIN: BioSense,3166,Total Application Session Time,Minutes,113-Customer Results - Timeliness and Responsiveness,22994.0,22994.0,
009-000001372,9,CDC PHIN: BioSense,3167,Number of Servicing Sites Reporting,Number,112-Customer Results - Service Coverage,2155.0,2155.0,
009-000001372,9,CDC PHIN: BioSense,3168,Number of Records Receives,Number in Millions,214-Technology - Information and Data,393.2,393.2,
009-000001372,9,CDC PHIN: BioSense,3169,Percentage of Primary RT Sites Sending Data,Percentage,216-Technology - Effectiveness,98.0,99.0,Met
009-000001372,9,CDC PHIN: BioSense,3170,Percentage of RT Servicing Facilities Sending Data,Percentage,214-Technology - Information and Data,88.0,99.0,Met
009-000001378,9,CDC PHIN: National Electronic Disease Surveillance System,3171,Number of CDC programs who have access to NEDSS formatted core data via datamarts or views.   ,Number,115-Customer Results - Service Accessibility,3.0,10.0,Met
009-000001378,9,CDC PHIN: National Electronic Disease Surveillance System,3172,Number of States/sites that can receive standards-based electronic laboratory results messages  (Used to determine NEDSS Compatible System status),Number,112-Customer Results - Service Coverage,42.0,49.0,
009-000001378,9,CDC PHIN: National Electronic Disease Surveillance System,3173,Number of States/sites that are capable of tracking information (e.g. disease diagnosis) related to a single person across surveillance modules/information systems  (Used to determine NEDSS Compatible System status) - Revised,Number,214-Technology - Information and Data,0.0,5.0,
009-000001378,9,CDC PHIN: National Electronic Disease Surveillance System,3174,"Number of States/sites that are capable of processing/sending electronic case notification to CDC using the published CDC standard (i.e., PHIN message mapping guide in HL7 v2.5)",Number,214-Technology - Information and Data,0.0,5.0,
009-000001378,9,CDC PHIN: National Electronic Disease Surveillance System,3175,"Number of people receiving training in MSS or related tools (e.g., Orion, Rhapsody) per year (not cumulative)",Number,216-Technology - Effectiveness,0.0,48.0,Met
009-000001378,9,CDC PHIN: National Electronic Disease Surveillance System,3176,"Provide technical assistance to at least 50% of the [57 reporting] jurisdictions in adopting standards for exchange of ELR, Case Reporting and Case Notification.",Percentage,115-Customer Results - Service Accessibility,50.0,50.0,Met
009-000004261,9,CMS Beneficiary Enrollment and Plan Payment for Part C & D,3262,"Percentage of users satisfied with system functions (features, capabilities, outputs, reliability, etc) and purpose fulfillment based on results of User Satisfaction Survey",Percentage,114-Customer Results - Service Quality,75.0,75.0,
009-000004261,9,CMS Beneficiary Enrollment and Plan Payment for Part C & D,3263,"Percentage of financial accounting internal control report files (payments, premiums, bills, collections) successfully generated on-time according to production schedules",Percentage,103-Mission and Business Results - Management of Government Resources,90.0,95.0,
009-000004261,9,CMS Beneficiary Enrollment and Plan Payment for Part C & D,3264,Percent of priority Critical and High system problem incidents resolved within SLA targets,Percentage,204-Process and Activities - Quality,90.0,90.0,
009-000004261,9,CMS Beneficiary Enrollment and Plan Payment for Part C & D,3265,Percentage of inbound and outbound transaction files successfully processed according to production schedules,Percentage,203-Process and Activities - Cycle Time and Timeliness,90.0,90.0,
009-000004261,9,CMS Beneficiary Enrollment and Plan Payment for Part C & D,3266,Percentage of business change requests included in release baseline successfully implemented  by planned release date,Percentage,111-Customer Results - Customer Benefit,90.0,90.0,
009-000004261,9,CMS Beneficiary Enrollment and Plan Payment for Part C & D,3267,"Completion of SSP, RA, CP/DR Plan, CP/DR Test updates, and Annual Controls Testing by established deadlines",Number,205-Process and Activities - Security and Privacy,10.0,10.0,
009-000001474,9,CMS Beneficiary e-Services,3221,Customer Survey -- Percent of beneficiaries indicating satisfactory service as reported through the Interactive Voice Response survey,Percent,114-Customer Results - Service Quality,90.0,90.5,
009-000001474,9,CMS Beneficiary e-Services,3222,CSR Scorecard -- Percent of customers satisfied with interaction time when applying quality call monitoring (QCM) methodology for scoring telephone and Web Chat interactions,Percent,113-Customer Results - Timeliness and Responsiveness,90.0,90.5,
009-000001474,9,CMS Beneficiary e-Services,3223,System Uptime -- Percent of time the Next Generation Deskop application is available excluding planned maintenance activities,Percent,215-Technology - Reliability and Availability,99.5,99.6,
009-000001474,9,CMS Beneficiary e-Services,3224,Portal Auto Registration -- Number of newly eligible beneficiaries registering with a MyMedicare.gov user account as determined by the processing of batch files,Number,214-Technology - Information and Data,200000.0,220000.0,
009-000001474,9,CMS Beneficiary e-Services,3225,Issue Resolution within SLA -- Percent of service impacting issues resolved with infrastructure components of the Next Generation Desktop (NGD) within the SLA's as specified in the NGD SOW,Percent,215-Technology - Reliability and Availability,99.0,99.25,
009-000004253,9,CMS Common Working File (CWF),3231,The number of P1 & P2 issues post production,Number ,114-Customer Results - Service Quality,5.0,0.0,
009-000004253,9,CMS Common Working File (CWF),3232,Accuracy and technical excellence of contract deliverables and reports based on monthly status report,Percentage,206-Process and Activities - Management and Innovation,95.0,100.0,
009-000004253,9,CMS Common Working File (CWF),3233,The amount of change requests delivered to BETA on schedule,Percentage,203-Process and Activities - Cycle Time and Timeliness,95.0,100.0,
009-000004253,9,CMS Common Working File (CWF),3234,Adherence to budget / cost control discipline as measured by percent above/below planned budget,Percentage,201-Process and Activities - Financial,10.0,10.0,
009-000004253,9,CMS Common Working File (CWF),3235,The percentage of incidents that were closed timely and efficiently as a result of one help desk interaction,Percentage,113-Customer Results - Timeliness and Responsiveness,90.0,100.0,
009-000004263,9,CMS Medicare Beneficiary Enrollment Data Management (formerly CMS Data Management Operations - Beneficiary),3268,"Percentage of users satisfied with system functions (features, capabilities, outputs, reliability, etc) and purpose fulfillment based on results of User Satisfaction Survey",Percentage,114-Customer Results - Service Quality,75.0,75.0,
009-000004263,9,CMS Medicare Beneficiary Enrollment Data Management (formerly CMS Data Management Operations - Beneficiary),3269,"Percentage of financial accounting internal control report files (payments, premiums, bills, collections) successfully generated on-time according to production schedules",Percentage,103-Mission and Business Results - Management of Government Resources,90.0,95.0,
009-000004263,9,CMS Medicare Beneficiary Enrollment Data Management (formerly CMS Data Management Operations - Beneficiary),3270,Percent of priority Critical and High system problem incidents resolved within SLA targets,Percentage,204-Process and Activities - Quality,90.0,90.0,
009-000004263,9,CMS Medicare Beneficiary Enrollment Data Management (formerly CMS Data Management Operations - Beneficiary),3271,Percentage of inbound and outbound transaction files successfully processed according to production schedules,Percentage,203-Process and Activities - Cycle Time and Timeliness,90.0,90.0,
009-000004263,9,CMS Medicare Beneficiary Enrollment Data Management (formerly CMS Data Management Operations - Beneficiary),3272,Percentage of business change requests included in release baseline successfully implemented  by planned release date,Percentage,111-Customer Results - Customer Benefit,90.0,90.0,
009-000004263,9,CMS Medicare Beneficiary Enrollment Data Management (formerly CMS Data Management Operations - Beneficiary),3273,"Completion of SSP, RA, CP/DR Plan, CP/DR Test updates, and Annual Controls Testing by established deadlines",Number,205-Process and Activities - Security and Privacy,10.0,10.0,
009-000000704,9,CMS Information Management and Analytics (prev. CMS Data Management Operations - Claims),3140,Percent increase MQ throughput to system capacity,Percentage,202-Process and Activities - Productivity,90.7,92.0,Met
009-000000704,9,CMS Information Management and Analytics (prev. CMS Data Management Operations - Claims),3141,Percent increase Qrep throughput to system capacity,Percentage,202-Process and Activities - Productivity,91.8,93.0,Met
009-000000704,9,CMS Information Management and Analytics (prev. CMS Data Management Operations - Claims),3142,Percent increase Informatica throughput to system capacity,Percentage,202-Process and Activities - Productivity,89.6,92.0,Met
009-000000704,9,CMS Information Management and Analytics (prev. CMS Data Management Operations - Claims),3143,Percent increase MQ work completed divided by system demand,Percentage,111-Customer Results - Customer Benefit,93.6,94.0,
009-000000704,9,CMS Information Management and Analytics (prev. CMS Data Management Operations - Claims),3144,Percent increase Qrep work completed divided by system demand,Percentage,111-Customer Results - Customer Benefit,92.4,93.0,
009-000000704,9,CMS Information Management and Analytics (prev. CMS Data Management Operations - Claims),3145,Percent increase Informatica work completed divided by system demand,Percentage,111-Customer Results - Customer Benefit,94.3,95.0,
009-000004260,9,CMS Drug Claims (DDPS),3256,"Percentage of users satisfied with system functions (features, capabilities, outputs, reliability, etc) and purpose fulfillment based on results of User Satisfaction Survey",Percentage,114-Customer Results - Service Quality,75.0,75.0,
009-000004260,9,CMS Drug Claims (DDPS),3257,"Percentage of financial accounting internal control report files (payments, premiums, bills, collections) successfully generated on-time according to production schedules",Percentage,103-Mission and Business Results - Management of Government Resources,90.0,95.0,
009-000004260,9,CMS Drug Claims (DDPS),3258,Percent of priority Critical and High system problem incidents resolved within SLA targets,Percentage,204-Process and Activities - Quality,90.0,90.0,
009-000004260,9,CMS Drug Claims (DDPS),3259,Percentage of inbound and outbound transaction files successfully processed according to production schedules,Percentage,203-Process and Activities - Cycle Time and Timeliness,90.0,90.0,
009-000004260,9,CMS Drug Claims (DDPS),3260,Percentage of business change requests included in release baseline successfully implemented  by planned release date,Percentage,111-Customer Results - Customer Benefit,90.0,90.0,
009-000004260,9,CMS Drug Claims (DDPS),3261,"Completion of SSP, RA, CP/DR Plan, CP/DR Test updates, and Annual Controls Testing by established deadlines",Number,205-Process and Activities - Security and Privacy,10.0,10.0,
009-000004254,9,CMS Durable Medical Equipment (DME) Claims Processing,3236,The Number of P1 & P2 issues post production,Number,114-Customer Results - Service Quality,5.0,0.0,
009-000004254,9,CMS Durable Medical Equipment (DME) Claims Processing,3237,Accuracy and technical excellance of contract deliverables and reports based on monthly status report.,Percentage,206-Process and Activities - Management and Innovation,95.0,100.0,
009-000004254,9,CMS Durable Medical Equipment (DME) Claims Processing,3238,The percentage of change requests delivered to BETA on schedule.,Percentage,203-Process and Activities - Cycle Time and Timeliness,95.0,100.0,
009-000004254,9,CMS Durable Medical Equipment (DME) Claims Processing,3239,Adherence to budget / cost control discipline (as measured by percent below or above planned budget),Percentage,201-Process and Activities - Financial,10.0,10.0,
009-000004254,9,CMS Durable Medical Equipment (DME) Claims Processing,3240,The percentage of incidents that were closed timely and efficiently as a result of one help desk interaction.,Percentage,113-Customer Results - Timeliness and Responsiveness,90.0,100.0,
009-000006796,9,CMS Encounter Data,3320,% of encounters accepted by the EDFES from submitters,%,204-Process and Activities - Quality,74.0,74.0,
009-000006796,9,CMS Encounter Data,3321,% of encounters accepted by the EDFES from submitters that are priced ,%,103-Mission and Business Results - Management of Government Resources,59.0,59.0,
009-000006796,9,CMS Encounter Data,3322,"% of time customer service is available to Plans (e-mail, web, phone)",%,114-Customer Results - Service Quality,94.0,94.0,
009-000006796,9,CMS Encounter Data,3323,% of contracts meeting submission requirements based on their contract size ,%,203-Process and Activities - Cycle Time and Timeliness,79.0,79.0,
009-000006796,9,CMS Encounter Data,3324,% of encounters processed and finalized byt the EDS within the stated timeline,%,203-Process and Activities - Cycle Time and Timeliness,94.0,94.0,
009-000006796,9,CMS Encounter Data,3325,% of time the system is up and service is available (EDFES),%,115-Customer Results - Service Accessibility,98.0,98.0,
009-000001465,9,CMS Health Care Quality Improvement System (QIES),3210,Percent of users transitioned to Network switch-over,Percent,103-Mission and Business Results - Management of Government Resources,27.0,66.0,
009-000001465,9,CMS Health Care Quality Improvement System (QIES),3211,Percent of users satisfied with Help Desk responses to inquiries and reported problems,Percent,114-Customer Results - Service Quality,90.0,93.0,
009-000001465,9,CMS Health Care Quality Improvement System (QIES),3212,"Percent of time production environment is unavailable to users, excluding scheduled maintenance periods",Percent,215-Technology - Reliability and Availability,10.0,5.0,
009-000001465,9,CMS Health Care Quality Improvement System (QIES),3213,Percent of security incidents resolved within appropriate timeframe,Percent,205-Process and Activities - Security and Privacy,90.0,93.0,
009-000001465,9,CMS Health Care Quality Improvement System (QIES),3214,Percent of timely contractor responses to requests ,Percent,206-Process and Activities - Management and Innovation,90.0,93.0,
009-000001468,9,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),3215,Percent of system availability for quarterly release/development environment,Percentage,115-Customer Results - Service Accessibility,99.5,99.5,Met
009-000001468,9,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),3216,Percent of operational problem tickets resolved within their SLA targets,Percentage,113-Customer Results - Timeliness and Responsiveness,90.0,90.0,Met
009-000001468,9,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),3217,Percent of the efficiency of the utilization of the resources on the project (CPI).,Percentage,201-Process and Activities - Financial,90.0,91.0,Met
009-000001468,9,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),3218,Percent of efficiency of the project team in utilizing the time allocated for the project (SPI).,Percentage,201-Process and Activities - Financial,90.0,91.0,Met
009-000001468,9,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),3219,Percent of program deliverables accepted according to schedule,Percentage,204-Process and Activities - Quality,90.0,92.0,Met
009-000001468,9,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),3220,Percent of adherence to budget/cost controls,Percentage,201-Process and Activities - Financial,92.0,93.0,Met
009-000201062,9,CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems,3518,percent of of stakeholders satisfied with system functionality/HD,percentage,114-Customer Results - Service Quality,90.0,95.0,Met
009-000201062,9,CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems,3519,percentage of facilities submitting ESRD data through Crownweb,percentage,101-Mission and Business Results - Services for Citizens,65.0,100.0,Met
009-000201062,9,CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems,3520,number of times the investment schedule has a major milestone date change,number,203-Process and Activities - Cycle Time and Timeliness,25.0,10.0,Met
009-000201062,9,CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems,3521,percent of time the system is available (excluding planned outages),percent,215-Technology - Reliability and Availability,99.0,99.0,Met
009-000201062,9,CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems,3522,Helpdesk tickets not resolved within 10 days,number,204-Process and Activities - Quality,40.0,35.0,Met
009-000001472,9,CMS Integrated Data Repository (IDR),3425,Part B Payment Grade validation ,Percentage,111-Customer Results - Customer Benefit,80.0,95.0,Met
009-000001472,9,CMS Integrated Data Repository (IDR),3426,Percentage of time warehouse is up and operational for users between 6am and 6pm while providing for timely loading of data between 6pm and 6am,Percentage,215-Technology - Reliability and Availability,90.0,95.0,Met
009-000001472,9,CMS Integrated Data Repository (IDR),3427,Increase the total number of submitted queries over the next 12 months,Number,111-Customer Results - Customer Benefit,50.0,70.0,Met
009-000001472,9,CMS Integrated Data Repository (IDR),3428,Increase the total number of IDR based applications over the next 12 months,Number,111-Customer Results - Customer Benefit,50.0,60.0,Met
009-000001472,9,CMS Integrated Data Repository (IDR),3429,"Percent of available Part A, Part B and Part D data loaded into the IDR",Percentage,202-Process and Activities - Productivity,50.0,70.0,Met
009-000001472,9,CMS Integrated Data Repository (IDR),3430,Increase IDR user base over the next 12 months,number,202-Process and Activities - Productivity,50.0,60.0,Met
009-000004414,9,CMS Interoperability & Standardization - Claims,3274,Improve system performance to increase the number of concurrent users,number of concurrent users ,113-Customer Results - Timeliness and Responsiveness,100.0,200.0,Met
009-000004414,9,CMS Interoperability & Standardization - Claims,3275,Percent of large organizations using batch process to upload ,%,213-Technology - Efficiency,100.0,50.0,
009-000004414,9,CMS Interoperability & Standardization - Claims,3276,Increase in the number of users who submit the 270/271  request,number of users,213-Technology - Efficiency,20.0,20.0,
009-000004414,9,CMS Interoperability & Standardization - Claims,3277,Percentage of time system is available during normal busy hours,%,215-Technology - Reliability and Availability,55.0,60.0,
009-000004414,9,CMS Interoperability & Standardization - Claims,3278,Percentage of web applications that require manual intervention,%,204-Process and Activities - Quality,60.0,40.0,
009-000004414,9,CMS Interoperability & Standardization - Claims,3279,Quality of products and services provided as indicated by number of problems reported post production.,Number ,114-Customer Results - Service Quality,70.0,70.0,
009-000004414,9,CMS Interoperability & Standardization - Claims,3280,Error Rate as shown on monthly report,%,204-Process and Activities - Quality,4.0,4.0,Met
009-000004611,9,CMS Interoperability & Standardization - Provider Enrollment (PECOS),3288,Reduce time for Medicare Contractors to process enrollments through the automation of Application Fee payment process,number of days,203-Process and Activities - Cycle Time and Timeliness,5.0,2.0,Met
009-000004611,9,CMS Interoperability & Standardization - Provider Enrollment (PECOS),3289,Increase the percentage of applications submitted through the Provider Web Interface,%,213-Technology - Efficiency,10.0,25.0,Not Met
009-000004611,9,CMS Interoperability & Standardization - Provider Enrollment (PECOS),3290,Percent of large organizations using bulk upload to implement updates,%,213-Technology - Efficiency,0.0,40.0,
009-000004611,9,CMS Interoperability & Standardization - Provider Enrollment (PECOS),3291,Improve system performance to increase the number of concurrent users,number of concurrent users ,113-Customer Results - Timeliness and Responsiveness,800.0,1600.0,
009-000004611,9,CMS Interoperability & Standardization - Provider Enrollment (PECOS),3292,Percentage of enrollments processed electronically (rather than on paper),%,101-Mission and Business Results - Services for Citizens,0.0,20.0,
009-000004415,9,CMS Interoperability & Standardization - Provider ID (NPPES),3281,percentage of time system is available during normal busy hours.,%,215-Technology - Reliability and Availability,95.0,97.0,Met
009-000004415,9,CMS Interoperability & Standardization - Provider ID (NPPES),3282,number of days to process a clean web application,number,113-Customer Results - Timeliness and Responsiveness,7.0,5.0,Met
009-000004415,9,CMS Interoperability & Standardization - Provider ID (NPPES),3283,percentage of web applications that require manual intervention,%,204-Process and Activities - Quality,20.0,19.0,Met
009-000004415,9,CMS Interoperability & Standardization - Provider ID (NPPES),3284,number of days for Enumerator to process a clean web application,number,113-Customer Results - Timeliness and Responsiveness,20.0,18.0,Met
009-000004415,9,CMS Interoperability & Standardization - Provider ID (NPPES),3285,number of days for Enumerator to process an unclean paper application,number,202-Process and Activities - Productivity,30.0,26.0,Met
009-000004415,9,CMS Interoperability & Standardization - Provider ID (NPPES),3286,percentage of NPPES data available for Data Dissemination,%,101-Mission and Business Results - Services for Citizens,100.0,100.0,Met
009-000004415,9,CMS Interoperability & Standardization - Provider ID (NPPES),3287,percentage of new applicants receiving an NPI,%,101-Mission and Business Results - Services for Citizens,100.0,100.0,Met
009-000006265,9,CMS IT Infrastructure - Ongoing,3315,Percentage of time when a call reaches the service desk queue and the time an agent begins service by improving efficiency.,Percentage,111-Customer Results - Customer Benefit,61.13,95.0,
009-000006265,9,CMS IT Infrastructure - Ongoing,3316,Percentage of production jobs completed on schedule,Percentage,202-Process and Activities - Productivity,85.0,98.0,
009-000006265,9,CMS IT Infrastructure - Ongoing,3317,Percentage of time data communications equipment and services are fully operational.,Percentage,215-Technology - Reliability and Availability,98.0,99.0,
009-000006265,9,CMS IT Infrastructure - Ongoing,3318,Percentage of the total number of tickets resolved on the first call resolution.,Percentage,113-Customer Results - Timeliness and Responsiveness,57.13,61.0,
009-000006265,9,CMS IT Infrastructure - Ongoing,3319,The end to end network time taken between Servers and the workstation to respond to/acknowledge a transaction,Time in Seconds,203-Process and Activities - Cycle Time and Timeliness,92.5,95.0,Met
009-000000714,9,CMS Medicaid Data Systems,3146,MBES accomplishing all ACA Requirements within the proposed timeline,Number of days late,203-Process and Activities - Cycle Time and Timeliness,0.0,0.0,Met
009-000000714,9,CMS Medicaid Data Systems,3147,MDR accomplishing all ACA Requirements within the proposed timeline,Numer of days late,203-Process and Activities - Cycle Time and Timeliness,0.0,0.0,Met
009-000000714,9,CMS Medicaid Data Systems,3148,O&M Cost Variance (Allocated O&M-Actual O&M/Allocated O&M),Percentage,103-Mission and Business Results - Management of Government Resources,0.0,0.0,
009-000000714,9,CMS Medicaid Data Systems,3149,Percentage of work units processed (# submitted-#processed/#submitted,Percentage,202-Process and Activities - Productivity,0.0,0.0,
009-000000714,9,CMS Medicaid Data Systems,3150,MSIS Customer Satisfaction- Measures the percentage of files approved when first submitted,Percentage,114-Customer Results - Service Quality,60.0,70.0,
009-000000714,9,CMS Medicaid Data Systems,3151,MSIS Customer satisfaction- Measures the average time it takes for a file to be approved,Average Number,115-Customer Results - Service Accessibility,200.0,162.0,
009-000002454,9,CMS Medicare Appeals System (MAS),3451,Percentage of time system is available for users (Excluding scheduled & unscheduled CMS infrastructure downtime.),Percent,213-Technology - Efficiency,96.0,97.0,Met
009-000002454,9,CMS Medicare Appeals System (MAS),3452,Number of high risk findings found during Security Assessment,Number of high risk findings,205-Process and Activities - Security and Privacy,0.0,0.0,
009-000002454,9,CMS Medicare Appeals System (MAS),3453,Percent of end user locations performing electronic document imaging,Percent,103-Mission and Business Results - Management of Government Resources,50.0,50.0,
