Unique_Investment_Identifier,Agency Code,Investment Title,Performance_Metric_ID,Metric_Description,Unit_of_Measure,Measurement_category,Baseline,Target for CY,Metric_results
005-000001232,5,Consolidated Financial Management Information Systems (CFMIS) #106,2807,Number of CFMIS financial applications migrated off of obsolete hardware/software,# of financial systems migrated to web or COTS,216-Technology - Effectiveness,0.0,4.0,Not Met
005-000001232,5,Consolidated Financial Management Information Systems (CFMIS) #106,2808,Percentage of payment requests delayed by more than three business days due to technical issues with CFMIS financial software.,Pecrentage of Delayed Payment Requests,215-Technology - Reliability and Availability,1.0,1.0,Met
005-000001234,5,Consolidated General Sales Manager (CGSM) #107,2811,Percentage of time the system is available to users during normal business hours,hours,215-Technology - Reliability and Availability,80.0,99.0,Met
005-000001234,5,Consolidated General Sales Manager (CGSM) #107,2812,Application is certified and accredited.,pass/fail,205-Process and Activities - Security and Privacy,0.0,0.0,Met
005-000001234,5,Consolidated General Sales Manager (CGSM) #107,2813,Expand use of the E-gov system 35% of the transactions submitted online for NOA,Percentage,101-Mission and Business Results - Services for Citizens,35.0,35.0,Met
005-000000062,5,Corporate Financial Management Systems (CFMS),2940,System Availability,Percentage,215-Technology - Reliability and Availability,98.0,98.0,Met
005-000000062,5,Corporate Financial Management Systems (CFMS),2941,Customer Satisfaction,Percentage,111-Customer Results - Customer Benefit,95.0,95.0,Not Met
005-000000062,5,Corporate Financial Management Systems (CFMS),2942,Clean Audit Opinion (Unqualified Audit Opinion),Percentage,102-Mission and Business Results - Support Delivery of Services,100.0,100.0,Met
005-000000062,5,Corporate Financial Management Systems (CFMS),2943,System software and hardware availability,Percentage,215-Technology - Reliability and Availability,98.0,98.0,Met
005-000000062,5,Corporate Financial Management Systems (CFMS),2944,Telecom Response performance,Percentage,213-Technology - Efficiency,99.5,99.5,Met
005-000001729,5,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",2848,"Percent of Production, Supply and Distribution (PSD) reports released on the date and time specified.",Percent Complete,113-Customer Results - Timeliness and Responsiveness,100.0,100.0,Met
005-000001729,5,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",2849,"Load balancing, server capacity and utilization maximized",Percent Complete,201-Process and Activities - Financial,0.0,90.0,Met
005-000001729,5,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",2850,Number of Servers moved to the Enterprise Data Center,Percent complete,211-Technology - Technology Costs,0.0,80.0,Met
005-000001729,5,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",2851,Number of PSD reports released late due to network availability problems.,Number of Reports,101-Mission and Business Results - Services for Citizens,0.0,0.0,Met
005-000001729,5,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",2852,Number of Posts migrated to Department of State OpenNet,Percent complete,215-Technology - Reliability and Availability,0.0,100.0,Met
005-000001425,5,Financial Management Modernization Initiative (FMMI),3112,Accounting: Maintain unqualified financial statement audit opinion,Unqualified Opinion,102-Mission and Business Results - Support Delivery of Services,100.0,100.0,Met
005-000001425,5,Financial Management Modernization Initiative (FMMI),3113,Cycle Time: Number of days required to process year-end close of USDA books,Number,201-Process and Activities - Financial,47.0,47.0,Met
005-000001425,5,Financial Management Modernization Initiative (FMMI),3114,Customer Satisfaction: Overall FMMI Satisfaction,Percentage,111-Customer Results - Customer Benefit,95.0,95.0,Not Met
005-000001425,5,Financial Management Modernization Initiative (FMMI),3115,"Alerts for System Anomalies for application and Supporting Systems server capacity, server performance, and storage capacity for defined thresholds.",Number,214-Technology - Information and Data,1.0,1.0,Met
005-000001425,5,Financial Management Modernization Initiative (FMMI),3116,Help Desk Availiability,Percentage,212-Technology - Quality Assurance,99.5,99.5,Met
005-000001425,5,Financial Management Modernization Initiative (FMMI),3117,System Availability,Percentage,215-Technology - Reliability and Availability,90.0,95.0,Met
005-000001718,5,FNCS IT Infrastructure,1630,Help Desk Response,Hours of Response Time,103-Mission and Business Results - Management of Government Resources,1.0,1.0,Met
005-000001718,5,FNCS IT Infrastructure,1631,System Uptime,Percentage of System Uptime,202-Process and Activities - Productivity,99.5,99.0,Met
005-000001718,5,FNCS IT Infrastructure,1632,Deployment of new systems,Months for deployment of new systems,213-Technology - Efficiency,2.0,2.0,Met
005-000001718,5,FNCS IT Infrastructure,1633,Desktop Repairs,Hours of request processing time,111-Customer Results - Customer Benefit,24.0,24.0,Met
005-000001718,5,FNCS IT Infrastructure,1634,User Timeouts,Number of user timeouts,215-Technology - Reliability and Availability,0.0,0.0,Met
005-000001496,5,FPA-P2 - Fire Program Analysis System - Phase 2,2876,"Continued use of FPA application in extent to which agencies use similar models, assumptions, and software to analyze fire program budget requests",number,102-Mission and Business Results - Support Delivery of Services,0.0,5.0,Met
005-000001496,5,FPA-P2 - Fire Program Analysis System - Phase 2,2877,% of unscheduled/ unplanned system down time of FPA infrastructure,percent,115-Customer Results - Service Accessibility,20.0,5.0,Met
005-000001496,5,FPA-P2 - Fire Program Analysis System - Phase 2,2878,Fully functioning application supports FPU- and national-level fire planning activities.,percent,102-Mission and Business Results - Support Delivery of Services,0.0,100.0,Not Met
005-000001496,5,FPA-P2 - Fire Program Analysis System - Phase 2,2879,Extent to which all FPUs were analyzed using the FPA application,percent,102-Mission and Business Results - Support Delivery of Services,75.0,100.0,Not Met
005-000001496,5,FPA-P2 - Fire Program Analysis System - Phase 2,2880,Creation and maintenance of system enviornments to support business and technical needs,number,212-Technology - Quality Assurance,2.0,4.0,Not Met
005-000001496,5,FPA-P2 - Fire Program Analysis System - Phase 2,2881,Alignment with National Widlland Fire Enterprise Architecture and modernization blueprint,percent,214-Technology - Information and Data,0.0,75.0,Not Met
005-000001496,5,FPA-P2 - Fire Program Analysis System - Phase 2,2882,Automate back end data loading and process queing to permit government staff to manage routine server processes.,percent,213-Technology - Efficiency,20.0,35.0,Not Met
005-000000083,5,Public Health Data Communications Infrastructure System (PHDCIS),3043,Security Patches Applied to Servers.,percent,103-Mission and Business Results - Management of Government Resources,98.5,99.0,Met
005-000000083,5,Public Health Data Communications Infrastructure System (PHDCIS),3044,Security Patches Applied to Desktops and Laptops,percent,103-Mission and Business Results - Management of Government Resources,98.5,99.0,Met
005-000000083,5,Public Health Data Communications Infrastructure System (PHDCIS),3045,"For each service request that requires shipment from the Depot as an element of resolution, that shipment occurs within 2 business days.",percent,113-Customer Results - Timeliness and Responsiveness,95.0,95.0,Met
005-000000083,5,Public Health Data Communications Infrastructure System (PHDCIS),3046,Tier 1 resolutions occur within 20 minutes.,percent,112-Customer Results - Service Coverage,90.0,90.0,Met
005-000000083,5,Public Health Data Communications Infrastructure System (PHDCIS),3047,Tier 2 resolutions occur within 1 business day.,percent,112-Customer Results - Service Coverage,90.0,90.0,Met
005-000000083,5,Public Health Data Communications Infrastructure System (PHDCIS),3048,"Tier 3 resolutions occur within 5 business days, or in some cases within GDIT and FSIS agreed upon timeframe.",percent,112-Customer Results - Service Coverage,85.0,85.0,Met
005-000000083,5,Public Health Data Communications Infrastructure System (PHDCIS),3049,All Service Desk assigned security POA&amp;Ms resolved within mutually agreed timeframe.,percent,112-Customer Results - Service Coverage,90.0,90.0,Met
005-000000083,5,Public Health Data Communications Infrastructure System (PHDCIS),3050,"Customer Survey Satisfaction for Service Desk customer interfaces, score of 4 or better on a scale of 1-5.",percent,114-Customer Results - Service Quality,85.0,85.0,Met
005-000000083,5,Public Health Data Communications Infrastructure System (PHDCIS),3051,System availability for mission critical servers,percent,215-Technology - Reliability and Availability,95.0,95.0,Met
005-000000083,5,Public Health Data Communications Infrastructure System (PHDCIS),3052,Number of systems or releases to be tested in PHDCIS formal test environment.,percent,213-Technology - Efficiency,80.0,80.0,Met
005-000000083,5,Public Health Data Communications Infrastructure System (PHDCIS),3053,Data Quality for Operational Systems.,percent,214-Technology - Information and Data,99.0,99.0,Met
005-000002148,5,FSIS Public Health Information Consolidation Projects (PHICP),2888,"Tier 3 resolutions occur within 5 business days, or in some cases within DKW and FSIS agreed upon timeline.",percent,112-Customer Results - Service Coverage,85.0,85.0,Met
005-000002148,5,FSIS Public Health Information Consolidation Projects (PHICP),2889,All Service Desk assigned security POA&amp;amp;M resolved within mutually agreed timeframe.,percent,112-Customer Results - Service Coverage,90.0,90.0,Met
005-000002148,5,FSIS Public Health Information Consolidation Projects (PHICP),2890,Number of reader applications,number,213-Technology - Efficiency,2.0,1.0,Met
005-000002148,5,FSIS Public Health Information Consolidation Projects (PHICP),2891,Time to process transactional data into the data warehouse,Timeliness and Responsiveness,213-Technology - Efficiency,2.0,1.0,Met
005-000002148,5,FSIS Public Health Information Consolidation Projects (PHICP),2895,Number of PHIS Releases to be tested in PHDCIS formal test environment,Percent,213-Technology - Efficiency,80.0,80.0,Met
005-000002328,5,IBS - Incident Business System,2934,% of change requests are handled in compliance with agency policy and processed within 24 hours of receipt.,percent,111-Customer Results - Customer Benefit,85.0,85.0,Met
005-000002328,5,IBS - Incident Business System,2935,% of customer issues addressed and fully resolved within 24-hours.,percent,113-Customer Results - Timeliness and Responsiveness,90.0,95.0,Not Met
005-000002328,5,IBS - Incident Business System,2936,compliant with federal standards.,percent,103-Mission and Business Results - Management of Government Resources,100.0,100.0,Met
005-000002328,5,IBS - Incident Business System,2937,Application is available during scheduled operations at least 95% of the time.,percent,203-Process and Activities - Cycle Time and Timeliness,95.0,95.0,Met
005-000002328,5,IBS - Incident Business System,2938,100% of quarterly user certifications are completed in compliance with agency policy.,percent,213-Technology - Efficiency,100.0,100.0,Met
005-000002328,5,IBS - Incident Business System,2939,100% of system users complete annual security awareness training in compliance with agency policy.,percent,211-Technology - Technology Costs,100.0,100.0,Met
005-000000039,5,Integrated Acquisition System (IAS) (OPPM),1635,Make IAS available to users 99.99% of the time during core business hours from 6:00 AM - 12:00 AM Monday - Friday.,percentage of uptime,215-Technology - Reliability and Availability,99.99,99.99,Met
005-000000039,5,Integrated Acquisition System (IAS) (OPPM),1636,Increase P-Card usage.,number of P-Card awards,202-Process and Activities - Productivity,790.0,1365.0,Not Met
005-000000039,5,Integrated Acquisition System (IAS) (OPPM),1637,Increased number of transactions processed by IAS.,number,102-Mission and Business Results - Support Delivery of Services,110000.0,110000.0,Met
005-000000039,5,Integrated Acquisition System (IAS) (OPPM),1638,Reduced number of password resets requested by customers.,number,115-Customer Results - Service Accessibility,1550.0,1450.0,Met
005-000000039,5,Integrated Acquisition System (IAS) (OPPM),1639,Reduced IAS software scan time.,hours,213-Technology - Efficiency,75.0,37.0,Not Met
005-000000047,5,Integrated Program Accounting System (IPAS),1640,System response time,Seconds,113-Customer Results - Timeliness and Responsiveness,5.0,5.0,Met
005-000000047,5,Integrated Program Accounting System (IPAS),1641,Audit success,Errors found during auditing,103-Mission and Business Results - Management of Government Resources,0.0,0.0,Met
005-000000047,5,Integrated Program Accounting System (IPAS),1642,CER cycle time,Days of CER Processing Time,202-Process and Activities - Productivity,30.0,30.0,Met
005-000000047,5,Integrated Program Accounting System (IPAS),1643,System uptime,Percentage of System uptime,215-Technology - Reliability and Availability,99.9,99.8,Met
005-000000047,5,Integrated Program Accounting System (IPAS),1644,Unnecessary user timeouts,Count of user timeouts,215-Technology - Reliability and Availability,0.0,0.0,Met
005-000002152,5,NASS Survey Processing System,1645,Percent of NASS reports released on the date and time pre-specified to the data users.,Percent,203-Process and Activities - Cycle Time and Timeliness,100.0,100.0,Met
005-000002152,5,NASS Survey Processing System,1646,Number of NASS reports released late due to Survey Processing System problems.,Number of Reports,215-Technology - Reliability and Availability,0.0,0.0,Met
005-000002152,5,NASS Survey Processing System,1647,Number of erratas issued due to Survey Processing System problems.,Number of Erratas,114-Customer Results - Service Quality,0.0,0.0,Met
005-000002152,5,NASS Survey Processing System,1648,Number of NASS reports and releases issued.,Number of Reports,101-Mission and Business Results - Services for Citizens,550.0,550.0,Not Met
005-000002152,5,NASS Survey Processing System,1649,System Maintance Cost.,Dollars(000),211-Technology - Technology Costs,3600.0,3600.0,Not Met
005-000001659,5,Animal Disease Traceability Information System (ADTIS),1099,Maintain number of systems integrated into the Animal Disease Traceability System,Systems,103-Mission and Business Results - Management of Government Resources,8.0,8.0,Met
005-000001659,5,Animal Disease Traceability Information System (ADTIS),1100,Maintain percentage of States premises registered,Premises,103-Mission and Business Results - Management of Government Resources,100.0,98.0,Met
005-000001659,5,Animal Disease Traceability Information System (ADTIS),1101,Server Availability.,Time,215-Technology - Reliability and Availability,99.9,99.9,Met
005-000001659,5,Animal Disease Traceability Information System (ADTIS),1102,Average minutes to transition to next support tier,Minutes,111-Customer Results - Customer Benefit,10.0,10.0,Met
005-000001659,5,Animal Disease Traceability Information System (ADTIS),1103,Application Availability.,Time,215-Technology - Reliability and Availability,99.9,99.9,Met
005-000001659,5,Animal Disease Traceability Information System (ADTIS),1104,Application Functionality,Number of Complaints,216-Technology - Effectiveness,5.0,5.0,Met
005-000002223,5,NRM - Natural Resource Manager,1650,% of time the application is up during established schedule,hours,215-Technology - Reliability and Availability,95.0,95.0,Met
005-000002223,5,NRM - Natural Resource Manager,1651,Number of acres treated to reduce the risk of catastrophic wildland fire,acres,101-Mission and Business Results - Services for Citizens,991000.0,2000000.0,Met
005-000002223,5,NRM - Natural Resource Manager,1652,% of energy-mineral applications that are processed within prescribed timeframes,energy-mineral applications,113-Customer Results - Timeliness and Responsiveness,13.0,49.9,Not Met
005-000002223,5,NRM - Natural Resource Manager,1653,Green tons from small diameter and low value trees removed from National Forest System lands and made available for bio-energy production,green tons,101-Mission and Business Results - Services for Citizens,2700000.0,2700000.0,Met
005-000002223,5,NRM - Natural Resource Manager,1654,% of feeds to FFIS that are successful,data feeds,213-Technology - Efficiency,98.0,98.0,Met
005-000002223,5,NRM - Natural Resource Manager,1655,% of land special use applications for energy-related facilities that are completed within prescribed timeframes,land special use permit applications,113-Customer Results - Timeliness and Responsiveness,50.0,100.0,Met
005-000002223,5,NRM - Natural Resource Manager,1656,% of program area data by forest available at national data center,megabytes,214-Technology - Information and Data,66.0,90.0,Met
005-000002223,5,NRM - Natural Resource Manager,1657,Acres of National Forests and Grasslands under grazing permit that are sustainably managed for all rangeland products,acres,101-Mission and Business Results - Services for Citizens,65560000.0,81560000.0,Not Met
005-000000064,5,RMA-01  Financial Management Systems (FMS),2820,Increase crop participation rate for the 10 staple crops.,Report,112-Customer Results - Service Coverage,82.6,83.9,Met
005-000000064,5,RMA-01  Financial Management Systems (FMS),2821,"(1) Unqualified audit opinion on the Financial Statements, (2)  no material weaknesses, (3) no non-conformances. (4) A123 Insurance Cycle Audit receive clean findings.",Report,103-Mission and Business Results - Management of Government Resources,100.0,100.0,Met
005-000000064,5,RMA-01  Financial Management Systems (FMS),2822,(1) Increase crop participation rate for the 10 staple crops. (2) Enhance program integrity through operational reviews conducted of insurance companies receiving funding through FCIC. (3) Enhance program integrity through annual financial analysis o,Report,201-Process and Activities - Financial,82.6,83.9,Met
005-000000064,5,RMA-01  Financial Management Systems (FMS),2823,Maintaining and operating the Agency's financial systems.,Report,211-Technology - Technology Costs,100.0,100.0,Met
005-000000064,5,RMA-01  Financial Management Systems (FMS),2824,Enhance program integrity through operational reviews conducted of insurance companies receiving funding through FCIC.,Findings,103-Mission and Business Results - Management of Government Resources,16.0,16.0,Met
005-000000064,5,RMA-01  Financial Management Systems (FMS),2825,Enhance program integrity through annual financial analysis of improper payment rates.,Ratings,103-Mission and Business Results - Management of Government Resources,5.79,5.79,Not Met
005-000000064,5,RMA-01  Financial Management Systems (FMS),2826,A123 Insurance Management Cycle Audit (new measure).,Completion Rate,211-Technology - Technology Costs,100.0,100.0,Met
005-000000067,5,RMA-02  Corporate Insurance Information Systems (CIIS),2827,"No critical events identified by OIG, GAO, or other oversight bodies.",Report,102-Mission and Business Results - Support Delivery of Services,100.0,100.0,Met
005-000000067,5,RMA-02  Corporate Insurance Information Systems (CIIS),2828,Program changes and errors corrected in a timely manner to limit manual changes to accounting reports.,Percent,204-Process and Activities - Quality,90.0,95.0,Met
005-000000067,5,RMA-02  Corporate Insurance Information Systems (CIIS),4485,The crop insurance participation rate for the ten staple crops.,Percent,214-Technology - Information and Data,83.7,83.7,Met
005-000000067,5,RMA-02  Corporate Insurance Information Systems (CIIS),4486,Incident tickets are resolved in a timely manner.,Percent,114-Customer Results - Service Quality,96.0,96.0,Met
005-000000067,5,RMA-02  Corporate Insurance Information Systems (CIIS),4487,Provide reasonable assurance of quality and reliability of data from private industry partners.,Percent,212-Technology - Quality Assurance,52.0,52.0,Met
005-000001430,5,"RMA-04  Infrastructure Modernization, Support and Training (IMST)",2916,"% of Active Directory errors are resolved in accordance with SLA, based on how many detected configuration errors, DNS errors",Percent,114-Customer Results - Service Quality,97.0,99.0,Met
005-000001430,5,"RMA-04  Infrastructure Modernization, Support and Training (IMST)",2917,Improved A-123 and independent audit opinions.,Number,205-Process and Activities - Security and Privacy,3.0,2.0,Met
005-000001430,5,"RMA-04  Infrastructure Modernization, Support and Training (IMST)",2918,"% Backups are successfully completed per schedule indicated in RMA policy, which is how RMA ensures that all data assets are saved.",Percent,214-Technology - Information and Data,99.0,99.0,Met
005-000001430,5,"RMA-04  Infrastructure Modernization, Support and Training (IMST)",2919,% of time network is available in accordance with SLA,Percent,103-Mission and Business Results - Management of Government Resources,99.0,99.0,Met
005-000001430,5,"RMA-04  Infrastructure Modernization, Support and Training (IMST)",2920,Number of service calls to help desk answered/resolved by due date as dictated by incident urgency.,Percent,113-Customer Results - Timeliness and Responsiveness,96.0,96.0,Met
005-000001430,5,"RMA-04  Infrastructure Modernization, Support and Training (IMST)",2921,Maintain an accurate IT Asset Inventory by recording 99% of new IT asset acquisitions,Percent,201-Process and Activities - Financial,99.0,99.0,Met
005-000001430,5,"RMA-04  Infrastructure Modernization, Support and Training (IMST)",2922,"Efficiency of change request processing; maintain a 99% performance level ensuring that all CRs have appropriate assessments, roll-out/back up plans, approvals and Estimated vs. Actual Cost analyses.",Percent,202-Process and Activities - Productivity,99.0,99.0,Met
005-000001430,5,"RMA-04  Infrastructure Modernization, Support and Training (IMST)",2923,Network Security Scans to track efficiency of investigation into any detected security breach.,Percent,205-Process and Activities - Security and Privacy,100.0,100.0,Met
005-000001430,5,"RMA-04  Infrastructure Modernization, Support and Training (IMST)",2924,Efficiency of Patch Management,Percent,212-Technology - Quality Assurance,99.0,99.0,Met
005-000000063,5,RMA-13  Emerging Information Technology Architecture (EITA),2859,Assure project health thru EVM Reporting - SPI,Schedule Performance Rate,103-Mission and Business Results - Management of Government Resources,1.0,1.0,Met
005-000000063,5,RMA-13  Emerging Information Technology Architecture (EITA),2860,Assure project health thru EVM Reporting - CPI,Cost Performance Rate,103-Mission and Business Results - Management of Government Resources,1.0,1.0,Met
005-000000063,5,RMA-13  Emerging Information Technology Architecture (EITA),2861,Adherence to business cycle due dates.,Manager Survey,203-Process and Activities - Cycle Time and Timeliness,100.0,100.0,Met
005-000000063,5,RMA-13  Emerging Information Technology Architecture (EITA),2862,"Customer assurance of accuracy of ITM software.  Survey users in 4 business system areas (Actuarial, PASS, Reporting, Financial) to determine the accuracy of software deliverables as they are initially migrated to production.",Manager Survey,114-Customer Results - Service Quality,75.0,75.0,Not Met
005-000000063,5,RMA-13  Emerging Information Technology Architecture (EITA),2863,Assure compliance to standards &amp;amp; best practices in delivering SDLC artifacts.,Percentage,212-Technology - Quality Assurance,0.0,0.0,Met
005-000000028,5,ROSS - Resource Ordering and Status System,1658,Help desk time to answer the phone is 95% less than 60 seconds.,Number (percentage),114-Customer Results - Service Quality,95.0,95.0,Met
005-000000028,5,ROSS - Resource Ordering and Status System,1659,Help desk time to answer an email 95% within 24 hours of receipt.,Number (Percent),114-Customer Results - Service Quality,95.0,95.0,Met
005-000000028,5,ROSS - Resource Ordering and Status System,1660,The number of customer requests for unique reports is fewer than 24/year.,Number,206-Process and Activities - Management and Innovation,24.0,24.0,Met
005-000000028,5,ROSS - Resource Ordering and Status System,1661,Server availability time (up time).,Number (Percent),215-Technology - Reliability and Availability,95.0,95.0,Met
005-000000028,5,ROSS - Resource Ordering and Status System,1662,Help desk availability is greater than or equal to 99.75%.,Number (percentage),215-Technology - Reliability and Availability,99.75,99.75,Met
005-000000027,5,Store Tracking and Redemption System (STARS),1663,Help Desk Calls,Count of help desk calls,111-Customer Results - Customer Benefit,270.0,260.0,Met
005-000000027,5,Store Tracking and Redemption System (STARS),1664,Critical defects management,Hours taken for resolution of Critical defects,102-Mission and Business Results - Support Delivery of Services,48.0,48.0,Met
005-000000027,5,Store Tracking and Redemption System (STARS),1665,Data retrieval time,Hours taken for data retrieval,203-Process and Activities - Cycle Time and Timeliness,24.0,24.0,Met
005-000000027,5,Store Tracking and Redemption System (STARS),1666,Unnecessary user timeouts,Count of user timeouts,215-Technology - Reliability and Availability,0.0,0.0,Met
005-000000027,5,Store Tracking and Redemption System (STARS),1667,Achieve Six Sigma system uptime standard of 99.96%,Percentage of System uptime,215-Technology - Reliability and Availability,99.7,99.8,Met
005-000002224,5,USDA Identity &amp; Access Management,2897,e-Auth: Response time to incident initiation for application integrations in production:a) Business hrs: &amp;lt;30 minutesb) Off hours: &amp;lt;60minutes,Percent,113-Customer Results - Timeliness and Responsiveness,90.0,95.0,Met
