Unique_Investment_Identifier,Contract_ID,IDV_PIID,Vendor_name,Contract_size,Type of Contract (USAspending),Contract_Description,Timestamp (Contract)
005-000000038,24553,GS35F0170K,"EXECUTIVE INFORMATION SYSTEMS,",0.096152,Firm Fixed Price,SAS SOFTWARE,2012-08-01 16:21:08
005-000000038,24555,GS35F0153M,"MYTHICS, INC",0.330861,Firm Fixed Price,"MYTHICS - ESTIMATE #1518049-JM-SR FOR ORACLE LICENSES, UPDATES AND TECHNICAL.  POP 04/01/2012 - 03/31/2013.  RHIANA SHUMATE IS COTR.",2012-08-01 16:21:08
005-000000038,25245,GS35F0577V,"TRUETANDEM, LLC",0.245669,Firm Fixed Price,"ITD PURCHASE TRUE TANDEM RFQ #679371 DATED MAY 31, 2012.  MICROSOFT SERVICES PREMIER SUPPORT.   POP 06/01/2012 - 05/31/2013.   RHIANA SHUMATE IS COTR AND PLEASE SEND HER THE INVOICE.",2012-08-01 16:21:08
005-000000038,25247,GS35F0153M,"MYTHICS, INC",0.036986,Firm Fixed Price,ITD PURCHASE MYTHICS QUOTE #3667242-JM-SR ORACLE SOA AND WEBLOGIC RENEWAL.  POP 05/30/2012-05/31/2013. PREVIOUS PO #AG-32KW-D-11-0181.  RHIANA SHUMATE IS COTR AND PLEASE SEND HER THE INVOICE.,2012-08-01 16:21:08
005-000000038,25249,GS35F4027D,DELL MARKETING L.P.,1.346378,Firm Fixed Price,ITD PURCHASE  DELL ASAP SOFTWARE RENEWAL FOR YR 4.  BPA #AG-3142-B-09-0010.  POP 07/01/2012 - 06/30/2013.  RHIANA SHUMATE IS COTR.  PLEASE SEND HER THE INVOICE.  REV #1 TO ATTACH SPREADSHEET PER CO'S REQUEST.,2012-08-01 16:21:08
005-000002224,21659,GS02F0048M,REED ELSEVIER INCORPORATED,0.0070680000000000005,Firm Fixed Price,Turnkey Enterprise-level Online Identity Proofing Service,2012-02-29 12:04:16
005-000002224,21660,GS06F0661Z,"ALLIANT ALLIANCE, LLC",3.0833,Labor Hours,"CO - MTAYLOR, COR - CCOFFMAN, TBD  NEW",2012-02-29 12:04:16
005-000002152,21629,GS35F0069V,"WESTAT, INC.",0.127067,Firm Fixed Price,"FY12 BLAISE SOFTWARE 10/1/11 TO 9/30/12, LAST YRS INVOICE IS ATTACHED AND AWARD INFORMATION IS ATTACHED FOR DETAILS CONTACT ASA MANNING 720-9485 OR LEE BOWLING 720-0308",2012-08-01 16:23:05
005-000002152,21630,GS35F0529V,"FEITH SYSTEMS AND SOFTWARE, INC.",0.052695000000000006,Firm Fixed Price,"FY12 FEITH MAINT&SUPPORT, UNDER THE CR 13.39% WILL BE PAID OUT OF $52,696=$7055.99 NEW QUOTE ADDED  10/1/11-9/30/12 FOR MORE DETAILS CONTACT BRIAN LOUNSBURY 720-3649-",2012-08-01 16:23:05
005-000002152,21633,AG3142B090010,DELL MARKETING L.P.,0.35142199999999996,Firm Fixed Price,"FY11 MICROSOFT ENTERPRISE AGREEMENT-DESKTOP PRO/W ENTERPRISE/LISTED LANGUAGES, OPT YR 3-7/1/11-7/31/12. CONTACT VERA GLEATON 690-2352. AG-3K06-D-08-0076.",2012-08-01 16:23:05
005-000002376,21946,GS06F0651Z,"PHACIL, INC.",14.161017999999999,Firm Fixed Price,SOFTWARE ANALYSIS AND DEVELOPMENT (NRCS CDSI PROJECT),2012-02-28 13:22:45
005-000002223,21634,GS35F0461N,SERENA SOFTWARE INC,1.438,Labor Hours,"MODIFICATION IS TO ADD ADDITIONAL FUNDING FOR OPTION PERIOD 3 IN THE AMOUNT OF $200,000.00.",2012-08-01 16:23:08
005-000002223,21635,AG3187B100003,ALSEA GEOSPATIAL INCORPORATED,3.698062,Labor Hours,DEVELOPMENT AND SUPPORT TO THE NATURAL RESOURCE MANAGER DEVELOPMENT TEAM,2012-08-01 16:23:08
005-000000027,23576,AG3198B110019,VENTERA CORP.,2.677159,Firm Fixed Price,IT 11 189 STARS CONTRACT CLIN 001 O&M OFFSITE,2012-03-30 10:09:48
005-000000028,21652,GS35F4863G,LOCKHEED MARTIN SERVICES INC,40.435916,Labor Hours,Software development for ROSS,2012-02-28 13:27:52
005-000002276,21516,GS35F0330J,IMMIXTECHNOLOGY INC,2.5680549999999998,Firm Fixed Price,Time and Attendance System Licenses and Maintenance,2011-09-16 15:00:20
005-000002276,21517,NNG07DA08B,FULCRUM IT SERVICES COMPANY,0.151849,Firm Fixed Price,Enterprise Survey Design Application (Survey Tool). Licenses & Maintenance.,2012-02-28 13:24:19
005-000002276,21518,GS22F8084H,"GENE ROULEAU & ASSOCIATES, INC",0.10931400000000001,Firm Fixed Price,Labor and Employee Relations and Equal Employment Opprtunity,2012-02-28 13:24:19
005-000002276,21519,GS35F4543G,DLT SOLUTIONS INCORPORATED,1.44182,Firm Fixed Price,"Oracle EmpowHR Software,Licenses and Maint. Fees",2011-09-16 15:00:20
005-000002276,21520,NAS502143,DLT SOLUTIONS INCORPORATED,0.32459,Firm Fixed Price,Software License renewal,2012-02-28 13:24:19
005-000000064,22328,GS00Q09BGD0048,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,29.535882,Cost Plus Award Fee,"The purpose of this acquisition is to procure Information Technology (IT) services to support the mission of the Risk Management Agency (RMA), an agency of the United States Department of Agriculture (USDA).  RMA requires the full range of IT services in order to develop and deliver new crop insurance products, support high employee productivity, develop and maintain new IT systems, and design, deploy, and maintain the underlying infrastructure for aforementioned activities.",2012-02-29 11:51:35
005-000000047,21626,AG3198B090011,DELOITTE CONSULTING L.L.P.,4.553122,Fixed Price Level of Effort,IT 12 002 IPAS OPERATIONAL SUPPORT - FY 2012,2012-08-01 16:23:00
005-000000047,21628,AG3198B090011,DELOITTE CONSULTING L.L.P.,2.7469240000000004,Firm Fixed Price,ADD'L FUNDING & POP EXTENSION DELOITTE CONSULTING LLP - IPAS TASK 9 FNS FMMI IMPLEMENTATION SUPPORT PERIOD OF PERFORMANCE 31 OCTOBER 2010 TO 31 JANUARY 2011,2012-08-01 16:23:00
005-000001425,21615,GS23F0006V,"RWC CONSULTING GROUP, LLC",3.265878,Firm Fixed Price,CO: Ellery Taylor - This is a proposal from RWC for Business Practice Support for the period of performance to last through March 2010.,2012-02-29 11:00:28
005-000001425,21616,AG3142B100009,DELOITTE CONSULTING L.L.P.,0.191998,Firm Fixed Price,CO: Vivan Mcpherson - This is for Option Year 4 for Deloitte for task d/e. The Old PO is AG-3142-K-10-0043.,2012-02-29 11:00:28
005-000001425,22337,AG3142B100009,DELOITTE CONSULTING L.L.P.,0.639125,Firm Fixed Price,- This is for Option Year 4 for Deloitte (Old PO is AG-3142-K-10-0034) for Task A Funding,2012-02-29 11:00:28
005-000001425,22338,AG3142B100009,DELOITTE CONSULTING L.L.P.,1.00644,Firm Fixed Price,- This is for Option Year 4 for Task B/C. for Deloitte (Old PO number is AG-3142-K-10-0036,2012-02-29 11:00:28
005-000001425,22339,AG3142B100009,DELOITTE CONSULTING L.L.P.,5.002614,Firm Fixed Price,- This is for Option Year 4 for Deloitte (Old PO is AG-3142-K-10-0035) for Sustainment.,2012-02-29 11:00:28
005-000001718,21587,AG3198B100019,DELOITTE CONSULTING L.L.P.,1.05,Firm Fixed Price,TASK ORDER#1 FOR ISO SECURITY SUPPORT SERVICES,2012-08-01 16:22:11
005-000001870,21595,GSTFMGBPA100001,SYSTEMS RESEARCH AND APPLICATIONS CORPORATION,17.150688,Time and Materials,THE PURPOSE OF THIS TASK ORDER (TO) IS TO CREATE THE MIDAS RELEASE 1 BLUEPRINT INCLUDING THE BASELINE FUNCTIONAL AND PERFORMANCE REQUIREMENTS FOR RELEASE 1 OF THE MIDAS SYSTEM; CREATE THE SYSTEM DESIGN FOR MIDAS RELEASE 1; CONTINUE SAP PRODUCT DEMONSTRATION AND SHOWING MIDAS CAPABILITY TO KEY USDA SPONSORSHIP AND STAKEHOLDER COMMUNITIES; AND CREATE THE DRAFT PROJECT PLAN FOR TASK ORDER 3,2012-02-28 13:25:27
005-000001870,21596,AG3142B090032,CARAHSOFT TECHNOLOGY CORPORATION,4.18,Firm Fixed Price,MIDAS SAP CONSULTING SERVICES,2011-09-16 15:00:58
005-000001870,21598,AG3142B090032,CARAHSOFT TECHNOLOGY CORPORATION,0.378,Not Reported,"BPA FOR SOFTWARE/MAINTENANCE, SAP PROEFESSIONAL SERVICES AND TRAINING SOLUTIONS AND ADDITIONAL VALUE ADDED SERVICCES.",2012-08-01 16:22:25
005-000001870,21599,GSQFOBBPA100003,CAPGEMINI GOVERNMENT SOLUTIONS LLC,9.065228999999999,Time and Materials,"MIDAS will address FSAs outmoded delivery of farm program benefits by streamlining business processes, replacing obsolete technology and consolidating disparate local systems into a public-facing web-based enterprise-wide system that integrates customer self-service, farm program management, financial management and other business processes within a framework that is fully compliant with Federal regulations. This is the first Task Order to be placed under the Application Transformation and Modernization (ATM) IV&V BPA",2012-02-28 13:25:27
005-000000054,23289,AG8447C100009,NORTHROP GRUMMAN SYSTEMS CORPORATION,3.355,Firm Fixed Price,"4-BAND UPGRADE TO SUPPORT NAIP IN CO (7,423 DOQQS)",2012-08-01 16:22:47
005-000000054,23290,AG8447C070008,NORTH WEST GEOMATICS LIMITED,4.7734559999999995,Firm Fixed Price,SERVICES TO SUPPORT 2011 NAIP,2012-08-01 16:22:47
005-000000054,23291,AG8447C070007,AERIAL SERVICES INCORPORATED,1.2786,Firm Fixed Price,SERVICES TO SUPPORT 2011 NAIP,2012-08-01 16:22:47
005-000000054,23292,GS35F4461G,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1.0,Time and Materials,REVISE LANGUAGE OF MODIFICATION 0001 TO CORRECT INADVERTENT EXERCISE OF OPTION 5.,2012-08-01 16:22:47
005-000000054,23293,AG8447C070010,SANBORN SOLUTIONS LIMITED LIABILITY COMPANY,0.590655,Firm Fixed Price,SERVICES TO SUPPORT 2011 NAIP,2012-08-01 16:22:47
005-000000054,23294,AG8447C090005,"G M R AERIAL SURVEYS, INC.",0.24923,Firm Fixed Price,SERVICES TO SUPPORT 2011 NAIP,2012-08-01 16:22:47
005-000000054,23295,AG8447C090005,"G M R AERIAL SURVEYS, INC.",1.078017,Firm Fixed Price,"2011 NAIP TASK ORDER AWARD (PART 2), PROJECT NUMBER 3-11-4 FOR REMAINING PARTS OF AL, MD, AND ALL OF WV COVERING 5,293 DOQQS OF 6,395 TOTAL DOQQS (1,102 DOQQS PREVIOUSLY AWARDED UNDER PART 1)",2012-08-01 16:22:47
005-000000054,23296,AG8447C070008,NORTH WEST GEOMATICS LIMITED,0.5643699999999999,Firm Fixed Price,2011 NAIP TASK ORDER AWARD FOR OHIO,2012-08-01 16:22:47
005-000000054,23297,AG8447C070011,SURDEX CORPORATION,3.75219,Firm Fixed Price,"2011 NAIP TASK ORDER AWARD, PROJECT NUMBER 3-11-6, FOR MONTANA AND OREGON COVERING A TOTAL OF 19,242 DOQQS",2012-08-01 16:22:47
005-000000054,23298,AG8447C070011,SURDEX CORPORATION,0.812925,Firm Fixed Price,11-AP-CCC-28; 2011 NAIP TASK ORDER MODIFICATION FOR 4-BAND UPGRADE FOR MT,2012-08-01 16:22:47
005-000001742,21594,GS00Q09BGD0048,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,4.426503,Time and Materials,Enterprise Architecture,2012-02-28 13:24:43
005-000002340,23000,GS35F0306J,BOOZ ALLEN HAMILTON INC,2.2357669999999996,Labor Hours,TASK ORDER 01 OF BPA 5TS12100257,2012-02-28 16:16:51
005-000000018,23101,GSTFMGBPA100001,SYSTEMS RESEARCH AND APPLICATIONS CORPORATION,10.601467999999999,Time and Materials,"THIS REQUIREMENT IS FOR WBSCM COVERS ROLES AND RESPONSIBILITIES, SUPPORT SERVICES, CORRECTIVE MAINTENANCE (INCLUDED CONTINUOUS IMPROVEMENTS, SOFTWARE AND HARDWARE UPGRADE), TRAINING AND KNOWLEDGE TRANSFER ACTIVITIES, COMMUNICATION PROCESSES AND DELIVERABLES FOR USER SUPPORT, SYSTEM SUPPORT, PERFORMANCE MONITORING, PROJECT MANAGEMENT AND OTHER O&M SUPPORT.",2012-02-28 13:28:05
005-000000063,22330,GS00Q09BGD0048,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,29.535882,Cost Plus Award Fee,"The purpose of this acquisition is to procure Information Technology (IT) services to support the mission of the Risk Management Agency (RMA), an agency of the United States Department of Agriculture (USDA).  RMA requires the full range of IT services in order to develop and deliver new crop insurance products, support high employee productivity, develop and maintain new IT systems, and design, deploy, and maintain the underlying infrastructure for aforementioned activities.",2012-02-28 13:27:45
005-000000039,21623,GS06F0190Z,AMERICAN ENVIRONMENTAL AND ENGINEERING CONSULTANTS LIMITED LIABILITY COMPANY,4.033124,Firm Fixed Price,FY12 IAS PROGRAM SUPPORT (AEEC)PERIOD OF PERFORMANCE OCT 1 - 31. REMAINING FUNDS WILL BE SUBJECT TO FUNDS AVAILABILITY. ODCS INCLUDED IN AMOUNT FOR TRAVEL.,2012-02-28 16:23:53
005-000000039,21624,GS35F0092L,SENET INTERNATIONAL CORPORATIO,0.519219,Firm Fixed Price,IAS SECURITY SERVICES,2012-02-28 16:31:34
005-000000065,21553,AG3142B090002,INTERNATIONAL BUSINESS MACHINE,0.128012,Firm Fixed Price,"IBM Websphere Application Server Network Deployment LINUX, software and support",2011-09-16 15:00:40
005-000000065,21555,AG3142B090030,"CAS SEVERN, INC.",0.095016,Firm Fixed Price,Lease z10 IFL and 16gb Memory Upgrades,2011-09-26 15:26:32
005-000000065,21556,AG3142B090030,"CAS SEVERN, INC.",0.018612,Firm Fixed Price,1 MONTH LEASE OF TWO (2) IFLS INCLUDING SOFTWARE BUNDLE.    CAS SEVERN  COR: P GEHRT,2011-09-26 15:26:32
005-000000083,23299,GS35F4027D,DELL MARKETING L.P.,6.663156,Firm Fixed Price,MICROSOFT OS AND SOFTWARE SUPPORT.,2012-08-01 16:23:35
005-000000083,23300,GS35F4357D,GENERAL DYNAMICS INFORMATION TECHNOLOGY INCORPORATED,28.407422999999998,Firm Fixed Price,ENTERPRISE OPERATIONS AND MAINTENANCE (O&M) FY09-13,2012-08-01 16:23:35
005-000000083,23302,GS35F4357D,GENERAL DYNAMICS INFORMATION TECHNOLOGY INCORPORATED,28.407422999999998,Firm Fixed Price,ENTERPRISE OPERATIONS AND MAINTENANCE (O&M) FY09-13,2012-08-01 16:23:35
005-000000073,21425,GS35F0133L,RELM COMMUNICATIONS INC,1.3,Firm Fixed Price,"REPAIR RELM PORTABLE AND MOBILE RADIOS, PER ATTACHED STATEMENT OF WORK",2012-08-01 16:21:15
005-000000073,21426,GS35F0133L,"GLACIER TECHNOLOGIES, LLC",0.0038810000000000003,Firm Fixed Price,"THIS IS A FIRM-FIXED PRICE DELIVERY ORDER.THE PURPOSE OF THIS PROCUREMENT IS TO PLACE AN ORDER FOR THE MEMORY UPGRADE GIS SRVRS LOCATED IN KANSAS CITY, MO DATA CENTERS FOR THE USDA FOREST SERVICE CHIEF INFORMATION CHIEF INFORMATION OFFICE (CIO).",2012-08-01 16:21:15
005-000002148,23288,GS06F0618Z,"DKW COMMUNICATIONS, INC.",4.49596,Firm Fixed Price,PHIS DEPLOYMENT SUPPORT SERVICES,2012-08-01 16:22:21
005-000001232,21508,AG645SC080013,"HP ENTERPRISE SERVICES, LLC",5.056229,Labor Hours,FAST - AFAO 2008-02 SERVICE CENTER ACCOUNTING APPLICATION,2012-08-01 16:21:48
005-000001232,21509,AG645SC080013,ELECTRONIC DATA SYSTEMS CORPORATION,2.536624,Labor Hours,FAST 2005-2 AFAO ACCOUNTING APPLICATION SUPPORT (BASE PERIOD PLUS 4 OPTION YEARS),2012-08-01 16:21:48
005-000001659,21427,GS06F0530Z,VETERAN ENGINEERING AND TECHNOLOGY LIMITED LIABILITY COMPANY,0.345961,Firm Fixed Price,ADTS HELP DESK,2012-02-28 13:22:25
006-000401700,18989,GS35F4543G,"DLT SOLUTIONS, INC.",10.083962,Firm Fixed Price,RED HAT SOFTWARE MAINTENACE,2012-02-28 11:44:04
006-000401700,24031,GS35F4663G,HEWLETT PACKARD COMPANY (3067),28.662665000000004,Firm Fixed Price,FUNDING FOR FY2010 QUARTER 2 SERVER AND SAN-TRUE-UP,2012-08-20 16:53:16
006-000401700,24035,GS35F0324R,"ALLIANCE TECHNOLOGY GROUP, LLC",1.9905599999999999,Firm Fixed Price,FUNDING FOR OPTION PERIOD II,2012-08-20 16:53:16
006-000401700,25461,DOCYA132309CQ0003,GOLDBELT HAWK L.L.C.,0.21826399999999999,Firm Fixed Price,TASK ORDER 2 - SCC - CHECK IN/CHECK OUT SUPPORT,2012-08-20 16:53:16
006-000401700,25463,DOCCM130105CT0045,RS INFORMATION SYSTEMS INCORPORATED,17.345637,Time and Materials,TCO NETWORK AND TELECOMMUNICATIONS INFRASTRUCTURE SUPPORT,2012-08-20 16:53:16
006-000401700,25465,GS35F4543G,"DLT SOLUTIONS, INC.",0.007186,Firm Fixed Price,RENEWAL OF DLT AUTOCAD 2011,2012-08-20 16:53:16
006-000401700,25467,GS23F9796H,DELOITTE CONSULTING L.L.P.,1.884161,Labor Hours,PROGRAM&PROJECT MGMT SUPPORT SERVICES,2012-08-20 16:53:16
006-000401700,25469,GS10F0004K,APPLIED SYSTEMS DEVELOPMENT CORPORATION,6.104025,Firm Fixed Price,PROJECT MANAGEMENT SUPPORT,2012-08-20 16:53:16
006-000401700,25471,DOCYA132310CQ0001,GOLDBELT HAWK L.L.C.,0.165742,Firm Fixed Price,THE PURPOSE OF THIS MODIFCATION IS TO TERMINIATE ALL WORK PERFORMED UNDER THIS TASK ORDER FOR CONVEIENCE OF THE GOVERNMENT AND DEOBLIGATE FUNDS.,2012-08-20 16:53:16
006-000401700,25473,DOCYA132310CQ0002,"NETSTAR SYSTEMS INTERNATIONAL, INC.",0.51537,Firm Fixed Price,SOFTWARE DEVELOPMENT AND SUPPORT SERVICES.,2012-08-20 16:53:16
006-000401700,25475,DOCYA132310CQ0002,"NETSTAR SYSTEMS INTERNATIONAL, INC.",0.481638,Firm Fixed Price,SOFTWARE DEVELOPMENT SUPPORT-AMERICAN COMMUNITY SURVEY OFFICE,2012-08-20 16:53:16
006-000401700,25477,DOCYA132310CQ0002,"NETSTAR SYSTEMS INTERNATIONAL, INC.",0.750544,Firm Fixed Price,SOFTWARE DEVELOPMENT,2012-08-20 16:53:16
006-000401700,25479,DOCYA132310CQ0006,"NETSTAR SYSTEMS INTERNATIONAL, INC.",0.248258,Firm Fixed Price,VIRTUALIZATION SUPPORT SERVICES,2012-08-20 16:53:16
006-000401700,25481,GS35F0509V,INFOTECH SYSTEMS ANALYSTS INC,4.259511,Firm Fixed Price,EXERCISE OF OPTION YEAR 1 FOR NETBACKUP RECOVERY,2012-08-20 16:53:16
006-000401700,25483,DOCYA132310CQ0006,"NETSTAR SYSTEMS INTERNATIONAL, INC.",1.01201,Firm Fixed Price,MIGRATION TO #002,2012-08-20 16:53:16
006-000401700,25485,TIRNO99D0005,THE MITRE CORPORATION,2.898469,Cost Plus Fixed Fee,EXERCISE OPTION PERIOD I,2012-08-20 16:53:16
006-000401700,25487,DOCYA132310CQ0007,"NETSTAR SYSTEMS INTERNATIONAL, INC.",0.8687,Firm Fixed Price,VIRTUALIZATION SUPPORT SERVICES,2012-08-20 16:53:16
006-000401700,25489,GS23F0109L,BOOZ ALLEN HAMILTON INC,6.693986,Time and Materials,ADDITIONAL FUNDING,2012-08-20 16:53:16
006-000401700,25493,GS35F0447T,INQUISIT LIMITED LIABILITY COMPANY,3.6008150000000003,Time and Materials,FUNDING TO FULLY FUND THE LINE ITEM,2012-08-20 16:53:16
006-000401700,25495,DOCYA132310CQ0002,"NETSTAR SYSTEMS INTERNATIONAL, INC.",0.257536,Firm Fixed Price,DATABASE DEVELOPMENT AND SUPPORT SERVICES,2012-08-20 16:53:16
006-000401700,25501,GS35F4663G,HEWLETT PACKARD COMPANY (3067),28.683594,Firm Fixed Price,FUNDING FOR PII REPORTING SYSTEM SUPPORT TO CLIN'S #44-46.,2012-08-20 16:53:16
006-000401700,25507,GS35F0170K,"EXECUTIVE INFORMATION SYSTEMS,",0.814982,Firm Fixed Price,SAS S/W AND SERVICES,2012-08-20 16:53:16
006-000401700,25509,GS35F0272L,CRITICOM INC,0.0023469999999999997,Firm Fixed Price,GOLD MAINTENANCE SUBSCRIPTION SERVICE,2012-08-20 16:53:16
006-000401700,25511,DOCYA132310CQ0004,"ATTIVASOFT, LLC",0.03,Firm Fixed Price,IT ENTERPRISE CHANGE MANAGEMENT PROJECT PILOT IMPLEMENTATION SUPPORT,2012-08-20 16:53:16
006-000401700,25513,GS35F4554G,THE PRESIDIO CORPORATION,0.038141,Firm Fixed Price,HARDWARE MAINTENANCE,2012-08-20 16:53:16
006-000401700,25515,GS35F5192G,"SPECTRUM SYSTEMS, INC.",5.841107,Firm Fixed Price,5 YR ELA FOR HP SOFTWARE,2012-08-20 16:53:16
006-000401700,25517,GS35F0066N,HEWLETT-PACKARD COMPANY,0.20319500000000001,Firm Fixed Price,CONTRACTOR TO PROVIDE EXPERT ADVICE FOR NOVELL PRODUCTS,2012-08-20 16:53:16
006-000401700,25519,GS35F0066N,HEWLETT-PACKARD COMPANY,1.877746,Firm Fixed Price,ADMINISTRATIVE OVERSIGHT CORRECTION.,2012-08-20 16:53:16
006-000401700,25521,GS35F5029H,SI INTERNATIONAL INCORPORATED (7278),5.151086,Firm Fixed Price,LAN HELP DESK SUPPORT SERVICES,2012-08-20 16:53:16
006-000401700,25523,GS35F5029H,SI INTERNATIONAL INCORPORATED (7278),5.24222,Labor Hours,LAN HELP DESK SUPPORT SERVICES,2012-08-20 16:53:16
006-000401700,25525,GS02F0161R,WINSTON SALEM INDUSTRIES FOR THE BLIND INCORPORATED,1.707,Firm Fixed Price,PRINTER TONER CARTRIDGES,2012-08-20 16:53:16
006-000401700,25527,GS35F0009T,"ORACLE AMERICA, INC.",2.594021,Firm Fixed Price,SOFTWARE SUPPORT,2012-08-20 16:53:16
006-000400900,18969,CM130105CT0055,SABRE SYSTEMS INCORPORATED,21.024027,Firm Fixed Price,GEOGRAPHY SUPPORT SERVICES,2012-08-15 11:44:37
006-000400900,18970,DOCYA132308CQ0012,"ASRC RESEARCH AND TECHNOLOGY SOLUTIONS, LLC",3.269285,Time and Materials,For work on the TIGER Upload contract,2011-09-14 14:49:20
006-000525200,20717,GS06F0291Z,WORLDWIDE INFORMATION NETWORK SYSTEMS,1.397,Labor Hours,IT Infrastructure Support for the BEA Estimation Information Technology System,2012-02-28 11:25:32
