Project_ID,Activity_Name,Description,Output_type,Start_Date_Planned,Completion Date Projected,Planned_Costs,Total Costs Projected,Status,No_Child_Activity,Date of Last Update,ID,Planned_Duration,Actual_duration,Actual_start_delay
10,Service provider 1,Service provider 1  Release2 Feature pre-production testing,Key Deliverable,2011-06-10,2011-12-16,0.578,0.578,Completed - Closed,1,08/19/2012,33,125 days,189 days,0 days
10,Service provider 1,Service provider 1  Release 3 Feature design,Key Deliverable,2009-10-01,2011-03-24,1.734,0.578,Completed - Closed,1,08/19/2012,34,539 days,174 days,365 days
10,Service provider 1,Service provider 1  Release 3 Feature development,Key Deliverable,2011-03-25,2012-12-30,0.578,0.578,In-progress,1,08/19/2012,35,174 days,,0 days
11,Service provider 2,GETS-AS MRFC/P Design,Key Deliverable,2010-10-01,2011-03-31,1.5,1.5,Completed - Closed,1,08/19/2012,38,181 days,181 days,0 days
11,Service provider 2,GETS-AS MRFC/P Develop and Unit Test,Key Deliverable,2011-04-01,2011-09-30,1.5,1.5,Completed - Closed,1,08/19/2012,39,182 days,182 days,0 days
11,Service provider 2,GETS-AS MRFC/P Integration Test,Key Deliverable,2011-09-30,2012-03-29,0.747,0.747,Completed - Closed,1,08/19/2012,40,181 days,179 days,0 days
11,Service provider 2,GETS-AS MRFC/P Deployment,Key Deliverable,2012-03-30,2012-12-31,1.238,1.238,In-progress,1,08/19/2012,41,62 days,,-3 days
11,Service provider 2,"CS2K, CSCF, HSS, SBC, SCPMS and Performance Monitoring Design, Develop and Unit Test",Key Deliverable,2011-09-30,2012-07-30,3.7,3.7,Completed - Closed,1,08/19/2012,42,183 days,275 days,30 days
11,Service provider 2,"CS2K, CSCF, HSS, SBC, SCPMS and Performance Monitoring Integration Test",Key Deliverable,2011-11-30,2012-11-15,0.747,0.747,In-progress,1,08/19/2012,43,152 days,,0 days
11,Service provider 2,"ALU Lexus Plexus Design, Develop and Unit Test",Key Deliverable,2011-11-30,2012-03-16,4.313,4.313,Completed - Closed,1,08/19/2012,45,121 days,89 days,0 days
11,Service provider 2,ALU Lexus Plexus GETS-AS MRFC/P Deployment,Key Deliverable,2012-04-01,2013-03-31,1.238,1.238,In-progress,1,08/19/2012,47,152 days,,0 days
12,Service provider 3,GENBAND Custom CS2K Design,Key Deliverable,2012-01-01,2012-09-01,1.403,1.403,In-progress,1,08/19/2012,52,91 days,,121 days
13,NGN Priority Services Standards,"NGN Standards  includes monitoring, developing contributions, participating in standards development and maintenance.  Standards bodies include but ate not limited to IETF, ATIS, APCO, MSF, TIA, NENA.",Key Deliverable,2010-10-01,2011-03-30,0.25,0.25,Completed - Closed,1,08/19/2012,60,180 days,180 days,0 days
13,NGN Priority Services Standards,"NGN Standards  includes monitoring, developing contributions, participating in standards development and maintenance.  Standards bodies include but ate not limited to IETF, ATIS, APCO, MSF, TIA, NENA.",Key Deliverable,2011-03-31,2011-09-27,0.25,0.25,Completed - Closed,1,08/19/2012,61,180 days,180 days,0 days
13,NGN Priority Services Standards,"NGN Standards  includes monitoring, developing contributions, participating in standards development and maintenance.  Standards bodies include but ate not limited to IETF, ATIS, APCO, MSF, TIA, NENA.",Key Deliverable,2011-10-01,2012-03-26,0.125,0.125,Completed - Closed,1,08/19/2012,62,177 days,177 days,0 days
13,NGN Priority Services Standards,"NGN Standards  includes monitoring, developing contributions, participating in standards development and maintenance.  Standards bodies include but ate not limited to IETF, ATIS, APCO, MSF, TIA, NENA.",Key Deliverable,2012-03-27,2012-09-28,0.125,0.125,In-progress,1,08/19/2012,63,185 days,,0 days
13,SETA ADE2 Doc,NGN Documentation for Phase 1 Increment 1 ADE2B,Key Deliverable,2011-01-01,2011-10-30,0.525,0.525,Completed - Closed,1,08/19/2012,67,205 days,271 days,31 days
13,SETA ADE2 Doc,NGN AA/CBA  for Phase 1 Increment 2 & 3 - Access part 1,Key Deliverable,2011-02-01,2011-06-30,0.525,0.525,Completed - Closed,1,08/19/2012,68,149 days,149 days,0 days
13,SETA ADE2 Doc,NGN AA/CBA  for Phase 1 Increment 2 & 3 -  Access part 2,Key Deliverable,2011-07-01,2011-11-30,0.525,0.525,Completed - Closed,1,08/19/2012,69,122 days,143 days,0 days
13,SETA ADE2 Doc,NGN Documentation for Phase 1 Increment 2/3  for ADE2A,Key Deliverable,2011-11-01,2012-12-08,0.7,0.7,In-progress,1,08/19/2012,70,212 days,,139 days
13,Information Security,NGN Security Master Plan v1,Key Deliverable,2011-02-01,2011-07-14,0.087,0.087,Completed - Closed,1,08/19/2012,72,163 days,289 days,-123 days
13,Information Security,NGN Security Master Plan v2,Key Deliverable,2011-03-18,2011-09-01,0.087,0.087,Completed - Closed,1,08/19/2012,73,167 days,196 days,0 days
13,Information Security,EV-DO NS/EP Risk assessment and Security Requirements,Key Deliverable,2011-11-01,2013-12-31,0.5,0.5,In-progress,1,08/19/2012,74,151 days,,-31 days
13,Information Security,IP NS/EP specific Authentication Assurance study,Key Deliverable,2012-04-01,2012-09-30,0.28,0.28,In-progress,1,08/19/2012,76,182 days,,-152 days
13,Information Security,NGN Engineering Gap Analysis,Key Deliverable,2011-10-01,2012-07-31,0.297,0.297,Completed - Closed,1,08/19/2012,77,182 days,304 days,0 days
13,Information Security,NGN Security requirements assessment for Vendor 3,Key Deliverable,2012-04-01,2012-07-31,0.297,0.297,Completed - Closed,1,08/19/2012,78,182 days,121 days,0 days
13,Operational testing,TEMP development and finalization for NGN Phase 1 Increment 1 ADE 2B,Key Deliverable,2011-03-01,2011-10-30,0.194,0.194,Completed - Closed,1,08/19/2012,80,92 days,209 days,0 days
13,Operational testing,COT/NSAT OTA,Key Deliverable,2011-08-01,2012-01-20,0.247,0.175,Completed - Closed,1,08/19/2012,81,172 days,137 days,0 days
13,Operational testing,COT/NSAT OTA,Key Deliverable,2012-01-23,2012-11-15,0.225,0.225,In-progress,1,08/19/2012,82,172 days,,189 days
13,SETA Technical Reviews,Technical Reviews of Core Carrier Implementation,Key Deliverable,2010-06-08,2010-12-20,0.75,0.75,Completed - Closed,1,08/19/2012,86,195 days,195 days,0 days
13,SETA Technical Reviews,Technical Reviews of Core Carrier Implementation,Key Deliverable,2010-12-21,2011-06-13,0.75,0.75,Completed - Closed,1,08/19/2012,87,174 days,174 days,0 days
13,SETA Technical Reviews,Technical Reviews of Core Carrier Implementation,Key Deliverable,2011-06-14,2011-12-05,0.75,0.75,Completed - Closed,1,08/19/2012,88,174 days,539 days,-365 days
13,SETA Technical Reviews,Technical Reviews of Core Carrier Implementation,Key Deliverable,2011-12-06,2012-05-28,0.75,0.75,Completed - Closed,1,08/19/2012,89,174 days,174 days,0 days
13,SETA Technical Reviews,Technical Reviews of Core Carrier Implementation,Key Deliverable,2012-05-29,2012-11-19,0.7,0.7,In-progress,1,08/19/2012,90,174 days,,0 days
18,O&M Release 6.9,Release 6.9 Addition of Dept of State Data Elements,Usable Functionality,2011-09-01,2011-10-28,1.31,1.633,Completed - Closed,1,08/19/2012,109,36 days,88 days,-31 days
18,O&M Release 6.10,Release 6.10 USCIS IOC,Usable Functionality,2011-12-05,2012-04-20,1.31,1.31,Completed - Closed,1,08/19/2012,110,32 days,165 days,-28 days
18,O&M Release 6.11,Release 6.11 Addition of I-17 and I-20 Data Elements,Usable Functionality,2012-03-01,2012-10-05,1.31,1.31,In-progress,1,08/19/2012,111,36 days,,53 days
18,HelpDesk-QTR1,"Help Desk Activities (Tier 1,2,3) in QTR1 FY12",Key Deliverable,2011-10-01,2011-12-31,0.68,0.82,Completed - Closed,1,08/19/2012,114,91 days,91 days,0 days
18,HelpDesk-QTR2,"Help Desk Activities (Tier 1,2,3) QTR2 FY12",Key Deliverable,2012-01-01,2012-03-31,0.68,0.68,Completed - Closed,1,08/19/2012,115,90 days,90 days,0 days
18,HelpDesk-QTR3,"Help Desk Activities (Tier 1,2,3) QTR3 FY12",Key Deliverable,2012-04-01,2012-06-30,0.68,0.68,Completed - Closed,1,08/19/2012,116,90 days,90 days,0 days
18,HelpDesk-QTR4,"Help Desk Activities (Tier 1,2,3) QTR4 FY12",Key Deliverable,2012-07-01,2012-09-30,0.68,0.68,In-progress,1,08/19/2012,117,91 days,,0 days
19,Click-Thru Model,Release of Click-Thru User Model,Usable Functionality,2011-11-01,2012-07-31,1.4,1.4,Completed - Closed,1,08/19/2012,119,182 days,396 days,-123 days
20,HME SG 2011 Software Release (W.B.S.1.4.8),HME Break/Fix,Usable Functionality,2011-07-01,2011-09-30,0.376,0.376,Completed - Closed,1,08/19/2012,123,91 days,91 days,0 days
20, Vetting Software Release v 2.6.1 (W.B.S.1.5.1),Vetting Break/Fix,Usable Functionality,2011-07-01,2011-09-02,0.366,0.366,Completed - Closed,1,08/19/2012,124,63 days,63 days,0 days
21,HME TWIC Comparability Requirements (W.B.S.2.1),Requirements/Planning,,2011-07-01,2011-08-15,0.1,0.1,Completed - Closed,1,08/19/2012,125,45 days,45 days,0 days
21,HME TWIC Comparability Technical Data  Package (W.B.S.2.2),Development/Delivery Code,Key Deliverable,2011-07-05,2011-11-13,1.0,1.0,Completed - Closed,1,08/19/2012,126,131 days,131 days,0 days
21,HME TWIC Comparability Interface (W.B.S.2.3),Connectivity,,2011-10-03,2011-11-11,0.1,0.1,Completed - Closed,1,08/19/2012,127,39 days,39 days,0 days
21,HME TWIC Comparability Software Test (W.B.S.2.4),Test,,2011-10-03,2011-11-28,0.1,0.1,Completed - Closed,1,08/19/2012,128,56 days,70 days,0 days
21,HME TWIC Comparability Deployment (W.B.S.2.5),Deployment,Usable Functionality,2012-02-27,2012-02-27,0.1,0.1,Completed - Closed,1,08/19/2012,129,0 days,1 days,-1 days
22,HME SG 2012 Software Release (W.B.S.1.4.8),HME Break Fix,Usable Functionality,2011-10-01,2011-12-31,0.44,0.44,Completed - Closed,1,08/19/2012,130,91 days,90 days,0 days
22,HME SG 2012 Software Release (W.B.S.1.4.9),HME Break Fix,Usable Functionality,2012-01-01,2012-03-31,0.44,0.44,Completed - Closed,1,08/19/2012,131,90 days,79 days,2 days
22,HME SG2012  Software Release (W.B.S.1.5.0),HME Break Fix,Usable Functionality,2012-04-01,2012-06-30,0.44,0.44,Completed - Closed,1,08/19/2012,132,90 days,89 days,1 days
22,HME SG 2012 Software Release (W.B.S.1.5.1),HME Break/ Fix,Usable Functionality,2012-07-01,2012-09-30,0.44,0.44,In-progress,1,08/19/2012,133,91 days,,0 days
22,Tech Refresh (W.B.S.1.5.2),Reporting Environment,Key Deliverable,2012-04-30,2012-07-30,0.052,0.052,Completed - Closed,1,08/19/2012,134,91 days,98 days,-7 days
22,Hardware Refresh (W.B.S.1.5.3),Replace end of life components,Key Deliverable,2012-04-02,2012-09-28,0.096,0.146,In-progress,1,08/19/2012,135,179 days,,-10 days
22,Vetting Software Release (W.B.S.1.5.4),Vetting Break/Fix,Usable Functionality,2012-01-02,2012-06-01,0.042,0.042,Completed - Closed,1,08/19/2012,136,151 days,150 days,1 days
23,Setup Development Environment at DC1,"As part of contractor transition, load Development Environment at DC1 to include PMIS, AIM, and PIMS.",Key Deliverable,2011-04-01,2011-08-08,0.582,0.582,Completed - Closed,1,08/21/2012,137,122 days,120 days,10 days
23,Complete transition documentation,Complete any remaining SDLC artifacts.,Key Deliverable,2011-04-01,2011-10-14,0.291,0.291,Completed - Closed,1,08/21/2012,138,196 days,182 days,13 days
24,Annual PIMS COTS Maintenance Agreement - Phase 1,MicroStrategy (PIMS) Business Intelligence COTS Maintenance Renewal,Usable Functionality,2011-04-14,2011-06-30,0.325,0.325,Completed - Closed,1,08/21/2012,139,77 days,71 days,6 days
24,Annual PIMS COTS Maintenance Agreement - Phase 2,MicroStrategy (PIMS) Business Intelligence COTS Maintenance,Usable Functionality,2011-07-01,2012-07-20,0.325,0.325,Completed - Closed,1,08/21/2012,140,385 days,353 days,0 days
25,Data Center Migration - DTE,Load and configure Development Environment to include servers and migrate data.  Complete firewall and network configurations.,Key Deliverable,2011-08-08,2012-01-15,0.44,0.44,Completed - Closed,1,08/21/2012,141,160 days,150 days,7 days
25,Data Center Migration - ITE,Load and configure the Integrated Test Environment,Key Deliverable,2011-09-26,2012-06-08,0.45,0.45,Completed - Closed,1,08/21/2012,142,256 days,257 days,2 days
25,Data Center Migration - PROD,"Initiate the Production Environment for PMIS, AIM, and PIMS",Usable Functionality,2012-01-02,2012-07-27,0.44,0.44,Completed - Closed,1,08/21/2012,143,207 days,134 days,70 days
26,"PMIS v3.07, AIM v1.0.0, and PIMS v3.06",Update Resource Planning module.,Usable Functionality,2012-04-02,2012-06-01,0.8,0.8,Completed - Closed,1,08/21/2012,144,60 days,138 days,-301 days
26,"PMIS v3.08, AIM v1.0.1, and PIMS v3.07",Update Playbook summary dashboard,Usable Functionality,2012-06-02,2012-08-02,0.8,0.8,In-progress,1,08/21/2012,145,61 days,,3 days
28,Vetting Process  (W.B.S 1001),Continue Vetting process of all transportation workers,Key Deliverable,2011-07-01,2011-09-30,0.9,0.9,Completed - Closed,1,07/30/2012,153,91 days,91 days,0 days
28,Continue Operation Ctr (W.B.S 1002),Continue operation of enrollment centers,Key Deliverable,2011-07-01,2011-09-30,0.9,0.9,Completed - Closed,1,07/30/2012,154,91 days,91 days,0 days
29,Transition Activities for UES,Build and/or enhance system interfaces to support operation of legacy TWIC systems.,Key Deliverable,2011-07-01,2011-09-30,0.5,0.5,Completed - Closed,1,07/30/2012,155,91 days,91 days,0 days
29,UES Transition Execution,Execute transition of enrollment services to the UES contract/vendor.,Key Deliverable,2011-10-01,2013-01-28,2.0,2.0,In-progress,1,07/30/2012,156,485 days,,213 days
29,TWIC O&M to TIM Transition Execution,Execute transition of legacy TWIC O&M to the TIM IDIQ contract/vendor.,Usable Functionality,2012-04-01,2013-07-28,0.5,0.5,In-progress,1,07/30/2012,157,483 days,,0 days
30,2012 TWIC O&M - Phase 1,Continue vetting process of all transportation workers and operation enrollment centers,Key Deliverable,2011-10-01,2012-03-31,8.3,8.3,Completed - Closed,1,07/30/2012,159,182 days,182 days,0 days
30,2012 TWIC O&M - Phase 2,Perform necessry activites and TWIC system updates to continue vetting process of all transportation workers and operation of enrollment centers.,Key Deliverable,2012-04-01,2012-09-30,11.7,11.7,In-progress,1,07/30/2012,160,182 days,,0 days
31,TWIC Reader Rule,Support the development of the TWIC Reader Rule in compliance with the SAFE  Port Act of 2006,Usable Functionality,2011-10-01,2012-12-31,0.6,0.6,In-progress,1,07/30/2012,161,457 days,,0 days
31,Qualified Technology List,Develop the Qualified Technology List (QTL) Program using National Laboratories to qualify readers that meet the TWIC specification.,Usable Functionality,2011-10-01,2012-12-31,0.6,0.6,In-progress,1,07/30/2012,162,457 days,,0 days
32,"Blk 2.0 Phase 2, Deployment 5 (Carryover)",Remaining Deployments to Federal Department/Agency Trusted Internet Connection Access Providers of the Intrusion Detection (EINSTEIN 2) Capability,Key Deliverable,2011-07-01,2012-06-30,0.77,0.77,Completed - Closed,1,07/24/2012,163,183 days,365 days,0 days
33,Blk 2.1 Integration & Test,Integration & Testing to implement System Analytics Capabilities; a Systems Information and Event Management Capability,Key Deliverable,2011-07-01,2011-12-13,2.19,2.19,Completed - Closed,1,07/24/2012,164,152 days,165 days,0 days
33,Blk 2.1 Implementation & Training,Implementation and Training for System Analytics Capabilities; finalize the Systems Information and Event Management Capability,Key Deliverable,2011-07-01,2011-11-30,0.39,0.39,Completed - Closed,1,07/24/2012,165,152 days,152 days,0 days
35,Blk 3.0 Development B,Development to implement System Intrusion Prevention (EINSTEIN 3) Capabilities,Key Deliverable,2012-01-01,2012-05-31,53.25,53.25,Completed - Closed,1,07/24/2012,170,151 days,151 days,0 days
35,Blk 3.0 Deployment B,Deployment for System Intrusion Prevention (EINSTEIN 3) Capabilities,Key Deliverable,2012-01-01,2012-06-30,5.82,5.82,Completed - Closed,1,07/24/2012,172,181 days,181 days,0 days
36,NCPS Maintenance FY11 Q4,"Apply NCPS hardware/software system upgrades and maintenance agreements, standard technical refresh, and security patch implementation to existing NCPS equipment deployed prior to Q4 FY11",Usable Functionality,2011-07-01,2011-09-30,20.48,20.48,Completed - Closed,1,07/24/2012,180,91 days,91 days,0 days
36,NCPS Maintenance FY12 Q3 & Q4,"Apply NCPS hardware/software system upgrades and maintenance agreements, standard technical refresh, and security patch implementation to existing NCPS equipment deployed prior to Q3 FY12",Usable Functionality,2012-04-01,2012-09-30,62.34,62.34,In-progress,1,07/24/2012,182,182 days,,0 days
38,Complete Phase 1 of FY12 Client Refresh,"Upgrade 1,750 user client desktops and/or laptops",Key Deliverable,2011-10-01,2012-01-13,1.75,1.799,Completed - Closed,1,07/24/2012,195,91 days,162 days,-58 days
38,Complete Phase 2 of FY12 Client Refresh,"Upgrade 1,750 user client desktops and/or laptops",Key Deliverable,2012-01-01,2012-03-31,1.75,1.75,Completed - Closed,1,07/24/2012,196,90 days,78 days,12 days
38,Complete Phase 3 of FY12 Client Refresh,"Upgrade 1,750 user client desktops and/or laptops",Key Deliverable,2012-04-01,2012-06-30,1.75,1.75,Completed - Closed,1,07/24/2012,197,90 days,26 days,0 days
38,Complete Phase 4 of FY12 Client Refresh,Upgrade 150 user client desktops and/or laptops,Key Deliverable,2012-07-01,2012-09-30,0.15,0.15,Completed - Closed,1,07/24/2012,198,91 days,26 days,-91 days
39,Modernize ADEX Application,Provides for a modernized electronic messaging platform for ICE,Usable Functionality,2011-07-01,2012-12-30,1.562,1.562,In-progress,1,07/24/2012,200,548 days,,0 days
40,Upgrade Endpoint Security with McAfee ePO,"Enable Device and Port Control on 25,000 end points and provide anti-virus and end point security services for all ICE desktops and servers",Key Deliverable,2011-08-01,2012-06-29,1.744,1.744,In-progress,1,07/24/2012,202,121 days,,0 days
40,OneNet Optimization,Cutover 250 sites to the new design,Key Deliverable,2011-10-01,2012-08-10,0.55,0.55,In-progress,1,07/24/2012,204,182 days,,-30 days
41,Single Sign-On (SSO) Phase II,Enable 5 non-Kerberos applications with single sign-on capability,Key Deliverable,2011-10-01,2011-10-03,1.755,1.755,Completed - Closed,1,07/24/2012,206,182 days,124 days,-122 days
42,Install VTC for Secure Communities,Install VTC capability to 121 Secure Communities offices,Key Deliverable,2011-01-03,2011-09-08,2.0,2.0,Completed - Closed,1,07/24/2012,208,332 days,191 days,57 days
42,Install VTC for HSI,Install VTC capability to 181 HSI Sites,Key Deliverable,2011-09-01,2012-05-31,2.5,2.5,In-progress,1,07/24/2012,209,181 days,,30 days
43,Complete Core Case Management Requirements Validation,Gather and validate stakeholder requirements for Core Case Management. Conduct System Definition Review for Core Case Management requirements.,Key Deliverable,2011-07-31,2011-09-19,0.134,0.134,Completed - Closed,1,08/19/2012,211,50 days,50 days,0 days
43,Complete ADE 2B,Verify that the program has identified and developed a comprehensive testing strategy. Identify thresholds that allow quantitative measurements against which effectiveness and suitability parameters can provide a definitive value of a system against the department's operational mission needs. - Test and Evaluation Master Plan (TEMP),Key Deliverable,2011-07-31,2011-09-06,0.248,0.248,Completed - Closed,1,08/19/2012,212,51 days,37 days,0 days
43,Target High Level and Release 1.0 Program Baseline,"Confirm program release scope, release structure, and cost based on the awarded Software Design/Development solution through IBR.",Key Deliverable,2011-09-20,2011-12-27,1.577,0.81,Completed - Closed,1,08/19/2012,214,102 days,91 days,7 days
43,Design,"Program will begin system design activities for Release 1.0 and plan on  conducting a Preliminary Design Review (PDR) and Critical Design Review (CDR). The Project Execution Data tab will be updated after the program has been baseline.   Completion Date Planned and Completion Date Projected, and costs (Planned and Projected) are only notional. PDR, CDR",Key Deliverable,2011-12-20,2012-03-20,3.293,3.293,Completed - Closed,1,08/19/2012,216,91 days,92 days,-1 days
43,Development,"Program will begin system development activities for Release 1.0 and plan on  conducting a Test Readiness Review (TRR). The Project Execution Data tab will be updated after the program has been baseline.   Completion Date Planned and Completion Date Projected, and costs (Planned and Projected) are only notional. PDR, CDR",Key Deliverable,2012-03-21,2012-07-20,10.574,10.574,In-progress,1,08/19/2012,217,121 days,,0 days
43,Testing and Integration,"Program will begin system test and integration activities for Release 1.0 and plan on  conducting a Production Readiness Review (PRR) and Operational Test Readiness Review (OTRR). The Project Execution Data tab will be updated after the program has been baseline.   Completion Date Planned and Completion Date Projected, and costs (Planned and Projected) are only notional. PRR OTRR",Key Deliverable,2012-07-21,2012-10-31,5.727,5.727,In-progress,1,08/19/2012,218,102 days,,-1 days
44,user interface and backend enhancements,"ATS-P user interface and backend enhancements in support of OIIL, NTC, Coast Guard, TSA",Key Deliverable,2011-09-25,2011-11-19,3.947,3.947,Completed - Closed,1,07/24/2012,219,55 days,55 days,0 days
47,functionality modifications,ATS-N functionality modifications resulting from mission changes,Usable Functionality,2011-09-11,2011-12-10,8.88,8.88,Completed - Closed,1,07/24/2012,222,90 days,90 days,0 days
50,Release 1: Test,"Testing for Release 1 which includes LEISS 1.9, RelRes 4.2, and LEXS 3.1 for internal DPICS SUI use only.",Key Deliverable,2011-08-29,2012-01-23,0.176,0.675,Completed - Closed,1,06/20/2012,226,68 days,147 days,0 days
50,Release 1: Implementation,"Implementation for Release 1 which includes LEISS 1.9, RelRes 4.2, and LEXS 3.1 for internal DPICS SUI use only.",Usable Functionality,2011-11-06,2012-01-30,0.091,0.17,Completed - Closed,1,06/20/2012,227,13 days,6 days,79 days
50,Release 3: Development,Develop and upgrade User Interface to search and display. The functionalities include the addition of Non Personnel Subject data (vehicles and orgs).,Key Deliverable,2011-10-11,2012-03-30,0.308,0.0,Completed - Closed,1,06/20/2012,229,112 days,0 days,171 days
50,Release 3: Test,Testing for the upgrade of User Interface to search and display. The functionalities include the addition of Non Personnel Subject data (vehicles and orgs).,Key Deliverable,2012-02-01,2012-03-30,0.203,0.0,Completed - Closed,1,06/20/2012,230,73 days,0 days,58 days
50,Release 3: Implementation,Implementation for the upgrade of User Interface to search and display. The functionalities include the addition of Non Personnel Subject data (vehicles and orgs).,Usable Functionality,2012-04-15,2012-03-30,0.104,0.0,Completed - Closed,1,06/20/2012,231,14 days,0 days,-16 days
51,Release 1: Test,"Testing for Release 1 which includes LEISS 1.9, RelRes 4.2, and LEXS 3.1 for the LEIS Service.",Key Deliverable,2011-08-29,2012-01-23,0.004,0.11,Completed - Closed,1,06/20/2012,233,68 days,147 days,0 days
51,Release 1: Implementation,"Implementation for Release 1 which includes LEISS 1.9, RelRes 4.2, and LEXS 3.1 for the LEIS Service.",Usable Functionality,2011-11-06,2012-01-30,0.002,0.01,Completed - Closed,1,06/20/2012,234,13 days,6 days,79 days
51,Release 2: Development,Development for Release 2. Release 2 will include the same features as Release 1. Release 2 will service the externals on LEXS 2.0 that use RELRES 4.2.,Key Deliverable,2011-09-27,2011-10-31,0.122,0.122,Completed - Closed,1,06/20/2012,236,34 days,34 days,0 days
51,Release 2: Test,Testing and implementation for Release 2. Release 2 will include the same features as Release 1. Release 2 will service the externals on LEXS 2.0 that use RELRES 4.2.,Key Deliverable,2011-11-01,2012-01-23,0.013,0.065,Completed - Closed,1,06/20/2012,237,31 days,7 days,76 days
51,Release 2: Implementation,Implementation for Release 2. Release 2 will include the same features as Release 1. Release 2 will service the externals on LEXS 2.0 that use RELRES 4.2.,Usable Functionality,2011-12-03,2012-01-30,0.006,0.025,Completed - Closed,1,06/20/2012,238,13 days,6 days,52 days
51,Release 3: Development,Develop and upgrade User Interface to search and display. The functionalities include the addition of Non Personnel Subject data (vehicles and orgs).,Key Deliverable,2011-10-11,2012-03-30,0.11,0.0,Completed - Closed,1,06/20/2012,240,46 days,0 days,171 days
51,Release 3: Development Integration Testing,"Development Integration Testing for Release 3 which includes RELRES 4.2, LEISS 2.0.",Key Deliverable,2011-11-28,2012-03-30,0.065,0.0,Completed - Closed,1,06/20/2012,241,64 days,0 days,123 days
