Project_ID,Activity_Name,Description,Output_type,Start_Date_Planned,Completion Date Projected,Planned_Costs,Total Costs Projected,Total Costs Actual,Status,No_Child_Activity,Date of Last Update,ID,Planned_Duration,Actual_duration,Actual_start_delay
2003,289742: Design for Release 6.02,Design for Release 6.02,Key Deliverable,2012-03-26,2012-06-20,0.2,0.109,,Completed - Costs Pending,1,07/23/2012,8059,86 days,86 days,0 days
2003,"289742: Development, Test and Deployment for Release 6.02","Development, Test and Deployment for Release 6.02",Usable Functionality,2012-06-21,2012-12-14,0.744,0.56,,In-progress,1,07/23/2012,8060,176 days,,0 days
2004,283123: Administration and Operational Management Breakout,"Covers the administration tasks for the redesign project: Includes Kick Off Meeting, Project Plan, Project Meetings, Progress Reports, and Summary Reports.",Key Deliverable,2011-06-07,2011-11-20,0.465,0.428,0.428,Completed - Closed,1,07/23/2012,8062,166 days,167 days,0 days
2004,283123: Administration and Operations Management Continue,"Manages the administration aspects of the project. Includes kickoff meeting, project plan development, management, and maintenance, and the annual summary report.",Key Deliverable,2011-12-01,2012-08-30,0.56,0.484,,In-progress,1,07/23/2012,8063,188 days,,-10 days
2004,283123: Update Strategic Plan,Develop a Strategic Plan to serve both as a vision and an evaluation tool to assess how Redesign activities are moving the BioSense Program ,Key Deliverable,2011-06-07,2011-12-05,0.016,0.018,0.018,Completed - Closed,1,07/23/2012,8065,181 days,181 days,0 days
2004,283123: Update Risk Management Plan,Identify risks for the BioSense Program and Redesign project. Ensure Risk Management Plan is aligned with the Strategic Plan. ,Key Deliverable,2011-06-07,2011-12-05,0.039,0.042,0.042,Completed - Closed,1,07/23/2012,8066,181 days,181 days,0 days
2004,283123: Identifiy Communication Needs,Educate key audiences on the utility and value of nationwide and regional situation awareness for all-hazards health-related events to broaden the base of support for the BioSense Program.,Key Deliverable,2011-06-07,2011-12-05,0.031,0.034,0.034,Completed - Closed,1,07/23/2012,8067,181 days,181 days,0 days
2004,283123: Communication and Information Dissemination,"Provide communications support in the form of materials development to assist professional organizations in recruitment, establishing data feeds, and education.",Key Deliverable,2011-06-07,2011-12-05,0.043,0.046,0.046,Completed - Closed,1,07/23/2012,8068,181 days,181 days,0 days
2004,283123: Challenge Grants,Prepare and administer one round of challenge grants to stakeholders.,Key Deliverable,2011-06-07,2011-12-05,0.035,0.037,0.037,Completed - Closed,1,07/23/2012,8069,181 days,181 days,0 days
2004,283123: Communication and Design Completion,"Communication, Management and control of the redesign. Includes Strategic Plan Update, Communications Plan, Risk Management Plan, and Challenge Grants.",Key Deliverable,2011-12-06,2012-08-30,0.405,0.488,,In-progress,1,07/23/2012,8070,183 days,,1 days
2004,283123: Gather Requirements (Environmental Scan),"Examine the emerging state of syndromic surveillance systems in U.S. jurisdictions, including technology, policy, workforce capacity, funding, data issues, IT infrastructure, and other topics. ",Key Deliverable,2011-06-07,2011-11-21,0.097,0.087,0.087,Completed - Closed,1,07/23/2012,8072,167 days,167 days,0 days
2004,283123: Gather Requirements (End Users),Primarily gather requirements for supporting TA as stakeholders are transitioned into the new BioSense environment (preparing for the BioSense launch). ,Key Deliverable,2011-06-07,2011-11-21,0.101,0.09,0.09,Completed - Closed,1,07/23/2012,8073,167 days,167 days,0 days
2004,283123: Technical Expert Panel,The TEP will provide additional insight and guidance to the project team and help ensure appropriate interfaces with external projects and stakeholders.,Key Deliverable,2011-06-07,2011-11-21,0.073,0.065,0.065,Completed - Closed,1,07/23/2012,8074,167 days,167 days,0 days
2004,283123: Provide Technical Assistance to End Users,"Use the redesigned BioSense application to address surveillance challenges and barriers,  develop innovative uses of the BioSense application, and share promising and best practices for using the BioSense application for enhanced public health surveillance.",Key Deliverable,2011-06-07,2011-11-21,0.076,0.068,0.068,Completed - Closed,1,07/23/2012,8075,167 days,167 days,0 days
2004,283123: Collection of Requirements Continue,"Focuses on the activities and deliverables for gathering requirements and assessing best practices for surveillance. Includes Environment Scan, TEP Recommendations, and Technical Assistance.",Key Deliverable,2011-11-22,2012-08-30,0.391,0.585,,In-progress,1,07/23/2012,8076,197 days,,0 days
2004,283123: Design Specifications,Identify the information needs of current and potential BioSense users. Integrate knowledge of the user population into the design of the BioSense application by effectively translating user requirements into concrete specifications for the creation and enhancements of design concepts.,Key Deliverable,2011-06-07,2011-11-30,0.149,0.074,0.074,Completed - Closed,1,07/23/2012,8078,176 days,176 days,0 days
2004,283123: Program Design Specification and Concept Development, Build out BioSense application prototype: implement and test features per Base Year wireframes.,Key Deliverable,2011-06-07,2011-11-30,0.163,0.081,0.081,Completed - Closed,1,07/23/2012,8079,176 days,176 days,0 days
2004,283123: Usability Testing and Evaluation,"Assure that the BioSense application is developed in accordance with users' expectations, workflows, and information needs. Identify usability challenges in the prototypes.",Key Deliverable,2011-06-07,2011-11-30,0.149,0.074,0.074,Completed - Closed,1,07/23/2012,8080,176 days,176 days,0 days
2004,283123: Collaboration Website,Upgrade the Collaboration Site to match the evolving needs of the BioSense Redesign.,Key Deliverable,2011-06-07,2011-11-30,0.156,0.078,0.078,Completed - Closed,1,07/23/2012,8081,176 days,176 days,0 days
2004,283123: System Documentation,"Identify the types of documents and the level of documentation required in order to capture and express the BioSense design in a useful, ",Key Deliverable,2011-06-07,2011-11-30,0.092,0.046,0.046,Completed - Closed,1,07/23/2012,8082,176 days,176 days,0 days
2004,283123: Development and Evaluation of Design Continue,"Determine design specifications and information needs of BioSense users. Includes Design Specifications, Wireframes, Prototype.",Key Deliverable,2011-12-01,2012-08-30,0.976,1.265,,In-progress,1,07/23/2012,8083,188 days,,0 days
2004,283123: Subcontract Management,Management and Administraton of Subcontracts,Key Deliverable,2011-06-07,2011-11-30,0.597,0.353,0.353,Completed - Closed,1,07/23/2012,8085,176 days,176 days,0 days
2004,283123: Subcontract Continue,Handles the administration of subcontracts,Key Deliverable,2011-12-01,2012-08-30,0.92,1.229,,In-progress,1,07/23/2012,8086,188 days,,0 days
2004,283123: BioSense Redesign Base Yr 1,"Conduct environmental scans to determine requirements. Set up collaboration website for partners, associations, health departments, and users. Develop the strategic plan.",Key Deliverable,2010-06-07,2011-06-06,2.67,3.005,3.005,Completed - Closed,1,07/23/2012,8088,364 days,364 days,0 days
2005,282142: Core Data Release - Structure in 3.x Architecture,Transition of core data structure for each data source to the Common Data Store 3.x architecture,Usable Functionality,2010-12-21,2011-07-22,0.848,0.848,0.848,Completed - Closed,1,07/26/2012,8091,213 days,213 days,0 days
2005,282142: Core Data Release - validation results,Implementation of annotation data for validation results from data operations processing,Usable Functionality,2011-05-09,2011-09-21,0.148,0.164,0.164,Completed - Closed,1,07/26/2012,8092,135 days,189 days,0 days
2005,282142: Core Data Release - Change requests 82-85,Implementation of changes requests for user acceptance testing (UAT) issues identified for 2.1 and 2.2,Usable Functionality,2011-10-04,2011-12-05,0.148,0.148,0.148,Completed - Closed,1,07/26/2012,8093,199 days,63 days,-8 days
2005,282142: Core Data Release - legacy data load,"Load legacy data from HL7, NBS Master Message, and NETSS legacy records for finalized and provisional data",Usable Functionality,2012-01-09,2012-02-06,0.184,0.177,,In-progress,1,07/26/2012,8094,214 days,,-61 days
2005,282142: Core Data Release - future activity ,Plans are not that far out at this time,Usable Functionality,2012-08-11,2013-11-09,1.072,1.418,,In-progress,1,07/26/2012,8095,455 days,,-234 days
2006,282483: NBS v4.2.1 Minor Release,Implement identified updates during 4.2 Alpha testing (ID: A),Key Deliverable,2011-08-15,2011-12-01,0.12,0.01,0.01,Completed - Closed,1,07/26/2012,8097,108 days,84 days,0 days
2006,282483: NBS v4.2.1 Minor Release ELR,Enhance Electronic Laboratory Reporting (ELR) Workflow (ID: B),Key Deliverable,2011-08-15,2011-12-01,0.3,0.025,0.025,Completed - Closed,1,07/26/2012,8098,108 days,84 days,0 days
2006,282483: NBS v4.3 Release,Enhance Electronic Public Health Case Reporting (PHCR) Workflow (ID: C),Key Deliverable,2011-12-02,2012-02-04,0.138,0.354,0.354,Completed - Closed,1,07/26/2012,8100,151 days,123 days,-63 days
2006,282483: NBS v4.3 Release Enhance ELR,Enhance decision support for ELR and PHCR (ID: D),Usable Functionality,2011-12-02,2012-02-04,0.036,0.092,0.092,Completed - Closed,1,07/26/2012,8101,151 days,140 days,-64 days
2006,282483: NBS v4.3 Release Revamp ELR,Revamp Electronic Laboratory Reporting (ELR) Workflow (ID: E),Key Deliverable,2011-12-02,2012-02-04,0.054,0.139,0.139,Completed - Closed,1,07/26/2012,8102,151 days,140 days,-64 days
2010,283432: NSAR 6.0 - Initiation & Concept (EPLC Phases),"EPLC Initiation Phase: Coordinated with partners, documented needs of the business, determined project ROM cost and schedule, and developed the Business Needs Statement (BNS).  Governance Activities: Obtained approval on NSAR 6.0 Business Needs Statement from CDC Governance.  EPLC Concept Phase: Continued coordinating with partners on needs of the business, further refined project cost and schedule estimates, identified and validated opportunities to improve business and project processes. Correct deficiencies related to business needs, identified significant assumptions, constraints, risks, conducted a gap analysis, and continued to refine business requirements. In the Concept Phase, the Project Process Agreement, Project Charter, and Preliminary Project Management Plan were developed. In the Concept Phase, sufficient requirements detail was developed.  Governance Activities: Obtained Project Charter, Project Process Agreement, and Preliminary Project Management Plan Approval from CDC Governance.",Key Deliverable,2011-04-01,2011-05-31,0.065,0.065,0.065,Completed - Closed,1,07/23/2012,8120,242 days,242 days,0 days
2010,283432: NSAR 6.0 - EPLC Planning Phase,"EPLC Planning Phase: Scope of NSAR 6.0 is broken down into specific tasks and sub-tasks, including the identification of project deliverables and assignment of allocated resources to each task.   The project team developed supporting management plans for ongoing project execution and control.  The Project Management Plan (PMP) is produced with supporting management plans. Also developed are the Work Breakdown Structure (WBS or a hierarchical Work Breakdown Structure that represents project scope and project deliverables), Organizational Breakdown Structure (OBS), Project Schedule (Baseline schedule represents a decomposition of the NSAR 6.0 Project WBS into sequenced tasks and activities) and Performance Measurement Baseline (PMB).  Governance Activities:  Obtain Approval for NSAR 6.0 PMP, Project Schedule, and PMB from CDC Governance.",Key Deliverable,2011-05-13,2012-01-20,0.218,0.218,0.218,Completed - Closed,1,07/23/2012,8121,252 days,251 days,0 days
2010,283432: NSAR 6.0 - EPLC Requirements & Analysis: Requirements Development  Phase,"EPLC Requirements & Analysis Phase. Requirements documented in the Business Needs Statement are further revalidated, analyzed and decomposed into high-level system (functional and non-functional) requirements that define the NSAR application in more detail. ",Key Deliverable,2011-04-08,2011-09-27,0.026,0.026,0.026,Completed - Closed,1,07/23/2012,8122,172 days,172 days,0 days
2010,283432: NSAR 6.0 - EPLC Requirements & Analysis: Requirements Analysis ,Requirements are further refined to develop the Systems Requirements Specification (SRS) document and the Requirements Traceability Matrix (RTM).  Governance Activities: Obtain Requirements Document and Requirements Traceability Matrix Approval from CDC Governance.,Key Deliverable,2011-09-28,2012-02-24,0.144,0.139,0.139,Completed - Closed,1,07/23/2012,8123,149 days,148 days,0 days
2010,283432: NSAR 6.0 - EPLC Design Phase,EPLC Design Phase: Establish a configuration plan for the COTS products that addresses all requirements defined by the Requirements Traceability Matrix. The Design phase produces the Detailed Design Document (DDD) and COTS Installation and Configuration Documents.  Governance Activities: Obtain Detail Design Document Approval from CDC Governance.,Key Deliverable,2011-08-01,2012-05-11,0.096,0.181,0.181,Completed - Closed,1,07/23/2012,8124,274 days,310 days,0 days
2012,284252: Complete VTrckS Release 2.0 Requirements Analysis,"High Level and detailed Requirements, Analysis, Review, and Approval. Determine that requirements are complete, accurate, consistent, and problem -free and Requirements Document is baselined. Complete HHS Enterprise Performance Life Cycle (EPLC) Requirements Stage Gate Review",Key Deliverable,2011-06-13,2011-10-31,1.37,1.112,1.112,Completed - Closed,1,07/23/2012,8130,140 days,144 days,0 days
2012,284252: Complete VTrckS Release 2.0 Design Phase ,Develop high level and detailed design for Release 2.0 optimizations and enhancements. Complete HHS  HHS Enterprise Performance Life Cycle (EPLC) Preliminary Design Stage Gate Review,Key Deliverable,2011-09-01,2011-11-18,0.617,0.811,0.811,Completed - Closed,1,07/23/2012,8131,78 days,78 days,0 days
2012,284252: Complete Release 2.0 Development and Testing Phases,"Develop Release 2.0 functionalities  and perform unit, integration, regression and user acceptance testing.  Complete HHS EPLC Validation Readiness and Implementation Readiness Stage Gate Reviews",Key Deliverable,2011-09-01,2012-01-31,3.037,2.842,2.842,Completed - Closed,1,07/23/2012,8133,152 days,144 days,0 days
2012,284252: VTrckS Release 2.0 Go-Live Final Prep and Security Certification,Complete application security scans and receive Authority to Operate (ATO). Conduct master data conversion tasks. Analyze and prepare production environment for Release 2.0. Complete  HHS Enterprise Performance Life Cycle (EPLC) Operational Readiness Stage Gate Review.,Key Deliverable,2012-01-13,2012-02-10,0.357,0.453,0.453,Completed - Closed,1,07/23/2012,8134,28 days,35 days,0 days
2012,284252: VTrckS Release 2.0 Go-Live and Support,Release 2.0 Cutover preparation and execution. Controlled start-up with post implementation support and training for Release 2.0 functionalities,Usable Functionality,2012-02-01,2012-03-31,0.669,0.696,0.696,Completed - Closed,1,07/23/2012,8135,59 days,59 days,0 days
2013,285181: Spend Plan Module Rollout Preparation,Prepare VTrckS solution for the Spend Plan module rollout and work with grantees for data transition from the legacy system Vaccine Ordering Forecast Application(VOFA),Key Deliverable,2012-03-01,2012-04-30,0.168,0.168,0.168,Completed - Closed,1,07/23/2012,8138,60 days,57 days,0 days
2013,285181: Spend Plan Module Rollout to remaining non-pilot grantee,Rollout of the Spend Plan Module to the remaining non-pilot grantees,Usable Functionality,2012-04-02,2012-09-30,1.933,0.871,,In-progress,1,07/23/2012,8139,181 days,,0 days
2013,285181: VTrckS Vaccine Ordering/Management Modules Rollout - Cohort 1,VTrckS Functionality Rollout to non-pilot Grantees Cohort 1,Usable Functionality,2012-04-02,2012-09-28,3.313,2.013,,In-progress,1,07/23/2012,8141,179 days,,0 days
2014,282597: Phase 1 Iteration,Phase 1 Iteration (ER Feb 2011),Usable Functionality,2010-09-09,2011-02-25,0.48,0.498,0.498,Completed - Closed,1,02/27/2012,8146,169 days,175 days,-6 days
2014,282597: Phase 2 Iteration,Phase 2 Iteration (ER Apr 2011),Usable Functionality,2010-11-17,2011-04-22,0.121,0.144,0.144,Completed - Closed,1,02/27/2012,8147,156 days,158 days,-2 days
2014,282597: Phase 3 Iteration,Phase 3 Iteration (ER Jul 2011),Usable Functionality,2011-01-31,2011-07-25,0.209,0.207,0.207,Completed - Closed,1,02/27/2012,8148,175 days,179 days,-4 days
2014,282597: Phase 4 Iteration,Phase 4 Iteration (ER Oct 2011),Usable Functionality,2011-04-21,2011-10-28,0.231,0.232,0.232,Completed - Closed,1,02/27/2012,8149,190 days,190 days,0 days
2014,282597: Phase 5 Iteration,Phase 5 Iteration (ER Jan 2012),Usable Functionality,2011-07-31,2012-01-27,0.134,0.136,0.136,Completed - Closed,1,02/27/2012,8150,180 days,182 days,-2 days
2014,282597: Phase 6 Iteration,Phase 6 Iteration (ER Apr 2012),Usable Functionality,2011-10-21,2012-04-27,0.208,0.207,,In-progress,1,02/27/2012,8151,189 days,,3 days
2015,282741: Phase 1 Iteration,Phase 1 Iteration (ER Oct 2011),Usable Functionality,2011-04-24,2011-10-28,0.077,0.075,0.075,Completed - Closed,1,02/27/2012,8155,187 days,186 days,1 days
2015,282741: Phase 2 Iteration,Phase 2 Iteration (ER Jan 2012 ),Usable Functionality,2011-09-01,2012-01-27,0.238,0.238,0.238,Completed - Closed,1,02/27/2012,8156,148 days,147 days,1 days
2015,282741: Phase 3 Iteration,Phase 3 Iteration (ER Apr 2012),Usable Functionality,2011-11-01,2012-04-27,0.035,0.031,,In-progress,1,02/27/2012,8157,178 days,,-1 days
2016,283086: Phase 1 Iteration,Phase 1 Iteration (ER Oct 2010),Usable Functionality,2010-06-02,2010-10-22,0.119,0.209,0.209,Completed - Closed,1,02/27/2012,8160,142 days,168 days,-1 days
2016,283086: Phase 2 Iteration,Phase 2 Iteration (ER Feb 2011),Usable Functionality,2010-10-28,2011-02-25,0.345,0.32,0.32,Completed - Closed,1,02/27/2012,8161,120 days,92 days,0 days
2016,283086: Phase 3 Iteration,Phase 3 Iteration (ER May 2011),Usable Functionality,2010-12-17,2011-05-13,0.565,0.438,0.438,Completed - Closed,1,02/27/2012,8162,147 days,155 days,3 days
2016,283086: Phase 4 Iteration,Phase 4 Iteration (ER July 2011),Usable Functionality,2011-04-10,2011-07-25,0.156,0.157,0.157,Completed - Closed,1,02/27/2012,8163,106 days,98 days,1 days
2016,283086: Phase 5 Iteration,Phase 5 Iteration (ER Oct 2011),Usable Functionality,2011-07-08,2011-10-28,0.075,0.074,0.074,Completed - Closed,1,02/27/2012,8164,112 days,115 days,-3 days
2016,283086: Phase 6 Iteration,Phase 6 Iteration (ER Jan 2012),Usable Functionality,2011-10-08,2012-01-27,0.374,0.504,0.504,Completed - Closed,1,02/27/2012,8165,111 days,112 days,-1 days
2016,283086: Phase 7 Iteration,Phase 7 Iteration (ER Apr 2012),Usable Functionality,2011-10-29,2012-04-27,0.565,0.567,,In-progress,1,02/27/2012,8166,181 days,,2 days
2017,283087: Phase 1 Iteration,Phase 1 Iteration (ER Apr 2011),Usable Functionality,2010-11-08,2011-04-22,0.005,0.005,0.005,Completed - Closed,1,02/27/2012,8171,165 days,161 days,4 days
2017,283087: Phase 2 Iteration,Phase 2 Iteration (ER Jul 2011),Usable Functionality,2011-04-06,2011-07-25,0.055,0.055,0.055,Completed - Closed,1,02/27/2012,8172,110 days,105 days,5 days
2017,283087: Phase 3 Iteration,Phase 3 Iteration (ER Jan 2012),Usable Functionality,2011-07-21,2012-01-27,0.06,0.061,0.061,Completed - Closed,1,02/27/2012,8173,190 days,214 days,-24 days
2017,283087: Phase 4 Iteration,Phase 4 Iteration (ER Apr 2012),Usable Functionality,2012-01-02,2012-04-27,0.082,0.102,,In-progress,1,02/27/2012,8174,116 days,,0 days
2018,283088: Phase 1 Iteration,Phase 1 Iteration (ER Oct 2011),Usable Functionality,2011-07-25,2011-10-28,0.031,0.03,0.03,Completed - Closed,1,02/27/2012,8181,95 days,91 days,4 days
2018,283088: Phase 2 Iteration,Phase 2 Iteration (ER Jan 2012),Usable Functionality,2011-09-15,2012-01-27,0.153,0.146,0.146,Completed - Closed,1,02/27/2012,8182,134 days,137 days,-3 days
2018,283088: Phase 3 Iteration,Phase 3 Iteration (ER Apr 2012),Usable Functionality,2012-01-02,2012-04-27,0.096,0.144,,In-progress,1,02/27/2012,8183,116 days,,0 days
2019,283101: Phase 1 Iteration,Phase 1 Iteration (ER Oct 2011),Usable Functionality,2011-10-01,2011-10-27,0.18,0.179,0.179,Completed - Closed,1,02/27/2012,8190,26 days,25 days,2 days
2019,283101: Phase 2 Iteration,Phase 2 Iteration (ER Apr 2012),Usable Functionality,2011-11-23,2012-04-27,0.4,0.39,,In-progress,1,02/27/2012,8191,156 days,,5 days
2020,285382: Phase 1 Iteration,Phase 1 Iteration (ER Jan 2012),Usable Functionality,2011-07-21,2012-01-27,0.103,0.096,0.096,Completed - Closed,1,02/27/2012,8198,190 days,186 days,4 days
2020,285382: Phase 2 Iteration,Phase 2 Iteration (ER Apr 2012),Usable Functionality,2012-01-02,2012-04-27,0.423,0.42,,In-progress,1,02/27/2012,8199,116 days,,0 days
2021,289812: Non-discretionary Block grant processing Improvements,,Key Deliverable,2011-10-01,2011-12-31,0.052,0.048,0.048,Completed - Closed,1,07/23/2012,8203,91 days,81 days,-4 days
2021,289812: Non-discretionary Entitlement grant processing Improvements,,Usable Functionality,2011-10-01,2011-12-31,0.079,0.064,0.064,Completed - Closed,1,07/23/2012,8205,91 days,81 days,-4 days
2021,289812: Non-discretionary Accounting web service,,Usable Functionality,2011-10-01,2011-12-31,0.079,0.08,0.08,Completed - Closed,1,07/23/2012,8206,91 days,81 days,-4 days
2021,289812: Non-discretionary Grant Award web service,,Usable Functionality,2011-10-01,2011-12-31,0.071,0.073,0.073,Completed - Closed,1,07/23/2012,8207,91 days,81 days,-4 days
2021,289812: Non-discretionary Entitlement grant processing Improvements (Phase 2),,Key Deliverable,2012-01-01,2012-03-31,0.315,0.309,0.309,Completed - Closed,1,07/23/2012,8208,90 days,88 days,1 days
2021,289812: Non-discretionary Entitlement grant processing Improvements (Phase 3),,Key Deliverable,2012-04-01,2012-06-30,0.315,0.312,0.312,Completed - Closed,1,07/23/2012,8209,90 days,94 days,-5 days
2022,286250: Integration Testing,,Usable Functionality,2011-07-27,2011-11-18,0.55,0.53,0.53,Completed - Closed,1,07/26/2012,8217,114 days,115 days,0 days
2022,286250: Documentation,,Key Deliverable,2011-11-01,2011-11-18,0.25,0.25,0.25,Completed - Closed,1,07/26/2012,8218,17 days,18 days,0 days
2022,286250: Production Deployment Preparations,,Key Deliverable,2011-11-21,2011-12-31,0.2,0.2,0.2,Completed - Closed,1,07/26/2012,8219,40 days,27 days,0 days
2023,286461: Requirements Analysis,,Key Deliverable,2011-08-16,2011-12-14,0.125,0.131,,In-progress,1,07/26/2012,8221,120 days,,0 days
2023,286461: Project Development,,Usable Functionality,2011-12-15,2012-06-15,0.225,0.314,,In-progress,1,07/26/2012,8223,183 days,,108 days
2024,288991: Requirements Analysis,,Key Deliverable,2011-10-01,2012-02-28,0.4,0.181,,In-progress,1,07/26/2012,8229,150 days,,0 days
2024,288991: Project Development,,Usable Functionality,2012-01-01,2012-06-30,0.7,0.326,,In-progress,1,07/26/2012,8231,181 days,,0 days
2025,283161: Project Management Support,,Usable Functionality,2011-02-01,2012-03-31,4.983,5.327,,In-progress,1,07/23/2012,8238,424 days,,0 days
2025,283161: Development of Reports Group 1,,Key Deliverable,2011-02-01,2011-05-15,1.0,1.1,1.1,Completed - Closed,1,07/23/2012,8240,103 days,103 days,0 days
2025,283161: Development of Reports Group 2,,Key Deliverable,2011-05-16,2011-08-30,1.5,1.39,1.39,Completed - Closed,1,07/23/2012,8241,106 days,106 days,0 days
2025,283161: Development of Reports Group 3,,Key Deliverable,2011-08-31,2011-11-30,1.5,0.852,0.852,Completed - Closed,1,07/23/2012,8242,91 days,156 days,0 days
2025,283161: Development of Reports Group 4,,Key Deliverable,2011-12-01,2012-03-31,1.0,1.631,,In-progress,1,07/23/2012,8243,121 days,,62 days
2025,283161: Development of Interfaces Group 1,,Usable Functionality,2011-02-01,2011-07-22,0.55,0.525,0.525,Completed - Closed,1,07/23/2012,8245,171 days,171 days,0 days
2025,283161: Development of Interfaces Group 2,,Usable Functionality,2011-05-02,2011-09-29,0.6,0.732,0.732,Completed - Closed,1,07/23/2012,8246,150 days,217 days,0 days
2025,283161: Development of Interfaces Group 3,,Usable Functionality,2011-05-02,2011-10-31,0.6,0.64,0.64,Completed - Closed,1,07/23/2012,8247,182 days,333 days,0 days
2025,283161: Development of Interfaces Group 4,,Usable Functionality,2011-05-23,2011-12-30,0.55,0.802,,In-progress,1,07/23/2012,8248,221 days,,0 days
2025,283161: Development of Extensions & Letters Group 1,,Usable Functionality,2011-02-01,2011-08-12,0.7,0.695,0.695,Completed - Closed,1,07/23/2012,8250,192 days,192 days,0 days
2025,283161: Development of Extensions & Letters Group 2,,Usable Functionality,2011-04-25,2011-11-30,0.9,0.775,0.775,Completed - Closed,1,07/23/2012,8251,219 days,219 days,0 days
2025,283161: Development of Extensions & Letters Group 3,,Usable Functionality,2011-08-01,2012-02-29,1.0,1.066,1.066,Completed - Closed,1,07/23/2012,8252,212 days,304 days,0 days
2025,283161: Development of Extensions & Letters Group 4,,Usable Functionality,2011-02-01,2012-02-29,1.1,0.991,,In-progress,1,07/23/2012,8253,393 days,,0 days
2025,283161: Administrative Program Accounting Conversions,,Usable Functionality,2011-08-01,2012-03-31,1.0,0.907,,In-progress,1,07/23/2012,8255,243 days,,0 days
2026,283162: HIGLAS Cost Performance Report and Financial Overview,,Key Deliverable,2011-04-01,2011-04-30,0.5,0.5,0.5,Completed - Closed,1,07/23/2012,8258,29 days,29 days,0 days
2026,283162: HIGLAS Cost Performance Report and Financial Overview,,Key Deliverable,2011-05-01,2011-05-31,0.5,0.5,0.5,Completed - Closed,1,07/23/2012,8259,30 days,30 days,0 days
2026,283162: HIGLAS Cost Performance Report and Financial Overview,,Key Deliverable,2011-06-01,2011-06-30,0.5,0.5,0.5,Completed - Closed,1,07/23/2012,8260,29 days,29 days,0 days
2026,283162: HIGLAS Cost Performance Report and Financial Overview,,Key Deliverable,2011-07-01,2011-07-31,0.5,0.5,0.5,Completed - Closed,1,07/23/2012,8261,30 days,30 days,0 days
2026,283162: HIGLAS Cost Performance Report and Financial Overview,,Key Deliverable,2011-08-01,2011-08-31,0.5,0.5,0.5,Completed - Closed,1,07/23/2012,8262,30 days,30 days,0 days
2026,283162: HIGLAS Cost Performance Report and Financial Overview,,Key Deliverable,2011-09-01,2011-09-30,0.5,0.5,0.5,Completed - Closed,1,07/23/2012,8263,29 days,29 days,0 days
2026,283162: HIGLAS Cost Performance Report and Financial Overview,,Key Deliverable,2011-10-01,2011-10-31,0.5,0.5,0.5,Completed - Closed,1,07/23/2012,8264,30 days,30 days,0 days
2026,283162: HIGLAS Cost Performance Report and Financial Overview,,Key Deliverable,2011-11-01,2011-11-30,0.5,0.5,0.5,Completed - Closed,1,07/23/2012,8265,29 days,29 days,0 days
