"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Agency Baseline Capability","Target 2018 PY","Target 2019 CY","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
184-000000005,12,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Billing and Accounting",2843,USAT,"Average user satisfaction, as reported on anonymous surveys, on a scale of 1 to 5.","Number (1-5)","1 - Customer Satisfaction (Process Results)",3.900000,3.900000,3.900000,"Over target",Semi-Annual,,238729,,3.800000,,2019-02-28,n,2018-09-20,14:14:02
184-000000005,12,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Billing and Accounting",2844,HD,"Percentage of help desk tickets resolved within 24 working hours. (Measured during standard USG working hours, not including tickets waiting on customer response or external third party.)",%,"2 - Strategic and Business Results",,90.000000,90.000000,"Over target",Monthly,,238515,,96.180000,,2019-02-28,n,2018-09-20,14:14:02
184-000000005,12,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Billing and Accounting",2845,UPTIME,"Percentage of planned uptime during which Phoenix is available to users (data reflects cumulative performance for prior 12 months)",%,"2 - Strategic and Business Results",,99.000000,99.000000,"Over target",Monthly,,238516,,99.050000,,2019-02-28,n,2018-09-20,14:14:02
184-000000005,12,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Billing and Accounting",2846,RPTS,"Percentage of days on which current financial reporting data is available, reflecting transactions through the prior day, or more recent. (data reflects cumulative performance for prior 12 months)",%,"2 - Strategic and Business Results",98.000000,98.000000,98.000000,"Over target",Monthly,,238517,,96.500000,,2019-02-28,n,2018-09-20,14:14:02
184-000000005,12,"01 - Major IT","01 - Not Applicable","	184","U.S. Agency for International Development","M/CIO - Billing and Accounting",2847,INCRSP,"Percentage of critical incidents that are responded to within three hours.  (No critical incidents during the measurement period is assessed as 100%)",%,"3 - Financial Performance",100.000000,100.000000,100.000000,"Over target",Quarterly,,236973,,100.000000,,2018-12-31,n,2018-09-20,14:14:02
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",4893,OP0049-4101,"Healthcare Effectiveness Data and Information Set (HEDIS)  Health Quality Index - Preventive Services. Measured by Index Points. Version 2 (Breast Cancer Screening, Cervical Cancer Screening, Well Child Visits).","Number - Index points","2 - Strategic and Business Results",,,,"Over target",Annual,,115003,OP0049-4101-104,12.000000,,2014-09-30,y,2017-11-07,15:50:51
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",4899,OP0049-4104,"AHLTA end user Operational Availability (Ao) = Total Potential Up Time – Total Down Time. Measured by Service.",Percentage,"2 - Strategic and Business Results",,,,"Over target",Monthly,,189021,OP0049-4104-155,98.980000,"Note: Air Force actuals were not available for April 2017 due to reporting issues with TOPAZ.  Result includes feedback from Army, Navy and NCRMD only.",2017-04-30,n,2017-11-07,15:50:51
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",4901,OP0049-4105,"Tier I primary errors seen by users of the AHLTA application measured in number of errors per encounter measured at sites with AHLTA 3.3 SP1.",Ratio,"1 - Customer Satisfaction (Process Results)",,,,"Under target",Quarterly,,114997,OP0049-4105-110,0.162000,,2014-09-30,y,2017-11-07,15:50:51
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",6957,OP0049-411,"Actual Transactions for 25 Second Operational Requirements Document (ORD) criteria 90% of the time, using the measurement methodology in place for the MHS Strategic Plan Measures. (New measure as of November 2012).",Seconds,"2 - Strategic and Business Results",,,,"Under target",Monthly,,189029,OP0049-411-153,9.420000,,2017-04-30,n,2017-11-07,15:50:51
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",7081,OP0049-412,"FY 13 new measurement: Actual Transactions for 2-6 Second Operational Requirements Document (ORD) criteria 90% of the time, using the measurement methodology in place for the MHS Strategic Plan Measures.",Time,"2 - Strategic and Business Results",,,,"Under target",Monthly,,114999,OP0049-412-123,4.500000,"Target Not Met. This change is not perceived by the end user.",2014-09-30,y,2017-11-07,15:50:51
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",9523,OP0049-5001,"Percentage of favorable ratings received in the Virtual Classroom Training survey for AHLTA for the “Overall Class Rating”.",Percentage,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Annual,,189013,OP0049-5001-103,94.000000,,2016-09-30,n,2017-11-07,15:50:51
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",22281,OP0049-5002,"Cost per new signed patient encounter.",Dollar,"3 - Financial Performance",,,,"Under target",Annual,,189034,OP0049-5002-102,2.040000,,2016-09-30,n,2017-11-07,15:50:51
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",24544,OP0049-5003,"Healthcare Effectiveness Data and Information Set (HEDIS) Health Quality Index – Preventive Services. Measured by percentage of total possible index points based on National Committee for Quality Assurance (NCQA) percentiles. Version 3 (Breast Cancer Screening, Cervical Cancer Screening, Colorectal cancer screening).",Percentage,"2 - Strategic and Business Results",,,,"Over target",Annual,,189035,OP0049-5003-101,67.000000,"Not met; each of the 3 cancer measures included were extremely close to meeting the next higher percentile and reaching 87% of possible index points, however incremental scoring is not the usual method of reporting.",2016-09-30,n,2017-11-07,15:50:51
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",26877,OP0049-001,"Healthcare Effectiveness Data and Information Set (HEDIS)  Health Quality Index – Preventive Services. Measured by Index Points. Version 2 (Breast Cancer Screening, Cervical Cancer Screening, Well Child Visits)","Number – Index points","2 - Strategic and Business Results",0.000000,12.000000,,"Over target",Annual,,,,,,,y,2017-11-21,20:36:16
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",26878,OP0049-002,"AHLTA end user Operational Availability (Ao) = Total Potential Up Time – Total Down Time. Measured by Service ",Percentage,"2 - Strategic and Business Results",0.000000,98.800000,98.800000,"Over target",Monthly,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",,,,,,n,2018-10-30,18:32:30
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",26879,OP0049-003,"Tier I primary errors seen by users of the AHLTA application measured in number of errors per encounter measured at sites with AHLTA 3.3 SP1",Ratio,"1 - Customer Satisfaction (Process Results)",0.000000,0.270000,,"Under target",Quarterly,,,,,,,y,2017-11-21,20:36:16
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",26880,OP0049-004,"Actual Transactions for 25 Second Operational Requirements Document (ORD) criteria 90% of the time, using the measurement methodology in place for the MHS Strategic Plan Measures. (New measure as of November 2012)",Seconds,"2 - Strategic and Business Results",0.000000,17.000000,16.000000,"Under target",Monthly,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",,,,,,n,2018-10-30,18:32:30
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",26881,OP0049-005,"FY 13 new measurement: Actual Transactions for 2-6 Second Operational Requirements Document (ORD) criteria 90% of the time, using the measurement methodology in place for the MHS Strategic Plan Measures.",Time,"2 - Strategic and Business Results",0.000000,3.900000,,"Under target",Monthly,,,,,,,y,2017-11-21,20:36:16
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",26882,OP0049-006,"Percentage of favorable ratings received in the Virtual Classroom Training survey for AHLTA for the “Overall Class Rating”.   ",Percentage,"1 - Customer Satisfaction (Process Results)",0.000000,0.000000,80.000000,"Over target",Annual,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",,,,,,n,2019-01-25,19:01:19
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",26883,OP0049-007,"Cost per new signed patient encounter ",Dollar,"3 - Financial Performance",0.000000,0.000000,3.000000,"Under target",Annual,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",,,,,,n,2019-01-25,19:01:19
007-000000049,13,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Armed Forces Health Longitudinal Technology Application",26884,OP0049-008,"Healthcare Effectiveness Data and Information Set (HEDIS) Health Quality Index – Preventive Services. Measured by percentage of total possible index points based on National Committee for Quality Assurance (NCQA) percentiles. Version 3 (Breast Cancer Screening, Cervical Cancer Screening, Colorectal cancer screening)",Percentage,"2 - Strategic and Business Results",0.000000,0.000000,86.000000,"Over target",Annual,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",,,,,,n,2018-10-30,18:32:30
007-000000155,14,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-MARINE CORPS/LOGISTICS CHAIN MANAGEMENT",4905,OP0155-4101,"Order Ship Time (OST).","Time to fulfill product orders in days.","1 - Customer Satisfaction (Process Results)",,,,"Under target",Semi-Annual,,107011,OP0155-4101-102,0.000000,"No longer tracked.",2014-09-15,y,2017-11-07,15:50:51
007-000000155,14,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-MARINE CORPS/LOGISTICS CHAIN MANAGEMENT",4907,OP0155-4102,"Repair Cycle Time (RCT).","Time to fullfill service in days.","1 - Customer Satisfaction (Process Results)",,,,"Under target",Semi-Annual,,107013,OP0155-4102-101,0.000000,"No longer tracked",2014-09-15,y,2017-11-07,15:50:51
007-000000155,14,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-MARINE CORPS/LOGISTICS CHAIN MANAGEMENT",26992,OP0155-4117,"Order Ship Time (OST)","Time to fulfill product orders in days.","1 - Customer Satisfaction (Process Results)",0.000000,7.890000,,"Under target",Semi-Annual,,,,,,,y,2017-11-22,17:36:28
007-000000155,14,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-MARINE CORPS/LOGISTICS CHAIN MANAGEMENT",26993,OP0155-4118,"Repair Cycle Time (RCT)","Time to fullfill service in days.","1 - Customer Satisfaction (Process Results)",0.000000,24.350000,,"Under target",Semi-Annual,,,,,,,y,2017-11-22,17:36:28
007-000000155,14,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-MARINE CORPS/LOGISTICS CHAIN MANAGEMENT",26994,OP0155-4119,"System Operation Availability (Ao)","Percent of time system is available.","2 - Strategic and Business Results",0.000000,95.000000,95.000000,"Under target",Monthly,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",,,,,,n,2018-10-30,18:32:31
007-000000155,14,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-MARINE CORPS/LOGISTICS CHAIN MANAGEMENT",26995,OP0155-4120,"Reduction of Legacy Logistics IT Systems","Number of Marine Corps Logistics Systems","2 - Strategic and Business Results",0.000000,1.000000,1.000000,"Over target",Annual,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",,,,,,n,2018-10-30,18:32:31
007-000000155,14,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-MARINE CORPS/LOGISTICS CHAIN MANAGEMENT",26996,OP0155-4121,"Mean Corrective Maintenance Time (MCMT) ","Ave hrs not avail due unplanned corrective maint","1 - Customer Satisfaction (Process Results)",0.000000,4.000000,4.000000,"Under target",Monthly,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",,,,,,n,2019-03-14,21:48:39
007-000000155,14,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-MARINE CORPS/LOGISTICS CHAIN MANAGEMENT",26997,OP0155-4122,"Helpdesk - Available 24/7/365 days a year via telephone, DOD Networks, and email.
(Derived)

-Calls offered, Calls answered, average answer speed, average abandon time, calls escalated, customer surveys, request by component, knowledge base utilization, ticket resolution

-Tier 1 resolve or escalate within 20 minutes Tier 2 Acknowledge issue within 4 hours Tier 3 & 4 Acknowledge issue within 72 hours Scoring matrix consists of totaled and composite scores to determine priority
","Helpdesk-Tier 1 resolve or escalate witihin 20 min","1 - Customer Satisfaction (Process Results)",0.000000,20.000000,20.000000,"Over target",Annual,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",,,,,,n,2019-03-14,21:48:39
007-000000155,14,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-MARINE CORPS/LOGISTICS CHAIN MANAGEMENT",26998,OP0155-4123,"System Operation Reliability","percent of time system is Reliable","2 - Strategic and Business Results",0.000000,99.400000,99.400000,"Over target",Quarterly,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",,,,,,n,2018-10-30,18:32:31
007-000000155,14,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","GLOBAL COMBAT SUPPORT SYSTEM-MARINE CORPS/LOGISTICS CHAIN MANAGEMENT",26999,OP0155-4124,"Reduction of Oracle FTEs","Percentage of Reduction","3 - Financial Performance",0.000000,58.000000,58.000000,"Over target",Annual,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",,,,,,n,2019-03-14,21:48:39
007-000000178,15,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Enterprise Accounting and Management System",4973,OP0178-4105,"DEAMS log-in response time.",Seconds,"1 - Customer Satisfaction (Process Results)",,,,"Under target",Monthly,,115019,OP0178-4105-110,5.300000,,2014-09-30,y,2017-11-07,15:50:51
007-000000178,15,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Enterprise Accounting and Management System",26976,OP0178-002,"Federal Financial Management Improvement Act (FFMIA) Compliance - DEAMS must substantially comply with FFMIA of 1996 OMB Circular No. A-123 Appendix D requirements in all material aspects as determined by the Department of the Air Force in accordance with section 7.a.iii.b.  DEAMS will achieve determination that the program is substantially in compliance  based on an independent audit of all material Appendix D section 803(a) requirements.",Percentage,"2 - Strategic and Business Results",0.000000,90.000000,90.000000,"Over target",Annual,"007SO18275 - Undergo audit, and improve the quality of budgetary and financial information that is most valuable in managing the DoD",,,,,,n,2018-10-30,18:32:32
007-000000178,15,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Enterprise Accounting and Management System",26977,OP0178-004,"Sustainment (Materiel and Operational Availability) - derived from system availability requirements to support the required capability, assumptions for its design and operational use, tradeoffs between reliability, maintenance concepts, life cycle cost, and the planned sustainment strategy. Sustainment consists of two primary components: Materiel Availability and Operational Availability.",percentage,"1 - Customer Satisfaction (Process Results)",0.000000,80.000000,80.000000,"Over target",Monthly,"007SO18275 - Undergo audit, and improve the quality of budgetary and financial information that is most valuable in managing the DoD",,,,,,n,2019-03-14,21:48:41
007-000000178,15,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Enterprise Accounting and Management System",26978,OP0178-006,"Interest penalty payment - AF Goal is Less than $49.00 in interest per $1M disbursed.  DoD Goal is Less than $90 in interest per $1M disbursed.",Dollars,"3 - Financial Performance",0.000000,49.000000,49.000000,"Under target",Monthly,"007SO18275 - Undergo audit, and improve the quality of budgetary and financial information that is most valuable in managing the DoD",,,,,,n,2019-03-14,21:48:41
007-000000178,15,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Enterprise Accounting and Management System",26979,OP0178-001,"DEAMS log-in response time",Seconds,"1 - Customer Satisfaction (Process Results)",0.000000,16.000000,,"Under target",Monthly,,,,,,,y,2017-11-22,17:36:00
007-000000178,15,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Enterprise Accounting and Management System",26980,OP0178-003,"Net-Ready - includes three attributes derived through a three step process of mission analysis, information analysis, and systems engineering. The three attributes (Attribute 1: Supports military operations; Attribute 2: Is entered and managed on the network; Attribute 3: Effectively exchanges information) are then documented in solution architectures developed according to the current DoDAF standard SV-7.",percentage,"2 - Strategic and Business Results",0.000000,90.000000,90.000000,"Over target",Annual,"007SO18275 - Undergo audit, and improve the quality of budgetary and financial information that is most valuable in managing the DoD",,,,,,n,2018-10-30,18:32:32
007-000000178,15,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Enterprise Accounting and Management System",26981,OP0178-005,"System Survivability - intended to ensure the system maintains its critical capabilities under applicable threat environments, which in the case of DEAMS is the loss of the DISA megacenter computing environment at Montgomery, AL.  It is measured against the percent of continuity controls contained in the 8500.2 as reported in eMASS.",percentage,"2 - Strategic and Business Results",0.000000,90.000000,90.000000,"Under target",Monthly,"007SO18275 - Undergo audit, and improve the quality of budgetary and financial information that is most valuable in managing the DoD",,,,,,n,2018-10-30,18:32:32
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",4989,OP0186-4101,"Availability (Ao).",Percentage,"2 - Strategic and Business Results",,,,"Over target",Monthly,,189000,OP0186-4101-143,99.830000,,2017-03-08,n,2017-11-07,15:50:51
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",4991,OP0186-4102,"Mean Time Between Mission Critical Failure (MTBMCF).","Time:  Hours","2 - Strategic and Business Results",,,,"Over target",Quarterly,,189003,OP0186-4102-144,1561.030000,,2017-03-08,n,2017-11-07,15:50:51
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",4993,OP0186-4103,"Mean Time To Recover (MTTR).","Time: Hours","2 - Strategic and Business Results",,,,"Under target",Quarterly,,188981,OP0186-4103-144,0.300000,,2017-03-08,n,2017-11-07,15:50:51
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",4995,OP0186-4104,"Operation Failure Detection Rate (OFDR).",Percentage,"2 - Strategic and Business Results",,,,"Over target",Quarterly,,188973,OP0186-4104-143,88.320000,,2017-03-08,n,2017-11-07,15:50:51
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",4997,OP0186-4105,"Mean Data Assurance (MDA).",Percentage,"2 - Strategic and Business Results",,,,"Over target",Quarterly,,189012,OP0186-4105-143,100.000000,,2017-03-08,n,2017-11-07,15:50:51
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",4999,OP0186-4106,"Percent of Help Desk Service Level Targets (SLT) met.",Percentage,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Quarterly,,188987,OP0186-4106-145,96.420000,,2017-03-08,n,2017-11-07,15:50:51
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",5001,OP0186-4107,"Help Desk Survey Results.","Points achieved (out of 5 possible)","1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,188994,OP0186-4107-145,4.490000,,2017-03-08,n,2017-11-07,15:50:51
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",5003,OP0186-4108,"Overall Key User Transaction Response Time.","Time: Seconds","2 - Strategic and Business Results",,,,"Under target",Quarterly,,188967,OP0186-4108-148,0.777000,,2017-03-08,n,2017-11-07,15:50:51
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",22321,OP0186-4109,"TIER 1 CUSTOMER WAIT TIME.","Time: seconds","1 - Customer Satisfaction (Process Results)",,,,"Under target",Monthly,,188962,OP0186-4109-126,5.470000,,2017-03-08,n,2017-11-07,15:50:51
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",22323,OP0186-4110,"Meet OSD Obligation Annual Benchmarks (OMN).",Percentage,"3 - Financial Performance",,,,"Over target",Annual,,188964,OP0186-4110-102,100.000000,,2016-10-18,n,2017-11-07,15:50:51
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",26885,OP0186-4111,"Availability (Ao)",Percentage,"2 - Strategic and Business Results",0.000000,99.500000,99.500000,"Over target",Monthly,"007SO18273 - Improve and strengthen business operations through a move to DoD-enterprise or shared services; reduce administrative and regulatory burden",,,,,,n,2018-10-30,18:32:34
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",26886,OP0186-4112,"Mean Time Between Mission Critical Failure (MTBMCF)
","Time:  Hours","2 - Strategic and Business Results",0.000000,660.000000,660.000000,"Over target",Quarterly,"007SO18273 - Improve and strengthen business operations through a move to DoD-enterprise or shared services; reduce administrative and regulatory burden",,,,,,n,2018-10-30,18:32:34
