"Agency Code","Agency Name","Budget Account Code","Budget Account Name","CIO Authority FY2020 (BY) ($ M)","Total Agency Funding 2018 PY ($ M)","Total Agency Funding 2019 CY ($ M)","Total Agency Funding 2020 BY ($ M)","Total Agency Funding Budget Authority 2020 BY ($ M)","Updated Date","Updated Time"
"	005","Department of Agriculture",005-35-3700,"Salaries and Expenses",0,47.015,96.252,90.232,7.738,2019-04-05,12:49:41
"	005","Department of Agriculture",005-68-2903,"McGovern-Dole International Food for Education and Child Nutrition Program",0,0.159,0,0,0,2019-04-05,12:49:41
"	005","Department of Agriculture",005-04-9914,"Executive Operations",0.124,2.269,0.139,0.124,0.096,2019-04-05,12:49:41
"	005","Department of Agriculture",005-55-0403,"Salaries and Expenses",0,102.165,151.691,140.627,26.612,2019-04-05,12:49:41
"	005","Department of Agriculture",005-35-8137,"Expenses and Refunds, Inspection and Grading of Farm Products",0,11.45,16.751,15.819,6.758,2019-04-05,12:49:41
"	005","Department of Agriculture",005-68-4143,"Debt Reduction Financing Account",0,2.279,2.55,1.725,0,2019-04-05,12:49:41
"	005","Department of Agriculture",005-07-3800,"Office of Civil Rights",70.055,1.169,1.068,1.084,0.063,2019-04-05,12:49:41
"	005","Department of Agriculture",005-08-0900,"Office of Inspector General",5.615,1.31,2.828,2.844,0.726,2019-04-05,12:49:41
"	005","Department of Agriculture",005-60-1230,"Rural Electrification and Telecommunications Loans Program Account",0,0.061,0.052,0.053,0,2019-04-05,12:49:41
"	005","Department of Agriculture",005-45-2500,"Marketing Services",0,19.487,43.997,30.911,7.24,2019-04-05,12:49:41
"	005","Department of Agriculture",005-84-3505,"Supplemental Nutrition Assistance Program",0,39.786,53.993,55.867,54.624,2019-04-05,12:49:41
"	005","Department of Agriculture",005-60-4146,"Distance Learning, Telemedicine, and Broadband Direct Loan Financing Account",0,0.152,0.014,0.014,0.008,2019-04-05,12:49:41
"	005","Department of Agriculture",005-45-5070,"Perishable Agricultural Commodities Act Fund",0,1.486,0.807,0.73,0,2019-04-05,12:49:41
"	005","Department of Agriculture",005-84-3508,"Nutrition Programs Administration",0,8.653,19.586,21.259,18.385,2019-04-05,12:49:41
"	005","Department of Agriculture",005-10-2300,"Office of the General Counsel",1.148,6.283,7.897,7.902,0.225,2019-04-05,12:49:41
"	005","Department of Agriculture",005-60-4208,"Rural Electrification and Telecommunications Direct Loan Financing Account",0,0.004,0.004,0.004,0.002,2019-04-05,12:49:41
"	005","Department of Agriculture",005-45-5209,"Funds for Strengthening Markets, Income, and Supply (section 32)",0,35.647,39.843,38.043,0.011,2019-04-05,12:49:41
"	005","Department of Agriculture",005-84-3510,"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",0,6.295,6.169,6.191,5.974,2019-04-05,12:49:41
"	005","Department of Agriculture",005-84-3539,"Child Nutrition Programs",0,13.718,15.674,16.816,11.815,2019-04-05,12:49:41
"	005","Department of Agriculture",005-12-0013,"Office of the Chief Information Officer",119.602,104.932,86.535,120.185,2.827,2019-04-05,12:49:41
"	005","Department of Agriculture",005-60-4209,"Rural Electrification and Telecommunications Guaranteed Loans Financing Account",0,0.014,0.013,0.012,0.002,2019-04-05,12:49:41
"	005","Department of Agriculture",005-45-8015,"Expenses and Refunds, Inspection and Grading of Farm Products",0,15.592,26.105,24.321,1.053,2019-04-05,12:49:41
"	006","Department of Commerce",006-40-0201,"Minority Business Development",4.174,1.931,2.616,4.174,0,2019-04-04,15:17:45
"	006","Department of Commerce",006-48-1450,"Operations, Research, and Facilities",498.1042,475.823636,484.314331,498.1042,335.321708,2019-04-04,15:17:45
"	006","Department of Commerce",006-48-1460,"Procurement, Acquisition and Construction",143.715,167.228182,160.455,143.715,127.752,2019-04-04,15:17:45
"	006","Department of Commerce",006-51-1006,"Salaries and Expenses",654.006978,667.229692,721.243577,654.006978,245.566057,2019-04-04,15:17:45
"	006","Department of Commerce",006-54-4295,"NTIS Revolving Fund",3.623,3.336,2.978,3.623,21.98,2019-04-04,15:17:45
"	006","Department of Commerce",006-55-0500,"Scientific and Technical Research and Services",96.908524,101.566576,94.572041,96.908524,10.237,2019-04-04,15:17:45
"	006","Department of Commerce",006-05-0120,"Salaries and Expenses",17.989996,16.511351,18.010075,17.989996,0,2019-04-04,15:17:45
"	006","Department of Commerce",006-55-0525,"Industrial Technology Services",0,1.81901,1.85331,0,0,2019-04-04,15:17:45
"	006","Department of Commerce",006-05-0126,"Office of the Inspector General",4.03,5.595,5.268,4.03,0,2019-04-04,15:17:45
"	006","Department of Commerce",006-55-4650,"Working Capital Fund",17.174791,17.743696,16.68726,17.174791,0,2019-04-04,15:17:45
"	006","Department of Commerce",006-60-0550,"Salaries and Expenses",9.569,7.4945,9.7823,9.569,9.569,2019-04-04,15:17:45
"	006","Department of Commerce",006-05-4511,"Working Capital Fund",105.836561,96.72052,81.414834,105.836561,118.883026,2019-04-04,15:17:45
"	006","Department of Commerce",006-60-0554,"Broadband Technology Opportunities Program, Recovery Act",0.038,0.014,0.037,0.038,0.038,2019-04-04,15:17:45
"	006","Department of Commerce",006-06-0125,"Salaries and Expenses",1.188,1.191298,1.317528,1.188,0,2019-04-04,15:17:45
"	006","Department of Commerce",006-07-0401,"Current Surveys and Programs",42.395136,43.565552,42.009646,42.395136,42.395136,2019-04-04,15:17:45
"	006","Department of Commerce",006-60-4358,"Network Construction Fund",0,0.846824,0,0,0,2019-04-04,15:17:45
"	006","Department of Commerce",006-07-0450,"Periodic Censuses and Programs",1836.791447,727.713192,1243.043842,1836.791447,1836.791447,2019-04-04,15:17:45
"	006","Department of Commerce",006-60-4421,"First Responder Network Authority",9.587401,0,9.347543,9.587401,0,2019-04-04,15:17:45
"	006","Department of Commerce",006-07-4512,"Census Working Capital Fund",304.619,321.172565,306.087,304.619,304.619,2019-04-04,15:17:45
"	006","Department of Commerce",006-60-8233,"Public Safety Trust Fund",9.298,0,9.298,9.298,0,2019-04-04,15:17:45
"	006","Department of Commerce",006-08-1500,"Salaries and Expenses",22.32358,20.17059,21.65599,22.32358,22.32358,2019-04-04,15:17:45
"	006","Department of Commerce",006-25-1250,"Operations and Administration",57.360075,45.854345,46.567043,57.360075,1.317,2019-04-04,15:17:45
"	006","Department of Commerce",006-30-0300,"Operations and Administration",21.719,21.458,20.277,21.719,0,2019-04-04,15:17:45
"	009","Department of Health and Human Services",009-15-0350,"Health Resources and Services",188.329,159.722,181.665,188.329,22.931,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-90-0145,"Transfers from the Patient-Centered Outcomes Research Trust Fund",0,0,0,0,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-70-1502,"Low Income Home Energy Assistance",0.169,0.169,0.163,0.169,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-15-8175,"Vaccine Injury Compensation Program Trust Fund",1.106,1.018,1.054,1.106,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-90-9912,"General Departmental Management",98.871,107.788,106.334,98.871,11.482,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-70-1503,"Refugee and Entrant Assistance",1.907,1.993,1.941,1.907,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-70-1512,"Promoting Safe and Stable Families",0.358,0.355,0.346,0.358,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-17-0390,"Indian Health Services",199.452,300.454,236.984,199.452,50.025,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-91-9941,"HHS Service and Supply Fund",0,0,0,0,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-70-1515,"Payments to States for the Child Care and Development Block Grant",0.112,0.11,0.107,0.112,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-20-0943,"CDC-wide Activities and Program Support",231.772,236.615,238.299,231.772,135.981,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-91-9971,"Miscellaneous Trust Funds",1.05,0.925,1.05,1.05,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-70-1534,"Social Services Block Grant",0.042,0.043,0.042,0.042,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-20-0944,"Agency for Toxic Substances and Disease Registry, Toxic Substances and Environmental Public Health",3,3.55,3,3,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-92-0128,"Office of Inspector General",22.984,22.1,22.984,22.984,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-70-1536,"Children and Families Services Programs",24.743,48.315,44.737,24.743,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-20-0946,"World Trade Center Health Program Fund",3.671,3.461,3.565,3.671,3.671,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-70-1545,"Payments for Foster Care and Permanency",0.146,0.145,0.142,0.146,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-20-4553,"CDC Working Capital Fund",201.81,209.128,196.778,201.81,34.426,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-70-1550,"Child Care Entitlement to States",0.633,0.631,0.612,0.633,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-25-9915,"National Institutes of Health",1127.024,1100.371,1139.069,1127.024,18.388,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-70-1552,"Temporary Assistance for Needy Families",0.349,0.347,0.338,0.349,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-30-1362,"Substance Abuse and Mental Health Services Administration",55.063,57.796,59.048,55.063,55.025,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-70-1553,"Children's Research and Technical Assistance",33.353,28.109,32.353,33.353,31.741,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-33-1700,"Healthcare Research and Quality",19.438,31.868,30.313,19.438,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-75-0142,"Aging and Disability Services Programs",0,11.076,10.135,0,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-38-0511,"Program Management",1322.469,1989.74,1675.742,1322.469,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-90-0125,"Nonrecurring Expenses Fund",173.197,90.035,260.316,173.197,30.714,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-38-0516,"State Grants and Demonstrations",0,2.379,1.304,0,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-90-0130,"Office of the National Coordinator for Health Information Technology",0,0,0,0,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-38-0522,"Center for Medicare and Medicaid Innovation",243.408,187.643,253.743,243.408,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-90-0135,"Office for Civil Rights",0,1.5,0,0,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-38-8004,"Federal Supplementary Medical Insurance Trust Fund",66.395,64.979,66.534,66.395,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-10-9911,"Salaries and Expenses",749.948,805.534,740.723,749.948,32.882,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-90-0139,"Office of Medicare Hearings and Appeals",12.787,10.474,11.188,12.787,0.979,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-38-8005,"Federal Hospital Insurance Trust Fund",263.504,245.95,265.134,263.504,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-15-0321,"Maternal, Infant, and Early Childhood Home Visiting Programs",0.57,0.762,0.563,0.57,0,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-90-0140,"Public Health and Social Services Emergency Fund",90.774,72.067,89.252,90.774,2.415,2019-04-04,18:37:53
"	009","Department of Health and Human Services",009-38-8393,"Health Care Fraud and Abuse Control Account",507.813,468.199,602.441,507.813,0,2019-04-04,18:37:53
"	010","Department of the Interior",010-90-0120,"Federal Trust Programs",16.732123,23.30297,23.30297,16.732123,16.732123,2019-04-03,18:52:02
"	010","Department of the Interior",010-10-5537,"San Joaquin Restoration Fund",0.005,0,0.005,0.005,0.005,2019-04-03,18:52:02
"	010","Department of the Interior",010-95-1113,"Office of Natural Resources Revenue",34.443496,24.51934,25.566577,34.443496,34.443496,2019-04-03,18:52:02
"	010","Department of the Interior",010-10-5656,"Colorado River Dam Fund, Boulder Canyon Project",4.775987,4.030394,4.323879,4.775987,4.775987,2019-04-03,18:52:02
"	010","Department of the Interior",010-04-1109,"Management of Lands and Resources",151.248987,88.347605,129.483984,151.248987,151.248987,2019-04-03,18:52:02
"	010","Department of the Interior",010-95-1121,"Central Hazardous Materials Fund",0.1222,0.073368,0.06,0.1222,0.1222,2019-04-03,18:52:02
"	010","Department of the Interior",010-12-0804,"Surveys, Investigations, and Research",174.15979,148.519776,165.770344,174.15979,174.15979,2019-04-03,18:52:02
"	010","Department of the Interior",010-04-1116,"Oregon and California Grant Lands",0,8.114201,0.970407,0,0,2019-04-03,18:52:02
"	010","Department of the Interior",010-95-1125,"Wildland Fire Management",10.595621,18.767467,11.407893,10.595621,10.595621,2019-04-03,18:52:02
"	010","Department of the Interior",010-18-1611,"Resource Management",91.337615,71.189348,88.783083,91.337615,91.337615,2019-04-03,18:52:02
"	010","Department of the Interior",010-04-5132,"Range Improvements",0,0.206106,0,0,0,2019-04-03,18:52:02
"	010","Department of the Interior",010-95-4523,"Working Capital Fund",339.738852,304.018381,342.67719,339.738852,339.738852,2019-04-03,18:52:02
"	010","Department of the Interior",010-22-1700,"Offshore Safety and Environmental Enforcement",23.209623,25.013787,20.148203,23.209623,23.209623,2019-04-03,18:52:02
"	010","Department of the Interior",010-04-9926,"Permanent Operating Funds",0,0.286578,0,0,0,2019-04-03,18:52:02
"	010","Department of the Interior",010-06-1917,"Ocean Energy Management",18.56708,18.427845,18.787813,18.56708,18.56708,2019-04-03,18:52:02
"	010","Department of the Interior",010-95-4529,"Interior Franchise Fund",0.38,0,0.98,0.38,0.38,2019-04-03,18:52:02
"	010","Department of the Interior",010-24-1036,"Operation of the National Park System",164.866572,158.528644,163.178426,164.866572,164.866572,2019-04-03,18:52:02
"	010","Department of the Interior",010-08-1801,"Regulation and Technology",6.971257,7.367677,5.838826,6.971257,6.971257,2019-04-03,18:52:02
"	010","Department of the Interior",010-24-1039,"Construction (and Major Maintenance)",1.66715,0.962,1.1318,1.66715,1.66715,2019-04-03,18:52:02
"	010","Department of the Interior",010-24-9924,"Other Permanent Appropriations",0,1.108,0.766,0,0,2019-04-03,18:52:02
"	010","Department of the Interior",010-08-5015,"Abandoned Mine Reclamation Fund",2.926083,3.200503,2.877543,2.926083,2.926083,2019-04-03,18:52:02
"	010","Department of the Interior",010-24-9928,"Recreation Fee Permanent Appropriations",16.96102,2.423053,2.73013,16.96102,16.96102,2019-04-03,18:52:02
"	010","Department of the Interior",010-10-0680,"Water and Related Resources",30.07192,26.886933,32.648285,30.07192,30.07192,2019-04-03,18:52:02
"	010","Department of the Interior",010-76-2100,"Operation of Indian Programs",99.928923,103.887277,97.625245,99.928923,99.928923,2019-04-03,18:52:02
"	010","Department of the Interior",010-10-0687,"California Bay-Delta Restoration",0.03,0.071326,0.03,0.03,0.03,2019-04-03,18:52:02
"	010","Department of the Interior",010-76-2301,Construction,2.055337,2.055337,2.055337,2.055337,2.055337,2019-04-03,18:52:02
"	010","Department of the Interior",010-10-4079,"Lower Colorado River Basin Development Fund",0,0.015509,0,0,0,2019-04-03,18:52:02
"	010","Department of the Interior",010-76-9925,"Miscellaneous Permanent Appropriations",0.171622,0.546193,0.099588,0.171622,0.171622,2019-04-03,18:52:02
"	010","Department of the Interior",010-10-4081,"Upper Colorado River Basin Fund",2.010262,6.644374,1.924139,2.010262,2.010262,2019-04-03,18:52:02
"	010","Department of the Interior",010-84-0102,"Salaries and Expenses",5.857377,6.88162,6.248789,5.857377,5.857377,2019-04-03,18:52:02
"	010","Department of the Interior",010-10-4524,"Working Capital Fund",74.673643,67.598055,73.27875,74.673643,74.673643,2019-04-03,18:52:02
"	010","Department of the Interior",010-84-5005,"Land and Water Conservation Fund",0.8879,0.5729,0.4759,0.8879,0.8879,2019-04-03,18:52:02
"	010","Department of the Interior",010-10-5065,"Policy and Administration",6.263702,5.454478,5.264195,6.263702,6.263702,2019-04-03,18:52:02
"	010","Department of the Interior",010-85-0412,"Assistance to Territories",0.0075,0.0075,0.0075,0.0075,0.0075,2019-04-03,18:52:02
"	010","Department of the Interior",010-86-0107,"Salaries and Expenses",2.609526,2.040237,2.464716,2.609526,2.609526,2019-04-03,18:52:02
"	010","Department of the Interior",010-10-5173,"Central Valley Project Restoration Fund",0.01,0.039428,0.01,0.01,0.01,2019-04-03,18:52:02
"	011","Department of Justice",011-05-0340,"September 11th Victim Compensation (general Fund)",5.814,8.262,7.46,5.814,5.814,2019-02-20,02:17:19
"	011","Department of Justice",011-21-0401,"Research, Evaluation, and Statistics",6.1,6.1,6.1,6.1,6.1,2019-02-20,02:17:19
"	011","Department of Justice",011-21-0403,"Public Safety Officer Benefits",0,0,0,0,0,2019-02-20,02:17:19
"	011","Department of Justice",011-05-1020,"Federal Prisoner Detention",18.850335,10.514761,9.137699,18.850335,18.778791,2019-02-20,02:17:19
"	011","Department of Justice",011-21-0404,"State and Local Law Enforcement Assistance",0,0,0,0,0,2019-02-20,02:17:19
"	011","Department of Justice",011-05-4575,"Justice Prisoner and Alien Transportation System Fund, U.S. Marshals",1.790216,1.901316,2.687502,1.790216,1.790216,2019-02-20,02:17:19
"	011","Department of Justice",002-25-0930,"Court Security",0,0,0,0,0,2019-02-20,02:17:19
"	011","Department of Justice",011-21-0405,"Juvenile Justice Programs",0,0,0,0,0,2019-02-20,02:17:19
"	011","Department of Justice",011-05-5042,"Assets Forfeiture Fund",33.49579,31.59579,31.59579,33.49579,33.49579,2019-02-20,02:17:19
"	011","Department of Justice",011-03-0129,"Salaries and Expenses",1.122478,0.992125,1.309292,1.122478,1.122478,2019-02-20,02:17:19
"	011","Department of Justice",011-05-5073,"United States Trustee System Fund",26.291204,31.422543,26.111426,26.291204,26.403969,2019-02-20,02:17:19
"	011","Department of Justice",011-03-0132,"Tactical Law Enforcement Wireless Communications",15.186,13.155,15.186,15.186,16.927,2019-02-20,02:17:19
"	011","Department of Justice",011-21-0406,"Community Oriented Policing Services",7.939728,7.939728,7.939728,7.939728,7.939728,2019-02-20,02:17:19
"	011","Department of Justice",011-07-0323,"Interagency Crime and Drug Enforcement",16.917693,13.219333,16.379183,16.917693,16.917693,2019-02-20,02:17:19
"	011","Department of Justice",011-03-0134,"Justice Information Sharing Technology",32.115023,44.794122,36.243285,32.115023,38.624023,2019-02-20,02:17:19
"	011","Department of Justice",011-21-0409,"Violence against Women Prevention and Prosecution Programs",0,0,0,0,0,2019-02-20,02:17:19
"	011","Department of Justice",011-08-1300,"Salaries and Expenses",18.987951,18.957135,18.363083,18.987951,18.987951,2019-02-20,02:17:19
"	011","Department of Justice",011-03-0136,"Detention Trustee",0,0,0,0,0,2019-02-20,02:17:19
"	011","Department of Justice",011-21-0420,"Salaries and Expenses, Office of Justice Programs",68.005045,60.455689,63.740019,68.005045,68.005045,2019-02-20,02:17:19
"	011","Department of Justice",011-10-0200,"Salaries and Expenses",1297.183841,1248.74551,1319.624479,1297.183841,1260.84136,2019-02-20,02:17:19
"	011","Department of Justice",011-03-0137,"Legal Activities Office Automation",0,0,0,0,0,2019-02-20,02:17:19
"	011","Department of Justice",011-03-0328,"Office of Inspector General",12.711108,11.619225,12.135501,12.711108,12.634492,2019-02-20,02:17:19
"	011","Department of Justice",011-21-5041,"Crime Victims Fund",4.97723,4.83121,4.90368,4.97723,4.97723,2019-02-20,02:17:19
"	011","Department of Justice",011-12-1100,"Salaries and Expenses",295.488705,309.220416,296.012586,295.488705,295.497705,2019-02-20,02:17:19
"	011","Department of Justice",011-03-0339,"Executive Office for Immigration Review",77.722363,64.421244,95.319297,77.722363,101.756552,2019-02-20,02:17:19
"	011","Department of Justice",011-30-8585,"Violent Crime Reduction Trust Fund",0,0,0,0,0,2019-02-20,02:17:19
"	011","Department of Justice",011-12-5131,"Diversion Control Fee Account",49.754933,50.448685,49.871967,49.754933,49.754933,2019-02-20,02:17:19
"	011","Department of Justice",011-03-4526,"Working Capital Fund",54.896116,52.778277,59.874429,54.896116,45.992885,2019-02-20,02:17:19
"	011","Department of Justice",011-14-0700,"Salaries and Expenses",194.367703,176.400974,183.464553,194.367703,194.367703,2019-02-20,02:17:19
"	011","Department of Justice",011-05-0128,"Salaries and Expenses, General Legal Activities",107.280157,86.370389,96.241449,107.280157,106.731627,2019-02-20,02:17:19
"	011","Department of Justice",011-14-8528,"Violent Crime Reduction Program",0,0,0,0,0,2019-02-20,02:17:19
"	011","Department of Justice",011-05-0311,"Fees and Expenses of Witnesses",14.857851,13.913392,14.857851,14.857851,14.780177,2019-02-20,02:17:19
"	011","Department of Justice",011-20-1060,"Salaries and Expenses",232.952028,215.516991,276.003714,232.952028,237.141824,2019-02-20,02:17:19
"	011","Department of Justice",011-05-0319,"Salaries and Expenses, Antitrust Division",49.476734,47.681385,48.568918,49.476734,49.476734,2019-02-20,02:17:19
"	011","Department of Justice",011-20-4500,"Federal Prison Industries, Incorporated",18.329,18.25791,21.61791,18.329,18.329,2019-02-20,02:17:19
"	011","Department of Justice",011-05-0322,"Salaries and Expenses, United States Attorneys",174.644034,182.891505,167.177024,174.644034,174.644034,2019-02-20,02:17:19
"	011","Department of Justice",011-20-8408,"Commissary Funds, Federal Prisons (Trust Revolving Fund)",27.8195,24.6015,25.2195,27.8195,27.8195,2019-02-20,02:17:19
"	011","Department of Justice",011-05-0324,"Salaries and Expenses, United States Marshals Service",130.259852,145.971052,128.67688,130.259852,125.663498,2019-02-20,02:17:19
"	011","Department of Justice",011-21-0334,"Weed and Seed Program Fund",0,0,0,0,0,2019-02-20,02:17:19
"	012","Department of Labor",012-16-0143,"Salaries and Expenses",15.069,8.906,16.62,20.458,20.458,2019-02-12,14:19:01
"	012","Department of Labor",012-18-0400,"Salaries and Expenses",25.794434,21.548862,22.267861,29.694993,29.694993,2019-02-12,14:19:01
"	012","Department of Labor",012-19-1200,"Salaries and Expenses",12.677157,15.522325,19.552154,18.817308,18.817308,2019-02-12,14:19:01
