"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Planning Budgetary Resources PY1 and Prior","Planning Budgetary Resources PY","Planning Budgetary Resources CY","Planning Budgetary Resources BY","DME Budgetary Resources PY1 and Prior","DME Budgetary Resources PY","DME Budgetary Resources CY","DME Budgetary Resources BY","DME Government FTE Costs PY1 and Prior","DME Government FTE Costs PY","DME Government FTE Costs CY","DME Government FTE Costs BY","Omd Budgetary Resources PY1 and Prior","Omd Budgetary Resources PY","Omd Budgetary Resources CY","Omd Budgetary Resources BY","Omd Government FTE Costs PY1 and Prior","Omd Government FTE Costs PY","Omd Government FTE Costs CY","Omd Government FTE Costs BY","Government FTE Number PY1 and Prior","Government FTE Number PY","Government FTE Number CY","Government FTE Number BY","Prior Year Cost Change PY","Prior Year Cost Change CY","Prior Year Cost Percentage Change PY","Prior Year Cost Percentage Change CY"
009-000001462,186,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","ACF GrantSolutions Center of Excellence",0,0,0,0,28.818,0,0,6.145,0,0,0,0,83.06,25.688,25.718,24.819,4.127,0.764,0.765,0.921,25,4,4,4,0,0,0,0
009-000001424,187,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","AHRQ Medical Expenditures Panel Survey (MEPS)",2.525,1.892,0,0,0.3,0,4.161,4.161,0,0,0,0,230.643,5.318,5.859,5.859,1.76,0.041,0.041,0.041,18.4,0.2,0,0,0,0,0,0
024-000006079,193,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCG - Rescue 21",754.317,0,0,0,65,0,0,0,0,0,0,0,673.709,91.209,91.143,91.143,0,5.044,5.132,5.205,0,39,39,39,0,0,0,0
024-000006005,195,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCG - Nationwide Automatic Identification System (NAIS)",96.011,0,0,0,23.508,0,0,0,0,0,0,0,226.837,22.168,22.11,22.11,0,3.317,3.375,3.439,0,28,28,28,0,0,0,0
024-000006104,201,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCG - Core Accounting System (CAS)",0,0,0,0,58.12,0,0,0,0,0,0,0,479.169,28.968,23.517,20.6,0,1.499,1.524,1.534,0,10,10,10,0,0,0,0
024-000006115,203,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCG - CG Logistics Information Management System (CG-LIMS)",14.388,0,0,0,32.836,9.8,13.2,6.4,0,0,0,0,12.182,7.161,7.191,7.191,0,2.285,2.281,2.3,0,15,15,15,0,0,0,0
024-000006343,204,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCG - C4ISR",643.371,0,0,0,210.826,22,23.3,25.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005-000001870,225,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSA-097 Farm Program Modernization (MIDAS)",32.781,0,0,0,342.915,6.662,1.264,0,14.981,0.313,0.254,0,149.962,8.946,15.341,11.83,8.268,0.688,0.761,0.279,140.78,8,8,2,16.609,17.62,-33.235,0
005-000001425,227,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","OCFO-Financial Management Modernization Initiative (FMMI)",0,1.916,0,0,164.133,17.274,6.669,3.2,17.281,0,0,0,287.55,37.561,53.278,53.573,129.476,39.332,38.866,39.862,1146.7,384,350,350,0,0,0,0
005-000002148,231,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FSIS-Public Health Information System (PHIS)",0,0,0,0,70.641,7.1,5.459,5.623,1.21,1.025,0,0,58.455,1.467,0.001,0.001,21.21,0.854,0,0,61.1,9.8,0,0,-0.089,5.46,-0.845,0.456
005-000000039,236,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","DA-OCP-Integrated Acquisition System (IAS)",13.56,0,0,0,233.82,0,2.699,2.957,13.56,0,0.552,0.57,193.308,12.291,8.212,8.871,36.875,2.157,1.678,1.71,49.58,11.6,11.6,11.6,14.448,13.141,0,0
005-000001659,239,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","APHIS-Animal Disease Traceability Information System (ADTIS)",0,0,0,0,22.72,0,2,2.5,1.906,0.2,0.22,0.25,17.661,1.254,1.244,1.244,5.473,0.196,0.196,0.196,18.5,3.7,3.7,3.7,0,3.66,0,0
005-000000063,249,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","RMA-13 Emerging Information Technology Architecture (EITA)",0,1.2,0,0,91.53,21.57,0,0,0.8,0,0,0,69.781,14.362,11.288,10.804,7.017,0.245,0.245,0.139,56.75,1.75,1.75,1,37.377,0,0,0
005-000000028,250,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","FS-Resource Ordering and Status System (ROSS)",0,0,0,0,31.878,0,0,0,0.028,0,0,0,58.147,3.748,3.747,3.747,2.831,0,0,0,33.5,0,0,0,3.748,3.747,-8.647,-32.562
005-000000018,253,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","AMS-Web-Based Supply Chain Management (WBSCM)",1.79,0,0,0,98.662,11.526,10,10,4.375,0,0,0,180.151,27.707,31.424,30.033,10.987,0.504,0.515,0.515,96,19,19,19,39.737,41.939,-6.086,12.263
009-000001386,257,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC OID National Center for Immunization Respiratory Diseases Vaccine Tracking System (VTrckS)",0.886,0,0,0,76.476,0.32,0.353,0,1.786,0,0,0,71.07,8.588,8.826,9.445,7.534,1.6,1.6,1.6,74.1,12,12,12,0,0,0,0
009-000001384,260,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC Federal Select Agent Program (FSAP)",14.239,5.999,4.734,4.04,33.502,0,0,0,2.462,0.714,0.714,0.714,36.699,2.326,2.349,2.249,2.874,0.23,0.23,0.23,26,2.5,2.5,0,6.562,5.921,242.409,281.149
009-000001372,261,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC PHIN: BioSense",3.416,0.137,0.092,0.095,190.662,1.508,2.52,2.52,25.3,2.081,2.143,2.207,54.5,5.462,4.533,4.54,12.736,1.387,1.429,1.472,193,10,10,0,4.109,4.151,63.548,63.22
009-000001378,262,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC PHIN: National Electronic Disease Surveillance System",10.638,1.26,0.903,0.948,131.25,2.912,2.575,2.649,16.469,1.034,1.086,1.14,52.115,7.017,7.145,7.399,16.907,1.551,1.629,1.71,212,24,24,24,-0.672,-2.243,-4.652,-14.396
009-000004261,264,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Beneficiary Enrollment and Plan Payment for Part C & D",0,0,0,0,3.172,0,0,0,0,0,0,0,579.037,22.073,19.544,19.653,28.381,3.724,3.724,3.724,226,24.5,24.5,24.5,0.141,-0.112,0.55,-0.479
009-000001474,265,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Beneficiary e-Services",0,0,0,0,5.515,32.544,40.794,32.427,0,0.608,0.608,0.608,542.523,33.289,33.913,33.648,42.544,2.926,2.926,2.926,320,23.3,23.3,23.3,11.506,22.354,19.886,39.999
009-000004263,268,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Medicare Beneficiary Enrollment Data Management",0,0,0,0,22.6,0,0,0,0.341,0,0,0,180.756,5.984,10.205,10.745,10.111,1.064,1.064,1.064,64,7,7,7,-0.346,3.875,-4.679,52.407
009-000000704,269,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Information Management &Analytics (IMA)",0,0,0,0,15.5,0,0,0,0,0,0,0,238.113,19.08,19.392,18.921,13.655,2.584,2.584,2.584,115,17,17,17,2.469,2.781,12.863,14.488
009-000004260,270,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Drug Claims (DDPS)",0,0,0,0,1.676,0,0,0,0,0,0,0,217.152,18.08,20.09,18.178,11.365,1.368,1.368,1.368,86,9,9,9,0.314,2.324,1.641,12.146
009-000004254,272,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Durable Medical Equipment (DME) Claims Processing",0,0,0,0,20.475,0,0,0,0.202,0,0,0,143.583,14.462,15.5,14.689,4.819,0.576,0.576,0.456,38.8,3.8,3.8,3,0.505,1.543,3.475,10.617
009-000001465,274,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Health Care Quality Improvement System (QIES)",27,0,0,0,80.16,12.862,23.51,3.158,0.2,1.216,0.836,0.152,304.311,4.893,10.876,13.433,5.143,0.456,0.38,0.456,43.4,11,8,4,4.357,19.938,28.912,127.285
009-000001468,275,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Healthcare Integrated General Ledger Accounting System (HIGLAS)",25.337,0,0,0,581.304,0,0,0,30.14,0,0,0,1148.871,101.733,88.231,88.231,56.976,5.168,5.928,5.928,632,34,39,39,13.706,0.964,14.707,1.034
012-000001055,278,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","Consumer Price Index (CPI) Maintenance",0,0,0,0,0,0,0,0,0,0,0,0,74.089,5.093,2.012,2.012,146.979,10.03,10.26,10.348,1364,72,72,72,0,0.144,0,1.2
009-000004414,280,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS HIPAA Eligibility Transaction System (HETS)",0,0,0,0,9.456,0,0,0,0,0,0,0,161.484,13.188,12.598,12.372,7.573,0.76,0.76,0.76,65,5,5,5,0.03,-0.56,0.216,-4.024
009-000004611,281,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Interoperability & Standardization - Provider Enrollment (PECOS)",0,0,0,0,83.015,0,0,0,1.776,0,0,0,180.241,21.329,25.397,21.48,3.91,1.216,1.216,1.216,41,8,8,8,-3.581,5.294,-13.707,24.832
009-000002454,285,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Medicare Appeals System (MAS)",0,0,0,0,20.615,0,0,0,0,0,0,0,57.875,12.142,8.471,6.047,4.393,0.646,0.82,0.516,35.3,4.3,5.4,3.4,5.967,2.303,87.48,32.956
009-000005234,287,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS One Program Integrity (One PI)",0,0,0,0,51.628,0,0,0,6.295,0,0,0,217.802,28.616,32.011,41.725,19.993,1.52,1.52,1.52,163.3,10,10,10,-9.504,-2.812,-23.976,-7.737
009-000004255,290,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Part A Claims Processing",0,0,0,0,18.172,0,0,0,0.365,0,0,0,163.279,23.642,24.279,22.613,2.185,0.76,0.304,0.304,23,5,2,2,2.447,3.066,11.146,14.249
009-000004256,291,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Part B Claims Processing",0,0,0,0,31.725,0,0,0,0,0,0,0,130.044,16.397,18.131,17.583,3.954,0.576,0.576,0.576,30.8,3.8,3.8,3.8,-2.574,-2.025,-13.168,-9.768
009-000004258,293,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Plan Enrollment (HPMS)",0,0,0,0,1.183,0,0,0,0,0,0,0,188.323,25.791,33.236,25.97,16.104,2.584,2.584,2.584,134,17,17,17,-3.145,4.3,-9.978,13.642
009-000005345,298,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CDER Drug Review & Submissions (ADIMS)",2.863,0,0,0,46.06,2.494,1.5,1.5,2.192,0.075,0.075,0.075,84.544,10.08,9.684,9.883,6.978,0.825,0.825,0.825,71.3,6,6,6,0,-1.39,0,-10.316
009-000005318,299,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Automated Laboratory Management",1.8,0,0,0,80.891,3.731,3.967,3.967,3.2,0.585,0.285,0.285,50.231,5.091,5.288,5.288,2.38,0.33,0.33,0.33,40.9,6.1,4.1,4.1,-6.389,-6.256,-39.619,-38.794
024-000005116,303,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","CBP - Land Border Integration",3.142,0,0,0,311.057,0,0,0,0,0,0,0,657.79,72.464,72.452,72.452,112.451,1.678,1.696,1.696,658,10,10,10,0.009,0.007,0,0
024-000005056,304,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","CBP - SAP",0,0,0,0,64.579,0,0,0,0,0,0,0,251.036,17.605,17.651,17.651,42.248,2.949,3.237,3.237,154,19,18,18,-0.235,0.038,-1,0
024-000005064,307,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","CBP - Tactical Communications (TAC-COM) Modernization",0,0,0,0,369.76,0,0,0,25.096,0,0,0,146.406,24.807,24.117,23.762,11.73,3.48,3.371,3.371,287,17,17,17,0.163,0.039,1,0
024-000005358,308,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","ICE - TECS Modernization",18.315,0,0,0,155.441,20.339,0,0,26.33,5.25,0,0,0.54,3.462,0,23.3,0,0,2.833,2.833,105,21,12,12,0,-21.781,0,-88
009-000005317,310,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Systems for Inspections, Recalls, Compliance and Enforcement (SIRCE)",8.636,0,0,0,231.49,31.789,26.238,26.238,9.658,0.338,0.338,0.338,80.941,5.2,11.41,11.41,4.442,0.338,0.338,0.338,58.8,4.5,4.5,4.5,-2.132,-1.473,-5.357,-3.701
024-000005052,312,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","CBP - Automated Targeting System (ATS) Maintenance",0.4,0,0,0,37.163,0,0,0,0,0,0,0,790.096,115.819,115.819,115.819,33.831,2.589,2.47,2.47,157,16,16,16,0.161,0.585,0,0
024-000005053,314,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)",134.536,0,0,0,2304.967,39,0,0,127.267,0,0,0,1224,84.293,98.667,98.235,0,11.795,11.126,11.126,532,80,81,81,30.931,0.131,30,0
024-000005138,316,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","CBP - Advance Passenger Information (APIS)",0,0,0,0,18.71,0,0,0,0,0,0,0,92.813,1.971,1.971,1.971,6.058,0.447,0.433,0.433,52,3,3,3,0.021,0.005,1,0
009-000005316,318,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Regulatory Business Information Services",4.53,0,0,0,86.26,11.346,16.138,16.138,3.142,0.397,0.397,0.397,45.561,3.834,5.332,5.332,3.102,0.488,0.488,0.488,30.3,5.9,5.9,5.9,-2.053,4.237,-11.331,23.386
024-000003015,319,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCIS - Transformation",51.402,7.626,5.051,2.576,790.727,92.553,102.567,52.309,92.708,12.239,9.766,4.981,643.973,70.385,45.947,64.313,11.952,8.16,2.824,6.405,937,104,49,49,32.976,49.241,21,42
009-000005323,322,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA OC Financial Management Information Systems",1.236,0,0,0,92.322,1.744,1.744,1.744,1.309,0.263,0.263,0.263,93.865,7.272,7.273,7.273,3.923,0.3,0.3,0.3,39.5,3.8,3.8,3.8,0,0,0,0
